Orthogroup	Euclidium_syriacum	Cardamine_hirsuta
OG0000076	ESY4_g25261_DN2_SP0_c0.t1	CARHR176370
OG0000077	ESY7_g16698_DN1_SP0_c0.t1	CARHR177190, CARHR158180
OG0000077	ESY7_g18827_DN2_SP0_c0.t1	CARHR145650
OG0000079	ESY3_g28473_DN1_SP0_c0.t1	CARHR254750
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	CARHR180710, CARHR151670, CARHR119610, CARHR256350
OG0000081	ESY3_g29563_DN2_SP0_c0.t1, ESY4_g22453_DN2_SP0_c7.t1	CARHR117010
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	CARHR264280
OG0000081	ESY17_g40277_DN2_SP0_c0.t1	CARHR258030
OG0000082	ESY2_g37683_DN1_SP0_c0.t1, ESY4_g24411_DN1_SP0_c0.t1	CARHR184640
OG0000086	ESY8_g59458_DN3_SP0_c0.t1	CARHR214860
OG0000086	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1	CARHR214830
OG0000086	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	CARHR214790, CARHR214760
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	CARHR189700
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	CARHR122890
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	CARHR200860
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	CARHR178800
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	CARHR227450
OG0000089	ESY5_g3995_DN3_SP3_c0.t1	CARHR020480
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	CARHR069200
OG0000090	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	CARHR116840, CARHR259920
OG0000095	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	CARHR117030, CARHR118620
OG0000095	ESY3_g31038_DN1_SP0_c0.t1	CARHR116980, CARHR117870, CARHR117890, CARHR116700
OG0000096	ESY6_g49250_DN3_SP0_c0.t1	CARHR094810, CARHR094850, CARHR094860, CARHR094840
OG0000096	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1	CARHR159090, CARHR101800, CARHR101790, CARHR120380
OG0000096	ESY3_g29685_DN2_SP0_c0.t1	CARHR159080
OG0000098	ESY7_g18472_DN3_SP0_c0.t1	CARHR103960
OG0000098	ESY11_g53834_DN2_SP0_c0.t1	CARHR046250
OG0000098	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1	CARHR174970
OG0000098	ESY11_g53833_DN2_SP0_c0.t1	CARHR253270
OG0000100	ESY1_g11939_DN1_SP0_c0.t1	CARHR047460, CARHR047540, CARHR047180, CARHR047080, CARHR050870, CARHR055030, CARHR047470, CARHR047430, CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047060, CARHR048000, CARHR048030, CARHR048060, CARHR048070, CARHR048510, CARHR051270, CARHR051280, CARHR051250, CARHR047730, CARHR047100, CARHR047140, CARHR047090, CARHR047300, CARHR047120, CARHR047270, CARHR047210, CARHR149280, CARHR047170, CARHR047230, CARHR183030
OG0000101	ESY13_g57677_DN1_SP0_c0.t1	CARHR154270, CARHR176810, CARHR287350, CARHR006250, CARHR183060, CARHR099970, CARHR036950
OG0000102	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1	CARHR252050
OG0000102	ESY7_g16536_DN3_SP0_c0.t1	CARHR252110, CARHR252090, CARHR252060
OG0000102	ESY7_g16537_DN2_SP0_c0.t1	CARHR252130
OG0000105	ESY3_g32130_DN3_SP0_c69.t1	CARHR077960
OG0000105	ESY3_g32066_DN2_SP0_c100.t1	CARHR104310
OG0000105	ESY16_g61595_DN1_SP0_c0.t1	CARHR222460
OG0000105	ESY5_g1810_DN2_SP0_c0.t1	CARHR047590, CARHR048050, CARHR288100, CARHR047560, CARHR047570
OG0000105	ESY5_g2214_DN1_SP0_c94.t1	CARHR047200, CARHR047260, CARHR262020, CARHR047480
OG0000105	ESY14_g20044_DN3_SP0_c0.t1	CARHR175180, CARHR153990, CARHR256480
OG0000106	ESY4_g24957_DN2_SP0_c25.t1	CARHR082570
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	CARHR119260, CARHR119250, CARHR095660, CARHR095650, CARHR095640, CARHR095620, CARHR055760, CARHR095610, CARHR096820, CARHR096830, CARHR097220, CARHR095680, CARHR095690, CARHR095670
OG0000111	ESY20_g12840_DN2_SP0_c0.t1, ESY8_g60792_DN2_SP0_c0.t1	CARHR161700, CARHR161720
OG0000111	ESY1_g10823_DN3_SP0_c0.t1	CARHR148290
OG0000114	ESY9_g42538_DN3_SP0_c15.t1	CARHR287300
OG0000116	ESY12_g51236_DN3_SP0_c0.t1	CARHR217650
OG0000116	ESY6_g46511_DN2_SP0_c13.t1, ESY8_g59869_DN2_SP0_c0.t1	CARHR101930
OG0000117	ESY5_g2024_DN3_SP0_c0.t1	CARHR023940, CARHR023950
OG0000118	ESY3_g32056_DN2_SP0_c0.t1	CARHR101240, CARHR101220
OG0000118	ESY7_g16947_DN2_SP0_c0.t1	CARHR133040, CARHR180020
OG0000119	ESY1_g12226_DN2_SP0_c73.t1, ESY3_g32436_DN2_SP0_c0.t1	CARHR150070, CARHR118170
OG0000119	ESY6_g48892_DN3_SP0_c5.t1, ESY9_g42653_DN3_SP0_c4.t1	CARHR118700, CARHR273840
OG0000119	ESY2_g33918_DN3_SP0_c1.t1	CARHR150120
OG0000122	ESY3_g30972_DN2_SP0_c0.t1	CARHR269760
OG0000122	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1	CARHR269920
OG0000122	ESY2_g33719_DN1_SP0_c0.t1	CARHR036560, CARHR031790, CARHR031760, CARHR036530
OG0000122	ESY18_g63392_DN1_SP0_c0.t1	CARHR269750
OG0000122	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1	CARHR269730
OG0000122	ESY6_g48203_DN3_SP0_c0.t1, ESY2_g33718_DN3_SP0_c0.t1	CARHR031770, CARHR269910, CARHR269890
OG0000122	ESY2_g36290_DN3_SP0_c0.t1	CARHR033520, CARHR033430
OG0000123	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	CARHR181480, CARHR181490, CARHR283690, CARHR187420, CARHR274650, CARHR274680, CARHR016560, CARHR042770, CARHR274670
OG0000125	ESY8_g58834_DN3_SP0_c19.t1	CARHR122240
OG0000125	ESY8_g58838_DN3_SP0_c18.t1	CARHR122230
OG0000125	ESY2_g37202_DN3_SP0_c14.t1	CARHR039100
OG0000125	ESY1_g12339_DN3_SP0_c5.t1	CARHR041980
OG0000127	ESY5_g4488_DN3_SP0_c0.t1	CARHR007600
OG0000127	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	CARHR190650
OG0000127	ESY3_g30943_DN3_SP0_c0.t1, ESY1_g11076_DN3_SP0_c0.t1	CARHR163570
OG0000127	ESY1_g11079_DN3_SP0_c0.t1	CARHR210790
OG0000127	ESY6_g48851_DN3_SP0_c0.t1	CARHR273520
OG0000127	ESY8_g58880_DN2_SP0_c0.t1	CARHR121850
OG0000128	ESY4_g26081_DN1_SP0_c0.t1, ESY1_g11254_DN1_SP0_c0.t1	CARHR169590, CARHR104610
OG0000128	ESY1_g11245_DN1_SP0_c0.t1	CARHR061850, CARHR061820, CARHR104600, CARHR169620, CARHR169630, CARHR123020, CARHR061840, CARHR169580, CARHR169600, CARHR169570
OG0000129	ESY2_g34340_DN2_SP0_c0.t1	CARHR038520
OG0000129	ESY7_g18677_DN3_SP0_c0.t1	CARHR038560
OG0000129	ESY7_g19441_DN3_SP0_c0.t1, ESY7_g19438_DN2_SP0_c0.t1	CARHR056680, CARHR056760, CARHR056690
OG0000129	ESY6_g49428_DN3_SP0_c0.t1	CARHR275720, CARHR275710, CARHR120250, CARHR120240, CARHR120610, CARHR275730
OG0000129	ESY2_g34341_DN3_SP0_c0.t1	CARHR038530, CARHR038540, CARHR056610
OG0000130	ESY1_g9827_DN1_SP0_c0.t1	CARHR158410, CARHR153220, CARHR117340, CARHR057000, CARHR036720, CARHR287060, CARHR146840, CARHR038370, CARHR217450, CARHR056860, CARHR182430, CARHR103120
OG0000130	ESY23_g219_DN2_SP0_c0.t1	CARHR183650, CARHR123710, CARHR043800
OG0000132	ESY6_g48238_DN1_SP0_c0.t1	CARHR256230
OG0000136	ESY10_g13998_DN2_SP0_c0.t1, ESY9_g45027_DN2_SP0_c0.t1	CARHR186370
OG0000137	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1	CARHR268710
OG0000138	ESY11_g54288_DN3_SP0_c0.t1	CARHR052020, CARHR053570
OG0000140	ESY10_g15894_DN2_SP0_c0.t1	CARHR116590, CARHR146770
OG0000141	ESY5_g3778_DN2_SP0_c0.t1, ESY5_g3779_DN2_SP0_c0.t1	CARHR255820
OG0000141	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1	CARHR013070
OG0000141	ESY2_g33647_DN2_SP0_c0.t1, ESY2_g33651_DN2_SP0_c0.t1	CARHR048210, CARHR049580, CARHR049710, CARHR049690, CARHR049380, CARHR049330, CARHR049720, CARHR049640, CARHR049340, CARHR049700, CARHR048830, CARHR049260
OG0000141	ESY6_g49757_DN3_SP0_c0.t1, ESY6_g49766_DN1_SP0_c0.t1, ESY6_g49768_DN3_SP0_c0.t1, ESY6_g49777_DN3_SP0_c0.t1, ESY6_g49767_DN3_SP0_c0.t1	CARHR048950, CARHR048730, CARHR048980, CARHR049220, CARHR049190, CARHR048930, CARHR049010, CARHR156260
OG0000148	ESY5_g5279_DN1_SP0_c0.t1	CARHR037410
OG0000148	ESY6_g48422_DN3_SP0_c0.t1, ESY5_g4001_DN3_SP0_c14.t1	CARHR040920
OG0000150	ESY3_g27873_DN2_SP0_c0.t1	CARHR288220, CARHR217380, CARHR294480
OG0000151	ESY1_g10786_DN3_SP0_c0.t1, ESY1_g10749_DN1_SP0_c6.t1	CARHR165160, CARHR151000, CARHR165130, CARHR165120, CARHR134140, CARHR165110, CARHR163410, CARHR132240, CARHR199860
OG0000153	ESY18_g63267_DN3_SP0_c0.t1	CARHR124170, CARHR124160, CARHR124140
OG0000153	ESY5_g4518_DN3_SP0_c32.t1	CARHR007190
OG0000154	ESY16_g61942_DN3_SP0_c0.t1, ESY16_g61938_DN2_SP0_c0.t1, ESY2_g37486_DN2_SP0_c0.t1	CARHR040870, CARHR121480
OG0000154	ESY2_g37254_DN2_SP0_c0.t1	CARHR040880, CARHR041470
OG0000154	ESY2_g37383_DN3_SP0_c0.t1, ESY2_g37452_DN3_SP0_c0.t1	CARHR040860, CARHR041500
OG0000157	ESY5_g3516_DN1_SP0_c0.t1	CARHR029980
OG0000157	ESY7_g18190_DN2_SP0_c0.t1	CARHR144020
