Orthogroup	Euclidium_syriacum	Camelina_sativa
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	XP_010431016.1, XP_010431602.1, XP_010495651.1, XP_019084626.1, XP_010479585.2, XP_019086691.1, XP_019100941.1, XP_010436667.1, XP_010435400.1, XP_010496706.1, XP_019099475.1, XP_010469447.1, XP_010481225.1, XP_010456919.1, XP_019096427.1, XP_010507307.1, XP_010511600.1, XP_010507587.1, XP_019087477.1, XP_010451880.1, XP_010485281.1, XP_010421049.1, XP_010468811.1, XP_019087471.1, XP_010468495.1, XP_010445987.1, XP_010463082.1, XP_010507576.1, XP_010436436.1, XP_019091129.1, XP_019094477.1, XP_019097408.1, XP_019094446.1, XP_010480912.1, XP_010501923.1, XP_010496849.2, XP_010436513.1, XP_010471152.1, XP_010468712.1, XP_010445003.1, XP_019085642.1, XP_019096041.1, XP_019096210.1, XP_019097221.1, XP_019088922.1, XP_010477729.2, XP_019094573.1, XP_019091014.1, XP_010446804.2, XP_010416297.2, XP_010445698.1, XP_010456622.1, XP_019087537.1, XP_010445750.1, XP_010424813.1, XP_010495224.1, XP_010418574.1, XP_010436820.1, XP_010474418.1, XP_010436701.1, XP_019100967.1, XP_010445262.1, XP_019087605.1, XP_010506961.1, XP_010489975.1, XP_010463458.1, XP_010496974.1, XP_010418941.1, XP_019087475.1, XP_019082563.1, XP_010481097.1, XP_010445969.1, XP_010418993.1, XP_010484977.1, XP_010418557.1, XP_010496147.1, XP_019084200.1, XP_010490462.1, XP_010485011.1, XP_010462584.1, XP_010485291.1, XP_010478660.1, XP_010500080.1, XP_019082601.1, XP_019090940.1, XP_019094917.1, XP_019093341.1, XP_019087695.1, XP_010470530.1, XP_019089183.1, XP_019101696.1, XP_019087470.1, XP_010513731.1, XP_010495913.1, XP_010507724.1, XP_010424263.1, XP_010501166.1, XP_019093691.1, XP_019083796.1, XP_010469173.1, XP_010444914.1, XP_010489639.1, XP_010501823.1, XP_010428435.1, XP_019099816.1, XP_010463256.1, XP_010436672.1, XP_010478058.1, XP_010507227.1, XP_010485068.1
OG0000008	ESY1_g7826_DN2_SP0_c27.t1	XP_010451669.1
OG0000009	ESY6_g47492_DN1_SP0_c0.t1	XP_019101780.1, XP_010446224.1, XP_010424733.1
OG0000009	ESY2_g34470_DN1_SP0_c0.t1	XP_019085473.1
OG0000009	ESY7_g19643_DN1_SP0_c0.t1, ESY4_g23742_DN2_SP0_c0.t1, ESY7_g17772_DN2_SP0_c0.t1	XP_019096542.1
OG0000009	ESY17_g40133_DN1_SP0_c0.t1	XP_010462909.1, XP_010507589.1
OG0000009	ESY9_g43520_DN3_SP0_c0.t1	XP_010445906.1, XP_010473781.1
OG0000011	ESY4_g23292_DN2_SP0_c93.t1, ESY1_g6718_DN1_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1, ESY6_g49770_DN3_SP0_c0.t1	XP_010516924.1
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010497051.1, XP_010496929.1, XP_010456825.1, XP_010496981.1, XP_010480376.1, XP_010451291.1, XP_019085445.1, XP_019087271.1, XP_010424212.1, XP_010504520.2, XP_010502002.1, XP_010489152.1, XP_010513273.2, XP_010484802.1, XP_010484982.1, XP_010445478.1, XP_019087287.1, XP_010436576.1
OG0000011	ESY7_g17507_DN3_SP0_c53.t1	XP_010453170.1, XP_010497231.1
OG0000011	ESY6_g46861_DN2_SP0_c63.t1	XP_019086294.1, XP_019087453.1, XP_010471647.1
OG0000015	ESY4_g23102_DN1_SP0_c100.t1	XP_019098184.1, XP_010412474.1
OG0000015	ESY14_g21116_DN2_SP0_c1.t1	XP_010480818.1, XP_010497195.1, XP_010456599.1
OG0000015	ESY5_g1619_DN2_SP0_c2.t1	XP_010418862.1, XP_019084456.1, XP_019090265.1, XP_010497072.1, XP_010501828.1, XP_010496259.1
OG0000015	ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1	XP_010427798.1, XP_010450099.1
OG0000015	ESY3_g29176_DN1_SP0_c0.t1	XP_010488852.1
OG0000015	ESY3_g28799_DN2_SP0_c0.t1, ESY3_g29490_DN1_SP0_c0.t1	XP_019089569.1
OG0000015	ESY2_g38598_DN3_SP0_c0.t1	XP_010474544.1
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	XP_019094511.1, XP_019096116.1, XP_019092317.1, XP_010484717.1, XP_019101859.1, XP_010412662.1, XP_010412664.1, XP_010462765.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1, XP_010463195.1
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1, XP_010419513.2, XP_010485084.1, XP_019093393.1, XP_010490144.2, XP_010445327.2, XP_019084343.1, XP_010513440.1, XP_019085424.1, XP_019094593.1, XP_019085440.1, XP_010495727.1, XP_019085626.1, XP_019101996.1, XP_019086627.1
OG0000020	ESY13_g56796_DN1_SP0_c0.t1, ESY4_g22336_DN1_SP0_c100.t1, ESY6_g46671_DN2_SP0_c83.t1, ESY23_g73_DN3_SP0_c0.t1	XP_019082585.1
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	XP_010513446.2, XP_019086267.1, XP_010423747.1, XP_010436809.1, XP_010424537.1, XP_010506965.1, XP_010503779.1, XP_010484789.1, XP_010431203.2, XP_019096510.1, XP_019100928.1, XP_010424409.1, XP_010425747.1, XP_019097391.1, XP_019099607.1, XP_019097512.1, XP_010426045.1, XP_010490194.1, XP_010419328.1, XP_010425255.1, XP_010425129.1, XP_010518556.1, XP_010456610.1, XP_010446058.1, XP_010451363.1, XP_010431070.1, XP_019091017.1, XP_010445717.1, XP_010474695.1, XP_010507197.1, XP_010484803.1, XP_010456729.1, XP_010484820.1, XP_010496602.2
OG0000021	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	XP_019091495.1, XP_010471217.1, XP_010434877.1, XP_019088976.1, XP_010482610.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010451671.1, XP_019096477.1, XP_010511144.1, XP_010439761.1, XP_019089680.1
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	XP_019090144.1, XP_019083197.1, XP_010506933.1, XP_010445979.1, XP_010422813.1, XP_010431119.1, XP_010425465.1, XP_010490322.1, XP_010436664.1, XP_010419027.1, XP_010422803.1, XP_019085500.1, XP_010431149.1, XP_019092394.1, XP_010451613.1, XP_010431214.1, XP_010489845.1, XP_010473334.1, XP_010412528.1, XP_019086325.1, XP_010495686.1, XP_010419111.1, XP_010484854.1, XP_010475417.1, XP_010468248.1, XP_019097497.1, XP_010431497.1, XP_010495795.1, XP_010424360.1, XP_010490106.1, XP_019092345.1, XP_010490056.1, XP_010495372.1, XP_010512916.1, XP_010424574.1, XP_010474959.1, XP_010480840.1, XP_010513121.1, XP_010428239.1, XP_019091465.1, XP_010495471.1, XP_010465658.1, XP_010460988.1, XP_010448578.1, XP_010446631.1, XP_010446264.1, XP_010485326.1, XP_010424137.1, XP_019087273.1, XP_010412821.1, XP_010419935.1, XP_010507508.1, XP_019100992.1, XP_010418572.1, XP_010513529.1, XP_010431509.1, XP_010451222.1, XP_019087083.1, XP_010445644.1, XP_010495590.1, XP_010468561.1, XP_010463429.1, XP_010436656.1, XP_010451895.1, XP_010418679.1, XP_010451825.1, XP_010468629.1, XP_019082669.1, XP_010474311.1, XP_010495350.1, XP_019100920.1, XP_010513512.1, XP_010495582.1, XP_019095592.1, XP_010490347.1, XP_010472048.1
OG0000024	ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1	XP_019082533.1
OG0000027	ESY23_g74_DN3_SP0_c34.t1	XP_010442801.1
OG0000027	ESY23_g71_DN1_SP0_c28.t1	XP_010445185.2
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	XP_010439198.1, XP_019086465.1, XP_010448731.2, XP_019087878.1, XP_019089062.1, XP_010448746.1, XP_010439203.1, XP_019087356.1, XP_010448742.1, XP_010433928.1, XP_010451236.1, XP_019088139.1, XP_010439207.1, XP_010451240.1, XP_010445190.1
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	XP_010450001.1, XP_010436592.1, XP_010440401.1, XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019089771.1, XP_010446183.1, XP_019095667.1
OG0000029	ESY6_g48344_DN1_SP0_c0.t1	XP_010501650.1
OG0000029	ESY10_g14733_DN2_SP0_c0.t1	XP_019090727.1
OG0000030	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1	XP_010419044.1
OG0000030	ESY3_g29344_DN3_SP0_c0.t1	XP_019100742.1, XP_010489955.2
OG0000030	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1	XP_010462936.2, XP_010462910.2, XP_010477981.2, XP_019091238.1, XP_010499061.1
OG0000030	ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	XP_010506941.1, XP_010481243.1
OG0000030	ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1	XP_019093261.1
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	XP_019099946.1, XP_019099931.1, XP_010431180.1
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	XP_019096352.1
OG0000030	ESY2_g33562_DN1_SP0_c0.t1	XP_010412587.1
OG0000030	ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1	XP_019096260.1, XP_019096643.1
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	XP_010419025.2, XP_010489797.1, XP_019096559.1, XP_010468083.1
OG0000031	ESY23_g31_DN2_SP0_c0.t1	XP_010444656.1, XP_010424185.1, XP_010513198.1
OG0000032	ESY1_g7080_DN3_SP0_c33.t1, ESY11_g52738_DN2_SP0_c0.t1, ESY15_g65701_DN1_SP0_c88.t1	XP_010419309.1
OG0000036	ESY7_g17009_DN2_SP0_c60.t1	XP_019082497.1
OG0000038	ESY15_g65319_DN1_SP0_c38.t1, ESY6_g47063_DN3_SP0_c100.t1, ESY8_g60522_DN1_SP0_c100.t1	XP_019087591.1
OG0000038	ESY21_g55396_DN1_SP0_c0.t1	XP_019087577.1
OG0000038	ESY3_g29295_DN1_SP0_c68.t1, ESY21_g55792_DN2_SP0_c0.t1	XP_019095590.1, XP_019093290.1, XP_019087432.1, XP_019084251.1, XP_019098425.1
OG0000040	ESY5_g2557_DN3_SP0_c0.t1	XP_010474284.1, XP_010490455.1
OG0000040	ESY7_g16531_DN2_SP0_c0.t1	XP_019083342.1, XP_019094451.1
OG0000041	ESY6_g46303_DN3_SP0_c0.t1	XP_010496670.1, XP_010420068.1
OG0000041	ESY14_g19727_DN2_SP0_c0.t1	XP_019097475.1
OG0000041	ESY6_g47885_DN2_SP0_c0.t1, ESY21_g55401_DN3_SP0_c0.t1	XP_010513128.1, XP_010451841.1, XP_019089249.1, XP_010412539.1, XP_010513565.1, XP_019096292.1
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	XP_019091156.1, XP_019093231.1, XP_019096492.1, XP_010412906.1, XP_019099748.1, XP_019086118.1, XP_019086485.1, XP_019086302.1, XP_019096323.1, XP_010436786.1, XP_019087653.1, XP_019099719.1, XP_019099720.1, XP_019095626.1, XP_019087375.1, XP_019085432.1, XP_019099649.1, XP_019096533.1, XP_019097420.1, XP_010497182.1, XP_010493723.1, XP_019099586.1, XP_019097449.1, XP_019099623.1, XP_019082639.1, XP_019093253.1, XP_019094507.1, XP_019086255.1, XP_019085066.1, XP_019086308.1, XP_019090126.1, XP_019097488.1, XP_019100800.1, XP_019086528.1, XP_019095528.1, XP_019084189.1
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	XP_010415464.1, XP_010456305.1, XP_010424457.1
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	XP_010506954.1, XP_010412394.1, XP_010506956.1, XP_010484797.1, XP_019101232.1, XP_010468709.1
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	XP_019089219.1, XP_019086326.1, XP_019082700.1, XP_010463327.1, XP_010423930.1, XP_010424468.1, XP_010463046.1, XP_010497241.1, XP_010501876.1, XP_019099585.1, XP_010445958.1, XP_010422854.1, XP_010490075.1, XP_019098185.1, XP_010451890.1, XP_010468194.1, XP_010462654.1, XP_019087448.1, XP_010424030.1, XP_010424324.1, XP_010471448.1, XP_010473926.1, XP_010445335.1, XP_019091097.1, XP_010513759.1, XP_019087314.1, XP_019094473.1, XP_010507068.1, XP_010484806.1, XP_019097453.1, XP_010474216.1
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	XP_019089124.1
OG0000046	ESY14_g21426_DN1_SP0_c0.t1	XP_019091484.1
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	XP_010461751.1, XP_010502950.1, XP_010518653.2, XP_010412583.2, XP_010474317.1, XP_010490459.2, XP_010412458.2, XP_010495393.2, XP_019094411.1, XP_010507554.1, XP_010507003.1, XP_010451886.2, XP_019086303.1, XP_019097866.1, XP_019089513.1, XP_010435128.1, XP_019096471.1, XP_019094579.1, XP_010458616.1, XP_010495787.1, XP_019087961.1, XP_010502335.1
OG0000048	ESY5_g4613_DN3_SP0_c0.t1	XP_010444605.1, XP_010485320.1
OG0000048	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1	XP_010418688.1, XP_010473891.1, XP_010473899.1, XP_010510053.1, XP_010510047.1
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1	XP_010480341.1
OG0000048	ESY8_g58361_DN2_SP0_c0.t1	XP_010513134.1, XP_010418702.1
OG0000048	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	XP_019087514.1
OG0000048	ESY8_g58364_DN2_SP0_c0.t1	XP_019082535.1, XP_010421893.1
OG0000048	ESY1_g10653_DN1_SP0_c0.t1	XP_010468111.1, XP_019094365.1
OG0000050	ESY7_g16182_DN3_SP0_c92.t1	XP_010412420.1
OG0000050	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	XP_010495728.1, XP_019097515.1
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	XP_010475218.1, XP_019098849.1, XP_019094361.1, XP_019094954.1, XP_010457379.1
OG0000051	ESY5_g5127_DN3_SP0_c0.t1	XP_010508568.1, XP_019101977.1, XP_010506074.1
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	XP_019101976.1, XP_019100719.1, XP_010507704.1, XP_010508571.1, XP_019099792.1, XP_019099930.1, XP_019102077.1, XP_010489918.2, XP_019092650.1, XP_019101975.1, XP_019101079.1
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	XP_019100718.1, XP_019102056.1
OG0000051	ESY12_g51338_DN3_SP0_c0.t1	XP_019100717.1, XP_019101979.1, XP_019099795.1, XP_019101978.1, XP_019100716.1, XP_019099796.1, XP_019100715.1, XP_019099797.1, XP_019100714.1, XP_019100713.1, XP_019099798.1, XP_019099883.1, XP_019101012.1, XP_010413016.2, XP_010413017.1
OG0000052	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	XP_010507020.2
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	XP_019099853.1, XP_010431292.1
OG0000052	ESY1_g10448_DN1_SP0_c0.t1	XP_019102115.1, XP_019102114.1, XP_019085861.1, XP_019083963.1
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	XP_019092356.1
OG0000055	ESY9_g45399_DN1_SP0_c0.t1	XP_019092293.1
OG0000055	ESY3_g30252_DN1_SP0_c0.t1	XP_019092631.1
OG0000055	ESY8_g59290_DN2_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1	XP_010456592.1
OG0000055	ESY3_g29892_DN1_SP0_c0.t1	XP_010440797.1, XP_019086313.1, XP_010451673.1
OG0000055	ESY16_g61658_DN1_SP0_c0.t1, ESY2_g38033_DN2_SP0_c0.t1	XP_010489901.1, XP_019096397.1, XP_010465850.1, XP_010487685.1, XP_010465849.1
OG0000056	ESY2_g33771_DN2_SP0_c0.t1	XP_010473413.1, XP_019085277.1
OG0000056	ESY2_g33766_DN3_SP0_c0.t1	XP_010430221.1
OG0000056	ESY2_g33762_DN3_SP0_c0.t1	XP_010473417.1, XP_010419451.1
OG0000056	ESY2_g33775_DN1_SP0_c0.t1	XP_010430223.1, XP_010418172.1, XP_010473414.1, XP_019082750.1, XP_010430231.1, XP_010473416.1, XP_010418173.1, XP_010430224.1, XP_010473415.1
OG0000056	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1	XP_010426146.1, XP_010503309.1, XP_019084785.1, XP_010515018.1
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	XP_019086887.1, XP_010493433.1, XP_010496594.1
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	XP_010468509.1, XP_010513254.1, XP_010506939.1, XP_010480419.1, XP_010484891.1, XP_010468544.1, XP_010485044.1, XP_010412459.1, XP_019098310.1, XP_019096550.1, XP_019086270.1, XP_019101868.1, XP_019100846.1, XP_019101359.1, XP_019093349.1, XP_010507005.2, XP_019090153.1, XP_019099752.1, XP_010495718.2, XP_010457035.1, XP_010472188.1, XP_010441848.1, XP_010445492.1, XP_010430898.2, XP_019093221.1, XP_010481117.1, XP_010451663.1, XP_010451610.1, XP_010424604.1, XP_010430895.1, XP_019100940.1, XP_019089256.1, XP_019098331.1, XP_019089167.1, XP_010507288.1, XP_010513622.1, XP_019085657.1, XP_010445597.1, XP_010495691.1, XP_010456723.1, XP_010501541.1, XP_010507131.1, XP_019084347.1, XP_019082584.1, XP_019093348.1
OG0000059	ESY11_g53896_DN3_SP0_c0.t1	XP_010445837.1, XP_010495452.1
OG0000059	ESY1_g9125_DN2_SP0_c0.t1	XP_010451490.1, XP_010506938.1
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	XP_019101969.1, XP_019083787.1
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	XP_010510427.1
OG0000062	ESY14_g20664_DN3_SP0_c0.t1	XP_019096831.1
OG0000062	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1	XP_019094835.1, XP_010445890.1, XP_010424291.1, XP_019097384.1, XP_019092382.1, XP_010513205.1, XP_010513649.1
OG0000062	ESY9_g44156_DN3_SP0_c0.t1	XP_010430727.1
OG0000062	ESY14_g20663_DN3_SP0_c36.t1	XP_010430776.1, XP_010497024.1, XP_019085507.1
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	XP_019100825.1, XP_019089224.1, XP_019082509.1, XP_019098391.1, XP_019101826.1, XP_019097369.1, XP_019087595.1, XP_019097514.1, XP_019098377.1, XP_019086584.1, XP_019100777.1, XP_019095028.1, XP_019098255.1, XP_019082506.1, XP_019085614.1, XP_019098383.1, XP_019085751.1, XP_019087675.1, XP_019082593.1, XP_019089068.1, XP_019093206.1, XP_019089097.1, XP_010507647.1, XP_010445567.1, XP_010501984.1, XP_010507459.1, XP_019087286.1, XP_019096502.1, XP_019095570.1, XP_019088989.1, XP_019082667.1, XP_019084254.1, XP_019085503.1, XP_019089052.1, XP_019086237.1, XP_019096554.1, XP_019086200.1, XP_019090121.1, XP_019095484.1, XP_019095597.1, XP_019086378.1, XP_019085320.1, XP_019093329.1, XP_019096445.1, XP_019090996.1, XP_019101850.1, XP_019087326.1, XP_019087327.1, XP_019088608.1, XP_019091190.1, XP_019101846.1, XP_019096222.1, XP_019086020.1, XP_019084316.1, XP_019096396.1, XP_019091125.1, XP_019095609.1, XP_019096651.1, XP_019086271.1, XP_019085571.1, XP_019096021.1, XP_019085633.1, XP_019101863.1, XP_019082636.1, XP_019085306.1, XP_019084244.1, XP_010445945.1, XP_019095558.1, XP_019082609.1, XP_019094567.1, XP_019094508.1, XP_019095608.1, XP_019099614.1
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	XP_019097464.1, XP_019095830.1, XP_010495949.1, XP_019097470.1, XP_019097730.1, XP_010494197.1, XP_010494198.1, XP_010495950.1, XP_010467928.1, XP_010484899.1, XP_019095588.1, XP_010442146.1, XP_010481977.1, XP_010481978.1, XP_010494196.1, XP_010494195.1, XP_010494194.1
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	XP_010450947.1, XP_019086129.1
OG0000066	ESY23_g163_DN2_SP0_c0.t1, ESY7_g18022_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1	XP_010489841.1, XP_010475747.1, XP_010484375.1, XP_010514443.1, XP_010502711.1, XP_010444536.1, XP_010425488.1, XP_010458200.1, XP_010463183.1
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	XP_010419651.1, XP_010491788.1, XP_010431986.1, XP_010453132.1, XP_010437129.1, XP_010431988.1
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	XP_010477215.1, XP_019091470.1
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	XP_010451555.1, XP_010474142.1, XP_010462847.1, XP_010501825.1, XP_010469626.1, XP_010468532.1, XP_019085178.1, XP_010445366.1, XP_010436483.1, XP_010470520.1, XP_010507263.1, XP_010446237.1, XP_010480816.1, XP_010445762.1, XP_010497305.1, XP_010507063.1, XP_010418611.1, XP_010462653.1, XP_010495193.1, XP_010424660.1, XP_010474442.1, XP_010506977.1, XP_010445242.1
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	XP_010423843.1, XP_019090686.1, XP_010423328.1, XP_010423367.1, XP_010452589.1, XP_019097301.1, XP_010490972.1, XP_010424780.1, XP_010452237.1, XP_019084545.1, XP_019097292.1
OG0000068	ESY6_g50195_DN3_SP0_c0.t1	XP_010485475.1, XP_010463635.1, XP_010441868.1, XP_010423706.1, XP_010490829.1, XP_010423608.1, XP_010490827.1, XP_019092519.1
OG0000069	ESY6_g49560_DN2_SP0_c0.t1	XP_010485632.1
OG0000069	ESY7_g19473_DN2_SP0_c0.t1	XP_010445517.1
OG0000069	ESY8_g58271_DN2_SP0_c9.t1	XP_019094910.1, XP_010457094.2
OG0000069	ESY1_g11580_DN3_SP0_c0.t1	XP_010507199.1, XP_019101860.1
