Orthogroup	Euclidium_syriacum	Noccaea_praecox
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	Np002G1062300, Np003G1667700, Np001G0298900, Np004G2255700, Np001G0314400
OG0000011	ESY11_g53520_DN3_SP0_c81.t1, ESY1_g6775_DN3_SP0_c50.t1	Np001G0493800
OG0000011	ESY6_g46861_DN2_SP0_c63.t1	Np001G0276200
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	Np001G0295000
OG0000015	ESY5_g1619_DN2_SP0_c2.t1	Np007G4026300
OG0000015	ESY6_g46006_DN2_SP0_c14.t1	Np007G4092100, Np007G4161100
OG0000016	ESY1_g8220_DN1_SP0_c0.t1	Np008G4282100
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	Np002G1011300, Np009G4311500
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	Np007G3964100, Np003G1663000, Np005G2821900, Np005G2821200
OG0000020	ESY6_g46671_DN2_SP0_c83.t1	Np003G1713100
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	Np005G2819900, Np003G1499900, Np004G2262900, Np003G1806100, Np001G0282400, Np002G1064200, Np002G0964900, Np003G1389200, Np005G3017500, Np007G3934300, Np003G1720200
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	Np006G3526600, Np006G3415000, Np002G1065700, Np005G3185500, Np002G1007500, Np002G0951100, Np002G1112500, Np002G1180000, Np002G1070000, Np007G4015700, Np002G1103400, Np004G2177800, Np006G3543300, Np005G2842200, Np006G3594200, Np004G2178800, Np003G1712400, Np006G3415100, Np004G2391200, Np010G4349100, Np007G4034700
OG0000023	ESY8_g61320_DN3_SP0_c0.t1	Np003G1695200, Np006G3508300
OG0000024	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1	Np004G1980700, Np004G1980500
OG0000024	ESY7_g18150_DN2_SP0_c0.t1, ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1	Np002G0932100
OG0000024	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	Np004G2007800
OG0000026	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1	Np002G1023700, Np003G1714900, Np004G2296200, Np002G1036400, Np006G3505400
OG0000026	ESY8_g58625_DN1_SP0_c0.t1	Np001G0460600, Np001G0205400, Np002G1009300, Np006G3527300, Np001G0460700, Np003G1715000
OG0000027	ESY23_g74_DN3_SP0_c34.t1	Np005G2839100
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	Np005G2840800, Np005G2838800, Np005G2840200
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	Np003G1643200
OG0000028	ESY20_g13267_DN3_SP0_c0.t1	Np001G0479800, Np001G0480000
OG0000028	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1	Np003G1832500
OG0000029	ESY1_g6329_DN2_SP0_c0.t1	Np003G1680700
OG0000029	ESY10_g14733_DN2_SP0_c0.t1	Np006G3568700
OG0000030	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1	Np001G0090700
OG0000030	ESY3_g30317_DN3_SP0_c0.t1, ESY3_g30319_DN3_SP0_c0.t1, ESY2_g38589_DN3_SP0_c0.t1, ESY7_g17512_DN3_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g30190_DN1_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1, ESY3_g30320_DN1_SP0_c0.t1, ESY3_g30284_DN2_SP0_c0.t1	Np004G2249500, Np004G2249800
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	Np004G2250000
OG0000031	ESY23_g31_DN2_SP0_c0.t1	Np002G0985700
OG0000032	ESY15_g65701_DN1_SP0_c88.t1	Np004G2267500
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	Np005G2976300, Np005G2976500, Np004G2088100, Np005G3165600
OG0000035	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1	Np002G1060000, Np001G0383600, Np002G0991100, Np005G2830800, Np002G1134400, Np004G2299800, Np002G1000600
OG0000035	ESY10_g13892_DN3_SP0_c0.t1	Np002G0894300, Np002G1040100, Np006G3284300, Np007G3930600, Np002G0953600, Np003G1528700, Np001G0239800, Np002G1120800, Np004G2470200
OG0000035	ESY10_g13797_DN1_SP0_c0.t1	Np007G3930700
OG0000035	ESY10_g13893_DN3_SP0_c0.t1	Np002G1076200
OG0000038	ESY15_g65319_DN1_SP0_c38.t1, ESY6_g47063_DN3_SP0_c100.t1, ESY8_g60522_DN1_SP0_c100.t1, ESY21_g55396_DN1_SP0_c0.t1, ESY3_g29295_DN1_SP0_c68.t1, ESY21_g55792_DN2_SP0_c0.t1	Np007G3978400
OG0000040	ESY8_g60365_DN2_SP0_c0.t1	Np002G0854800
OG0000040	ESY7_g17207_DN1_SP0_c0.t1	Np007G4208200
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	Np002G1205400, Np004G2543000
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	Np004G2298700
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	Np006G3309000, Np007G4027400, Np003G1737200, Np007G4178400, Np007G4238800, Np007G3908200, Np003G1737100, Np002G0963100
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	Np004G2434100, Np001G0206600, Np003G1577100, Np005G2957000, Np002G0951900, Np006G3382800, Np003G1722000, Np002G0941700, Np003G1677700, Np006G3278600, Np006G3675100, Np002G1248100, Np001G0091300, Np002G1233300, Np003G1487200, Np002G1108100, Np005G2745100
OG0000046	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1	Np004G2388700, Np001G0160700
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	Np002G0812000, Np006G3271700, Np002G0901300, Np007G3942200, Np006G3533700, Np004G2173800, Np007G4037000, Np003G1635500, Np004G2079600, Np005G3093000, Np006G3271600, Np007G4080200, Np005G3032100, Np004G2183100, Np004G2290100, Np002G1005100, Np004G2334400
OG0000048	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1	Np006G3565700
OG0000048	ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1	Np002G0926400
OG0000050	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	Np005G2948800, Np006G3520600, Np001G0383900
OG0000050	ESY1_g9981_DN2_SP0_c0.t1, ESY7_g19658_DN2_SP0_c17.t1, ESY3_g29149_DN1_SP0_c0.t1, ESY9_g45386_DN2_SP0_c0.t1, ESY21_g55697_DN2_SP0_c0.t1, ESY10_g15754_DN1_SP0_c0.t1	Np005G2619700
OG0000050	ESY3_g27878_DN2_SP0_c0.t1	Np002G0988200, Np001G0256300, Np007G3953400, Np006G3570900
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	Np004G2552100, Np007G3843500, Np007G3849300, Np004G2593300, Np003G1312800, Np003G1313100, Np003G1316200, Np004G2360300
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	Np006G3285300, Np006G3285400
OG0000051	ESY12_g51256_DN3_SP0_c0.t1	Np002G1163000
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	Np006G3285800, Np006G3285900, Np006G3286000
OG0000051	ESY5_g2705_DN3_SP0_c0.t1	Np006G3284900
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	Np003G1730300
OG0000051	ESY12_g51338_DN3_SP0_c0.t1	Np006G3284800, Np006G3284200, Np006G3284000
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	Np006G3336100, Np006G3338700, Np003G1875300
OG0000055	ESY8_g59290_DN2_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1	Np007G3923100, Np007G3922500
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	Np007G4191600, Np007G4191200, Np005G2851900
OG0000056	ESY2_g33665_DN2_SP0_c0.t1	Np002G1194100
OG0000056	ESY2_g33766_DN3_SP0_c0.t1	Np002G1201900, Np002G1202000, Np002G1202100
OG0000056	ESY2_g33775_DN1_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1	Np002G1191800, Np002G1192300, Np002G1195300
OG0000056	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1	Np002G1192400
OG0000056	ESY3_g31686_DN3_SP0_c0.t1	Np005G3136000
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	Np004G2334500, Np006G3421900
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	Np006G3423100, Np006G3422500, Np004G2183000, Np007G3942100, Np006G3504600, Np003G1369700, Np006G3421800, Np002G1073600, Np007G4038100
OG0000060	ESY7_g19007_DN3_SP0_c0.t1, ESY6_g48855_DN3_SP0_c0.t1	Np005G3068800
OG0000060	ESY8_g58877_DN3_SP0_c0.t1	Np004G2515700, Np006G3598500
OG0000060	ESY1_g11058_DN3_SP0_c0.t1	Np004G2518200
OG0000060	ESY5_g4464_DN2_SP0_c0.t1	Np001G0460200
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	Np003G1795500
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	Np005G3181500, Np005G3181600, Np002G1245500
OG0000062	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1	Np002G0935900, Np001G0402000, Np007G4021600
OG0000062	ESY9_g44156_DN3_SP0_c0.t1	Np002G0991500
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	Np007G3777600, Np005G3133100, Np006G3435600, Np001G0224800, Np002G0954100, Np006G3435500
OG0000066	ESY11_g54349_DN3_SP0_c0.t1	Np004G2500100, Np003G1367200
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	Np005G2623300, Np007G3771600
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	Np005G2826900
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	Np005G3153500, Np005G3160300, Np005G3160400, Np005G3152300, Np005G3152600
OG0000068	ESY2_g35387_DN3_SP0_c0.t1	Np001G0556100, Np001G0557000, Np001G0558400
OG0000069	ESY6_g49560_DN2_SP0_c0.t1	Np006G3704200, Np006G3697500
OG0000069	ESY8_g58271_DN2_SP0_c9.t1	Np004G2374300, Np004G2572500, Np004G2541100, Np004G2541500
OG0000069	ESY10_g15831_DN1_SP0_c0.t1	Np004G2313200, Np001G0593200, Np001G0592800, Np001G0596200, Np001G0586900, Np001G0599500
OG0000069	ESY6_g49138_DN1_SP0_c0.t1	Np005G2913000, Np005G2913300, Np005G2926900, Np005G2926800
OG0000069	ESY4_g26861_DN3_SP0_c0.t1	Np005G2912900, Np005G2946700, Np005G2913400
OG0000070	ESY10_g14297_DN3_SP0_c35.t1, ESY3_g32095_DN2_SP0_c41.t1	Np007G3899300, Np001G0248800
OG0000070	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1	Np004G1989200, Np004G1988600, Np004G2059200, Np001G0355800, Np001G0356100, Np001G0356000
OG0000070	ESY16_g62316_DN3_SP0_c41.t1, ESY16_g62036_DN3_SP0_c0.t1	Np001G0650300, Np001G0653200
OG0000070	ESY1_g11985_DN1_SP0_c74.t1	Np007G3856900
OG0000072	ESY7_g16117_DN2_SP0_c0.t1	Np007G4041200, Np001G0368400, Np003G1731700, Np006G3587200, Np009G4327500, Np006G3447100, Np003G1510900, Np006G3565200
OG0000072	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1	Np007G4034300, Np001G0214400, Np004G2135500, Np006G3592300, Np006G3546700, Np006G3482700
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	Np002G0772500, Np004G2176900, Np006G3362700, Np002G0796100, Np001G0490300, Np008G4256100, Np001G0651800, Np002G1002300, Np005G3189400, Np007G3836600, Np006G3485300, Np004G2112600
OG0000072	ESY15_g64467_DN1_SP0_c0.t1	Np003G1588900, Np007G4122700, Np005G2824400
OG0000073	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1	Np005G2938000, Np001G0249200, Np003G1524100
OG0000075	ESY5_g3131_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY8_g60740_DN3_SP0_c0.t1	Np005G2617300
OG0000075	ESY1_g11598_DN2_SP0_c38.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY4_g26050_DN2_SP0_c0.t1	Np004G2247300
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	Np005G2608900
OG0000076	ESY4_g26372_DN3_SP0_c0.t1, ESY5_g4993_DN1_SP0_c0.t1, ESY5_g4992_DN1_SP0_c0.t1, ESY8_g59674_DN1_SP0_c0.t1, ESY2_g33376_DN3_SP0_c13.t1, ESY5_g4917_DN3_SP0_c0.t1, ESY2_g35407_DN2_SP0_c0.t1, ESY9_g42752_DN3_SP0_c0.t1, ESY2_g33366_DN2_SP0_c0.t1, ESY3_g31945_DN3_SP0_c0.t1, ESY4_g25882_DN2_SP0_c0.t1, ESY2_g34046_DN1_SP0_c0.t1, ESY4_g26532_DN1_SP0_c0.t1, ESY8_g59034_DN1_SP0_c0.t1, ESY4_g26353_DN2_SP0_c8.t1, ESY4_g25591_DN2_SP0_c0.t1, ESY2_g33380_DN1_SP0_c0.t1, ESY4_g26224_DN3_SP0_c0.t1, ESY6_g50584_DN1_SP0_c0.t1, ESY2_g33369_DN2_SP0_c0.t1	Np001G0369900
OG0000077	ESY16_g61756_DN3_SP0_c0.t1	Np002G0927000
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	Np007G3963000, Np004G2152000, Np004G2051400, Np004G2152100, Np004G2296400, Np004G2253500, Np004G2253600
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	Np005G2602400
OG0000082	ESY16_g62439_DN1_SP0_c0.t1, ESY2_g37207_DN1_SP0_c0.t1, ESY13_g57896_DN2_SP0_c0.t1, ESY24_g33022_DN1_SP0_c64.t1	Np005G3021900
OG0000082	ESY3_g28725_DN2_SP0_c0.t1	Np006G3323100
OG0000084	ESY23_g105_DN2_SP0_c89.t1, ESY14_g20371_DN1_SP0_c0.t1	Np004G2273500
OG0000084	ESY9_g44313_DN1_SP0_c0.t1	Np007G3915500
OG0000086	ESY8_g59458_DN3_SP0_c0.t1	Np005G3022400
OG0000086	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1	Np005G3126400, Np005G3126800, Np005G3126700, Np005G3127000
OG0000086	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	Np005G3127100
OG0000086	ESY2_g35232_DN2_SP0_c0.t1	Np002G0867100
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	Np001G0109800
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	Np006G3501600, Np008G4281600
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	Np003G1391100
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	Np001G0399300
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	Np005G2871200
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	Np002G0774400
OG0000090	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	Np006G3523700, Np004G2304300
OG0000095	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	Np006G3650500, Np006G3650700
OG0000095	ESY3_g31038_DN1_SP0_c0.t1	Np006G3660300
OG0000096	ESY6_g49250_DN3_SP0_c0.t1	Np007G3952900, Np002G0789300, Np002G0783300, Np007G3906500, Np007G3813600, Np007G3828000, Np007G3827900, Np007G3802100, Np007G3815700, Np007G3816700, Np004G1968900, Np002G1192600, Np004G1989000, Np004G1955200, Np004G1945900, Np004G1963100, Np004G1955300
OG0000096	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1	Np007G3726500
OG0000098	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1	Np007G3899100
OG0000098	ESY7_g18472_DN3_SP0_c0.t1	Np005G3053200, Np001G0115600
OG0000098	ESY11_g53834_DN2_SP0_c0.t1	Np004G2594800
OG0000098	ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1	Np007G3793600
OG0000098	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1	Np001G0116500, Np001G0115500
OG0000098	ESY11_g53833_DN2_SP0_c0.t1	Np002G0990300, Np002G0990900, Np002G0990400
OG0000100	ESY1_g11939_DN1_SP0_c0.t1	Np002G1237300, Np002G1233700, Np004G2064500, Np002G1231900, Np002G1113500
OG0000101	ESY13_g57677_DN1_SP0_c0.t1	Np002G0868700, Np004G2067500, Np001G0489000, Np004G2252100, Np011G4358000, Np011G4357800, Np002G0736300, Np001G0306500, Np001G0036300, Np004G2254300, Np001G0349600, Np004G2428000, Np003G1266900, Np001G0589500, Np003G1682200, Np003G1683300, Np007G3942800, Np003G1683400
OG0000102	ESY7_g16540_DN3_SP0_c0.t1	Np003G1716100
OG0000102	ESY7_g16536_DN3_SP0_c0.t1	Np003G1850200
OG0000102	ESY7_g16525_DN2_SP0_c0.t1	Np003G1849800
OG0000105	ESY5_g1810_DN2_SP0_c0.t1	Np002G1229900
OG0000105	ESY3_g32007_DN1_SP0_c0.t1, ESY7_g17046_DN1_SP0_c0.t1	Np003G1459200
OG0000106	ESY4_g24957_DN2_SP0_c25.t1	Np001G0132900
OG0000106	ESY3_g29783_DN3_SP0_c6.t1	Np003G1632700
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	Np007G3984500, Np005G3056200, Np007G3984300, Np007G3806900, Np007G4184500
OG0000109	ESY9_g44457_DN2_SP0_c0.t1	Np001G0341500
OG0000109	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400
OG0000110	ESY9_g43985_DN3_SP0_c0.t1	Np002G0928100, Np002G0869900, Np002G0972400
OG0000110	ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1	Np002G1086700, Np005G2909800, Np002G1161200, Np004G2113400, Np005G3033600, Np002G0891500, Np007G4015500, Np008G4289300
OG0000114	ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1	Np002G1018000
OG0000114	ESY1_g8018_DN1_SP0_c0.t1	Np003G1744100
OG0000116	ESY13_g57384_DN2_SP0_c0.t1, ESY9_g43004_DN2_SP0_c0.t1, ESY2_g38543_DN3_SP0_c0.t1, ESY17_g39177_DN3_SP0_c0.t1, ESY1_g6907_DN3_SP0_c10.t1, ESY13_g57117_DN3_SP0_c0.t1	Np002G1124800
OG0000116	ESY12_g51236_DN3_SP0_c0.t1	Np003G1460300, Np005G3103800
OG0000116	ESY6_g46511_DN2_SP0_c13.t1, ESY8_g59869_DN2_SP0_c0.t1	Np004G1921200, Np001G0237100
OG0000116	ESY11_g53666_DN2_SP0_c0.t1	Np007G3783600
OG0000118	ESY3_g32358_DN3_SP0_c0.t1	Np002G0786200
OG0000118	ESY5_g4943_DN1_SP0_c0.t1, ESY5_g4942_DN3_SP0_c0.t1, ESY11_g54074_DN3_SP0_c0.t1	Np006G3383100
OG0000118	ESY7_g16947_DN2_SP0_c0.t1	Np007G4221800, Np007G4221900
OG0000119	ESY6_g48892_DN3_SP0_c5.t1, ESY9_g42653_DN3_SP0_c4.t1	Np003G1836400
OG0000120	ESY1_g9428_DN3_SP0_c0.t1	Np002G0949100
OG0000120	ESY1_g8023_DN1_SP0_c0.t1	Np003G1769900, Np005G2602500
OG0000122	ESY6_g48222_DN3_SP0_c0.t1	Np003G1577800
OG0000122	ESY10_g15010_DN3_SP0_c0.t1	Np003G1580100
OG0000122	ESY2_g36290_DN3_SP0_c0.t1	Np003G1577700
OG0000123	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	Np003G1843300
OG0000125	ESY8_g58834_DN3_SP0_c19.t1	Np006G3601100
OG0000125	ESY2_g37202_DN3_SP0_c14.t1	Np004G1951700
OG0000125	ESY1_g12339_DN3_SP0_c5.t1	Np004G1951500
OG0000127	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	Np003G1510700
