Orthogroup	Euclidium_syriacum	Cardamine_glauca
OG0000192	ESY5_g3215_DN2_SP0_c2.t1, ESY10_g14136_DN1_SP0_c0.t1	Cg006G1993900
OG0000193	ESY5_g4726_DN2_SP0_c0.t1, ESY4_g25268_DN1_SP0_c0.t1, ESY6_g50699_DN2_SP0_c0.t1	Cg004G1230500
OG0000195	ESY3_g31987_DN1_SP0_c0.t1	Cg003G0787800
OG0000197	ESY8_g59318_DN2_SP0_c55.t1, ESY8_g59316_DN3_SP0_c53.t1, ESY9_g44987_DN1_SP0_c46.t1	Cg005G1728400, Cg005G1727900, Cg005G1727800, Cg005G1728200, Cg005G1728000
OG0000197	ESY9_g43010_DN3_SP0_c0.t1	Cg001G0205400
OG0000198	ESY10_g14610_DN3_SP8_c0.t1	Cg002G0692800
OG0000198	ESY7_g18205_DN3_SP0_c0.t1, ESY7_g18208_DN3_SP0_c0.t1	Cg002G0664200
OG0000199	ESY1_g12013_DN3_SP0_c0.t1, ESY1_g12014_DN3_SP0_c0.t1	Cg007G2470500, Cg007G2472200, Cg007G2392400, Cg002G0549200
OG0000199	ESY1_g12012_DN3_SP0_c0.t1	Cg014G3034400, Cg008G2903900, Cg014G3034300, Cg003G0721100, Cg003G0721200, Cg014G3034200, Cg001G0105000
OG0000200	ESY11_g54907_DN2_SP0_c0.t1, ESY11_g54900_DN2_SP0_c0.t1, ESY11_g54903_DN3_SP0_c0.t1, ESY11_g54896_DN3_SP0_c0.t1	Cg006G2183200
OG0000200	ESY7_g17892_DN3_SP0_c0.t1, ESY7_g17041_DN3_SP0_c0.t1	Cg006G1857600
OG0000200	ESY7_g17038_DN2_SP0_c0.t1	Cg006G1857700
OG0000201	ESY3_g29139_DN2_SP0_c10.t1, ESY19_g42177_DN3_SP0_c23.t1	Cg005G1717000
OG0000203	ESY1_g10742_DN3_SP0_c0.t1	Cg002G0442000
OG0000203	ESY16_g61546_DN3_SP0_c0.t1	Cg002G0441200
OG0000203	ESY1_g11462_DN3_SP0_c0.t1	Cg002G0441400
OG0000203	ESY1_g11463_DN3_SP0_c0.t1	Cg002G0441500
OG0000205	ESY6_g47659_DN3_SP0_c30.t1	Cg006G1892500
OG0000209	ESY5_g2795_DN2_SP0_c0.t1	Cg008G2968000
OG0000209	ESY7_g18015_DN2_SP0_c0.t1	Cg008G2670300, Cg008G2670600, Cg008G2677700
OG0000209	ESY3_g31328_DN1_SP0_c0.t1	Cg008G2772200, Cg006G2021100, Cg006G1996300
