Orthogroup	Euclidium_syriacum	Brassica_rapa
OG0000015	ESY6_g46006_DN2_SP0_c14.t1	XP_009145186.1
OG0000015	ESY11_g53315_DN2_SP0_c0.t1	XP_009107707.1
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	XP_033139447.1, XP_033139193.1, XP_033134304.1, XP_033139069.1, XP_033139019.1
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	XP_033128598.1, XP_033128603.1, XP_033141176.1, XP_033131231.1, XP_033144078.1, XP_033148833.1, XP_033139110.1, XP_033136846.1, XP_009128749.2, XP_033133948.1, XP_009138630.2, XP_009119107.3, XP_033146804.1, XP_033148581.1, XP_033133950.1, XP_033139108.1, XP_033144661.1, XP_033132628.1, XP_033134397.1, XP_009144112.2, XP_018510172.2, XP_033137868.1, XP_033139322.1, XP_033137097.1, XP_033131911.1, XP_033144538.1, XP_033131263.1, XP_033128364.1, XP_018511251.2, XP_033129018.1
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	XP_033148520.1, XP_033129353.1, XP_033131843.1, XP_009123464.1, XP_033133955.1, XP_033145227.1, XP_033136601.1, XP_033143268.1, XP_033141097.1, XP_033129522.1, XP_033141116.1, XP_033136202.1, XP_018513563.2, XP_033129361.1, XP_009119482.2, XP_009124449.2, XP_033128905.1, XP_033141768.1, XP_033139918.1, XP_033131029.1, XP_033143299.1, XP_033131754.1, XP_009113298.1, XP_033135948.1, XP_033145970.1, XP_009108738.3, XP_033145198.1, XP_033128732.1, XP_033141182.1, XP_033129326.1
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	XP_033131374.1, XP_009107618.1, XP_033132125.1, XP_033134273.1, XP_033146615.1, XP_033128492.1, XP_009139567.2, XP_018513679.2, XP_033139160.1, XP_033139271.1, XP_018509908.2, XP_009150011.2, XP_033144175.1, XP_033139020.1, XP_033139451.1, XP_033132919.1, XP_033134299.1, XP_033130737.1, XP_033148526.1, XP_033143287.1, XP_033131417.1, XP_033140796.1, XP_033147063.1, XP_033132665.1
OG0000024	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1	XP_018512901.1
OG0000024	ESY4_g26389_DN2_SP0_c0.t1, ESY7_g18150_DN2_SP0_c0.t1, ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1	XP_033133295.1
OG0000026	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1	XP_033135950.1, XP_033148527.1
OG0000027	ESY9_g42764_DN3_SP0_c0.t1	XP_033142132.1
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	XP_009136791.2
OG0000027	ESY7_g17001_DN1_SP0_c0.t1	XP_009137330.1
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	XP_009101849.2, XP_033129787.1, XP_033138374.1
OG0000029	ESY6_g48344_DN1_SP0_c0.t1	XP_009103430.1, XP_009103792.1, XP_033136629.1, XP_009105534.2, XP_033129358.1, XP_009128619.2, XP_009102786.1, XP_009111952.1, XP_009106480.1, XP_009118510.1
OG0000029	ESY10_g13703_DN2_SP0_c0.t1	XP_033138230.1, XP_033138123.1, XP_033128758.1
OG0000030	ESY3_g29344_DN3_SP0_c0.t1	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000030	ESY5_g3960_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	XP_033129474.1, XP_033128828.1, XP_033131947.1
OG0000030	ESY3_g30289_DN3_SP0_c0.t1, ESY3_g30290_DN3_SP0_c0.t1	XP_033134242.1
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	XP_033148474.1
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	XP_033143643.1
OG0000030	ESY2_g33562_DN1_SP0_c0.t1	XP_033131797.1
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	XP_018510426.1
OG0000031	ESY10_g14035_DN1_SP0_c44.t1	XP_018512881.1
OG0000031	ESY23_g31_DN2_SP0_c0.t1	XP_033148599.1, XP_009144745.1
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	XP_033148603.1, XP_033129319.1, XP_033129317.1, XP_018515237.2, XP_033129460.1
OG0000035	ESY10_g13892_DN3_SP0_c0.t1	XP_033134429.1, XP_018508195.2, XP_009116357.1, XP_009144181.2, XP_009107908.2, XP_009130015.1, XP_033131299.1, XP_033138421.1, XP_033142140.1, XP_033138747.1, XP_033131849.1, XP_009145711.2, XP_009123716.1, XP_033145213.1, XP_033133960.1, XP_033138807.1, XP_033129339.1, XP_033136536.1, XP_033129338.1, XP_009120701.1, XP_033138808.1, XP_033145214.1, XP_009108653.1, XP_009111034.2, XP_033133919.1, XP_009108652.2, XP_033129264.1, XP_033130356.1, XP_033142926.1, XP_033142234.1, XP_033144985.1, XP_033139815.1, XP_033139776.1, XP_009145180.1, XP_033138759.1
OG0000036	ESY7_g17009_DN2_SP0_c60.t1	XP_033130947.1
OG0000038	ESY15_g65319_DN1_SP0_c38.t1, ESY6_g47063_DN3_SP0_c100.t1, ESY8_g60522_DN1_SP0_c100.t1	XP_033136961.1
OG0000038	ESY3_g29295_DN1_SP0_c68.t1, ESY21_g55792_DN2_SP0_c0.t1	XP_018509044.1
OG0000040	ESY5_g2557_DN3_SP0_c0.t1	XP_033148631.1
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	XP_033138682.1, XP_009120440.2, XP_033136843.1, XP_018511312.1, XP_033142750.1, XP_018509814.1, XP_033143560.1, XP_033147559.1, XP_018511953.2
OG0000042	ESY17_g39786_DN2_SP0_c77.t1	XP_009120611.1
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	XP_033129992.1
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	XP_009138234.2, XP_033131226.1, XP_009151481.2, XP_033141105.1, XP_033129573.1, XP_033131887.1
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	XP_033134364.1
OG0000048	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1	XP_009141214.1, XP_033145357.1
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1	XP_009125775.1
OG0000048	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1	XP_009127532.1, XP_033139568.1
OG0000048	ESY8_g58364_DN2_SP0_c0.t1	XP_009141452.3, XP_009141229.2, XP_033145293.1, XP_033145288.1, XP_009141227.2, XP_009146516.2, XP_018513390.1, XP_033145756.1, XP_033145751.1, XP_033145292.1, XP_018514111.1, XP_033145356.1, XP_009141011.2, XP_033145355.1, XP_009142302.1, XP_018513876.1
OG0000048	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1	XP_033147664.1
OG0000050	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	XP_033128725.1
OG0000050	ESY3_g27878_DN2_SP0_c0.t1	XP_033146215.1, XP_033146249.1, XP_033133626.1, XP_033144846.1, XP_033134003.1
OG0000050	ESY10_g14358_DN2_SP0_c0.t1	XP_033138839.1
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	XP_009142066.1, XP_018513039.2
OG0000051	ESY12_g51256_DN3_SP0_c0.t1	XP_018514205.1, XP_009113199.1
OG0000051	ESY5_g2705_DN3_SP0_c0.t1	XP_033148413.1, XP_033147570.1, XP_033148423.1
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	XP_009142840.1, XP_033138797.1, XP_033138543.1, XP_033148410.1
OG0000052	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	XP_033139477.1, XP_033135650.1
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	XP_009115966.1, XP_033146756.1, XP_033146252.1, XP_033146757.1, XP_033145801.1
OG0000052	ESY1_g10448_DN1_SP0_c0.t1	XP_033146405.1
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	XP_009131379.2, XP_033144999.1, XP_009121596.1, XP_033131219.1
OG0000055	ESY8_g59290_DN2_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1	XP_033143242.1
OG0000055	ESY9_g43255_DN3_SP0_c0.t1, ESY10_g15079_DN3_SP0_c0.t1	XP_033139674.1
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	XP_009134817.1
OG0000056	ESY2_g33757_DN3_SP0_c0.t1	XP_009113105.1
OG0000056	ESY2_g33766_DN3_SP0_c0.t1	XP_033135545.1
OG0000056	ESY2_g33762_DN3_SP0_c0.t1	XP_009113405.2
OG0000056	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1	XP_033135114.1, XP_009113108.1
OG0000056	ESY2_g33671_DN2_SP0_c0.t1	XP_009112692.1, XP_009113075.1
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	XP_033147285.1, XP_009114424.1, XP_033140560.1, XP_033135648.1, XP_033130698.1, XP_033141279.1, XP_033138465.1, XP_033131792.1
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	XP_033143352.1, XP_033141140.1, XP_033131591.1, XP_009145099.2, XP_033139240.1, XP_033131993.1, XP_033134311.1, XP_033138233.1, XP_033143404.1, XP_033148539.1, XP_033134272.1, XP_033129427.1, XP_033139241.1, XP_033129412.1, XP_033131764.1, XP_033148531.1, XP_033131195.1, XP_033139143.1, XP_033131918.1, XP_033131462.1, XP_033134234.1, XP_033134349.1, XP_033130753.1, XP_033145221.1, XP_033141098.1, XP_033139492.1, XP_033137200.1, XP_033134400.1, XP_033139188.1, XP_033148815.1, XP_033131068.1, XP_033132741.1, XP_033141134.1, XP_033146849.1, XP_033131067.1, XP_033136880.1, XP_033148558.1, XP_009150325.2, XP_033133377.1
OG0000059	ESY11_g53896_DN3_SP0_c0.t1	XP_033143368.1, XP_033129455.1, XP_033134209.1, XP_033128794.1, XP_033131162.1, XP_033139340.1, XP_009139344.2
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	XP_033137465.1
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	XP_009133838.1
OG0000062	ESY17_g40168_DN2_SP0_c0.t1	XP_018509055.1
OG0000062	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1	XP_009106514.2, XP_033138783.1, XP_033134230.1, XP_033129421.1
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	XP_033144322.1, XP_033129771.1, XP_033147108.1, XP_033131783.1, XP_033134130.1
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	XP_033134282.1, XP_033134283.1, XP_033136270.1, XP_033135749.1, XP_033135748.1, XP_033135746.1, XP_033135747.1, XP_033134284.1, XP_033135687.1, XP_033136269.1, XP_033135741.1, XP_033135477.1, XP_009124650.2, XP_033136272.1, XP_033136268.1, XP_009124058.2, XP_033135744.1, XP_033136271.1, XP_009124087.2, XP_033135742.1, XP_033135743.1, XP_033135685.1, XP_033135686.1, XP_033135684.1, XP_033135688.1, XP_033134285.1
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	XP_009140044.1
OG0000065	ESY4_g25771_DN2_SP0_c0.t1	XP_009140168.2
OG0000066	ESY23_g163_DN2_SP0_c0.t1, ESY7_g18022_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1	XP_009125303.1, XP_009110843.1, XP_009112178.1, XP_009129719.2, XP_009114048.1, XP_009131154.1
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	XP_009104699.1, XP_009125263.1, XP_009131189.1, XP_009130061.1, XP_018511751.1
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	XP_033130353.1, XP_033133257.1, XP_009107034.2, XP_033148589.1, XP_033138226.1, XP_033139687.1, XP_033129159.1, XP_033136430.1, XP_033143282.1, XP_033136468.1, XP_033144325.1, XP_033132812.1, XP_033147465.1, XP_018508435.1, XP_033143570.1, XP_033144765.1, XP_009127952.2, XP_018508607.1, XP_033129459.1, XP_033131134.1, XP_033131135.1, XP_009113960.2, XP_033131178.1, XP_009124211.2, XP_009139668.1
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	XP_033137765.1, XP_009122279.3, XP_033144949.1, XP_033144954.1
OG0000068	ESY2_g35387_DN3_SP0_c0.t1	XP_009118007.2, XP_009117917.2, XP_033134926.1, XP_033134927.1, XP_009117999.2
OG0000069	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1	XP_033146576.1
OG0000069	ESY20_g13229_DN3_SP0_c0.t1	XP_033128537.1, XP_009102077.1, XP_018511249.1
OG0000069	ESY6_g49138_DN1_SP0_c0.t1	XP_009142475.1
OG0000070	ESY10_g14297_DN3_SP0_c35.t1, ESY3_g32095_DN2_SP0_c41.t1	XP_009123589.1, XP_033136464.1
OG0000070	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1	XP_033128831.1, XP_009147939.1, XP_033133669.1
OG0000072	ESY7_g16117_DN2_SP0_c0.t1	XP_009102269.1
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	XP_033141779.1, XP_009115922.2, XP_009122875.1, XP_009119460.3, XP_033138069.1, XP_009111623.2
OG0000072	ESY15_g64467_DN1_SP0_c0.t1	XP_033146737.1
OG0000072	ESY1_g10105_DN1_SP0_c0.t1	XP_033148496.1, XP_033146751.1, XP_009145557.2, XP_033128162.1, XP_033129519.1, XP_033134361.1, XP_033128616.1
OG0000073	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1	XP_009130609.1, XP_033144992.1, XP_033143312.1, XP_009108668.2, XP_009139306.1, XP_009122924.1, XP_009132645.2
OG0000075	ESY5_g3131_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY8_g60740_DN3_SP0_c0.t1	XP_009101862.1
OG0000075	ESY1_g11598_DN2_SP0_c38.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY4_g26050_DN2_SP0_c0.t1	XP_033144015.1
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	XP_009101919.1
OG0000076	ESY5_g5006_DN2_SP0_c0.t1, ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1	XP_009134123.2, XP_033134012.1, XP_009126890.1, XP_033147785.1, XP_009134127.2, XP_018514362.2, XP_009134129.2, XP_009134122.2
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	XP_009128331.1, XP_033137616.1, XP_033144013.1, XP_033145947.1, XP_033147003.1, XP_033133869.1, XP_033132648.1, XP_009104162.1, XP_009128728.2, XP_033145258.1, XP_033141181.1, XP_033141130.1, XP_033129223.1, XP_033139099.1, XP_033129128.1, XP_033129127.1, XP_033147269.1, XP_033136406.1, XP_033148881.1, XP_033133874.1, XP_033130432.1, XP_033131180.1, XP_033147836.1, XP_009121263.2, XP_033146531.1, XP_009122926.1, XP_033143107.1, XP_033143236.1, XP_033136497.1, XP_033134319.1, XP_033147267.1, XP_009108250.2, XP_033148205.1, XP_033131034.1, XP_033129991.1, XP_033134219.1, XP_033145242.1, XP_033131468.1, XP_033139661.1, XP_033129913.1, XP_033128795.1, XP_033130871.1, XP_033146432.1, XP_033128838.1, XP_033133429.1, XP_033146434.1, XP_033128695.1, XP_033129645.1
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	XP_018509212.1, XP_033131829.1, XP_033133259.1
OG0000081	ESY17_g40277_DN2_SP0_c0.t1	XP_009136781.1, XP_009107885.2, XP_033142712.1, XP_033132815.1, XP_033139711.1, XP_033129160.1, XP_009107884.2
OG0000081	ESY6_g48601_DN3_SP0_c0.t1, ESY3_g28672_DN3_SP0_c0.t1, ESY8_g59466_DN2_SP0_c0.t1, ESY14_g20487_DN3_SP0_c0.t1, ESY19_g42085_DN3_SP0_c0.t1, ESY1_g9171_DN3_SP0_c0.t1	XP_009149633.1
OG0000086	ESY8_g59458_DN3_SP0_c0.t1	XP_009135925.1, XP_009139756.1
OG0000086	ESY10_g14582_DN1_SP0_c0.t1	XP_009140166.1
OG0000086	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	XP_033147599.1
OG0000086	ESY2_g35232_DN2_SP0_c0.t1	XP_009132807.1
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	XP_009150907.1
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	XP_009144365.1, XP_009141007.2
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	XP_009121863.1
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	XP_009113926.1, XP_009101721.2
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	XP_009123590.1
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	XP_009106234.1
OG0000090	ESY15_g64509_DN2_SP0_c0.t1, ESY4_g22477_DN2_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1	XP_033147238.1
OG0000090	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	XP_009114438.1, XP_033147067.1, XP_009139876.1, XP_009138593.2, XP_033141256.1, XP_033148504.1, XP_033134639.1, XP_033133394.1, XP_033141800.1, XP_033147237.1
OG0000095	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	XP_009134223.1, XP_009140586.1
OG0000095	ESY3_g31038_DN1_SP0_c0.t1	XP_033146353.1, XP_033146352.1
OG0000096	ESY3_g31121_DN3_SP0_c0.t1	XP_033130152.1
OG0000096	ESY3_g29685_DN2_SP0_c0.t1	XP_033148466.1
OG0000097	ESY49_g12647_DN2_SP0_c0.t1, ESY21_g55569_DN2_SP0_c0.t1	XP_009119485.2, XP_033141126.1, XP_009137046.1
OG0000098	ESY11_g53834_DN2_SP0_c0.t1	XP_009120753.1, XP_033144223.1, XP_009137095.2, XP_033143042.1
