Orthogroup	Euclidium_syriacum	Brassica_oleracea
OG0000029	ESY10_g14733_DN2_SP0_c0.t1	XP_013617097.1
OG0000030	ESY3_g29344_DN3_SP0_c0.t1	XP_013615042.1
OG0000030	ESY5_g3960_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	XP_013594890.1, XP_013594892.1, XP_013593712.1, XP_013589720.1, XP_013589717.1
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	XP_013624262.1
OG0000030	ESY2_g33562_DN1_SP0_c0.t1	XP_013614569.1
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	XP_013634175.1, XP_013615698.1, XP_013593493.1
OG0000031	ESY10_g14035_DN1_SP0_c44.t1	XP_013614946.1, XP_013601644.1
OG0000031	ESY23_g31_DN2_SP0_c0.t1	XP_013588971.1, XP_013632793.1, XP_013623955.1
OG0000032	ESY15_g65701_DN1_SP0_c88.t1	XP_013638158.1
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	XP_013636991.1, XP_013607885.1, XP_013618965.1
OG0000035	ESY10_g13892_DN3_SP0_c0.t1	XP_013624058.1, XP_013632481.1, XP_013595099.1, XP_013618966.1, XP_013639600.1, XP_013591294.1, XP_013589634.1, XP_013619342.1, XP_013609967.1, XP_013610013.1, XP_013613456.1, XP_013608076.1, XP_013619617.1, XP_013602972.1, XP_013583292.1, XP_013636990.1
OG0000035	ESY10_g13797_DN1_SP0_c0.t1	XP_013591120.1
OG0000038	ESY15_g65319_DN1_SP0_c38.t1, ESY6_g47063_DN3_SP0_c100.t1, ESY8_g60522_DN1_SP0_c100.t1	XP_013632932.1
OG0000038	ESY3_g29295_DN1_SP0_c68.t1, ESY21_g55792_DN2_SP0_c0.t1	XP_013601144.1, YP_004927454.1
OG0000040	ESY5_g2557_DN3_SP0_c0.t1	XP_013601552.1, XP_013616916.1, XP_013601670.1
OG0000041	ESY14_g19727_DN2_SP0_c0.t1	XP_013626063.1
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	XP_013615307.1, XP_013623756.1, XP_013639341.1, XP_013616889.1, XP_013632541.1, XP_013614613.1, XP_013639828.1, XP_013607701.1, XP_013624430.1, XP_013613797.1, XP_013608404.1, XP_013594654.1, XP_013601088.1, XP_013624202.1, XP_013589459.1
OG0000042	ESY17_g39786_DN2_SP0_c77.t1	XP_013589285.1
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	XP_013632940.1, XP_013639621.1, XP_013630837.1
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	XP_013594980.1, XP_013624692.1, XP_013624117.1, XP_013601612.1, XP_013639620.1, XP_013617264.1, XP_013639811.1, XP_013624086.1
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	XP_013593469.1, XP_013639450.1
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	XP_013633177.1
OG0000048	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1	XP_013634382.1
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1	XP_013634025.1
OG0000048	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1	XP_013589584.1, XP_013619895.1
OG0000048	ESY8_g58364_DN2_SP0_c0.t1	XP_013635430.1, XP_013635523.1, XP_013635377.1, XP_013635414.1, XP_013585248.1, XP_013632139.1, XP_013634956.1, XP_013633670.1, XP_013635604.1, XP_013635413.1, XP_013635393.1, XP_013635714.1
OG0000050	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1	XP_013607678.1
OG0000050	ESY3_g27878_DN2_SP0_c0.t1	XP_013594629.1, XP_013601399.1, XP_013617744.1, XP_013594969.1, XP_013624450.1, XP_013617867.1, XP_013583376.1, XP_013589145.1, XP_013583387.1, XP_013615022.1, XP_013617828.1, XP_013633342.1, XP_013632973.1, XP_013639275.1
OG0000050	ESY10_g14358_DN2_SP0_c0.t1	XP_013624123.1, XP_013632813.1
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	XP_013635946.1, XP_013623985.1
OG0000051	ESY12_g51256_DN3_SP0_c0.t1	XP_013589464.1, XP_013610001.1
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	XP_013623984.1
OG0000051	ESY5_g2705_DN3_SP0_c0.t1	XP_013632327.1, XP_013632325.1, XP_013632324.1
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	XP_013610546.1
OG0000052	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	XP_013610604.1
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	XP_013615703.1, XP_013630964.1
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	XP_013623695.1, XP_013623796.1, XP_013628424.1, XP_013606594.1, XP_013593729.1
OG0000055	ESY5_g3077_DN1_SP0_c0.t1	XP_013626596.1
OG0000055	ESY3_g30252_DN1_SP0_c0.t1	XP_013589549.1
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	XP_013627468.1
OG0000055	ESY16_g61658_DN1_SP0_c0.t1	XP_013615287.1
OG0000055	ESY2_g38033_DN2_SP0_c0.t1	XP_013614020.1
OG0000056	ESY2_g33757_DN3_SP0_c0.t1	XP_013607370.1
OG0000056	ESY2_g33762_DN3_SP0_c0.t1	XP_013631517.1
OG0000056	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1	XP_013607317.1
OG0000056	ESY2_g33671_DN2_SP0_c0.t1	XP_013615259.1, XP_013588767.1, XP_013611134.1
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	XP_013595076.1, XP_013611257.1, XP_013589048.1, XP_013617878.1
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	XP_013617663.1, XP_013639834.1, XP_013617679.1, XP_013627147.1, XP_013608105.1, XP_013615368.1, XP_013639532.1, XP_013632562.1, XP_013624216.1, XP_013632506.1, XP_013617639.1, XP_013617202.1, XP_013633937.1, XP_013617146.1, XP_013639508.1, XP_013617228.1, XP_013589295.1, XP_013623959.1
OG0000059	ESY11_g53896_DN3_SP0_c0.t1	XP_013617450.1, XP_013594582.1, XP_013632782.1, XP_013601567.1, XP_013639634.1, XP_013624930.1
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	XP_013615702.1
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	XP_013635264.1
OG0000062	ESY7_g16267_DN1_SP0_c0.t1, ESY11_g53126_DN2_SP0_c0.t1	XP_013611276.1
OG0000062	ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1, ESY1_g11365_DN3_SP0_c59.t1	XP_013633119.1
OG0000062	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1	XP_013614135.1, XP_013608129.1, XP_013589201.1, XP_013628127.1, XP_013616946.1
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	XP_013639776.1, XP_013624680.1, XP_013612628.1, XP_013589440.1, XP_013594591.1, XP_013594553.1, XP_013639313.1, XP_013634771.1, XP_013624346.1, XP_013589240.1, XP_013617918.1, XP_013639565.1, XP_013617128.1, XP_013617592.1, XP_013633179.1, XP_013626643.1, XP_013607756.1, XP_013589241.1, XP_013616951.1, XP_013617080.1, XP_013624876.1, XP_013617835.1, XP_013639831.1, XP_013617548.1, XP_013614842.1, XP_013614843.1, XP_013601565.1, XP_013594756.1, XP_013632829.1, XP_013624877.1
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	XP_013610623.1, XP_013607250.1, XP_013610669.1, XP_013607249.1, XP_013607956.1, XP_013607248.1, XP_013607251.1, XP_013610335.1, XP_013610576.1, XP_013610543.1, XP_013610675.1, XP_013610622.1
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	XP_013636750.1
OG0000065	ESY4_g25771_DN2_SP0_c0.t1	XP_013634420.1
OG0000066	ESY23_g163_DN2_SP0_c0.t1, ESY7_g18022_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1	XP_013606481.1, XP_013621521.1, XP_013609086.1, XP_013631332.1, XP_013599938.1, XP_013637372.1, XP_013618388.1
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	XP_013587978.1, XP_013629194.1, XP_013612748.1, XP_013612488.1, XP_013607869.1
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	XP_013627996.1
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	XP_013633362.1, XP_013607574.1, XP_013623908.1, XP_013607769.1, XP_013617274.1, XP_013628824.1, XP_013624947.1, XP_013625669.1, XP_013614098.1, XP_013617376.1, XP_013594753.1, XP_013583275.1, XP_013616913.1, XP_013588882.1, XP_013617582.1, XP_013623105.1, XP_013632497.1, XP_013632721.1, XP_013639226.1, XP_013639577.1, XP_013625005.1, XP_013632722.1, XP_013614070.1, XP_013632725.1, XP_013607826.1, XP_013619235.1
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	XP_013610551.1, XP_013611652.1, XP_013606907.1, XP_013623793.1, XP_013626885.1
OG0000068	ESY2_g35387_DN3_SP0_c0.t1	XP_013603257.1, XP_013602913.1, XP_013610616.1, XP_013603635.1, XP_013602654.1, XP_013593918.1
OG0000069	ESY20_g13229_DN3_SP0_c0.t1	XP_013594576.1
OG0000069	ESY6_g49138_DN1_SP0_c0.t1	XP_013615731.1, XP_013634820.1
OG0000070	ESY10_g14297_DN3_SP0_c35.t1, ESY3_g32095_DN2_SP0_c41.t1	XP_013620477.1, XP_013596659.1, XP_013610618.1
OG0000070	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1	XP_013590715.1, XP_013590802.1, XP_013603439.1
OG0000072	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1	XP_013596572.1, XP_013614874.1
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	XP_013607578.1, XP_013589124.1, XP_013632615.1
OG0000072	ESY15_g64467_DN1_SP0_c0.t1, ESY4_g23383_DN2_SP0_c0.t1, ESY3_g28498_DN2_SP0_c0.t1, ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1	XP_013624988.1
OG0000072	ESY1_g10105_DN1_SP0_c0.t1	XP_013601558.1, XP_013632954.1, XP_013629486.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013639732.1, XP_013626954.1, XP_013607741.1, XP_013633059.1, XP_013607606.1, XP_013632733.1, XP_013623893.1, XP_013617628.1
OG0000073	ESY8_g60414_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1	XP_013624740.1
OG0000073	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1	XP_013633239.1, XP_013624080.1, XP_013623944.1, XP_013617425.1, XP_013617247.1, XP_013629369.1
OG0000075	ESY5_g3131_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY8_g60740_DN3_SP0_c0.t1	XP_013596175.1
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	XP_013598018.1
OG0000076	ESY5_g5006_DN2_SP0_c0.t1, ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1	XP_013625990.1, XP_013601953.1, XP_013619488.1, XP_013587128.1, XP_013587126.1, XP_013627762.1, XP_013627931.1, XP_013625555.1, XP_013623638.1, XP_013626117.1
OG0000077	ESY7_g18827_DN2_SP0_c0.t1	XP_013594901.1
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	XP_013624776.1, XP_013624970.1, XP_013594646.1, XP_013614132.1, XP_013616960.1, XP_013617303.1, XP_013624135.1, XP_013633128.1, XP_013589234.1, XP_013617072.1, XP_013628163.1, XP_013607582.1, XP_013633006.1, XP_013624630.1, XP_013639297.1, XP_013634828.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013594953.1, XP_013624305.1, XP_013614606.1, XP_013617685.1, XP_013617550.1, XP_013617194.1, XP_013639436.1, XP_013623727.1, XP_013594276.1, XP_013589590.1, XP_013583246.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1, XP_013594551.1, XP_013639155.1, XP_013624409.1, XP_013583323.1, XP_013594743.1, XP_013601442.1, XP_013631864.1, XP_013589277.1, XP_013639764.1, XP_013583349.1, XP_013589235.1, XP_013624731.1, XP_013591028.1, XP_013584961.1, XP_013624775.1, XP_013594486.1
OG0000081	ESY3_g29563_DN2_SP0_c0.t1, ESY4_g22453_DN2_SP0_c7.t1	XP_013628529.1
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	XP_013607575.1
OG0000081	ESY17_g40277_DN2_SP0_c0.t1	XP_013635812.1, XP_013585220.1, XP_013616683.1
OG0000081	ESY6_g48601_DN3_SP0_c0.t1, ESY3_g28672_DN3_SP0_c0.t1, ESY8_g59466_DN2_SP0_c0.t1, ESY14_g20487_DN3_SP0_c0.t1, ESY19_g42085_DN3_SP0_c0.t1, ESY1_g9171_DN3_SP0_c0.t1	XP_013589430.1, XP_013632723.1, XP_013589214.1, XP_013617738.1
OG0000082	ESY2_g37683_DN1_SP0_c0.t1, ESY4_g24411_DN1_SP0_c0.t1	XP_013594797.1
OG0000082	ESY11_g54332_DN2_SP0_c0.t1	XP_013618832.1
OG0000082	ESY1_g8490_DN3_SP0_c0.t1, ESY5_g2616_DN3_SP0_c0.t1	XP_013633229.1
OG0000083	ESY1_g9555_DN3_SP0_c0.t1, ESY1_g9528_DN2_SP0_c100.t1, ESY4_g22995_DN2_SP0_c100.t1	XP_013608139.1
