Orthogroup	Euclidium_syriacum	Arabidopsis_arenosa
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	jg19557
OG0000051	ESY5_g5127_DN3_SP0_c0.t1	jg19555
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	jg19553, jg19551, jg19550, jg907, jg19552, jg19554, jg18423
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	jg19560
OG0000051	ESY12_g51338_DN3_SP0_c0.t1	jg19561, jg19562, jg19563, jg19564
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	jg20913, jg15189
OG0000052	ESY1_g10448_DN1_SP0_c0.t1	jg21516
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	jg25886, jg26868
OG0000055	ESY9_g45399_DN1_SP0_c0.t1	jg26780
OG0000055	ESY16_g61649_DN2_SP0_c0.t1	jg12073
OG0000055	ESY9_g43255_DN3_SP0_c0.t1, ESY10_g15079_DN3_SP0_c0.t1	jg25753
OG0000055	ESY3_g29892_DN1_SP0_c0.t1	jg12035
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	jg17788
OG0000055	ESY16_g61658_DN1_SP0_c0.t1, ESY2_g38033_DN2_SP0_c0.t1	jg25908
OG0000056	ESY2_g33771_DN2_SP0_c0.t1	jg748
OG0000056	ESY2_g33762_DN3_SP0_c0.t1	jg743
OG0000056	ESY2_g33775_DN1_SP0_c0.t1	jg747, jg744, jg745, jg746
OG0000056	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1	jg14491
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	jg16618
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	jg6976, jg13931, jg17384, jg1485, jg16419, jg27812, jg17098, jg11852, jg299, jg32415, jg1839, jg11724, jg1567, jg17278, jg1046, jg17522, jg31083, jg21000
OG0000059	ESY1_g9125_DN2_SP0_c0.t1	jg31675, jg32414
OG0000060	ESY1_g11061_DN3_SP0_c0.t1	jg22905, jg29120
OG0000060	ESY3_g31636_DN3_SP0_c0.t1	jg14371
OG0000060	ESY6_g48811_DN3_SP0_c0.t1	jg21249
OG0000060	ESY5_g4491_DN3_SP0_c0.t1	jg22936
OG0000060	ESY6_g48808_DN3_SP0_c0.t1	jg15309
OG0000060	ESY6_g48809_DN3_SP0_c0.t1, ESY9_g44877_DN3_SP0_c0.t1	jg14419
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	jg32841, jg32864, jg32857, jg32551
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	jg18005
OG0000062	ESY17_g40168_DN2_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1	jg21178
OG0000062	ESY7_g16267_DN1_SP0_c0.t1, ESY11_g53126_DN2_SP0_c0.t1	jg21177
OG0000062	ESY9_g44156_DN3_SP0_c0.t1	jg32622
OG0000062	ESY14_g20663_DN3_SP0_c36.t1	jg13871, jg7029
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	jg32522
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	jg12337
OG0000065	ESY4_g25771_DN2_SP0_c0.t1	jg12331
OG0000066	ESY23_g163_DN2_SP0_c0.t1	jg4871
OG0000066	ESY11_g54349_DN3_SP0_c0.t1	jg29279
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	jg4927
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	jg30515
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	jg20815, jg24929, jg28031, jg1126, jg17679, jg14038, jg32532, jg6462, jg31439, jg5264, jg14037
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	jg4186, jg4261, jg4260, jg24839, jg24838
OG0000068	ESY6_g50195_DN3_SP0_c0.t1	jg32039, jg24042, jg24037, jg24035, jg32043, jg22052, jg22033, jg22034, jg4088, jg4089, jg14390, jg14389, jg14204, jg4055, jg30520
OG0000068	ESY2_g35389_DN2_SP0_c0.t1	jg12213
OG0000069	ESY8_g58271_DN2_SP0_c9.t1	jg28492
OG0000069	ESY1_g11580_DN3_SP0_c0.t1	jg11593, jg14067
OG0000069	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1	jg15499
OG0000069	ESY10_g15831_DN1_SP0_c0.t1	jg13227, jg16809
OG0000070	ESY10_g14297_DN3_SP0_c35.t1	jg29403
OG0000070	ESY3_g32095_DN2_SP0_c41.t1	jg28225, jg28226, jg13116, jg13115
OG0000070	ESY1_g11987_DN2_SP0_c87.t1	jg15233
OG0000072	ESY7_g16117_DN2_SP0_c0.t1	jg12110
OG0000072	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1	jg7100, jg12084, jg27349, jg7332, jg11849
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	jg22195, jg8019, jg20178
OG0000072	ESY15_g64467_DN1_SP0_c0.t1	jg25787
OG0000072	ESY3_g28498_DN2_SP0_c0.t1	jg12109
OG0000073	ESY4_g26580_DN3_SP0_c0.t1	jg32690
OG0000073	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1	jg7033, jg32034, jg11572, jg10937, jg20466, jg13828, jg30444, jg16551, jg24432, jg32702, jg1433, jg11779, jg26607
OG0000075	ESY12_g52268_DN2_SP0_c19.t1	jg26472, jg32685, jg32682, jg32692, jg8427
OG0000075	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1	jg21503
OG0000075	ESY1_g11598_DN2_SP0_c38.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY4_g26050_DN2_SP0_c0.t1	jg32683, jg20353, jg933
OG0000075	ESY4_g26060_DN2_SP0_c0.t1, ESY4_g26061_DN3_SP0_c0.t1	jg1000, jg934
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	jg8362
OG0000077	ESY16_g61756_DN3_SP0_c0.t1	jg2240
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	jg7377
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	jg26776, jg302, jg5265, jg31440, jg25892, jg12998, jg14036, jg6463
OG0000086	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1	jg12260
OG0000086	ESY10_g14582_DN1_SP0_c0.t1	jg12270
OG0000086	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	jg12281
OG0000086	ESY2_g35232_DN2_SP0_c0.t1	jg2128, jg2129
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	jg6235
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	jg17972
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	jg5068
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	jg20749
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	jg10485
OG0000089	ESY5_g3995_DN3_SP3_c0.t1	jg30528
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	jg3235
OG0000090	ESY15_g64509_DN2_SP0_c0.t1, ESY4_g22477_DN2_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1	jg20882
OG0000095	ESY7_g19280_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19279_DN2_SP0_c34.t1, ESY7_g19285_DN2_SP0_c0.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1	jg17272
OG0000095	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	jg17289
OG0000095	ESY7_g17177_DN3_SP0_c0.t1	jg17270, jg17392, jg16998, jg17271
OG0000096	ESY6_g49250_DN3_SP0_c0.t1	jg25957
OG0000096	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1	jg27435
OG0000096	ESY3_g29685_DN2_SP0_c0.t1	jg14860
OG0000097	ESY49_g12647_DN2_SP0_c0.t1, ESY21_g55569_DN2_SP0_c0.t1	jg11451, jg27712, jg11787
OG0000097	ESY5_g2179_DN2_SP0_c0.t1, ESY4_g23717_DN1_SP0_c0.t1	jg11589
OG0000097	ESY10_g15554_DN1_SP0_c0.t1	jg21181
OG0000098	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1	jg27107
OG0000098	ESY7_g18472_DN3_SP0_c0.t1	jg31283, jg17594, jg11987
OG0000098	ESY11_g53834_DN2_SP0_c0.t1	jg2306
OG0000098	ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1	jg27471, jg27452
OG0000098	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1	jg17595, jg31284
OG0000098	ESY11_g53833_DN2_SP0_c0.t1	jg27222, jg27460, jg27464, jg17593, jg16875
OG0000100	ESY1_g11939_DN1_SP0_c0.t1	jg1373, jg1405, jg472, jg476, jg477, jg1396, jg1380, jg1381, jg1001, jg492, jg11338, jg777, jg27782, jg515, jg471, jg475
OG0000101	ESY13_g57677_DN1_SP0_c0.t1	jg27510
OG0000102	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1	jg7820
OG0000102	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1	jg7815, jg7812, jg7813
OG0000102	ESY7_g16536_DN3_SP0_c0.t1	jg7818, jg11552
OG0000105	ESY5_g2214_DN1_SP0_c94.t1	jg1379
OG0000105	ESY14_g20044_DN3_SP0_c0.t1, ESY3_g32007_DN1_SP0_c0.t1, ESY7_g17046_DN1_SP0_c0.t1	jg12094
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	jg17559, jg17556, jg26263, jg26161, jg26159, jg26158, jg26157, jg26160, jg26163
OG0000109	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	jg17478, jg27454, jg27058, jg17336, jg17450, jg13895, jg1859, jg2002, jg16476, jg16484, jg29790, jg9963, jg2091, jg11738, jg13945
OG0000110	ESY9_g43985_DN3_SP0_c0.t1	jg9173
OG0000110	ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1	jg25795, jg13800, jg13799, jg25794
OG0000114	ESY1_g8019_DN3_SP0_c0.t1, ESY1_g9122_DN3_SP0_c0.t1, ESY3_g29866_DN2_SP0_c0.t1, ESY1_g6559_DN2_SP0_c10.t1, ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1	jg10774, jg6734, jg12947, jg16945, jg14091, jg21201, jg6956, jg16952, jg32081, jg32308, jg21203, jg10179, jg13973
OG0000114	ESY1_g8939_DN3_SP0_c0.t1, ESY10_g13678_DN3_SP0_c0.t1, ESY7_g17909_DN3_SP0_c0.t1, ESY9_g42538_DN3_SP0_c15.t1, ESY1_g8018_DN1_SP0_c0.t1	jg6733
OG0000116	ESY13_g57384_DN2_SP0_c0.t1, ESY9_g43004_DN2_SP0_c0.t1	jg6813, jg6561
OG0000116	ESY11_g52731_DN3_SP0_c0.t1, ESY21_g55783_DN3_SP0_c0.t1, ESY17_g39178_DN3_SP0_c0.t1, ESY17_g40097_DN3_SP0_c0.t1, ESY3_g28062_DN3_SP0_c0.t1	jg16608, jg16609
OG0000116	ESY6_g46511_DN2_SP0_c13.t1, ESY8_g59869_DN2_SP0_c0.t1	jg27190
OG0000116	ESY11_g53666_DN2_SP0_c0.t1	jg32193
OG0000117	ESY11_g54277_DN1_SP0_c0.t1	jg30936
OG0000117	ESY5_g2024_DN3_SP0_c0.t1	jg30922, jg30923, jg30924
OG0000117	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1	jg30929
OG0000118	ESY3_g32056_DN2_SP0_c0.t1	jg19043
OG0000118	ESY3_g32358_DN3_SP0_c0.t1	jg2028, jg2031, jg2038, jg2030, jg7426
OG0000118	ESY5_g4943_DN1_SP0_c0.t1, ESY5_g4942_DN3_SP0_c0.t1, ESY11_g54074_DN3_SP0_c0.t1	jg24182, jg26523
OG0000118	ESY7_g16947_DN2_SP0_c0.t1	jg7233
OG0000119	ESY6_g48892_DN3_SP0_c5.t1, ESY9_g42653_DN3_SP0_c4.t1	jg22962
OG0000119	ESY1_g9438_DN3_SP0_c57.t1, ESY4_g24785_DN3_SP0_c0.t1	jg14330, jg14326, jg14002, jg14327
OG0000122	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1	jg22487, jg22488, jg22509
OG0000122	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1	jg22486
OG0000122	ESY6_g48203_DN3_SP0_c0.t1, ESY2_g33718_DN3_SP0_c0.t1	jg22485
OG0000122	ESY2_g36290_DN3_SP0_c0.t1	jg32572
OG0000123	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	jg21770, jg20712, jg23040, jg29450, jg17599, jg27950, jg23041, jg16607
OG0000125	ESY8_g58834_DN3_SP0_c19.t1	jg17897
OG0000125	ESY2_g37202_DN3_SP0_c14.t1	jg33004
OG0000125	ESY1_g12339_DN3_SP0_c5.t1	jg33354
OG0000127	ESY5_g4488_DN3_SP0_c0.t1	jg29136
OG0000127	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	jg6123
OG0000127	ESY3_g30943_DN3_SP0_c0.t1, ESY1_g11076_DN3_SP0_c0.t1	jg15301
OG0000127	ESY1_g11079_DN3_SP0_c0.t1	jg3993, jg24874
OG0000127	ESY6_g48851_DN3_SP0_c0.t1	jg22931, jg14378
OG0000127	ESY8_g58880_DN2_SP0_c0.t1	jg17851
OG0000128	ESY4_g26081_DN1_SP0_c0.t1, ESY1_g11254_DN1_SP0_c0.t1	jg12826
OG0000128	ESY1_g11245_DN1_SP0_c0.t1	jg15969, jg15970, jg20835, jg15964, jg27428, jg27424, jg15966, jg15965, jg13485, jg15959, jg15960, jg1161, jg11381
OG0000129	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1	jg1820
OG0000129	ESY7_g19441_DN3_SP0_c0.t1, ESY7_g19438_DN2_SP0_c0.t1	jg1832
OG0000129	ESY6_g49428_DN3_SP0_c0.t1	jg33436, jg33435, jg23141, jg23140, jg17685, jg17683, jg17687, jg21823
OG0000129	ESY2_g34341_DN3_SP0_c0.t1	jg1819
OG0000130	ESY1_g9827_DN1_SP0_c0.t1	jg25904, jg33171
OG0000130	ESY23_g219_DN2_SP0_c0.t1	jg12101, jg32651, jg20179, jg27275, jg12111, jg17565, jg20993, jg25905, jg11327, jg9592, jg14104, jg33081, jg12152
OG0000132	ESY6_g48238_DN1_SP0_c0.t1	jg7387, jg7388
OG0000136	ESY7_g17164_DN1_SP0_c0.t1	jg159
OG0000138	ESY3_g32116_DN2_SP0_c0.t1	jg16315
OG0000138	ESY3_g32264_DN3_SP0_c0.t1, ESY16_g62249_DN3_SP0_c0.t1, ESY1_g12463_DN3_SP0_c6.t1, ESY2_g34038_DN3_SP0_c0.t1, ESY1_g12461_DN3_SP0_c0.t1	jg5387
OG0000140	ESY10_g15894_DN2_SP0_c0.t1	jg16992, jg1149, jg6686, jg12153, jg832, jg13730, jg32189, jg11305, jg33822, jg13897, jg21116, jg17372, jg8836, jg14078, jg1761, jg1441, jg14412, jg13729, jg7346
OG0000141	ESY5_g3820_DN1_SP0_c0.t1	jg29677
OG0000141	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1	jg12025
