Orthogroup	Euclidium_syriacum	Raphanus_sativus
OG0000015	ESY10_g15713_DN2_SP0_c0.t1, ESY10_g14906_DN2_SP0_c0.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1	XP_018463612.1
OG0000016	ESY1_g8220_DN1_SP0_c0.t1	XP_018467165.1
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	XP_018463982.1, XP_018459313.1, XP_018473920.1, XP_018473934.1, XP_018487853.1
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	XP_018487868.1, XP_018435883.1, XP_018466125.1, XP_018461261.1, XP_018467394.1, XP_018463332.1, XP_018458674.1, XP_018479532.1, XP_018459067.1, XP_018471648.1, XP_018473772.1, XP_018476168.1, XP_018461992.1, XP_018435266.1, XP_018436016.1, XP_018439110.1, XP_018463663.1, XP_018481037.1, XP_018464215.1, XP_018448670.1, XP_018448669.1, XP_018463043.1
OG0000020	ESY4_g22336_DN1_SP0_c100.t1, ESY6_g46671_DN2_SP0_c83.t1, ESY23_g73_DN3_SP0_c0.t1	XP_018460984.1, XP_018460983.1
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	XP_018487788.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018435524.1, XP_018442989.1, XP_018473760.1, XP_018479172.1, XP_018473906.1, XP_018489333.1, XP_018490274.1, XP_018454217.1, XP_018462470.1, XP_018448885.1, XP_018448606.1, XP_018463040.1, XP_018448883.1, XP_018469035.1, XP_018479751.1, XP_018477832.1, XP_018436350.1, XP_018435707.1, XP_018435708.1, XP_018465161.1, XP_018458112.1, XP_018462856.1, XP_018488201.1, XP_018454208.1, XP_018459042.1, XP_018460929.1, XP_018461247.1, XP_018480047.1, XP_018475052.1, XP_018481163.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018436132.1, XP_018464922.1, XP_018460936.1, XP_018487902.1, XP_018454082.1, XP_018489964.1, XP_018464618.1, XP_018461870.1, XP_018463351.1, XP_018454009.1, XP_018435368.1, XP_018462063.1, XP_018473966.1, XP_018462293.1, XP_018435614.1, XP_018469340.1, XP_018470860.1, XP_018437387.1, XP_018463883.1, XP_018443708.1, XP_018462647.1, XP_018460228.1, XP_018463561.1, XP_018444645.1, XP_018443745.1, XP_018443744.1, XP_018479594.1, XP_018486634.1, XP_018463665.1, XP_018463095.1, XP_018479103.1, XP_018435392.1
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	XP_018466303.1, XP_018473973.1, XP_018460255.1, XP_018479707.1, XP_018435914.1, XP_018484156.1, XP_018453821.1, XP_018460031.1, XP_018458661.1, XP_018448717.1, XP_018458592.1, XP_018459050.1, XP_018460988.1, XP_018459711.1, XP_018462251.1, XP_018448573.1, XP_018459712.1, XP_018466264.1, XP_018443761.1, XP_018458687.1, XP_018435326.1, XP_018463391.1, XP_018443767.1, XP_018458912.1, XP_018453504.1, XP_018466175.1, XP_018435516.1, XP_018435325.1, XP_018475621.1, XP_018459973.1, XP_018465360.1, XP_018466974.1, XP_018466726.1, XP_018473834.1, XP_018464886.1, XP_018479565.1, XP_018462951.1, XP_018463354.1
OG0000024	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1	XP_018485466.1, XP_018482596.1
OG0000024	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	XP_018458976.1, XP_018467451.1
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	XP_018463400.1, XP_018480408.1
OG0000028	ESY3_g32495_DN3_SP0_c95.t1, ESY3_g32269_DN2_SP0_c54.t1	XP_018467289.1, XP_018480012.1
OG0000028	ESY20_g13267_DN3_SP0_c0.t1	XP_018462813.1
OG0000028	ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1	XP_018474193.1, XP_018474191.1, XP_018466544.1, XP_018480011.1
OG0000029	ESY6_g48344_DN1_SP0_c0.t1	XP_018462178.1, XP_018479617.1, XP_018480098.1, XP_018453783.1, XP_018479504.1, XP_018453703.1, XP_018435876.1, XP_018478239.1, XP_018461350.1, XP_018473938.1, XP_018479503.1, XP_018453702.1, XP_018435877.1, XP_018463848.1, XP_018463679.1, XP_018479419.1, XP_018462971.1, XP_018459455.1, XP_018479546.1, XP_018443548.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018436157.1, XP_018464649.1, XP_018464671.1, XP_018475894.1, XP_018478725.1, XP_018460863.1, XP_018479047.1, XP_018472293.1, XP_018448729.1, XP_018459873.1, XP_018488169.1
OG0000029	ESY10_g14733_DN2_SP0_c0.t1	XP_018477751.1, XP_018453628.1, XP_018438621.1
OG0000030	ESY3_g29344_DN3_SP0_c0.t1	XP_018481995.1, XP_018492454.1
OG0000030	ESY5_g3960_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	XP_018479424.1, XP_018466469.1, XP_018462013.1
OG0000030	ESY3_g30289_DN3_SP0_c0.t1, ESY3_g30290_DN3_SP0_c0.t1	XP_018453812.1, XP_018462162.1
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	XP_018453970.1
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	XP_018488225.1
OG0000030	ESY2_g33562_DN1_SP0_c0.t1	XP_018454017.1
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	XP_018435374.1, XP_018435377.1, XP_018435375.1, XP_018435378.1
OG0000031	ESY23_g31_DN2_SP0_c0.t1	XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018436087.1, XP_018453832.1, XP_018467329.1, XP_018435496.1, XP_018461346.1
OG0000032	ESY5_g4084_DN3_SP0_c0.t1, ESY22_g40386_DN3_SP0_c42.t1, ESY10_g15881_DN3_SP0_c0.t1, ESY18_g63136_DN2_SP0_c0.t1	XP_018482431.1
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	XP_018460300.1, XP_018453765.1, XP_018464702.1, XP_018460797.1, XP_018464171.1, XP_018448429.1, XP_018448430.1, XP_018485080.1, XP_018460632.1
OG0000035	ESY10_g13892_DN3_SP0_c0.t1	XP_018448190.1, XP_018436588.1, XP_018483955.1, XP_018487525.1, XP_018483954.1, XP_018473619.1, XP_018453751.1, XP_018453750.1, XP_018459074.1, XP_018480128.1, XP_018448648.1, XP_018453607.1, XP_018480116.1, XP_018480115.1, XP_018474844.1, XP_018448647.1, XP_018463315.1, XP_018463335.1, XP_018465407.1, XP_018487548.1, XP_018462584.1, XP_018448493.1, XP_018462583.1, XP_018463221.1, XP_018443726.1, XP_018443724.1, XP_018475185.1, XP_018453682.1, XP_018473884.1, XP_018453899.1, XP_018465931.1, XP_018463554.1, XP_018459565.1, XP_018488068.1
OG0000035	ESY10_g13797_DN1_SP0_c0.t1	XP_018475133.1, XP_018458651.1
OG0000038	ESY6_g47063_DN3_SP0_c100.t1	XP_018450137.1
OG0000038	ESY3_g29295_DN1_SP0_c68.t1, ESY21_g55792_DN2_SP0_c0.t1	XP_018460335.1
OG0000040	ESY8_g60365_DN2_SP0_c0.t1	XP_018453898.1
OG0000040	ESY5_g2557_DN3_SP0_c0.t1	XP_018467584.1
OG0000041	ESY14_g19727_DN2_SP0_c0.t1	XP_018457107.1, XP_018457108.1
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	XP_018464686.1, XP_018472294.1, XP_018448715.1
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	XP_018459378.1
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	XP_018467598.1, XP_018463824.1
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	XP_018465687.1, XP_018460645.1, XP_018474025.1, XP_018435759.1
OG0000044	ESY6_g50480_DN2_SP0_c0.t1	XP_018464129.1, XP_018440463.1
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	XP_018466419.1
OG0000046	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1	XP_018472630.1
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	XP_018453758.1, XP_018453757.1, XP_018473919.1, XP_018463059.1
OG0000048	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1	XP_018479865.1, XP_018482211.1, XP_018482223.1, XP_018481628.1
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1	XP_018436807.1
OG0000048	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1	XP_018465159.1, XP_018458896.1, XP_018468803.1
OG0000048	ESY8_g58364_DN2_SP0_c0.t1	XP_018482068.1, XP_018479796.1, XP_018479876.1, XP_018481878.1, XP_018484946.1, XP_018481942.1, XP_018490100.1, XP_018484944.1, XP_018465213.1, XP_018477245.1, XP_018484943.1, XP_018484945.1, XP_018484942.1, XP_018477397.1, XP_018479871.1, XP_018477265.1, XP_018483420.1, XP_018478113.1, XP_018479866.1
OG0000048	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1	XP_018466188.1
OG0000048	ESY1_g10653_DN1_SP0_c0.t1, ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1, ESY3_g32505_DN1_SP0_c0.t1, ESY3_g32506_DN1_SP0_c0.t1	XP_018436322.1
OG0000050	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1, ESY3_g27061_DN1_SP0_c0.t1, ESY4_g23730_DN1_SP0_c0.t1	XP_018462198.1
OG0000050	ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	XP_018479391.1, XP_018460528.1, XP_018479861.1
OG0000050	ESY3_g27878_DN2_SP0_c0.t1	XP_018467601.1, XP_018488190.1, XP_018436128.1, XP_018487633.1, XP_018443603.1, XP_018443602.1, XP_018459618.1
OG0000050	ESY10_g14358_DN2_SP0_c0.t1	XP_018473761.1, XP_018460186.1
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	XP_018493126.1
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	XP_018482785.1, XP_018482784.1, XP_018473989.1
OG0000051	ESY12_g51256_DN3_SP0_c0.t1	XP_018435533.1, XP_018438374.1, XP_018463100.1, XP_018455750.1, XP_018463099.1
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	XP_018473990.1, XP_018465828.1
OG0000051	ESY5_g2705_DN3_SP0_c0.t1	XP_018489710.1, XP_018489712.1, XP_018436544.1, XP_018436543.1
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	XP_018436547.1, XP_018436548.1, XP_018436546.1, XP_018436545.1, XP_018436438.1, XP_018436441.1
OG0000052	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	XP_018454118.1
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	XP_018440341.1, XP_018440340.1, XP_018436949.1
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	XP_018474315.1, XP_018475877.1, XP_018475876.1, XP_018460442.1, XP_018475208.1, XP_018448356.1, XP_018469080.1, XP_018460063.1
OG0000055	ESY8_g59290_DN2_SP0_c0.t1	XP_018488227.1
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	XP_018489800.1
OG0000055	ESY16_g61658_DN1_SP0_c0.t1	XP_018489423.1, XP_018464956.1
OG0000056	ESY2_g33757_DN3_SP0_c0.t1	XP_018452237.1
OG0000056	ESY2_g33762_DN3_SP0_c0.t1	XP_018458632.1
OG0000056	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1	XP_018452289.1, XP_018452239.1, XP_018452238.1, XP_018454291.1
OG0000056	ESY2_g33671_DN2_SP0_c0.t1	XP_018456965.1
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	XP_018467931.1, XP_018487493.1
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	XP_018464464.1, XP_018458133.1, XP_018458116.1, XP_018459170.1, XP_018487916.1, XP_018453759.1, XP_018462577.1, XP_018462557.1, XP_018480044.1, XP_018473916.1, XP_018473917.1, XP_018435571.1, XP_018462760.1, XP_018461876.1, XP_018457139.1, XP_018464202.1, XP_018477823.1, XP_018458662.1
OG0000059	ESY11_g53896_DN3_SP0_c0.t1	XP_018476848.1, XP_018448721.1, XP_018436112.1, XP_018463973.1, XP_018467561.1, XP_018467345.1, XP_018443425.1, XP_018448461.1, XP_018435913.1, XP_018487671.1, XP_018458755.1, XP_018443688.1
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	XP_018464627.1
OG0000062	ESY17_g40168_DN2_SP0_c0.t1	XP_018487526.1, XP_018462640.1
OG0000062	ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1, ESY1_g11365_DN3_SP0_c59.t1	XP_018474002.1
OG0000062	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1	XP_018479829.1, XP_018467054.1, XP_018453734.1, XP_018487794.1, XP_018458698.1
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	XP_018474011.1, XP_018473954.1, XP_018463363.1, XP_018463353.1, XP_018487874.1
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	XP_018459458.1, XP_018459460.1, XP_018459461.1, XP_018459459.1, XP_018458876.1, XP_018458874.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	XP_018479670.1
OG0000065	ESY4_g25771_DN2_SP0_c0.t1	XP_018463906.1, XP_018458891.1, XP_018461818.1
OG0000065	ESY1_g11993_DN3_SP0_c13.t1	XP_018435200.1
OG0000066	ESY23_g163_DN2_SP0_c0.t1, ESY7_g18022_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1	XP_018433979.1, XP_018456938.1, XP_018470662.1, XP_018439713.1, XP_018448989.1, XP_018445234.1, XP_018448990.1, XP_018470661.1, XP_018456939.1
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	XP_018474475.1, XP_018468122.1, XP_018468121.1, XP_018447173.1, XP_018443026.1, XP_018450392.1, XP_018442730.1, XP_018474474.1
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	XP_018436147.1, XP_018480184.1, XP_018460919.1, XP_018463862.1, XP_018473775.1, XP_018436225.1, XP_018453861.1, XP_018448851.1, XP_018489246.1, XP_018473786.1, XP_018437392.1, XP_018480173.1, XP_018460256.1, XP_018448865.1, XP_018467522.1, XP_018436246.1, XP_018436236.1, XP_018465377.1, XP_018459048.1, XP_018479351.1, XP_018465047.1, XP_018466955.1, XP_018435862.1
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	XP_018442371.1, XP_018442368.1, XP_018443375.1, XP_018442366.1, XP_018444607.1, XP_018446006.1, XP_018472777.1, XP_018465626.1, XP_018474335.1
OG0000068	ESY2_g35387_DN3_SP0_c0.t1	XP_018479852.1, XP_018451192.1, XP_018451190.1, XP_018433874.1, XP_018433854.1, XP_018433855.1, XP_018433875.1, XP_018452236.1
OG0000069	ESY20_g13229_DN3_SP0_c0.t1	XP_018467622.1
OG0000069	ESY6_g49138_DN1_SP0_c0.t1	XP_018475767.1, XP_018479965.1, XP_018479843.1
OG0000070	ESY10_g14297_DN3_SP0_c35.t1, ESY3_g32095_DN2_SP0_c41.t1	XP_018439895.1, XP_018455246.1
OG0000070	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1	XP_018485425.1, XP_018449875.1
OG0000070	ESY1_g11932_DN3_SP0_c0.t1, ESY1_g11987_DN2_SP0_c87.t1, ESY16_g62316_DN3_SP0_c41.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY1_g11985_DN1_SP0_c74.t1	XP_018475135.1
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	XP_018460591.1, XP_018471856.1, XP_018461001.1, XP_018461103.1, XP_018453574.1
OG0000072	ESY1_g10105_DN1_SP0_c0.t1	XP_018465335.1, XP_018448501.1, XP_018436002.1, XP_018460221.1, XP_018464358.1, XP_018458942.1, XP_018462168.1
OG0000073	ESY4_g26580_DN3_SP0_c0.t1	XP_018464209.1
OG0000073	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1	XP_018448608.1, XP_018464388.1, XP_018488189.1, XP_018448749.1, XP_018436121.1, XP_018467151.1
OG0000073	ESY1_g10476_DN2_SP0_c0.t1, ESY6_g48384_DN1_SP0_c0.t1	XP_018479682.1
OG0000075	ESY5_g3131_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY8_g60740_DN3_SP0_c0.t1	XP_018481197.1, XP_018459483.1
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	XP_018480217.1
OG0000076	ESY5_g5006_DN2_SP0_c0.t1, ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1	XP_018462841.1, XP_018475048.1, XP_018474599.1, XP_018474598.1, XP_018443200.1, XP_018443823.1, XP_018460203.1, XP_018473529.1, XP_018460207.1, XP_018460209.1, XP_018472945.1, XP_018460208.1, XP_018474714.1, XP_018473780.1, XP_018473779.1
