Orthogroup	Euclidium_syriacum	Arabidopsis_thaliana
OG0000055	ESY8_g59290_DN2_SP0_c0.t1	AT3G18120.1
OG0000055	ESY9_g43255_DN3_SP0_c0.t1, ESY10_g15079_DN3_SP0_c0.t1	AT3G16820.1
OG0000055	ESY3_g29892_DN1_SP0_c0.t1	AT5G36200.1, AT5G36820.1, AT5G36730.1
OG0000056	ESY2_g33771_DN2_SP0_c0.t1	AT1G61960.1
OG0000056	ESY3_g31641_DN1_SP0_c0.t1	AT1G62490.1
OG0000056	ESY2_g33766_DN3_SP0_c0.t1	AT1G62120.1
OG0000056	ESY2_g33762_DN3_SP0_c0.t1	AT1G61990.1
OG0000056	ESY2_g33775_DN1_SP0_c0.t1	AT1G61980.1, AT1G61970.1
OG0000056	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1	AT3G46950.1
OG0000059	ESY11_g53896_DN3_SP0_c0.t1	AT2G07800.1
OG0000060	ESY1_g11061_DN3_SP0_c0.t1	AT3G46320.1
OG0000060	ESY6_g48811_DN3_SP0_c0.t1	AT3G45930.1
OG0000060	ESY8_g58878_DN3_SP0_c0.t1	AT5G59970.1
OG0000060	ESY5_g4464_DN2_SP0_c0.t1	AT2G28740.1
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	AT5G12450.1
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	AT2G29910.6
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	AT3G44115.1, AT1G57760.1, AT1G45221.1, AT1G45215.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT5G42955.1, AT5G42957.1, AT5G34882.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34908.1
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	AT5G38260.1
OG0000066	ESY23_g163_DN2_SP0_c0.t1	AT3G27360.1
OG0000066	ESY11_g54349_DN3_SP0_c0.t1	AT1G09200.1
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	AT5G10980.1
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	AT1G19890.1
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	AT3G09160.1
OG0000068	ESY6_g50195_DN3_SP0_c0.t1	AT5G53700.1, AT5G03495.1, AT5G03480.1
OG0000069	ESY8_g58271_DN2_SP0_c9.t1	AT5G35640.1, AT1G01355.1
OG0000069	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1	AT5G39640.1
OG0000070	ESY10_g14297_DN3_SP0_c35.t1	AT1G10230.1
OG0000070	ESY3_g32095_DN2_SP0_c41.t1	AT2G20160.1, AT2G03190.1, AT3G25650.1, AT2G03170.1
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	AT3G31430.1
OG0000073	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1	AT2G11035.1
OG0000075	ESY12_g52268_DN2_SP0_c19.t1	AT4G39570.1
OG0000075	ESY4_g26060_DN2_SP0_c0.t1, ESY4_g26061_DN3_SP0_c0.t1	AT1G60570.1, AT1G19930.1
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	AT4G38940.1
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	AT2G07190.1
OG0000081	ESY3_g29563_DN2_SP0_c0.t1, ESY4_g22453_DN2_SP0_c7.t1	AT4G07445.1
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	AT3G30165.1
OG0000086	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1	AT5G37890.1
OG0000086	ESY10_g14582_DN1_SP0_c0.t1	AT5G37870.1, AT5G37900.1, AT5G37910.1
OG0000086	ESY2_g35232_DN2_SP0_c0.t1	AT1G66620.1, AT1G66630.1
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	AT5G23860.1
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	AT2G29550.1
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	AT5G12250.1
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	AT5G44340.1
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	AT4G20890.1
OG0000089	ESY5_g3995_DN3_SP3_c0.t1	AT1G20010.1
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	AT1G75780.1
OG0000095	ESY3_g31038_DN1_SP0_c0.t1	AT1G64840.1
OG0000096	ESY3_g31121_DN3_SP0_c0.t1	AT5G47300.1
OG0000096	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1	AT1G25141.1
OG0000096	ESY3_g29685_DN2_SP0_c0.t1	AT3G49980.2
OG0000098	ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1	AT2G14290.1, AT2G14500.1
OG0000098	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1	AT1G27540.1, AT1G27580.1, AT1G27550.1
OG0000100	ESY1_g11939_DN1_SP0_c0.t1	AT1G63870.1, AT1G56520.2, AT1G56510.1, AT1G56540.1, AT5G38850.1, AT1G63730.1, AT1G63740.2, AT4G14370.2, AT1G64070.1, AT2G16870.1, AT1G63750.3, AT5G58120.1, AT1G63860.1, AT1G63880.1, AT5G35510.2
OG0000102	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1	AT4G03635.1
OG0000102	ESY7_g16536_DN3_SP0_c0.t1	AT5G52480.1
OG0000105	ESY6_g49439_DN2_SP0_c0.t1	AT1G57630.1
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	AT2G27010.1, AT2G27000.1, AT5G47990.1, AT4G15350.1, AT3G20940.1, AT3G20950.1, AT3G20140.1, AT4G15380.1, AT3G20080.1, AT3G20100.1, AT2G14100.1, AT3G32047.1, AT3G20130.1, AT3G20960.2, AT3G20090.2, AT2G05180.1, AT4G15360.1, AT4G15330.1, AT3G20110.1, AT3G20120.4
OG0000110	ESY22_g40730_DN3_SP0_c0.t1, ESY13_g56185_DN2_SP0_c0.t1, ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1	AT1G36510.1, AT3G32260.1
OG0000114	ESY1_g8020_DN3_SP0_c0.t1	AT1G36230.1
OG0000114	ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1	AT2G07280.1
OG0000116	ESY2_g38543_DN3_SP0_c0.t1, ESY17_g39177_DN3_SP0_c0.t1	AT1G14800.1
OG0000117	ESY11_g54277_DN1_SP0_c0.t1	AT1G23670.2
OG0000117	ESY5_g2024_DN3_SP0_c0.t1	AT1G23510.1, AT1G23520.1
OG0000117	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1	AT1G23570.2, AT1G23580.1
OG0000118	ESY3_g32056_DN2_SP0_c0.t1	AT2G38590.1
OG0000118	ESY3_g32358_DN3_SP0_c0.t1	AT1G65990.1, AT4G10740.1
OG0000118	ESY5_g4943_DN1_SP0_c0.t1, ESY5_g4942_DN3_SP0_c0.t1, ESY11_g54074_DN3_SP0_c0.t1	AT3G22940.1, AT3G22421.1, AT3G22870.1
OG0000118	ESY5_g4941_DN1_SP0_c0.t1, ESY12_g51410_DN2_SP0_c0.t1, ESY7_g18694_DN2_SP0_c0.t1, ESY5_g3801_DN1_SP0_c0.t1	AT3G23680.1
OG0000119	ESY1_g12231_DN2_SP0_c61.t1	AT2G22940.1
OG0000119	ESY1_g12226_DN2_SP0_c73.t1, ESY3_g32436_DN2_SP0_c0.t1	AT3G43180.1
OG0000119	ESY1_g9438_DN3_SP0_c57.t1, ESY4_g24785_DN3_SP0_c0.t1	AT3G45555.1
OG0000122	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1	AT5G56390.1, AT5G56325.1
OG0000123	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	AT5G36657.1, AT5G51105.1, AT5G44495.1, AT5G42895.1, AT4G09545.1, AT5G36739.1, AT5G36662.1, AT5G36460.1, AT5G36450.1, AT5G36400.1, AT5G36390.1, AT5G36430.1, AT5G36350.1, AT5G36380.1, AT5G36420.1, AT5G36360.1, AT5G36500.1, AT5G36490.1, AT5G36330.1, AT5G36340.1, AT5G36310.1, AT5G36540.1, AT5G36550.1, AT5G36520.1, AT5G36410.1, AT5G36440.1, AT5G36470.1, AT5G36370.1, AT5G36738.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36661.1, AT5G36659.1, AT3G42565.1
OG0000125	ESY8_g58838_DN3_SP0_c18.t1	AT2G29000.1
OG0000125	ESY2_g37202_DN3_SP0_c14.t1	AT1G49100.1
OG0000127	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	AT5G22880.1
OG0000127	ESY3_g30941_DN1_SP0_c0.t1	AT2G37470.1
OG0000127	ESY3_g30943_DN3_SP0_c0.t1, ESY1_g11076_DN3_SP0_c0.t1	AT3G53650.1
OG0000127	ESY1_g11079_DN3_SP0_c0.t1	AT5G02570.1, AT3G09480.1
OG0000127	ESY6_g48851_DN3_SP0_c0.t1	AT5G59910.1, AT3G45980.1
OG0000127	ESY8_g58880_DN2_SP0_c0.t1	AT2G28720.1
OG0000128	ESY1_g11245_DN1_SP0_c0.t1	AT3G59270.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G59200.1, AT3G59210.1, AT1G58310.1, AT4G14103.2, AT4G14096.1
OG0000129	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1	AT1G65120.2
OG0000129	ESY6_g49428_DN3_SP0_c0.t1	AT1G52450.1, AT1G52430.1, AT5G61950.1, AT5G61940.2, AT2G27630.1, AT2G27650.1, AT5G51530.1
OG0000129	ESY2_g34341_DN3_SP0_c0.t1	AT1G65110.2
OG0000130	ESY1_g9827_DN1_SP0_c0.t1	AT4G03292.1, AT2G02650.1, AT4G09775.1, AT3G09510.1, AT2G13980.1, AT5G26617.1, AT5G44470.1, AT3G23320.1, AT5G52115.1, AT5G65005.1, AT1G52990.1
OG0000130	ESY23_g219_DN2_SP0_c0.t1	AT3G32130.1, AT3G25270.1, AT2G04420.1, AT1G50160.1, AT5G43755.1, AT1G04625.1, AT2G46460.1, AT1G47497.1, AT2G11205.1, AT1G27870.1, AT1G77815.1
OG0000132	ESY6_g48238_DN1_SP0_c0.t1	AT4G09920.1, AT4G10410.1, AT4G10420.1, AT4G10400.1
OG0000136	ESY10_g13998_DN2_SP0_c0.t1, ESY9_g45027_DN2_SP0_c0.t1	AT1G40390.1
OG0000137	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1	AT5G55370.1
OG0000138	ESY3_g32264_DN3_SP0_c0.t1, ESY16_g62249_DN3_SP0_c0.t1, ESY1_g12463_DN3_SP0_c6.t1, ESY2_g34038_DN3_SP0_c0.t1, ESY1_g12461_DN3_SP0_c0.t1	AT5G15620.1
OG0000141	ESY5_g3778_DN2_SP0_c0.t1, ESY5_g3779_DN2_SP0_c0.t1	AT4G10780.1
OG0000141	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1	AT1G12210.1
OG0000141	ESY2_g33647_DN2_SP0_c0.t1, ESY2_g33651_DN2_SP0_c0.t1	AT1G62630.1, AT1G63360.1, AT1G63350.2
OG0000141	ESY6_g49757_DN3_SP0_c0.t1, ESY6_g49766_DN1_SP0_c0.t1, ESY6_g49768_DN3_SP0_c0.t1, ESY6_g49777_DN3_SP0_c0.t1, ESY6_g49767_DN3_SP0_c0.t1	AT5G63020.1
OG0000148	ESY8_g58470_DN2_SP0_c0.t1	AT1G47765.1, AT3G10240.1
OG0000148	ESY2_g37389_DN3_SP0_c0.t1, ESY2_g37390_DN1_SP0_c0.t1, ESY9_g42982_DN3_SP0_c0.t1	AT1G47790.1
OG0000151	ESY1_g10786_DN3_SP0_c0.t1, ESY1_g10749_DN1_SP0_c6.t1	AT3G55130.1, AT3G55110.1, AT3G55100.1, AT2G39350.1, AT3G55090.1, AT3G53510.1, AT2G37360.1, AT5G13580.1
OG0000153	ESY18_g63267_DN3_SP0_c0.t1	AT2G30670.1
OG0000153	ESY5_g4518_DN3_SP0_c32.t1	AT1G07450.1
OG0000154	ESY16_g61942_DN3_SP0_c0.t1, ESY16_g61938_DN2_SP0_c0.t1, ESY2_g37486_DN2_SP0_c0.t1	AT1G50830.1, AT5G18510.1
OG0000154	ESY2_g37254_DN2_SP0_c0.t1	AT1G51538.1
OG0000154	ESY2_g37383_DN3_SP0_c0.t1, ESY2_g37452_DN3_SP0_c0.t1	AT1G50750.1
OG0000154	ESY2_g37455_DN1_SP0_c0.t1	AT1G50770.1
OG0000157	ESY3_g31914_DN1_SP0_c0.t1, ESY16_g62073_DN3_SP0_c0.t1, ESY9_g42903_DN1_SP0_c0.t1, ESY7_g19603_DN2_SP0_c0.t1, ESY9_g42902_DN2_SP0_c0.t1	AT1G32660.1
OG0000158	ESY4_g26040_DN3_SP0_c0.t1, ESY7_g18054_DN3_SP0_c0.t1, ESY12_g51000_DN3_SP0_c0.t1, ESY4_g26330_DN1_SP0_c0.t1	AT4G36840.1
OG0000160	ESY11_g54431_DN3_SP8_c0.t1	AT2G18960.1
OG0000160	ESY4_g24538_DN3_SP0_c0.t1	AT4G30190.2
OG0000160	ESY6_g48428_DN3_SP8_c0.t1	AT5G57350.1
OG0000160	ESY19_g42179_DN3_SP8_c0.t1	AT3G42640.1
OG0000160	ESY2_g36615_DN3_SP8_c6.t1	AT1G80660.1
OG0000160	ESY8_g59421_DN3_SP7_c0.t1	AT2G24520.2
OG0000162	ESY20_g12795_DN3_SP0_c0.t1	AT2G33190.1
OG0000163	ESY8_g60272_DN2_SP0_c0.t1	AT2G06105.1
OG0000165	ESY11_g54874_DN3_SP0_c0.t1, ESY11_g54875_DN3_SP0_c0.t1	AT2G15010.1, AT5G36910.1, AT1G66100.1
OG0000167	ESY2_g33553_DN2_SP0_c0.t1	AT4G10190.1, AT3G21170.1, AT3G21130.1, AT3G21120.1, AT3G23260.1
OG0000169	ESY12_g51769_DN2_SP0_c0.t1	AT2G23160.1
OG0000169	ESY12_g51768_DN3_SP0_c0.t1	AT1G47300.1
OG0000170	ESY7_g16345_DN2_SP0_c0.t1	AT2G45580.1, AT3G61040.1, AT3G61035.1, AT1G33730.1, AT1G33720.1, AT2G45570.1, AT2G45560.1, AT2G45550.1
OG0000171	ESY6_g47353_DN3_SP8_c0.t1	AT5G53300.1
OG0000171	ESY8_g60049_DN3_SP6_c0.t1	AT5G41700.4
OG0000171	ESY11_g53876_DN3_SP8_c0.t1	AT2G16740.1
OG0000171	ESY6_g48165_DN3_SP8_c0.t1	AT5G56150.1
OG0000171	ESY3_g30785_DN3_SP8_c0.t1, ESY3_g30787_DN3_SP0_c0.t1	AT3G08700.1, AT3G08690.1
OG0000171	ESY4_g23864_DN3_SP6_c0.t1	AT4G27960.2
OG0000172	ESY7_g18225_DN1_SP0_c0.t1	AT4G05095.1
OG0000172	ESY5_g3352_DN1_SP0_c0.t1	AT3G27590.1, AT1G34440.1
OG0000173	ESY3_g31617_DN3_SP0_c0.t1	AT3G24610.1, AT2G14288.1
OG0000174	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1	AT1G52603.1, AT5G33393.1, AT1G67235.1
OG0000182	ESY1_g12359_DN3_SP0_c0.t1	AT3G61100.1, AT3G61090.1
OG0000182	ESY4_g26670_DN2_SP0_c0.t1, ESY6_g50201_DN1_SP0_c0.t1	AT2G38365.1
OG0000183	ESY2_g35240_DN3_SP8_c46.t1	AT1G66410.2, AT5G37780.3
OG0000183	ESY12_g51047_DN3_SP8_c0.t1	AT3G56800.1
OG0000183	ESY1_g7203_DN3_SP0_c0.t1	AT5G21274.1, AT2G27030.3
OG0000184	ESY3_g29455_DN1_SP0_c0.t1	AT3G22030.1, AT3G22053.1
OG0000185	ESY12_g51008_DN3_SP0_c0.t1	AT1G19060.1, AT1G02770.1
OG0000186	ESY7_g19507_DN2_SP0_c13.t1	AT1G53340.2
OG0000186	ESY7_g19500_DN1_SP0_c13.t1	AT2G13895.1
OG0000186	ESY3_g32370_DN2_SP0_c0.t1, ESY3_g32365_DN1_SP0_c79.t1	AT2G02690.1, AT2G02700.1, AT2G02680.1, AT2G02610.1, AT2G02640.1, AT2G02620.1, AT2G02630.1, AT1G61840.1, AT2G40050.1
OG0000188	ESY3_g31964_DN2_SP0_c0.t1, ESY3_g31967_DN2_SP0_c0.t1	AT4G29970.1, AT3G10790.1, AT2G13630.1, AT3G04660.1
OG0000189	ESY4_g26116_DN3_SP8_c10.t1	AT4G35950.1
OG0000189	ESY11_g53875_DN3_SP4_c0.t1	AT4G35020.1
OG0000189	ESY5_g3986_DN3_SP8_c0.t1	AT1G20090.1
OG0000192	ESY10_g14136_DN1_SP0_c0.t1	AT3G51210.1
OG0000193	ESY5_g4726_DN2_SP0_c0.t1, ESY4_g25268_DN1_SP0_c0.t1, ESY6_g50699_DN2_SP0_c0.t1	AT2G14710.1, AT3G16580.1
OG0000195	ESY1_g9173_DN1_SP0_c0.t1	AT3G48400.1
OG0000197	ESY9_g43010_DN3_SP0_c0.t1	AT4G19570.1
OG0000198	ESY10_g14610_DN3_SP8_c0.t1	AT2G01520.1
OG0000198	ESY7_g18205_DN3_SP0_c0.t1, ESY7_g18208_DN3_SP0_c0.t1	AT3G26450.1, AT3G26460.1
OG0000199	ESY1_g12013_DN3_SP0_c0.t1, ESY1_g12014_DN3_SP0_c0.t1	AT1G51670.1, AT1G48180.1
OG0000199	ESY1_g12012_DN3_SP0_c0.t1	AT4G29770.2, AT5G18065.1, AT5G18040.1, AT4G29760.1
OG0000200	ESY7_g17892_DN3_SP0_c0.t1, ESY7_g17041_DN3_SP0_c0.t1	AT1G30170.1
OG0000200	ESY7_g17038_DN2_SP0_c0.t1	AT1G30160.2
OG0000202	ESY17_g40199_DN1_SP0_c62.t1	AT4G11390.2
OG0000202	ESY1_g12318_DN1_SP0_c13.t1	AT1G69150.1, AT3G43890.1
OG0000202	ESY1_g12328_DN2_SP0_c6.t1	AT1G65180.1
OG0000203	ESY1_g10742_DN3_SP0_c0.t1	AT3G58270.1
OG0000203	ESY16_g61546_DN3_SP0_c0.t1	AT3G58370.1
OG0000203	ESY1_g11462_DN3_SP0_c0.t1	AT3G58360.1
OG0000203	ESY1_g11463_DN3_SP0_c0.t1	AT3G58350.1
OG0000209	ESY7_g18015_DN2_SP0_c0.t1	AT5G10340.1
OG0000210	ESY2_g33577_DN3_SP0_c0.t1	AT1G67150.2
OG0000210	ESY1_g12080_DN3_SP0_c20.t1	AT3G60470.1
OG0000215	ESY43_g13373_DN3_SP0_c65.t1, ESY1_g9596_DN1_SP0_c0.t1, ESY21_g55434_DN3_SP0_c82.t1, ESY13_g57734_DN2_SP0_c0.t1, ESY16_g62421_DN3_SP0_c70.t1	AT2G06265.1, AT2G07505.1
OG0000216	ESY5_g2595_DN2_SP0_c6.t1	AT4G00893.1, AT4G12370.1, AT4G10700.1, AT4G10660.1, AT4G10695.1, AT4G12382.1, AT1G57790.1, AT3G56470.1
OG0000219	ESY2_g33708_DN2_SP0_c0.t1	AT3G48840.1
OG0000225	ESY2_g35546_DN3_SP0_c9.t1	AT1G78730.1
OG0000225	ESY2_g36146_DN3_SP0_c12.t1	AT1G69630.1
OG0000226	ESY7_g19329_DN2_SP0_c0.t1, ESY7_g19230_DN3_SP0_c0.t1, ESY7_g19228_DN2_SP0_c0.t1, ESY7_g19246_DN1_SP0_c0.t1	AT4G13130.1, AT1G66440.1, AT1G66450.2, AT1G29180.1, AT3G26250.1, AT3G26240.1
OG0000226	ESY7_g19337_DN3_SP0_c0.t1	AT4G15070.1, AT5G48320.1
OG0000229	ESY1_g5643_DN2_SP0_c0.t1, ESY18_g63659_DN3_SP0_c28.t1	AT5G28820.1
OG0000229	ESY1_g7176_DN1_SP0_c0.t1, ESY5_g764_DN1_SP0_c0.t1	AT5G35540.1
OG0000233	ESY7_g18557_DN2_SP0_c0.t1	AT5G07550.1
OG0000233	ESY7_g18561_DN2_SP0_c0.t1, ESY7_g18558_DN2_SP0_c0.t1, ESY7_g18562_DN2_SP0_c0.t1	AT5G07571.1, AT5G07560.1
OG0000233	ESY9_g43229_DN2_SP0_c0.t1	AT5G07510.1, AT5G07600.1, AT5G07520.1
OG0000234	ESY7_g19410_DN2_SP0_c0.t1, ESY7_g19411_DN1_SP0_c0.t1	AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G03000.1, AT3G46050.1
OG0000235	ESY2_g34542_DN1_SP0_c0.t1	AT3G25080.1
OG0000235	ESY7_g18868_DN1_SP0_c0.t1	AT4G11700.1
OG0000236	ESY10_g15168_DN3_SP0_c0.t1	AT1G69650.1
OG0000236	ESY3_g28939_DN3_SP0_c0.t1	AT2G15710.1
OG0000236	ESY7_g17849_DN3_SP0_c0.t1	AT3G22080.1
