Orthogroup	Euclidium_syriacum	Eutrema_salsugineum
OG0000009	ESY2_g36312_DN1_SP0_c0.t1	XP_024006395.1
OG0000009	ESY18_g63291_DN2_SP0_c0.t1, ESY8_g59590_DN3_SP0_c0.t1, ESY7_g17672_DN2_SP0_c0.t1, ESY2_g38373_DN2_SP0_c0.t1	XP_006408923.1
OG0000009	ESY17_g40133_DN1_SP0_c0.t1	XP_024010394.1
OG0000009	ESY9_g43520_DN3_SP0_c0.t1	XP_006404467.1, XP_024014738.1, XP_024010667.1, XP_024015832.1, XP_024006416.1
OG0000011	ESY5_g2565_DN1_SP0_c0.t1	XP_024003642.1, XP_024003759.1, XP_024004876.1, XP_024016548.1
OG0000011	ESY1_g5997_DN2_SP0_c99.t1	XP_024007764.1
OG0000011	ESY8_g60782_DN3_SP0_c0.t1	XP_024014025.1, XP_024013301.1, XP_024010379.1, XP_024013975.1, XP_024006589.1, XP_024006532.1, XP_024010647.1, XP_024011223.1, XP_024013321.1, XP_024010115.1
OG0000011	ESY9_g45243_DN3_SP0_c0.t1	XP_024014259.1
OG0000011	ESY6_g46861_DN2_SP0_c63.t1	XP_024013228.1
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	XP_024006143.1
OG0000015	ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1	XP_024012449.1
OG0000015	ESY2_g38598_DN3_SP0_c0.t1	XP_024013064.1
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	XP_024011334.1, XP_024013809.1
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	XP_024013930.1, XP_024006617.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024013948.1, XP_024013964.1, XP_024013965.1, XP_006405034.2, XP_024010782.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013043.1, XP_024013056.1, XP_024010319.1, XP_024014443.1, XP_024006547.1, XP_024014425.1, XP_024007259.1, XP_024009794.1, XP_024011333.1, XP_024006565.1, XP_024013063.1, XP_024010757.1, XP_024016106.1, XP_024014812.1, XP_024015878.1, XP_024010923.1, XP_024016723.1, XP_024004986.1, XP_024015902.1, XP_024013981.1, XP_024007902.1, XP_024010205.1, XP_024010440.1, XP_024014746.1
OG0000020	ESY13_g56796_DN1_SP0_c0.t1	XP_024016132.1
OG0000020	ESY4_g22336_DN1_SP0_c100.t1	XP_024014258.1, XP_024010776.1, XP_024011342.1, XP_024014221.1
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	XP_024013384.1
OG0000021	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	XP_024008232.1
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	XP_024013410.1, XP_024013199.1, XP_024013230.1, XP_024004018.1, XP_024010417.1, XP_024010406.1, XP_024014356.1, XP_024014465.1, XP_024009473.1, XP_024004033.1, XP_024005031.1, XP_024016113.1, XP_024007959.1, XP_024005009.1, XP_024007961.1, XP_024010549.1, XP_024014546.1, XP_024015958.1, XP_024006560.1, XP_024009593.1, XP_024011315.1, XP_024016362.1, XP_024013416.1, XP_024015863.1, XP_024015862.1, XP_024013159.1, XP_024010078.1, XP_024016374.1, XP_024009936.1, XP_024006513.1
OG0000024	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1	XP_006393242.1, XP_006393240.1, XP_006393292.2, XP_006393291.1, XP_006393290.1, XP_006393293.1, XP_006393224.2
OG0000027	ESY9_g42764_DN3_SP0_c0.t1	XP_024010236.1
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	XP_006413573.1
OG0000029	ESY5_g1247_DN2_SP0_c0.t1	XP_024016311.1
OG0000029	ESY6_g48344_DN1_SP0_c0.t1	XP_024015838.1, XP_024010450.1, XP_024014056.1, XP_024014403.1, XP_024004857.1, XP_024016540.1, XP_024013162.1, XP_024013053.1, XP_024009819.1, XP_024010241.1, XP_024014715.1
OG0000029	ESY1_g6329_DN2_SP0_c0.t1	XP_024004858.1
OG0000030	ESY5_g3960_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	XP_024008003.1
OG0000030	ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1	XP_024009293.1
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	XP_024016186.1
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	XP_024010547.1, XP_024015244.1
OG0000030	ESY3_g30282_DN2_SP0_c0.t1	XP_006401009.1
OG0000030	ESY3_g30254_DN3_SP0_c0.t1, ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1	XP_024013353.1
OG0000031	ESY5_g789_DN1_SP0_c0.t1	XP_024010455.1
OG0000031	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1	XP_024013201.1
OG0000031	ESY23_g31_DN2_SP0_c0.t1	XP_024011171.1, XP_024007913.1, XP_024013167.1, XP_024016245.1, XP_024012481.1, XP_024014868.1
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	XP_024010425.1, XP_024007977.1
OG0000035	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1	XP_024007976.1, XP_024016141.1
OG0000035	ESY10_g13892_DN3_SP0_c0.t1	XP_024008048.1, XP_024009273.1, XP_006391890.2, XP_024010301.1, XP_024016312.1, XP_024014902.1, XP_024016657.1, XP_024013938.1, XP_024004785.1, XP_024005785.1, XP_024004877.1, XP_024016694.1, XP_024016229.1, XP_024011093.1, XP_024010243.1, XP_024006613.1, XP_006409421.2, XP_024009313.1, XP_024006556.1, XP_024015936.1
OG0000035	ESY10_g13797_DN1_SP0_c0.t1	XP_024016804.1
OG0000040	ESY5_g2557_DN3_SP0_c0.t1	XP_024006069.1
OG0000041	ESY6_g46303_DN3_SP0_c0.t1	XP_024004893.1
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	XP_024011200.1, XP_024004768.1, XP_024011348.1, XP_024013542.1
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	XP_024009659.1
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	XP_024009281.1, XP_024009944.1, XP_024011303.1, XP_024016200.1
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	XP_024014240.1
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	XP_024004579.1
OG0000046	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1	XP_024015030.1
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	XP_006401889.2, XP_024011380.1, XP_006389862.1, XP_024013796.1, XP_024010208.1, XP_006403918.2, XP_024006486.1, XP_024009662.1, XP_024009472.1, XP_024009471.1, XP_024009726.1, XP_024010419.1
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1	XP_024005913.1
OG0000048	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1	XP_006391498.1
OG0000048	ESY8_g58363_DN2_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1	XP_006406621.1, XP_006406579.1
OG0000048	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	XP_006406533.1
OG0000050	ESY1_g9981_DN2_SP0_c0.t1, ESY7_g19658_DN2_SP0_c17.t1, ESY3_g29149_DN1_SP0_c0.t1, ESY9_g45386_DN2_SP0_c0.t1, ESY21_g55697_DN2_SP0_c0.t1, ESY10_g15754_DN1_SP0_c0.t1	XP_024011305.1, XP_006403065.1, XP_006396164.1, XP_024016108.1, XP_024010449.1, XP_006414856.2
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	XP_006418389.2, XP_024008111.1
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	XP_006411503.1
OG0000051	ESY12_g51256_DN3_SP0_c0.t1	XP_006392148.1, XP_024013725.1, XP_024013699.1
OG0000051	ESY5_g2705_DN3_SP0_c0.t1	XP_024004231.1
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	XP_024004184.1
OG0000052	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	XP_024007553.1
OG0000055	ESY8_g59290_DN2_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1	XP_006398121.1, XP_006406735.1
OG0000056	ESY2_g33757_DN3_SP0_c0.t1	XP_006391935.1
OG0000056	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1	XP_024016867.1
OG0000056	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1	XP_006391863.1, XP_024016712.1, XP_006391858.2
OG0000056	ESY3_g31686_DN3_SP0_c0.t1	XP_006405761.2
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	XP_024016128.1, XP_024013600.1
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	XP_024015982.1, XP_024013356.1, XP_024006629.1, XP_024016554.1, XP_024011207.1, XP_024014435.1, XP_024009368.1, XP_024014237.1, XP_024016380.1, XP_024011251.1, XP_024003653.1, XP_024009607.1, XP_024016240.1, XP_024016319.1, XP_024013206.1, XP_024011314.1, XP_024011360.1, XP_024010368.1, XP_024012295.1, XP_024009971.1, XP_024006803.1, XP_024006792.1, XP_024011140.1, XP_024013156.1, XP_024016265.1, XP_024009371.1, XP_024012609.1
OG0000062	ESY14_g20664_DN3_SP0_c0.t1	XP_024013032.1
OG0000062	ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1, ESY1_g11365_DN3_SP0_c59.t1	XP_024004127.1
OG0000062	ESY11_g52398_DN3_SP0_c0.t1	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010298.1, XP_024010297.1, XP_024008041.1
OG0000062	ESY9_g43856_DN2_SP0_c0.t1	XP_024010226.1, XP_024010620.1, XP_024016291.1, XP_024011215.1, XP_024013963.1, XP_024009617.1, XP_024010321.1, XP_024009248.1
OG0000062	ESY9_g44156_DN3_SP0_c0.t1	XP_024011371.1, XP_024013346.1
OG0000062	ESY14_g20663_DN3_SP0_c36.t1	XP_024010366.1, XP_024011367.1, XP_024010144.1, XP_024010551.1, XP_024009344.1, XP_024010927.1, XP_024007910.1
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	XP_024009242.1
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	XP_006408758.1, XP_006408757.1, XP_024015891.1, XP_006408777.1, XP_006408781.1, XP_006408759.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408779.2, XP_024016075.1, XP_006408769.1, XP_006408766.1, XP_006408780.1, XP_006408763.1, XP_006408768.1, XP_006408778.1, XP_006408765.1, XP_006408761.1, XP_006408760.1
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	XP_024014561.1
OG0000065	ESY1_g11993_DN3_SP0_c13.t1	XP_024014419.1
OG0000066	ESY23_g163_DN2_SP0_c0.t1, ESY7_g18022_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1	XP_006396911.1, XP_024012002.1, XP_006394194.1, XP_006394044.1
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	XP_024005718.1, XP_006399597.1, XP_006390289.1, XP_024005720.1
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	XP_024010589.1, XP_024016354.1, XP_024016226.1, XP_024013907.1, XP_024014292.1, XP_024011136.1
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	XP_024014925.1
OG0000068	ESY2_g35387_DN3_SP0_c0.t1	XP_006413393.1
OG0000069	ESY6_g49138_DN1_SP0_c0.t1, ESY4_g26861_DN3_SP0_c0.t1	XP_024016442.1, XP_006390571.2
OG0000070	ESY3_g32095_DN2_SP0_c41.t1	XP_006395735.1
OG0000070	ESY16_g62316_DN3_SP0_c41.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY1_g11985_DN1_SP0_c74.t1	XP_006402629.2
OG0000072	ESY7_g16117_DN2_SP0_c0.t1	XP_024009686.1
OG0000072	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1	XP_024004060.1, XP_024006592.1
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	XP_024009899.1, XP_024016377.1, XP_024014710.1, XP_024004977.1, XP_024016537.1
OG0000073	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1	XP_024009376.1, XP_024006136.1, XP_024014455.1, XP_024015941.1, XP_024009769.1, XP_024016097.1, XP_024007936.1
OG0000075	ESY12_g52268_DN2_SP0_c19.t1	XP_006396818.1, XP_006396813.1
OG0000075	ESY11_g53682_DN3_SP0_c0.t1, ESY2_g33377_DN3_SP0_c32.t1	XP_006418924.1
OG0000075	ESY4_g26060_DN2_SP0_c0.t1, ESY4_g26061_DN3_SP0_c0.t1	XP_006416449.2, XP_024011069.1
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	XP_006411683.1
OG0000076	ESY2_g34046_DN1_SP0_c0.t1, ESY4_g26532_DN1_SP0_c0.t1, ESY8_g59034_DN1_SP0_c0.t1, ESY4_g26353_DN2_SP0_c8.t1	XP_024004083.1
OG0000076	ESY2_g33369_DN2_SP0_c0.t1	XP_024010383.1
OG0000076	ESY5_g5006_DN2_SP0_c0.t1, ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1	XP_006397224.1, XP_006397217.1, XP_024010292.1, XP_006397043.1
OG0000077	ESY7_g18827_DN2_SP0_c0.t1	XP_006395720.2
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	XP_006405230.2, XP_024010130.1
OG0000081	ESY3_g29563_DN2_SP0_c0.t1, ESY4_g22453_DN2_SP0_c7.t1	XP_024014389.1, XP_024004223.1
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	XP_024014942.1, XP_024013908.1
OG0000082	ESY4_g23899_DN1_SP0_c0.t1	XP_024009693.1
OG0000082	ESY1_g8490_DN3_SP0_c0.t1, ESY5_g2616_DN3_SP0_c0.t1	XP_024013185.1
OG0000083	ESY1_g9555_DN3_SP0_c0.t1, ESY1_g9528_DN2_SP0_c100.t1, ESY4_g22995_DN2_SP0_c100.t1	XP_024004889.1
OG0000086	ESY8_g59458_DN3_SP0_c0.t1	XP_024014611.1, XP_006405827.1, XP_006405828.1, XP_006405825.1, XP_006405877.2
OG0000086	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	XP_024014475.1, XP_006405815.1
OG0000086	ESY2_g35232_DN2_SP0_c0.t1	XP_006390991.1
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	XP_006394642.1
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	XP_006410012.1
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	XP_006399740.1
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	XP_006403108.1
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	XP_006413842.1
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	XP_006390273.1
OG0000090	ESY4_g22476_DN1_SP0_c0.t1, ESY1_g10304_DN2_SP0_c0.t1, ESY9_g44839_DN1_SP0_c0.t1, ESY15_g64509_DN2_SP0_c0.t1, ESY4_g22477_DN2_SP0_c0.t1, ESY4_g26657_DN1_SP0_c0.t1	XP_024004922.1, XP_024014456.1
OG0000090	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	XP_024004593.1
OG0000095	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	XP_006405019.2
OG0000096	ESY6_g49250_DN3_SP0_c0.t1	XP_006408882.1, XP_024014982.1
OG0000098	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1	XP_024009712.1, XP_006403292.2
OG0000098	ESY11_g53834_DN2_SP0_c0.t1	XP_006395726.1
OG0000098	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1	XP_006404383.1, XP_006394690.1, XP_006414046.1
OG0000100	ESY1_g11939_DN1_SP0_c0.t1	XP_024014529.1, XP_006404831.1, XP_024014029.1, XP_024004369.1
OG0000101	ESY13_g57677_DN1_SP0_c0.t1	XP_024007307.1, XP_024013940.1, XP_024010678.1, XP_024008063.1, XP_024004951.1
OG0000102	ESY7_g16536_DN3_SP0_c0.t1	XP_006396592.1
OG0000102	ESY7_g16537_DN2_SP0_c0.t1	XP_006396591.1
OG0000105	ESY3_g32130_DN3_SP0_c69.t1, ESY3_g32066_DN2_SP0_c100.t1, ESY6_g49439_DN2_SP0_c0.t1, ESY9_g43950_DN2_SP0_c87.t1	XP_024011529.1
OG0000105	ESY14_g20044_DN3_SP0_c0.t1	XP_006414517.2
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	XP_024015177.1, XP_006406420.1
OG0000109	ESY9_g44457_DN2_SP0_c0.t1	XP_024016626.1, XP_006414991.2
OG0000109	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	XP_024009711.1, XP_024010384.1, XP_024009792.1, XP_024009380.1, XP_024010244.1, XP_024014026.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009348.1, XP_024013914.1, XP_024009952.1, XP_024006596.1
OG0000110	ESY3_g27675_DN3_SP0_c0.t1	XP_024006349.1, XP_024013973.1
OG0000110	ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1	XP_024004909.1, XP_024011414.1, XP_024009421.1
OG0000114	ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1	XP_024014535.1
OG0000114	ESY1_g8939_DN3_SP0_c0.t1, ESY10_g13678_DN3_SP0_c0.t1, ESY7_g17909_DN3_SP0_c0.t1, ESY9_g42538_DN3_SP0_c15.t1, ESY1_g8018_DN1_SP0_c0.t1	XP_024009390.1, XP_024014516.1, XP_024009469.1, XP_024011379.1, XP_024006494.1, XP_024006892.1, XP_024013367.1
