Orthogroup	Euclidium_syriacum	Arabis_alpina
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	Aa_G1030250.h1.t1, Aa_G540.h1.t1, Aa_G280.h1.t1, Aa_G590.h1.t1
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	Aa_G135640.h1.t1
OG0000023	ESY11_g53222_DN2_SP0_c100.t1	Aa_G50170.h1.t1
OG0000023	ESY8_g61320_DN3_SP0_c0.t1	Aa_G297380.h1.t1
OG0000024	ESY4_g26389_DN2_SP0_c0.t1, ESY7_g18150_DN2_SP0_c0.t1, ESY1_g10652_DN1_SP0_c0.t1, ESY11_g54749_DN3_SP0_c0.t1, ESY8_g58303_DN2_SP0_c0.t1	Aa_G565560.h1.t1, Aa_G381220.h1.t1
OG0000024	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1	Aa_G737030.h1.t1, Aa_G731070.h1.t1
OG0000026	ESY8_g58625_DN1_SP0_c0.t1	Aa_G283920.h1.t1, Aa_G56940.h1.t1, Aa_G262080.h1.t1
OG0000027	ESY23_g74_DN3_SP0_c34.t1	Aa_G522580.h1.t1
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	Aa_G191740.h1.t1, Aa_G200830.h1.t1
OG0000028	ESY3_g32495_DN3_SP0_c95.t1, ESY3_g32269_DN2_SP0_c54.t1	Aa_G687010.h2.t1, Aa_G687010.h3.t1, Aa_G687010.h1.t1, Aa_G687040.h1.t1, Aa_G604290.h1.t1, Aa_G604300.h1.t1
OG0000028	ESY20_g13267_DN3_SP0_c0.t1, ESY4_g24911_DN2_SP0_c50.t1, ESY7_g18156_DN1_SP0_c46.t1, ESY4_g25969_DN1_SP0_c10.t1	Aa_G123410.h1.t1, Aa_G71570.h1.t1, Aa_G123400.h1.t1
OG0000029	ESY6_g48344_DN1_SP0_c0.t1	Aa_G248570.h1.t1
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	Aa_G152820.h1.t1
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	Aa_G7660.h1.t1, Aa_G44290.h1.t1
OG0000035	ESY10_g13892_DN3_SP0_c0.t1	Aa_G275180.h1.t1, Aa_G417510.h1.t1, Aa_G75180.h1.t1, Aa_G54410.h1.t1
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	Aa_G135690.h1.t1
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	Aa_G834810.h1.t1
OG0000042	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1	Aa_G67230.h1.t1
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	Aa_G392560.h1.t1, Aa_G500830.h1.t1
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	Aa_G30.h1.t1, Aa_G20.h1.t1
OG0000044	ESY1_g11405_DN3_SP0_c0.t1, ESY6_g50480_DN2_SP0_c0.t1	Aa_G685510.h1.t1
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	Aa_G639660.h1.t1
OG0000044	ESY4_g26811_DN2_SP0_c0.t1	Aa_G208050.h1.t1
OG0000044	ESY9_g42710_DN3_SP0_c0.t1, ESY16_g62029_DN1_SP0_c0.t1	Aa_G791980.h1.t1
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	Aa_G882110.h35.t1, Aa_G882110.h11.t1, Aa_G882110.h19.t1, Aa_G882110.h5.t1, Aa_G882110.h24.t1, Aa_G882110.h29.t1, Aa_G882110.h7.t1, Aa_G882110.h33.t1, Aa_G882110.h21.t1, Aa_G882110.h12.t1, Aa_G882110.h30.t1, Aa_G882110.h27.t1, Aa_G882110.h34.t1, Aa_G882110.h25.t1, Aa_G882110.h1.t1, Aa_G882110.h14.t1, Aa_G882110.h9.t1, Aa_G882110.h8.t1, Aa_G882110.h23.t1, Aa_G882110.h13.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h32.t1, Aa_G882110.h16.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h15.t1, Aa_G882110.h2.t1, Aa_G882110.h10.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h31.t1, Aa_G882110.h4.t1, Aa_G882110.h20.t1, Aa_G882110.h28.t1, Aa_G675110.h1.t1
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1	Aa_G20510.h1.t1
OG0000048	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1	Aa_G154560.h1.t1
OG0000048	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1
OG0000048	ESY8_g58364_DN2_SP0_c0.t1, ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1	Aa_G312310.h1.t1
OG0000048	ESY1_g10653_DN1_SP0_c0.t1	Aa_G570500.h1.t1
OG0000048	ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1	Aa_G43710.h1.t1
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	Aa_G217710.h1.t1, Aa_G818500.h2.t1, Aa_G818500.h1.t1, Aa_G18920.h1.t1
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	Aa_G399340.h1.t1
OG0000051	ESY12_g51256_DN3_SP0_c0.t1	Aa_G592860.h1.t1
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	Aa_G599340.h1.t1
OG0000051	ESY12_g51338_DN3_SP0_c0.t1	Aa_G271540.h1.t1
OG0000052	ESY2_g35343_DN2_SP0_c0.t1, ESY16_g61527_DN1_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1	Aa_G696490.h1.t1
OG0000052	ESY1_g10445_DN3_SP0_c0.t1	Aa_G521750.h1.t1
OG0000052	ESY1_g10448_DN1_SP0_c0.t1	Aa_G521780.h1.t1, Aa_G61380.h1.t1
OG0000055	ESY8_g59290_DN2_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1	Aa_G659190.h1.t1
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	Aa_G5070.h1.t1
OG0000056	ESY2_g33771_DN2_SP0_c0.t1	Aa_G534290.h1.t1
OG0000056	ESY2_g33665_DN2_SP0_c0.t1	Aa_G615080.h1.t1
OG0000056	ESY2_g33766_DN3_SP0_c0.t1	Aa_G615090.h1.t1
OG0000056	ESY2_g33759_DN3_SP0_c0.t1	Aa_G47070.h1.t1, Aa_G534300.h1.t1, Aa_G488300.h1.t1
OG0000056	ESY2_g33762_DN3_SP0_c0.t1, ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1, ESY2_g33775_DN1_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1, ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G643830.h1.t1, Aa_G594100.h1.t1
OG0000056	ESY2_g33671_DN2_SP0_c0.t1	Aa_G162440.h1.t1
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	Aa_G444220.h1.t1
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	Aa_G527390.h1.t1
OG0000060	ESY1_g11061_DN3_SP0_c0.t1	Aa_G367650.h3.t1
OG0000060	ESY7_g19007_DN3_SP0_c0.t1, ESY6_g48855_DN3_SP0_c0.t1	Aa_G448310.h5.t1
OG0000060	ESY8_g58877_DN3_SP0_c0.t1	Aa_G448310.h7.t1
OG0000060	ESY3_g31636_DN3_SP0_c0.t1	Aa_G197130.h4.t1
OG0000060	ESY6_g48811_DN3_SP0_c0.t1	Aa_G375890.h6.t1
OG0000060	ESY5_g4491_DN3_SP0_c0.t1	Aa_G318860.h3.t1
OG0000060	ESY6_g48808_DN3_SP0_c0.t1	Aa_G257700.h6.t1
OG0000060	ESY6_g48809_DN3_SP0_c0.t1	Aa_G550780.h7.t1
OG0000060	ESY1_g11058_DN3_SP0_c0.t1	Aa_G448310.h3.t1
OG0000060	ESY8_g58878_DN3_SP0_c0.t1	Aa_G367650.h5.t1
OG0000060	ESY5_g4464_DN2_SP0_c0.t1	Aa_G257700.h3.t1
OG0000062	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1	Aa_G8040.h1.t1
OG0000062	ESY9_g44156_DN3_SP0_c0.t1, ESY14_g20663_DN3_SP0_c36.t1, ESY1_g8354_DN1_SP0_c0.t1, ESY1_g9427_DN1_SP0_c0.t1, ESY3_g28537_DN2_SP0_c0.t1, ESY6_g47209_DN3_SP0_c0.t1	Aa_G417500.h1.t1
OG0000063	ESY17_g40075_DN1_SP0_c10.t1	Aa_G397260.h1.t1, Aa_G367140.h1.t1, Aa_G263500.h1.t1, Aa_G40790.h1.t1, Aa_G677680.h1.t1, Aa_G821820.h1.t1, Aa_G186650.h1.t1, Aa_G998790.h1.t1
OG0000065	ESY4_g25771_DN2_SP0_c0.t1	Aa_G574220.h1.t1
OG0000066	ESY23_g163_DN2_SP0_c0.t1, ESY7_g18022_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1
OG0000066	ESY2_g34934_DN2_SP0_c58.t1	Aa_G266510.h1.t1, Aa_G586620.h1.t1, Aa_G155110.h1.t1
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000068	ESY2_g35389_DN2_SP0_c0.t1	Aa_G389060.h1.t1, Aa_G484910.h1.t1
OG0000069	ESY1_g11580_DN3_SP0_c0.t1	Aa_G707760.h1.t1, Aa_G190520.h1.t1
OG0000069	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1	Aa_G396900.h1.t1
OG0000069	ESY6_g49138_DN1_SP0_c0.t1, ESY4_g26861_DN3_SP0_c0.t1	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1
OG0000070	ESY10_g14297_DN3_SP0_c35.t1	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	ESY2_g37816_DN3_SP0_c0.t1, ESY2_g37886_DN2_SP0_c0.t1	Aa_G273730.h1.t1
OG0000070	ESY1_g11985_DN1_SP0_c74.t1	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000072	ESY7_g16117_DN2_SP0_c0.t1	Aa_G652160.h1.t1, Aa_G44560.h1.t1, Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000072	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1	Aa_G505780.h1.t1
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	Aa_G159490.h1.t1, Aa_G742680.h1.t1, Aa_G880340.h1.t1, Aa_G204510.h1.t1, Aa_G233100.h1.t1, Aa_G9790.h1.t1
OG0000072	ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1	Aa_G101840.h1.t1
OG0000073	ESY1_g10476_DN2_SP0_c0.t1, ESY6_g48384_DN1_SP0_c0.t1	Aa_G108990.h1.t1
OG0000075	ESY12_g52268_DN2_SP0_c19.t1	Aa_G254660.h1.t1
OG0000075	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1	Aa_G545910.h1.t1
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	Aa_G137810.h1.t1
OG0000077	ESY7_g16698_DN1_SP0_c0.t1	Aa_G636230.h1.t1
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	Aa_G160120.h1.t1
OG0000084	ESY14_g20372_DN1_SP0_c0.t1	Aa_G572590.h1.t1
OG0000084	ESY6_g47811_DN1_SP0_c0.t1	Aa_G204550.h1.t1
OG0000084	ESY23_g105_DN2_SP0_c89.t1, ESY14_g20371_DN1_SP0_c0.t1	Aa_G128900.h1.t1
OG0000086	ESY10_g14582_DN1_SP0_c0.t1	Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G483980.h1.t1, Aa_G221000.h1.t1
OG0000086	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1, ESY2_g35232_DN2_SP0_c0.t1	Aa_G703520.h1.t1
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	Aa_G630880.h1.t1
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	Aa_G199760.h1.t1
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	Aa_G256660.h1.t1
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	Aa_G103150.h1.t1
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	Aa_G580380.h1.t1
OG0000089	ESY5_g3995_DN3_SP3_c0.t1, ESY2_g34829_DN3_SP8_c0.t1	Aa_G656110.h1.t1
OG0000095	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	Aa_G54460.h1.t1
OG0000095	ESY3_g31038_DN1_SP0_c0.t1	Aa_G271110.h1.t1
OG0000096	ESY6_g49250_DN3_SP0_c0.t1, ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1, ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1	Aa_G32180.h1.t1
OG0000098	ESY7_g18472_DN3_SP0_c0.t1	Aa_G539290.h1.t1
OG0000098	ESY6_g47227_DN3_SP0_c0.t1, ESY11_g53833_DN2_SP0_c0.t1	Aa_G70590.h1.t1, Aa_G539300.h1.t1
OG0000100	ESY1_g11939_DN1_SP0_c0.t1	Aa_G65950.h1.t1, Aa_G65750.h1.t1, Aa_G65880.h1.t1, Aa_G65780.h1.t1, Aa_G65770.h1.t1, Aa_G65760.h1.t1
OG0000101	ESY13_g57677_DN1_SP0_c0.t1	Aa_G154360.h1.t1, Aa_G160180.h1.t1
OG0000102	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1	Aa_G577800.h1.t1
OG0000102	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1	Aa_G233060.h1.t1
OG0000102	ESY6_g49637_DN2_SP0_c0.t1	Aa_G261510.h1.t1
OG0000102	ESY7_g16536_DN3_SP0_c0.t1	Aa_G132920.h1.t1
OG0000105	ESY3_g32066_DN2_SP0_c100.t1	Aa_G84880.h1.t1
OG0000105	ESY16_g61595_DN1_SP0_c0.t1	Aa_G792870.h1.t1
OG0000105	ESY14_g20044_DN3_SP0_c0.t1	Aa_G416120.h1.t1, Aa_G224170.h1.t1, Aa_G217250.h1.t1
OG0000106	ESY4_g24957_DN2_SP0_c25.t1	Aa_G308060.h1.t1, Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1
OG0000106	ESY3_g29783_DN3_SP0_c6.t1	Aa_G692990.h1.t1, Aa_G616190.h1.t1, Aa_G268590.h1.t1
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	Aa_G115060.h1.t1, Aa_G37190.h1.t1, Aa_G323970.h1.t1, Aa_G323960.h1.t1, Aa_G641990.h1.t1, Aa_G247880.h1.t1, Aa_G323940.h1.t1, Aa_G341070.h1.t1
OG0000110	ESY13_g56180_DN3_SP0_c0.t1, ESY8_g59584_DN2_SP0_c0.t1, ESY24_g33069_DN3_SP0_c0.t1, ESY3_g27675_DN3_SP0_c0.t1	Aa_G578120.h1.t1
OG0000110	ESY22_g40730_DN3_SP0_c0.t1, ESY13_g56185_DN2_SP0_c0.t1, ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1	Aa_G32020.h1.t1
OG0000114	ESY1_g8939_DN3_SP0_c0.t1, ESY10_g13678_DN3_SP0_c0.t1, ESY7_g17909_DN3_SP0_c0.t1, ESY9_g42538_DN3_SP0_c15.t1, ESY1_g8018_DN1_SP0_c0.t1	Aa_G327480.h1.t1, Aa_G743610.h1.t1, Aa_G305670.h1.t1, Aa_G152040.h1.t1, Aa_G300900.h1.t1, Aa_G718680.h1.t1
OG0000116	ESY13_g57117_DN3_SP0_c0.t1	Aa_G31310.h1.t1
OG0000116	ESY12_g51236_DN3_SP0_c0.t1, ESY1_g8384_DN3_SP0_c0.t1, ESY1_g7078_DN3_SP0_c0.t1	Aa_G358570.h1.t1
OG0000116	ESY6_g46511_DN2_SP0_c13.t1, ESY8_g59869_DN2_SP0_c0.t1	Aa_G342720.h1.t1
OG0000117	ESY11_g54277_DN1_SP0_c0.t1	Aa_G349950.h1.t1
OG0000117	ESY5_g2024_DN3_SP0_c0.t1	Aa_G62330.h1.t1
OG0000117	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1	Aa_G349960.h1.t1
OG0000120	ESY1_g9428_DN3_SP0_c0.t1	Aa_G248300.h1.t1
OG0000122	ESY3_g30972_DN2_SP0_c0.t1	Aa_G625760.h1.t1
OG0000122	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1	Aa_G592730.h1.t1
OG0000122	ESY6_g48231_DN2_SP0_c0.t1	Aa_G592750.h1.t1
OG0000122	ESY6_g48203_DN3_SP0_c0.t1, ESY2_g33718_DN3_SP0_c0.t1	Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G625770.h1.t1
OG0000122	ESY4_g25959_DN3_SP0_c0.t1	Aa_G379590.h1.t1, Aa_G379580.h1.t1
OG0000122	ESY2_g36290_DN3_SP0_c0.t1	Aa_G5880.h1.t1
OG0000123	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	Aa_G655250.h1.t1, Aa_G655250.h2.t1
OG0000125	ESY2_g37202_DN3_SP0_c14.t1	Aa_G166390.h1.t1
OG0000127	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	Aa_G552180.h1.t1
OG0000127	ESY3_g30941_DN1_SP0_c0.t1	Aa_G311330.h1.t1
OG0000127	ESY1_g11079_DN3_SP0_c0.t1	Aa_G506920.h1.t1, Aa_G403520.h1.t1
OG0000127	ESY6_g48851_DN3_SP0_c0.t1	Aa_G33880.h1.t1
OG0000127	ESY8_g58880_DN2_SP0_c0.t1	Aa_G69270.h1.t1
OG0000128	ESY4_g26081_DN1_SP0_c0.t1, ESY1_g11254_DN1_SP0_c0.t1	Aa_G112570.h1.t1
OG0000128	ESY1_g11245_DN1_SP0_c0.t1	Aa_G271300.h1.t1, Aa_G469550.h2.t1, Aa_G469550.h1.t1, Aa_G271280.h1.t1, Aa_G545130.h1.t1, Aa_G430890.h1.t1, Aa_G175790.h1.t1, Aa_G613860.h1.t1, Aa_G854230.h1.t1, Aa_G430910.h1.t1, Aa_G319030.h1.t1, Aa_G784880.h1.t1, Aa_G271260.h1.t1, Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000129	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1	Aa_G323510.h1.t1
OG0000129	ESY6_g49428_DN3_SP0_c0.t1	Aa_G61470.h1.t1, Aa_G716440.h1.t1, Aa_G61530.h1.t1
OG0000130	ESY23_g219_DN2_SP0_c0.t1	Aa_G198530.h1.t1, Aa_G9780.h1.t1, Aa_G10940.h1.t1
OG0000132	ESY20_g12773_DN2_SP0_c0.t1	Aa_G116920.h1.t1
OG0000136	ESY7_g17164_DN1_SP0_c0.t1	Aa_G15110.h1.t1
OG0000137	ESY1_g10587_DN2_SP0_c0.t1	Aa_G925390.h1.t1
OG0000138	ESY7_g19063_DN3_SP0_c0.t1	Aa_G208920.h1.t1, Aa_G98560.h1.t1
OG0000138	ESY3_g32116_DN2_SP0_c0.t1	Aa_G167750.h1.t1
