Orthogroup	Euclidium_syriacum	Rorippa_islandica
OG0000004	ESY3_g27908_DN2_SP0_c72.t1, ESY3_g29030_DN1_SP0_c59.t1, ESY2_g38064_DN2_SP0_c54.t1	Roisl.0022s0436.1.p
OG0000005	ESY8_g60803_DN3_SP0_c6.t1	Roisl.0046s0518.1.p
OG0000007	ESY9_g43616_DN3_SP0_c12.t1	Roisl.0064s0008.1.p
OG0000009	ESY2_g36312_DN1_SP0_c0.t1	Roisl.0075s0043.1.p
OG0000009	ESY17_g40133_DN1_SP0_c0.t1	Roisl.0008s0348.1.p
OG0000011	ESY12_g51066_DN2_SP0_c0.t1, ESY1_g9462_DN1_SP0_c0.t1	Roisl.0008s0052.1.p
OG0000011	ESY4_g23292_DN2_SP0_c93.t1, ESY1_g6718_DN1_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1, ESY6_g49770_DN3_SP0_c0.t1	Roisl.0201s0003.1.p
OG0000015	ESY7_g16245_DN2_SP0_c0.t1	Roisl.0214s0222.1.p, Roisl.0209s0283.1.p
OG0000015	ESY17_g40192_DN2_SP0_c0.t1, ESY13_g57357_DN1_SP0_c0.t1	Roisl.0214s0740.1.p
OG0000015	ESY3_g28799_DN2_SP0_c0.t1, ESY3_g29490_DN1_SP0_c0.t1	Roisl.0082s0057.1.p
OG0000015	ESY4_g23101_DN1_SP0_c72.t1	Roisl.0006s0132.1.p
OG0000015	ESY10_g15713_DN2_SP0_c0.t1, ESY10_g14906_DN2_SP0_c0.t1, ESY4_g24528_DN1_SP0_c0.t1, ESY13_g56278_DN1_SP0_c1.t1	Roisl.0053s0047.1.p
OG0000015	ESY11_g53315_DN2_SP0_c0.t1	Roisl.0032s0105.1.p
OG0000016	ESY40_g12601_DN2_SP0_c0.t1	Roisl.0053s0071.1.p
OG0000016	ESY1_g8220_DN1_SP0_c0.t1	Roisl.0020s0190.1.p
OG0000016	ESY1_g9010_DN1_SP0_c0.t1	Roisl.0015s0130.1.p, Roisl.0213s0002.1.p
OG0000020	ESY18_g63699_DN3_SP0_c0.t1, ESY9_g44479_DN2_SP0_c0.t1, ESY17_g39372_DN3_SP0_c44.t1, ESY11_g52417_DN3_SP0_c0.t1	Roisl.0179s0050.1.p, Roisl.0188s0045.1.p, Roisl.0004s0008.1.p, Roisl.0188s0102.1.p, Roisl.0011s0407.1.p, Roisl.0184s0238.1.p, Roisl.0214s0108.1.p, Roisl.0062s0029.1.p, Roisl.0025s0013.1.p, Roisl.0188s0101.1.p, Roisl.0022s0062.1.p, Roisl.0214s0107.1.p, Roisl.0010s0023.1.p, Roisl.0011s0406.1.p, Roisl.0010s0021.1.p, Roisl.0214s0786.1.p, Roisl.0204s0002.1.p, Roisl.0005s0155.1.p, Roisl.0214s0099.1.p, Roisl.0028s0692.1.p, Roisl.0213s0860.1.p, Roisl.0210s0466.1.p, Roisl.0007s0026.1.p, Roisl.0020s0173.1.p, Roisl.0028s0007.1.p, Roisl.0184s0237.1.p, Roisl.0046s1265.1.p, Roisl.0210s2047.1.p, Roisl.0208s0011.1.p, Roisl.0056s0045.1.p, Roisl.0213s0006.1.p, Roisl.0214s0304.1.p, Roisl.0053s0189.1.p, Roisl.0027s0142.1.p, Roisl.0025s0020.1.p, Roisl.0204s0053.1.p, Roisl.0066s0088.1.p, Roisl.0036s0054.1.p, Roisl.0040s0004.1.p, Roisl.0214s0552.1.p, Roisl.0194s0048.1.p, Roisl.0082s0242.1.p
OG0000020	ESY6_g46671_DN2_SP0_c83.t1	Roisl.0210s2188.1.p, Roisl.0083s0053.1.p
OG0000020	ESY23_g73_DN3_SP0_c0.t1	Roisl.0037s0008.1.p, Roisl.0211s0007.1.p
OG0000021	ESY2_g36897_DN3_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY4_g26006_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1	Roisl.0082s0017.1.p, Roisl.0179s0097.1.p, Roisl.0198s0008.1.p, Roisl.0023s0095.1.p, Roisl.0046s0797.1.p, Roisl.0014s0138.1.p, Roisl.0213s0355.1.p, Roisl.0006s0361.1.p, Roisl.0046s0769.1.p, Roisl.0066s0388.1.p, Roisl.0032s0086.1.p, Roisl.0005s0191.1.p, Roisl.0214s0300.1.p, Roisl.0072s0013.1.p, Roisl.0185s0094.1.p, Roisl.0188s0063.1.p, Roisl.0011s0031.1.p, Roisl.0191s0373.1.p
OG0000021	ESY9_g43840_DN2_SP0_c0.t1, ESY9_g43986_DN3_SP0_c0.t1	Roisl.0014s0139.1.p
OG0000021	ESY10_g14065_DN3_SP0_c0.t1, ESY14_g21238_DN3_SP0_c0.t1	Roisl.0066s0257.1.p
OG0000024	ESY7_g16494_DN2_SP0_c0.t1, ESY1_g12041_DN3_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1, ESY12_g51878_DN2_SP0_c0.t1	Roisl.0015s0178.1.p
OG0000026	ESY4_g24970_DN3_SP0_c0.t1, ESY11_g52546_DN2_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1, ESY2_g36322_DN3_SP0_c0.t1, ESY1_g8855_DN3_SP0_c0.t1, ESY14_g20612_DN2_SP0_c0.t1, ESY11_g52547_DN2_SP0_c0.t1, ESY13_g56165_DN1_SP0_c0.t1, ESY1_g9068_DN2_SP0_c0.t1, ESY13_g56166_DN2_SP0_c0.t1, ESY8_g58625_DN1_SP0_c0.t1	Roisl.0213s0871.1.p
OG0000027	ESY9_g42764_DN3_SP0_c0.t1	Roisl.0213s0588.1.p
OG0000027	ESY23_g74_DN3_SP0_c34.t1	Roisl.0184s0129.1.p
OG0000027	ESY9_g42607_DN2_SP0_c68.t1	Roisl.0008s0070.1.p, Roisl.0008s0076.1.p, Roisl.0012s0193.1.p, Roisl.0008s0072.1.p
OG0000028	ESY3_g32269_DN2_SP0_c54.t1	Roisl.0080s0376.1.p, Roisl.0075s0120.1.p, Roisl.0001s0071.1.p, Roisl.0075s0080.1.p, Roisl.0075s0121.1.p
OG0000028	ESY20_g13267_DN3_SP0_c0.t1	Roisl.0091s1124.1.p
OG0000029	ESY1_g6329_DN2_SP0_c0.t1	Roisl.0046s0705.1.p
OG0000029	ESY10_g13703_DN2_SP0_c0.t1	Roisl.0082s0611.1.p
OG0000030	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1	Roisl.0019s0830.1.p, Roisl.0019s0831.1.p
OG0000030	ESY3_g29344_DN3_SP0_c0.t1	Roisl.0115s0300.1.p
OG0000030	ESY4_g24700_DN2_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1	Roisl.0213s0186.1.p
OG0000030	ESY9_g43210_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1	Roisl.0053s0027.1.p, Roisl.0060s0006.1.p
OG0000030	ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1	Roisl.0074s0600.1.p, Roisl.0043s0011.1.p
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	Roisl.0046s0887.1.p
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	Roisl.0042s0059.1.p
OG0000030	ESY2_g33562_DN1_SP0_c0.t1	Roisl.0074s0641.1.p
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	Roisl.0046s0886.1.p
OG0000031	ESY10_g15212_DN1_SP0_c0.t1	Roisl.0056s0034.1.p, Roisl.0106s0001.1.p
OG0000031	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1	Roisl.0184s0068.1.p, Roisl.0049s0004.1.p, Roisl.0062s0017.1.p, Roisl.0025s0030.1.p, Roisl.0009s0259.1.p, Roisl.0214s0052.1.p
OG0000031	ESY23_g31_DN2_SP0_c0.t1	Roisl.0020s0186.1.p
OG0000032	ESY1_g7080_DN3_SP0_c33.t1, ESY11_g52738_DN2_SP0_c0.t1, ESY15_g65701_DN1_SP0_c88.t1	Roisl.0021s0539.1.p
OG0000032	ESY3_g28065_DN2_SP0_c0.t1	Roisl.0184s0186.1.p
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	Roisl.0213s0218.1.p
OG0000035	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1	Roisl.0038s0018.1.p, Roisl.0082s0037.1.p, Roisl.0213s0025.1.p
OG0000038	ESY6_g47063_DN3_SP0_c100.t1	Roisl.0046s1475.1.p
OG0000038	ESY8_g60522_DN1_SP0_c100.t1	Roisl.0209s0432.1.p
OG0000038	ESY3_g29295_DN1_SP0_c68.t1, ESY21_g55792_DN2_SP0_c0.t1	Roisl.0046s1474.1.p, Roisl.0055s0039.1.p
OG0000040	ESY5_g2557_DN3_SP0_c0.t1	Roisl.0066s0406.1.p, Roisl.0184s0161.1.p, Roisl.0012s0376.1.p, Roisl.0214s0030.1.p
OG0000040	ESY7_g16531_DN2_SP0_c0.t1	Roisl.0012s0087.1.p, Roisl.0046s0436.1.p
OG0000041	ESY1_g6062_DN3_SP0_c100.t1	Roisl.0046s0022.1.p
OG0000042	ESY17_g39786_DN2_SP0_c77.t1	Roisl.0009s0193.1.p
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	Roisl.0025s0036.1.p, Roisl.0022s0501.1.p
OG0000042	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1	Roisl.0025s0035.1.p, Roisl.0048s0004.1.p, Roisl.0028s0881.1.p
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	Roisl.0213s0162.1.p, Roisl.0179s0086.1.p, Roisl.0209s0166.1.p, Roisl.0210s1685.1.p, Roisl.0214s0265.1.p, Roisl.0082s0570.1.p, Roisl.0066s0301.1.p, Roisl.0080s0178.1.p, Roisl.0023s0085.1.p, Roisl.0013s0195.1.p
OG0000044	ESY1_g11405_DN3_SP0_c0.t1	Roisl.0005s0167.1.p
OG0000046	ESY5_g2589_DN3_SP0_c0.t1	Roisl.0210s2226.1.p
OG0000046	ESY14_g21426_DN1_SP0_c0.t1	Roisl.0200s0033.1.p, Roisl.0006s0046.1.p, Roisl.0082s0471.1.p, Roisl.0213s0356.1.p, Roisl.0209s0778.1.p, Roisl.0210s2175.1.p, Roisl.0029s0020.1.p, Roisl.0082s0470.1.p, Roisl.0189s0032.1.p, Roisl.0028s0924.1.p, Roisl.0184s0183.1.p, Roisl.0202s0007.1.p, Roisl.0200s0032.1.p, Roisl.0184s0227.1.p, Roisl.0029s0021.1.p, Roisl.0210s2176.1.p, Roisl.0213s0357.1.p, Roisl.0209s0777.1.p, Roisl.0189s0033.1.p
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	Roisl.0029s0014.1.p, Roisl.0005s0079.1.p, Roisl.0056s0010.1.p, Roisl.0208s0028.1.p, Roisl.0008s0152.1.p, Roisl.0045s0045.1.p, Roisl.0062s0016.1.p, Roisl.0198s0056.1.p, Roisl.0209s0245.1.p, Roisl.0005s0329.1.p, Roisl.0015s0173.1.p
OG0000048	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1	Roisl.0214s0362.1.p
OG0000048	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1	Roisl.0017s0448.1.p, Roisl.0017s0447.1.p
OG0000048	ESY8_g58361_DN2_SP0_c0.t1	Roisl.0017s0418.1.p, Roisl.0082s0583.1.p
OG0000048	ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1	Roisl.0028s0624.1.p, Roisl.0211s0012.1.p
OG0000048	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	Roisl.0006s0337.1.p
OG0000048	ESY8_g58364_DN2_SP0_c0.t1	Roisl.0074s0908.1.p
OG0000050	ESY7_g16182_DN3_SP0_c92.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1, ESY3_g27061_DN1_SP0_c0.t1, ESY4_g23730_DN1_SP0_c0.t1, ESY11_g54389_DN1_SP0_c0.t1, ESY22_g40701_DN2_SP0_c0.t1	Roisl.0008s0345.1.p, Roisl.0025s0047.1.p
OG0000050	ESY3_g27878_DN2_SP0_c0.t1	Roisl.0214s0827.1.p
OG0000051	ESY12_g51256_DN3_SP0_c0.t1	Roisl.0210s2097.1.p
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	Roisl.0028s0722.1.p
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	Roisl.0189s0079.1.p
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	Roisl.0053s0213.1.p, Roisl.0001s0543.1.p, Roisl.0210s1750.1.p, Roisl.0210s1827.1.p
OG0000055	ESY16_g61649_DN2_SP0_c0.t1	Roisl.0053s0284.1.p
OG0000055	ESY3_g29892_DN1_SP0_c0.t1	Roisl.0053s0119.1.p
OG0000056	ESY2_g33771_DN2_SP0_c0.t1	Roisl.0209s0766.1.p
OG0000056	ESY2_g33665_DN2_SP0_c0.t1	Roisl.0209s0767.1.p
OG0000056	ESY2_g33759_DN3_SP0_c0.t1	Roisl.0209s0597.1.p
OG0000056	ESY2_g33767_DN3_SP0_c0.t1, ESY2_g33769_DN3_SP0_c0.t1, ESY2_g33764_DN2_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1	Roisl.0209s0603.1.p, Roisl.0209s0629.1.p
OG0000056	ESY2_g33775_DN1_SP0_c0.t1	Roisl.0209s0615.1.p, Roisl.0209s0596.1.p, Roisl.0209s0605.1.p
OG0000056	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1	Roisl.0209s0402.1.p
OG0000060	ESY8_g58877_DN3_SP0_c0.t1	Roisl.0209s0337.1.p
OG0000060	ESY5_g4491_DN3_SP0_c0.t1	Roisl.0080s0305.1.p
OG0000061	ESY10_g14355_DN2_SP0_c0.t1	Roisl.0033s0063.1.p, Roisl.0033s0004.1.p
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	Roisl.0214s0881.1.p, Roisl.0214s0876.1.p, Roisl.0214s0874.1.p, Roisl.0214s0875.1.p, Roisl.0214s0873.1.p, Roisl.0214s0877.1.p, Roisl.0214s0880.1.p, Roisl.0214s0867.1.p, Roisl.0214s0869.1.p, Roisl.0214s0872.1.p, Roisl.0214s0870.1.p, Roisl.0214s0868.1.p, Roisl.0214s0871.1.p, Roisl.0214s0879.1.p, Roisl.0214s0878.1.p, Roisl.0214s0820.1.p, Roisl.0214s0819.1.p, Roisl.0214s0817.1.p, Roisl.0214s0816.1.p, Roisl.0214s0823.1.p, Roisl.0214s0812.1.p, Roisl.0214s0814.1.p, Roisl.0214s0818.1.p, Roisl.0214s0822.1.p, Roisl.0214s0824.1.p, Roisl.0214s0825.1.p, Roisl.0214s0821.1.p, Roisl.0214s0815.1.p, Roisl.0214s0826.1.p
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	Roisl.0046s0029.1.p, Roisl.0046s0026.1.p
OG0000065	ESY4_g25771_DN2_SP0_c0.t1	Roisl.0046s0032.1.p
OG0000066	ESY23_g163_DN2_SP0_c0.t1	Roisl.0210s0757.1.p
OG0000066	ESY11_g54349_DN3_SP0_c0.t1	Roisl.0024s0428.1.p
OG0000066	ESY2_g34934_DN2_SP0_c58.t1	Roisl.0214s0604.1.p, Roisl.0214s0606.1.p
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	Roisl.0210s0812.1.p, Roisl.0001s0457.1.p
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	Roisl.0007s0395.1.p
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	Roisl.0214s0162.1.p, Roisl.0046s0696.1.p
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	Roisl.0034s0163.1.p
OG0000068	ESY6_g50195_DN3_SP0_c0.t1	Roisl.0191s0458.1.p, Roisl.0011s0290.1.p, Roisl.0011s0090.1.p, Roisl.0011s0092.1.p, Roisl.0011s0041.1.p, Roisl.0030s0031.1.p, Roisl.0030s0062.1.p, Roisl.0030s0114.1.p, Roisl.0046s0004.1.p, Roisl.0030s0024.1.p, Roisl.0030s0025.1.p
OG0000069	ESY8_g58271_DN2_SP0_c9.t1	Roisl.0210s0292.1.p, Roisl.0188s0098.1.p
OG0000069	ESY1_g11580_DN3_SP0_c0.t1	Roisl.0013s0226.1.p
OG0000069	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1	Roisl.0046s1591.1.p, Roisl.0046s1592.1.p
OG0000069	ESY20_g13229_DN3_SP0_c0.t1	Roisl.0019s0342.1.p
OG0000069	ESY10_g15831_DN1_SP0_c0.t1	Roisl.0074s0568.1.p
OG0000069	ESY6_g49138_DN1_SP0_c0.t1, ESY4_g26861_DN3_SP0_c0.t1	Roisl.0055s0038.1.p
OG0000070	ESY10_g14297_DN3_SP0_c35.t1	Roisl.0021s0078.1.p
OG0000070	ESY3_g32095_DN2_SP0_c41.t1	Roisl.0011s0203.1.p, Roisl.0011s0205.1.p
OG0000073	ESY8_g60414_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1	Roisl.0210s1691.1.p, Roisl.0046s0358.1.p
OG0000073	ESY1_g10476_DN2_SP0_c0.t1	Roisl.0053s0105.1.p
OG0000075	ESY5_g3131_DN2_SP0_c0.t1	Roisl.0001s0515.1.p
OG0000075	ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY8_g60740_DN3_SP0_c0.t1	Roisl.0002s0267.1.p, Roisl.0002s0266.1.p
OG0000075	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1	Roisl.0006s0180.1.p
OG0000075	ESY1_g11598_DN2_SP0_c38.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY4_g26050_DN2_SP0_c0.t1	Roisl.0046s0019.1.p, Roisl.0001s0335.1.p
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	Roisl.0115s0707.1.p
OG0000076	ESY4_g25261_DN2_SP0_c0.t1	Roisl.0005s0283.1.p, Roisl.0005s0282.1.p, Roisl.0005s0285.1.p
OG0000077	ESY16_g61756_DN3_SP0_c0.t1	Roisl.0024s0105.1.p
OG0000077	ESY7_g18827_DN2_SP0_c0.t1	Roisl.0011s0230.1.p
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	Roisl.0006s0141.1.p, Roisl.0115s0280.1.p, Roisl.0075s0090.1.p, Roisl.0001s0523.1.p, Roisl.0115s0647.1.p, Roisl.0006s0142.1.p, Roisl.0214s0213.1.p, Roisl.0211s0009.1.p, Roisl.0091s0481.1.p, Roisl.0058s0024.1.p
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	Roisl.0206s0028.1.p, Roisl.0036s0071.1.p, Roisl.0209s0160.1.p, Roisl.0038s0020.1.p, Roisl.0020s0165.1.p
OG0000081	ESY17_g40277_DN2_SP0_c0.t1	Roisl.0184s0010.1.p, Roisl.0010s0050.1.p, Roisl.0003s0246.1.p, Roisl.0031s0106.1.p, Roisl.0001s0536.1.p, Roisl.0050s0003.1.p
OG0000081	ESY6_g48601_DN3_SP0_c0.t1, ESY3_g28672_DN3_SP0_c0.t1, ESY8_g59466_DN2_SP0_c0.t1, ESY14_g20487_DN3_SP0_c0.t1, ESY19_g42085_DN3_SP0_c0.t1, ESY1_g9171_DN3_SP0_c0.t1	Roisl.0046s0697.1.p
OG0000082	ESY3_g28725_DN2_SP0_c0.t1	Roisl.0056s0001.1.p
OG0000084	ESY10_g15253_DN1_SP0_c0.t1, ESY14_g20372_DN1_SP0_c0.t1	Roisl.0214s0736.1.p
OG0000084	ESY9_g44313_DN1_SP0_c0.t1	Roisl.0189s0055.1.p
OG0000086	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1	Roisl.0214s0709.1.p
OG0000086	ESY7_g19367_DN1_SP0_c0.t1, ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1	Roisl.0032s0015.1.p
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	Roisl.0210s2052.1.p
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	Roisl.0082s0748.1.p
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	Roisl.0210s0950.1.p
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	Roisl.0012s0263.1.p
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	Roisl.0091s0246.1.p
OG0000089	ESY5_g3995_DN3_SP3_c0.t1	Roisl.0007s0134.1.p
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	Roisl.0004s0314.1.p
