Orthogroup	Euclidium_syriacum	Arabidopsis_lyrata_NCBI
OG0000030	ESY3_g29392_DN3_SP0_c0.t1	XP_020879678.1, XP_020881930.1, XP_020880910.1
OG0000030	ESY11_g54853_DN3_SP0_c0.t1	XP_020889857.1
OG0000030	ESY3_g32449_DN2_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1	XP_020885911.1
OG0000030	ESY3_g30320_DN1_SP0_c0.t1, ESY3_g30284_DN2_SP0_c0.t1	XP_020890322.1
OG0000030	ESY9_g42498_DN1_SP0_c0.t1, ESY9_g42515_DN2_SP0_c0.t1	XP_020888486.1
OG0000031	ESY23_g31_DN2_SP0_c0.t1	XP_020872075.1
OG0000035	ESY1_g11366_DN3_SP0_c0.t1, ESY1_g8356_DN1_SP0_c0.t1, ESY2_g36091_DN2_SP0_c0.t1, ESY14_g20662_DN3_SP0_c0.t1	XP_020883112.1, XP_020887195.1, XP_020871214.1, XP_020875318.1, XP_020870256.1, XP_020884941.1, XP_020875756.1, XP_020887746.1, XP_020877165.1
OG0000035	ESY1_g8357_DN3_SP0_c0.t1, ESY1_g11367_DN3_SP0_c0.t1, ESY9_g44160_DN2_SP0_c0.t1, ESY2_g36093_DN3_SP0_c0.t1	XP_020883624.1, XP_020882782.1, XP_020891219.1, XP_020872062.1, XP_020889582.1
OG0000035	ESY10_g13797_DN1_SP0_c0.t1	XP_020870265.1, XP_020886028.1
OG0000040	ESY5_g2557_DN3_SP0_c0.t1	XP_020891386.1
OG0000040	ESY7_g16531_DN2_SP0_c0.t1	XP_020884682.1, XP_020887780.1
OG0000041	ESY14_g19727_DN2_SP0_c0.t1	XP_020876966.1
OG0000042	ESY1_g9008_DN2_SP0_c16.t1	XP_020872945.1
OG0000043	ESY4_g23863_DN2_SP0_c100.t1	XP_020871723.1
OG0000044	ESY10_g14634_DN3_SP0_c0.t1	XP_020880050.1, XP_020868157.1
OG0000046	ESY14_g21426_DN1_SP0_c0.t1	XP_020871374.1, XP_020877131.1
OG0000046	ESY15_g65758_DN2_SP0_c100.t1	XP_020877167.1, XP_020871406.1, XP_002883785.1, XP_020880655.1, XP_020876919.1, XP_020882740.1, XP_002893924.2, XP_020870337.1, XP_020887727.1, XP_020867102.1, XP_020874078.1, XP_020866165.1, XP_020872615.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1, XP_020883604.1, XP_020876127.1
OG0000048	ESY5_g4613_DN3_SP0_c0.t1	XP_002864982.2
OG0000048	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1	XP_002894465.2
OG0000048	ESY8_g58364_DN2_SP0_c0.t1	XP_020886243.1
OG0000051	ESY5_g5128_DN3_SP0_c0.t1	XP_020868191.1
OG0000051	ESY5_g2704_DN3_SP0_c0.t1	XP_020885498.1
OG0000051	ESY5_g5127_DN3_SP0_c0.t1	XP_002881850.2
OG0000051	ESY12_g51336_DN3_SP0_c0.t1	XP_020884766.1, XP_020885237.1, XP_020890130.1
OG0000051	ESY5_g2706_DN3_SP0_c11.t1	XP_020883307.1
OG0000051	ESY12_g51338_DN3_SP0_c0.t1	XP_002881853.1, XP_020883310.1, XP_020883308.1, XP_020883311.1
OG0000052	ESY1_g10448_DN1_SP0_c0.t1	XP_020879992.1
OG0000055	ESY2_g35826_DN2_SP0_c0.t1	XP_020889173.1
OG0000055	ESY16_g61649_DN2_SP0_c0.t1	XP_002862289.1
OG0000055	ESY9_g43255_DN3_SP0_c0.t1, ESY10_g15079_DN3_SP0_c0.t1	XP_020877906.1
OG0000055	ESY2_g35556_DN3_SP0_c0.t1	XP_020883674.1
OG0000056	ESY2_g33766_DN3_SP0_c0.t1	XP_020890625.1, XP_002888056.1
OG0000056	ESY2_g33775_DN1_SP0_c0.t1	XP_020891225.1, XP_002888053.1, XP_020891223.1
OG0000056	ESY3_g31686_DN3_SP0_c0.t1, ESY2_g33671_DN2_SP0_c0.t1	XP_020880767.1
OG0000058	ESY15_g65727_DN2_SP0_c85.t1	XP_020868066.1
OG0000058	ESY13_g56710_DN1_SP0_c0.t1	XP_020883504.1, XP_020877514.1
OG0000059	ESY11_g53896_DN3_SP0_c0.t1	XP_020889554.1, XP_020890752.1, XP_020876125.1
OG0000061	ESY3_g29585_DN1_SP0_c98.t1	XP_020878246.1, XP_020879494.1
OG0000062	ESY17_g40168_DN2_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1	XP_020871212.1, XP_020876453.1
OG0000062	ESY14_g20664_DN3_SP0_c0.t1	XP_020871528.1
OG0000062	ESY9_g44156_DN3_SP0_c0.t1	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1
OG0000064	ESY16_g62560_DN2_SP0_c0.t1	XP_020865905.1, XP_020865795.1, XP_020869663.1, XP_002886749.1, XP_002886745.1, XP_002862361.1, XP_002886746.1, XP_002886752.2, XP_002886744.1, XP_020891241.1, XP_002886750.1, XP_002886748.1, XP_002862362.1, XP_002894696.1, XP_020891452.1, XP_002886747.1, XP_002862360.1, XP_002862386.1, XP_002863710.1, XP_002862438.1, XP_002862385.1, XP_002863711.1, XP_020879695.1, XP_002863799.1, XP_020885190.1, XP_002863708.1, XP_002863709.1, XP_002863706.1, XP_002863707.1, XP_002865487.1
OG0000065	ESY4_g26383_DN3_SP0_c53.t1	XP_020873883.1
OG0000065	ESY4_g25771_DN2_SP0_c0.t1	XP_002868795.2
OG0000066	ESY23_g163_DN2_SP0_c0.t1, ESY7_g18022_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1, ESY11_g54349_DN3_SP0_c0.t1	XP_002873454.1, XP_020867896.1, XP_002877046.2, XP_002894648.1, XP_020876762.1
OG0000066	ESY2_g36068_DN3_SP8_c0.t1	XP_020875249.1, XP_020875248.1, XP_020876760.1
OG0000066	ESY18_g62954_DN3_SP0_c77.t1	XP_020869687.1
OG0000067	ESY3_g28898_DN3_SP0_c0.t1	XP_020891542.1, XP_020874420.1, XP_020879634.1, XP_020878809.1, XP_020889209.1, XP_020876559.1, XP_020886169.1, XP_020865924.1
OG0000068	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1	XP_020876030.1, XP_020876026.1, XP_020889396.1, XP_020889441.1
OG0000068	ESY6_g50195_DN3_SP0_c0.t1	XP_020868524.1, XP_020877300.1, XP_020886482.1, XP_020871868.1, XP_002864221.1, XP_002883446.1, XP_002873094.1, XP_002871038.2, XP_020879355.1, XP_020881372.1
OG0000069	ESY8_g58271_DN2_SP0_c9.t1	XP_020870187.1
OG0000069	ESY1_g11580_DN3_SP0_c0.t1	XP_002877300.2, XP_020881960.1
OG0000069	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1	XP_002878041.1
OG0000069	ESY10_g15831_DN1_SP0_c0.t1	XP_020882733.1
OG0000069	ESY6_g49138_DN1_SP0_c0.t1	XP_020887402.1
OG0000070	ESY10_g14297_DN3_SP0_c35.t1	XP_020867590.1
OG0000070	ESY3_g32095_DN2_SP0_c41.t1	XP_002883942.1, XP_002875195.1, XP_002875194.1
OG0000072	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1	XP_020876164.1, XP_020889278.1
OG0000072	ESY2_g37912_DN2_SP0_c0.t1	XP_020891624.1
OG0000073	ESY4_g22225_DN3_SP0_c0.t1, ESY3_g28765_DN1_SP0_c0.t1	XP_020866212.1, XP_020881839.1
OG0000075	ESY12_g52268_DN2_SP0_c19.t1	XP_002891313.1, XP_002891316.2, XP_020875509.1
OG0000075	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1	XP_020875009.1, XP_020871408.1
OG0000075	ESY4_g26060_DN2_SP0_c0.t1, ESY4_g26061_DN3_SP0_c0.t1	XP_020890734.1, XP_020865611.1
OG0000076	ESY4_g26855_DN3_SP0_c0.t1, ESY4_g26853_DN2_SP0_c0.t1	XP_020872718.1
OG0000076	ESY4_g26296_DN3_SP0_c0.t1, ESY6_g50580_DN1_SP0_c0.t1	XP_002886268.1
OG0000076	ESY4_g25261_DN2_SP0_c0.t1	XP_020887308.1
OG0000077	ESY16_g61756_DN3_SP0_c0.t1	XP_020891534.1
OG0000079	ESY8_g59723_DN2_SP0_c0.t1	XP_020866196.1, XP_020866590.1, XP_020884659.1, XP_020866719.1, XP_020869681.1, XP_020880717.1, XP_020866201.1, XP_020881865.1, XP_020878083.1
OG0000081	ESY9_g44119_DN3_SP0_c0.t1, ESY7_g18625_DN3_SP0_c96.t1	XP_020879148.1, XP_020865942.1, XP_020889237.1, XP_002874062.1, XP_020882894.1
OG0000082	ESY1_g8490_DN3_SP0_c0.t1, ESY5_g2616_DN3_SP0_c0.t1	XP_020875863.1, XP_020875624.1, XP_020887797.1, XP_020889967.1
OG0000086	ESY10_g14581_DN2_SP0_c0.t1, ESY12_g50856_DN3_SP0_c0.t1	XP_002870579.2
OG0000086	ESY10_g14582_DN1_SP0_c0.t1	XP_020872358.1, XP_002868822.1, XP_002868821.2
OG0000086	ESY2_g35232_DN2_SP0_c0.t1	XP_020889890.1, XP_020889891.1
OG0000089	ESY6_g50131_DN3_SP8_c0.t1	XP_020879374.1
OG0000089	ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58770_DN3_SP0_c0.t1	XP_020883550.1
OG0000089	ESY7_g18326_DN3_SP8_c0.t1	XP_002873559.1
OG0000089	ESY7_g16559_DN3_SP8_c0.t1	XP_002863588.1
OG0000089	ESY9_g43361_DN3_SP8_c0.t1	XP_020872103.1
OG0000089	ESY5_g3995_DN3_SP3_c0.t1	XP_020866480.1
OG0000089	ESY2_g34829_DN3_SP8_c0.t1	XP_020890671.1
OG0000090	ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY1_g12432_DN3_SP0_c0.t1, ESY2_g36671_DN2_SP0_c0.t1, ESY1_g7918_DN1_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1	XP_020868126.1
OG0000095	ESY7_g19280_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19279_DN2_SP0_c34.t1, ESY7_g19285_DN2_SP0_c0.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1	XP_002880754.1
OG0000095	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1	XP_020884025.1
OG0000095	ESY7_g17177_DN3_SP0_c0.t1	XP_002878788.1
OG0000095	ESY3_g31038_DN1_SP0_c0.t1	XP_020884655.1
OG0000096	ESY3_g31121_DN3_SP0_c0.t1	XP_020871755.1
OG0000096	ESY6_g49250_DN3_SP0_c0.t1	XP_020889406.1
OG0000096	ESY6_g49252_DN1_SP0_c0.t1, ESY11_g54414_DN1_SP0_c0.t1	XP_002872691.1
OG0000098	ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1, ESY6_g50064_DN2_SP0_c0.t1, ESY5_g5060_DN3_SP0_c0.t1	XP_020889445.1
OG0000098	ESY11_g53834_DN2_SP0_c0.t1	XP_020865728.1
OG0000098	ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1	XP_002883835.2
OG0000098	ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1, ESY7_g17569_DN3_SP0_c0.t1	XP_002893476.1, XP_020869068.1
OG0000100	ESY1_g11939_DN1_SP0_c0.t1	XP_020890843.1, XP_020867631.1, XP_020867629.1, XP_002886645.1, XP_002887938.1, XP_020891283.1, XP_020891541.1, XP_020875192.1, XP_020890033.1, XP_020866259.1, XP_002886080.1, XP_020868270.1, XP_020891540.1, XP_002886379.1
OG0000101	ESY13_g57677_DN1_SP0_c0.t1	XP_020883425.1
OG0000102	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1	XP_020876465.1
OG0000102	ESY7_g16539_DN1_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1	XP_002874844.1
OG0000102	ESY7_g16536_DN3_SP0_c0.t1	XP_020876795.1, XP_002865915.2
OG0000105	ESY6_g49439_DN2_SP0_c0.t1	XP_020870827.1, XP_020886025.1, XP_020868736.1
OG0000107	ESY4_g23035_DN3_SP0_c29.t1	XP_002863839.1, XP_002870247.1, XP_020887921.1, XP_002883228.1, XP_002883226.2, XP_020888430.1, XP_020886789.1, XP_002870246.2, XP_020887923.1, XP_020887918.1
OG0000109	ESY9_g44457_DN2_SP0_c0.t1	XP_020882760.1
OG0000109	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1	XP_020890904.1, XP_020877271.1, XP_020882612.1, XP_020875736.1, XP_020885842.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020866785.1, XP_020888645.1, XP_020871279.1, XP_020885342.1, XP_020881978.1, XP_020865755.1, XP_002877246.2, XP_020872649.1
OG0000110	ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1	XP_002879052.1, XP_002886934.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886812.1, XP_002894139.1, XP_002865673.1, XP_002866863.2
OG0000111	ESY1_g10823_DN3_SP0_c0.t1	XP_002877840.1
OG0000114	ESY1_g8019_DN3_SP0_c0.t1, ESY1_g9122_DN3_SP0_c0.t1, ESY3_g29866_DN2_SP0_c0.t1, ESY1_g6559_DN2_SP0_c10.t1, ESY1_g8020_DN3_SP0_c0.t1, ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1	XP_020885335.1, XP_020881794.1, XP_020882022.1
OG0000114	ESY1_g8939_DN3_SP0_c0.t1, ESY10_g13678_DN3_SP0_c0.t1, ESY7_g17909_DN3_SP0_c0.t1	XP_020886207.1
OG0000116	ESY2_g38543_DN3_SP0_c0.t1, ESY17_g39177_DN3_SP0_c0.t1	XP_002893409.1
OG0000116	ESY11_g52731_DN3_SP0_c0.t1, ESY21_g55783_DN3_SP0_c0.t1, ESY17_g39178_DN3_SP0_c0.t1, ESY17_g40097_DN3_SP0_c0.t1, ESY3_g28062_DN3_SP0_c0.t1	XP_020885057.1
OG0000117	ESY11_g54277_DN1_SP0_c0.t1	XP_020866886.1
OG0000117	ESY5_g2024_DN3_SP0_c0.t1	XP_020870031.1, XP_020869256.1
OG0000117	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1, ESY5_g5207_DN3_SP0_c0.t1, ESY5_g5208_DN3_SP0_c0.t1, ESY5_g5162_DN3_SP0_c0.t1	XP_002893290.1, XP_002893291.1
OG0000118	ESY3_g32056_DN2_SP0_c0.t1	XP_020882923.1
OG0000118	ESY3_g32358_DN3_SP0_c0.t1	XP_020891300.1, XP_002888470.1, XP_020877537.1
OG0000118	ESY5_g4943_DN1_SP0_c0.t1, ESY5_g4942_DN3_SP0_c0.t1, ESY11_g54074_DN3_SP0_c0.t1	XP_020888665.1, XP_002885502.1, XP_020886930.1
OG0000118	ESY5_g4941_DN1_SP0_c0.t1, ESY12_g51410_DN2_SP0_c0.t1, ESY7_g18694_DN2_SP0_c0.t1, ESY5_g3801_DN1_SP0_c0.t1	XP_020887711.1
OG0000119	ESY1_g12226_DN2_SP0_c73.t1, ESY3_g32436_DN2_SP0_c0.t1	XP_020882357.1
OG0000119	ESY6_g48890_DN2_SP0_c0.t1	XP_020886449.1
OG0000119	ESY1_g9438_DN3_SP0_c57.t1, ESY4_g24785_DN3_SP0_c0.t1	XP_020881738.1, XP_020881737.1
OG0000122	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1	XP_020866960.1, XP_020881537.1, XP_020879776.1, XP_020866883.1
OG0000122	ESY6_g48225_DN3_SP0_c0.t1, ESY5_g1857_DN3_SP0_c0.t1	XP_020871241.1
OG0000122	ESY6_g48203_DN3_SP0_c0.t1, ESY2_g33718_DN3_SP0_c0.t1	XP_002864448.2
OG0000123	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1	XP_002864096.1, XP_020886106.1, XP_002863573.2, XP_002863574.1, XP_020878125.1, XP_020877257.1, XP_002863571.1, XP_020871983.1, XP_020871973.1, XP_020877545.1, XP_020882864.1, XP_020868841.1, XP_002879068.2, XP_002864712.1, XP_002884106.1, XP_002878578.1
OG0000125	ESY2_g37202_DN3_SP0_c14.t1	XP_020866497.1
OG0000127	ESY5_g4488_DN3_SP0_c0.t1	XP_020868538.1
OG0000127	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1	XP_002874101.1
OG0000127	ESY3_g30941_DN1_SP0_c0.t1	XP_020885803.1
OG0000127	ESY1_g11079_DN3_SP0_c0.t1	XP_002873061.1, XP_020887259.1
OG0000127	ESY6_g48851_DN3_SP0_c0.t1	XP_020872447.1, XP_002864658.2, XP_020880863.1
OG0000127	ESY8_g58880_DN2_SP0_c0.t1	XP_002879182.1
OG0000128	ESY1_g11245_DN1_SP0_c0.t1	XP_020879745.1, XP_020879608.1, XP_020879609.1, XP_020879607.1, XP_020882191.1, XP_020880511.1, XP_020880525.1, XP_020891638.1, XP_002870336.2, XP_020880503.1
OG0000129	ESY2_g34340_DN2_SP0_c0.t1, ESY7_g18677_DN3_SP0_c0.t1, ESY9_g43047_DN3_SP0_c0.t1, ESY9_g43049_DN3_SP0_c0.t1	XP_020890882.1
OG0000129	ESY2_g34369_DN3_SP0_c0.t1	XP_020890880.1
OG0000129	ESY6_g49428_DN3_SP0_c0.t1	XP_020867988.1, XP_002864761.1, XP_020871006.1, XP_020885823.1, XP_002879145.1, XP_020884859.1, XP_020889363.1
OG0000129	ESY2_g34341_DN3_SP0_c0.t1	XP_020890885.1
OG0000130	ESY1_g9827_DN1_SP0_c0.t1	XP_020866264.1, XP_020866430.1, XP_020875826.1, XP_020881874.1, XP_020870431.1, XP_020890790.1, XP_020888401.1, XP_002865522.1, XP_020866113.1, XP_020881817.1, XP_020873128.1
OG0000130	ESY23_g219_DN2_SP0_c0.t1	XP_002878891.2, XP_020866161.1, XP_002884887.2
OG0000132	ESY6_g48238_DN1_SP0_c0.t1	XP_020878937.1, XP_020877053.1
OG0000138	ESY3_g32264_DN3_SP0_c0.t1, ESY16_g62249_DN3_SP0_c0.t1, ESY1_g12463_DN3_SP0_c6.t1, ESY2_g34038_DN3_SP0_c0.t1, ESY1_g12461_DN3_SP0_c0.t1	XP_020876585.1
OG0000140	ESY10_g15894_DN2_SP0_c0.t1	XP_020890721.1, XP_020883678.1, XP_020890722.1, XP_020890690.1
OG0000141	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1	XP_002889921.2
OG0000141	ESY2_g33647_DN2_SP0_c0.t1, ESY2_g33651_DN2_SP0_c0.t1	XP_020891049.1, XP_020891221.1
OG0000148	ESY8_g58470_DN2_SP0_c0.t1	XP_020886427.1
