Orthogroup	Noccaea_praecox	Brassica_oleracea
OG0000042	Np004G191660	XP_013617799.1
OG0000042	Np003G181700	XP_013639460.1
OG0000043	Np005G296770, Np005G292440	XP_013639316.1
OG0000043	Np002G102430	XP_013614489.1
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	XP_013633382.1, XP_013596464.1, XP_013617808.1, XP_013617807.1, XP_013594734.1, XP_013594735.1, XP_013589296.1, XP_013617147.1, XP_013591267.1
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	XP_013623958.1, XP_013589222.1, XP_013632674.1, XP_013639308.1
OG0000045	Np006G334530	XP_013632408.1, XP_013632387.1, XP_013594397.1, XP_013624130.1
OG0000045	Np007G389140	XP_013639552.1
OG0000046	Np005G314650	XP_013635767.1
OG0000046	Np005G313240	XP_013636750.1
OG0000046	Np002G093730	XP_013620956.1
OG0000046	Np005G292150	XP_013611234.1
OG0000046	Np005G292140	XP_013611253.1
OG0000046	Np005G313330	XP_013635840.1, XP_013620632.1
OG0000046	Np007G386460	XP_013632687.1
OG0000047	Np005G282680	XP_013619235.1
OG0000048	Np003G145480	XP_013610082.1, XP_013621466.1, XP_013619534.1, XP_013621467.1, XP_013626627.1, XP_013625931.1
OG0000048	Np003G145420	XP_013608599.1, XP_013621007.1, XP_013609935.1, XP_013626973.1
OG0000048	Np003G145430	XP_013621464.1, XP_013616580.1
OG0000048	Np003G145400, Np003G145550	XP_013608597.1, XP_013608598.1, XP_013609522.1
OG0000048	Np003G145490, Np003G145410	XP_013618244.1, XP_013621004.1, XP_013621006.1, XP_013621465.1
OG0000049	Np004G254290	XP_013623756.1
OG0000050	Np002G095340	XP_013639544.1
OG0000050	Np007G402160	XP_013589201.1, XP_013616946.1, XP_013628127.1
OG0000050	Np002G095850	XP_013607943.1
OG0000050	Np002G095350	XP_013589102.1, XP_013616821.1
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000052	Np006G328530, Np006G328520	XP_013635946.1, XP_013623985.1
OG0000052	Np002G116790, Np002G107170, Np002G116330	XP_013589464.1, XP_013610001.1
OG0000052	Np002G116810	XP_013632996.1
OG0000052	Np003G173020	XP_013610546.1
OG0000052	Np006G328390, Np006G328410, Np006G328470	XP_013635331.1, XP_013635332.1, XP_013635943.1, XP_013615889.1
OG0000052	Np006G328480	XP_013632325.1, XP_013632324.1, XP_013632327.1
OG0000053	Np002G100500, Np004G233450, Np007G396260	XP_013583425.1, XP_013619334.1, XP_013615788.1, XP_013601480.1, XP_013608198.1
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	XP_013597073.1, XP_013627758.1, XP_013610732.1
OG0000053	Np001G008270, Np001G039230, Np003G166770	XP_013601178.1, XP_013605214.1, XP_013604150.1, XP_013585552.1, XP_013585426.1, XP_013597521.1, XP_013628178.1, XP_013585461.1, XP_013615848.1
OG0000054	Np004G255790, Np005G312070, Np007G389250	XP_013615014.1
OG0000055	Np001G046730	XP_013628196.1
OG0000055	Np002G119410	XP_013634799.1
OG0000055	Np002G119230	XP_013607317.1
OG0000055	Np002G119520, Np002G119220, Np002G119170	XP_013631517.1, XP_013616526.1
OG0000055	Np002G119390, Np002G118970, Np002G120090, Np002G120080, Np002G119490, Np002G119430, Np002G119510, Np002G118960, Np002G118940, Np002G119480	XP_013625145.1, XP_013601283.1, XP_013631987.1
OG0000056	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230	XP_013632615.1
OG0000056	Np006G356510, Np003G151080, Np003G158880, Np007G412270, Np005G282430	XP_013639732.1, XP_013626954.1, XP_013638947.1, XP_013617766.1, XP_013627136.1, XP_013632954.1, XP_013629486.1, XP_013601558.1, XP_013607606.1, XP_013607741.1, XP_013633059.1, XP_013632733.1, XP_013623893.1, XP_013617628.1, XP_013607578.1, XP_013589124.1
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660	XP_013614874.1, XP_013596572.1
OG0000057	Np007G391720, Np007G393400	XP_013609840.1
OG0000057	Np007G375320	XP_013583313.1, XP_013583310.1
OG0000057	Np007G398210, Np010G435080, Np007G401600	XP_013585893.1, XP_013638571.1
OG0000057	Np006G333600, Np006G333860, Np003G187520	XP_013606594.1, XP_013593729.1
OG0000058	Np003G189490, Np008G428090, Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510	XP_013624813.1
OG0000058	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410	XP_013617130.1
OG0000058	Np006G359650	XP_013632813.1
OG0000059	Np001G044380	XP_013583424.1, XP_013627293.1, XP_013639645.1, XP_013616902.1
OG0000059	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750	XP_013614573.1
OG0000059	Np004G202770	XP_013617595.1
OG0000059	Np007G388310	XP_013617138.1, XP_013607918.1
OG0000061	Np004G218870, Np004G219580, Np004G218830, Np007G398820	XP_013628529.1
OG0000061	Np005G260230	XP_013607575.1, XP_013589214.1, XP_013617738.1, XP_013632723.1, XP_013589430.1
OG0000062	Np003G173970, Np003G170000	XP_013591442.1, XP_013594277.1, XP_013623728.1, XP_013624643.1, XP_013615594.1, XP_013624395.1, XP_013626489.1, XP_013632865.1, XP_013583449.1
OG0000062	Np004G205130	XP_013584961.1, XP_013591028.1, XP_013583246.1, XP_013624305.1, XP_013594953.1, XP_013583409.1, XP_013639827.1, XP_013588116.1, XP_013617685.1, XP_013617194.1, XP_013617550.1, XP_013639436.1, XP_013614606.1, XP_013589590.1, XP_013594276.1, XP_013623727.1, XP_013617780.1, XP_013633220.1, XP_013607786.1, XP_013608501.1, XP_013624109.1, XP_013634828.1
OG0000064	Np005G260880	XP_013598018.1
OG0000065	Np003G168940	XP_013617482.1, XP_013617341.1
OG0000065	Np008G428560, Np008G428010	XP_013614546.1
OG0000066	Np005G262320	XP_013587978.1, XP_013612488.1, XP_013607869.1, XP_013612748.1, XP_013629194.1
OG0000066	Np003G136710	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	XP_013623793.1, XP_013626885.1, XP_013606907.1, XP_013611652.1, XP_013610551.1
OG0000067	Np003G134720, Np001G055610	XP_013602654.1, XP_013603257.1, XP_013602913.1, XP_013610616.1, XP_013603635.1
OG0000067	Np003G144200	XP_013623517.1, XP_013623813.1, XP_013627886.1, XP_013602672.1, XP_013629845.1, XP_013626915.1, XP_013623762.1
OG0000068	Np007G393060	XP_013591120.1
OG0000068	Np003G152860, Np004G247010, Np001G023980, Np002G112070, Np007G393050, Np002G095360, Np006G328420, Np002G104000	XP_013595099.1, XP_013624058.1, XP_013632481.1, XP_013639600.1, XP_013618966.1
OG0000069	Np003G152400	XP_013624740.1
OG0000069	Np001G024920, Np005G293790	XP_013633239.1
OG0000070	Np002G101130	XP_013601273.1
OG0000070	Np002G097070, Np006G358640, Np002G099070	XP_013615472.1
OG0000070	Np002G099050	XP_013624264.1
OG0000071	Np001G008970, Np006G370520, Np003G157740	XP_013601126.1, XP_013601850.1, XP_013614231.1
OG0000071	Np003G163260, Np003G136370, Np006G335610, Np002G086650	XP_013639677.1, XP_013589425.1, XP_013601846.1, XP_013617814.1, XP_013608108.1, XP_013601356.1, XP_013601674.1, XP_013639850.1, XP_013623769.1
OG0000071	Np006G331390, Np001G008190	XP_013617293.1
OG0000071	Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530	XP_013607816.1
OG0000071	Np006G355640	XP_013617771.1, XP_013601854.1
OG0000071	Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	XP_013623159.1, XP_013624755.1
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	XP_013607861.1, XP_013583419.1, XP_013639649.1, XP_013594521.1, XP_013633807.1, XP_013594821.1, XP_013615002.1, XP_013595200.1, XP_013597172.1, XP_013607995.1
OG0000072	Np001G034150	XP_013623052.1, XP_013638689.1
OG0000074	Np004G229920, Np004G230020	XP_013596256.1
OG0000074	Np004G229960	XP_013600045.1
OG0000074	Np003G180910, Np003G184200	XP_013596253.1, XP_013596633.1
OG0000075	Np003G136640	XP_013584290.1
OG0000075	Np007G378600	XP_013601852.1, XP_013611358.1, XP_013615461.1, XP_013608862.1, XP_013615023.1
OG0000075	Np004G233640	XP_013597375.1
OG0000076	Np007G423950	XP_013610604.1
OG0000076	Np001G021860	XP_013599445.1, XP_013594267.1, XP_013594927.1
OG0000077	Np005G261710	XP_013602439.1
OG0000077	Np006G360730	XP_013602527.1, XP_013622394.1, XP_013618964.1, XP_013596173.1
OG0000077	Np005G261720	XP_013596175.1
OG0000078	Np002G086990	XP_013617746.1
OG0000078	Np002G092810	XP_013624880.1, XP_013591282.1, XP_013615431.1, XP_013632718.1, XP_013617720.1, XP_013629722.1, XP_013624329.1
OG0000079	Np001G064190	XP_013622466.1, XP_013604174.1, XP_013634926.1
OG0000079	Np007G389360	XP_013604627.1
OG0000080	Np005G289190	XP_013615706.1
OG0000080	Np003G179540, Np002G124540	XP_013615702.1
OG0000080	Np006G351210	XP_013622240.1, XP_013635264.1
OG0000080	Np004G240560, Np006G328080	XP_013633314.1
OG0000081	Np003G176780, Np003G176800, Np003G176750	XP_013627255.1, XP_013615338.1
OG0000082	Np005G302180	XP_013639258.1
OG0000082	Np005G274330	XP_013613884.1
OG0000082	Np001G045200	XP_013639683.1, XP_013601479.1
OG0000083	Np002G090350	XP_013639459.1
OG0000083	Np002G083710	XP_013619769.1
OG0000083	Np002G083730	XP_013590800.1, XP_013590659.1
OG0000084	Np006G366020	XP_013635569.1, XP_013637583.1
OG0000084	Np006G365060, Np006G365040	XP_013631674.1
OG0000084	Np006G364950	XP_013633255.1, XP_013632293.1, XP_013633256.1, XP_013635632.1
OG0000085	Np007G397830	XP_013613768.1, XP_013639330.1, XP_013601192.1, XP_013594617.1, XP_013607520.1, XP_013617709.1, XP_013589148.1, XP_013614248.1, XP_013624869.1, XP_013617268.1, XP_013601585.1, XP_013608084.1, XP_013632913.1, XP_013629110.1, XP_013617395.1
OG0000087	Np001G010980	XP_013598457.1
OG0000087	Np006G350150, Np008G428160	XP_013637001.1, XP_013636732.1
OG0000087	Np005G287050	XP_013629087.1, XP_013629292.1, XP_013629400.1
OG0000087	Np003G139100	XP_013611442.1
OG0000087	Np001G039930	XP_013612217.1, XP_013620476.1, XP_013598244.1
OG0000087	Np005G287110	XP_013598013.1, XP_013621920.1, XP_013598364.1
OG0000087	Np002G077440	XP_013592047.1
OG0000088	Np001G038910, Np001G038970	XP_013613460.1, XP_013612884.1, XP_013626980.1, XP_013626981.1, XP_013626984.1, XP_013610320.1, XP_013626983.1, XP_013626986.1, XP_013630073.1
OG0000088	Np003G148700, Np003G148740	XP_013627653.1, XP_013607358.1
OG0000088	Np001G052870	XP_013631070.1
OG0000089	Np003G136030	XP_013629368.1, XP_013611822.1, XP_013620685.1
OG0000089	Np007G409340	XP_013587485.1
OG0000089	Np001G046210	XP_013623319.1
OG0000089	Np003G153120	XP_013623141.1
OG0000090	Np004G235330	XP_013628560.1
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000090	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600	XP_013590802.1
OG0000090	Np007G389920	XP_013620477.1
OG0000093	Np001G063230	XP_013632132.1, XP_013632130.1, XP_013591322.1
OG0000093	Np001G005730	XP_013589366.1
OG0000093	Np005G317970	XP_013603307.1, XP_013600272.1, XP_013604009.1
OG0000096	Np002G112160	XP_013630204.1
OG0000096	Np001G024770	XP_013594901.1
OG0000096	Np001G038620	XP_013613462.1
OG0000096	Np001G038130	XP_013623925.1
OG0000097	Np003G184990	XP_013599827.1, XP_013584794.1
OG0000097	Np003G184940	XP_013607466.1, XP_013607474.1, XP_013607472.1, XP_013607473.1, XP_013623936.1, XP_013623935.1
OG0000098	Np002G116580	XP_013606827.1, XP_013613822.1, XP_013605896.1
OG0000099	Np002G123560, Np004G228320	XP_013624375.1
OG0000100	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190	XP_013607800.1
OG0000100	Np002G096510, Np006G363460	XP_013607749.1
OG0000100	Np004G259020, Np011G435850, Np006G344690, Np005G295460	XP_013633708.1, XP_013623906.1, XP_013632717.1, XP_013608419.1, XP_013608131.1, XP_013588866.1, XP_013617040.1, XP_013594974.1
OG0000101	Np002G111340	XP_013611728.1
OG0000101	Np004G206440	XP_013606369.1
OG0000102	Np006G343540	XP_013632829.1
OG0000102	Np006G343550	XP_013594553.1
OG0000102	Np001G022480	XP_013639565.1, XP_013617918.1, XP_013589240.1, XP_013624346.1
OG0000104	Np004G251930	XP_013605923.1
OG0000104	Np004G195160	XP_013590329.1
OG0000104	Np007G381330	XP_013625710.1
OG0000104	Np004G195150	XP_013605120.1
OG0000104	Np004G195140	XP_013589967.1
OG0000104	Np006G360090	XP_013634622.1
OG0000104	Np006G360080	XP_013634487.1
OG0000107	Np007G398420	XP_013635068.1, XP_013624257.1, XP_013623726.1
OG0000107	Np007G380680	XP_013602900.1
OG0000107	Np005G305610	XP_013638671.1, XP_013622483.1
OG0000108	Np001G012770, Np001G011650, Np001G011550	XP_013617934.1
OG0000108	Np004G259470	XP_013614188.1, XP_013615334.1
OG0000110	Np001G064490	XP_013592532.1
OG0000110	Np001G064470	XP_013590480.1
OG0000110	Np001G064520	XP_013591144.1, XP_013591210.1
OG0000110	Np001G064540	XP_013589380.1
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	XP_013629621.1
OG0000111	Np006G327310, Np005G313700, Np005G313670, Np005G313690	XP_013627445.1
OG0000111	Np001G058370	XP_013603252.1, XP_013605672.1, XP_013602151.1, XP_013605673.1, XP_013602872.1, XP_013603171.1, XP_013603836.1, XP_013603745.1
OG0000111	Np003G157750	XP_013610755.1
OG0000112	Np003G184320	XP_013601093.1, XP_013601096.1, XP_013601095.1, XP_013601091.1, XP_013601092.1, XP_013601117.1, XP_013601094.1, XP_013623898.1, XP_013623897.1
OG0000113	Np007G416190	XP_013609521.1
OG0000113	Np002G122980	XP_013607642.1
OG0000113	Np003G145910	XP_013610278.1, XP_013610280.1
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	XP_013614000.1, XP_013633764.1, XP_013586376.1, XP_013632656.1
OG0000118	Np005G315460	XP_013597065.1, XP_013591106.1, XP_013610702.1, XP_013585759.1, XP_013624096.1, XP_013603466.1
