Orthogroup	Noccaea_praecox	Conringia_planisiliqua
OG0000008	Np001G053530	CP7_g44274_DN3_SP0_c.t1
OG0000010	Np002G095240	CP24_g47323_DN2_SP0_c.t1
OG0000012	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280	CP35_g52033_DN3_SP0_c.t1
OG0000013	Np002G102610, Np001G031780, Np003G168300, Np003G170610, Np003G170420	CP17_g5825_DN2_SP0_c.t1
OG0000013	Np005G297160, Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160, Np004G228140	CP26_g51269_DN2_SP0_c.t1
OG0000013	Np002G102600, Np003G173130	CP14_g22654_DN2_SP0_c.t1
OG0000014	Np001G042570, Np002G073300	CP12_g31536_DN1_SP0_c.t1
OG0000015	Np005G274380	CP3_g15767_DN1_SP0_c.t1
OG0000015	Np007G402630	CP22_g17112_DN1_SP0_c.t1, CP7_g44359_DN2_SP0_c.t1, CP9_g27744_DN1_SP0_c.t1
OG0000015	Np007G409210, Np007G416110	CP7_g44381_DN2_SP0_c.t1
OG0000015	Np007G416100, Np001G036120	CP12_g31767_DN3_SP0_c.t1
OG0000015	Np001G029500	CP2_g50727_DN3_SP0_c.t1
OG0000017	Np005G282110, Np005G282180, Np007G396400	CP6_g9455_DN3_SP0_c.t1
OG0000019	Np001G027630	CP18_g11548_DN1_SP0_c.t1
OG0000019	Np001G027620	CP14_g23600_DN3_SP0_c.t1, CP9_g27502_DN3_SP0_c.t1, CP15_g35899_DN2_SP0_c.t1
OG0000019	Np004G239770	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1
OG0000020	Np004G226740	CP8_g52855_DN2_SP0_c.t1, CP64_g21090_DN2_SP0_c.t1
OG0000020	Np002G099760	CP18_g12572_DN2_SP0_c.t1
OG0000020	Np005G303330, Np004G208430	CP1_g40427_DN2_SP0_c.t1
OG0000020	Np004G226750	CP3_g16164_DN3_SP0_c.t1
OG0000021	Np005G303890	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1, CP2_g50573_DN1_SP0_c.t1, CP5_g3096_DN1_SP0_c.t1, CP36_g50971_DN3_SP0_c.t1
OG0000021	Np004G199130	CP21_g11065_DN2_SP0_c.t1
OG0000021	Np004G199140	CP15_g36147_DN2_SP0_c.t1, CP3_g15821_DN1_SP0_c.t1, CP12_g31265_DN3_SP0_c.t1, CP1_g39884_DN1_SP0_c.t1, CP1_g38521_DN1_SP0_c.t1, CP20_g4089_DN2_SP0_c.t1, CP5_g3095_DN2_SP0_c.t1, CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1, CP5_g1512_DN1_SP0_c.t1, CP8_g52677_DN2_SP0_c.t1, CP5_g1517_DN2_SP0_c.t1, CP2_g50567_DN2_SP0_c.t1
OG0000021	Np002G120150	CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000021	Np002G109960, Np003G148260	CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000024	Np003G178520, Np008G426040, Np002G105750, Np001G043400, Np004G229320, Np006G346780, Np002G096560, Np007G405450, Np009G429280	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1
OG0000024	Np002G092500	CP6_g8243_DN1_SP0_c.t1
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	CP3_g16173_DN1_SP0_c.t1
OG0000024	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770	CP12_g31107_DN1_SP0_c.t1
OG0000026	Np002G101380, Np004G216210	CP3_g15520_DN1_SP0_c.t1, CP12_g31501_DN2_SP0_c.t1
OG0000027	Np004G198060, Np004G198040	CP2_g48829_DN3_SP0_c.t1
OG0000027	Np004G214870, Np005G271730, Np004G214850	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000027	Np001G057950, Np001G057940	CP3_g13494_DN2_SP0_c.t1
OG0000028	Np003G168060, Np003G175100, Np002G106380	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1
OG0000028	Np006G356860	CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1
OG0000028	Np002G105400, Np003G145220, Np003G175090	CP18_g12498_DN1_SP0_c.t1
OG0000029	Np001G054440, Np004G209620, Np002G086870, Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900, Np002G073630, Np002G090000, Np003G169850, Np001G030650, Np001G034960, Np004G225420, Np001G003630, Np001G034950, Np003G172500, Np002G113330, Np005G304980, Np001G058950, Np007G394270, Np003G168210, Np003G168320, Np002G095530	CP22_g17304_DN2_SP0_c.t1
OG0000029	Np003G172510	CP29_g22076_DN3_SP0_c.t1
OG0000030	Np003G173700	CP6_g9916_DN1_SP0_c.t1
OG0000030	Np002G096140, Np004G216100	CP26_g51211_DN3_SP0_c.t1
OG0000033	Np005G283820, Np005G284140, Np005G284150, Np005G284160	CP16_g55465_DN3_SP1_c.t1
OG0000034	Np006G350340, Np001G040280, Np002G102640, Np002G107950, Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530, Np006G341510, Np006G345750, Np009G431360, Np003G168290, Np001G007970	CP15_g35590_DN3_SP0_c.t1
OG0000035	Np005G313520	CP4_g25547_DN2_SP0_c.t1, CP9_g28258_DN1_SP0_c.t1, CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1, CP3_g14428_DN3_SP0_c.t1, CP4_g24241_DN1_SP0_c.t1
OG0000036	Np006G350450, Np006G342170, Np003G136960, Np002G107350, Np007G403810	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000037	Np001G045190	CP24_g47339_DN2_SP0_c.t1, CP3_g15633_DN2_SP0_c.t1
OG0000038	Np001G060270	CP7_g45289_DN3_SP0_c.t1
OG0000038	Np003G157800	CP8_g53633_DN2_SP0_c.t1
OG0000038	Np005G270740, Np005G270650, Np005G270700	CP7_g45140_DN3_SP0_c.t1
OG0000040	Np004G224970, Np004G224940	CP10_g43326_DN2_SP0_c.t1, CP13_g19590_DN2_SP0_c.t1
OG0000041	Np006G342650	CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1
OG0000041	Np003G171490, Np002G100930	CP1_g40152_DN3_SP0_c.t1, CP219_g10340_DN3_SP0_c.t1, CP1_g40281_DN2_SP0_c.t1, CP12_g31175_DN2_SP0_c.t1, CP6_g9661_DN1_SP0_c.t1, CP1_g41347_DN1_SP0_c.t1, CP6_g8601_DN2_SP0_c.t1, CP12_g31227_DN2_SP0_c.t1, CP56_g20967_DN2_SP0_c.t1, CP13_g20695_DN2_SP0_c.t1, CP25_g55850_DN1_SP0_c.t1, CP15_g34866_DN2_SP0_c.t1, CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1, CP21_g11165_DN2_SP0_c.t1, CP13_g20398_DN1_SP0_c.t1, CP25_g55796_DN1_SP0_c.t1, CP4_g26254_DN2_SP0_c.t1, CP17_g5856_DN1_SP0_c.t1, CP14_g23630_DN1_SP0_c.t1, CP103_g21015_DN2_SP0_c.t1, CP98_g41599_DN2_SP0_c.t1, CP3_g16126_DN1_SP0_c.t1, CP14_g23220_DN3_SP0_c.t1, CP5_g3431_DN3_SP0_c.t1, CP6_g7632_DN3_SP0_c.t1, CP18_g12549_DN3_SP0_c.t1, CP16_g55625_DN3_SP0_c.t1, CP1_g41249_DN1_SP0_c.t1, CP102_g10409_DN2_SP0_c.t1, CP148_g19023_DN1_SP0_c.t1, CP13_g20685_DN1_SP0_c.t1, CP2_g49629_DN3_SP0_c.t1, CP1_g38419_DN3_SP0_c.t1, CP17_g5295_DN1_SP0_c.t1, CP16_g55449_DN3_SP0_c.t1, CP14_g23883_DN1_SP0_c.t1, CP15_g35230_DN3_SP0_c.t1
OG0000041	Np006G346660	CP17_g5495_DN1_SP0_c.t1, CP9_g28010_DN1_SP0_c.t1, CP31_g46691_DN1_SP0_c.t1, CP23_g21573_DN1_SP0_c.t1, CP12_g31427_DN1_SP0_c.t1, CP17_g5595_DN2_SP0_c.t1, CP14_g23437_DN2_SP0_c.t1, CP12_g31562_DN3_SP0_c.t1, CP12_g31707_DN3_SP0_c.t1
OG0000041	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530	CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1
OG0000042	Np007G420820	CP5_g2115_DN2_SP0_c.t1
OG0000042	Np001G027800	CP19_g18411_DN2_SP0_c.t1
OG0000042	Np004G191660	CP13_g20255_DN1_SP0_c.t1
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	CP1_g39285_DN1_SP0_c.t1
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	CP15_g34716_DN3_SP0_c.t1
OG0000045	Np006G334530	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1, CP6_g7806_DN1_SP0_c.t1
OG0000045	Np002G098570, Np005G284990	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1
OG0000045	Np007G389140	CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1, CP6_g7550_DN1_SP0_c.t1
OG0000046	Np005G314650	CP5_g1580_DN2_SP0_c.t1
OG0000048	Np007G421470	CP10_g42381_DN3_SP0_c.t1
OG0000048	Np003G145480	CP11_g32170_DN3_SP0_c.t1
OG0000048	Np003G145420	CP11_g32171_DN3_SP0_c.t1, CP11_g32165_DN3_SP0_c.t1
OG0000048	Np003G145430, Np003G145400, Np003G145550	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1
OG0000048	Np003G145440	CP11_g32166_DN3_SP0_c.t1, CP11_g32169_DN3_SP0_c.t1
OG0000049	Np004G254290	CP1_g39385_DN3_SP0_c.t1
OG0000049	Np002G120530	CP14_g23587_DN3_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1
OG0000050	Np002G095340	CP18_g11588_DN2_SP0_c.t1, CP1_g38352_DN3_SP0_c.t1, CP18_g12167_DN3_SP0_c.t1
OG0000050	Np007G402160	CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1
OG0000050	Np002G095850	CP7_g44165_DN3_SP0_c.t1
OG0000050	Np002G095350	CP22_g17665_DN2_SP0_c.t1, CP6_g9071_DN2_SP0_c.t1
OG0000052	Np006G328530, Np006G328520	CP4_g24481_DN3_SP0_c.t1
OG0000052	Np002G116290, Np002G116590	CP1_g36582_DN3_SP0_c.t1
OG0000052	Np002G116810	CP2_g49248_DN2_SP0_c.t1
OG0000052	Np003G173020	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1
OG0000052	Np006G328480	CP4_g24480_DN3_SP0_c.t1
OG0000053	Np002G100500, Np004G233450, Np007G396260	CP9_g27482_DN3_SP0_c.t1
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1
OG0000053	Np001G008270, Np001G039230, Np003G166770	CP4_g26576_DN3_SP0_c.t1
OG0000054	Np004G255790, Np005G312070, Np007G389250	CP3_g15706_DN3_SP0_c.t1, CP3_g15691_DN3_SP0_c.t1
OG0000054	Np003G165300, Np008G427110, Np003G167120, Np002G099610, Np001G054180, Np002G078710, Np001G038630, Np005G282410, Np004G256130, Np006G347850	CP5_g2131_DN3_SP0_c.t1
OG0000055	Np002G120200, Np002G120190, Np002G120180	CP2_g49032_DN3_SP0_c.t1
OG0000055	Np002G119410	CP2_g49066_DN2_SP0_c.t1
OG0000055	Np002G119230	CP11_g31796_DN3_SP0_c.t1
OG0000055	Np002G119520, Np002G119220, Np002G119170	CP2_g49067_DN3_SP0_c.t1, CP2_g49076_DN3_SP0_c.t1, CP2_g49080_DN3_SP0_c.t1
OG0000055	Np002G119390, Np002G118970, Np002G120090, Np002G120080, Np002G119490, Np002G119430, Np002G119510, Np002G118960, Np002G118940, Np002G119480	CP2_g49081_DN1_SP0_c.t1, CP2_g49073_DN2_SP0_c.t1, CP2_g49078_DN3_SP0_c.t1
OG0000056	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230	CP2_g49697_DN3_SP0_c.t1
OG0000056	Np006G356510, Np003G151080	CP9_g27806_DN2_SP0_c.t1
OG0000056	Np003G158880	CP22_g17290_DN2_SP0_c.t1
OG0000056	Np007G412270	CP3_g16601_DN1_SP0_c.t1
OG0000056	Np005G282430	CP12_g31150_DN2_SP0_c.t1
OG0000056	Np004G212730	CP76_g27141_DN3_SP0_c.t1, CP23_g21854_DN3_SP0_c.t1, CP23_g21662_DN2_SP0_c.t1, CP23_g21733_DN3_SP0_c.t1, CP23_g21767_DN1_SP0_c.t1, CP22_g17221_DN2_SP0_c.t1, CP22_g17291_DN1_SP0_c.t1, CP23_g21606_DN1_SP0_c.t1
OG0000056	Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120	CP6_g9003_DN1_SP0_c.t1
OG0000057	Np007G419120, Np007G419160	CP10_g42516_DN3_SP0_c.t1
OG0000057	Np007G375320	CP10_g43729_DN2_SP0_c.t1
OG0000057	Np007G398210, Np010G435080, Np007G401600	CP12_g29917_DN2_SP0_c.t1, CP12_g29918_DN3_SP0_c.t1
OG0000057	Np006G333600, Np006G333860, Np003G187520	CP12_g30730_DN2_SP0_c.t1
OG0000058	Np008G427720, Np001G035900, Np001G038390, Np006G352050, Np005G294870	CP4_g26939_DN1_SP0_c.t1
OG0000058	Np006G359730, Np001G037410	CP21_g11182_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP5_g3335_DN2_SP0_c.t1
OG0000059	Np008G426920, Np008G426800	CP10_g44057_DN2_SP0_c.t1
OG0000059	Np001G044380	CP3_g16740_DN2_SP0_c.t1, CP9_g27953_DN3_SP0_c.t1, CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1, CP3_g14979_DN3_SP0_c.t1
OG0000059	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750	CP5_g3316_DN2_SP0_c.t1
OG0000059	Np004G202770	CP12_g31525_DN1_SP0_c.t1
OG0000059	Np005G284980	CP26_g51313_DN1_SP0_c.t1
OG0000061	Np004G218870, Np004G219580, Np004G218830, Np007G398820, Np005G260230	CP1_g40914_DN2_SP0_c.t1
OG0000063	Np001G045620	CP3_g14842_DN3_SP0_c.t1
OG0000063	Np004G251560, Np006G359840	CP4_g25867_DN3_SP0_c.t1
OG0000063	Np005G306870, Np003G152310	CP1_g37064_DN3_SP0_c.t1
OG0000064	Np005G260880	CP5_g77_DN1_SP0_c.t1
OG0000065	Np003G168940	CP24_g47137_DN2_SP0_c.t1
OG0000066	Np003G136700	CP4_g25642_DN3_SP0_c.t1
OG0000066	Np004G250000, Np004G250510, Np003G136710	CP2_g49425_DN3_SP0_c.t1
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	CP12_g31237_DN3_SP0_c.t1
OG0000068	Np002G089430	CP26_g51196_DN1_SP0_c.t1
OG0000068	Np004G229970	CP4_g26547_DN1_SP0_c.t1
OG0000068	Np002G105990, Np001G038360, Np002G099110	CP12_g31766_DN2_SP0_c.t1
OG0000068	Np002G113430, Np005G283070	CP1_g40960_DN1_SP0_c.t1
OG0000069	Np003G152400	CP8_g52571_DN1_SP0_c.t1, CP13_g20431_DN2_SP0_c.t1, CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1, CP20_g3890_DN2_SP0_c.t1, CP8_g53133_DN1_SP0_c.t1, CP4_g26011_DN1_SP0_c.t1, CP18_g11666_DN2_SP0_c.t1, CP29_g22116_DN2_SP0_c.t1, CP8_g52621_DN2_SP0_c.t1
OG0000069	Np001G024920, Np005G293790	CP15_g34957_DN1_SP0_c.t1
OG0000070	Np004G218430, Np002G100330, Np002G101580	CP9_g27907_DN2_SP0_c.t1
OG0000073	Np006G330840	CP21_g10991_DN3_SP0_c.t1
OG0000074	Np004G229920, Np004G230020	CP7_g45419_DN3_SP0_c.t1
OG0000074	Np004G229960	CP7_g45418_DN3_SP0_c.t1, CP7_g45417_DN3_SP0_c.t1, CP7_g45428_DN3_SP0_c.t1
OG0000074	Np004G230030	CP7_g45420_DN3_SP0_c.t1
OG0000074	Np003G180910, Np003G184200	CP20_g4368_DN3_SP0_c.t1
OG0000075	Np003G136640	CP7_g44717_DN3_SP0_c.t1
OG0000075	Np004G233640	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1
OG0000076	Np007G423950, Np001G021860	CP13_g19766_DN3_SP0_c.t1
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	CP5_g173_DN1_SP0_c.t1
OG0000079	Np001G064190	CP16_g55065_DN3_SP0_c.t1
OG0000080	Np005G289190	CP9_g28787_DN2_SP0_c.t1
OG0000081	Np001G010770	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1
OG0000081	Np004G196080, Np004G196070	CP1_g38017_DN2_SP0_c.t1
OG0000081	Np003G176780, Np003G176800, Np003G176750	CP20_g4332_DN1_SP0_c.t1
OG0000082	Np006G332300	CP23_g21380_DN2_SP0_c.t1
OG0000082	Np005G302180	CP4_g26212_DN3_SP0_c.t1
OG0000082	Np005G274330	CP29_g22172_DN2_SP0_c.t1, CP29_g22188_DN2_SP0_c.t1, CP20_g3823_DN2_SP0_c.t1, CP29_g22187_DN1_SP0_c.t1
OG0000082	Np001G045200	CP14_g22602_DN1_SP0_c.t1
OG0000084	Np006G366020	CP16_g55090_DN3_SP0_c.t1, CP16_g55089_DN3_SP0_c.t1
OG0000085	Np007G397830	CP29_g22117_DN1_SP0_c.t1, CP29_g22118_DN1_SP0_c.t1, CP7_g44433_DN3_SP0_c.t1
OG0000087	Np001G010980	CP2_g48308_DN3_SP8_c.t1
OG0000087	Np006G350150, Np008G428160	CP4_g25793_DN3_SP8_c.t1
OG0000087	Np005G287050	CP2_g48035_DN3_SP7_c.t1
OG0000087	Np003G139100	CP11_g32707_DN3_SP8_c.t1
OG0000087	Np001G039930	CP13_g20168_DN3_SP8_c.t1
OG0000087	Np005G287110	CP6_g6768_DN3_SP8_c.t1
OG0000087	Np002G077440	CP9_g29223_DN3_SP8_c.t1
OG0000090	Np004G235330	CP7_g45746_DN3_SP0_c.t1
OG0000090	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600	CP1_g38197_DN2_SP0_c.t1, CP1_g38202_DN3_SP0_c.t1
OG0000090	Np007G389920	CP17_g5790_DN3_SP0_c.t1
OG0000091	Np003G165480	CP18_g12036_DN3_SP0_c.t1
OG0000093	Np001G063230	CP3_g13515_DN3_SP0_c.t1
OG0000093	Np001G005730	CP3_g14024_DN3_SP0_c.t1
OG0000093	Np001G063220	CP5_g3286_DN3_SP0_c.t1, CP37_g11362_DN3_SP0_c.t1, CP5_g3308_DN1_SP0_c.t1, CP5_g3309_DN3_SP0_c.t1, CP37_g11347_DN2_SP0_c.t1
OG0000096	Np002G112160	CP2_g49683_DN2_SP0_c.t1
OG0000096	Np001G024770	CP13_g19516_DN3_SP0_c.t1
OG0000096	Np001G038620	CP13_g20085_DN3_SP0_c.t1
OG0000096	Np001G038140	CP13_g20039_DN3_SP0_c.t1
OG0000096	Np001G038130	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1
OG0000096	Np002G112600	CP2_g49677_DN1_SP0_c.t1
OG0000098	Np002G116580	CP2_g49022_DN2_SP0_c.t1, CP2_g49230_DN2_SP0_c.t1
OG0000100	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190	CP15_g35834_DN3_SP0_c.t1
OG0000100	Np004G233090, Np003G158140	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000100	Np002G083340	CP12_g31136_DN1_SP0_c.t1
OG0000100	Np002G096510, Np006G363460, Np004G259020, Np011G435850, Np006G344690, Np005G295460, Np001G055900, Np002G095400, Np002G090410, Np006G338280, Np002G087790, Np005G308750, Np006G327840, Np004G233160, Np006G345130, Np006G360420, Np005G260470	CP8_g52256_DN3_SP0_c.t1
OG0000101	Np002G111340	CP2_g48894_DN3_SP0_c.t1
OG0000101	Np004G206440	CP2_g49326_DN3_SP0_c.t1
OG0000102	Np006G343540	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1
OG0000102	Np006G343550	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1
OG0000102	Np002G095410	CP6_g8261_DN3_SP0_c.t1, CP14_g23887_DN2_SP0_c.t1
OG0000102	Np001G022480	CP21_g10523_DN3_SP0_c.t1, CP18_g12134_DN2_SP0_c.t1, CP14_g23880_DN1_SP0_c.t1, CP14_g23888_DN2_SP0_c.t1, CP3_g15486_DN2_SP0_c.t1, CP12_g31694_DN2_SP0_c.t1, CP13_g20643_DN1_SP0_c.t1, CP4_g26798_DN1_SP0_c.t1, CP3_g16300_DN1_SP0_c.t1, CP4_g26225_DN1_SP0_c.t1
OG0000104	Np006G360060	CP4_g25846_DN3_SP0_c.t1
OG0000104	Np006G360090	CP4_g25844_DN3_SP0_c.t1
OG0000107	Np007G398440, Np007G418450	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1
OG0000107	Np005G305610	CP6_g8709_DN3_SP0_c.t1
OG0000108	Np002G099090, Np002G099030, Np002G099040	CP2_g48438_DN1_SP0_c.t1
OG0000108	Np007G389900	CP17_g5784_DN1_SP0_c.t1
OG0000109	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320	CP26_g51159_DN1_SP0_c.t1, CP9_g27951_DN2_SP0_c.t1, CP3_g16738_DN1_SP0_c.t1, CP5_g3314_DN2_SP0_c.t1
OG0000109	Np006G352360	CP1_g38486_DN2_SP0_c.t1
OG0000110	Np001G064490	CP3_g13458_DN3_SP0_c.t1
OG0000113	Np002G089320	CP2_g50540_DN2_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1
OG0000113	Np003G145910	CP12_g31635_DN1_SP0_c.t1
