Orthogroup	Noccaea_praecox	Euclidium_syriacum
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010, Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000019	Np001G027630	ESY24_g33175_DN3_SP0_c2.t1
OG0000019	Np001G027620	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1
OG0000019	Np004G239770, Np007G405080, Np001G027610	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1
OG0000021	Np005G303890	ESY9_g45027_DN2_SP0_c0.t1, ESY10_g13998_DN2_SP0_c0.t1
OG0000021	Np004G199140	ESY8_g60366_DN2_SP0_c0.t1, ESY4_g24688_DN1_SP0_c0.t1
OG0000021	Np007G402490, Np003G147560	ESY9_g43536_DN2_SP0_c0.t1
OG0000023	Np005G283900	ESY23_g74_DN3_SP0_c34.t1
OG0000023	Np005G284010	ESY7_g17001_DN1_SP0_c0.t1, ESY9_g42607_DN2_SP0_c68.t1, ESY9_g42764_DN3_SP0_c0.t1
OG0000024	Np003G178520, Np008G426040, Np002G105750, Np001G043400, Np004G229320, Np006G346780, Np002G096560, Np007G405450, Np009G429280, Np002G092500, Np002G100170, Np001G029650, Np002G091590, Np007G393480, Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770	ESY6_g47516_DN2_SP0_c0.t1
OG0000025	Np003G164310	ESY3_g32269_DN2_SP0_c54.t1
OG0000025	Np003G183240	ESY7_g18156_DN1_SP0_c46.t1
OG0000026	Np006G354460, Np002G101380, Np004G216210, Np003G172690, Np003G171320, Np006G365240	ESY1_g10661_DN2_SP0_c99.t1
OG0000027	Np004G198060, Np004G198040	ESY1_g12041_DN3_SP0_c0.t1, ESY7_g16494_DN2_SP0_c0.t1, ESY2_g33352_DN2_SP0_c0.t1, ESY2_g33350_DN2_SP0_c0.t1, ESY8_g58334_DN1_SP0_c0.t1, ESY1_g11290_DN3_SP0_c0.t1, ESY7_g19344_DN3_SP0_c0.t1, ESY12_g51878_DN2_SP0_c0.t1, ESY12_g51910_DN2_SP0_c0.t1, ESY12_g51907_DN2_SP0_c40.t1
OG0000028	Np003G168060	ESY1_g6329_DN2_SP0_c0.t1
OG0000028	Np006G356860	ESY10_g14733_DN2_SP0_c0.t1
OG0000029	Np001G054440, Np004G209620, Np002G086870, Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900, Np002G073630, Np002G090000, Np003G169850, Np001G030650, Np001G034960, Np004G225420, Np001G003630, Np001G034950, Np003G172500, Np002G113330, Np005G304980, Np001G058950, Np007G394270, Np003G168210, Np003G168320, Np002G095530, Np004G242790, Np003G126680, Np003G167270, Np003G172510	ESY13_g57677_DN1_SP0_c0.t1
OG0000035	Np002G092640	ESY8_g58304_DN1_SP0_c0.t1
OG0000035	Np006G356560	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1, ESY5_g4613_DN3_SP0_c0.t1, ESY2_g34022_DN3_SP0_c0.t1
OG0000035	Np005G313520	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g10653_DN1_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1, ESY5_g5237_DN2_SP0_c0.t1, ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1, ESY1_g12276_DN2_SP0_c0.t1, ESY1_g11583_DN2_SP0_c0.t1, ESY1_g11577_DN1_SP0_c0.t1, ESY1_g12282_DN1_SP0_c0.t1, ESY1_g12273_DN2_SP0_c0.t1, ESY5_g5194_DN3_SP0_c0.t1, ESY5_g5166_DN1_SP0_c0.t1, ESY1_g12294_DN3_SP0_c0.t1, ESY1_g12295_DN2_SP0_c0.t1, ESY1_g12145_DN1_SP0_c0.t1
OG0000036	Np006G342180, Np004G233440, Np005G260660	ESY15_g65727_DN2_SP0_c85.t1
OG0000037	Np001G045190, Np001G010230, Np005G278320, Np002G088180, Np002G110300, Np005G302190, Np006G359940	ESY21_g55396_DN1_SP0_c0.t1
OG0000038	Np004G226960, Np002G071800, Np001G060270, Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000040	Np001G009070	ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1
OG0000040	Np004G224970, Np004G224940	ESY3_g30317_DN3_SP0_c0.t1, ESY2_g38589_DN3_SP0_c0.t1, ESY3_g30319_DN3_SP0_c0.t1, ESY7_g17512_DN3_SP0_c0.t1, ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1, ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1, ESY9_g42572_DN2_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1, ESY3_g30284_DN2_SP0_c0.t1, ESY3_g30320_DN1_SP0_c0.t1
OG0000040	Np007G407000	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1
OG0000040	Np004G224990	ESY9_g42515_DN2_SP0_c0.t1, ESY9_g42498_DN1_SP0_c0.t1
OG0000041	Np003G171490, Np002G100930	ESY8_g58625_DN1_SP0_c0.t1
OG0000041	Np006G346660, Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000042	Np007G420820	ESY7_g16531_DN2_SP0_c0.t1, ESY7_g17207_DN1_SP0_c0.t1
OG0000042	Np001G027800	ESY9_g43776_DN1_SP0_c0.t1, ESY8_g60365_DN2_SP0_c0.t1, ESY21_g55833_DN2_SP0_c0.t1
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	ESY5_g2589_DN3_SP0_c0.t1, ESY14_g21426_DN1_SP0_c0.t1
OG0000045	Np006G334530	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1
OG0000045	Np007G389140	ESY5_g789_DN1_SP0_c0.t1
OG0000046	Np005G313240	ESY4_g26383_DN3_SP0_c53.t1
OG0000047	Np005G282680	ESY3_g28898_DN3_SP0_c0.t1
OG0000050	Np002G095340	ESY1_g11365_DN3_SP0_c59.t1, ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1
OG0000050	Np002G094900, Np002G093590, Np001G040200, Np007G402160	ESY11_g52398_DN3_SP0_c0.t1, ESY9_g43856_DN2_SP0_c0.t1
OG0000050	Np002G095850	ESY17_g40168_DN2_SP0_c0.t1
OG0000050	Np002G095350	ESY14_g20664_DN3_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1
OG0000050	Np002G099150	ESY1_g8354_DN1_SP0_c0.t1, ESY14_g20663_DN3_SP0_c36.t1, ESY9_g44156_DN3_SP0_c0.t1
OG0000052	Np007G384340	ESY5_g5128_DN3_SP0_c0.t1
OG0000052	Np006G328530, Np006G328520	ESY5_g2704_DN3_SP0_c0.t1
OG0000052	Np002G116290, Np002G116590	ESY12_g51256_DN3_SP0_c0.t1
OG0000052	Np006G328590, Np006G328570, Np006G328580	ESY12_g51336_DN3_SP0_c0.t1
OG0000052	Np003G173020	ESY5_g2706_DN3_SP0_c11.t1
OG0000052	Np006G328480	ESY5_g2705_DN3_SP0_c0.t1
OG0000053	Np001G040210, Np005G311290, Np006G327430	ESY4_g22922_DN2_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY8_g60186_DN3_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1
OG0000054	Np004G255790	ESY5_g2306_DN3_SP0_c0.t1
OG0000055	Np005G313590	ESY3_g31686_DN3_SP0_c0.t1
OG0000055	Np002G119400	ESY2_g33665_DN2_SP0_c0.t1
OG0000055	Np002G119520, Np002G119220, Np002G119170	ESY2_g33762_DN3_SP0_c0.t1, ESY2_g33775_DN1_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660	ESY9_g44874_DN3_SP0_c0.t1
OG0000057	Np007G419120, Np007G419160, Np005G285180	ESY2_g35556_DN3_SP0_c0.t1
OG0000057	Np007G375320	ESY3_g29813_DN1_SP0_c0.t1, ESY16_g61649_DN2_SP0_c0.t1, ESY2_g35559_DN2_SP0_c0.t1, ESY8_g59290_DN2_SP0_c0.t1
OG0000057	Np007G398210, Np010G435080, Np007G401600	ESY16_g61911_DN3_SP0_c0.t1, ESY3_g30616_DN3_SP0_c0.t1, ESY3_g30019_DN2_SP0_c0.t1
OG0000057	Np005G317510, Np005G317540	ESY10_g15079_DN3_SP0_c0.t1, ESY9_g43255_DN3_SP0_c0.t1
OG0000057	Np006G333600, Np006G333860, Np003G187520	ESY2_g35826_DN2_SP0_c0.t1
OG0000058	Np001G038390, Np006G352050, Np005G294870	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1
OG0000058	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1
OG0000058	Np006G359650	ESY10_g14358_DN2_SP0_c0.t1
OG0000058	Np001G034450	ESY10_g14330_DN1_SP0_c0.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY1_g8607_DN1_SP0_c0.t1
OG0000061	Np005G260230	ESY1_g11506_DN2_SP0_c0.t1, ESY9_g43347_DN2_SP0_c0.t1, ESY9_g45318_DN3_SP0_c0.t1, ESY5_g1202_DN3_SP0_c0.t1, ESY1_g8230_DN3_SP0_c0.t1
OG0000062	Np004G215190, Np007G396290, Np004G225350, Np003G166860, Np003G173970, Np003G170000, Np004G205130, Np004G215200, Np004G229630	ESY8_g59723_DN2_SP0_c0.t1
OG0000063	Np006G337020	ESY5_g4491_DN3_SP0_c0.t1
OG0000063	Np003G152670, Np004G251810	ESY5_g4464_DN2_SP0_c0.t1
OG0000063	Np005G306870	ESY6_g48855_DN3_SP0_c0.t1, ESY1_g11061_DN3_SP0_c0.t1
OG0000063	Np003G152310	ESY6_g48809_DN3_SP0_c0.t1
OG0000064	Np005G260880	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1
OG0000064	Np001G036990	ESY2_g33369_DN2_SP0_c0.t1
OG0000064	Np004G235840	ESY2_g34030_DN3_SP0_c0.t1
OG0000065	Np008G425980, Np003G168940, Np007G400220, Np006G346550, Np009G430200, Np011G436850, Np011G436620, Np001G030910, Np008G425970, Np008G426420, Np011G436540, Np006G346420, Np005G295220, Np006G346530, Np008G428560, Np008G428010	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	Np005G262320	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	Np003G136700	ESY7_g18023_DN3_SP0_c0.t1
OG0000066	Np003G136710	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1
OG0000067	Np003G134720, Np001G055610	ESY2_g35387_DN3_SP0_c0.t1
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140	ESY2_g35389_DN2_SP0_c0.t1
OG0000068	Np004G231130, Np004G230610, Np005G282940, Np004G225640, Np002G089430, Np002G107610, Np007G393060, Np004G208790, Np004G229970	ESY9_g44160_DN2_SP0_c0.t1
OG0000068	Np003G152860, Np004G247010, Np001G023980, Np002G112070, Np007G393050, Np002G095360, Np006G328420, Np002G104000	ESY10_g13892_DN3_SP0_c0.t1
OG0000069	Np003G152400	ESY4_g24685_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1, ESY1_g10476_DN2_SP0_c0.t1, ESY6_g48384_DN1_SP0_c0.t1, ESY5_g3765_DN2_SP0_c0.t1, ESY4_g22225_DN3_SP0_c0.t1
OG0000069	Np001G024920, Np005G293790	ESY16_g62306_DN2_SP0_c0.t1, ESY7_g16953_DN1_SP0_c0.t1
OG0000070	Np002G101130, Np009G431140	ESY1_g9010_DN1_SP0_c0.t1
OG0000070	Np002G099060	ESY1_g8220_DN1_SP0_c0.t1
OG0000071	Np003G163260	ESY3_g29783_DN3_SP0_c6.t1
OG0000071	Np001G013290	ESY4_g24957_DN2_SP0_c25.t1
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000072	Np001G034150	ESY9_g44457_DN2_SP0_c0.t1
OG0000074	Np004G230020	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1
OG0000074	Np004G229960	ESY5_g5206_DN2_SP0_c0.t1, ESY5_g5161_DN3_SP0_c0.t1
OG0000074	Np003G180910, Np003G184200	ESY11_g54934_DN3_SP0_c0.t1
OG0000075	Np003G136640	ESY7_g18015_DN2_SP0_c0.t1
OG0000075	Np007G378600	ESY7_g17448_DN2_SP0_c0.t1, ESY5_g3636_DN2_SP0_c0.t1, ESY1_g12309_DN1_SP0_c0.t1, ESY2_g34553_DN3_SP0_c0.t1, ESY1_g10852_DN3_SP0_c0.t1, ESY1_g10851_DN1_SP0_c0.t1, ESY2_g33446_DN1_SP0_c0.t1, ESY7_g18509_DN3_SP0_c0.t1, ESY10_g14596_DN3_SP0_c0.t1, ESY1_g10447_DN3_SP0_c0.t1
OG0000075	Np004G233640	ESY3_g31328_DN1_SP0_c0.t1
OG0000076	Np007G423950	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	ESY4_g26050_DN2_SP0_c0.t1, ESY4_g26064_DN2_SP0_c0.t1, ESY8_g60767_DN2_SP0_c0.t1, ESY1_g11598_DN2_SP0_c38.t1, ESY3_g32315_DN3_SP0_c83.t1, ESY3_g32312_DN1_SP0_c66.t1, ESY3_g32310_DN2_SP0_c12.t1, ESY4_g26388_DN2_SP0_c0.t1, ESY3_g29359_DN2_SP0_c0.t1, ESY4_g26321_DN2_SP0_c0.t1, ESY11_g54274_DN2_SP0_c0.t1, ESY5_g5287_DN2_SP0_c0.t1, ESY4_g26100_DN2_SP0_c0.t1, ESY1_g11905_DN1_SP0_c0.t1, ESY1_g11906_DN1_SP0_c0.t1
OG0000077	Np007G386290	ESY12_g52268_DN2_SP0_c19.t1
OG0000077	Np005G261720	ESY5_g3131_DN2_SP0_c0.t1, ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY8_g60740_DN3_SP0_c0.t1
OG0000078	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660	ESY13_g56185_DN2_SP0_c0.t1
OG0000078	Np002G086990, Np002G097240, Np002G092810	ESY9_g43985_DN3_SP0_c0.t1
OG0000080	Np003G179540, Np002G124540	ESY3_g29585_DN1_SP0_c98.t1
OG0000080	Np005G318150, Np005G318140	ESY10_g14355_DN2_SP0_c0.t1
OG0000081	Np001G010770	ESY3_g32181_DN3_SP0_c0.t1
OG0000082	Np005G302180	ESY11_g54439_DN1_SP0_c0.t1, ESY16_g62439_DN1_SP0_c0.t1, ESY24_g33022_DN1_SP0_c64.t1, ESY13_g57896_DN2_SP0_c0.t1, ESY2_g37207_DN1_SP0_c0.t1, ESY6_g48122_DN1_SP0_c0.t1, ESY11_g53255_DN2_SP0_c0.t1, ESY14_g19850_DN1_SP0_c100.t1
OG0000084	Np006G365060, Np006G365040	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000087	Np001G010980	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	Np006G350150, Np008G428160	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	Np003G139100	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	Np001G039930	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	Np005G287110	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	Np002G077440	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600	ESY2_g37886_DN2_SP0_c0.t1, ESY2_g37816_DN3_SP0_c0.t1
OG0000090	Np007G385680, Np001G065320, Np001G065030	ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1
OG0000090	Np007G389920	ESY10_g14297_DN3_SP0_c35.t1
OG0000091	Np003G165480	ESY21_g55841_DN2_SP0_c0.t1, ESY4_g25923_DN2_SP0_c0.t1, ESY5_g659_DN1_SP0_c0.t1
OG0000093	Np001G063230	ESY1_g11462_DN3_SP0_c0.t1
OG0000093	Np001G005730	ESY1_g11458_DN3_SP0_c0.t1, ESY1_g11494_DN3_SP0_c0.t1, ESY1_g10742_DN3_SP0_c0.t1
OG0000093	Np005G317970	ESY16_g61546_DN3_SP0_c0.t1
OG0000093	Np001G063220	ESY1_g11459_DN3_SP0_c0.t1
OG0000096	Np001G024770	ESY7_g18827_DN2_SP0_c0.t1
OG0000096	Np002G112530	ESY7_g16698_DN1_SP0_c0.t1
OG0000097	Np003G184990	ESY7_g16525_DN2_SP0_c0.t1
OG0000097	Np003G185010	ESY7_g16536_DN3_SP0_c0.t1
OG0000097	Np003G171600	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1
OG0000098	Np002G116580	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1
OG0000099	Np002G123560, Np004G228320	ESY2_g33425_DN2_SP0_c0.t1
OG0000099	Np002G112400	ESY2_g33422_DN3_SP0_c0.t1
OG0000099	Np002G123530, Np004G215470	ESY10_g15601_DN1_SP0_c0.t1
OG0000099	Np007G403720	ESY2_g37232_DN2_SP0_c27.t1
OG0000101	Np002G123720, Np002G111340, Np002G122780, Np002G122800, Np002G123360, Np004G206440, Np002G123180	ESY1_g11939_DN1_SP0_c0.t1
OG0000102	Np006G343540, Np006G343550, Np005G313300, Np007G377750, Np002G095410, Np001G022480	ESY17_g40075_DN1_SP0_c10.t1
OG0000104	Np006G360100	ESY8_g58834_DN3_SP0_c19.t1
OG0000104	Np004G195160	ESY2_g37202_DN3_SP0_c14.t1
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	ESY6_g49250_DN3_SP0_c0.t1
OG0000106	Np007G372640	ESY6_g49252_DN1_SP0_c0.t1
OG0000107	Np007G398440, Np007G418450, Np007G398420, Np005G313740, Np007G380680, Np005G305610	ESY4_g23035_DN3_SP0_c29.t1
OG0000108	Np001G011650, Np001G011550	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1
OG0000108	Np007G379350	ESY16_g62256_DN3_SP0_c0.t1, ESY8_g58377_DN1_SP0_c0.t1, ESY8_g58376_DN2_SP0_c0.t1, ESY8_g58375_DN1_SP0_c0.t1
OG0000108	Np007G389900	ESY6_g50064_DN2_SP0_c0.t1, ESY7_g16092_DN2_SP0_c0.t1, ESY7_g16160_DN2_SP0_c0.t1
OG0000108	Np004G259470	ESY11_g53834_DN2_SP0_c0.t1
OG0000108	Np001G011560	ESY7_g18472_DN3_SP0_c0.t1
OG0000109	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320	ESY2_g36671_DN2_SP0_c0.t1, ESY4_g24790_DN3_SP0_c0.t1, ESY2_g35989_DN3_SP0_c0.t1, ESY7_g17919_DN1_SP0_c0.t1, ESY26_g42317_DN1_SP0_c0.t1, ESY3_g30048_DN2_SP0_c0.t1, ESY6_g47216_DN3_SP0_c0.t1, ESY6_g48406_DN3_SP0_c0.t1, ESY8_g60387_DN3_SP0_c0.t1
OG0000111	Np001G006010	ESY20_g12773_DN2_SP0_c0.t1
OG0000111	Np006G327310, Np005G313700, Np005G313670, Np005G313690	ESY6_g48238_DN1_SP0_c0.t1
OG0000112	Np003G184320	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000113	Np002G122980	ESY5_g2214_DN1_SP0_c94.t1
OG0000113	Np002G111010, Np002G123030, Np002G123100	ESY5_g1810_DN2_SP0_c0.t1
OG0000113	Np002G089300, Np002G089320	ESY16_g61595_DN1_SP0_c0.t1
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	ESY8_g58450_DN2_SP0_c0.t1, ESY6_g48234_DN3_SP0_c0.t1, ESY2_g37688_DN2_SP0_c0.t1
