Orthogroup	Noccaea_praecox	Arabidopsis_lyrata_NCBI
OG0000023	Np005G283730	XP_020873341.1
OG0000023	Np005G284120	XP_020873363.1, XP_020873728.1, XP_020873352.1
OG0000023	Np005G284010	XP_020877175.1
OG0000023	Np005G283870	XP_020873349.1
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	XP_020874131.1
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	XP_020875061.1, XP_020867892.1, XP_020867900.1, XP_020871243.1, XP_020880825.1
OG0000026	Np003G171320	XP_020872549.1, XP_020881073.1, XP_020879655.1
OG0000027	Np004G214870, Np005G271730, Np004G214850	XP_002893654.2
OG0000027	Np004G215070	XP_020888987.1
OG0000027	Np001G057950, Np001G057940	XP_002875716.2, XP_020879759.1, XP_020881113.1, XP_020879758.1
OG0000028	Np003G175100	XP_020888389.1
OG0000028	Np006G356860, Np002G105400, Np003G145220, Np003G175090	XP_020874443.1
OG0000029	Np004G209620, Np002G086870, Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900, Np002G073630, Np002G090000	XP_020889577.1
OG0000030	Np006G330890	XP_020876174.1, XP_020865828.1
OG0000031	Np004G244900	XP_020869316.1, XP_020869509.1, XP_020868327.1, XP_020870640.1, XP_020868325.1, XP_002885504.2, XP_020869508.1, XP_020870927.1
OG0000031	Np005G318980	XP_002868609.1
OG0000033	Np005G284050, Np005G284060	XP_002869784.2
OG0000033	Np005G283960, Np005G284080	XP_020873845.1, XP_020873368.1
OG0000033	Np005G284160	XP_020873356.1
OG0000034	Np001G040260, Np002G107010	XP_020890967.1
OG0000034	Np006G341510	XP_020879181.1, XP_020871751.1, XP_020880608.1, XP_020885775.1, XP_020881477.1, XP_020875416.1, XP_020870606.1, XP_020872315.1, XP_020876122.1, XP_020884761.1, XP_020873738.1, XP_020889950.1, XP_020879983.1
OG0000035	Np006G356560	XP_002864982.2
OG0000035	Np005G313520	XP_002879361.2, XP_002881223.2, XP_002894465.2, XP_020881568.1
OG0000036	Np005G260660	XP_020868066.1
OG0000036	Np006G342170, Np003G136960, Np002G107350, Np007G403810	XP_020877514.1
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	XP_020889818.1
OG0000038	Np007G415720	XP_020875890.1, XP_020878747.1
OG0000038	Np003G157800	XP_020871436.1, XP_020881621.1
OG0000038	Np005G270740, Np005G270650, Np005G270700	XP_020868786.1
OG0000038	Np003G165810	XP_020871435.1
OG0000038	Np005G318000	XP_002893374.1
OG0000039	Np002G110420	XP_020866750.1
OG0000040	Np001G009070	XP_002893415.1, XP_002890504.1, XP_002893432.1, XP_020866580.1
OG0000040	Np004G224970, Np004G224940	XP_020869589.1, XP_020885911.1
OG0000040	Np007G407000	XP_002884990.1, XP_002884981.1, XP_002884979.1
OG0000042	Np006G335330, Np006G369470	XP_020877174.1
OG0000042	Np001G027800	XP_020888726.1
OG0000042	Np004G191660	XP_020884682.1, XP_020887780.1
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	XP_020883604.1, XP_020876127.1, XP_020878672.1, XP_020882823.1, XP_020877149.1, XP_020879796.1, XP_020872313.1
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	XP_020885942.1, XP_020877131.1, XP_020871374.1
OG0000045	Np006G334530	XP_020890956.1, XP_020882438.1
OG0000045	Np002G098570, Np005G284990	XP_020872075.1
OG0000046	Np005G314650	XP_020872918.1, XP_020872917.1
OG0000046	Np005G313240	XP_020873883.1
OG0000046	Np005G292150	XP_020874378.1
OG0000046	Np005G313330	XP_020872272.1, XP_020874589.1
OG0000048	Np003G145480	XP_020877809.1, XP_020877808.1
OG0000048	Np003G145420	XP_020877811.1
OG0000048	Np003G145430, Np003G145400, Np003G145550	XP_020877807.1, XP_020877805.1
OG0000050	Np002G095850, Np002G095350, Np003G176510, Np002G107590	XP_020871212.1, XP_020876453.1
OG0000050	Np002G099150	XP_020886023.1, XP_020874814.1, XP_020871169.1, XP_020878799.1
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	XP_020868191.1
OG0000052	Np006G328530, Np006G328520	XP_020885498.1
OG0000052	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670	XP_002886390.1
OG0000052	Np002G116290, Np002G116590	XP_020883312.1
OG0000052	Np003G173020	XP_020883307.1
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	XP_020870695.1, XP_020879890.1, XP_020878851.1, XP_020881512.1, XP_020875242.1, XP_020874679.1, XP_020866756.1, XP_020876759.1, XP_020886057.1
OG0000053	Np001G008270, Np001G039230, Np003G166770	XP_020875483.1, XP_020876486.1
OG0000054	Np005G274000, Np001G042780, Np006G332680	XP_020884558.1
OG0000055	Np001G046730	XP_020880767.1
OG0000055	Np002G119410	XP_020889965.1
OG0000055	Np002G119400	XP_020868319.1
OG0000055	Np002G119520, Np002G119220, Np002G119170	XP_002888053.1, XP_020891223.1, XP_020891225.1
OG0000057	Np007G419120, Np007G419160, Np005G285180	XP_020883674.1
OG0000057	Np007G375320	XP_002862289.1, XP_020886512.1
OG0000057	Np007G392240, Np007G392300	XP_002885221.2
OG0000057	Np007G398210, Np010G435080, Np007G401600	XP_002888234.1, XP_020887245.1
OG0000057	Np005G317510, Np005G317540	XP_020877906.1
OG0000057	Np006G333600, Np006G333860, Np003G187520	XP_020889173.1
OG0000057	Np007G376470	XP_002883536.1, XP_020888450.1
OG0000062	Np003G173970, Np003G170000	XP_020866308.1, XP_020879729.1
OG0000064	Np005G260880	XP_020872718.1
OG0000066	Np005G262320	XP_020876760.1, XP_020875249.1, XP_020875248.1, XP_020891414.1, XP_020886001.1, XP_020877536.1, XP_020891413.1
OG0000066	Np003G136710	XP_002877046.2, XP_002873454.1, XP_020876762.1, XP_020867896.1, XP_002894648.1
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	XP_020889441.1, XP_020889396.1
OG0000067	Np003G144200	XP_002871317.2
OG0000068	Np004G231130, Np004G230610, Np005G282940	XP_020883599.1
OG0000068	Np002G089430	XP_020886028.1
OG0000068	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070	XP_020883624.1, XP_020891219.1, XP_020882782.1, XP_020872062.1, XP_020889582.1
OG0000071	Np001G008970, Np006G370520, Np003G157740	XP_020871478.1
OG0000071	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	XP_020889746.1
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	XP_020866785.1, XP_020884945.1, XP_020877184.1, XP_020882660.1, XP_020875736.1, XP_020882612.1, XP_020877271.1, XP_020890904.1, XP_020885842.1, XP_020888645.1, XP_020871279.1, XP_020881978.1, XP_020885342.1, XP_020865755.1, XP_002877246.2, XP_020872649.1
OG0000072	Np001G034150	XP_020882760.1
OG0000074	Np004G229890	XP_002893302.1
OG0000074	Np004G230030	XP_002893298.1
OG0000074	Np003G180910, Np003G184200	XP_020882929.1, XP_020870137.1
OG0000075	Np003G136640	XP_002871416.1
OG0000075	Np007G378600	XP_002889905.1, XP_002892766.1, XP_020869015.1, XP_020882023.1, XP_002880773.1, XP_020869549.1, XP_020867242.1
OG0000076	Np002G083960	XP_020881410.1, XP_020881406.1, XP_020881407.1
OG0000076	Np001G021860	XP_020882518.1, XP_020882260.1
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	XP_002874784.1
OG0000077	Np007G386290	XP_002891316.2, XP_002891313.1, XP_020875509.1
OG0000077	Np005G261710, Np006G360730	XP_002868913.1
OG0000077	Np005G261720	XP_002868917.2
OG0000078	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660	XP_002879052.1, XP_020866137.1, XP_002872380.1, XP_020876048.1, XP_002876861.2, XP_002886930.1, XP_002886934.1, XP_002865673.1, XP_002894139.1, XP_002886812.1, XP_002866863.2
OG0000079	Np001G064190	XP_020880521.1
OG0000079	Np007G389360	XP_020884444.1, XP_020880507.1
OG0000079	Np001G064140	XP_020880534.1
OG0000080	Np006G334220	XP_020877006.1, XP_020874913.1
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	XP_020867733.1
OG0000080	Np003G179540, Np002G124540	XP_020879494.1, XP_020878246.1
OG0000080	Np002G124500, Np002G124510	XP_020891333.1
OG0000080	Np005G278660	XP_020873461.1
OG0000080	Np005G318150, Np005G318140	XP_020885088.1
OG0000080	Np006G328080	XP_020874135.1
OG0000081	Np001G010770	XP_020888855.1
OG0000081	Np003G176780, Np003G176800, Np003G176750	XP_020878845.1
OG0000081	Np003G145640	XP_002871805.1, XP_002873867.1
OG0000082	Np001G045200	XP_020880759.1
OG0000083	Np007G418940	XP_020883055.1, XP_020882682.1, XP_020882656.1
OG0000084	Np006G365030, Np006G365010, Np006G365440, Np006G366050	XP_002880755.1, XP_002880625.1
OG0000084	Np006G365060, Np006G365040	XP_020884025.1
OG0000084	Np006G364950	XP_020884027.1
OG0000087	Np001G010980	XP_020879374.1
OG0000087	Np006G350150, Np008G428160	XP_020883550.1
OG0000087	Np005G287050	XP_020871804.1
OG0000087	Np003G139100	XP_002873559.1
OG0000087	Np001G039930	XP_002863588.1
OG0000087	Np005G287110	XP_020872103.1
OG0000087	Np002G077440	XP_020890671.1
OG0000088	Np001G038910, Np001G038970	XP_002880903.1
OG0000088	Np003G148700, Np003G148740	XP_020878730.1
OG0000088	Np001G052870	XP_002864053.1
OG0000089	Np003G136030	XP_020876820.1
OG0000089	Np006G329000	XP_002879966.1
OG0000089	Np007G409340	XP_020888275.1
OG0000090	Np004G235330	XP_002887052.2, XP_020885789.1, XP_002890373.1
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	XP_020891141.1
OG0000090	Np007G385680, Np001G065320, Np001G065030	XP_002867118.1
OG0000090	Np007G389920	XP_020867590.1
OG0000093	Np001G063230	XP_020880586.1
OG0000093	Np001G063180	XP_020880584.1
OG0000093	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	XP_020888995.1, XP_002883691.1, XP_002883689.2, XP_002883690.2
OG0000093	Np005G317970	XP_020880616.1
OG0000096	Np002G112160	XP_020891276.1
OG0000096	Np001G024770	XP_020881188.1, XP_020881582.1, XP_020880678.1
OG0000096	Np002G112010, Np002G112580	XP_002894680.1
OG0000096	Np001G038620	XP_020884560.1
OG0000096	Np002G092700	XP_020891534.1
OG0000097	Np003G184990	XP_002874842.1
OG0000097	Np003G185010	XP_002874852.1
OG0000097	Np003G171600	XP_020876465.1
OG0000097	Np003G185030	XP_002874844.1, XP_020877173.1, XP_020876443.1, XP_002874669.1, XP_002862572.1
OG0000098	Np002G116580	XP_020891049.1, XP_020888466.1, XP_020891221.1
OG0000099	Np002G123560, Np004G228320	XP_002886370.2
OG0000099	Np004G215640	XP_002872472.2, XP_002886369.2
OG0000099	Np002G112400	XP_020890360.1, XP_020890361.1, XP_020890692.1
OG0000101	Np002G122800	XP_020891501.1
OG0000101	Np002G123360	XP_020890843.1
OG0000101	Np004G206440	XP_002886645.1
OG0000101	Np002G123180	XP_020890033.1, XP_020866259.1, XP_002886080.1, XP_020868270.1
OG0000104	Np004G251930	XP_020870885.1
OG0000104	Np006G360060	XP_020883008.1
OG0000104	Np004G195160	XP_020866497.1
OG0000104	Np007G381330	XP_020886058.1
OG0000104	Np004G195150	XP_020870262.1
OG0000104	Np006G360090	XP_020882903.1
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	XP_002885251.1, XP_020886661.1, XP_020889300.1, XP_020886742.1, XP_002883180.1, XP_002884070.2
OG0000107	Np007G398420	XP_002883228.1
OG0000108	Np001G011650, Np001G011550	XP_002893476.1, XP_020869068.1, XP_020885549.1
OG0000108	Np007G389900	XP_020887764.1, XP_002883751.1, XP_002883752.1
OG0000108	Np004G259470	XP_020865728.1
OG0000109	Np003G183100, Np004G217760	XP_020866042.1
OG0000110	Np001G064490	XP_020880525.1
OG0000110	Np001G064470	XP_020880511.1
OG0000110	Np001G064510	XP_020879608.1
OG0000110	Np001G064520	XP_020879609.1
OG0000110	Np001G064450	XP_002870336.2, XP_020880503.1
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	XP_020871248.1, XP_020872039.1, XP_020873181.1, XP_020875462.1
OG0000111	Np001G006030	XP_020883459.1, XP_020871481.1
OG0000111	Np001G058370	XP_020880888.1
OG0000112	Np003G184320	XP_020868841.1, XP_020882864.1, XP_002878578.1, XP_002884106.1, XP_002879068.2, XP_002864712.1, XP_020883490.1, XP_002863574.1, XP_002863573.2, XP_020878125.1, XP_002863571.1, XP_020877257.1, XP_020871973.1, XP_020871983.1, XP_020877545.1, XP_020886106.1, XP_002864096.1
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	XP_020882165.1, XP_020881105.1, XP_020872551.1, XP_020877744.1
OG0000118	Np005G315460	XP_002875482.1
OG0000118	Np001G044480, Np005G313880	XP_002876201.1, XP_020865753.1
OG0000119	Np002G102980	XP_020866195.1, XP_002877435.1, XP_020876203.1, XP_002885691.1, XP_020877212.1
OG0000120	Np002G117060, Np002G116940	XP_002888121.2, XP_002886576.1
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	XP_020871775.1, XP_020872669.1, XP_020877424.1, XP_020890208.1, XP_020877244.1, XP_020881008.1, XP_020890264.1
OG0000120	Np003G129250	XP_020879779.1, XP_020879307.1, XP_020891752.1, XP_020880012.1
OG0000122	Np003G157840	XP_020865748.1
OG0000122	Np001G056320	XP_002864448.2
OG0000122	Np003G158000	XP_020879776.1
OG0000123	Np004G243210	XP_002877382.2
OG0000123	Np005G279480	XP_020873611.1
OG0000124	Np006G348530	XP_002878891.2
OG0000125	Np006G337140	XP_020885803.1
OG0000125	Np003G126800	XP_020887259.1, XP_002873061.1
OG0000125	Np003G151060	XP_002874101.1
OG0000125	Np003G152340	XP_020880863.1, XP_002864658.2, XP_020872447.1
OG0000125	Np006G359820	XP_002879182.1
OG0000127	Np003G125840	XP_002873028.1
OG0000127	Np007G413700	XP_020888516.1
OG0000127	Np007G413710	XP_020875867.1
OG0000127	Np002G096200	XP_020869185.1, XP_020869194.1, XP_020870924.1, XP_002862359.2
OG0000130	Np006G346500, Np002G110200, Np005G295250	XP_020889706.1, XP_020875326.1, XP_020875381.1, XP_020875419.1, XP_020875395.1, XP_020875390.1, XP_020885392.1, XP_020875372.1, XP_020878841.1, XP_020875346.1, XP_020875426.1, XP_020886307.1, XP_020891702.1
OG0000131	Np002G101800	XP_020885335.1
OG0000131	Np003G174400	XP_020871628.1, XP_020878269.1, XP_020886207.1
OG0000132	Np002G112470	XP_020871442.1, XP_020883597.1
OG0000133	Np005G308080, Np003G130350, Np003G153160	XP_020877519.1
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	XP_020866176.1, XP_020874182.1
OG0000136	Np002G086710	XP_020889890.1, XP_020889891.1, XP_020865653.1
OG0000136	Np005G312640	XP_002868825.1
OG0000137	Np005G318010	XP_020875630.1
OG0000138	Np002G085240, Np002G085270, Np002G085250	XP_020882530.1, XP_002875524.1
OG0000139	Np003G167980, Np006G368820, Np004G213800, Np003G179380, Np005G308690	XP_020875554.1
OG0000140	Np003G153340	XP_002864617.1
OG0000140	Np003G153440	XP_002863036.1, XP_020869408.1
OG0000140	Np003G153920	XP_020879394.1, XP_020870866.1, XP_020871535.1
OG0000140	Np003G153420	XP_020869658.1
OG0000140	Np003G153430, Np007G424390, Np003G153390	XP_020874639.1, XP_002864614.1
OG0000142	Np006G360490	XP_020885473.1, XP_020885474.1
OG0000146	Np003G160040	XP_002866093.1
OG0000146	Np003G160230	XP_020872008.1
OG0000146	Np003G160060, Np003G160140, Np003G160190	XP_020870474.1
OG0000146	Np003G160200	XP_002866092.1
OG0000146	Np003G159660	XP_020881819.1
OG0000147	Np007G373950	XP_020888881.1
OG0000147	Np005G273990	XP_020872380.1
OG0000147	Np003G156060	XP_020870964.1
OG0000147	Np002G071170	XP_020890865.1
OG0000147	Np001G043050	XP_020882578.1
OG0000147	Np007G389960	XP_020889051.1
OG0000149	Np001G046040	XP_002875779.1
OG0000149	Np001G046110	XP_002875778.1
OG0000149	Np003G152730	XP_020871263.1
OG0000149	Np003G152700	XP_020871256.1
OG0000149	Np003G152680	XP_020871259.1
OG0000149	Np001G046030	XP_002877482.1
OG0000150	Np003G156160, Np003G156150, Np003G183630	XP_020886449.1
OG0000150	Np001G049320	XP_020876007.1
OG0000151	Np003G164170	XP_002865968.1
OG0000151	Np005G277020	XP_002867477.1
OG0000151	Np007G376880	XP_020888018.1
OG0000151	Np003G158280	XP_020891046.1
OG0000151	Np002G123910	XP_002887912.1
OG0000154	Np002G086500	XP_002891955.2
OG0000154	Np004G240190	XP_020867554.1
OG0000154	Np007G408850	XP_002884912.1
OG0000154	Np007G413420	XP_002884737.1
OG0000154	Np003G126710	XP_002873056.1
OG0000154	Np003G126700, Np003G127150, Np002G112020	XP_002873055.1
OG0000155	Np004G218540	XP_020873274.1
OG0000155	Np005G287960	XP_002867852.2
OG0000155	Np007G409550	XP_020888268.1
OG0000155	Np005G287400, Np007G412670	XP_020876400.1
OG0000156	Np001G066790	XP_002878356.2
OG0000157	Np007G422190, Np007G422180	XP_020887711.1
OG0000157	Np006G338300	XP_020888665.1
OG0000157	Np002G078620	XP_002888470.1, XP_020891300.1, XP_020877537.1
OG0000158	Np005G286690, Np005G286640, Np003G129260	XP_020873567.1, XP_020873647.1, XP_002869930.1
OG0000158	Np001G070050	XP_020872404.1
OG0000158	Np001G048650, Np001G049230, Np001G050690, Np005G295650	XP_020883421.1
OG0000158	Np002G081170	XP_002879471.2
OG0000161	Np001G008600	XP_020889363.1, XP_020884859.1, XP_020885823.1, XP_002879145.1
OG0000161	Np005G311810	XP_020890883.1
OG0000161	Np002G086610	XP_020890882.1
OG0000162	Np006G363910	XP_020884667.1
OG0000162	Np002G116280	XP_020891301.1
OG0000162	Np006G324990	XP_020884580.1
OG0000164	Np005G275210	XP_002869435.1
OG0000164	Np004G198520	XP_002886688.1, XP_020879009.1, XP_020879174.1, XP_002872307.1
OG0000166	Np003G159070	XP_020890626.1
OG0000167	Np005G289610	XP_020872090.1
OG0000167	Np004G243920, Np002G111260	XP_020872595.1, XP_020872600.1, XP_020872360.1
OG0000167	Np004G202230	XP_002869981.2
OG0000167	Np005G289670	XP_020872359.1
OG0000169	Np002G113130	XP_020890783.1
OG0000171	Np002G116080, Np004G248080	XP_002892585.1
OG0000171	Np003G141590	XP_002871626.1
OG0000172	Np001G064170	XP_020880319.1
OG0000172	Np001G064130	XP_020880563.1
OG0000175	Np002G077280	XP_002887616.1
OG0000175	Np004G235400	XP_020870471.1
OG0000175	Np007G376890	XP_002869113.1
OG0000175	Np005G267520	XP_020873047.1
OG0000176	Np005G310450, Np005G310750, Np005G310470	XP_020866682.1
OG0000180	Np005G291290, Np005G292670, Np005G292680, Np005G291280	XP_020887402.1
OG0000180	Np006G370740, Np006G370680	XP_020880445.1
OG0000185	Np001G050930, Np001G052490	XP_020883678.1
OG0000186	Np004G215560, Np002G108280	XP_020888446.1
OG0000186	Np007G388260	XP_020872581.1
OG0000186	Np006G361310	XP_020885553.1
OG0000186	Np005G292910, Np001G026290	XP_020866698.1, XP_020866699.1, XP_020889780.1
OG0000186	Np002G117100	XP_020871399.1, XP_020882685.1
OG0000186	Np004G219150	XP_020871413.1
OG0000187	Np005G271520	XP_020875226.1
OG0000187	Np005G271420	XP_002867283.1
OG0000189	Np005G262130	XP_002868934.1
OG0000189	Np001G019990	XP_002866926.1, XP_020872385.1, XP_020874945.1
OG0000190	Np003G183500	XP_002872696.1
OG0000190	Np003G183510	XP_020877648.1
OG0000190	Np003G183410, Np003G183480	XP_002872697.1
OG0000191	Np007G388820, Np003G178870	XP_020867288.1, XP_002892679.1
OG0000191	Np007G391150, Np007G391080	XP_002885155.2
OG0000192	Np002G086820, Np007G389770, Np002G076020	XP_020877970.1, XP_020869475.1
OG0000193	Np007G384080, Np007G384380, Np007G387690	XP_020889511.1
OG0000193	Np007G380880	XP_020886753.1
OG0000193	Np007G381040, Np007G381000	XP_020888465.1, XP_020886358.1
OG0000195	Np006G361540	XP_002879035.1
OG0000195	Np005G312480	XP_002870564.1, XP_002888498.1
OG0000196	Np004G214150, Np004G214340, Np003G165450	XP_020870365.1, XP_020870362.1
OG0000196	Np004G254380	XP_020870343.1
OG0000196	Np004G212030	XP_020867608.1
OG0000196	Np003G165460	XP_020870363.1
OG0000196	Np004G254390	XP_020870342.1
OG0000197	Np002G087170	XP_020887839.1
OG0000197	Np003G167690	XP_020873037.1, XP_020875518.1, XP_020874171.1
OG0000200	Np004G217530	XP_020869614.1
OG0000200	Np004G254580	XP_002877687.1, XP_020871709.1
OG0000201	Np007G379560	XP_002885573.2
OG0000203	Np007G420270	XP_020874302.1
OG0000203	Np007G420280, Np004G195540	XP_020888830.1
OG0000203	Np007G420850	XP_002884435.1
OG0000204	Np005G302460, Np006G366470	XP_020881383.1
OG0000204	Np007G381450	XP_002885438.2
OG0000205	Np004G252280	XP_002877168.1, XP_020883925.1, XP_020887101.1, XP_002876846.1, XP_002876844.2, XP_020879732.1, XP_002876845.1, XP_002876847.2, XP_020888594.1, XP_002894039.2
OG0000205	Np001G056450, Np004G200620, Np004G227010	XP_020868436.1, XP_002894040.2
OG0000205	Np004G227020, Np004G200770	XP_020883080.1
OG0000207	Np002G073040	XP_020889768.1
OG0000207	Np002G073080	XP_020890466.1
OG0000207	Np002G073110, Np002G073100	XP_020867452.1
OG0000209	Np002G123950	XP_020890821.1
OG0000209	Np002G123960, Np002G123970	XP_020890819.1, XP_020890820.1
OG0000209	Np002G124020	XP_020866701.1
OG0000209	Np002G123940, Np002G091400	XP_020874287.1, XP_020874916.1, XP_020874288.1, XP_020874285.1
OG0000210	Np001G024460	XP_020881030.1
OG0000210	Np006G357820	XP_002879439.1, XP_002879438.1
OG0000213	Np005G312500	XP_020887377.1
OG0000213	Np006G368000	XP_020884044.1
OG0000214	Np007G375860	XP_020891504.1
OG0000214	Np003G186320, Np003G186260	XP_020879031.1, XP_020876166.1, XP_020876211.1, XP_020889753.1, XP_020877177.1, XP_020876186.1, XP_020877218.1
OG0000216	Np005G286040, Np005G286010, Np005G285980, Np005G286120, Np005G286080	XP_020872571.1
OG0000216	Np004G202700, Np005G274080, Np005G314870	XP_002869836.1
OG0000216	Np006G361190	XP_020873572.1, XP_020873565.1
OG0000218	Np004G241490	XP_002892838.1, XP_020869981.1
OG0000218	Np004G241460	XP_020869449.1
OG0000218	Np006G363350, Np003G174250	XP_020869542.1
OG0000218	Np005G283350	XP_020882067.1
OG0000218	Np001G027320	XP_002870338.1
OG0000218	Np001G027310	XP_020881007.1, XP_002875203.1, XP_002875076.1
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	XP_020877374.1, XP_002862247.1, XP_020871092.1
OG0000219	Np001G006200, Np001G008160, Np001G006180	XP_002864257.1, XP_002864258.1
OG0000220	Np003G158780	XP_020881811.1, XP_020882021.1
OG0000224	Np002G121630, Np002G121680, Np002G121650, Np002G121690	XP_002887975.1, XP_002887974.1
OG0000225	Np004G212520	XP_020867501.1, XP_020867503.1, XP_020867504.1
OG0000225	Np004G212510	XP_020867502.1
OG0000226	Np001G068820, Np001G002660, Np001G003000	XP_002876919.1, XP_020869863.1
OG0000226	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340	XP_020886010.1, XP_020871016.1, XP_020867770.1, XP_020866285.1, XP_002890779.1, XP_002886961.1
OG0000228	Np004G230940	XP_002874413.1, XP_002872296.1
OG0000228	Np002G084530	XP_020891767.1, XP_020872592.1, XP_002888798.1
OG0000229	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980	XP_020874322.1, XP_020874320.1, XP_020877798.1, XP_002871796.1, XP_020874321.1
OG0000229	Np007G377500, Np007G377590, Np006G330770	XP_002891717.1
OG0000230	Np002G077370	XP_002891933.1
OG0000230	Np002G077290	XP_020891373.1
OG0000231	Np003G174440	XP_020873122.1
OG0000231	Np004G203320	XP_020889985.1, XP_020872464.1, XP_020891116.1
OG0000232	Np006G352410, Np006G352420	XP_020886550.1, XP_020887062.1, XP_020888212.1, XP_020888528.1, XP_020888649.1, XP_020877841.1, XP_020886582.1
OG0000234	Np001G058680	XP_002878017.1
OG0000234	Np001G058670	XP_002878016.1
