Orthogroup	Noccaea_praecox	Alyssum_gmelinii
OG0000040	Np004G224970, Np004G224940	Ag005G483190
OG0000040	Np007G407000	Ag002G192690, Ag002G188830
OG0000040	Np004G224990	Ag007G626240, Ag005G483200, Ag002G109870
OG0000041	Np006G342650	Ag003G296430, Ag003G296390, Ag008G683020
OG0000041	Np003G171490, Np002G100930	Ag003G251790
OG0000041	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960
OG0000042	Np004G191660	Ag008G683730, Ag007G637230, Ag001G051650, Ag008G718640, Ag005G442270
OG0000042	Np006G336410	Ag002G176270
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	Ag006G512870, Ag001G054960
OG0000045	Np006G334530	Ag005G474590, Ag005G450900, Ag005G424570
OG0000045	Np002G098570, Np005G284990, Np007G389140	Ag002G197550, Ag008G703200
OG0000046	Np005G292150, Np005G292140	Ag006G575430
OG0000046	Np007G386460	Ag002G197360
OG0000048	Np007G421470	Ag005G486620, Ag005G486520
OG0000050	Np002G095340	Ag007G641850
OG0000050	Np002G094900, Np002G093590, Np001G040200, Np007G402160	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630
OG0000050	Np002G095850	Ag006G561100
OG0000052	Np004G255200	Ag004G301370
OG0000052	Np007G384340	Ag004G301320
OG0000052	Np006G328530, Np006G328520	Ag002G195160, Ag002G194240, Ag002G194190
OG0000052	Np006G328590, Np006G328570, Np006G328580	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060
OG0000052	Np003G173020	Ag002G194410, Ag002G194400, Ag002G194390
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	Ag003G279130
OG0000053	Np001G040210, Np005G311290, Np006G327430	Ag006G525960
OG0000055	Np002G119230	Ag004G377140
OG0000055	Np002G119520, Np002G119220, Np002G119170	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	Np007G412270, Np005G282430	Ag002G181330
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660, Np004G212730, Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120	Ag002G121000, Ag006G542770
OG0000057	Np007G392240, Np007G392300	Ag005G459920
OG0000057	Np006G333600, Np006G333860, Np003G187520	Ag003G289060
OG0000058	Np008G427720, Np001G035900, Np001G038390, Np006G352050, Np005G294870	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110
OG0000058	Np003G189490, Np008G428090	Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190
OG0000058	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410	Ag006G516660
OG0000058	Np006G359650, Np001G034450	Ag003G229160
OG0000059	Np001G044380	Ag004G391520
OG0000059	Np006G352350	Ag006G516680, Ag001G020010, Ag003G215300, Ag004G373020
OG0000059	Np004G202770	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210
OG0000059	Np007G388310	Ag006G522950
OG0000062	Np004G225350	Ag002G153690, Ag002G153580
OG0000063	Np001G046020	Ag008G710470
OG0000064	Np005G260880	Ag003G295980
OG0000064	Np004G235840	Ag004G324660, Ag004G324700, Ag003G296080, Ag002G109510, Ag002G109380, Ag003G296040, Ag003G296060, Ag002G109520, Ag002G109590, Ag002G109550, Ag003G296070, Ag002G191390, Ag002G109460, Ag002G109500, Ag003G296100, Ag003G296020, Ag002G109470, Ag002G109450, Ag003G283080, Ag003G283090
OG0000065	Np008G425980, Np003G168940	Ag009G735570
OG0000066	Np005G262320	Ag003G225480, Ag003G225470, Ag003G293060
OG0000066	Np003G136700	Ag007G604700
OG0000066	Np004G250000, Np004G250510, Np003G136710	Ag002G125900
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140	Ag004G385490
OG0000067	Np003G144200	Ag003G227540
OG0000068	Np004G229970	Ag002G161440, Ag003G260950, Ag006G498520
OG0000069	Np003G152400	Ag003G258860
OG0000069	Np001G024920, Np005G293790	Ag002G200250
OG0000070	Np006G350030	Ag001G027030
OG0000071	Np001G008970, Np006G370520, Np003G157740	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710
OG0000071	Np006G331390, Np001G008190, Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530	Ag003G234950, Ag003G217580
OG0000071	Np004G200680, Np006G328540	Ag004G389390
OG0000071	Np001G013290	Ag004G339910
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	Ag003G285120, Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	Np006G330840	Ag002G137530
OG0000074	Np004G230020	Ag003G273880, Ag003G236930, Ag003G236940
OG0000074	Np004G229960	Ag003G242350, Ag003G242390
OG0000074	Np004G229890	Ag005G402710
OG0000074	Np004G230030	Ag003G241560, Ag003G242310
OG0000074	Np003G180910, Np003G184200	Ag004G378820
OG0000075	Np003G136640	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	Np007G378600	Ag004G337230, Ag004G337250, Ag004G349470, Ag006G510790, Ag004G313480, Ag004G313520, Ag007G599000, Ag007G598990, Ag003G269710
OG0000075	Np004G233640	Ag002G191710, Ag002G191700, Ag002G191680
OG0000076	Np007G423950	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	Np001G021860	Ag001G002030
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	Ag003G215720, Ag003G290220, Ag006G569300
OG0000077	Np007G386290	Ag006G508210
OG0000077	Np005G261710	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120
OG0000077	Np006G360730	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	Np005G261720	Ag002G148310
OG0000078	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660	Ag001G046650, Ag002G152760
OG0000079	Np001G064190	Ag001G089410, Ag006G550580, Ag003G233720
OG0000079	Np007G422670	Ag006G550570
OG0000079	Np001G064220	Ag001G089450
OG0000079	Np001G064140	Ag001G084480
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	Np003G179540, Np002G124540	Ag001G028300
OG0000080	Np005G318150, Np005G318140, Np004G240560, Np006G328080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	Np003G176780, Np003G176800, Np003G176750	Ag005G451860, Ag005G452050
OG0000082	Np005G302180	Ag004G351970
OG0000083	Np002G090350	Ag005G483950, Ag005G483960
OG0000084	Np006G364930	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770
OG0000084	Np006G364960, Np006G365020	Ag008G724370
OG0000084	Np006G365060, Np006G365040	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000087	Np001G049810, Np001G010980	Ag008G723440
OG0000087	Np006G350150, Np008G428160	Ag007G593840
OG0000087	Np001G007020	Ag008G728250, Ag001G052770
OG0000087	Np003G139100	Ag007G609260
OG0000087	Np001G039930	Ag002G127940
OG0000087	Np005G287110	Ag006G562620
OG0000087	Np002G077440	Ag003G224140
OG0000088	Np001G038910, Np001G038970	Ag007G581970
OG0000088	Np003G148700, Np003G148740	Ag008G717820
OG0000089	Np003G136030	Ag007G603320
OG0000089	Np007G395030	Ag005G453100
OG0000089	Np006G329000	Ag002G193060
OG0000089	Np007G409340	Ag005G471710
OG0000089	Np001G056580, Np006G336940	Ag002G172950, Ag001G073120
OG0000089	Np001G046210, Np003G153120	Ag008G712440, Ag008G708620
OG0000090	Np004G235330	Ag004G333760
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	Ag003G223190
OG0000090	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940
OG0000090	Np007G385680, Np001G065320, Np001G065030	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000091	Np003G165480	Ag008G666230, Ag001G063330, Ag006G524690
OG0000093	Np001G063230	Ag001G087540
OG0000093	Np001G005730	Ag001G087060, Ag020G743300
OG0000093	Np001G063180	Ag001G087410
OG0000093	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	Ag001G087200, Ag020G743290, Ag001G087240
OG0000093	Np001G063220	Ag002G193490
OG0000096	Np001G024770	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	Np001G038620	Ag002G102560
OG0000096	Np001G038140	Ag002G103120
OG0000096	Np001G038130	Ag006G559170
OG0000096	Np002G112600	Ag004G380830
OG0000097	Np003G184990	Ag002G129480
OG0000097	Np003G185010	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	Np003G171600	Ag002G128740
OG0000097	Np003G185030	Ag002G128960
OG0000099	Np002G123560, Np004G228320	Ag004G395880
OG0000099	Np002G113890, Np002G123650, Np007G403740	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410
OG0000099	Np002G123570, Np004G227550, Np002G123550	Ag004G390870, Ag004G390890, Ag004G390900, Ag004G395530, Ag004G390720, Ag004G390710, Ag004G390740, Ag004G390940, Ag004G390780, Ag004G390920
OG0000099	Np002G123540	Ag004G390770
OG0000099	Np004G215640	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000099	Np004G228310, Np002G123620, Np002G123600, Np002G119820, Np002G123590, Np002G123610, Np002G112400	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840
OG0000099	Np002G123530	Ag004G396600, Ag004G396870
OG0000099	Np004G215470	Ag004G391030
OG0000099	Np007G403720	Ag004G396100, Ag004G395920, Ag004G391570, Ag004G396210
OG0000100	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190	Ag004G376980, Ag002G156660
OG0000100	Np004G233090, Np003G158140	Ag002G132470
OG0000100	Np002G083340	Ag004G384260, Ag008G659700
OG0000100	Np002G096510, Np006G363460	Ag002G169920, Ag007G628580
OG0000100	Np006G360420, Np005G260470	Ag008G659710
OG0000101	Np002G123360	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960
OG0000102	Np006G343550	Ag008G662610
OG0000102	Np007G377750	Ag007G647210
OG0000104	Np004G251930	Ag004G307220
OG0000104	Np006G360060	Ag007G594850, Ag007G594880, Ag007G594830
OG0000104	Np004G195160	Ag001G010320
OG0000104	Np007G381330	Ag005G441940
OG0000106	Np007G372640	Ag005G417510, Ag001G017220
OG0000106	Np007G394220	Ag005G455000
OG0000107	Np007G398440, Np007G418450	Ag005G481150
OG0000107	Np007G398420	Ag005G446760
OG0000107	Np005G313740	Ag005G444180, Ag005G442930
OG0000107	Np007G380680	Ag003G213880
OG0000107	Np005G305610	Ag005G446780
OG0000108	Np001G011650, Np001G011550	Ag005G459590, Ag008G727840
OG0000108	Np007G389900	Ag003G269110, Ag003G269200
OG0000108	Np004G259470	Ag005G414040
OG0000108	Np005G305310	Ag008G722170
OG0000108	Np001G011560	Ag007G609500, Ag002G145390
OG0000109	Np003G183100, Np004G217760	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980
OG0000110	Np001G064490	Ag001G090130
OG0000110	Np001G064470	Ag001G090120
OG0000110	Np001G064520	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700
OG0000110	Np001G064450	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000110	Np001G064540	Ag001G090290, Ag001G090300, Ag001G090310
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	Np005G313680, Np001G006020	Ag006G502330
OG0000111	Np001G006000	Ag003G218010, Ag003G217720, Ag008G729430, Ag008G729820, Ag008G729470, Ag008G729440
OG0000111	Np001G006030	Ag008G729450
OG0000112	Np003G184320	Ag007G615010, Ag007G615020, Ag007G615160, Ag007G615060, Ag007G615030, Ag007G615150, Ag007G615070, Ag007G615040, Ag007G615080, Ag007G615050, Ag005G405660, Ag007G615240, Ag007G615260, Ag007G615250, Ag007G615270, Ag007G615290, Ag007G615280, Ag006G515440, Ag006G515420, Ag006G515430, Ag006G515410, Ag007G615230, Ag007G617630, Ag006G567340, Ag006G542160, Ag006G567310, Ag006G567380, Ag006G567290, Ag006G545290, Ag007G615000
OG0000113	Np002G122980	Ag005G453300, Ag004G396680, Ag007G597560, Ag003G219180, Ag004G390150, Ag004G389940, Ag004G394920, Ag004G389960, Ag004G396880, Ag004G396660, Ag004G387080, Ag004G389950
OG0000113	Np002G089320	Ag002G116610, Ag002G116590, Ag002G138540, Ag002G119250
OG0000117	Np004G227340	Ag002G137760
OG0000117	Np007G391540	Ag003G251430
OG0000119	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260	Ag001G026190, Ag008G699540, Ag005G437940, Ag007G645640, Ag007G656830
OG0000119	Np002G102980	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220
OG0000120	Np002G117060, Np002G116940	Ag004G373700, Ag001G094910
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	Ag003G277400, Ag003G279310, Ag003G275890
OG0000120	Np003G129250	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	Np003G157760, Np003G157830, Np003G157840	Ag008G698890
OG0000122	Np001G056320	Ag003G267460
OG0000122	Np003G158000	Ag008G698530
OG0000123	Np004G243230	Ag001G067540
OG0000123	Np004G243210	Ag004G318570
OG0000123	Np003G131130	Ag004G318080
OG0000124	Np006G348530	Ag006G527550, Ag008G658090
OG0000125	Np003G126800	Ag005G477020
OG0000125	Np003G151060	Ag008G713670
OG0000125	Np006G359820	Ag007G595180
OG0000126	Np002G094910	Ag008G691850
OG0000127	Np003G125840	Ag006G492230
OG0000127	Np001G046260, Np007G413710	Ag005G477990
OG0000127	Np002G096200	Ag004G313210, Ag004G313190, Ag004G313250
OG0000131	Np003G174400	Ag003G256190, Ag003G250970
OG0000133	Np005G308080	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500
OG0000133	Np003G130350, Np003G153160	Ag004G391190, Ag003G285410
OG0000133	Np002G099680, Np008G425630	Ag004G387440
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	Ag007G610770
OG0000136	Np002G086710	Ag004G358500
OG0000137	Np003G159210, Np001G035140, Np002G094880	Ag002G163620, Ag008G688150
OG0000137	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700
OG0000137	Np007G398190	Ag006G528160, Ag001G057880
OG0000137	Np003G131090, Np002G110900	Ag007G652700
OG0000138	Np006G368140	Ag008G725320
OG0000138	Np002G085290	Ag004G345080, Ag004G381060, Ag004G345060
OG0000139	Np006G345080, Np003G170780, Np004G225070, Np001G033760, Np002G105790	Ag002G105400
OG0000139	Np003G167980, Np006G368820, Np004G213800, Np003G179380, Np005G308690	Ag007G630860, Ag002G148650
OG0000139	Np007G401090, Np004G225080, Np008G427690, Np009G431920, Np006G350500, Np002G105800, Np006G350020, Np008G427900, Np002G102560, Np002G103420, Np005G308710, Np006G349710, Np002G100680, Np002G106900, Np002G110150, Np002G103410, Np002G101570, Np005G297220, Np004G224550, Np004G224560	Ag001G027020
OG0000139	Np001G043360, Np005G294120, Np004G258210, Np002G101620, Np001G031610, Np001G031620, Np002G101150, Np004G223980, Np001G031630, Np002G101140	Ag002G170320
OG0000140	Np006G370470, Np006G370770	Ag001G060940, Ag001G070480, Ag001G071460, Ag007G624420, Ag008G704320, Ag008G707840, Ag006G566230, Ag008G707860
OG0000140	Np003G153920	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830
OG0000140	Np003G153430, Np007G424390, Np003G153390	Ag001G080460, Ag008G707780
OG0000140	Np001G046630	Ag001G052690
OG0000142	Np006G360490	Ag004G307050
OG0000144	Np007G408140	Ag005G434100
OG0000145	Np002G108950, Np007G417590	Ag006G535320, Ag004G370190
OG0000145	Np005G299660	Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340
OG0000146	Np003G160230	Ag008G695350
OG0000146	Np003G160060, Np003G160140, Np003G160190	Ag008G695470, Ag008G695460
OG0000146	Np003G160200	Ag008G695380
OG0000146	Np003G160640	Ag005G465100
OG0000147	Np007G373950	Ag005G408700
OG0000147	Np005G273990	Ag003G261030
OG0000147	Np003G156060	Ag008G702420
OG0000147	Np002G071170	Ag003G209560
OG0000149	Np001G046040	Ag006G570510, Ag006G570440, Ag006G570460
OG0000149	Np003G152730	Ag008G709340
OG0000149	Np003G152750	Ag008G709360
OG0000149	Np003G152700, Np003G152680	Ag008G709420
OG0000150	Np003G156160, Np003G156150, Np003G183630	Ag008G711330, Ag002G133360
OG0000151	Np003G164170	Ag008G685810
OG0000151	Np005G277020	Ag003G253050
OG0000151	Np007G376880	Ag005G417580
OG0000151	Np003G158280	Ag008G698280
OG0000152	Np004G226970	Ag004G335670, Ag001G036190, Ag003G252320
OG0000154	Np002G086500	Ag003G268730, Ag005G477100, Ag005G477120
OG0000154	Np004G240190	Ag004G324480
OG0000154	Np007G408850	Ag005G471090
OG0000154	Np006G330440	Ag002G177350
OG0000154	Np007G413420	Ag005G477170
OG0000154	Np003G126710	Ag006G493360
OG0000154	Np003G126700, Np003G127150, Np002G112020	Ag006G507750, Ag006G508580, Ag006G493020
OG0000155	Np005G287960	Ag006G564870
OG0000155	Np007G409550	Ag005G471860
