Orthogroup	Noccaea_praecox	Raphanus_sativus
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	XP_018448361.1, XP_018448364.1, XP_018435503.1, XP_018465681.1, XP_018448362.1, XP_018475375.1, XP_018475377.1, XP_018475791.1, XP_018475795.1
OG0000026	Np002G101380, Np004G216210	XP_018485539.1, XP_018453000.1, XP_018457945.1
OG0000026	Np003G171320	XP_018463661.1, XP_018464633.1, XP_018443774.1, XP_018448668.1, XP_018464311.1, XP_018444655.1, XP_018453979.1, XP_018465310.1, XP_018458109.1, XP_018460661.1, XP_018458793.1, XP_018487730.1, XP_018436457.1, XP_018487713.1, XP_018488093.1, XP_018464148.1, XP_018463452.1, XP_018448718.1, XP_018453740.1, XP_018436069.1, XP_018448846.1, XP_018461822.1, XP_018464214.1
OG0000027	Np004G198060, Np004G198040	XP_018485466.1, XP_018482596.1
OG0000027	Np002G093210	XP_018467451.1, XP_018458976.1
OG0000027	Np004G214870, Np005G271730, Np004G214850	XP_018448575.1, XP_018448576.1
OG0000027	Np004G215070	XP_018436387.1
OG0000027	Np001G057950, Np001G057940	XP_018487153.1
OG0000028	Np003G168060, Np003G175100, Np002G106380	XP_018463159.1
OG0000028	Np003G170790, Np003G189760, Np004G207130	XP_018474041.1, XP_018448515.1, XP_018466148.1, XP_018466182.1, XP_018464762.1, XP_018473621.1, XP_018454030.1, XP_018453707.1, XP_018436232.1, XP_018460173.1, XP_018435285.1, XP_018435280.1, XP_018487624.1, XP_018448453.1, XP_018488082.1, XP_018433508.1, XP_018443474.1, XP_018443476.1, XP_018473604.1, XP_018462844.1, XP_018462845.1, XP_018478153.1, XP_018448537.1
OG0000028	Np006G356860	XP_018448641.1
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	XP_018476055.1
OG0000029	Np002G113330, Np005G304980	XP_018462173.1, XP_018479413.1, XP_018453636.1, XP_018443713.1, XP_018453516.1, XP_018460740.1, XP_018448626.1, XP_018464126.1
OG0000029	Np001G058950, Np007G394270	XP_018456076.1
OG0000030	Np006G347830	XP_018436037.1, XP_018436185.1, XP_018487653.1
OG0000030	Np003G173710, Np007G417840, Np007G402740, Np007G390810, Np007G423880	XP_018467598.1, XP_018463824.1
OG0000030	Np006G330890	XP_018459876.1
OG0000031	Np004G244900	XP_018440869.1, XP_018491225.1, XP_018491224.1, XP_018485652.1, XP_018463937.1, XP_018451491.1, XP_018439379.1
OG0000031	Np005G318980	XP_018478989.1
OG0000033	Np005G284050	XP_018468503.1
OG0000033	Np005G284060	XP_018483350.1
OG0000033	Np005G284130	XP_018448926.1, XP_018448925.1
OG0000033	Np005G283960, Np005G284080	XP_018436206.1, XP_018483352.1
OG0000033	Np005G283820	XP_018463090.1
OG0000033	Np005G284140	XP_018483344.1
OG0000034	Np001G040260, Np002G107010	XP_018464091.1
OG0000034	Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530	XP_018463392.1
OG0000034	Np006G341510	XP_018475335.1, XP_018458668.1
OG0000035	Np006G356560	XP_018482223.1, XP_018482211.1, XP_018481628.1, XP_018479865.1
OG0000035	Np005G313520	XP_018465159.1, XP_018458896.1, XP_018468803.1, XP_018488195.1
OG0000036	Np005G260660	XP_018487493.1
OG0000036	Np006G342170, Np003G136960, Np002G107350, Np007G403810	XP_018458662.1, XP_018464202.1, XP_018477823.1
OG0000037	Np001G045190	XP_018479287.1, XP_018453786.1
OG0000037	Np002G110300, Np005G302190	XP_018435667.1, XP_018453597.1
OG0000038	Np001G060270	XP_018473908.1
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	XP_018459725.1
OG0000038	Np003G125690	XP_018479512.1
OG0000038	Np003G165810, Np005G318000	XP_018479936.1, XP_018479937.1
OG0000039	Np002G110420	XP_018473795.1
OG0000039	Np005G289260, Np005G309180, Np003G166870, Np003G169960	XP_018435591.1, XP_018435994.1, XP_018448696.1, XP_018448699.1, XP_018463789.1, XP_018480097.1, XP_018479851.1, XP_018460226.1, XP_018443639.1, XP_018474808.1, XP_018458400.1, XP_018443590.1, XP_018443591.1, XP_018467627.1, XP_018453871.1, XP_018453873.1, XP_018460588.1
OG0000040	Np004G224970, Np004G224940	XP_018454017.1
OG0000040	Np007G407000	XP_018481681.1, XP_018480537.1, XP_018481495.1, XP_018482202.1, XP_018471303.1, XP_018479916.1
OG0000041	Np003G171490, Np002G100930	XP_018432616.1, XP_018479432.1, XP_018489035.1, XP_018487480.1
OG0000041	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530	XP_018461685.1
OG0000042	Np002G085480	XP_018453898.1
OG0000042	Np001G027800	XP_018443654.1
OG0000042	Np002G077920, Np004G191660, Np006G336410	XP_018443419.1
OG0000042	Np003G181700	XP_018460803.1, XP_018487809.1
OG0000043	Np008G426930	XP_018453717.1
OG0000043	Np002G102430	XP_018466277.1
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	XP_018464201.1, XP_018439588.1, XP_018463079.1, XP_018479642.1, XP_018462758.1, XP_018453591.1, XP_018461875.1, XP_018457142.1
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	XP_018461269.1
OG0000045	Np006G334530	XP_018487726.1, XP_018463620.1, XP_018443707.1, XP_018435482.1, XP_018467340.1, XP_018462035.1, XP_018464385.1, XP_018458802.1, XP_018458803.1, XP_018462082.1, XP_018474461.1
OG0000045	Np002G098570, Np005G284990	XP_018461346.1
OG0000045	Np007G389140	XP_018453825.1
OG0000046	Np005G314650	XP_018481217.1, XP_018479313.1, XP_018462609.1, XP_018464676.1, XP_018481866.1
OG0000046	Np005G313240	XP_018479670.1
OG0000046	Np002G093730	XP_018461774.1
OG0000046	Np005G292150	XP_018444697.1, XP_018444687.1
OG0000046	Np007G386460	XP_018460986.1
OG0000048	Np003G145480	XP_018469346.1, XP_018437936.1, XP_018475373.1, XP_018474991.1, XP_018475212.1
OG0000048	Np003G145420	XP_018444414.1
OG0000048	Np003G145430	XP_018474944.1
OG0000048	Np003G145400, Np003G145550	XP_018444134.1, XP_018446926.1, XP_018468734.1, XP_018464361.1, XP_018467999.1
OG0000048	Np003G145490, Np003G145410	XP_018467998.1, XP_018437175.1, XP_018464360.1, XP_018468001.1, XP_018471676.1, XP_018468781.1, XP_018468850.1
OG0000050	Np007G402160	XP_018467054.1
OG0000050	Np002G095850	XP_018463607.1, XP_018464509.1
OG0000050	Np002G095350	XP_018466668.1
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	XP_018493126.1
OG0000052	Np006G328530, Np006G328520	XP_018482785.1, XP_018482784.1, XP_018473989.1
OG0000052	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670	XP_018463099.1
OG0000052	Np002G116790, Np002G107170, Np002G116330	XP_018435533.1, XP_018438374.1, XP_018463915.1, XP_018455750.1, XP_018463100.1, XP_018467127.1
OG0000052	Np006G328590, Np006G328570, Np006G328580	XP_018473990.1, XP_018465828.1
OG0000052	Np003G173020	XP_018436441.1, XP_018436438.1, XP_018436547.1, XP_018436548.1, XP_018436545.1, XP_018436546.1
OG0000052	Np006G328390, Np006G328410, Np006G328470	XP_018482777.1, XP_018482778.1, XP_018432826.1
OG0000052	Np006G328480	XP_018436544.1, XP_018436543.1, XP_018489712.1, XP_018489710.1
OG0000053	Np002G100500, Np004G233450, Np007G396260	XP_018448672.1, XP_018465516.1, XP_018492198.1, XP_018443523.1, XP_018480052.1, XP_018479349.1
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	XP_018438980.1
OG0000053	Np001G008270, Np001G039230, Np003G166770	XP_018438946.1, XP_018469270.1, XP_018480125.1, XP_018490555.1
OG0000054	Np004G255790, Np005G312070, Np007G389250	XP_018459334.1, XP_018477522.1, XP_018473923.1
OG0000055	Np001G046730	XP_018435121.1
OG0000055	Np002G119230	XP_018452239.1, XP_018452238.1, XP_018452289.1, XP_018454291.1
OG0000055	Np002G119520, Np002G119220, Np002G119170	XP_018458632.1, XP_018434948.1
OG0000055	Np002G119390, Np002G118970, Np002G120090, Np002G120080, Np002G119490, Np002G119430, Np002G119510, Np002G118960, Np002G118940, Np002G119480	XP_018492713.1, XP_018434510.1, XP_018458631.1
OG0000056	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230	XP_018453574.1
OG0000056	Np006G356510, Np003G151080, Np003G158880, Np007G412270, Np005G282430	XP_018460221.1, XP_018436002.1, XP_018448501.1, XP_018465335.1, XP_018458942.1, XP_018462168.1, XP_018464358.1, XP_018461103.1, XP_018461001.1, XP_018460591.1, XP_018471856.1
OG0000057	Np007G391720, Np007G393400	XP_018435448.1, XP_018464098.1, XP_018440394.1, XP_018487552.1
OG0000057	Np007G375320	XP_018488227.1
OG0000057	Np007G392240, Np007G392300	XP_018488447.1, XP_018491504.1
OG0000057	Np007G398210, Np010G435080, Np007G401600	XP_018492772.1, XP_018492773.1
OG0000057	Np006G333600, Np006G333860, Np003G187520	XP_018460063.1, XP_018469080.1
OG0000059	Np001G044380	XP_018477029.1, XP_018458309.1, XP_018462918.1, XP_018474005.1, XP_018443265.1
OG0000059	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750	XP_018461119.1
OG0000059	Np007G388310	XP_018473566.1
OG0000061	Np004G218870, Np004G219580, Np004G218830, Np007G398820	XP_018436245.1
OG0000061	Np005G260230	XP_018463440.1, XP_018467536.1, XP_018436146.1, XP_018480171.1
OG0000062	Np003G173970, Np003G170000	XP_018458399.1, XP_018460589.1
OG0000062	Np004G205130	XP_018435507.1, XP_018470051.1, XP_018458513.1, XP_018453872.1, XP_018465298.1, XP_018448633.1, XP_018481702.1, XP_018458820.1, XP_018453714.1, XP_018467728.1, XP_018454571.1, XP_018435964.1, XP_018453700.1, XP_018435546.1
OG0000062	Np004G215200, Np004G229630	XP_018482195.1
OG0000064	Np005G260880	XP_018480217.1
OG0000064	Np001G036990	XP_018472219.1
OG0000065	Np003G168940	XP_018459982.1
OG0000065	Np008G428560, Np008G428010	XP_018479575.1, XP_018435745.1, XP_018462838.1
OG0000066	Np005G262320	XP_018474475.1, XP_018443026.1, XP_018468121.1, XP_018450392.1, XP_018447173.1, XP_018468122.1, XP_018442730.1, XP_018474474.1
OG0000066	Np003G136710	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	XP_018465626.1, XP_018474335.1, XP_018472777.1, XP_018446006.1, XP_018442366.1, XP_018444607.1, XP_018443375.1, XP_018442371.1, XP_018442368.1
OG0000067	Np003G134720, Np001G055610	XP_018452236.1, XP_018479852.1, XP_018451190.1, XP_018451192.1, XP_018433875.1, XP_018433855.1, XP_018433874.1, XP_018433854.1
OG0000067	Np003G144200	XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1, XP_018487690.1, XP_018448422.1, XP_018475216.1
OG0000068	Np002G089430	XP_018460797.1, XP_018464171.1, XP_018464702.1
OG0000068	Np002G107610	XP_018458651.1
OG0000068	Np007G393060	XP_018449099.1
OG0000068	Np004G208790	XP_018475133.1
OG0000068	Np003G152860, Np004G247010, Np001G023980, Np002G112070, Np007G393050, Np002G095360, Np006G328420, Np002G104000	XP_018448190.1, XP_018480471.1, XP_018487511.1, XP_018457116.1, XP_018466169.1, XP_018479493.1, XP_018488089.1, XP_018443614.1, XP_018448656.1, XP_018459805.1, XP_018453515.1, XP_018487554.1, XP_018462679.1, XP_018435494.1
OG0000069	Np003G152400	XP_018479682.1, XP_018487884.1, XP_018467151.1, XP_018448608.1
OG0000070	Np002G101130	XP_018459313.1
OG0000070	Np002G099020, Np002G110630	XP_018458058.1
OG0000070	Np006G350030	XP_018467590.1
OG0000070	Np007G399950	XP_018463077.1
OG0000071	Np003G163260, Np003G136370, Np006G335610, Np002G086650	XP_018443565.1, XP_018474012.1
OG0000071	Np006G331390, Np001G008190	XP_018460901.1
OG0000071	Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530	XP_018488341.1, XP_018488340.1, XP_018454225.1
OG0000071	Np006G355640	XP_018479267.1, XP_018491450.1, XP_018458036.1
OG0000071	Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	XP_018435770.1
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	XP_018487761.1, XP_018464035.1, XP_018463274.1, XP_018466706.1, XP_018448709.1, XP_018481855.1, XP_018481572.1, XP_018459917.1, XP_018454380.1, XP_018477453.1
OG0000072	Np001G034150	XP_018454381.1, XP_018479717.1
OG0000074	Np004G229920, Np004G230020	XP_018434385.1
OG0000074	Np003G180910, Np003G184200	XP_018433983.1, XP_018437579.1, XP_018433981.1
OG0000075	Np003G136640	XP_018487834.1
OG0000075	Np007G378600	XP_018453478.1, XP_018487842.1, XP_018461296.1, XP_018457458.1, XP_018443384.1, XP_018487843.1, XP_018441017.1, XP_018466839.1, XP_018467714.1, XP_018484899.1, XP_018480018.1
OG0000075	Np004G233640	XP_018478964.1, XP_018464005.1
OG0000076	Np007G423950	XP_018454118.1
OG0000076	Np001G021860	XP_018479392.1, XP_018481202.1, XP_018479394.1, XP_018479395.1
OG0000077	Np007G386290	XP_018482469.1
OG0000077	Np005G261710	XP_018468037.1
OG0000077	Np006G360730	XP_018471019.1, XP_018467919.1, XP_018459482.1
OG0000077	Np005G261720	XP_018459483.1, XP_018481197.1
OG0000078	Np002G086990	XP_018464185.1
OG0000078	Np002G092810	XP_018438837.1, XP_018462373.1, XP_018459132.1, XP_018482546.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018459049.1, XP_018461378.1, XP_018461038.1, XP_018450716.1, XP_018466255.1, XP_018459043.1, XP_018461034.1, XP_018437386.1, XP_018446222.1, XP_018443582.1, XP_018450345.1, XP_018490507.1, XP_018487390.1, XP_018448613.1, XP_018435333.1, XP_018443586.1, XP_018479536.1, XP_018479534.1, XP_018461540.1
OG0000079	Np001G064190	XP_018440487.1, XP_018434498.1, XP_018440703.1, XP_018490673.1
OG0000080	Np005G289190	XP_018441440.1
OG0000080	Np006G321280, Np006G321720, Np003G146070	XP_018463136.1
OG0000080	Np004G250430	XP_018463514.1
OG0000080	Np003G179540, Np002G124540	XP_018464627.1
OG0000080	Np006G351210	XP_018478319.1, XP_018462174.1, XP_018440849.1
OG0000080	Np004G240560, Np006G328080	XP_018467401.1
OG0000081	Np001G010770	XP_018463804.1, XP_018474145.1, XP_018463803.1, XP_018475963.1
OG0000081	Np004G196080, Np004G196070	XP_018488107.1
OG0000081	Np003G176780, Np003G176800, Np003G176750	XP_018475273.1, XP_018475265.1
OG0000082	Np005G274330	XP_018464493.1, XP_018462716.1
OG0000082	Np001G045200	XP_018471786.1
OG0000083	Np002G090350	XP_018462245.1
OG0000083	Np002G083710	XP_018470628.1, XP_018464981.1
OG0000083	Np002G083730	XP_018460185.1
OG0000083	Np007G418940	XP_018440112.1
OG0000084	Np006G364960	XP_018436175.1
OG0000084	Np006G366020	XP_018458821.1, XP_018482330.1
OG0000084	Np006G365060, Np006G365040	XP_018478874.1, XP_018478409.1
OG0000084	Np006G364950	XP_018479773.1, XP_018464217.1, XP_018479774.1
OG0000085	Np007G397830	XP_018467795.1, XP_018467793.1, XP_018435407.1, XP_018466084.1
OG0000087	Np001G010980	XP_018477697.1, XP_018484582.1
OG0000087	Np006G350150, Np008G428160	XP_018440871.1
OG0000087	Np005G287050	XP_018492627.1, XP_018440532.1
OG0000087	Np003G139100	XP_018446020.1
OG0000087	Np001G039930	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1
OG0000087	Np005G287110	XP_018451489.1, XP_018470360.1, XP_018484782.1
OG0000087	Np002G077440	XP_018463490.1, XP_018446239.1
OG0000088	Np001G038910, Np001G038970	XP_018436160.1, XP_018443675.1, XP_018475641.1, XP_018476975.1, XP_018442302.1, XP_018442307.1, XP_018460254.1
OG0000088	Np003G148700, Np003G148740	XP_018474898.1, XP_018446823.1
OG0000089	Np003G136030	XP_018476330.1, XP_018445204.1, XP_018471220.1
OG0000089	Np001G046210, Np003G153120	XP_018473557.1
OG0000090	Np004G235330	XP_018435343.1
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1
OG0000090	Np007G389920	XP_018439895.1
OG0000093	Np001G063230	XP_018484517.1, XP_018484516.1, XP_018460880.1, XP_018444673.1
OG0000093	Np001G005730	XP_018464228.1, XP_018461594.1, XP_018460536.1, XP_018449905.1
OG0000093	Np005G317970	XP_018488418.1
OG0000096	Np002G112160	XP_018438135.1
OG0000096	Np001G038620	XP_018455183.1
OG0000096	Np001G038140	XP_018472848.1
OG0000096	Np001G038130	XP_018483784.1
OG0000096	Np002G112600	XP_018463016.1, XP_018443633.1
OG0000097	Np003G184990	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1
OG0000097	Np003G184940	XP_018453850.1, XP_018453859.1, XP_018453845.1, XP_018453836.1, XP_018453837.1, XP_018453848.1, XP_018453869.1, XP_018453863.1, XP_018455375.1, XP_018455434.1
OG0000097	Np003G185010	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1
OG0000097	Np003G179520	XP_018473576.1
OG0000098	Np002G116580	XP_018454444.1, XP_018454446.1
OG0000099	Np002G113890	XP_018455323.1, XP_018435679.1, XP_018435243.1
OG0000099	Np002G123650, Np007G403740	XP_018454000.1, XP_018475203.1
OG0000099	Np003G166880, Np003G163580	XP_018436873.1, XP_018483317.1
OG0000099	Np002G123540	XP_018454278.1
OG0000099	Np004G215640	XP_018491773.1
OG0000100	Np002G083340	XP_018448551.1
OG0000100	Np004G259020, Np011G435850, Np006G344690, Np005G295460	XP_018479560.1
OG0000101	Np002G122780, Np002G122800	XP_018453994.1
OG0000101	Np002G123360	XP_018454261.1, XP_018454271.1
OG0000101	Np004G206440	XP_018454733.1, XP_018453995.1
OG0000102	Np006G343550, Np005G313300, Np007G377750	XP_018487874.1
OG0000104	Np004G251930	XP_018487612.1, XP_018493580.1
OG0000104	Np006G360060, Np006G360100	XP_018478791.1, XP_018437245.1, XP_018462942.1
OG0000104	Np004G195160	XP_018485742.1
OG0000104	Np007G381330	XP_018485989.1
OG0000104	Np004G195150	XP_018476295.1
OG0000104	Np004G195140	XP_018486058.1
OG0000106	Np007G372640	XP_018435460.1, XP_018466022.1
OG0000107	Np007G398440, Np007G418450	XP_018474063.1, XP_018435236.1
OG0000107	Np007G398420	XP_018489629.1, XP_018489727.1, XP_018488234.1, XP_018486234.1, XP_018486571.1, XP_018467025.1
OG0000107	Np007G380680	XP_018437231.1
OG0000107	Np005G305610	XP_018473539.1
OG0000108	Np001G011650, Np001G011550	XP_018477065.1
OG0000108	Np004G259470	XP_018443647.1, XP_018461538.1, XP_018467732.1, XP_018443267.1
OG0000110	Np001G064490	XP_018459995.1
OG0000110	Np001G064470	XP_018489183.1, XP_018442568.1, XP_018459990.1
OG0000110	Np001G064520	XP_018459994.1, XP_018443615.1, XP_018459996.1, XP_018443136.1
OG0000110	Np001G064450	XP_018487764.1, XP_018461995.1
OG0000110	Np001G064540	XP_018444638.1
OG0000111	Np005G313680, Np001G006020	XP_018474558.1
OG0000111	Np006G327310, Np005G313700, Np005G313670, Np005G313690	XP_018474074.1, XP_018476777.1
OG0000111	Np001G006030	XP_018435564.1
OG0000111	Np001G058370	XP_018490205.1, XP_018490414.1, XP_018489158.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018465557.1, XP_018489931.1
