Orthogroup	Noccaea_praecox	Odontarrhena_muralis
OG0000008	Np001G053530	Om001G012780, Om004G176570, Om001G012870, Om001G012790, Om002G085300, Om002G081720, Om001G023520, Om006G274880, Om008G328770, Om004G146610, Om004G145690, Om006G232740, Om007G292230, Om004G145980, Om007G313990, Om006G260180, Om002G073680
OG0000010	Np001G027540, Np002G098260	Om006G235910
OG0000010	Np004G221660	Om002G089070
OG0000012	Np005G284530, Np006G343630, Np002G100520, Np003G169510, Np006G350820, Np007G404020, Np004G218280	Om004G146180
OG0000012	Np005G318540, Np002G106560	Om003G105470, Om004G154660
OG0000012	Np002G117990	Om008G343540
OG0000012	Np004G217770	Om007G307770
OG0000012	Np006G341500	Om008G342970
OG0000013	Np005G297160	Om008G346820, Om005G224220
OG0000013	Np002G102600, Np003G173130	Om002G088760, Om001G031100, Om003G113450, Om006G258780
OG0000014	Np001G042570, Np002G073300	Om004G169570
OG0000015	Np005G274380	Om008G350280
OG0000015	Np007G416100, Np001G036120	Om003G105790, Om004G154560
OG0000015	Np001G029500	Om007G305020
OG0000017	Np003G166290	Om004G151020, Om004G146420, Om008G347290, Om002G079940, Om008G359420, Om007G308900
OG0000017	Np003G171300	Om003G101880, Om004G153720
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010, Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980	Om008G335480, Om007G284460, Om008G361630
OG0000019	Np001G027620	Om004G154810, Om003G104700, Om002G077910
OG0000019	Np001G029890	Om006G268990
OG0000020	Np004G226740	Om002G078790
OG0000021	Np005G303890	Om005G226540, Om001G020790
OG0000021	Np007G393560	Om001G038730
OG0000021	Np004G199140	Om007G288300, Om001G003370, Om007G291430, Om002G057270, Om005G225300
OG0000021	Np007G402490, Np003G147560, Np002G120150, Np002G109960, Np003G148260	Om001G020780, Om001G006810, Om002G059070
OG0000023	Np003G180610, Np005G283850, Np005G283730	Om001G010360, Om001G009290
OG0000023	Np005G284120	Om001G010200
OG0000023	Np005G284070	Om001G011570
OG0000024	Np002G092500	Om008G342080, Om001G017150
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	Om001G030080, Om007G305000
OG0000026	Np003G172690	Om002G080990
OG0000026	Np006G365240	Om005G219100, Om002G081000, Om002G080320
OG0000028	Np003G175100	Om007G314890
OG0000028	Np006G356860	Om007G308810, Om003G104130
OG0000028	Np002G105400, Np003G145220, Np003G175090	Om001G019310
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	Om008G343780
OG0000029	Np003G172500	Om004G147450
OG0000029	Np002G113330, Np005G304980	Om006G262550, Om004G151510
OG0000029	Np003G172510	Om007G298330
OG0000030	Np004G229860	Om004G153710
OG0000030	Np006G347830	Om001G038800, Om006G253510
OG0000030	Np002G096140, Np004G216100, Np006G330890	Om005G226380
OG0000031	Np004G244900	Om005G191840, Om005G192090, Om005G192080, Om005G192190, Om005G191850
OG0000031	Np005G318980	Om007G317990
OG0000032	Np002G100550	Om007G313850
OG0000033	Np005G284050, Np005G284060	Om001G010240
OG0000033	Np005G284130	Om001G010210
OG0000033	Np005G284080	Om001G011550
OG0000033	Np005G284160	Om001G010110
OG0000034	Np007G396340	Om003G107450
OG0000034	Np001G040260, Np002G107010	Om008G345340
OG0000034	Np006G350340	Om008G349540
OG0000034	Np002G102640, Np002G107950, Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530, Np006G341510	Om002G079430
OG0000034	Np006G345750, Np009G431360	Om003G110790
OG0000034	Np003G168290	Om002G074540, Om005G222580, Om009G363250
OG0000034	Np001G007970	Om008G344620
OG0000035	Np002G092640, Np006G364470	Om006G273920, Om002G042810
OG0000035	Np006G356560	Om007G280220, Om007G279280, Om006G269650, Om008G331040
OG0000035	Np005G313520	Om002G060840, Om004G132400, Om008G334460, Om007G279790, Om003G126360, Om003G126370
OG0000037	Np001G045190	Om001G018180
OG0000037	Np001G010230, Np005G278320, Np002G088180, Np002G110300, Np005G302190, Np006G359940	Om005G188070
OG0000038	Np004G226960, Np002G071800, Np001G060270, Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	Om005G196570, Om004G131590
OG0000038	Np007G415720	Om006G262290
OG0000039	Np002G110420, Np004G205120	Om008G321840
OG0000039	Np003G169970, Np003G173960, Np005G281640, Np005G291080, Np002G114120, Np002G083010, Np006G358200, Np006G358160, Np003G164590, Np005G289260, Np005G309180, Np003G166870, Np003G169960, Np002G105450, Np002G106970, Np002G100620, Np005G297660, Np009G432470	Om006G250590, Om002G057780
OG0000040	Np001G009070	Om002G084710, Om002G084780, Om002G084740, Om002G084670
OG0000040	Np004G224990	Om007G309130
OG0000041	Np003G171490, Np002G100930	Om007G301270, Om004G141670, Om009G364080, Om007G307140
OG0000041	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530	Om002G075010, Om001G018420
OG0000042	Np004G191660	Om004G177160
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	Om007G314900, Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000045	Np006G334530	Om003G112290, Om002G088970, Om006G255110
OG0000045	Np002G098570, Np005G284990, Np007G389140	Om001G031280
OG0000046	Np005G314650	Om006G241220
OG0000046	Np005G292150, Np005G292140	Om001G001860
OG0000046	Np005G313330	Om006G253990
OG0000048	Np003G145430, Np003G145400, Np003G145550	Om007G296190, Om007G296250
OG0000048	Np003G145440, Np003G145490, Np003G145410	Om007G296260
OG0000050	Np002G095340	Om007G308990
OG0000050	Np002G095850	Om002G077490
OG0000050	Np002G095350	Om006G268560
OG0000050	Np003G176510	Om002G080880
OG0000050	Np002G099150	Om008G341390, Om005G201890, Om005G219290
OG0000052	Np004G255200	Om005G179650, Om008G361390
OG0000052	Np007G384340	Om005G180640
OG0000052	Np002G116290, Np002G116590	Om008G326600
OG0000052	Np006G328590, Np006G328570, Np006G328580	Om008G326650
OG0000052	Np003G173020	Om008G326590
OG0000052	Np006G328480	Om008G326540
OG0000053	Np001G040210, Np005G311290, Np006G327430	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830
OG0000054	Np005G274000, Np001G042780, Np006G332680	Om008G359460, Om008G361290
OG0000055	Np002G119410	Om005G224080
OG0000055	Np002G119400	Om001G019570, Om001G031910
OG0000055	Np002G119230	Om008G333680
OG0000055	Np002G119520, Np002G119220, Np002G119170	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230	Om007G293600, Om007G317020, Om002G062780, Om004G164880, Om007G309970
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000056	Np004G212730, Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120	Om003G107750, Om001G017780
OG0000058	Np008G427720, Np001G035900	Om006G274780, Om004G171770
OG0000058	Np001G038390, Np006G352050, Np005G294870	Om006G269070, Om006G268950, Om004G151670
OG0000058	Np003G189490, Np008G428090	Om006G251390
OG0000058	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510	Om004G159610, Om008G340000, Om005G225280, Om006G268750, Om004G160530
OG0000058	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000058	Np006G359650	Om002G075570
OG0000059	Np004G202770	Om003G092270, Om002G088980
OG0000061	Np004G218870, Np004G219580, Np004G218830, Np007G398820	Om006G238480
OG0000062	Np004G225350	Om002G057790
OG0000062	Np003G173970, Np003G170000	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320
OG0000063	Np005G306870	Om005G185660
OG0000063	Np003G152310	Om007G283280
OG0000064	Np005G260880	Om001G041080
OG0000064	Np004G235840	Om001G033560
OG0000065	Np008G425980	Om006G267840
OG0000065	Np003G168940	Om005G217710
OG0000065	Np008G428560, Np008G428010	Om007G310120
OG0000066	Np003G137390	Om001G039490
OG0000066	Np005G262320	Om001G039500, Om004G164550
OG0000066	Np003G136700	Om008G337830, Om006G231860
OG0000066	Np003G136710	Om004G165570
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	Om001G023220
OG0000068	Np002G089430	Om006G264170, Om007G304230, Om004G149200, Om004G147110
OG0000068	Np003G152860, Np004G247010, Np001G023980, Np002G112070, Np007G393050, Np002G095360, Np006G328420, Np002G104000	Om003G109360, Om001G015230, Om008G350760, Om006G263810, Om008G342030, Om002G073940
OG0000069	Np003G152400	Om005G212160
OG0000070	Np002G101130	Om008G344650
OG0000070	Np002G100330	Om005G218350
OG0000070	Np002G101580	Om004G150670
OG0000070	Np002G097070, Np006G358640, Np002G099070	Om007G311790
OG0000070	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960	Om012G367940, Om012G366740
OG0000070	Np002G099050	Om007G307520, Om004G146520
OG0000071	Np001G008970, Np006G370520, Np003G157740	Om001G016290, Om004G163830
OG0000071	Np003G163260, Np003G136370, Np006G335610, Np002G086650, Np001G013300, Np006G331390, Np001G008190, Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530	Om008G360280, Om004G166900
OG0000071	Np005G271980, Np004G200680, Np006G328540, Np001G013290	Om001G039370
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	Om006G262700, Om007G309250, Om011G365680, Om001G001700
OG0000072	Np001G034150	Om007G308740, Om006G246100, Om002G077420, Om005G220330, Om010G364650, Om003G106210, Om003G102400, Om010G364730, Om001G017210, Om008G353090, Om003G109200
OG0000074	Np004G229920	Om004G144080
OG0000074	Np004G230020	Om004G144240, Om004G144070, Om004G144330, Om004G144320
OG0000074	Np004G229960	Om004G144060
OG0000074	Np004G229890	Om004G144350
OG0000074	Np004G230030	Om004G143980
OG0000074	Np003G180910, Np003G184200	Om004G144100
OG0000075	Np007G378600	Om005G191180, Om008G356700, Om004G132620, Om001G003590, Om001G003700
OG0000076	Np007G423950	Om006G242520
OG0000076	Np001G021860	Om003G090370
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	Om001G039420, Om001G034120, Om001G040110, Om005G191300
OG0000077	Np007G386290	Om001G033890
OG0000077	Np006G360730	Om001G036960, Om001G036970, Om001G036980, Om001G036990, Om001G037020, Om001G037000, Om001G033540, Om001G032490
OG0000078	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660	Om007G305480, Om008G337420
OG0000079	Np001G064190	Om003G122890, Om003G122910, Om003G122930, Om003G122940
OG0000079	Np007G422670	Om003G123020
OG0000079	Np007G389360	Om003G122800, Om003G122790
OG0000079	Np001G064140	Om003G122810
OG0000080	Np006G334220	Om004G135430
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	Om001G013570
OG0000080	Np006G351210, Np005G318150, Np005G318140, Np004G240560, Np006G328080	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	Np004G196080, Np004G196070	Om003G098080
OG0000082	Np005G299120, Np006G332300	Om008G349260
OG0000082	Np005G274330	Om003G121830, Om002G084590
OG0000083	Np002G090350	Om005G206370
OG0000084	Np006G365060, Np006G365040	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000087	Np001G049810, Np001G010980	Om006G238380
OG0000087	Np006G350150, Np008G428160	Om007G282390
OG0000087	Np005G287050	Om006G235110
OG0000087	Np003G139100	Om004G162490
OG0000087	Np001G039930	Om008G355890
OG0000087	Np005G287110	Om001G006430
OG0000087	Np002G077440	Om004G137360
OG0000088	Np001G038910, Np001G038970	Om003G119630
OG0000088	Np003G148700, Np003G148740	Om006G242180
OG0000089	Np003G136030	Om004G166350
OG0000089	Np007G395030	Om002G065930
OG0000089	Np007G409340	Om002G055730
OG0000089	Np006G336940	Om006G254270, Om008G335280
OG0000089	Np001G046210	Om006G246310, Om006G246300
OG0000090	Np004G235330	Om005G202290, Om005G179690
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	Om004G136810
OG0000090	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600	Om003G098630, Om003G099040
OG0000090	Np007G385680, Np001G065320, Np001G065030	Om002G055690, Om003G124430
OG0000091	Np003G165480	Om006G264850, Om002G080860
OG0000093	Np001G063230	Om003G122050
OG0000093	Np001G005730	Om001G033140
OG0000093	Np001G063180	Om003G122010
OG0000096	Np001G024770	Om007G301150, Om003G093070, Om006G274060
OG0000096	Np001G038130, Np002G092700	Om004G143550, Om008G360980
OG0000097	Np003G184990	Om008G355560
OG0000097	Np003G185010	Om008G355570
OG0000097	Np003G171600	Om008G355700
OG0000097	Np003G185030	Om008G355610, Om008G355650, Om008G354170, Om008G354150
OG0000098	Np002G116580	Om001G001780
OG0000099	Np002G113890, Np002G123650, Np007G403740	Om005G227540, Om005G227530, Om005G227500, Om005G227490, Om005G227470, Om005G227460, Om008G361970
OG0000099	Np002G123570, Np004G227550, Np002G123550	Om005G227260
OG0000099	Np002G123540	Om003G118970
OG0000099	Np004G215640	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320
OG0000099	Np004G228310, Np002G123620, Np002G123600, Np002G119820, Np002G123590, Np002G123610, Np002G112400	Om005G227510
OG0000100	Np004G233090, Np003G158140	Om007G304610
OG0000100	Np006G360420, Np005G260470	Om004G142840
OG0000101	Np002G123360	Om005G227680, Om005G227700, Om005G227110
OG0000104	Np004G251930	Om005G185360
OG0000104	Np006G360060	Om007G283050, Om007G283070
OG0000104	Np006G360100	Om007G283020
OG0000104	Np004G195160	Om003G095420
OG0000104	Np007G381330	Om002G069400
OG0000104	Np006G360080	Om007G283060
OG0000106	Np007G394220	Om002G065290
OG0000107	Np007G398440, Np007G418450	Om002G067730
OG0000107	Np007G380680	Om004G133090, Om001G020080
OG0000107	Np005G305610	Om002G067720, Om007G309010
OG0000108	Np001G011650, Np001G011550	Om003G100270, Om003G100260
OG0000108	Np007G389900	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810
OG0000108	Np004G259470	Om006G273840, Om006G273820, Om006G273810
OG0000110	Np001G064490	Om003G123410
OG0000110	Np001G064470	Om003G123400
OG0000111	Np001G006010	Om006G259270
OG0000111	Np001G006000	Om004G134730, Om004G134740, Om006G234230
OG0000112	Np003G184320	Om006G237220, Om006G237210, Om001G003630, Om008G359070, Om008G359090, Om008G359060, Om005G189180
OG0000113	Np002G122980	Om005G227040, Om005G227030
OG0000113	Np002G089300	Om008G360430
OG0000113	Np002G089320	Om008G360410, Om008G360750
OG0000118	Np005G315460	Om008G333780
OG0000119	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890, Om002G078050, Om003G114030, Om001G022840, Om005G223060, Om007G309980
OG0000119	Np004G207330, Np002G099820, Np005G299250, Np003G165980, Np004G231120, Np005G282950, Np004G230600, Np003G169670, Np003G176970	Om004G164230, Om005G214120, Om005G222850
OG0000119	Np002G102980	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	Np002G117060, Np002G116940	Om005G221860
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520
OG0000120	Np003G129250	Om007G296760, Om007G296900
OG0000122	Np003G157760	Om004G163000
OG0000122	Np001G056320	Om003G118900, Om003G118890, Om003G118880
OG0000122	Np003G158000	Om003G118720
OG0000123	Np004G243230	Om005G193630
OG0000123	Np004G243210	Om005G193640
OG0000124	Np006G348530	Om008G318760, Om007G317440
OG0000125	Np003G126800	Om002G052080
OG0000125	Np003G151060	Om006G244360
OG0000125	Np003G152340	Om006G245540
OG0000125	Np006G359820	Om007G283300
OG0000126	Np002G094910	Om006G262390
OG0000127	Np003G125840	Om004G176280
OG0000127	Np002G096200	Om005G189960
OG0000131	Np003G174400	Om003G106820, Om007G307190
OG0000133	Np005G308080	Om008G345870, Om008G349240
OG0000133	Np002G099680, Np008G425630	Om008G358290, Om008G345600, Om001G024110, Om007G315880
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	Om002G054930, Om005G226530
OG0000137	Np003G159210, Np001G035140, Np002G094880	Om002G072120, Om006G268330, Om006G262830
OG0000137	Np003G131090, Np002G110900	Om006G258530
OG0000138	Np002G085290	Om005G207670, Om005G207700
OG0000138	Np002G085240, Np002G085270, Np002G085250	Om001G026370
OG0000139	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840	Om003G107910, Om003G108000
OG0000140	Np003G153340	Om006G246590
OG0000140	Np006G370470, Np006G370770	Om006G258900, Om006G244250, Om001G032190, Om006G246600
OG0000140	Np003G153920	Om006G247230, Om006G247200
OG0000140	Np003G153430, Np007G424390, Np003G153390	Om006G246640
OG0000140	Np001G046630	Om006G266710
OG0000142	Np006G360490	Om007G282660
OG0000144	Np007G408140	Om022G374950
OG0000145	Np005G299660	Om005G215130
OG0000146	Np003G160050	Om003G117410
OG0000146	Np003G160210	Om006G249020
OG0000146	Np003G160230	Om003G117350
OG0000146	Np003G160060, Np003G160140, Np003G160190	Om003G117400, Om003G117360
OG0000146	Np003G160640	Om003G090770
OG0000146	Np003G182950	Om008G326830
OG0000147	Np007G373950	Om002G086500
OG0000147	Np005G273990	Om001G025660
OG0000147	Np003G156060	Om007G285990, Om006G249440
OG0000147	Np002G071170	Om004G130850
OG0000147	Np001G043050	Om006G268290
OG0000147	Np007G389960	Om002G078960
OG0000149	Np003G152750	Om006G245850
OG0000149	Np003G152680	Om006G245840
OG0000150	Np003G156160, Np003G156150, Np003G183630	Om008G323560
OG0000151	Np003G164170	Om003G114720
OG0000151	Np005G277020	Om001G021860
OG0000151	Np007G376880	Om002G082850
OG0000151	Np003G158280	Om003G118410
OG0000152	Np004G226970	Om003G098350
OG0000154	Np002G086500	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420
OG0000154	Np004G240190	Om005G196960
OG0000154	Np007G408850	Om002G056330
OG0000154	Np006G330440	Om004G147280
OG0000154	Np003G126710	Om004G175620
OG0000154	Np003G126700, Np003G127150, Np002G112020	Om004G175630
OG0000155	Np004G218540	Om001G020030
OG0000155	Np005G287960	Om001G007100
OG0000155	Np007G409550	Om002G055620
OG0000156	Np001G066040	Om006G244600
OG0000156	Np006G324150	Om008G322060
OG0000156	Np006G324140	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020
OG0000157	Np006G338300	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660
OG0000158	Np001G070050	Om004G142800, Om001G036830, Om001G012390, Om001G033100, Om001G033130
OG0000160	Np006G327850	Om006G260300, Om005G203330, Om001G023460, Om002G054080, Om003G092480
OG0000160	Np002G094170	Om006G239520, Om003G114830, Om001G041000, Om006G275250, Om004G160260, Om003G104260, Om002G079610
OG0000161	Np001G008600, Np001G006330, Np001G006400	Om006G236100, Om006G236170
OG0000161	Np005G311810	Om007G278440
OG0000161	Np002G086610	Om004G167210, Om006G249300
OG0000162	Np006G363910	Om003G125340
OG0000162	Np001G066230	Om003G125170
OG0000162	Np006G353880	Om003G125360
OG0000162	Np006G324990	Om008G322780, Om008G322790
OG0000164	Np005G275210	Om001G024320
OG0000164	Np005G261970	Om001G039840
OG0000165	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680	Om005G200180, Om007G315340
OG0000166	Np001G026760, Np005G278550	Om002G081230
OG0000166	Np003G159070	Om006G255610, Om002G081240, Om002G060790
OG0000167	Np005G289610	Om001G004410
OG0000167	Np004G202230	Om001G004360
OG0000167	Np005G289620	Om001G004400, Om001G004440
OG0000167	Np005G289670, Np005G289680	Om001G004340
OG0000168	Np007G418090, Np005G293780	Om001G041790
OG0000171	Np006G321770, Np001G068570	Om003G127920
OG0000171	Np002G116080, Np004G248080	Om005G220880
OG0000171	Np003G141590	Om007G301020
OG0000174	Np004G217810	Om003G109150
OG0000175	Np007G375370, Np001G053050	Om002G084540
OG0000175	Np002G077280	Om004G137100
OG0000175	Np007G376890	Om002G082840
OG0000176	Np005G310750, Np005G310470	Om001G007740, Om001G007770, Om001G007760, Om004G147890, Om004G147900, Om004G142560, Om007G292150
OG0000177	Np005G303140	Om002G077990
OG0000177	Np005G303130, Np003G152980	Om004G151970
OG0000178	Np002G123320, Np001G009130	Om006G274730, Om001G029800, Om003G091050, Om004G155850, Om002G053360, Om005G210720
OG0000180	Np005G291330, Np005G294660, Np005G291290, Np005G292670, Np005G292680, Np005G291280	Om008G336650
OG0000180	Np006G370740, Np006G370680	Om006G256410, Om003G119900
OG0000184	Np006G360300, Np002G106510	Om006G270790
OG0000186	Np006G361310	Om007G285030
OG0000186	Np004G219150	Om004G150540
OG0000187	Np005G271570	Om001G030100, Om008G336940
OG0000187	Np005G271520	Om004G145860, Om004G145950
OG0000187	Np005G271420	Om001G028260, Om001G028280
OG0000188	Np007G412320	Om002G075380
OG0000189	Np005G262130	Om007G298410, Om006G250870, Om001G039670
OG0000189	Np001G019990	Om007G308480, Om007G308250, Om007G308860, Om001G038960, Om001G037320
OG0000190	Np003G183360	Om008G353940
OG0000190	Np003G183510	Om008G355670
OG0000191	Np007G391150, Np007G391080	Om005G197150
OG0000192	Np002G086820, Np007G389770, Np002G076020	Om005G203440
OG0000193	Np007G384080	Om002G071740, Om002G071690
OG0000193	Np007G380880, Np007G381040, Np007G381000	Om005G206290
OG0000195	Np001G043630	Om006G243060
OG0000195	Np006G330650, Np003G149770	Om008G328660
OG0000195	Np005G312480, Np002G094990, Np001G061270	Om007G285150
OG0000196	Np004G212030	Om005G185020, Om005G182080
OG0000197	Np002G087170	Om008G330910, Om001G002150, Om004G163020
OG0000200	Np004G253810, Np003G178590, Np003G177800, Np003G177780, Np003G180100, Np003G179170, Np003G178080	Om004G141410, Om003G096320, Om003G096270, Om003G096260, Om001G015930, Om002G066490, Om002G066530, Om005G183320, Om005G183380
OG0000200	Np004G254580	Om005G182720
OG0000203	Np001G033810	Om002G052090, Om002G046440
OG0000203	Np007G420280, Np004G195540	Om003G095370, Om002G055150
OG0000203	Np007G420850	Om002G046450, Om002G046460
OG0000207	Np002G073040	Om008G331300
OG0000207	Np002G073110, Np002G073100	Om003G098840, Om003G098830, Om004G132790, Om005G197960, Om005G197970, Om004G132740, Om004G132730
OG0000209	Np002G123950	Om005G228040, Om005G227980
OG0000209	Np002G123960, Np002G123970	Om005G228150
OG0000209	Np002G124020	Om005G228080
OG0000210	Np006G357820	Om007G278540
OG0000210	Np006G357760	Om007G278560
OG0000213	Np005G312500	Om002G053370
OG0000213	Np006G368010, Np006G368000	Om001G036460, Om001G036440, Om001G036450
OG0000214	Np007G375860	Om007G281030
OG0000214	Np003G186320, Np003G186260	Om004G145430, Om004G136700, Om004G136680, Om004G145470
OG0000215	Np006G336640	Om003G099020
OG0000216	Np004G202700, Np005G274080, Np005G314870	Om001G007580
OG0000216	Np004G202710, Np005G314880, Np005G274090, Np001G003750	Om001G008700
OG0000218	Np004G241490, Np004G241460	Om005G195550
OG0000218	Np006G363350, Np003G174250	Om005G195570, Om005G195580
OG0000218	Np005G283350	Om001G010890, Om001G010900, Om001G010920
OG0000218	Np001G027320	Om004G138180
OG0000218	Np001G027310	Om006G241660
OG0000219	Np001G006200, Np001G008160, Np001G006180	Om008G350180, Om006G237850, Om006G237870
OG0000221	Np007G412330	Om002G088910
