Orthogroup	Noccaea_praecox	Camelina_sativa
OG0000008	Np001G053530	XP_019097389.1, XP_019092334.1, XP_019087202.1, XP_019102002.1, XP_010468441.1, XP_010451612.1, XP_010489748.1, XP_010424520.1, XP_010419764.1, XP_010484992.1, XP_010474114.1, XP_010445056.1, XP_010481160.1, XP_010480985.1, XP_010481083.1, XP_010424377.2, XP_010445494.1, XP_010456943.1, XP_019086305.1, XP_019084336.1, XP_019099860.1, XP_010431254.1, XP_010507402.1, XP_010507400.1, XP_019101905.1, XP_010431252.2, XP_010434876.2, XP_010451668.1, XP_010495526.1, XP_019100926.1, XP_010456996.1, XP_010484804.1, XP_010456594.1, XP_010495176.1, XP_010497048.1
OG0000012	Np006G343630, Np002G100520	XP_010424636.1
OG0000012	Np004G218280	XP_010489881.1, XP_010417428.1
OG0000012	Np005G318540, Np002G106560	XP_010506933.1
OG0000012	Np006G341490	XP_019090144.1
OG0000012	Np003G171230	XP_010490106.1
OG0000012	Np002G106990	XP_019085500.1, XP_010431149.1, XP_019092394.1
OG0000012	Np002G110330	XP_010489845.1
OG0000012	Np004G217770	XP_010430986.1, XP_010475417.1, XP_010484854.1, XP_010419111.1
OG0000012	Np006G341500	XP_010495582.1
OG0000013	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160	XP_019090157.1, XP_010462812.1, XP_010430984.1, XP_010474117.1, XP_019093237.1, XP_010475339.1, XP_010418610.1, XP_019094462.1, XP_010431304.1, XP_019090236.1, XP_010430896.1, XP_010490049.1
OG0000013	Np002G102600, Np003G173130	XP_010462887.1, XP_010489385.1
OG0000013	Np004G228920	XP_019092248.1, XP_010436763.1, XP_010412548.1, XP_010468557.1
OG0000014	Np001G042570, Np002G073300	XP_010513382.1, XP_010413036.1
OG0000014	Np003G187370, Np011G435870, Np002G097020	XP_010430806.1
OG0000015	Np005G274380	XP_010480818.1, XP_010456599.1, XP_010497195.1
OG0000015	Np007G402630	XP_010501828.1, XP_019084456.1, XP_010418862.1, XP_019090265.1, XP_010497072.1, XP_010496259.1
OG0000015	Np008G427030	XP_019101930.1, XP_010481012.1, XP_010497067.1, XP_010424221.1, XP_010495723.1, XP_010430713.1, XP_010497070.1, XP_010513208.1, XP_010451702.1
OG0000015	Np001G036120	XP_010412881.1, XP_010463160.1
OG0000017	Np003G166290	XP_010490144.2, XP_010419513.2, XP_019093393.1, XP_010485084.1, XP_010445327.2, XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1
OG0000017	Np005G282110, Np005G282180, Np007G396400	XP_019092339.1, XP_019086950.1, XP_019090999.1, XP_010499860.1
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	XP_010484820.1, XP_010496602.2, XP_010518556.1, XP_010456610.1, XP_010445717.1, XP_010431070.1, XP_019091017.1, XP_010474695.1, XP_010507197.1, XP_010456729.1, XP_010484803.1
OG0000018	Np004G226280, Np003G180600, Np001G028240, Np005G281980, Np003G149980	XP_010480828.1, XP_019094396.1, XP_019100756.1, XP_019092276.1, XP_019097496.1, XP_010456944.1, XP_010412713.1
OG0000019	Np003G166760, Np002G106220	XP_010496928.1, XP_010501572.1, XP_019084218.1, XP_010496929.1, XP_010456825.1, XP_010497051.1, XP_010496981.1, XP_010480376.1, XP_010451291.1
OG0000019	Np001G029890	XP_010424212.1, XP_019087271.1
OG0000019	Np004G239770	XP_010412777.1
OG0000020	Np008G428370	XP_010446026.1
OG0000020	Np004G226750	XP_019100224.1
OG0000021	Np005G303890	XP_010463070.1, XP_010481219.1, XP_010456454.1, XP_010424514.1, XP_019089179.1, XP_019082748.1, XP_019096508.1, XP_019085542.1, XP_019095265.1, XP_010468638.1, XP_010446081.1, XP_010468560.1
OG0000021	Np005G270390, Np007G393560	XP_010424688.1, XP_010418986.1
OG0000021	Np004G199130	XP_010495645.1
OG0000021	Np004G199140	XP_010436564.1, XP_010507045.1, XP_019082529.1, XP_019100691.1, XP_010490042.1, XP_010412489.1, XP_010490455.1, XP_010419362.1, XP_010430863.1, XP_019094392.1, XP_019082654.1, XP_010489852.1, XP_010481131.1, XP_010418651.1, XP_010462886.1, XP_010431573.1, XP_010446053.1, XP_010463260.1, XP_010501871.1, XP_010445560.1, XP_010445721.1, XP_010412410.1, XP_019084355.1, XP_010418577.1, XP_010501997.1, XP_010484758.1, XP_019100906.1, XP_010431231.1, XP_010513293.1
OG0000021	Np002G120150	XP_019089103.1
OG0000021	Np002G109960, Np003G148260	XP_010424837.2
OG0000023	Np005G283730	XP_019086460.1
OG0000023	Np005G283900	XP_010442801.1
OG0000023	Np005G284120	XP_019097923.1, XP_019087866.1, XP_010448736.1, XP_010448739.1, XP_010418084.1, XP_010439216.1
OG0000023	Np005G284010	XP_010448754.1, XP_010439219.1, XP_010445190.1, XP_010451240.1, XP_010439207.1
OG0000023	Np005G283870	XP_010451236.1
OG0000023	Np005G284070	XP_019087878.1
OG0000024	Np002G092500	XP_010478711.1, XP_010480712.1, XP_010475131.1
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	XP_010430731.1, XP_010512875.1, XP_010451855.2, XP_010423573.1, XP_010490387.1, XP_010423713.1, XP_010518554.1, XP_010474136.1
OG0000025	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	XP_010443019.1
OG0000025	Np003G160480	XP_010446182.1
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	XP_010446868.1, XP_010452778.1, XP_019084603.1, XP_019090606.1, XP_010444978.1
OG0000025	Np003G183240	XP_019089771.1
OG0000026	Np003G172690	XP_010507228.1, XP_010495239.1, XP_010495240.1
OG0000026	Np003G171320	XP_010484799.1, XP_010507266.1, XP_019099615.1, XP_019094547.1, XP_010513491.1, XP_019085625.1, XP_010480550.1, XP_010472603.1, XP_010495810.1, XP_019096500.1, XP_019086251.1, XP_010430881.1, XP_010430821.1, XP_019100880.1, XP_010451597.1, XP_019085450.1, XP_019087697.1, XP_010425957.1, XP_010420286.1, XP_010436691.1, XP_010423392.1, XP_019083352.1, XP_010445918.1, XP_010490058.1
OG0000027	Np004G214870, Np005G271730, Np004G214850	XP_010500449.1
OG0000027	Np004G215070	XP_010501685.1
OG0000027	Np001G057950, Np001G057940	XP_010515603.1, XP_010431261.1, XP_010427640.1, XP_010504689.1, XP_010431427.1, XP_010427857.1, XP_010504688.1, XP_010427639.1, XP_019100391.1, XP_010427641.1
OG0000028	Np006G356860	XP_019090727.1
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	XP_019083654.1, XP_010435359.1, XP_019099915.1
OG0000029	Np002G073630	XP_019086286.1, XP_010490162.1
OG0000029	Np002G090000	XP_010424381.1
OG0000029	Np001G030650	XP_010513534.1
OG0000029	Np001G003630, Np001G034950	XP_010507008.1
OG0000029	Np001G058950, Np007G394270	XP_019096514.1, XP_010484883.1, XP_010513568.1
OG0000029	Np003G168210, Np003G168320	XP_019092299.1, XP_019087400.1
OG0000029	Np004G242790, Np003G126680	XP_010473942.1
OG0000030	Np003G173700	XP_019101232.1, XP_010468709.1
OG0000030	Np006G330890	XP_019084211.1, XP_010501749.1, XP_010490052.1, XP_010468592.1, XP_019098046.1, XP_010470910.1, XP_010431219.1, XP_010507568.1, XP_010480984.1, XP_010501571.1, XP_019092230.1, XP_010513486.1, XP_010473769.1, XP_010513423.1, XP_010424173.1, XP_019083211.1, XP_010424695.1, XP_010481147.1, XP_019099771.1
OG0000031	Np004G244900	XP_010458700.1, XP_019090833.1, XP_010458689.1, XP_010458718.1, XP_019095236.1, XP_010462662.1, XP_019090986.1, XP_010458712.1, XP_010501563.1, XP_010476232.1, XP_010456672.1, XP_019091381.1, XP_010476252.1, XP_010476184.1, XP_010493846.1, XP_019094809.1, XP_019098970.1, XP_010494656.1
OG0000031	Np005G318980	XP_010447152.1, XP_010436064.1
OG0000033	Np005G284050, Np005G284060	XP_010448753.1, XP_010439209.1, XP_010433941.1
OG0000033	Np005G284130	XP_010418085.1, XP_010448756.1, XP_010439218.1
OG0000033	Np005G283960, Np005G284080	XP_010439201.1, XP_019089065.1, XP_010448744.1, XP_010492474.1, XP_010453750.1, XP_019089320.1, XP_010439192.1, XP_019086470.1, XP_010439195.1, XP_019088941.1, XP_010448766.1, XP_010473582.1, XP_010418366.1, XP_010430440.1, XP_010439226.1, XP_010439227.1, XP_010448760.1, XP_019087864.1, XP_010448759.1, XP_010433935.1
OG0000033	Np005G284140	XP_010439220.1, XP_010448755.1, XP_010433938.1
OG0000033	Np005G284150	XP_010448758.1, XP_010439212.1, XP_010433932.1, XP_019089810.1
OG0000034	Np007G396340	XP_019082481.1
OG0000034	Np001G040280	XP_010421714.1
OG0000034	Np006G341510	XP_019100729.1
OG0000035	Np006G356560	XP_010418688.1, XP_010510047.1, XP_010510053.1, XP_010473899.1, XP_010473891.1, XP_010444605.1, XP_010485320.1
OG0000035	Np005G313520	XP_019082534.1, XP_010513136.1, XP_010430751.1, XP_019099592.1, XP_010510111.2, XP_019100801.1, XP_010418693.1, XP_010418694.1, XP_010513131.1, XP_010473897.1, XP_010418692.1, XP_010451775.1, XP_010445677.1, XP_010436818.1, XP_019087514.1, XP_010480559.2, XP_010513764.1, XP_010473806.1, XP_010418592.1, XP_010513763.1, XP_010513762.1, XP_010473972.2, XP_010513302.1
OG0000036	Np005G260660	XP_019086887.1, XP_010493433.1
OG0000036	Np006G350450	XP_010445597.1, XP_019085657.1, XP_010513622.1
OG0000036	Np006G342170, Np003G136960, Np002G107350, Np007G403810	XP_019093348.1, XP_010507131.1, XP_019084347.1, XP_019082584.1, XP_010501541.1, XP_010495691.1, XP_010456723.1
OG0000037	Np001G045190	XP_010463099.1, XP_010420040.1, XP_010412651.1, XP_019089143.1, XP_010424622.1, XP_019086715.1, XP_010484995.1, XP_010470454.1, XP_010451547.1, XP_019084235.1, XP_019084216.1, XP_019101934.1, XP_010456691.1, XP_010445345.1, XP_010468354.1, XP_010463092.1, XP_010473846.1, XP_010420948.1
OG0000037	Np002G088180	XP_019087549.1
OG0000037	Np002G110300, Np005G302190	XP_010484894.1, XP_010490134.1, XP_010412990.1, XP_010518640.1
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	XP_010507624.1, XP_010512960.1, XP_010509052.1, XP_010412781.1, XP_010502501.1, XP_010427246.1
OG0000038	Np007G415720	XP_010424281.1, XP_010495458.2, XP_010495456.1
OG0000038	Np003G157800	XP_010485079.2
OG0000038	Np005G270740, Np005G270650, Np005G270700	XP_019097807.1, XP_019091504.1
OG0000038	Np003G165810	XP_010422360.1
OG0000038	Np005G318000	XP_019100342.1, XP_010509013.1, XP_019082541.1
OG0000039	Np002G110420	XP_010456792.1
OG0000039	Np003G169970, Np003G173960, Np005G281640, Np005G291080, Np002G114120, Np002G083010, Np006G358200, Np006G358160, Np003G164590	XP_010418877.1
OG0000039	Np002G106970	XP_019096217.1
OG0000039	Np002G100620, Np005G297660, Np009G432470	XP_010481178.1
OG0000040	Np001G009070	XP_010462898.1, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010462936.2, XP_010462910.2
OG0000040	Np004G224970, Np004G224940	XP_010480422.1, XP_010501558.2, XP_010419250.2, XP_019096260.1, XP_019096643.1
OG0000040	Np007G407000	XP_010501254.1, XP_019096650.1, XP_019096368.1, XP_010465220.1
OG0000040	Np004G224990	XP_010446114.1, XP_019096373.1
OG0000042	Np006G335330, Np006G369470	XP_010490346.1
OG0000042	Np002G085480, Np007G420820	XP_019085383.1
OG0000042	Np001G027800	XP_010474284.1, XP_019089979.1, XP_019090150.1
OG0000042	Np004G191660	XP_019094451.1, XP_019083342.1
OG0000042	Np003G181700	XP_019085329.1
OG0000043	Np005G296770	XP_019086339.1
OG0000043	Np008G426930	XP_010490378.1, XP_010507049.1, XP_010506879.1, XP_019098175.1, XP_019091106.1, XP_019087585.1, XP_010419074.1, XP_010474092.1
OG0000043	Np002G102430	XP_010419083.1, XP_010507353.1, XP_019086273.1, XP_010424414.1, XP_010463155.1, XP_019098333.1, XP_019085464.1, XP_010501846.1
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	XP_019087961.1, XP_010495787.1, XP_010458616.1, XP_019094579.1
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	XP_019091484.1
OG0000045	Np006G334530	XP_019091421.1
OG0000046	Np005G314650	XP_010435808.1, XP_010441031.1, XP_019089248.1
OG0000046	Np005G313240	XP_019088287.1, XP_010450947.1, XP_019086129.1
OG0000046	Np002G093730	XP_010496110.1
OG0000046	Np005G292150	XP_010439880.1, XP_010412987.2, XP_010439882.2
OG0000046	Np005G313330	XP_010450945.1, XP_010440924.1, XP_010435726.1
OG0000047	Np005G282680	XP_010468532.1, XP_019085178.1, XP_010445366.1
OG0000048	Np007G421470	XP_010514943.1, XP_010485744.1, XP_010463847.1
OG0000048	Np003G145420	XP_010492798.1, XP_010420543.1, XP_010454026.1
OG0000048	Np003G145430, Np003G145400, Np003G145550	XP_019083866.1, XP_019097998.1
OG0000049	Np004G254290	XP_019087653.1
OG0000050	Np002G095340	XP_019085507.1, XP_010430776.1, XP_010497024.1, XP_010445564.1, XP_019098324.1
OG0000050	Np002G094900	XP_010513344.1, XP_010507126.1
OG0000050	Np002G093590, Np001G040200, Np007G402160	XP_010424291.1, XP_010445890.1, XP_019094835.1, XP_019092382.1, XP_019097384.1, XP_010513205.1, XP_010513649.1
OG0000050	Np002G095350	XP_019096831.1
OG0000050	Np002G099150	XP_010430727.1
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	XP_019098849.1, XP_010457379.1, XP_019094361.1, XP_019094954.1, XP_010475218.1
OG0000052	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670	XP_019085682.1, XP_010474608.1, XP_010419487.1
OG0000052	Np002G116290, Np002G116590	XP_010413017.1
OG0000052	Np003G173020	XP_019100718.1, XP_019102056.1
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	XP_010451388.1, XP_010451387.1, XP_010445432.1, XP_010436657.1, XP_010507491.1, XP_010485261.1, XP_010424397.1, XP_010507751.1, XP_010418870.1, XP_010419243.1, XP_010418226.1, XP_010474557.1, XP_010501675.1, XP_010480860.1, XP_010412778.1, XP_010501678.1, XP_010457038.1, XP_010424297.1, XP_010480864.1, XP_010492076.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_019082768.1, XP_010454794.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010474415.1, XP_010501879.1, XP_010513527.1, XP_010513525.1, XP_019094598.1, XP_010467664.1, XP_010495455.1, XP_010436683.1, XP_010444952.1
OG0000053	Np001G008270, Np001G039230, Np003G166770	XP_010424196.1, XP_019102427.1, XP_010456828.1, XP_010424751.1, XP_010456785.1
OG0000053	Np001G040210, Np005G311290, Np006G327430	XP_010415481.1
OG0000054	Np004G255790	XP_019093250.1, XP_019083618.1, XP_019085680.1, XP_019098445.1, XP_010484863.1
OG0000054	Np005G312070	XP_010495579.2, XP_010434904.1
OG0000054	Np005G274000, Np001G042780, Np006G332680	XP_010475682.1
OG0000054	Np003G165300, Np008G427110, Np003G167120, Np002G099610, Np001G054180, Np002G078710, Np001G038630, Np005G282410, Np004G256130, Np006G347850	XP_010445679.1, XP_010442704.1, XP_010497389.1
OG0000055	Np001G046730	XP_010515018.1, XP_010426146.1, XP_019084785.1, XP_010503309.1
OG0000055	Np002G119410	XP_010419456.1
OG0000055	Np002G119520, Np002G119220, Np002G119170	XP_010419451.1, XP_010473417.1, XP_010473416.1, XP_019082750.1, XP_010430231.1, XP_010430224.1, XP_010418173.1, XP_010473415.1, XP_010473414.1, XP_010430223.1, XP_010418172.1
OG0000057	Np007G375320	XP_010424805.1, XP_010449648.2, XP_019092647.1, XP_019089014.1, XP_019092372.1, XP_010490397.2
OG0000057	Np007G398210, Np010G435080, Np007G401600	XP_010431102.1, XP_010465463.1, XP_010465602.1, XP_010419262.1, XP_019096377.1
OG0000057	Np006G333600, Np006G333860, Np003G187520	XP_019092356.1
OG0000058	Np001G038390, Np006G352050, Np005G294870	XP_019097515.1, XP_010495728.1
OG0000058	Np003G189490, Np008G428090, Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510	XP_010463383.1
OG0000059	Np001G044380	XP_010463243.1, XP_010445454.1, XP_019085582.1, XP_010495255.1, XP_010451229.1, XP_010430851.1, XP_010418736.1, XP_010462838.1, XP_019087502.1, XP_019089261.1, XP_010513407.1, XP_010435962.1
OG0000059	Np004G216530	XP_010430719.1
OG0000059	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750	XP_010467312.1, XP_019082547.1, XP_010462974.1, XP_019085605.1, XP_010446110.1, XP_010412544.1, XP_019092278.1, XP_010474049.1
OG0000059	Np005G284980	XP_010412668.1
OG0000062	Np003G173970, Np003G170000	XP_019100816.1, XP_010476531.1
OG0000062	Np004G215200, Np004G229630	XP_010512724.1, XP_019100739.1, XP_019085561.1, XP_019099825.1, XP_019082800.1, XP_010441029.1, XP_010455272.1, XP_019092609.1, XP_010494915.2, XP_010481169.2, XP_010494414.1, XP_019087463.1, XP_019095296.1, XP_019090335.1, XP_019091163.1, XP_010415622.1, XP_010512845.1, XP_019082564.1, XP_019093257.1
OG0000064	Np005G260880	XP_019088762.1, XP_010446406.1, XP_019086777.1
OG0000065	Np008G425980, Np003G168940	XP_019098326.1, XP_019098351.1, XP_019098390.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019094561.1, XP_019094562.1, XP_019089054.1
OG0000065	Np008G428560, Np008G428010	XP_010422526.1, XP_010480845.1, XP_010496878.1, XP_010501916.1, XP_010473931.1
OG0000066	Np005G262320	XP_010437129.1, XP_010453132.1, XP_010491788.1, XP_010431986.1, XP_010431988.1, XP_010419651.1, XP_010480248.1, XP_010488359.1, XP_010471674.1, XP_010428586.1, XP_010466628.1, XP_010447175.1
OG0000066	Np003G136710	XP_010425488.1, XP_010484375.1, XP_010502711.1, XP_010475747.1, XP_010458200.1, XP_010463183.1, XP_010514443.1, XP_010489841.1, XP_010444536.1
OG0000067	Np003G144200	XP_010491460.1, XP_019084672.1
OG0000069	Np001G024920, Np005G293790	XP_010513296.1
OG0000070	Np002G101130	XP_010462765.1, XP_010412662.1, XP_010412664.1, XP_010496096.1, XP_019089253.1, XP_019092323.1, XP_019097462.1, XP_019089247.1
OG0000070	Np009G431140	XP_010463195.1
OG0000070	Np005G293520	XP_019091143.1
OG0000070	Np002G100330	XP_019082595.1
OG0000070	Np002G108600	XP_019084262.1
OG0000070	Np006G350030	XP_010513381.1
OG0000070	Np002G099050	XP_019089192.1
OG0000070	Np007G399950	XP_019096474.1
OG0000070	Np002G099060	XP_010456869.1
OG0000071	Np001G008970, Np006G370520, Np003G157740	XP_019086014.1, XP_019087671.1, XP_010426617.1, XP_010450226.1, XP_010514363.1
OG0000071	Np003G163260, Np003G136370, Np006G335610, Np002G086650, Np001G013300	XP_010426473.1
OG0000071	Np006G331390, Np001G008190, Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530	XP_010416947.1
OG0000071	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	XP_019083108.1, XP_010499810.1
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	XP_019092259.1, XP_019082981.1, XP_010480955.1, XP_019094608.1, XP_019099613.1, XP_019085388.1, XP_019089441.1, XP_019089444.1, XP_010445263.1, XP_019089175.1, XP_019097535.1, XP_010480982.1, XP_019089388.1, XP_019101047.1, XP_010480771.1, XP_019087491.1, XP_019092555.1, XP_010498960.2, XP_019097842.1, XP_019094512.1, XP_019098282.1, XP_010455605.1, XP_010468370.1, XP_019087456.1, XP_019085117.1, XP_019101294.1, XP_010513333.1, XP_010436696.1, XP_010484918.1, XP_019098356.1, XP_010431026.1, XP_010468511.1, XP_010518462.1, XP_019097833.1, XP_010450472.2, XP_010424456.1, XP_019098111.1, XP_019090345.1, XP_010421088.1, XP_019086540.1, XP_019093688.1, XP_010496614.1, XP_010431325.1, XP_019093303.1, XP_019099565.1, XP_010514808.1, XP_010467138.1, XP_010419836.1, XP_010445669.1, XP_010501700.1
OG0000072	Np001G034150	XP_019097510.1
OG0000073	Np006G330840	XP_019096918.1, XP_010468576.2
OG0000074	Np004G229890	XP_010477663.1
OG0000074	Np004G230030	XP_010477661.1, XP_019095155.1
OG0000074	Np003G180910, Np003G184200	XP_010510745.1, XP_019095156.1, XP_010477657.1, XP_019097182.1
OG0000075	Np003G136640	XP_010495133.1, XP_010424706.2
OG0000075	Np007G378600	XP_010458512.1, XP_019094865.1, XP_019094430.1, XP_010460182.1, XP_019095026.1, XP_010496500.1, XP_010490137.1, XP_010468500.2
OG0000076	Np001G021860	XP_010502638.1, XP_010425425.1
OG0000077	Np007G386290	XP_010431932.1, XP_019087113.1, XP_010446508.1
OG0000077	Np005G261710, Np006G360730	XP_010446504.1, XP_010431928.1
OG0000077	Np005G261720	XP_019086095.1, XP_010437077.1, XP_010446510.1
OG0000078	Np002G086990, Np002G097240, Np002G092810	XP_019099724.1
OG0000079	Np001G064190	XP_010512114.1, XP_010512120.1
OG0000079	Np007G422670	XP_010435737.1
OG0000079	Np001G064140	XP_010512106.1, XP_010504853.1
OG0000080	Np006G334220	XP_019084383.1, XP_010452572.1, XP_010436712.1
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	XP_010448996.1, XP_010481076.1, XP_010495296.1, XP_010434141.1, XP_010451304.1
OG0000080	Np002G124540	XP_019083787.1
OG0000080	Np002G124500, Np002G124510	XP_010430593.1, XP_010441286.1, XP_010436072.1
OG0000080	Np005G278660	XP_010433411.2, XP_010445103.2, XP_010451164.1
OG0000080	Np005G318150, Np005G318140	XP_010510427.1, XP_010414309.1
OG0000080	Np006G328080	XP_010491240.1
OG0000081	Np001G010770	XP_010412597.1, XP_010431050.2
OG0000081	Np003G176780, Np003G176800, Np003G176750	XP_010470626.1, XP_010468187.1
