Orthogroup	Noccaea_praecox	Cardamine_glauca
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660	Cg004G146250, Cg006G204780, Cg003G097370, Cg005G181880, Cg005G186560, Cg005G187160, Cg003G100780, Cg005G180320, Cg001G029590, Cg003G086110, Cg003G090290
OG0000058	Np005G294870	Cg007G261210
OG0000062	Np003G173970, Np003G170000	Cg007G260660, Cg005G180090
OG0000062	Np004G205130, Np004G215200, Np004G229630	Cg010G326150
OG0000063	Np004G251560, Np006G359840	Cg002G061320
OG0000064	Np005G260880	Cg001G000750
OG0000064	Np001G036990	Cg008G325030
OG0000065	Np003G168940	Cg001G020190
OG0000066	Np005G262320	Cg007G276160, Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880, Cg001G001880, Cg001G001890
OG0000066	Np003G136700	Cg008G290840
OG0000066	Np004G250510	Cg008G290850
OG0000066	Np003G136710	Cg003G113360
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	Cg004G154470
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140, Np003G155590	Cg007G270520
OG0000067	Np003G144200	Cg008G318950
OG0000070	Np002G097070, Np006G358640, Np002G099070	Cg002G063700
OG0000071	Np001G008970, Np006G370520, Np003G157740	Cg005G184980
OG0000071	Np003G163260, Np003G136370, Np006G335610, Np002G086650, Np001G013300	Cg006G240460
OG0000071	Np004G200680, Np006G328540	Cg003G105610
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	Cg008G307960, Cg001G029810, Cg001G029820, Cg008G307970
OG0000074	Np004G229890	Cg006G222160
OG0000074	Np003G180910, Np003G184200	Cg006G222230, Cg006G222200, Cg006G222240, Cg006G222220
OG0000075	Np003G136640	Cg008G291500, Cg008G290800, Cg008G290770
OG0000075	Np007G378600	Cg004G148530, Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300
OG0000075	Np004G233640	Cg008G301210
OG0000076	Np001G021860	Cg002G071650
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	Cg004G151030, Cg005G160440
OG0000078	Np002G086990, Np002G097240, Np002G092810	Cg002G071190
OG0000079	Np001G064190, Np007G422670	Cg002G047470
OG0000079	Np007G389360	Cg005G185620
OG0000080	Np006G334220	Cg005G158270
OG0000080	Np005G318150, Np005G318140	Cg005G177050, Cg005G176650
OG0000080	Np004G240560, Np006G328080	Cg005G177060
OG0000081	Np003G145640	Cg008G298500
OG0000083	Np002G090350	Cg005G178780
OG0000083	Np007G418940	Cg005G190490
OG0000084	Np006G365030, Np006G365010, Np006G365440, Np006G366050	Cg005G189500
OG0000087	Np001G010980	Cg008G303510
OG0000087	Np006G350150, Np008G428160	Cg005G177380
OG0000087	Np005G287050	Cg003G110470
OG0000087	Np003G139100	Cg008G292710
OG0000087	Np001G039930	Cg008G320640
OG0000087	Np005G287110	Cg001G020160
OG0000087	Np002G077440	Cg007G276340
OG0000088	Np001G038910, Np001G038970	Cg005G181240
OG0000088	Np003G148700, Np003G148740	Cg001G039390, Cg008G300920
OG0000088	Np001G052870	Cg003G090240, Cg003G095710
OG0000089	Np003G136030	Cg008G290150
OG0000089	Np007G395030	Cg004G135460
OG0000089	Np007G409340	Cg004G127880
OG0000089	Np001G056580, Np006G336940	Cg005G168860
OG0000090	Np004G235330	Cg006G225800
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850
OG0000090	Np007G385680, Np001G065320, Np001G065030	Cg001G005770
OG0000090	Np007G389920	Cg006G235770
OG0000093	Np001G063230	Cg002G047960
OG0000093	Np001G063180	Cg002G047970
OG0000093	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	Cg004G145440, Cg004G145260
OG0000093	Np005G317970	Cg002G047940
OG0000096	Np002G112160	Cg007G252880
OG0000096	Np001G024770	Cg002G073910, Cg002G073940, Cg002G073930
OG0000097	Np003G184990	Cg003G079780, Cg003G094240
OG0000097	Np003G185010	Cg003G079770, Cg003G094250
OG0000097	Np003G171600	Cg003G079730, Cg003G094300
OG0000097	Np003G185030	Cg003G094290, Cg003G079740, Cg003G079760
OG0000099	Np002G123560, Np004G228320	Cg007G246280, Cg007G246260, Cg007G246270
OG0000099	Np002G113890, Np002G123650, Np007G403740, Np002G123570, Np004G227550, Np002G123550, Np003G166880, Np003G163580, Np002G123540, Np004G215640, Np004G228310, Np002G123620, Np002G123600, Np002G119820, Np002G123590, Np002G123610, Np002G112400, Np002G123530, Np004G215470, Np007G403720, Np002G121140	Cg007G249510
OG0000100	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190	Cg006G202960, Cg007G265000
OG0000100	Np004G233090, Np003G158140	Cg008G316000
OG0000101	Np002G122780	Cg007G246670
OG0000104	Np004G251930	Cg006G238510
OG0000104	Np006G360060	Cg005G178080
OG0000104	Np006G360100	Cg005G177920
OG0000104	Np004G195160	Cg006G200560
OG0000104	Np007G381330	Cg004G138340
OG0000104	Np006G360090	Cg005G178050
OG0000104	Np006G360080	Cg005G178070
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	Cg004G136130
OG0000107	Np007G398440, Np007G418450	Cg005G182320
OG0000107	Np007G398420	Cg004G136910, Cg004G136890, Cg004G136900
OG0000108	Np001G011650, Np001G011550	Cg008G306430
OG0000108	Np007G389900	Cg004G146470
OG0000108	Np004G259470	Cg007G245680, Cg007G245670
OG0000109	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320	Cg006G211600
OG0000109	Np003G183100, Np004G217760	Cg002G064440
OG0000110	Np001G064490	Cg002G047270
OG0000110	Np001G064470	Cg002G047280
OG0000110	Np001G064520	Cg002G047240
OG0000110	Np001G064540	Cg007G269260
OG0000111	Np001G058370	Cg002G051630
OG0000112	Np003G184320	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460
OG0000113	Np002G122980	Cg007G253910
OG0000113	Np002G123190	Cg007G253850, Cg007G250960
OG0000117	Np007G391540	Cg004G155040, Cg014G333100, Cg005G179380, Cg001G030950
OG0000118	Np001G044480, Np005G313880	Cg003G083280, Cg003G083300, Cg006G212340, Cg006G212330, Cg006G212350, Cg003G083440, Cg003G083420, Cg003G083410, Cg003G083390, Cg003G083400, Cg003G083370, Cg003G083380, Cg003G083350, Cg003G083310, Cg003G083460, Cg006G204540, Cg002G064450, Cg013G330430
OG0000119	Np004G207330, Np002G099820, Np005G299250, Np003G165980, Np004G231120, Np005G282950, Np004G230600, Np003G169670, Np003G176970	Cg003G096910, Cg005G178360
OG0000119	Np002G102980	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680
OG0000120	Np002G117060, Np002G116940	Cg007G250010, Cg007G249930
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	Np003G129250	Cg008G285500
OG0000122	Np003G157830	Cg003G103770
OG0000123	Np004G243230	Cg001G014410
OG0000123	Np004G243210	Cg006G232300
OG0000123	Np005G279480	Cg001G014420
OG0000124	Np006G348530	Cg002G063920, Cg003G086460
OG0000125	Np001G056500, Np006G337140	Cg002G052860
OG0000125	Np003G126800	Cg008G283340
OG0000125	Np003G151060	Cg008G302630
OG0000125	Np003G152340	Cg003G107610
OG0000125	Np006G359820	Cg005G178390
OG0000126	Np002G094910	Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	Np003G125840	Cg007G262300, Cg007G263860
OG0000127	Np007G413700, Np001G046260, Np007G413710	Cg004G124780
OG0000127	Np002G096200	Cg007G262280
OG0000131	Np003G174400	Cg002G057540, Cg008G315100
OG0000132	Np003G171960	Cg001G031120, Cg001G029490
OG0000132	Np004G202170	Cg008G315710, Cg008G321260, Cg008G315700, Cg008G321280
OG0000133	Np002G099680, Np008G425630	Cg007G269340
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	Cg004G138210
OG0000136	Np005G312700	Cg001G037110
OG0000136	Np005G302230	Cg001G037040
OG0000136	Np005G312640	Cg001G037100
OG0000137	Np003G159210, Np001G035140, Np002G094880	Cg001G031800
OG0000137	Np005G318010	Cg001G041290
OG0000138	Np002G085260, Np006G368140	Cg001G039000
OG0000138	Np002G085240, Np002G085270, Np002G085250	Cg002G067580, Cg002G067290
OG0000139	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840	Cg005G182990
OG0000140	Np003G153340	Cg003G106820
OG0000140	Np003G153440	Cg003G106800
OG0000140	Np003G153920	Cg003G106450
OG0000140	Np003G153420	Cg003G106440
OG0000140	Np003G153430, Np007G424390, Np003G153390	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	Np006G360490	Cg005G177630
OG0000144	Np007G383120, Np007G425540, Np001G049380, Np007G408140	Cg005G182040
OG0000146	Np003G160050	Cg003G102630
OG0000146	Np003G160040	Cg003G102640
OG0000146	Np003G160230	Cg003G102600
OG0000146	Np003G160060, Np003G160140, Np003G160190	Cg003G102620
OG0000146	Np003G160200	Cg003G102610
OG0000147	Np007G373950	Cg004G155250
OG0000147	Np005G273990	Cg001G010340
OG0000147	Np003G156060	Cg003G104960
OG0000147	Np002G071170	Cg007G280860
OG0000147	Np007G389960	Cg004G146670
OG0000149	Np001G046040	Cg002G060900
OG0000149	Np001G046110	Cg002G060880
OG0000149	Np003G152730	Cg003G107300, Cg003G107310
OG0000149	Np003G152700	Cg003G107320
OG0000149	Np003G152680	Cg003G107330, Cg003G107340
OG0000149	Np001G046030	Cg002G060920
OG0000150	Np001G049320	Cg001G004220
OG0000151	Np003G164170	Cg003G100170
OG0000151	Np005G277020	Cg001G012710
OG0000151	Np007G376880	Cg004G152640
OG0000151	Np003G158280	Cg003G103430
OG0000151	Np002G123910	Cg007G246070
OG0000154	Np004G240190	Cg006G229860
OG0000154	Np007G408850	Cg004G128290
OG0000154	Np007G413420	Cg004G125060
OG0000154	Np003G126710	Cg008G283240
OG0000154	Np003G126700, Np003G127150, Np002G112020	Cg008G283230
OG0000155	Np004G218540	Cg001G013440
OG0000155	Np005G287960	Cg001G019650
OG0000155	Np007G409550	Cg004G127780
OG0000156	Np001G066790	Cg002G045690
OG0000158	Np005G286690, Np005G286640, Np003G129260	Cg008G283250
OG0000158	Np001G048650, Np001G049230, Np001G050690, Np005G295650, Np007G406120, Np001G028290, Np001G028380, Np001G028350	Cg005G184100
OG0000160	Np006G327850, Np006G338270, Np003G167760, Np003G172190, Np002G094170	Cg007G264990, Cg006G202970
OG0000160	Np002G095190	Cg003G091850
OG0000161	Np001G008600	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	Np005G311810	Cg007G261320
OG0000161	Np002G086610	Cg007G257190
OG0000162	Np006G363910	Cg008G314630
OG0000162	Np001G066230	Cg002G046140
OG0000162	Np006G324990	Cg005G160860
OG0000164	Np004G198520	Cg008G307470
OG0000165	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680	Cg009G325660
OG0000167	Np005G289610	Cg001G021130
OG0000167	Np004G202230	Cg001G021160
OG0000168	Np007G418090, Np005G293780	Cg001G034720
OG0000171	Np006G321770, Np001G068570	Cg002G044340
OG0000171	Np003G141590	Cg008G294880
OG0000174	Np007G396640	Cg006G205470, Cg006G207030
OG0000174	Np004G217810	Cg009G325780, Cg006G205480
OG0000175	Np007G375370, Np001G053050	Cg002G055540
OG0000175	Np002G077280	Cg007G276430
OG0000175	Np004G235400	Cg006G225880
OG0000175	Np005G267520	Cg001G004130
OG0000176	Np005G310450, Np005G310750, Np005G310470	Cg006G215620
OG0000177	Np006G349030	Cg007G261230
OG0000177	Np007G404410, Np007G403560	Cg007G253550, Cg005G182360, Cg007G250370, Cg006G214000
OG0000178	Np002G123320, Np001G009130, Np003G148710, Np002G110800, Np005G274500, Np006G367500, Np002G124800	Cg002G069730, Cg002G066500
OG0000180	Np006G370740, Np006G370680	Cg001G043140
OG0000180	Np005G291320	Cg007G269630
OG0000184	Np006G360300, Np002G106510, Np011G435860, Np005G276430	Cg006G215550
OG0000187	Np005G271570	Cg001G008920
OG0000189	Np001G019990	Cg002G073510, Cg001G002260, Cg001G002250
OG0000190	Np003G183500	Cg006G210720
OG0000190	Np003G183510	Cg006G210710
OG0000191	Np006G339030, Np006G337320	Cg005G168430
OG0000191	Np005G291410	Cg003G087540
OG0000193	Np007G384080, Np007G384380, Np007G387690	Cg004G140730
OG0000195	Np006G361540	Cg005G182280
OG0000195	Np005G312480	Cg001G036760
OG0000196	Np004G214150, Np004G214340, Np003G165450	Cg006G202640
OG0000196	Np004G254380	Cg006G240790
OG0000196	Np004G214160, Np004G214310, Np003G165460	Cg006G202630
OG0000196	Np004G254390	Cg006G240780
OG0000197	Np001G016100, Np005G310190, Np002G087170, Np003G167690	Cg001G041590
OG0000203	Np007G420280, Np004G195540	Cg004G120290
OG0000203	Np007G420850	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000204	Np005G302460, Np006G366470	Cg006G200670
OG0000204	Np007G381450	Cg004G138460
OG0000205	Np004G252280	Cg003G098990, Cg003G098960, Cg003G098910
OG0000209	Np002G123950	Cg007G246040
OG0000209	Np002G123940, Np002G091400	Cg001G042590
OG0000210	Np006G357820	Cg005G173490
OG0000210	Np004G205190	Cg005G173500
OG0000213	Np006G368010	Cg005G191770
OG0000214	Np003G186320, Np003G186260	Cg003G078170
OG0000216	Np006G361190	Cg001G018790, Cg001G018760
OG0000218	Np004G241490	Cg006G230920
OG0000218	Np004G241460	Cg006G230900, Cg006G230890
OG0000218	Np005G283350	Cg002G072370
OG0000218	Np001G027320, Np001G027310	Cg002G075340
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	Cg003G095240, Cg003G111060
OG0000220	Np003G158780	Cg003G103090
OG0000221	Np007G412340, Np007G412330	Cg005G182530
OG0000222	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420	Cg008G315660, Cg004G151260, Cg001G038580
OG0000224	Np002G121630, Np002G121680, Np002G121650, Np002G121690	Cg007G247160
OG0000226	Np001G068820, Np001G002660, Np001G003000	Cg003G113210
OG0000226	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340	Cg004G128760, Cg006G218020
OG0000228	Np004G230940	Cg008G307350
OG0000228	Np004G230880	Cg002G069120
OG0000228	Np002G084540	Cg007G271280
OG0000228	Np002G084530	Cg007G271290
OG0000229	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980	Cg003G078340, Cg014G331290, Cg008G315850, Cg014G331310, Cg014G331300, Cg003G078330
OG0000229	Np005G309490	Cg001G010780
OG0000229	Np007G377500, Np007G377590, Np006G330770	Cg007G261570
OG0000230	Np002G077290	Cg007G276410
OG0000231	Np004G203320	Cg007G260410
OG0000232	Np006G352410, Np006G352420	Cg004G121460, Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520
OG0000234	Np001G058680	Cg002G051410
OG0000234	Np001G058670	Cg002G051420
OG0000234	Np006G333910	Cg005G166930
OG0000234	Np003G140390	Cg008G293710
OG0000236	Np007G382490	Cg001G028350, Cg004G141830, Cg004G144380, Cg004G139210
OG0000236	Np007G382520, Np007G382570	Cg004G139220
OG0000236	Np003G177320	Cg003G086380
OG0000237	Np007G404060, Np011G435600, Np006G353300, Np009G431940, Np002G099080, Np003G175580, Np002G097080, Np006G342880, Np006G359350, Np008G429030, Np007G401030, Np005G294080, Np004G224840, Np005G294060, Np007G399830, Np003G170910	Cg007G261810, Cg006G203590
OG0000240	Np003G187630	Cg005G180190, Cg002G062910
OG0000242	Np004G242760	Cg006G231910
OG0000244	Np005G286400	Cg001G019150
OG0000246	Np001G034750	Cg002G073880
OG0000247	Np007G410840	Cg006G202680
OG0000248	Np002G112170	Cg007G252860
OG0000248	Np005G313980, Np005G313900	Cg001G034790
OG0000249	Np003G177600, Np006G338400	Cg005G169790
OG0000250	Np002G085780	Cg007G270580
OG0000252	Np003G179240	Cg007G252790, Cg007G252760
OG0000254	Np007G383010	Cg004G134710
OG0000254	Np001G046190	Cg005G190180
OG0000257	Np007G377760	Cg004G143430, Cg004G143470, Cg004G143460, Cg007G247040, Cg007G247060, Cg006G198470, Cg006G198480, Cg001G035030, Cg004G126080, Cg001G001780
OG0000258	Np001G022690	Cg002G072340
OG0000258	Np003G156210	Cg003G104860
OG0000258	Np001G049130, Np001G022660, Np001G022680	Cg002G072320
OG0000264	Np003G185830	Cg003G079930, Cg003G094080, Cg003G094890, Cg003G079050
OG0000264	Np003G185810, Np003G185770, Np003G185800	Cg003G079060, Cg003G094880
OG0000265	Np005G294290	Cg002G064680, Cg003G102580, Cg001G029400, Cg001G041950, Cg006G213200, Cg008G309270, Cg007G252820, Cg001G002880, Cg006G204120, Cg005G180900, Cg004G141100, Cg003G086590, Cg002G049430
OG0000266	Np003G177610, Np001G046580	Cg003G098940, Cg003G099000
OG0000266	Np006G336470	Cg002G044180, Cg002G044170
OG0000268	Np001G026200	Cg002G074810
OG0000268	Np003G125800	Cg008G282710
OG0000268	Np001G057220	Cg002G052420
OG0000269	Np009G432510	Cg002G069710
OG0000269	Np005G282190, Np007G405090	Cg007G256050, Cg004G151220
OG0000269	Np004G206800	Cg006G211850
OG0000270	Np005G260870, Np005G265330	Cg001G000740
OG0000270	Np007G377200	Cg001G005510
OG0000270	Np002G077720	Cg006G226060
OG0000271	Np007G395360	Cg003G094150
OG0000271	Np003G150700, Np003G184840	Cg006G199270
OG0000273	Np007G375980, Np004G199070	Cg006G201150, Cg006G201180
OG0000273	Np005G312740	Cg006G201130, Cg006G201120, Cg006G201160
OG0000274	Np003G152640	Cg003G107390
OG0000274	Np004G252150	Cg007G251180
OG0000275	Np007G384510, Np007G381770, Np007G381750, Np007G381740, Np007G382440, Np007G382420, Np007G384540, Np007G382890	Cg004G138960, Cg004G139000, Cg004G138970, Cg004G138980, Cg004G138950, Cg004G138940
OG0000276	Np005G308640	Cg001G029710
OG0000278	Np005G260810, Np005G260780, Np005G260850	Cg003G105620
OG0000280	Np005G298160	Cg007G271390
OG0000281	Np001G056160, Np001G056190	Cg006G220980
OG0000282	Np003G133500	Cg008G288360
OG0000282	Np003G133510	Cg008G288380
OG0000282	Np003G133530	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400
OG0000283	Np001G041370	Cg008G319010
OG0000283	Np001G041380, Np001G041420, Np001G041390, Np001G041410	Cg008G318960, Cg008G318990, Cg008G318970
OG0000284	Np001G014190	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380
OG0000285	Np002G086400	Cg002G060650, Cg005G182020
OG0000287	Np004G226800, Np004G226820, Np004G226810, Np004G226830	Cg007G251270
OG0000287	Np005G307830	Cg004G137910
OG0000287	Np007G380730	Cg004G137940
OG0000287	Np007G380710	Cg004G140030
OG0000287	Np007G380790	Cg004G137980
OG0000290	Np007G394710	Cg004G135310
OG0000293	Np002G083290	Cg008G293400
OG0000294	Np007G392540	Cg004G133910
OG0000294	Np006G338230	Cg005G169690
OG0000294	Np003G187470	Cg003G077590, Cg014G332020
OG0000295	Np007G379540, Np006G342510	Cg004G130770
OG0000296	Np006G337510	Cg007G280920, Cg007G280630
OG0000297	Np004G201930	Cg005G178560, Cg005G178570, Cg005G178540
OG0000297	Np003G151840	Cg003G108160
OG0000297	Np007G397060	Cg004G136450
OG0000298	Np005G316810	Cg004G131150
OG0000299	Np003G129930, Np002G107890	Cg001G026230, Cg001G026550
OG0000299	Np006G367710	Cg005G181190
OG0000299	Np004G208320	Cg007G279160
OG0000299	Np004G190450	Cg006G194370
OG0000300	Np007G389150	Cg004G145430, Cg004G144800
OG0000304	Np001G038750	Cg008G321360, Cg008G321310, Cg008G321320
OG0000308	Np005G316710	Cg001G040650
OG0000310	Np003G153250, Np003G152770	Cg002G058430
OG0000311	Np003G143670	Cg008G296830
OG0000311	Np004G199430	Cg006G201410
OG0000311	Np007G393150	Cg004G134370
OG0000311	Np005G312280	Cg001G036380
OG0000311	Np002G095870	Cg007G265360
OG0000313	Np005G309150	Cg001G028860, Cg001G020560
OG0000313	Np004G198950, Np004G198980	Cg006G200970
