Orthogroup	Noccaea_praecox	Cardamine_amara
OG0000023	Np005G284010	evm.model.RL_2.1841, evm.model.RL_2.1826
OG0000024	Np002G092500	evm.model.RL_7.2066, evm.model.RL_8.1089
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	evm.model.RL_5.2480
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	evm.model.RL_2.3111
OG0000026	Np002G101380, Np004G216210	evm.model.RL_2.467, evm.model.RL_1.1627, evm.model.RL_1.2710
OG0000026	Np003G171320	evm.model.RL_7.315
OG0000027	Np004G214870, Np005G271730, Np004G214850	evm.model.RL_5.2839
OG0000027	Np001G057950, Np001G057940	evm.model.RL_7.603, evm.model.RL_7.580
OG0000028	Np003G170790, Np003G189760, Np004G207130, Np006G356860, Np002G105400, Np003G145220, Np003G175090	evm.model.RL_4.1689
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	evm.model.RL_8.656
OG0000029	Np003G172500	evm.model.RL_2.306
OG0000029	Np002G095530	evm.model.RL_1.2704
OG0000033	Np005G284050, Np005G284060	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	Np005G283960, Np005G284080	evm.model.RL_2.1828
OG0000033	Np005G284160	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000034	Np007G396340, Np007G403460, Np001G040260, Np002G107010	evm.model.RL_5.2588
OG0000036	Np006G342180, Np004G233440, Np005G260660	evm.model.RL_5.2564
OG0000036	Np006G350450, Np006G342170, Np003G136960, Np002G107350, Np007G403810, Np006G342300, Np006G342240, Np004G218290, Np007G394200	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	Np001G045190	evm.model.RL_4.2891, evm.model.RL_5.3695
OG0000037	Np002G110300, Np005G302190	evm.model.RL_3.518
OG0000038	Np003G157800	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000039	Np002G110420	evm.model.RL_3.1691
OG0000039	Np002G106970	evm.model.RL_1.3015, evm.model.RL_3.1690
OG0000040	Np004G224970, Np004G224940	evm.model.RL_2.1272
OG0000042	Np007G420820	evm.model.RL_7.1372
OG0000042	Np001G027800	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047, evm.model.RL_7.1972
OG0000042	Np004G191660	evm.model.RL_6.2221
OG0000043	Np005G296770, Np005G292440	evm.model.RL_8.981, evm.model.RL_8.1077
OG0000043	Np002G102430	evm.model.RL_1.2849
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659
OG0000045	Np006G334530	evm.model.RL_2.587
OG0000045	Np007G389140	evm.model.RL_6.267
OG0000046	Np005G313240	evm.model.RL_3.1067, evm.model.RL_2.391
OG0000046	Np005G292150	evm.model.RL_2.1379
OG0000046	Np005G313330	evm.model.RL_2.389, evm.model.RL_2.387
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	evm.model.RL_5.167
OG0000052	Np002G116290, Np002G116590, Np002G116810	evm.model.RL_8.2684
OG0000052	Np006G328590, Np006G328570, Np006G328580	evm.model.RL_6.1412
OG0000052	Np003G173020	evm.model.RL_6.2368
OG0000052	Np006G328390, Np006G328410, Np006G328470	evm.model.RL_8.741
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	evm.model.RL_1.2655
OG0000054	Np004G255790	evm.model.RL_8.912, evm.model.RL_7.2126
OG0000054	Np005G274000, Np001G042780, Np006G332680	evm.model.RL_8.823, evm.model.RL_4.126
OG0000054	Np003G165300, Np008G427110, Np003G167120, Np002G099610, Np001G054180, Np002G078710, Np001G038630, Np005G282410, Np004G256130, Np006G347850	evm.model.RL_1.2395
OG0000055	Np002G119410	evm.model.RL_3.277
OG0000056	Np006G356510, Np003G151080, Np003G158880, Np007G412270, Np005G282430	evm.model.RL_2.634
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660	evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335
OG0000057	Np007G419120, Np007G419160, Np005G285180	evm.model.RL_4.2353
OG0000058	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510	evm.model.RL_1.1905
OG0000059	Np001G044380	evm.model.RL_3.516, evm.model.RL_6.844, evm.model.RL_7.1802
OG0000059	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750	evm.model.RL_4.1269
OG0000061	Np004G218870, Np004G219580, Np004G218830, Np007G398820	evm.model.RL_6.2768
OG0000062	Np004G225350	evm.model.RL_6.781, evm.model.RL_6.779
OG0000062	Np003G173970, Np003G170000	evm.model.RL_2.991, evm.model.RL_6.777
OG0000062	Np004G215200, Np004G229630	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720
OG0000063	Np001G045620	evm.model.RL_6.1828
OG0000063	Np001G046020	evm.model.RL_7.1774, evm.model.RL_6.981
OG0000064	Np004G235840	evm.model.RL_5.1832
OG0000065	Np003G168940	evm.model.RL_2.692, evm.model.RL_1.2797
OG0000065	Np008G428560, Np008G428010	evm.model.RL_2.685, evm.model.RL_5.2501
OG0000066	Np005G262320	evm.model.RL_2.3332, evm.model.RL_4.2487, evm.model.RL_3.1975, evm.model.RL_2.3331
OG0000066	Np003G136700	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	Np004G250510	evm.model.RL_4.2540
OG0000066	Np003G136710	evm.model.RL_8.2622
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	evm.model.RL_7.2627
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140, Np003G155590	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000069	Np003G152400	evm.model.RL_1.2285
OG0000069	Np001G024920, Np005G293790	evm.model.RL_4.1093
OG0000070	Np002G101130	evm.model.RL_6.573
OG0000070	Np009G431140	evm.model.RL_2.704
OG0000070	Np002G100330	evm.model.RL_2.838
OG0000070	Np002G099070	evm.model.RL_6.606
OG0000070	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960	evm.model.RL_3.776
OG0000070	Np002G099060	evm.model.RL_2.731
OG0000071	Np001G008970, Np006G370520, Np003G157740	evm.model.RL_1.2437
OG0000071	Np006G355640	evm.model.RL_6.950
OG0000071	Np001G013290	evm.model.RL_4.341
OG0000071	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	evm.model.RL_6.3
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082, evm.model.RL_3.783
OG0000076	Np007G423950	evm.model.RL_6.1653
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	evm.model.RL_2.1487, evm.model.RL_6.2241, evm.model.RL_6.145
OG0000077	Np005G261720	evm.model.RL_2.3381
OG0000078	Np002G086990, Np002G097240, Np002G092810	evm.model.RL_3.798
OG0000080	Np006G334220	evm.model.RL_2.499
OG0000080	Np005G318150, Np005G318140	evm.model.RL_6.1107
OG0000081	Np001G010770	evm.model.RL_6.922
OG0000084	Np006G364930	evm.model.RL_6.397
OG0000085	Np007G397830	evm.model.RL_2.448
OG0000087	Np001G010980	evm.model.RL_4.1345
OG0000087	Np006G350150, Np008G428160	evm.model.RL_6.1057
OG0000087	Np003G139100	evm.model.RL_4.2360
OG0000087	Np001G039930	evm.model.RL_4.428
OG0000087	Np005G287110	evm.model.RL_2.1599
OG0000087	Np002G077440	evm.model.RL_3.1990
OG0000088	Np001G038910, Np001G038970	evm.model.RL_7.1629
OG0000088	Np001G052870	evm.model.RL_8.1137
OG0000089	Np003G136030	evm.model.RL_4.2603
OG0000089	Np006G329000	evm.model.RL_6.2333
OG0000089	Np007G409340	evm.model.RL_1.1121
OG0000089	Np006G336940	evm.model.RL_6.1820
OG0000090	Np004G235330	evm.model.RL_5.1846
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	evm.model.RL_3.2006
OG0000090	Np007G385680, Np001G065320, Np001G065030	evm.model.RL_2.2972
OG0000090	Np007G389920	evm.model.RL_5.885
OG0000091	Np003G165480	evm.model.RL_4.825
OG0000093	Np001G063230	evm.model.RL_7.523
OG0000096	Np002G112160	evm.model.RL_3.612
OG0000096	Np001G024770	evm.model.RL_7.2530, evm.model.RL_7.2533
OG0000096	Np002G112010, Np002G112580	evm.model.RL_3.627
OG0000096	Np001G038620	evm.model.RL_4.362
OG0000097	Np003G184990	evm.model.RL_8.394
OG0000097	Np003G171600	evm.model.RL_8.388
OG0000097	Np003G185030	evm.model.RL_8.395
OG0000098	Np002G116580	evm.model.RL_3.229
OG0000099	Np002G123560, Np004G228320	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000099	Np002G123530, Np004G215470	evm.model.RL_3.85
OG0000101	Np002G122780	evm.model.RL_3.653
OG0000102	Np006G343540	evm.model.RL_2.452
OG0000104	Np006G360060	evm.model.RL_6.1001
OG0000104	Np006G360100	evm.model.RL_6.1006
OG0000104	Np004G195160	evm.model.RL_5.2109
OG0000104	Np007G381330	evm.model.RL_1.2055
OG0000104	Np004G195150	evm.model.RL_1.2425
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000106	Np007G372640	evm.model.RL_7.1393
OG0000107	Np007G398420	evm.model.RL_1.1927
OG0000108	Np001G011650, Np001G011550	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	Np004G259470	evm.model.RL_3.231
OG0000108	Np005G305310, Np001G011560	evm.model.RL_1.3010
OG0000109	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320	evm.model.RL_1.2946
OG0000109	Np003G183100, Np004G217760	evm.model.RL_7.2399, evm.model.RL_3.555, evm.model.RL_1.2753, evm.model.RL_6.342
OG0000109	Np004G230420	evm.model.RL_1.2832, evm.model.RL_4.660
OG0000110	Np001G064470	evm.model.RL_7.1925
OG0000110	Np001G064520	evm.model.RL_7.432
OG0000111	Np001G006010	evm.model.RL_8.2409
OG0000112	Np003G184320	evm.model.RL_5.3726, evm.model.RL_8.2168, evm.model.RL_8.2167
OG0000113	Np007G416190	evm.model.RL_4.208
OG0000113	Np002G122980	evm.model.RL_3.97, evm.model.RL_7.1875, evm.model.RL_3.665, evm.model.RL_3.98, evm.model.RL_3.159.1.687c84ba
OG0000113	Np002G123190	evm.model.RL_2.339
OG0000113	Np002G089300	evm.model.RL_4.149
OG0000113	Np002G089320	evm.model.RL_3.996
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	evm.model.RL_5.1553
OG0000117	Np007G391540	evm.model.RL_8.488
OG0000118	Np001G044480, Np005G313880	evm.model.RL_8.709, evm.model.RL_8.712
OG0000119	Np002G102980	evm.model.RL_5.2397
OG0000120	Np002G117060, Np002G116940	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	Np003G129250	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	Np001G056320	evm.model.RL_8.1713, evm.model.RL_5.2721
OG0000123	Np003G131420	evm.model.RL_5.1209
OG0000123	Np004G243230	evm.model.RL_5.1210
OG0000123	Np004G243210	evm.model.RL_5.1211
OG0000125	Np001G056500	evm.model.RL_7.1020
OG0000125	Np003G126800	evm.model.RL_4.3281
OG0000125	Np003G151060	evm.model.RL_4.1435
OG0000125	Np003G152340	evm.model.RL_8.2069
OG0000125	Np006G359820	evm.model.RL_6.979
OG0000126	Np003G176980, Np005G260240	evm.model.RL_1.2513
OG0000126	Np002G094910	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	Np003G125840	evm.model.RL_4.3343
OG0000127	Np007G413700, Np001G046260, Np007G413710	evm.model.RL_1.822
OG0000131	Np003G174400	evm.model.RL_4.867
OG0000132	Np003G171960, Np005G310370, Np003G146020	evm.model.RL_2.3365
OG0000132	Np004G202170	evm.model.RL_4.679
OG0000134	Np002G101880	evm.model.RL_6.678, evm.model.RL_1.2646
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	evm.model.RL_5.2242, evm.model.RL_4.523, evm.model.RL_3.1563, evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041
OG0000136	Np002G086710	evm.model.RL_3.1028
OG0000136	Np005G312640	evm.model.RL_2.429
OG0000137	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930	evm.model.RL_7.1543
OG0000137	Np005G318010	evm.model.RL_2.50
OG0000138	Np006G368130	evm.model.RL_7.2093
OG0000139	Np006G357120, Np005G298550	evm.model.RL_6.1684
OG0000139	Np001G043360, Np005G294120, Np004G258210, Np002G101620, Np001G031610, Np001G031620, Np002G101150, Np004G223980, Np001G031630, Np002G101140	evm.model.RL_8.982
OG0000139	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840	evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044
OG0000140	Np003G153440	evm.model.RL_8.2003
OG0000142	Np006G360490	evm.model.RL_6.1033, evm.model.RL_6.1034
OG0000145	Np002G108950, Np007G417590	evm.model.RL_8.608
OG0000147	Np005G273990	evm.model.RL_2.2536
OG0000147	Np003G156060	evm.model.RL_8.1812
OG0000147	Np002G071170	evm.model.RL_3.2406
OG0000147	Np007G389960	evm.model.RL_1.2583
OG0000149	Np001G046040	evm.model.RL_7.1738
OG0000149	Np001G046110	evm.model.RL_7.1737
OG0000149	Np001G046030	evm.model.RL_7.1739
OG0000150	Np003G183630	evm.model.RL_8.2095
OG0000150	Np001G049320	evm.model.RL_7.1807
OG0000151	Np003G164170	evm.model.RL_8.1422
OG0000151	Np005G277020	evm.model.RL_2.2307
OG0000151	Np007G376880	evm.model.RL_1.2853
OG0000151	Np003G158280	evm.model.RL_8.1691
OG0000151	Np002G123910	evm.model.RL_3.61
OG0000154	Np004G240190	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	Np006G330440	evm.model.RL_4.3288
OG0000154	Np007G413420	evm.model.RL_1.853
OG0000154	Np003G126700, Np003G127150, Np002G112020	evm.model.RL_2.489
OG0000155	Np004G218540	evm.model.RL_2.2243
OG0000156	Np006G324150	evm.model.RL_6.2689
OG0000156	Np006G324140	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691
OG0000157	Np002G078620	evm.model.RL_5.213
OG0000158	Np001G070050	evm.model.RL_2.2746
OG0000158	Np002G081190	evm.model.RL_4.1378
OG0000158	Np001G048650, Np001G049230, Np001G050690, Np005G295650, Np007G406120, Np001G028290, Np001G028380, Np001G028350	evm.model.RL_6.58
OG0000161	Np005G311810	evm.model.RL_3.891
OG0000161	Np002G086610	evm.model.RL_3.897
OG0000162	Np006G363910	evm.model.RL_4.640, evm.model.RL_2.640
OG0000162	Np002G116280	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	Np006G324990	evm.model.RL_6.2628
OG0000164	Np001G024440	evm.model.RL_4.218
OG0000165	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680	evm.model.RL_7.798
OG0000165	Np004G232590	evm.model.RL_1.2284
OG0000167	Np005G289610	evm.model.RL_2.1517
OG0000167	Np004G202230	evm.model.RL_2.1514
OG0000169	Np002G113130	evm.model.RL_3.574
OG0000171	Np006G321770, Np001G068570	evm.model.RL_6.2869
OG0000171	Np002G116080, Np004G248080	evm.model.RL_3.461
OG0000171	Np003G141590	evm.model.RL_4.2162.1.687c86d7
OG0000172	Np001G064170	evm.model.RL_7.119
OG0000174	Np004G217810	evm.model.RL_7.2138
OG0000174	Np009G430530, Np002G103530, Np004G220900, Np010G432780	evm.model.RL_1.3079
OG0000175	Np007G375370, Np001G053050	evm.model.RL_7.1254
OG0000175	Np002G077280	evm.model.RL_3.1995
OG0000175	Np004G235400	evm.model.RL_5.1839
OG0000175	Np005G267520	evm.model.RL_2.3122
OG0000176	Np005G310450, Np005G310750, Np005G310470	evm.model.RL_5.2856
OG0000177	Np006G349030	evm.model.RL_2.478
OG0000177	Np005G303130	evm.model.RL_4.357
OG0000177	Np007G404410, Np007G403560	evm.model.RL_2.510, evm.model.RL_2.497, evm.model.RL_2.1097
OG0000180	Np005G291330, Np005G294660, Np005G291290, Np005G292670, Np005G292680, Np005G291280	evm.model.RL_4.643
OG0000180	Np005G291320	evm.model.RL_4.185
OG0000186	Np006G361310	evm.model.RL_5.2354, evm.model.RL_8.2135
OG0000187	Np005G271570	evm.model.RL_2.2676
OG0000189	Np001G019990	evm.model.RL_5.2279, evm.model.RL_4.1578
OG0000190	Np003G183500	evm.model.RL_8.473
OG0000190	Np003G183510	evm.model.RL_8.474.1.687c8557
OG0000191	Np007G391150, Np007G391080	evm.model.RL_1.1587
OG0000192	Np002G086820, Np007G389770, Np002G076020	evm.model.RL_3.2103
OG0000195	Np006G361540	evm.model.RL_6.761
OG0000195	Np005G312480	evm.model.RL_2.437
OG0000196	Np004G214150, Np004G214340	evm.model.RL_5.2252
OG0000196	Np004G212030	evm.model.RL_4.2554
OG0000196	Np004G214160, Np004G214310, Np003G165460	evm.model.RL_1.1858
OG0000197	Np001G016100, Np005G310190, Np002G087170, Np003G167690	evm.model.RL_2.911
OG0000203	Np007G420280, Np004G195540	evm.model.RL_1.380
OG0000204	Np005G302460, Np006G366470, Np006G366440, Np006G364650, Np007G383490, Np007G381450	evm.model.RL_1.2062
OG0000205	Np004G252280	evm.model.RL_8.836
OG0000207	Np002G073040	evm.model.RL_3.2270
OG0000209	Np002G123950	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	Np002G123960, Np002G123970	evm.model.RL_3.57, evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276, evm.model.RL_7.2654
OG0000209	Np002G123940, Np002G091400	evm.model.RL_2.160, evm.model.RL_2.161
OG0000210	Np001G024460	evm.model.RL_7.1999
OG0000210	Np001G024450	evm.model.RL_7.2509
OG0000213	Np006G368010	evm.model.RL_6.203
OG0000214	Np007G375860	evm.model.RL_7.215
OG0000214	Np003G186320, Np003G186260	evm.model.RL_8.81, evm.model.RL_8.239
OG0000218	Np004G241490	evm.model.RL_5.1346
OG0000218	Np004G241460	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	Np001G027320, Np001G027310	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	evm.model.RL_8.2397
OG0000225	Np004G212520	evm.model.RL_5.2978, evm.model.RL_5.2982, evm.model.RL_5.2983, evm.model.RL_5.2977
OG0000225	Np004G212510	evm.model.RL_5.2981, evm.model.RL_5.2975
OG0000226	Np001G068820, Np001G002660, Np001G003000	evm.model.RL_8.2609, evm.model.RL_8.2608
OG0000226	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340	evm.model.RL_1.1295, evm.model.RL_1.1199
OG0000228	Np004G230940	evm.model.RL_4.998
OG0000228	Np002G084540	evm.model.RL_3.1484, evm.model.RL_3.1485
OG0000228	Np002G084530	evm.model.RL_3.1486
OG0000229	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257
OG0000229	Np007G377500, Np007G377590, Np006G330770	evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	Np003G174440	evm.model.RL_2.361
OG0000231	Np004G203320	evm.model.RL_3.874, evm.model.RL_3.1104
OG0000232	Np006G352410, Np006G352420	evm.model.RL_1.493, evm.model.RL_5.1311
OG0000234	Np001G058680	evm.model.RL_7.861
OG0000234	Np001G058670	evm.model.RL_7.862
OG0000234	Np006G333910	evm.model.RL_6.2046
OG0000234	Np003G140390	evm.model.RL_4.2267
OG0000236	Np003G177320	evm.model.RL_6.790
OG0000237	Np003G170770	evm.model.RL_2.733
OG0000240	Np003G187630	evm.model.RL_4.753
OG0000244	Np005G286400	evm.model.RL_2.1690
OG0000246	Np003G147670	evm.model.RL_8.1155
OG0000247	Np007G410840	evm.model.RL_5.2253
OG0000248	Np001G048790	evm.model.RL_7.722
