Orthogroup	Noccaea_praecox	Arabidopsis_thaliana
OG0000055	Np001G046730	AT3G46950.1
OG0000055	Np002G119400	AT1G56380.2
OG0000055	Np002G119520, Np002G119220, Np002G119170	AT1G61990.1, AT1G61980.1, AT1G61970.1
OG0000056	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230	AT3G31430.1
OG0000057	Np007G375320	AT3G18120.1, AT5G42460.1, AT2G17830.1
OG0000057	Np007G392240, Np007G392300	AT3G17620.1
OG0000057	Np005G317510, Np005G317540	AT3G16820.1
OG0000057	Np006G333600, Np006G333860, Np003G187520	AT3G19470.1, AT3G22770.1
OG0000057	Np007G376470	AT3G24580.1
OG0000062	Np003G166860, Np003G173970, Np003G170000	AT2G07200.1
OG0000062	Np004G215200, Np004G229630	AT2G07190.1
OG0000064	Np005G260880	AT4G38940.1
OG0000066	Np005G262320	AT4G40030.2, AT5G10980.1, AT4G40040.1, AT1G75600.1, AT1G13370.1
OG0000066	Np003G136710	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	AT3G09160.1
OG0000071	Np001G008970, Np006G370520, Np003G157740	AT2G07760.1
OG0000071	Np006G355640	AT5G28823.1
OG0000074	Np004G229920	AT1G23590.1
OG0000074	Np004G229890	AT1G23690.1
OG0000074	Np004G230030	AT1G23660.1, AT1G23640.1
OG0000074	Np003G180910, Np003G184200	AT2G27670.1, AT1G23610.1
OG0000075	Np003G136640	AT5G10340.1
OG0000075	Np007G378600	AT1G11270.1
OG0000076	Np002G083960	AT3G26922.1
OG0000076	Np001G021860	AT3G26930.2, AT3G26920.1
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	AT1G77880.1, AT4G05620.1
OG0000077	Np007G386290	AT4G39570.1
OG0000077	Np005G261710, Np006G360730	AT4G39550.1
OG0000077	Np005G261720	AT4G39580.1
OG0000079	Np007G422670	AT5G38391.1
OG0000079	Np007G389360	AT3G58890.1, AT3G58950.1
OG0000079	Np001G064140	AT3G58900.4
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	AT1G48400.1
OG0000080	Np002G124540	AT5G12450.1
OG0000080	Np002G124500, Np002G124510	AT1G64540.1, AT5G35995.1
OG0000080	Np005G278660	AT4G27050.1
OG0000080	Np005G318150, Np005G318140	AT2G29930.1
OG0000081	Np003G176780, Np003G176800, Np003G176750	AT4G09190.1
OG0000081	Np003G145640	AT5G18160.1
OG0000084	Np006G364940	AT1G64840.1
OG0000087	Np001G010980	AT5G23860.1
OG0000087	Np006G350150, Np008G428160	AT2G29550.1
OG0000087	Np005G287050	AT5G62700.1, AT5G62690.1
OG0000087	Np003G139100	AT5G12250.1
OG0000087	Np001G039930	AT5G44340.1
OG0000087	Np005G287110	AT4G20890.1
OG0000087	Np002G077440	AT1G75780.1
OG0000088	Np003G148700, Np003G148740	AT5G20480.1
OG0000088	Np001G052870	AT5G39390.1
OG0000089	Np003G136030	AT5G09810.1
OG0000089	Np007G395030	AT3G18780.2
OG0000089	Np006G329000	AT2G42090.1, AT2G42170.1
OG0000089	Np007G409340	AT3G12110.1
OG0000089	Np001G056580, Np006G336940	AT2G37620.1
OG0000090	Np004G235330	AT2G25700.1, AT1G20140.1
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	AT1G75950.1
OG0000090	Np007G385680, Np001G065320, Np001G065030	AT4G34210.1
OG0000090	Np007G389920	AT1G10230.1
OG0000093	Np001G063230	AT3G58360.1
OG0000093	Np001G005730	AT2G05400.3
OG0000093	Np001G063180	AT3G58350.1
OG0000093	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	AT2G05420.1, AT2G05410.2
OG0000093	Np005G317970	AT3G58370.1
OG0000096	Np002G112160	AT1G57850.1
OG0000096	Np001G024770	AT2G03030.1, AT2G03300.1
OG0000096	Np002G112010, Np002G112580	AT1G57670.1
OG0000096	Np001G038620	AT5G44900.1
OG0000096	Np002G112600	AT1G57830.1
OG0000097	Np003G184990	AT4G05460.1
OG0000097	Np003G171600	AT4G03635.1
OG0000097	Np003G185030	AT4G05470.1, AT4G05475.1
OG0000098	Np002G116580	AT1G63350.2, AT1G62630.1, AT1G63360.1
OG0000099	Np002G123560, Np004G228320	AT1G64020.1
OG0000099	Np004G215640	AT1G64030.1
OG0000099	Np002G123530, Np004G215470	AT1G62160.1
OG0000100	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190	AT2G01050.1
OG0000101	Np002G111340	AT1G63870.1
OG0000101	Np002G122800	AT1G66090.1
OG0000101	Np002G123180	AT1G64070.1, AT2G16870.1
OG0000104	Np004G251930	AT1G07560.1
OG0000104	Np006G360060	AT2G28960.2
OG0000104	Np004G195160	AT1G49100.1
OG0000104	Np007G381330	AT3G21340.1
OG0000104	Np004G195150	AT1G51805.1
OG0000104	Np006G360090	AT2G28990.1
OG0000104	Np006G360080	AT2G28970.1
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	AT3G18320.1, AT3G44120.1, AT2G07140.1, AT3G18330.1, AT3G18910.1, AT3G19410.1
OG0000107	Np007G398440, Np007G418450	AT2G27000.1, AT2G27010.1
OG0000107	Np007G398420	AT4G15380.1, AT3G20080.1
OG0000107	Np005G313740	AT2G14100.1, AT3G32047.1
OG0000107	Np007G380680	AT5G42580.1
OG0000107	Np005G305610	AT3G20100.1
OG0000108	Np001G011650, Np001G011550	AT1G27550.1, AT1G27580.1, AT1G27540.1, AT2G24080.1
OG0000108	Np007G379350	AT2G14290.1
OG0000110	Np001G064490	AT3G59210.1
OG0000110	Np001G064470	AT3G59200.1
OG0000110	Np001G064510	AT3G59230.1
OG0000110	Np001G064520	AT3G59250.1
OG0000110	Np001G064450	AT4G14103.2, AT4G14096.1
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	AT5G38590.2, AT5G38570.1, AT5G38565.1
OG0000111	Np005G313680, Np001G006020	AT5G38580.1
OG0000111	Np001G006010	AT4G15075.1
OG0000111	Np001G058370	AT3G54910.1
OG0000112	Np003G184320	AT5G36662.1, AT5G36739.1, AT5G36480.1, AT5G36320.1, AT5G36658.1, AT5G36738.1, AT5G36661.1, AT5G36440.1, AT5G36470.1, AT5G36410.1, AT5G36450.1, AT5G36420.1, AT5G36400.1, AT5G36380.1, AT5G36350.1, AT5G36550.1, AT5G36310.1, AT5G36340.1, AT5G36330.1, AT5G36540.1, AT5G36520.1, AT5G36500.1, AT5G36490.1, AT5G36390.1, AT5G36460.1, AT5G36360.1, AT5G36430.1, AT5G36370.1, AT3G42565.1, AT4G09545.1, AT5G42895.1, AT5G36659.1, AT5G44495.1, AT5G36657.1, AT5G51105.1
OG0000113	Np002G089320	AT4G04110.1
OG0000118	Np005G315460	AT4G01380.1
OG0000118	Np001G044480, Np005G313880	AT3G53330.1
OG0000119	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260	AT1G52603.1
OG0000120	Np002G117060, Np002G116940	AT1G60880.1, AT1G60920.1
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	AT5G49490.1, AT5G38620.1, AT5G49420.1
OG0000120	Np003G129250	AT5G04640.1, AT1G46408.1
OG0000122	Np001G056320	AT5G50270.1
OG0000122	Np003G157790	AT1G32375.1
OG0000122	Np003G158000	AT5G56325.1
OG0000123	Np003G131420	AT5G43690.1
OG0000123	Np004G243210	AT2G27570.1, AT3G45080.1, AT3G45070.2
OG0000123	Np005G279480	AT4G26280.1
OG0000123	Np003G131130	AT3G51210.1
OG0000124	Np006G348530	AT3G25270.1
OG0000125	Np001G056500	AT3G53650.1
OG0000125	Np006G337140	AT2G37470.1
OG0000125	Np003G126800	AT3G09480.1, AT5G02570.1
OG0000125	Np003G151060	AT5G22880.1
OG0000125	Np003G152340	AT3G45980.1, AT5G59910.1
OG0000125	Np006G359820	AT2G28720.1
OG0000127	Np003G125840	AT5G01120.1
OG0000127	Np007G413700	AT3G09110.1
OG0000127	Np002G096200	AT1G11145.1
OG0000131	Np003G174400	AT4G05555.1, AT1G36970.1, AT3G31560.1, AT1G31960.1, AT2G07280.1
OG0000133	Np005G308080, Np003G130350, Np003G153160	AT4G03728.1
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	AT5G16486.1, AT2G02520.1, AT4G05095.1, AT3G25727.1
OG0000136	Np002G086710	AT1G66620.1, AT1G66630.1, AT1G66610.1
OG0000138	Np006G368130	AT3G29720.1
OG0000138	Np001G018700	AT3G29635.1
OG0000138	Np002G085240, Np002G085270, Np002G085250	AT3G29670.1
OG0000140	Np003G153340	AT5G59100.1
OG0000140	Np003G153440	AT5G59130.4
OG0000140	Np003G153920	AT5G58830.1, AT5G58820.1, AT5G58840.1
OG0000140	Np003G153430, Np007G424390, Np003G153390	AT5G59090.1, AT5G59120.1
OG0000142	Np006G360490	AT2G29170.1
OG0000146	Np003G160050	AT5G55370.1
OG0000146	Np003G160040	AT5G55380.1
OG0000146	Np003G160230	AT5G55340.1
OG0000146	Np003G160060, Np003G160140, Np003G160190	AT5G55360.1
OG0000146	Np003G160200	AT5G55350.1
OG0000146	Np003G159660	AT5G55320.1
OG0000146	Np003G182950	AT1G34500.1
OG0000147	Np007G373950	AT2G18960.1
OG0000147	Np005G273990	AT4G30190.2
OG0000147	Np003G156060	AT5G57350.1
OG0000147	Np002G071170	AT1G80660.1
OG0000147	Np001G043050	AT3G42640.1
OG0000147	Np007G389960	AT2G07560.1
OG0000149	Np001G046040	AT3G46350.1
OG0000149	Np001G046110	AT3G46340.1
OG0000149	Np003G152730	AT5G59660.3
OG0000149	Np003G152680	AT5G59680.1
OG0000149	Np001G046030	AT3G46330.1
OG0000150	Np001G049320	AT2G16520.1
OG0000151	Np003G164170	AT5G53300.1
OG0000151	Np005G277020	AT4G27960.2
OG0000151	Np007G376880	AT2G16740.1
OG0000151	Np003G158280	AT5G56150.1
OG0000151	Np002G123910	AT1G64230.4
OG0000154	Np002G086500	AT1G56410.1
OG0000154	Np004G240190	AT1G16030.1
OG0000154	Np007G408850	AT3G12580.1
OG0000154	Np007G413420	AT3G09440.1
OG0000154	Np003G126710	AT5G02500.1
OG0000154	Np003G126700, Np003G127150, Np002G112020	AT5G02490.1
OG0000155	Np004G218540	AT4G27290.2
OG0000155	Np005G287960	AT4G21380.1
OG0000155	Np007G409550	AT3G12000.1
OG0000156	Np001G066040	AT3G61035.1
OG0000156	Np006G324150	AT2G45550.1
OG0000156	Np006G324140	AT1G33720.1
OG0000157	Np007G422190, Np007G422180	AT3G23680.1
OG0000157	Np002G078620	AT1G65990.1, AT4G10740.1
OG0000158	Np002G081190, Np002G090980, Np002G081180	AT4G36840.1
OG0000161	Np001G008600	AT5G51530.1, AT2G27630.1, AT2G27650.1
OG0000161	Np005G311810	AT1G65200.1
OG0000161	Np002G086610	AT1G65120.2
OG0000162	Np006G324990	AT2G44930.1
OG0000164	Np005G275210	AT4G29370.1
OG0000164	Np004G198520	AT5G28160.1, AT5G28180.1
OG0000166	Np001G026760, Np005G278550	AT4G29090.1
OG0000166	Np003G159070	AT5G42965.1, AT5G38920.1
OG0000167	Np005G289610	AT4G19590.2
OG0000167	Np004G243920, Np002G111260	AT5G37760.1
OG0000167	Np004G202230	AT4G19570.1
OG0000167	Np005G289670	AT5G37440.1, AT5G37750.1
OG0000169	Np002G113130	AT1G58190.2
OG0000171	Np002G116080, Np004G248080	AT1G10630.1
OG0000171	Np003G141590	AT5G14670.1
OG0000175	Np002G077280	AT1G75840.1
OG0000175	Np004G235400	AT1G20090.1
OG0000175	Np007G376890	AT4G35020.1
OG0000175	Np005G267520	AT4G35950.1
OG0000180	Np006G370740, Np006G370680	AT3G62850.1
OG0000183	Np004G227120	AT5G59060.1
OG0000186	Np004G215560, Np002G108280	AT5G35475.1
OG0000186	Np030G439830, Np030G439990, Np006G348040	AT3G29794.1, AT3G29638.1
OG0000186	Np001G023360, Np006G355990	AT4G10200.1
OG0000186	Np004G219150	AT2G19960.3
OG0000190	Np003G183500	AT4G04510.2
OG0000190	Np003G183510	AT4G04500.1
OG0000190	Np003G183410, Np003G183480	AT4G04540.1
OG0000191	Np007G388820, Np003G178870	AT1G12170.1, AT1G12190.1
OG0000191	Np007G391150, Np007G391080	AT3G16590.1
OG0000193	Np007G384080, Np007G384380, Np007G387690	AT3G23260.1
OG0000193	Np007G381040, Np007G381000	AT3G21170.1
OG0000195	Np006G361540	AT2G27030.3
OG0000195	Np005G312480, Np002G094990, Np001G061270	AT5G37780.3, AT1G66410.2
OG0000196	Np004G214150, Np004G214340, Np003G165450	AT1G30160.2
OG0000196	Np004G254380	AT1G05540.1
OG0000196	Np003G165460	AT1G30170.1
OG0000196	Np004G254390	AT1G05550.3
OG0000197	Np003G167690	AT3G10845.1, AT1G45100.1
OG0000200	Np004G217530	AT1G32030.1
OG0000200	Np004G254580	AT3G49610.1
OG0000201	Np007G379560	AT3G22040.1
OG0000203	Np007G420280, Np004G195540	AT2G13630.1, AT3G04660.1
OG0000204	Np005G302460, Np006G366470	AT1G77650.1
OG0000204	Np007G381450	AT3G21410.1
OG0000205	Np004G252280	AT2G16450.1, AT2G15640.1, AT2G02660.1, AT2G02890.1, AT2G16220.1, AT2G23160.1
OG0000205	Np001G056450, Np004G200620, Np004G227010	AT1G47350.1, AT1G47340.1
OG0000205	Np004G227020, Np004G200770	AT1G47300.1
OG0000207	Np002G073040	AT1G69630.1
OG0000207	Np002G073080	AT1G78730.1
OG0000207	Np002G073110, Np002G073100	AT1G16940.1
OG0000209	Np002G123960, Np002G123970	AT1G64253.1
OG0000209	Np002G124020	AT1G49920.1
OG0000210	Np001G024450	AT2G03610.1
OG0000213	Np005G312500	AT3G10450.1
OG0000213	Np006G368000	AT2G22980.4
OG0000214	Np007G375860	AT1G69150.1, AT3G43890.1
OG0000214	Np003G186320, Np003G186260	AT4G02190.1, AT4G11547.1, AT4G09690.1, AT4G01925.1, AT4G11550.1, AT4G11390.2, AT4G11540.1, AT4G02180.1, AT4G01910.1, AT4G01920.1, AT4G01740.1, AT4G01930.1
OG0000216	Np005G286040, Np005G286010, Np005G285980, Np005G286120, Np005G286080	AT4G22060.1
OG0000216	Np004G202700, Np005G274080, Np005G314870	AT4G22035.1
OG0000216	Np006G361190	AT4G22170.1
OG0000216	Np004G202710, Np005G314880, Np005G274090	AT4G14165.1
OG0000218	Np004G241490	AT1G14930.1, AT1G14940.1
OG0000218	Np004G241460	AT1G14950.1
OG0000218	Np006G363350, Np003G174250	AT1G14960.1
OG0000218	Np005G283350	AT3G26450.1, AT3G26460.1
OG0000218	Np001G027320	AT4G14060.1
OG0000218	Np001G027310	AT2G01530.1, AT2G01520.1
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	AT5G63230.1, AT5G63225.1
OG0000219	Np001G006200, Np001G008160, Np001G006180	AT5G53600.1, AT5G53610.1
OG0000220	Np003G158780	AT4G10370.1, AT5G46660.1, AT5G55770.1, AT1G44050.1, AT5G55780.1, AT3G26550.1, AT5G55800.1
OG0000222	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420	AT1G43145.1
OG0000224	Np002G121630, Np002G121680, Np002G121650, Np002G121690	AT1G63140.4
OG0000225	Np004G212520	AT1G29510.1, AT1G29440.1, AT5G27780.1, AT1G29430.1, AT1G29420.2
OG0000225	Np004G212510	AT1G29460.2, AT1G29500.1
OG0000226	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340	AT3G19520.3, AT1G23950.2, AT1G23970.2, AT1G23960.1, AT1G27860.1, AT1G28500.1
OG0000228	Np004G230940	AT5G28010.1, AT5G28000.1
OG0000228	Np002G084530	AT1G70890.1, AT1G70840.1
OG0000229	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980	AT4G29760.1, AT5G18065.1, AT5G18040.1, AT4G29770.2
OG0000230	Np002G077370	AT1G55010.1
OG0000230	Np002G077290	AT1G75830.1
OG0000231	Np003G174440	AT5G38690.1
OG0000231	Np004G203320	AT1G67780.1, AT1G67270.1
OG0000232	Np006G352410, Np006G352420	AT3G05650.1, AT3G05660.1, AT3G11080.1, AT5G27060.2, AT3G11010.2, AT2G15080.1, AT5G25910.1, AT2G15042.1, AT3G28890.1
OG0000234	Np001G058680	AT3G55100.1
OG0000234	Np001G058670	AT3G55090.1
OG0000234	Np006G333910	AT2G39350.1
OG0000234	Np003G140390	AT5G13580.1
OG0000236	Np007G382490	AT2G15710.1
OG0000236	Np003G177320	AT3G22080.1
OG0000237	Np003G170770, Np007G404060, Np011G435600, Np006G353300, Np009G431940, Np002G099080, Np003G175580, Np002G097080, Np006G342880, Np006G359350, Np008G429030, Np007G401030, Np005G294080, Np004G224840, Np005G294060, Np007G399830, Np003G170910, Np007G400600, Np006G349720, Np002G102550	AT1G42190.1
OG0000240	Np006G347290	AT2G29880.1
OG0000242	Np004G242740	AT1G14100.1
OG0000244	Np005G286400	AT4G21860.1
OG0000244	Np003G183740	AT4G04830.1
OG0000247	Np002G120130, Np002G120100, Np002G120120, Np002G120110	AT5G36910.1
OG0000248	Np002G112170	AT1G57790.1
OG0000248	Np001G048790	AT3G56470.1
OG0000249	Np003G177600, Np006G338400	AT2G36790.1, AT2G36800.1
OG0000249	Np005G309230	AT2G36760.1
OG0000250	Np002G085780	AT3G54410.1, AT1G70120.1
OG0000250	Np002G086000	AT5G39330.1, AT1G70020.1
OG0000252	Np003G179240	AT2G45406.1
OG0000252	Np004G205500	AT3G46050.1
OG0000253	Np003G170230	AT2G12880.1
OG0000254	Np007G383010	AT3G18150.1
OG0000254	Np001G046190	AT1G49610.1, AT3G03360.1
OG0000256	Np004G200500, Np004G200520	AT5G48510.1, AT2G05330.1
OG0000257	Np007G377760	AT2G04115.1, AT1G51240.1, AT1G51250.1, AT1G51230.1, AT5G39493.1, AT1G09245.1, AT3G10455.1
OG0000258	Np001G022690	AT3G26300.1, AT3G26310.1
OG0000258	Np003G156210	AT5G57260.1
OG0000258	Np001G049130, Np001G022660, Np001G022680	AT3G26330.1, AT3G26320.1
OG0000260	Np005G316660	AT5G03355.1
OG0000264	Np003G185830	AT4G05230.1
OG0000264	Np003G185810, Np003G185770, Np003G185800	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000265	Np005G294290	AT4G03566.1
OG0000266	Np003G177610, Np001G046580	AT3G61100.1, AT3G61090.1
OG0000266	Np003G155740	AT2G38365.1
OG0000268	Np001G026200	AT2G02040.1
OG0000268	Np003G125800	AT5G01180.1
OG0000268	Np001G057220	AT3G54140.1
OG0000269	Np005G282190, Np007G405090	AT5G31412.1
OG0000270	Np004G235580	AT1G75630.2
OG0000271	Np003G164720	AT4G02890.3
OG0000273	Np005G262870	AT5G51470.1
OG0000274	Np003G152640	AT5G59720.1
OG0000274	Np001G045890, Np001G045900	AT3G46230.1
OG0000274	Np004G252150	AT1G59860.1, AT1G07400.1
OG0000275	Np007G384510, Np007G381770, Np007G381750, Np007G381740, Np007G382440, Np007G382420, Np007G384540, Np007G382890	AT3G21910.1, AT3G29050.2, AT3G21930.1, AT3G21920.2, AT3G21900.2
OG0000276	Np005G308640	AT4G13310.1, AT4G13290.1
OG0000276	Np001G039310	AT4G20235.1
OG0000277	Np005G302360	AT4G15680.1
OG0000278	Np008G426890, Np009G429180	AT1G73490.2
OG0000281	Np001G056160, Np001G056190	AT4G22430.1
OG0000281	Np002G078840, Np003G147970	AT3G26010.1
OG0000282	Np003G133500	AT5G07540.1
OG0000282	Np003G133510, Np003G133520	AT5G07550.1
OG0000282	Np003G133530	AT5G07560.1, AT5G07571.1
OG0000283	Np001G041380, Np001G041420, Np001G041390, Np001G041410	AT5G43360.1, AT5G43370.1, AT5G43350.1
OG0000284	Np001G014190	AT5G26630.1
OG0000284	Np007G417960	AT5G48670.1
OG0000285	Np007G402150, Np002G103790	AT2G07505.1, AT2G06265.1
OG0000286	Np003G186400	AT5G53592.1
OG0000287	Np004G226800, Np004G226820, Np004G226810, Np004G226830	AT3G20980.1
OG0000288	Np006G324750	AT2G03460.1
OG0000288	Np004G214460, Np005G304800	AT5G51250.1, AT5G38670.1, AT5G38680.1
OG0000290	Np007G394710	AT3G18650.1
OG0000290	Np001G003170, Np004G255370	AT4G02235.1, AT4G11250.1, AT5G65330.1
OG0000294	Np007G392540	AT3G17390.1
OG0000294	Np006G338230	AT2G36880.1
OG0000294	Np003G187470	AT4G01850.1
OG0000295	Np007G379540, Np006G342510	AT3G14650.1, AT3G14660.1
OG0000296	Np006G337510	AT4G11700.1
OG0000296	Np005G319160, Np005G319110	AT1G24388.1
OG0000296	Np003G144510, Np003G188650, Np003G180440	AT3G25080.1
OG0000297	Np003G151840	AT5G60440.1
OG0000298	Np005G316810	AT1G77570.1
OG0000299	Np003G129930	AT3G44970.1
OG0000299	Np004G208320	AT1G78490.1
OG0000299	Np004G190450	AT1G55940.2
OG0000300	Np007G388090	AT2G05440.2, AT2G05510.1
OG0000301	Np004G225550, Np006G356740, Np004G197240, Np002G077850, Np007G412040, Np002G074480, Np003G156020, Np005G314010, Np001G031450	AT5G15690.1, AT4G04775.1
OG0000303	Np005G299670	AT2G20625.2
OG0000304	Np001G038540, Np005G309560	AT5G44950.1
OG0000304	Np001G038650	AT5G44970.1
OG0000308	Np005G316710	AT5G40100.1, AT1G17600.1
OG0000310	Np003G153250, Np003G152770	AT1G21620.1
OG0000310	Np003G152090, Np001G045800, Np003G152100	AT5G60180.1, AT5G60110.1
OG0000311	Np003G143670	AT5G16570.1
OG0000311	Np004G199430	AT1G48470.1
OG0000311	Np007G393150	AT3G17820.1
OG0000311	Np005G312280	AT5G37600.1
OG0000311	Np002G095870	AT1G66200.3
OG0000313	Np004G202460	AT3G29110.1
OG0000313	Np004G198970	AT1G48820.1
OG0000313	Np004G198950, Np004G198980	AT1G48800.1
OG0000314	Np004G255460	AT1G04750.1
OG0000314	Np004G255440	AT1G04760.1
OG0000314	Np006G357690	AT2G33120.2
OG0000316	Np006G331500	AT2G40560.1, AT2G40500.1
OG0000319	Np003G151880, Np005G304320, Np004G196850, Np005G304300	AT1G07940.1, AT1G07920.1, AT1G07930.1, AT5G60390.1
OG0000321	Np004G208960	AT5G37400.2
OG0000321	Np005G311700	AT4G09440.1
OG0000321	Np005G311720	AT2G03010.1
OG0000322	Np002G073460	AT1G78400.1
OG0000322	Np004G239000, Np004G204080	AT1G17150.1
OG0000322	Np006G331820, Np002G082860	AT2G26620.1, AT2G15470.1, AT2G15450.1, AT2G15460.1, AT4G13760.1, AT2G40310.1, AT1G43100.1, AT1G43090.1, AT1G43080.1
OG0000323	Np003G162270	AT5G54145.1
OG0000323	Np005G277420, Np005G277440	AT4G27652.1
OG0000325	Np005G299970	AT1G43720.1
OG0000327	Np006G364610, Np006G364600	AT1G23720.2
OG0000327	Np002G097600, Np001G057660, Np001G057680, Np001G057670	AT3G28550.1, AT3G54580.1, AT3G54590.3
OG0000328	Np005G304570	AT4G14630.1
OG0000329	Np001G066400	AT4G02310.1
OG0000330	Np007G378870	AT3G59460.1
OG0000330	Np001G049070, Np001G049100	AT1G06630.1
OG0000332	Np004G197090	AT4G14960.2, AT1G04820.1, AT1G50010.1
OG0000334	Np001G056660	AT3G53810.1
OG0000334	Np006G336790	AT2G37710.1
OG0000335	Np004G255090	AT1G05005.1
OG0000335	Np004G203620	AT1G43010.1
OG0000336	Np002G081700, Np002G081710	AT1G72900.1, AT1G72910.1, AT1G72940.1
OG0000336	Np002G081720	AT1G72890.2
OG0000338	Np002G112620, Np002G111810, Np004G249560, Np004G249390	AT1G57660.1, AT1G57860.1
OG0000339	Np005G283750	AT4G23400.1
OG0000340	Np006G326900	AT2G43510.1
OG0000340	Np006G326830, Np006G326880	AT2G43520.1
OG0000340	Np006G326810	AT2G43535.1
OG0000344	Np001G013610	AT5G26000.1
OG0000344	Np001G013620, Np001G041870	AT5G25980.2
OG0000345	Np004G245050	AT1G12665.1
OG0000345	Np004G244950, Np004G245040	AT1G12660.1
OG0000347	Np005G279340, Np007G409890, Np005G279350, Np007G409880	AT2G15660.1, AT2G40210.1, AT2G26880.1
OG0000349	Np005G267200	AT4G35733.1
OG0000349	Np006G364070	AT1G65760.1, AT1G65740.1, AT1G65770.1, AT2G17690.1
OG0000350	Np004G212930	AT1G29740.1
