Orthogroup	Noccaea_praecox	Capsella_rubella
OG0000077	Np005G261710, Np006G360730	XP_006285279.1
OG0000077	Np005G261720	XP_006283916.1, XP_023635518.1
OG0000078	Np002G086990, Np002G097240, Np002G092810	XP_023634352.1
OG0000079	Np007G389360	XP_023639082.1
OG0000080	Np006G334220	XP_006290130.1, XP_023634933.1
OG0000080	Np002G124500, Np002G124510	XP_023635299.1
OG0000080	Np005G278660	XP_023633781.1
OG0000080	Np005G318150, Np005G318140	XP_023640829.1
OG0000080	Np006G328080	XP_006286287.2
OG0000081	Np003G176780, Np003G176800, Np003G176750	XP_023636904.1
OG0000082	Np005G302180	XP_023639594.1
OG0000083	Np007G418940	XP_006295969.1
OG0000084	Np006G364960, Np006G365020	XP_006295595.1
OG0000084	Np006G365030, Np006G365010, Np006G365440, Np006G366050	XP_006296376.2
OG0000084	Np006G365060, Np006G365040	XP_006295555.1, XP_006294228.1
OG0000087	Np001G010980	XP_006287738.1
OG0000087	Np006G350150, Np008G428160	XP_006294210.1
OG0000087	Np005G287050, Np001G007020	XP_006292748.1, XP_006291122.1
OG0000087	Np003G139100	XP_006289933.1
OG0000087	Np001G039930	XP_006281513.1
OG0000087	Np005G287110	XP_006283733.1
OG0000087	Np002G077440	XP_006302256.1
OG0000088	Np001G038910, Np001G038970	XP_023639002.1
OG0000088	Np003G148700, Np003G148740	XP_006279102.2, XP_023636467.1, XP_023635698.1
OG0000088	Np001G052870	XP_023644362.1
OG0000089	Np003G136030	XP_006287952.1
OG0000089	Np007G395030	XP_006297920.1
OG0000089	Np007G409340	XP_006297921.1
OG0000089	Np001G046210	XP_006282193.1
OG0000090	Np004G235330	XP_006304273.1
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	XP_006302938.1
OG0000090	Np007G385680, Np001G065320, Np001G065030	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1
OG0000090	Np007G389920	XP_006305612.2
OG0000093	Np001G063230	XP_006292664.2
OG0000093	Np001G063180	XP_023638587.1
OG0000093	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	XP_006300210.2, XP_006299293.1, XP_006299888.1, XP_023642620.1, XP_006300054.1
OG0000093	Np005G317970	XP_006293093.1
OG0000096	Np002G112160	XP_023643297.1
OG0000096	Np001G024770	XP_006292432.2, XP_006293218.1, XP_006292790.1, XP_006292755.1
OG0000096	Np001G038620	XP_006281971.1
OG0000096	Np001G038140	XP_006281861.1
OG0000097	Np003G184990	XP_006288252.1
OG0000097	Np003G171600	XP_006288400.1
OG0000097	Np003G185030	XP_006285555.2, XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1
OG0000098	Np002G116580	XP_023644089.1, XP_006286837.2, XP_006301151.1, XP_006301217.1, XP_006300715.1
OG0000099	Np002G123570, Np004G227550, Np002G123550	XP_006300517.1
OG0000099	Np004G215640	XP_023643964.1
OG0000100	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190	XP_006295777.2
OG0000100	Np004G233090, Np003G158140, Np002G083340	XP_023638959.1
OG0000100	Np002G096510, Np006G363460	XP_023640327.1, XP_023634261.1
OG0000100	Np001G055900, Np002G095400, Np002G090410, Np006G338280, Np002G087790, Np005G308750, Np006G327840, Np004G233160, Np006G345130	XP_006282338.2
OG0000100	Np006G360420, Np005G260470	XP_023633443.1
OG0000101	Np002G122800	XP_023639256.1
OG0000101	Np002G123360	XP_006301994.2
OG0000101	Np002G123180	XP_023643962.1, XP_023643838.1
OG0000104	Np004G251930	XP_023645280.1
OG0000104	Np006G360060	XP_023639964.1
OG0000104	Np006G360100	XP_006296171.1
OG0000104	Np004G195160	XP_023645616.1
OG0000104	Np007G381330	XP_006299926.1
OG0000104	Np006G360080	XP_023640019.1, XP_006293405.1
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	XP_006299978.1
OG0000106	Np007G372640	XP_006297893.1
OG0000107	Np007G398420	XP_006300030.1, XP_006297457.1
OG0000107	Np005G313740	XP_006297444.1
OG0000107	Np007G380680	XP_006290930.1
OG0000108	Np001G011650, Np001G011550	XP_006305026.1
OG0000108	Np007G379350	XP_006300240.1
OG0000108	Np004G259470	XP_006292655.1
OG0000110	Np001G064490	XP_006291045.1
OG0000110	Np001G064470	XP_006290900.1
OG0000110	Np001G064520	XP_006291075.1
OG0000110	Np001G064450	XP_006282595.1
OG0000110	Np001G064540	XP_023639093.1
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	XP_006283852.1, XP_023634364.1
OG0000111	Np001G006030	XP_023637355.1
OG0000111	Np001G058370	XP_006291215.1
OG0000112	Np003G184320	XP_006303711.1, XP_006281753.1, XP_006282356.1, XP_006289168.1, XP_006295946.1
OG0000113	Np007G416190	XP_006282489.2
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	XP_023643610.1, XP_023632899.1, XP_023642575.1, XP_023637419.1
OG0000118	Np005G315460	XP_006289226.1, XP_006289953.1, XP_006289914.1
OG0000118	Np001G044480, Np005G313880	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1, XP_006285378.1
OG0000119	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260	XP_023644479.1, XP_023640329.1, XP_023634312.1, XP_023639187.1, XP_006281259.1
OG0000120	Np002G117060, Np002G116940	XP_006301308.1, XP_006301329.1
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	XP_006281901.1
OG0000120	Np003G129250	XP_006296511.1, XP_023644285.1, XP_023644286.1
OG0000122	Np003G157760, Np003G157830, Np003G157840	XP_023633416.1
OG0000122	Np001G056320	XP_006281892.1
OG0000122	Np003G157790	XP_006306021.1
OG0000122	Np003G158000	XP_006281577.2
OG0000123	Np003G131420	XP_006303793.1
OG0000123	Np004G243210	XP_006292772.1
OG0000124	Np006G348530	XP_023641922.1
OG0000125	Np001G056500, Np006G337140	XP_006292034.1
OG0000125	Np003G126800	XP_006298831.2, XP_006286660.1
OG0000125	Np003G151060	XP_006289049.1
OG0000125	Np003G152340	XP_006292858.1, XP_006281264.1
OG0000126	Np003G176980, Np005G260240	XP_023640331.1, XP_023640343.1, XP_023644467.1
OG0000126	Np002G094910	XP_023640332.1
OG0000127	Np003G125840	XP_006289415.1
OG0000127	Np007G413700, Np001G046260, Np007G413710	XP_006300213.2
OG0000127	Np002G096200	XP_023646069.1
OG0000131	Np002G101800	XP_006301152.1
OG0000131	Np003G174400	XP_023640326.1, XP_023635195.1, XP_023634652.1, XP_023640905.1
OG0000136	Np002G086710	XP_006302616.1, XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302255.2
OG0000136	Np005G312640	XP_006291706.2, XP_006285515.2
OG0000136	Np002G095000	XP_006284296.1
OG0000137	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930	XP_023638979.1
OG0000137	Np007G398190	XP_023644078.1
OG0000137	Np005G318010	XP_023635269.1
OG0000138	Np002G085260	XP_023638093.1
OG0000138	Np001G018700	XP_023639004.1
OG0000138	Np002G085240, Np002G085270, Np002G085250	XP_006291108.1, XP_023639277.1, XP_023638690.1
OG0000139	Np003G167980, Np006G368820, Np004G213800, Np003G179380, Np005G308690	XP_023642220.1, XP_023645695.1
OG0000139	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840	XP_023634523.1
OG0000140	Np003G153340	XP_006279478.2
OG0000140	Np003G153440	XP_023641991.1
OG0000140	Np003G153920	XP_023640932.1, XP_023642636.1, XP_023640928.1
OG0000140	Np003G153430, Np007G424390, Np003G153390	XP_006280067.1, XP_006280069.1
OG0000146	Np003G160050	XP_006280761.2
OG0000146	Np003G160040	XP_006280742.1
OG0000146	Np003G160230	XP_006281729.1
OG0000146	Np003G160060, Np003G160140, Np003G160190	XP_023637930.1, XP_006281726.2
OG0000146	Np003G160200	XP_006281991.1
OG0000146	Np003G159660	XP_023633411.1
OG0000147	Np007G373950	XP_006296920.1
OG0000147	Np005G273990	XP_006282542.1
OG0000147	Np003G156060	XP_006282289.1
OG0000147	Np002G071170	XP_023643729.1
OG0000147	Np001G043050	XP_006279360.1
OG0000147	Np007G389960	XP_006279406.1
OG0000149	Np003G152730	XP_023639042.1
OG0000149	Np003G152680	XP_023633454.1
OG0000149	Np001G046030	XP_006292697.1
OG0000150	Np001G049320	XP_006291315.2
OG0000151	Np003G164170	XP_006281266.1
OG0000151	Np005G277020	XP_006284700.1
OG0000151	Np007G376880	XP_006298751.1
OG0000151	Np003G158280	XP_006281239.2
OG0000154	Np004G240190	XP_006306285.1
OG0000154	Np007G408850	XP_006297173.1
OG0000154	Np007G413420	XP_006297174.1
OG0000154	Np003G126710	XP_006287234.1
OG0000154	Np003G126700, Np003G127150, Np002G112020	XP_006290203.1
OG0000155	Np004G218540	XP_006286160.1
OG0000155	Np005G287960	XP_023634855.1
OG0000155	Np007G409550	XP_006300024.2
OG0000156	Np001G066790	XP_006292819.2
OG0000156	Np006G324150	XP_023640163.1, XP_023640606.1
OG0000156	Np006G324140	XP_006307271.1, XP_023641004.1
OG0000157	Np002G078620	XP_006300909.1, XP_006301359.2, XP_006290202.1
OG0000158	Np002G081190	XP_023635458.1
OG0000158	Np007G406120, Np001G028290, Np001G028380, Np001G028350	XP_006289701.2, XP_006289843.2
OG0000160	Np002G095190	XP_023639459.1, XP_023643350.1, XP_023644208.1
OG0000161	Np001G008600	XP_023640860.1, XP_023640089.1
OG0000161	Np005G311810	XP_023644191.1
OG0000161	Np002G086610	XP_023644190.1
OG0000162	Np001G066230	XP_006293283.1
OG0000162	Np002G116280	XP_006302230.1
OG0000162	Np006G324990	XP_006294103.1
OG0000164	Np005G275210	XP_006285583.1, XP_006303757.2
OG0000164	Np005G261970	XP_006285590.2
OG0000164	Np004G198520	XP_023643272.1, XP_023635808.1
OG0000167	Np005G289610	XP_023634123.1
OG0000167	Np004G243920, Np002G111260	XP_023634326.1, XP_006282799.2, XP_023635153.1, XP_023644224.1
OG0000167	Np004G202230	XP_023633844.1
OG0000169	Np002G113130	XP_023643289.1
OG0000171	Np002G116080, Np004G248080	XP_006305640.2
OG0000171	Np003G141590	XP_023635842.1
OG0000172	Np001G064170	XP_006291171.1
OG0000174	Np004G217810	XP_023634620.1, XP_023640324.1, XP_023636043.1
OG0000175	Np002G077280	XP_006302850.1
OG0000175	Np004G235400	XP_006305647.1
OG0000175	Np007G376890	XP_006282726.1
OG0000175	Np005G267520	XP_023633909.1
OG0000176	Np006G334320	XP_006304655.2
OG0000180	Np005G291330, Np005G294660, Np005G291290, Np005G292670, Np005G292680, Np005G291280	XP_006288439.1
OG0000181	Np005G296340, Np006G359190, Np001G033000, Np007G384350, Np002G094870, Np004G238980, Np006G363240	XP_023638083.1, XP_023641916.1, XP_023634272.1, XP_023634273.1
OG0000184	Np006G360300	XP_023640341.1
OG0000186	Np006G361310	XP_023640354.1
OG0000187	Np005G271420	XP_006283864.1
OG0000189	Np005G262130	XP_023633711.1, XP_006284898.2, XP_023644326.1
OG0000189	Np001G019990	XP_006289268.1, XP_023634627.1, XP_023637961.1
OG0000190	Np003G183500	XP_006286464.1
OG0000190	Np003G183510	XP_006286371.1
OG0000190	Np003G183410, Np003G183480	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000191	Np007G388820, Np003G178870	XP_006303714.1, XP_006292305.1, XP_006303731.1, XP_006303763.1
OG0000191	Np006G339030, Np006G337320	XP_023640409.1, XP_006295568.2
OG0000191	Np005G291410	XP_006294410.1
OG0000191	Np007G391150, Np007G391080	XP_006299132.1
OG0000193	Np007G380740	XP_023634668.1
OG0000193	Np007G380880	XP_023642627.1
OG0000193	Np007G381040, Np007G381000	XP_006299157.1
OG0000195	Np006G361540	XP_006294957.1
OG0000195	Np005G312480	XP_006302967.1, XP_006284698.1
OG0000196	Np004G214150, Np004G214340, Np003G165450	XP_006303722.1, XP_006305143.1
OG0000196	Np004G254380	XP_006305980.1
OG0000196	Np003G165460	XP_006305145.1
OG0000200	Np004G254580	XP_006279047.1
OG0000201	Np007G379560	XP_006299827.1, XP_023642677.1, XP_023632990.1, XP_006299497.1
OG0000204	Np007G381450	XP_006297875.1
OG0000205	Np004G252280	XP_006299871.1, XP_023642400.1, XP_006299319.1, XP_023638076.1, XP_023637223.1, XP_006304855.1, XP_023641930.1, XP_006293234.2, XP_023638052.1, XP_023641929.1, XP_023641928.1, XP_023641931.1
OG0000205	Np001G056450, Np004G200620, Np004G227010	XP_023644508.1, XP_023644509.1
OG0000206	Np004G216740	XP_023634705.1
OG0000209	Np002G123960, Np002G123970	XP_023642946.1, XP_023644381.1, XP_023642945.1
OG0000209	Np002G124020	XP_023636837.1
OG0000209	Np002G123940, Np002G091400	XP_023633824.1, XP_023634330.1, XP_023634335.1, XP_023633580.1, XP_006283196.1, XP_023633370.1, XP_023633339.1
OG0000210	Np006G357820	XP_006295600.1, XP_006296378.1
OG0000210	Np004G205190	XP_006292602.1
OG0000213	Np005G312500	XP_023642299.1, XP_023641412.1
OG0000214	Np007G375860	XP_006301794.1
OG0000214	Np003G186320, Np003G186260	XP_023636923.1, XP_023636108.1, XP_006289397.1, XP_006287235.1, XP_006289797.1, XP_023636924.1, XP_006282887.2, XP_006286785.2
OG0000216	Np005G286040, Np005G286010, Np005G285980, Np005G286120, Np005G286080	XP_023634599.1, XP_006286096.1, XP_006285650.1
OG0000216	Np004G202700, Np005G274080, Np005G314870	XP_006285624.1
OG0000216	Np006G361190	XP_006306137.1, XP_006285218.1, XP_006286276.1
OG0000216	Np001G003750	XP_006283801.2
OG0000218	Np004G241490	XP_006305966.2
OG0000218	Np004G241460	XP_006306087.1
OG0000218	Np005G283350	XP_023638990.1, XP_006291999.1, XP_023638678.1, XP_006291997.1
OG0000218	Np001G027310	XP_006291995.1
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	XP_023633471.1
OG0000219	Np001G006200, Np001G008160, Np001G006180	XP_006281906.1
OG0000220	Np003G158780	XP_006292443.2, XP_006282024.1
OG0000222	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420	XP_023644469.1, XP_023633734.1, XP_023637320.1, XP_023633507.1
OG0000224	Np002G096650	XP_006291286.1, XP_006300513.1
OG0000224	Np002G121630, Np002G121680, Np002G121650, Np002G121690	XP_006301062.1, XP_006301004.1
OG0000225	Np004G212520	XP_006305710.2, XP_006304552.1, XP_023632576.1
OG0000225	Np004G212510	XP_006305771.1, XP_006304293.1
OG0000225	Np004G212550, Np004G212570, Np004G212500	XP_023632637.1
OG0000226	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340	XP_023641274.1, XP_006298152.1, XP_006305431.1, XP_006305370.1, XP_023645963.1
OG0000228	Np004G230940	XP_006289231.1
OG0000228	Np002G084530	XP_023644384.1
OG0000229	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980	XP_006280936.1, XP_006293511.1
OG0000229	Np005G309490	XP_006294905.1
OG0000229	Np007G377500, Np007G377590, Np006G330770	XP_006303339.1, XP_006304149.1
OG0000230	Np002G077370	XP_023643581.1, XP_006301653.1, XP_006300992.1
OG0000230	Np001G017180, Np001G016820, Np002G077300	XP_006303073.1, XP_006300924.1, XP_006303076.1, XP_006303070.1, XP_006303074.1, XP_023643400.1
OG0000230	Np002G077290	XP_006301262.1
OG0000231	Np003G174440	XP_006283372.1
OG0000231	Np004G203320	XP_006301976.1, XP_023645946.1, XP_023643170.1, XP_023643807.1
OG0000232	Np006G352410, Np006G352420	XP_006296962.1, XP_006296911.1, XP_023632678.1, XP_006296942.1, XP_006296914.1, XP_006286443.2
OG0000234	Np001G058680	XP_006292545.1
OG0000234	Np001G058670	XP_006292248.1
OG0000234	Np006G333910	XP_006295608.1
OG0000234	Np003G140390	XP_006287124.2
OG0000236	Np007G382490	XP_023642610.1
OG0000236	Np007G382520, Np007G382570	XP_006299722.2
OG0000236	Np003G177320	XP_006289606.1
OG0000240	Np003G187630	XP_006290232.2, XP_006281727.1
OG0000240	Np002G104290	XP_006304782.2, XP_006279442.1
OG0000242	Np004G242740	XP_023645989.1
OG0000242	Np004G242760	XP_006307178.2
OG0000244	Np005G286400	XP_006284545.1
OG0000244	Np003G183740	XP_006289215.1
OG0000247	Np002G120130, Np002G120100, Np002G120120, Np002G120110	XP_006284720.1
OG0000248	Np002G112170	XP_006302421.1
OG0000248	Np001G048790	XP_006292358.1
OG0000249	Np006G338430, Np001G039620	XP_006295641.1
OG0000249	Np003G177600, Np006G338400	XP_006294087.1, XP_006294083.1
OG0000250	Np002G085780	XP_006301741.2
OG0000250	Np002G086000	XP_006284516.1, XP_023644302.1
OG0000254	Np007G383010	XP_006304817.2, XP_006306329.2, XP_023644499.1, XP_006304918.2, XP_023643302.1, XP_006302259.2, XP_023643256.1
OG0000254	Np001G046190	XP_023639557.1
OG0000256	Np004G200500, Np004G200520	XP_006281060.1, XP_023642516.1
OG0000257	Np007G377760	XP_006300047.2, XP_006303618.1, XP_006303691.1, XP_006305982.2, XP_006284973.1, XP_006301076.1, XP_023642301.1
OG0000258	Np001G022690	XP_006290957.1, XP_006290955.1
OG0000258	Np003G156210	XP_006282010.1
OG0000258	Np001G049130, Np001G022660, Np001G022680	XP_006290953.1, XP_023638661.1
OG0000260	Np005G316660	XP_023643982.1
OG0000261	Np002G118890, Np001G020530, Np005G302370, Np002G107620, Np001G046080, Np005G305350, Np002G094330, Np005G297150, Np002G100940, Np006G343230, Np002G100610, Np008G425880, Np001G037380, Np002G102350, Np003G171500, Np004G229620, Np010G433380	XP_023641349.1
OG0000264	Np003G185830	XP_006286805.1, XP_006290182.1
OG0000264	Np003G185810, Np003G185770, Np003G185800	XP_023636139.1, XP_006286807.1
