Orthogroup	Noccaea_praecox	Arabis_alpina
OG0000013	Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160	Aa_G366470.h1.t1, Aa_G308560.h1.t1, Aa_G589080.h1.t1
OG0000015	Np007G402630	Aa_G1870.h1.t1, Aa_G12580.h1.t1, Aa_G564620.h1.t1, Aa_G201940.h1.t1
OG0000015	Np007G409210, Np007G416110	Aa_G522550.h1.t1
OG0000015	Np001G029500	Aa_G183280.h1.t1, Aa_G533220.h1.t1, Aa_G982290.h1.t1
OG0000020	Np002G099760	Aa_G1000.h1.t1
OG0000020	Np005G303330, Np004G208430	Aa_G209100.h1.t1
OG0000020	Np008G428370	Aa_G907350.h1.t1
OG0000021	Np005G303890	Aa_G505500.h1.t1
OG0000023	Np005G283900	Aa_G200950.h1.t1, Aa_G200910.h1.t1
OG0000023	Np005G284120	Aa_G200900.h1.t1
OG0000023	Np005G284010	Aa_G200830.h1.t1
OG0000023	Np005G284070	Aa_G191740.h1.t1
OG0000024	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770	Aa_G1071170.h1.t1, Aa_G1070950.h1.t1, Aa_G504310.h1.t1, Aa_G1065450.h1.t1, Aa_G1065450.h2.t1, Aa_G1036850.h1.t1, Aa_G1060830.h1.t1, Aa_G1060830.h2.t1, Aa_G1022550.h1.t1, Aa_G592290.h1.t1, Aa_G1027940.h1.t1, Aa_G1057970.h1.t1, Aa_G1057970.h2.t1, Aa_G382890.h1.t1, Aa_G568240.h1.t1, Aa_G946730.h1.t1, Aa_G1031130.h1.t1, Aa_G989550.h1.t1, Aa_G354530.h1.t1, Aa_G1075240.h1.t1, Aa_G1090860.h1.t1, Aa_G907570.h1.t1, Aa_G639840.h1.t1, Aa_G1073480.h1.t1, Aa_G60160.h1.t1, Aa_G1059840.h1.t1, Aa_G128260.h1.t1, Aa_G200670.h1.t1, Aa_G60020.h1.t1, Aa_G689840.h1.t1, Aa_G178780.h1.t1, Aa_G489570.h1.t1, Aa_G6130.h1.t1, Aa_G415170.h1.t1, Aa_G655510.h1.t1, Aa_G440380.h1.t1, Aa_G530180.h1.t1, Aa_G398060.h1.t1, Aa_G319930.h1.t1, Aa_G218430.h1.t1, Aa_G705330.h1.t1, Aa_G600110.h1.t1, Aa_G3420.h1.t1, Aa_G3750.h1.t1, Aa_G305740.h1.t1, Aa_G362770.h1.t1, Aa_G70710.h1.t1, Aa_G91930.h1.t1, Aa_G592300.h1.t1, Aa_G707390.h1.t1
OG0000025	Np003G164310, Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360, Np003G183240	Aa_G553200.h1.t1
OG0000026	Np003G172690, Np003G171320	Aa_G387540.h1.t1
OG0000027	Np004G214870, Np005G271730, Np004G214850	Aa_G230140.h1.t1
OG0000027	Np001G057950, Np001G057940	Aa_G565550.h1.t1, Aa_G614530.h1.t1, Aa_G511000.h1.t1, Aa_G14060.h1.t1
OG0000028	Np003G168060, Np003G175100, Np002G106380	Aa_G248570.h1.t1
OG0000029	Np003G169850, Np001G030650, Np001G034960, Np004G225420, Np001G003630, Np001G034950	Aa_G154360.h1.t1
OG0000029	Np003G172500	Aa_G302660.h1.t1
OG0000029	Np002G113330, Np005G304980	Aa_G342490.h1.t1
OG0000030	Np004G229860	Aa_G67230.h1.t1
OG0000030	Np002G096140, Np004G216100, Np006G330890	Aa_G500830.h1.t1
OG0000031	Np004G244900	Aa_G10820.h1.t1, Aa_G291980.h1.t1, Aa_G291990.h1.t1
OG0000032	Np002G100550	Aa_G631350.h1.t1
OG0000033	Np005G284050, Np005G284060	Aa_G619140.h1.t1, Aa_G782810.h1.t1
OG0000033	Np005G284080	Aa_G191730.h1.t1
OG0000033	Np005G284150	Aa_G191700.h1.t1
OG0000033	Np005G284160	Aa_G191690.h1.t1
OG0000035	Np006G364470	Aa_G43710.h1.t1
OG0000035	Np005G313520	Aa_G570500.h1.t1, Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1, Aa_G154560.h1.t1
OG0000036	Np006G342180, Np004G233440, Np005G260660	Aa_G444220.h1.t1
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	Aa_G525570.h1.t1
OG0000038	Np005G270740, Np005G270650, Np005G270700	Aa_G344370.h1.t1
OG0000040	Np004G224970, Np004G224940	Aa_G243430.h1.t1
OG0000040	Np004G224990	Aa_G152820.h1.t1
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	Aa_G882110.h32.t1, Aa_G882110.h5.t1, Aa_G882110.h18.t1, Aa_G882110.h22.t1, Aa_G882110.h33.t1, Aa_G882110.h7.t1, Aa_G882110.h9.t1, Aa_G882110.h35.t1, Aa_G882110.h15.t1, Aa_G882110.h10.t1, Aa_G882110.h28.t1, Aa_G882110.h1.t1, Aa_G882110.h30.t1, Aa_G882110.h20.t1, Aa_G882110.h23.t1, Aa_G882110.h31.t1, Aa_G882110.h24.t1, Aa_G882110.h14.t1, Aa_G882110.h12.t1, Aa_G882110.h29.t1, Aa_G882110.h19.t1, Aa_G882110.h4.t1, Aa_G882110.h2.t1, Aa_G882110.h17.t1, Aa_G882110.h6.t1, Aa_G882110.h34.t1, Aa_G882110.h3.t1, Aa_G882110.h26.t1, Aa_G882110.h21.t1, Aa_G882110.h13.t1, Aa_G882110.h11.t1, Aa_G882110.h8.t1, Aa_G882110.h25.t1, Aa_G882110.h16.t1, Aa_G882110.h27.t1
OG0000046	Np005G314650	Aa_G120780.h1.t1, Aa_G120790.h1.t1
OG0000046	Np005G313330	Aa_G439600.h1.t1, Aa_G408550.h1.t1
OG0000046	Np007G386460	Aa_G369740.h1.t1
OG0000048	Np003G145480	Aa_G253630.h1.t1
OG0000048	Np003G145420	Aa_G253740.h1.t1
OG0000048	Np003G145430	Aa_G253710.h1.t1
OG0000049	Np004G254290	Aa_G135690.h1.t1
OG0000050	Np002G094900	Aa_G288270.h1.t1
OG0000050	Np007G402160	Aa_G8040.h1.t1
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1
OG0000052	Np006G328530, Np006G328520	Aa_G399340.h1.t1
OG0000052	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670	Aa_G678670.h1.t1
OG0000052	Np002G116790, Np002G107170, Np002G116330	Aa_G592860.h1.t1
OG0000052	Np006G328590, Np006G328570, Np006G328580	Aa_G599340.h1.t1
OG0000054	Np004G255790, Np005G312070, Np007G389250	Aa_G319750.h1.t1, Aa_G362310.h1.t1
OG0000055	Np002G120200, Np002G120190, Np002G120180	Aa_G534300.h1.t1, Aa_G47070.h1.t1
OG0000055	Np002G119400	Aa_G615080.h1.t1
OG0000056	Np003G158880, Np007G412270, Np005G282430	Aa_G652160.h1.t1, Aa_G44560.h1.t1
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660	Aa_G505780.h1.t1
OG0000056	Np004G212730	Aa_G563840.h1.t1, Aa_G243550.h1.t1
OG0000057	Np007G419120, Np007G419160, Np005G285180	Aa_G5070.h1.t1
OG0000057	Np007G392240, Np007G392300	Aa_G659190.h1.t1
OG0000057	Np007G398210, Np010G435080, Np007G401600	Aa_G507860.h1.t1
OG0000058	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1
OG0000062	Np003G173970, Np003G170000	Aa_G297760.h1.t1, Aa_G255800.h1.t1
OG0000063	Np001G045620	Aa_G197130.h7.t1
OG0000063	Np006G337020	Aa_G550780.h4.t1
OG0000063	Np003G152670, Np004G251810	Aa_G448310.h5.t1
OG0000063	Np004G251560, Np006G359840	Aa_G33920.h6.t1
OG0000063	Np005G306870	Aa_G197130.h6.t1
OG0000063	Np003G152310	Aa_G375890.h3.t1
OG0000063	Np001G046020	Aa_G257700.h6.t1
OG0000064	Np005G260880	Aa_G137810.h1.t1
OG0000066	Np005G262320	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1
OG0000066	Np003G136710	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	Aa_G389030.h1.t1, Aa_G484940.h1.t1
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1
OG0000067	Np003G144200	Aa_G602850.h1.t1, Aa_G602860.h1.t1, Aa_G176470.h1.t1
OG0000068	Np002G089430	Aa_G75180.h1.t1
OG0000068	Np007G393060	Aa_G104090.h1.t1
OG0000069	Np003G152400	Aa_G108990.h1.t1
OG0000070	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960	Aa_G850.h1.t1
OG0000070	Np002G099050	Aa_G380.h1.t1
OG0000071	Np003G163260	Aa_G414310.h1.t1
OG0000071	Np003G136370, Np006G335610, Np002G086650	Aa_G616190.h1.t1, Aa_G692990.h1.t1, Aa_G268590.h1.t1
OG0000071	Np006G355640	Aa_G616180.h1.t1
OG0000071	Np001G013290	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1
OG0000071	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650	Aa_G32140.h1.t1
OG0000071	Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	Aa_G456270.h1.t1
OG0000073	Np006G330840	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	Np004G230020	Aa_G349960.h1.t1
OG0000074	Np004G229960	Aa_G931550.h1.t1, Aa_G664190.h1.t1, Aa_G664200.h1.t1, Aa_G293350.h1.t1
OG0000074	Np004G230030	Aa_G62240.h1.t1
OG0000074	Np003G180910, Np003G184200	Aa_G62260.h1.t1, Aa_G62270.h1.t1
OG0000075	Np007G378600	Aa_G460480.h1.t1, Aa_G542150.h1.t1, Aa_G535390.h1.t1
OG0000076	Np002G083960	Aa_G247970.h1.t1, Aa_G247980.h1.t1, Aa_G465260.h1.t1, Aa_G247990.h1.t1
OG0000076	Np007G423950	Aa_G4800.h1.t1
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	Aa_G374870.h1.t1
OG0000077	Np007G386290	Aa_G254660.h1.t1
OG0000077	Np006G360730	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000078	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660	Aa_G32020.h1.t1
OG0000079	Np001G064190	Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1
OG0000079	Np007G422670	Aa_G111830.h1.t1
OG0000079	Np007G389360	Aa_G284870.h1.t1
OG0000079	Np001G064220	Aa_G175680.h1.t1, Aa_G262340.h1.t1, Aa_G517120.h1.t1, Aa_G175640.h1.t1, Aa_G262350.h1.t1
OG0000079	Np001G064140	Aa_G175840.h1.t1
OG0000080	Np006G334220	Aa_G329030.h1.t1, Aa_G84910.h1.t1, Aa_G235680.h1.t1
OG0000080	Np002G124540	Aa_G175650.h1.t1
OG0000080	Np006G328080	Aa_G488480.h1.t1, Aa_G386390.h1.t1
OG0000081	Np001G010770, Np004G196080, Np004G196070, Np003G176780, Np003G176800, Np003G176750, Np003G145640	Aa_G604970.h1.t1
OG0000082	Np005G299120, Np006G332300, Np005G302180	Aa_G566090.h1.t1
OG0000083	Np002G083710	Aa_G595900.h1.t1
OG0000083	Np002G083730	Aa_G319560.h1.t1
OG0000083	Np007G418940	Aa_G21020.h1.t1
OG0000084	Np006G364930	Aa_G155650.h1.t1
OG0000084	Np006G365060, Np006G365040	Aa_G54460.h1.t1
OG0000087	Np001G010980	Aa_G630880.h1.t1
OG0000087	Np006G350150, Np008G428160	Aa_G199760.h1.t1
OG0000087	Np001G007020	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000087	Np003G139100	Aa_G256660.h1.t1
OG0000087	Np001G039930	Aa_G103150.h1.t1
OG0000087	Np005G287110	Aa_G580380.h1.t1
OG0000087	Np002G077440	Aa_G656110.h1.t1
OG0000088	Np003G148700, Np003G148740	Aa_G15590.h1.t1
OG0000088	Np001G052870	Aa_G15570.h1.t1
OG0000089	Np003G136030	Aa_G152880.h1.t1
OG0000089	Np006G329000	Aa_G67360.h1.t1
OG0000089	Np007G409340	Aa_G5290.h1.t1
OG0000089	Np001G056580, Np006G336940	Aa_G367680.h1.t1
OG0000089	Np001G046210	Aa_G99370.h1.t1
OG0000090	Np004G235330	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	Aa_G410840.h1.t1
OG0000090	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600	Aa_G273720.h1.t1, Aa_G273730.h1.t1
OG0000090	Np007G385680, Np001G065320, Np001G065030	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000090	Np007G389920	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000093	Np001G063230	Aa_G526230.h1.t1
OG0000093	Np001G005730	Aa_G526200.h1.t1, Aa_G526220.h1.t1, Aa_G835690.h1.t1, Aa_G367660.h1.t1
OG0000096	Np001G024770	Aa_G683270.h1.t1
OG0000096	Np001G038620	Aa_G122040.h1.t1, Aa_G362960.h1.t1
OG0000097	Np003G184990	Aa_G42050.h1.t1
OG0000097	Np003G185010	Aa_G132920.h1.t1
OG0000097	Np003G171600	Aa_G577800.h1.t1
OG0000097	Np003G185030	Aa_G42060.h1.t1, Aa_G405840.h1.t1, Aa_G25760.h1.t1, Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1
OG0000098	Np002G116580	Aa_G733890.h1.t1, Aa_G391080.h1.t1, Aa_G473800.h1.t1, Aa_G329600.h1.t1, Aa_G391060.h1.t1, Aa_G391060.h2.t1
OG0000099	Np002G123560, Np004G228320	Aa_G647960.h1.t1
OG0000099	Np004G215640	Aa_G384670.h1.t1
OG0000100	Np004G233090, Np003G158140	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000101	Np002G122780	Aa_G65740.h1.t1, Aa_G65800.h1.t1
OG0000101	Np002G123360	Aa_G398600.h1.t1
OG0000102	Np006G343540	Aa_G998790.h1.t1
OG0000102	Np001G022480	Aa_G397260.h1.t1, Aa_G367140.h1.t1
OG0000104	Np004G251930	Aa_G257560.h1.t1
OG0000104	Np006G360100	Aa_G459870.h1.t1
OG0000104	Np004G195160	Aa_G166390.h1.t1
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330, Np007G372640	Aa_G32180.h1.t1
OG0000107	Np005G313740	Aa_G37190.h1.t1
OG0000108	Np001G012770, Np001G011650, Np001G011550	Aa_G539300.h1.t1, Aa_G70590.h1.t1
OG0000108	Np005G305310	Aa_G539290.h1.t1
OG0000109	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000109	Np003G183100, Np004G217760	Aa_G663410.h1.t1
OG0000110	Np001G064490	Aa_G271260.h1.t1
OG0000110	Np001G064470	Aa_G784880.h1.t1
OG0000110	Np001G064450	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000110	Np001G064540	Aa_G271300.h1.t1
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000111	Np005G313680	Aa_G110080.h1.t1
OG0000111	Np001G006020	Aa_G75250.h1.t1
OG0000111	Np001G006010	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1
OG0000111	Np006G327310, Np005G313700, Np005G313670, Np005G313690	Aa_G267550.h1.t1
OG0000111	Np001G006030	Aa_G75240.h1.t1
OG0000111	Np001G058370	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000112	Np003G184320	Aa_G655250.h1.t1, Aa_G655250.h2.t1
OG0000113	Np007G416190	Aa_G229780.h1.t1
OG0000113	Np002G122980	Aa_G106970.h1.t1, Aa_G65730.h1.t1
OG0000113	Np002G123190	Aa_G616120.h1.t1
OG0000114	Np003G137830	Aa_G753220.h1.t1
OG0000117	Np004G227340	Aa_G128900.h1.t1
OG0000120	Np003G129250	Aa_G388280.h1.t1
OG0000122	Np003G157760	Aa_G5880.h1.t1
OG0000122	Np003G157830	Aa_G379620.h1.t1
OG0000122	Np001G056320	Aa_G551010.h1.t1, Aa_G550960.h1.t1, Aa_G379580.h1.t1, Aa_G625770.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1, Aa_G379590.h1.t1, Aa_G592750.h1.t1
OG0000123	Np003G131420, Np004G243230, Np004G243210, Np005G279480, Np003G131130	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000125	Np006G337140	Aa_G311330.h1.t1
OG0000125	Np003G126800	Aa_G506920.h1.t1, Aa_G403520.h1.t1
OG0000125	Np003G151060	Aa_G552180.h1.t1
OG0000125	Np003G152340	Aa_G33880.h1.t1
OG0000125	Np006G359820	Aa_G69270.h1.t1
OG0000126	Np002G094910	Aa_G248300.h1.t1
OG0000127	Np003G125840	Aa_G18590.h1.t1
OG0000127	Np007G413710	Aa_G101380.h1.t1
OG0000130	Np006G346500, Np002G110200, Np005G295250	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1
OG0000131	Np002G101800	Aa_G861160.h1.t1
OG0000131	Np003G174400	Aa_G187370.h1.t1, Aa_G173790.h1.t1, Aa_G972050.h1.t1, Aa_G918570.h1.t1, Aa_G327480.h1.t1, Aa_G122790.h1.t1
OG0000132	Np003G171960	Aa_G358570.h1.t1
OG0000132	Np007G378350	Aa_G322800.h1.t1
OG0000132	Np004G192110, Np001G023710	Aa_G342720.h1.t1
OG0000133	Np003G130350, Np003G153160	Aa_G50020.h1.t1
OG0000136	Np005G312640	Aa_G108450.h1.t1
OG0000136	Np005G312630, Np005G312670, Np005G312660, Np005G312690	Aa_G483980.h1.t1, Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G221000.h1.t1
OG0000138	Np002G085290	Aa_G783970.h1.t1, Aa_G283280.h1.t1, Aa_G376680.h1.t1, Aa_G638390.h1.t1, Aa_G638390.h2.t1, Aa_G638390.h3.t1, Aa_G110250.h1.t1, Aa_G182200.h1.t1, Aa_G691670.h1.t1, Aa_G298280.h1.t1
OG0000138	Np002G085240, Np002G085270, Np002G085250	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1
OG0000139	Np006G345080, Np003G170780, Np004G225070, Np001G033760, Np002G105790	Aa_G803880.h1.t1
OG0000139	Np001G031630, Np002G101140	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1
OG0000139	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840	Aa_G840.h1.t1, Aa_G475650.h1.t1
OG0000140	Np003G153340	Aa_G297060.h1.t1
OG0000140	Np003G153440	Aa_G701760.h1.t1
OG0000140	Np003G153430, Np007G424390, Np003G153390	Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000140	Np001G046630	Aa_G715860.h1.t1
OG0000145	Np005G299660	Aa_G11550.h1.t1
OG0000146	Np003G160040	Aa_G59090.h1.t1
OG0000146	Np003G160230	Aa_G643480.h1.t1
OG0000146	Np003G160060, Np003G160140, Np003G160190	Aa_G643460.h1.t1, Aa_G732190.h1.t1
OG0000146	Np003G160220	Aa_G925390.h1.t1
OG0000147	Np007G373950	Aa_G190130.h1.t1
OG0000147	Np005G273990	Aa_G620370.h1.t1
OG0000147	Np003G156060	Aa_G307400.h1.t1
OG0000147	Np002G071170	Aa_G21590.h1.t1
OG0000147	Np001G043050	Aa_G490420.h1.t1
OG0000147	Np007G389960	Aa_G194510.h1.t1
OG0000149	Np003G152730	Aa_G482950.h1.t1
OG0000149	Np003G152750	Aa_G550820.h1.t1
OG0000149	Np003G152680	Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1
OG0000151	Np003G164170	Aa_G134060.h1.t1
OG0000151	Np005G277020	Aa_G2000.h1.t1
OG0000151	Np007G376880	Aa_G70150.h1.t1
OG0000151	Np003G158280	Aa_G580840.h1.t1
OG0000151	Np002G123910	Aa_G135580.h1.t1
OG0000154	Np002G086500	Aa_G85360.h1.t1, Aa_G162650.h1.t1
OG0000154	Np004G240190, Np007G408850	Aa_G162640.h1.t1, Aa_G280540.h1.t1
OG0000154	Np006G330440	Aa_G40310.h1.t1
OG0000154	Np007G413420	Aa_G403550.h1.t1
OG0000154	Np003G126710	Aa_G85370.h1.t1
OG0000155	Np004G218540	Aa_G438370.h1.t1
OG0000155	Np005G287960	Aa_G58940.h1.t1
OG0000155	Np007G409550	Aa_G5430.h1.t1
OG0000156	Np006G324070	Aa_G16050.h1.t1
OG0000156	Np001G066040	Aa_G978220.h1.t1
OG0000156	Np006G324150	Aa_G16110.h1.t1
OG0000156	Np006G324140	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000158	Np001G070050	Aa_G223250.h1.t1
OG0000158	Np002G080740	Aa_G446770.h1.t1
OG0000158	Np002G081170	Aa_G270230.h1.t1
OG0000161	Np001G008600, Np001G006330, Np001G006400	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1
OG0000161	Np002G086610	Aa_G323510.h1.t1
OG0000162	Np006G363910	Aa_G77230.h1.t1, Aa_G208970.h1.t1, Aa_G208980.h1.t1
OG0000162	Np006G324990	Aa_G175290.h1.t1, Aa_G175310.h1.t1
OG0000165	Np007G400810	Aa_G330590.h1.t1, Aa_G848170.h1.t1, Aa_G30210.h1.t1
OG0000165	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680	Aa_G11930.h1.t1, Aa_G83970.h1.t1, Aa_G86920.h1.t1
