Orthogroup	Noccaea_praecox	Arabidopsis_arenosa
OG0000021	Np005G303890	jg17562
OG0000021	Np004G199140	jg27173
OG0000021	Np007G402490, Np003G147560	jg17386
OG0000021	Np002G120150	jg12206
OG0000023	Np003G180610	jg7514
OG0000023	Np005G284120	jg10205, jg10191
OG0000023	Np005G283870	jg10190
OG0000023	Np005G284070	jg10199
OG0000024	Np002G100170, Np001G029650, Np002G091590, Np007G393480	jg2022
OG0000025	Np003G164310	jg22353
OG0000025	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	jg22247, jg22250
OG0000025	Np003G160480	jg22445
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	jg8748, jg8750, jg23436, jg23431, jg23430, jg23437, jg23433, jg21838, jg4646, jg21837, jg4645
OG0000026	Np003G172690	jg1482, jg6966, jg6980, jg14688, jg1903, jg7349, jg32153, jg20543, jg27936, jg21506, jg1826, jg1637, jg14016, jg1257
OG0000027	Np004G215070	jg31665, jg31668, jg27402, jg18984
OG0000027	Np001G057950, Np001G057940	jg14278, jg15770, jg15695, jg15696, jg15771
OG0000028	Np006G356860	jg32932, jg1778
OG0000029	Np002G073630	jg21060
OG0000029	Np003G172500	jg1946
OG0000029	Np003G172510	jg17949
OG0000030	Np003G173700	jg6977
OG0000030	Np006G330890	jg900, jg26487, jg11586, jg11588, jg2222, jg2223
OG0000031	Np004G244900	jg29724, jg29708, jg29704, jg29712, jg26478, jg29711, jg29722, jg29734, jg29678, jg29676
OG0000031	Np005G318980	jg12744
OG0000033	Np005G284050, Np005G284060	jg10203, jg10197, jg10193
OG0000033	Np005G284130	jg10204
OG0000033	Np005G283960, Np005G284080	jg10186, jg10200, jg10207
OG0000033	Np005G284140	jg10198
OG0000033	Np005G284160	jg10195, jg10202
OG0000034	Np001G040280	jg32731
OG0000035	Np006G356560	jg23606, jg20747, jg20748
OG0000035	Np005G313520	jg18271, jg18309, jg33607, jg12648, jg12649, jg16185, jg16184, jg18469
OG0000036	Np005G260660	jg16618
OG0000036	Np006G350450	jg299, jg1839, jg32415, jg11724, jg17278, jg1046, jg1567
OG0000036	Np006G342170, Np003G136960, Np002G107350, Np007G403810	jg21000, jg17522, jg31083
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	jg20023, jg549
OG0000038	Np007G415720	jg6336
OG0000038	Np003G157800	jg21941, jg22515
OG0000038	Np005G270740, Np005G270650, Np005G270700	jg28841
OG0000038	Np005G318000	jg31052
OG0000039	Np002G110420	jg6819
OG0000040	Np001G009070	jg30787, jg31202, jg31203
OG0000040	Np004G224970, Np004G224940	jg29499, jg25408, jg25347, jg10900, jg11085
OG0000040	Np007G407000	jg738, jg25360
OG0000041	Np006G342650, Np003G171490, Np002G100930, Np006G346660, Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530	jg6878
OG0000042	Np004G191660	jg17939
OG0000042	Np006G336410	jg26952
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	jg1834, jg309, jg32416, jg1035, jg17283, jg1573
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	jg13501, jg20886, jg12140
OG0000045	Np007G389140	jg21055
OG0000046	Np005G314650	jg12463, jg12464
OG0000046	Np005G313240	jg12335, jg12333, jg12337
OG0000046	Np005G292150	jg10780
OG0000047	Np005G282680	jg14038
OG0000048	Np007G421470	jg24239
OG0000048	Np003G145480	jg5635
OG0000048	Np003G145420	jg5646
OG0000048	Np003G145430, Np003G145400, Np003G145550	jg5634, jg5644
OG0000049	Np002G120530	jg28661
OG0000050	Np002G095340	jg7029, jg13871
OG0000050	Np002G095350	jg21178
OG0000050	Np002G099150	jg32622
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	jg29349
OG0000052	Np006G328530, Np006G328520	jg19557
OG0000052	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670	jg497
OG0000052	Np006G328590, Np006G328570, Np006G328580	jg19552, jg19554
OG0000052	Np003G173020	jg19560
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	jg1077, jg28178, jg4817, jg5943, jg25268, jg33384, jg11480, jg32839
OG0000053	Np001G008270, Np001G039230, Np003G166770	jg27640, jg13837
OG0000055	Np001G046730	jg14491
OG0000055	Np002G119410	jg728
OG0000055	Np002G119400	jg1420
OG0000055	Np002G119520, Np002G119220, Np002G119170	jg743, jg744, jg745, jg746, jg747
OG0000056	Np005G282430	jg25787
OG0000057	Np007G419120, Np007G419160, Np005G285180	jg17788
OG0000057	Np007G375320	jg12073, jg27919
OG0000057	Np007G398210, Np010G435080, Np007G401600	jg1195, jg14633, jg25647
OG0000057	Np005G317510, Np005G317540	jg25753
OG0000057	Np006G333600, Np006G333860, Np003G187520	jg25886, jg26868
OG0000057	Np007G376470	jg26785, jg32786
OG0000058	Np001G038390, Np006G352050, Np005G294870	jg1166, jg14086
OG0000058	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510	jg27469, jg29921, jg1167, jg13112, jg18866, jg12231, jg7250, jg7021, jg20411, jg13499, jg11079, jg14182, jg13958, jg21898, jg21900, jg14025, jg21057, jg8024
OG0000062	Np003G166860, Np003G173970, Np003G170000	jg7377
OG0000063	Np006G337020	jg14371
OG0000063	Np005G306870	jg15309
OG0000063	Np003G152310	jg29120, jg22936
OG0000063	Np001G046020	jg14419
OG0000064	Np005G260880	jg8362
OG0000066	Np005G262320	jg27126, jg7203, jg3219, jg3220
OG0000066	Np005G262330	jg4927
OG0000066	Np003G136700	jg13471
OG0000066	Np003G136710	jg1404
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	jg24838, jg24839
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140, Np003G155590	jg12213
OG0000067	Np003G144200	jg4679
OG0000068	Np004G231130, Np004G230610, Np005G282940	jg13724
OG0000068	Np004G225640	jg17311, jg27930, jg12740
OG0000068	Np002G089430	jg32484
OG0000068	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070	jg13873
OG0000071	Np001G008970, Np006G370520, Np003G157740	jg17558
OG0000071	Np003G136370, Np006G335610, Np002G086650	jg28233
OG0000071	Np006G331390, Np001G008190, Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530	jg15329
OG0000071	Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	jg25723
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	jg27454, jg2002, jg1859, jg13895, jg13896, jg17450, jg17336, jg27058, jg17478, jg16476, jg16484, jg29790, jg9963, jg13945, jg11738, jg2091
OG0000074	Np004G229920	jg30930
OG0000074	Np004G229890	jg30938
OG0000074	Np004G230030	jg30934
OG0000074	Np003G180910, Np003G184200	jg17689, jg30932, jg30931
OG0000075	Np003G136640	jg4863, jg4865
OG0000075	Np007G378600	jg29636, jg29549, jg29550, jg33257, jg364, jg17315, jg29545, jg29543, jg12227, jg29834, jg21571
OG0000076	Np002G083960	jg13391, jg13389
OG0000076	Np001G021860	jg13388, jg13373, jg13390
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	jg7662, jg7663, jg933, jg32683, jg24861, jg24794, jg20353, jg26791, jg7664
OG0000077	Np007G386290	jg32692, jg26472, jg32685, jg32682, jg8427
OG0000077	Np005G261710, Np006G360730	jg8424, jg8422
OG0000077	Np005G261720	jg8428
OG0000078	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660	jg13800, jg25795, jg13799, jg25794
OG0000078	Np002G086990, Np002G097240, Np002G092810	jg9173
OG0000079	Np001G064190	jg15929
OG0000079	Np007G389360	jg17321, jg17317, jg17322
OG0000079	Np001G064140	jg15921
OG0000080	Np006G334220	jg12190
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	jg1961, jg32859, jg32843, jg32550, jg32855, jg32866
OG0000080	Np003G179540, Np002G124540	jg32551, jg32841, jg32864, jg32857
OG0000080	Np002G124500, Np002G124510	jg375, jg12023
OG0000080	Np005G318150, Np005G318140	jg18020, jg18016
OG0000081	Np003G145640	jg5657
OG0000083	Np002G090350	jg27544, jg27541
OG0000083	Np007G418940	jg2772, jg16885
OG0000084	Np006G364940	jg17390
OG0000084	Np006G364930	jg17005, jg20640
OG0000084	Np006G365030, Np006G365010, Np006G365440, Np006G366050	jg16995, jg17274, jg17286, jg17001, jg16991
OG0000084	Np006G365060, Np006G365040	jg17289
OG0000084	Np006G364950	jg16989, jg17288
OG0000087	Np001G010980	jg6235
OG0000087	Np006G350150, Np008G428160	jg17972
OG0000087	Np005G287050	jg23223
OG0000087	Np003G139100	jg5068
OG0000087	Np001G039930	jg20749
OG0000087	Np005G287110	jg10485
OG0000087	Np002G077440	jg3235
OG0000088	Np001G038910, Np001G038970	jg17633
OG0000088	Np003G148700, Np003G148740	jg5910
OG0000088	Np001G052870	jg21695
OG0000089	Np003G136030	jg4799
OG0000089	Np007G395030	jg26012, jg33022
OG0000089	Np006G329000	jg19507
OG0000089	Np006G336940	jg18920, jg15311
OG0000090	Np004G235330	jg4483, jg30544, jg16631
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	jg3251
OG0000090	Np007G385680, Np001G065320, Np001G065030	jg8905
OG0000090	Np007G389920	jg29403
OG0000093	Np001G063230	jg15862
OG0000093	Np001G063180	jg15861
OG0000093	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	jg27054, jg27053, jg27051, jg27052
OG0000093	Np005G317970	jg15863
OG0000096	Np002G112160	jg1247
OG0000096	Np001G024770	jg13128
OG0000096	Np002G112010, Np002G112580	jg1310
OG0000096	Np002G112530	jg1311
OG0000096	Np001G038620	jg20644
OG0000096	Np002G092700	jg2240
OG0000096	Np002G112600	jg1249
OG0000097	Np003G184990	jg7810
OG0000097	Np003G185010	jg7819
OG0000097	Np003G171600	jg7820
OG0000097	Np003G185030	jg7813, jg7812, jg7815, jg7814
OG0000098	Np002G116580	jg651, jg658, jg654, jg653, jg650
OG0000099	Np002G123560, Np004G228320	jg459, jg7310
OG0000099	Np004G215640	jg456
OG0000099	Np002G112400	jg543
OG0000099	Np002G123530, Np004G215470, Np007G403720	jg542
OG0000101	Np002G111340	jg476
OG0000101	Np002G122800	jg2046
OG0000101	Np004G206440	jg1001
OG0000101	Np002G123180	jg777, jg27782
OG0000104	Np004G251930	jg29111
OG0000104	Np006G360060	jg17890, jg17887, jg17891, jg17877, jg17884, jg17896
OG0000104	Np006G360100	jg17897
OG0000104	Np004G195160	jg33004
OG0000104	Np007G381330	jg26323
OG0000104	Np004G195150	jg33347
OG0000104	Np006G360090	jg17886, jg17879, jg17889
OG0000104	Np006G360080	jg17885, jg17878
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891
OG0000106	Np007G372640	jg14860
OG0000107	Np007G398440, Np007G418450	jg17559, jg17556
OG0000107	Np007G398420	jg26159, jg26158
OG0000108	Np002G099090, Np002G099030, Np002G099040	jg17593, jg16875
OG0000108	Np001G011650, Np001G011550	jg17595, jg31284, jg16872
OG0000108	Np007G389900	jg27264, jg27221, jg27229, jg27223
OG0000108	Np004G259470	jg2306
OG0000108	Np001G011560	jg11987, jg17594, jg31283, jg16874
OG0000109	Np003G183100, Np004G217760	jg17424
OG0000110	Np001G064490	jg15960
OG0000110	Np001G064470	jg15959
OG0000110	Np001G064510	jg15964
OG0000110	Np001G064520	jg15966
OG0000110	Np001G064450	jg11381
OG0000110	Np001G064540	jg15969
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	jg12398, jg12393, jg12389, jg12394, jg12395
OG0000111	Np005G313680, Np001G006020	jg12396
OG0000111	Np001G006010	jg11228
OG0000111	Np001G058370	jg15428
OG0000112	Np003G184320	jg29450, jg23040, jg16607, jg17599, jg27950, jg23041, jg20712, jg21770
OG0000113	Np007G416190	jg12808
OG0000113	Np002G122980	jg509, jg1379
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	jg1481, jg15996, jg6981, jg14689, jg7083, jg1902
OG0000118	Np005G315460	jg13696, jg13697, jg13695
OG0000118	Np001G044480, Np005G313880	jg15265, jg26895, jg27877, jg3144
OG0000119	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260	jg20878
OG0000119	Np002G102980	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024
OG0000120	Np002G117060, Np002G116940	jg893, jg889
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558
OG0000120	Np003G129250	jg13317, jg4214, jg4213, jg2215, jg14374
OG0000122	Np003G157760	jg32572
OG0000122	Np003G157830	jg22505
OG0000122	Np001G056320	jg22485, jg21685
OG0000122	Np003G157790	jg31888
OG0000122	Np003G158000	jg22487, jg22488
OG0000123	Np004G243230	jg29806
OG0000123	Np004G243210	jg14270
OG0000123	Np005G279480	jg9826
OG0000123	Np003G131130	jg647
OG0000124	Np006G348530	jg20179
OG0000125	Np001G056500	jg15301
OG0000125	Np003G126800	jg24874, jg3993
OG0000125	Np003G151060	jg6123
OG0000125	Np003G152340	jg14378, jg22931
OG0000125	Np006G359820	jg17851
OG0000126	Np003G176980, Np005G260240	jg21202, jg10180, jg32086, jg12955, jg6735, jg10767
OG0000127	Np003G125840	jg3920
OG0000127	Np007G413700	jg11550
OG0000127	Np001G046260, Np007G413710	jg24833
OG0000127	Np002G096200	jg29526, jg29071
OG0000131	Np002G101800	jg16945, jg14091, jg6734, jg10774, jg12947
OG0000131	Np003G174400	jg6733
OG0000132	Np007G378350	jg32193
OG0000132	Np004G192110, Np001G023710	jg27190
OG0000133	Np005G308080, Np003G130350, Np003G153160	jg7039
OG0000136	Np002G086710	jg2128, jg2129, jg2126, jg2127
OG0000136	Np005G312700	jg12281
OG0000136	Np002G095000	jg12259
OG0000137	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930	jg17603
OG0000137	Np007G398190	jg27681
OG0000137	Np005G318010	jg12674
OG0000138	Np002G085260	jg13824
OG0000138	Np006G368130	jg13822
OG0000138	Np001G018700	jg13818
OG0000138	Np002G085240, Np002G085270, Np002G085250	jg13817, jg13821
OG0000139	Np006G345080	jg6519, jg6518, jg27250
OG0000139	Np003G170780, Np004G225070, Np001G033760	jg27251
OG0000139	Np007G401090, Np004G225080, Np008G427690, Np009G431920, Np006G350500, Np002G105800, Np006G350020, Np008G427900, Np002G102560, Np002G103420, Np005G308710, Np006G349710, Np002G100680, Np002G106900, Np002G110150, Np002G103410, Np002G101570, Np005G297220, Np004G224550, Np004G224560	jg6848, jg7487, jg11793
OG0000139	Np001G043360, Np005G294120, Np004G258210, Np002G101620, Np001G031610, Np001G031620, Np002G101150, Np004G223980, Np001G031630, Np002G101140	jg6850
OG0000140	Np003G153340	jg22850
OG0000140	Np003G153440	jg22845
OG0000140	Np003G153920	jg22800, jg21885, jg22801
OG0000140	Np003G153420	jg22798, jg22799
OG0000140	Np003G153430, Np007G424390, Np003G153390	jg22851, jg22847
OG0000142	Np006G360490	jg17936
OG0000145	Np002G108950, Np007G417590	jg2060
OG0000145	Np005G299660	jg17724
OG0000146	Np003G160230	jg22363
OG0000146	Np003G160060, Np003G160140, Np003G160190	jg22365, jg22366
OG0000146	Np003G160200	jg22364
OG0000147	Np007G373950	jg28078
OG0000147	Np005G273990	jg9392
OG0000147	Np003G156060	jg22635
OG0000147	Np002G071170	jg3697
OG0000147	Np001G043050	jg13954
OG0000147	Np007G389960	jg27288
OG0000149	Np001G046040	jg14423
OG0000149	Np001G046110	jg14421
OG0000149	Np003G152700	jg22904
OG0000149	Np001G046030	jg14420
OG0000150	Np001G049320	jg4290
OG0000151	Np003G164170	jg22050
OG0000151	Np007G376880	jg27769
OG0000151	Np003G158280	jg22463
OG0000154	Np002G086500	jg1415
OG0000154	Np004G240190	jg30094
OG0000154	Np007G408850	jg25213
OG0000154	Np007G413420	jg24871
OG0000154	Np003G126710	jg3985
OG0000154	Np003G126700, Np003G127150, Np002G112020	jg3984
OG0000155	Np004G218540	jg9725
OG0000155	Np005G287960	jg10428
OG0000155	Np007G409550	jg25152
OG0000155	Np005G287400, Np007G412670	jg7743
OG0000156	Np001G066790	jg16151
OG0000157	Np006G338300	jg24182
OG0000157	Np002G078620	jg2031, jg2038, jg2030, jg2028, jg7426
OG0000158	Np005G286690, Np005G286640, Np003G129260	jg10511
OG0000158	Np001G048650, Np001G049230, Np001G050690, Np005G295650	jg28264
OG0000158	Np007G406120, Np001G028290, Np001G028380, Np001G028350	jg5270, jg28263, jg16699
OG0000161	Np001G008600	jg21823, jg17685, jg17683, jg17687
OG0000161	Np005G311810	jg1847
OG0000161	Np002G086610	jg1820, jg1821, jg1704
OG0000162	Np001G066230	jg2591
OG0000162	Np002G116280	jg2036
OG0000162	Np006G324990	jg19859
OG0000164	Np005G275210	jg9497, jg31608
OG0000164	Np004G198520	jg1128, jg1129, jg6771, jg6767, jg6769, jg6762, jg6770, jg6761
OG0000165	Np004G232590	jg11573
OG0000166	Np001G026760	jg11859
OG0000166	Np007G371920	jg17798
OG0000166	Np005G320040, Np003G142830	jg10075, jg17325
OG0000166	Np003G159070	jg725, jg4758
OG0000167	Np004G243920, Np002G111260	jg12243, jg10625
OG0000167	Np004G202230	jg10624
OG0000167	Np005G289670	jg12242
OG0000169	Np002G113130	jg1192
OG0000171	Np003G141590	jg5289
OG0000172	Np001G064170	jg16316
OG0000172	Np001G064130	jg15918
OG0000175	Np002G077280	jg3242
OG0000175	Np004G235400	jg30537
OG0000175	Np007G376890	jg8854
OG0000176	Np005G310450, Np005G310750, Np005G310470	jg31636, jg31639
OG0000176	Np006G334320	jg12097
OG0000178	Np006G367500	jg33537
OG0000180	Np006G370740, Np006G370680	jg16351
OG0000181	Np005G296340, Np006G359190, Np001G033000, Np007G384350, Np002G094870, Np004G238980, Np006G363240	jg13723
OG0000183	Np004G227120	jg14745, jg7532, jg14541, jg27683, jg1699
OG0000185	Np005G288320	jg32189, jg13730
OG0000186	Np030G439830, Np030G439990, Np006G348040	jg17305, jg27206, jg754
OG0000186	Np007G388260	jg32822
OG0000186	Np006G361310	jg17588
OG0000186	Np005G292910	jg1403
OG0000186	Np004G219150	jg10477, jg10194
OG0000187	Np005G271570	jg9234, jg9235
OG0000187	Np005G271420	jg9230
OG0000189	Np005G262130	jg8491, jg3298
OG0000189	Np001G019990	jg8611, jg8545, jg13671, jg8547
OG0000190	Np003G183500	jg7704
OG0000190	Np003G183510	jg7703
OG0000190	Np003G183410, Np003G183480	jg7705
OG0000191	Np007G388820, Np003G178870	jg29662
OG0000191	Np006G339030, Np006G337320	jg18960
OG0000191	Np007G391150, Np007G391080	jg25728
OG0000192	Np002G086820, Np007G389770, Np002G076020	jg8064, jg3362
OG0000193	Np007G384080, Np007G384380, Np007G387690	jg26576, jg26577
OG0000193	Np007G380880	jg26297
OG0000193	Np007G381040, Np007G381000	jg26298, jg26296
OG0000195	Np006G361540	jg17567
OG0000195	Np005G312480	jg2098
OG0000196	Np004G214150, Np004G214340, Np003G165450	jg31558, jg31560
OG0000196	Np004G254380	jg28891
OG0000196	Np004G212030	jg31432
OG0000196	Np003G165460	jg31559
OG0000196	Np004G211990	jg31430
OG0000196	Np004G254390	jg28892
OG0000197	Np002G087170	jg28098
OG0000197	Np003G167690	jg12682, jg12608
OG0000200	Np004G217530	jg31833
OG0000200	Np004G254580	jg14818
OG0000201	Np007G379560	jg26418, jg26417
OG0000203	Np007G420280, Np004G195540	jg24346, jg24347
OG0000203	Np007G420850	jg24303
OG0000204	Np005G302460, Np006G366470	jg15213
OG0000204	Np007G381450	jg26333
OG0000205	Np004G252280	jg16530, jg27661, jg27598, jg13088, jg13092, jg13087, jg13090, jg16527, jg27591, jg27660, jg27597, jg16764, jg32764, jg11592, jg11594
OG0000205	Np001G056450, Np004G200620, Np004G227010	jg32768, jg32767, jg32765
OG0000206	Np004G216740	jg33290
OG0000207	Np002G073040	jg2551
OG0000207	Np002G073080	jg3554
OG0000207	Np002G073110, Np002G073100	jg16693, jg30217
OG0000209	Np002G123950	jg416, jg418
OG0000209	Np002G123960, Np002G123970	jg415, jg413
OG0000209	Np002G124020	jg33120
OG0000209	Np002G123940, Np002G091400	jg12794, jg12796, jg12862, jg12797, jg21564
OG0000210	Np001G024460	jg13164
OG0000210	Np006G357820	jg18412, jg18409, jg18408
OG0000213	Np005G312500	jg24982
OG0000213	Np006G368010	jg16737
OG0000214	Np007G375860	jg2493
OG0000214	Np003G186320, Np003G186260	jg8000, jg7249, jg7284, jg7534, jg7536, jg7538, jg7531, jg7506, jg7999, jg8001
OG0000216	Np004G202700, Np005G274080, Np005G314870	jg10317
OG0000216	Np006G361190	jg33448, jg10319, jg10323
OG0000216	Np005G274090	jg10266
OG0000218	Np004G241490	jg29979
OG0000218	Np004G241460	jg29981
OG0000218	Np006G363350, Np003G174250	jg29982
OG0000218	Np005G283350	jg13337
OG0000218	Np001G027320	jg11388
OG0000218	Np001G027310	jg12942
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	jg23294, jg23293
OG0000219	Np001G006200, Np001G008160, Np001G006180	jg22095, jg22096
OG0000220	Np003G158780	jg22418, jg22417, jg22415, jg22413, jg22416
OG0000222	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420	jg11713, jg23119
OG0000222	Np001G021650, Np005G303660, Np001G029320, Np003G141180, Np001G063040, Np006G365120, Np007G404090, Np004G194850, Np004G215680, Np004G233330, Np003G165700, Np005G311760, Np007G390900, Np004G194840, Np005G309420, Np004G212790, Np001G029240, Np006G365130, Np001G027190, Np003G175170, Np006G322380, Np001G023650, Np005G318440, Np007G420490	jg17673
OG0000224	Np002G121630, Np002G121680, Np002G121650, Np002G121690	jg571, jg570
OG0000225	Np004G212520	jg31470, jg31479, jg31471, jg31469
OG0000225	Np004G212510	jg31473, jg31478, jg31472
OG0000225	Np004G212550, Np004G212570, Np004G212500	jg31477
OG0000226	Np001G068820, Np001G002660, Np001G003000	jg23338
OG0000226	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340	jg26094, jg30960, jg31379, jg31377, jg29773
OG0000228	Np004G230940	jg6720, jg6718
OG0000228	Np002G084530	jg2698
OG0000229	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980	jg9443, jg9444, jg5645, jg5642, jg9442
OG0000230	Np002G077370	jg1462
OG0000230	Np002G077290	jg967, jg812
OG0000231	Np003G174440	jg12412
OG0000231	Np004G203320	jg2322, jg11881, jg2248
OG0000232	Np006G352410, Np006G352420	jg24479, jg24480, jg25056, jg27540, jg27543, jg6484, jg6481, jg25050
OG0000234	Np001G058680	jg15448
OG0000234	Np001G058670	jg15447
OG0000234	Np006G333910	jg19118
OG0000234	Np003G140390	jg5170
OG0000236	Np007G382520, Np007G382570	jg26494
OG0000236	Np003G177320	jg17600, jg17601, jg17602, jg17608, jg7281, jg7280
OG0000237	Np006G349720, Np002G102550	jg1321
OG0000240	Np006G347290	jg23298
OG0000240	Np002G104290	jg32293
OG0000242	Np004G242740	jg29882
OG0000242	Np004G242760	jg29879
OG0000244	Np005G286400	jg10370
OG0000244	Np003G183740	jg7735
OG0000247	Np002G120130, Np002G120100, Np002G120120, Np002G120110	jg12066
OG0000248	Np002G112170	jg1267
OG0000248	Np001G048790	jg15619
OG0000249	Np003G177600, Np006G338400	jg18819
OG0000250	Np002G085780	jg2620, jg2621, jg2622
OG0000250	Np002G086000	jg12494, jg12493, jg2603, jg2604
OG0000251	Np002G076230	jg21610
OG0000252	Np004G205500	jg4035
OG0000253	Np003G170230	jg17414
OG0000254	Np007G383010	jg32916, jg16978, jg17665, jg1307, jg26917, jg983, jg985
OG0000254	Np001G046190	jg33080, jg33082, jg7439, jg19336, jg28872, jg16868
OG0000256	Np004G200500, Np004G200520	jg21390, jg21205, jg21204, jg27046
OG0000257	Np007G377760	jg33267, jg24983, jg8499
OG0000258	Np001G022690	jg13318, jg13319
OG0000258	Np003G156210	jg22623
OG0000258	Np001G049130, Np001G022660, Np001G022680	jg13320
OG0000260	Np005G316850	jg4068
OG0000260	Np005G316660	jg14255
OG0000264	Np003G185830	jg7787
