Orthogroup	Noccaea_praecox	Erysimum_linariifolium
OG0000042	Np004G191660	El004G194460, El007G344540, El005G265850
OG0000043	Np008G426930, Np002G102430	El007G350700
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	El006G308910, El006G308940
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	El007G360870
OG0000045	Np006G334530	El005G249570, El003G188840, El005G264730
OG0000045	Np007G389140	El006G320830
OG0000046	Np005G314650	El003G188710
OG0000046	Np005G313240	El003G186930, El003G186960, El003G186970
OG0000046	Np005G292150	El003G168460, El004G213500
OG0000046	Np005G313330	El003G187000, El003G186990
OG0000049	Np004G254290	El003G185390
OG0000050	Np002G094900	El002G124210, El007G359470, El004G226500
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	El007G364450, El002G116290
OG0000052	Np002G116810	El006G286610
OG0000052	Np006G328590, Np006G328570, Np006G328580	El006G286630
OG0000052	Np003G173020	El006G286580
OG0000054	Np005G274000, Np001G042780, Np006G332680	El001G039440
OG0000055	Np001G046730	El001G016330, El001G016310, El001G016300
OG0000055	Np002G119410	El004G198640
OG0000055	Np002G119400	El001G016290, El004G208280
OG0000055	Np002G119520, Np002G119220, Np002G119170	El004G198810
OG0000056	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230	El004G200570
OG0000056	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660	El003G179560, El006G285210, El001G008020
OG0000057	Np007G419120, Np007G419160, Np005G285180	El003G174270, El003G172630, El003G172690
OG0000057	Np007G375320	El003G184060
OG0000058	Np001G038390, Np006G352050, Np005G294870	El005G263190, El006G310300, El005G258260
OG0000058	Np003G189490, Np008G428090	El007G338080, El003G151650
OG0000058	Np005G264870, Np004G197020, Np006G352040, Np001G038380, Np001G027510	El005G258270, El006G310940, El002G122710, El003G177250, El002G135580, El005G263200, El002G136300, El005G276970, El001G065670, El001G046450, El001G034170, El005G262760
OG0000058	Np006G359650	El007G341960
OG0000062	Np003G173970, Np003G170000	El003G186180, El004G203440, El004G203430
OG0000062	Np004G215200, Np004G229630	El001G054390
OG0000063	Np001G045620	El002G090290
OG0000063	Np006G337020	El006G292790
OG0000064	Np005G260880	El003G142390
OG0000064	Np001G036990	El004G232110
OG0000065	Np008G425980, Np003G168940	El002G116640, El002G116630
OG0000065	Np008G428560, Np008G428010	El003G166430, El007G349160
OG0000066	Np003G137390	El003G143700
OG0000066	Np005G262320	El001G070920, El003G143690, El004G228220, El004G228230, El002G122920
OG0000066	Np003G136700	El001G071590, El001G071600
OG0000066	Np004G250000, Np004G250510, Np003G136710	El007G324780
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	El001G050000
OG0000067	Np003G134720, Np001G055610	El005G274450, El007G348170
OG0000067	Np003G144200	El001G059350
OG0000068	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070	El004G214260
OG0000070	Np002G100330	El002G125720
OG0000070	Np002G097070, Np006G358640, Np002G099070	El007G351510
OG0000070	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960	El002G129450
OG0000071	Np003G163260, Np003G136370, Np006G335610, Np002G086650	El003G186380
OG0000071	Np006G355640	El004G223960, El004G222550
OG0000071	Np001G013290	El005G246820
OG0000071	Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	El003G186390, El001G051200, El006G305000
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	El005G263040, El005G262970, El004G210970, El005G264060, El003G180720
OG0000074	Np004G229920	El002G108920
OG0000074	Np004G229890	El002G109050
OG0000074	Np004G230030	El002G109020, El002G108990
OG0000074	Np003G180910, Np003G184200	El002G108960, El002G108950
OG0000076	Np001G021860	El001G041500, El001G041490
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	El007G346640, El004G229240, El002G122000
OG0000077	Np007G386290	El003G143080
OG0000077	Np005G261710, Np006G360730	El003G143050, El006G313810, El003G143040
OG0000077	Np005G261720	El003G143090
OG0000078	Np002G086990, Np002G097240, Np002G092810	El008G368270, El008G368260
OG0000079	Np007G422670	El004G207470
OG0000079	Np007G389360	El001G030540, El007G357730
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	El002G131320, El002G131270
OG0000080	Np002G124500, Np002G124510	El004G194020, El004G194360
OG0000080	Np005G278660	El003G157200
OG0000080	Np005G318150, Np005G318140	El007G345310
OG0000080	Np004G240560, Np006G328080	El001G043770, El001G041340
OG0000081	Np001G010770	El004G231800, El001G044440
OG0000081	Np004G196080, Np004G196070	El006G304570
OG0000081	Np003G145640	El001G062500
OG0000082	Np005G274330, Np001G045200	El004G212430
OG0000083	Np002G090350	El005G265380
OG0000083	Np002G083710	El004G223260
OG0000083	Np007G418940	El006G317470, El006G317450, El006G313440
OG0000084	Np006G364940	El006G315720
OG0000084	Np006G364930	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180
OG0000084	Np006G365060, Np006G365040	El006G316420
OG0000084	Np006G364950	El006G316360, El006G316460, El006G316430, El006G316470, El006G316370, El006G316400
OG0000087	Np001G049810	El001G018640
OG0000087	Np001G010980	El001G056180
OG0000087	Np006G350150, Np008G428160	El006G303330
OG0000087	Np005G287050	El007G327940
OG0000087	Np003G139100	El001G069260
OG0000087	Np001G039930	El007G360740
OG0000087	Np005G287110	El003G165170
OG0000087	Np002G077440	El004G228430
OG0000088	Np003G148700, Np003G148740	El001G059590
OG0000088	Np001G052870	El001G059580
OG0000089	Np003G136030	El001G072250
OG0000089	Np007G395030	El002G133200
OG0000089	Np006G329000	El006G287080
OG0000089	Np007G409340	El005G247910
OG0000089	Np006G336940	El001G024400
OG0000090	Np004G235330	El002G104490, El003G181590
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	El004G228750
OG0000090	Np007G385680, Np001G065320, Np001G065030	El003G147970
OG0000090	Np007G389920	El002G093200
OG0000091	Np003G165480	El005G262380, El005G262370, El005G262320
OG0000093	Np001G005730	El005G270280
OG0000093	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230
OG0000096	Np002G112160	El004G205300
OG0000096	Np001G024770	El001G038300, El001G038380, El001G038370
OG0000096	Np002G112580	El004G205880, El004G205870, El004G205260, El004G205840, El007G356380
OG0000096	Np001G038620	El007G361830
OG0000096	Np001G038140	El007G362690
OG0000096	Np001G038130	El007G362760
OG0000097	Np003G184990	El001G004470
OG0000097	Np003G171600	El001G004380
OG0000097	Np003G185030	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000099	Np004G215640	El004G194890, El004G195030, El004G194980
OG0000099	Np007G403720	El004G194840
OG0000100	Np004G233090, Np003G158140	El006G312970
OG0000100	Np002G083340	El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510
OG0000100	Np006G360420, Np005G260470	El001G030500
OG0000101	Np002G111340	El007G349760
OG0000101	Np002G122780	El004G195800
OG0000101	Np002G123360	El007G356350
OG0000101	Np004G206440	El004G201590
OG0000102	Np006G343550, Np005G313300, Np007G377750	El006G302470
OG0000104	Np004G251930	El002G090170
OG0000104	Np006G360100	El006G304210
OG0000104	Np004G195150	El002G136360
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	El005G259530
OG0000106	Np007G372640	El001G010720, El005G256190, El005G255570
OG0000107	Np007G398440, Np007G418450	El006G308310
OG0000107	Np007G398420	El005G257790, El005G257800, El005G257780, El005G257770
OG0000108	Np001G011650, Np001G011550	El007G364310, El007G323300, El001G009690, El006G281400
OG0000108	Np007G389900	El006G309530
OG0000108	Np004G259470	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	Np005G297110, Np007G411390, Np006G354610, Np002G087810, Np004G196100, Np003G179250, Np007G388320	El005G269730
OG0000109	Np003G183100, Np004G217760	El001G049940, El008G368450, El002G127890, El006G320930, El003G188420, El002G122420
OG0000110	Np001G064490	El001G030790
OG0000110	Np001G064470	El001G030780
OG0000110	Np001G064450	El001G030750
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	El003G187720, El001G009620, El003G183560
OG0000111	Np005G313680, Np001G006020	El003G187730
OG0000111	Np001G058370	El001G025790
OG0000112	Np003G184320	El007G329910, El007G342990
OG0000113	Np002G122980	El004G207200, El004G207120, El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300, El004G195220, El004G195250, El004G195400, El004G195200, El004G195310
OG0000113	Np002G089320	El050G375440, El007G365010, El007G356050
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	El005G266280, El003G181290, El002G126330, El004G208040, El003G160430, El001G048920, El007G350210, El004G213450, El001G046840, El004G209170, El001G081080, El007G335700, El004G218070
OG0000117	Np007G391540	El005G253090
OG0000117	Np004G191700	El001G016830
OG0000118	Np005G315460	El001G001700, El001G001530
OG0000118	Np001G044480, Np005G313880	El006G302550, El006G302540, El007G358680, El006G302560, El001G023930, El002G084120
OG0000119	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260	El005G265760, El001G013130, El007G355930
OG0000119	Np002G102980	El002G124220
OG0000120	Np002G117060, Np002G116940	El004G200260
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	El007G345250, El007G346140, El006G307860
OG0000120	Np003G129250	El001G077920
OG0000123	Np003G131130	El001G013920
OG0000124	Np006G348530	El001G050120, El001G069630
OG0000125	Np001G056500	El001G024280
OG0000125	Np006G337140	El006G292880
OG0000125	Np003G126800	El005G244660, El001G080460
OG0000125	Np003G151060	El001G057350
OG0000125	Np003G152340	El001G015040, El007G331030
OG0000125	Np006G359820	El006G304720
OG0000127	Np007G413700, Np001G046260, Np007G413710, Np002G096200	El001G001730
OG0000131	Np002G101800	El007G346920
OG0000131	Np003G174400	El006G311530
OG0000133	Np005G308080, Np003G130350, Np003G153160	El005G265050
OG0000133	Np002G099680, Np008G425630	El001G044680
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	El007G346110
OG0000136	Np002G086710	El004G215950, El004G215940
OG0000136	Np005G312700	El004G209050, El004G209110
OG0000136	Np005G302230	El003G186400, El003G186460
OG0000136	Np005G312640	El003G186490, El003G186500
OG0000136	Np002G095000	El007G355150, El007G356600
OG0000137	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930	El002G124820, El003G184880
OG0000137	Np003G131090, Np002G110900	El007G356470
OG0000137	Np005G318010	El003G191580
OG0000138	Np002G085260	El006G314590
OG0000138	Np001G018700	El001G045840
OG0000138	Np002G085240, Np002G085270, Np002G085250	El001G045810, El001G045830
OG0000139	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840	El007G349680, El003G179680
OG0000140	Np003G153340	El007G331970
OG0000140	Np003G153440	El007G332020
OG0000140	Np003G153920	El007G332560, El007G332570, El007G332540
OG0000140	Np003G153420	El007G332580, El007G332590
OG0000140	Np003G153430, Np007G424390, Np003G153390	El007G332010, El007G332000
OG0000142	Np006G360490	El006G303760, El006G303820
OG0000145	Np002G108950, Np007G417590	El001G043740
OG0000145	Np005G299660	El001G032500
OG0000146	Np003G160050	El007G336800
OG0000146	Np003G160040	El007G336790
OG0000146	Np003G160230	El007G336850
OG0000146	Np003G160060, Np003G160140, Np003G160190	El007G336810
OG0000146	Np003G160200	El007G336820
OG0000146	Np003G160640	El007G336910
OG0000146	Np003G159660	El007G336890
OG0000146	Np003G160220	El002G123110
OG0000147	Np007G373950	El005G277400
OG0000147	Np005G273990	El003G152940
OG0000147	Np003G156060	El007G334350
OG0000147	Np002G071170	El004G233720
OG0000147	Np001G043050	El001G047010
OG0000147	Np007G389960	El005G271430
OG0000149	Np001G046040	El001G015560
OG0000150	Np003G156160, Np003G156150, Np003G183630	El006G312860
OG0000151	Np003G164170	El007G339860
OG0000151	Np005G277020	El003G156070
OG0000151	Np007G376880	El005G273960
OG0000151	Np003G158280	El007G336000
OG0000154	Np007G413420	El005G244620
OG0000154	Np003G126700, Np003G127150, Np002G112020	El004G209500
OG0000155	Np005G287960	El003G164690
OG0000155	Np007G409550	El005G247790
OG0000155	Np005G287400, Np007G412670	El003G164700
OG0000156	Np001G066790	El001G032910
OG0000156	Np006G324140	El002G121590, El006G282830
OG0000157	Np007G422190, Np007G422180	El005G238850
OG0000158	Np007G406120, Np001G028290, Np001G028380, Np001G028350	El003G176020, El005G265720, El005G267190
OG0000158	Np002G081170	El006G298850
OG0000160	Np006G338270, Np003G167760, Np003G172190, Np002G094170	El002G123370, El007G360530
OG0000160	Np002G095190	El007G347580, El004G202080, El002G123360, El007G360520
OG0000162	Np001G066230	El005G268830
OG0000162	Np002G116280	El007G330500
OG0000162	Np006G324990	El006G283560, El006G283550
OG0000164	Np005G275210	El003G154310, El003G154300
OG0000164	Np004G198520	El003G186050, El001G048320
OG0000165	Np007G400810	El006G283540, El001G061740
OG0000165	Np004G213650, Np004G227560, Np007G395840, Np002G092480, Np003G181120, Np003G172930, Np006G367620	El003G187390
OG0000165	Np004G232590	El006G319440
OG0000166	Np001G026760	El003G188790, El003G188850
OG0000166	Np005G278550	El001G012590, El002G131550
OG0000166	Np003G159070	El003G170640, El003G170650, El006G307980, El001G032810, El001G080610, El004G229180
OG0000167	Np005G289610	El003G166330
OG0000167	Np004G243920, Np002G111260	El003G186190, El007G348790
OG0000167	Np004G202230	El003G166350
OG0000167	Np005G289670	El003G186120
OG0000168	Np003G173770	El004G196900
OG0000168	Np007G418090	El002G109450
OG0000168	Np005G293780	El006G282840
OG0000168	Np007G402480	El006G293350, El004G205010
OG0000171	Np006G321770	El006G280730
OG0000171	Np001G068570	El002G093670
OG0000171	Np004G248080	El004G201030
OG0000171	Np003G141590	El001G066810
OG0000172	Np001G064170	El001G034720
OG0000174	Np004G217810	El005G261670
OG0000174	Np009G430530, Np002G103530, Np004G220900, Np010G432780	El003G181040, El001G047190, El008G371470, El007G350780, El003G181660
OG0000175	Np002G077280	El004G228610
OG0000175	Np004G235400	El002G104420
OG0000175	Np005G267520	El003G146230
OG0000176	Np004G231820	El005G259390
OG0000177	Np006G349030, Np005G303140	El006G311500
OG0000178	Np002G123320, Np001G009130	El004G208000
OG0000178	Np004G243400, Np001G020660	El007G330330
OG0000180	Np006G370740, Np006G370680	El004G196870, El004G196830, El007G342850
OG0000181	Np005G296340, Np006G359190, Np001G033000, Np007G384350, Np002G094870, Np004G238980, Np006G363240	El004G221180, El006G310720, El001G037070, El007G362960, El001G081130, El003G164550, El006G294400, El001G016930, El002G127660, El007G351590, El002G119200, El007G343640, El003G185610, El007G324810
OG0000183	Np004G227120	El002G109930, El002G097230, El003G174400, El002G139010, El002G135320
OG0000185	Np005G288320	El007G338660, El001G004120, El001G048970
OG0000187	Np005G271570	El003G151270
OG0000187	Np005G271420	El003G151220
OG0000189	Np005G262130	El004G229250
OG0000189	Np001G019990	El003G144190, El001G061400, El001G061930, El001G047730, El003G144180
OG0000190	Np003G183500	El001G005520
OG0000190	Np003G183510	El001G005530
OG0000190	Np003G183520	El001G005460
OG0000190	Np003G183410, Np003G183480	El001G005510
OG0000191	Np005G291410	El005G268370
OG0000192	Np002G086820, Np007G389770, Np002G076020	El001G002000, El002G105660
OG0000193	Np007G384080, Np007G384380, Np007G387690	El006G309730
OG0000193	Np007G380880	El005G259130
OG0000193	Np007G381040, Np007G381000	El002G132160, El002G132130, El005G259240
OG0000195	Np006G361540	El006G308260
OG0000195	Np005G312480	El003G186220
OG0000196	Np004G212030	El002G115040
OG0000196	Np003G165460	El002G116380
OG0000196	Np004G211990	El002G115030
OG0000197	Np002G087170	El005G275730, El005G275770, El005G276170
OG0000197	Np003G167690	El003G184300, El002G120020, El003G191670
OG0000200	Np004G217530	El002G119250
OG0000200	Np004G254580	El004G202190
OG0000201	Np007G379560	El005G260710
OG0000203	Np007G420280, Np004G195540	El005G239360, El005G239320, El005G239280, El007G349670
OG0000203	Np007G420850	El005G238860
OG0000204	Np007G381450	El005G259630
OG0000205	Np004G252280	El005G273080, El005G273070, El006G312030, El003G178380, El003G178560, El003G178400, El003G178460
OG0000205	Np001G056450, Np004G200620, Np004G227010	El002G129620, El002G129730, El002G129760, El002G129780, El002G129740, El002G129710, El002G129660, El002G129670, El002G129810
OG0000205	Np004G227020, Np004G200770	El002G129530, El002G129560, El002G129650, El002G129890, El002G129930, El002G129520, El002G129550, El002G129510
OG0000207	Np002G073110, Np002G073100	El002G100990
OG0000209	Np002G123950	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310
OG0000209	Np002G123960, Np002G123970	El004G194580
OG0000209	Np002G123940, Np002G091400	El003G193190, El007G345850, El007G345610, El007G345740, El007G345570
OG0000210	Np001G024460	El001G038720
OG0000210	Np006G357820	El006G298860
OG0000210	Np006G357760	El006G298840
OG0000213	Np005G312500	El005G245790
OG0000213	Np006G368000	El006G319110
OG0000214	Np007G375860	El001G033600
OG0000214	Np003G186320, Np003G186260	El001G009830, El001G007470, El006G314950, El003G174420
OG0000216	Np004G202700, Np005G274080, Np005G314870	El003G163460, El003G163490
OG0000218	Np004G241490	El002G099000
OG0000218	Np004G241460	El002G099030, El002G099010
OG0000218	Np006G363350, Np003G174250	El002G099020
OG0000218	Np005G283350	El001G040840, El001G040850
OG0000218	Np001G027310	El001G036390
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	El007G327350
OG0000219	Np001G006200, Np001G008160, Np001G006180	El007G339360
OG0000220	Np003G158780	El004G208200
OG0000221	Np007G412340	El001G033300
OG0000222	Np001G021650, Np005G303660, Np001G029320, Np003G141180, Np001G063040, Np006G365120, Np007G404090, Np004G194850, Np004G215680, Np004G233330, Np003G165700, Np005G311760, Np007G390900, Np004G194840, Np005G309420, Np004G212790, Np001G029240, Np006G365130, Np001G027190, Np003G175170, Np006G322380, Np001G023650, Np005G318440, Np007G420490	El005G268220
OG0000224	Np002G121630, Np002G121680, Np002G121650, Np002G121690	El004G196560, El004G196620, El004G196600
OG0000225	Np004G212520	El002G115460, El002G115540, El002G115490, El002G115450
OG0000225	Np004G212510	El002G115470, El002G115510
OG0000225	Np004G212610	El002G115500
OG0000226	Np001G068820, Np001G002660, Np001G003000	El001G017980, El001G017970, El007G334490, El007G334480, El007G337470
OG0000226	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340	El005G257020, El003G167740, El003G167670, El003G167790, El002G110920, El005G258620, El005G258970, El005G258600
OG0000228	Np004G230940	El001G048740, El001G048760
OG0000228	Np004G230880	El002G108430
OG0000228	Np002G084530	El004G222650, El004G222500
OG0000229	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980	El003G153420
OG0000229	Np007G377500, Np007G377590, Np006G330770	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050
OG0000230	Np002G077290	El004G228600, El004G228560
OG0000231	Np003G174440	El003G188200
OG0000232	Np006G352410, Np006G352420	El002G128560, El005G261940, El005G261950, El005G261880, El005G261890, El005G272620
OG0000234	Np001G058680	El001G025990
OG0000234	Np001G058670	El001G025980
OG0000234	Np006G333910	El006G290620
OG0000234	Np003G140390	El001G068080
OG0000236	Np007G382520, Np007G382570	El005G261550
OG0000237	Np007G404060, Np011G435600, Np006G353300, Np009G431940, Np002G099080, Np003G175580, Np002G097080, Np006G342880, Np006G359350, Np008G429030, Np007G401030, Np005G294080, Np004G224840, Np005G294060, Np007G399830, Np003G170910	El002G125730, El006G311120
OG0000242	Np004G242740	El002G097960
OG0000242	Np004G242760	El002G097940
OG0000244	Np005G286400	El003G163990
OG0000244	Np003G183740	El001G005160
OG0000248	Np002G112170	El004G205450
OG0000248	Np005G313980, Np005G313900	El003G188180
OG0000248	Np001G048790	El001G027800
OG0000249	Np003G177600, Np006G338400	El001G010190, El001G010200
OG0000250	Np002G085780	El004G221620, El004G221570
OG0000250	Np002G086000	El003G189050
OG0000252	Np003G179240	El002G140500
OG0000253	Np003G170230	El005G262180
OG0000254	Np007G383010	El004G205790, El004G205810, El004G205800, El004G205770, El005G255250
OG0000254	Np001G046190	El002G133750, El002G133740, El002G133770, El002G133780, El006G290360, El006G289630, El001G046370, El004G220180, El001G033560, El004G219930, El006G289430
OG0000256	Np004G200500, Np004G200520	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510, El007G348440, El007G348630, El007G348410, El007G348460
OG0000257	Np007G377760	El005G269290, El004G209770, El003G178210, El003G177270, El004G233260, El003G184780, El003G190500, El006G318270, El001G009800
OG0000258	Np001G022690	El001G040630, El001G040650
OG0000258	Np003G156210	El007G334450
OG0000258	Np001G022720	El001G040600, El004G213560
OG0000258	Np001G049130, Np001G022660, Np001G022680	El001G040670
OG0000260	Np005G316850	El001G008590
