Orthogroup	Noccaea_praecox	Aethionema_saxatile
OG0000056	Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120	As001G013030, As001G006540, As004G092960, As003G066320
OG0000059	Np008G426920, Np008G426800	As006G146480
OG0000063	Np006G337020	As006G129480, As005G114650
OG0000063	Np003G152670, Np004G251810	As010G224620
OG0000065	Np008G425980, Np003G168940	As012G279540, As012G279660
OG0000066	Np003G137390	As010G237910
OG0000066	Np005G262320	As002G052230, As003G074640
OG0000066	Np002G077780	As003G074650
OG0000066	Np001G003150, Np003G136700	As002G052910
OG0000066	Np004G250000, Np004G250510, Np003G136710	As005G118450
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140	As011G256020
OG0000070	Np002G100330	As006G149230, As011G259300
OG0000070	Np002G099060	As004G090980, As011G257970
OG0000078	Np002G086990, Np002G097240, Np002G092810	As004G095030
OG0000079	Np001G064190, Np007G422670, Np007G389360, Np001G064220, Np001G064140	As012G285110
OG0000082	Np005G299120, Np006G332300	As009G206420
OG0000082	Np005G302180	As011G260840
OG0000083	Np002G090350, Np006G365410, Np002G083710, Np002G083730, Np007G418940	As006G138550
OG0000087	Np001G010980	As010G222260
OG0000087	Np006G350150, Np008G428160	As006G128780
OG0000087	Np001G007020	As010G224130
OG0000087	Np003G139100	As002G051000
OG0000087	Np001G039930	As004G086530
OG0000087	Np005G287110	As003G058850
OG0000087	Np002G077440	As010G237710
OG0000088	Np001G038910, Np001G038970	As010G225400, As010G225450, As010G225490, As010G225520, As010G223920
OG0000089	Np003G136030	As002G053510
OG0000089	Np007G395030	As011G250900
OG0000089	Np001G056580	As006G146590
OG0000089	Np006G336940	As012G277570
OG0000089	Np001G046210, Np003G153120	As010G224530, As005G115200
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	As003G065330
OG0000090	Np007G385680, Np001G065320, Np001G065030, Np007G389920	As012G273080
OG0000093	Np001G063230, Np001G005730, Np001G063180, Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	As012G284680, As012G284700, As012G284660
OG0000096	Np001G038620	As004G087370, As004G087300, As004G087270, As004G087380, As004G087360
OG0000097	Np003G184970, Np003G184990	As004G086430, As004G086420, As004G086450, As004G086440
OG0000102	Np006G343540	As010G228120
OG0000102	Np006G343550, Np005G313300, Np007G377750	As002G042100
OG0000104	Np006G360060	As006G129210
OG0000104	Np004G195150, Np004G195140	As012G271190, As012G271200
OG0000104	Np006G360090, Np006G360080	As006G129190
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330, Np007G372640, Np007G394220	As002G041170, As002G041390, As002G041440
OG0000107	Np007G380680	As011G252340
OG0000108	Np002G099090, Np002G099030, Np002G099040, Np001G012770, Np001G011650, Np001G011550, Np007G379350, Np007G389900, Np004G259470, Np005G305310, Np001G011560	As007G178740, As007G178690, As007G178710, As007G178650, As007G179450, As007G178680, As007G178630, As007G178700, As007G178760, As007G178720, As006G126350
OG0000111	Np001G006010	As002G048150
OG0000112	Np003G184320	As011G262130, As011G262140, As009G217680, As009G217690
OG0000114	Np003G137830	As006G137050, As006G137080
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	As011G258760, As005G110110, As002G038220, As005G111020, As012G280150, As012G276960, As008G190300, As008G190470, As008G191770, As004G091900, As005G109310, As010G228680, As010G228670, As010G228700, As011G260000, As007G165280, As007G163410
OG0000118	Np005G315460	As006G122720, As006G121860, As006G121720, As006G121830, As006G121700, As008G188770
OG0000122	Np001G056320	As002G036520
OG0000123	Np003G131420	As008G183790, As008G183770
OG0000123	Np004G243210	As008G183730, As008G183740
OG0000123	Np005G279480	As008G183750
OG0000123	Np003G131130	As008G183720
OG0000125	Np006G337140	As012G277440
OG0000125	Np003G126800	As005G107620
OG0000125	Np003G151060	As005G113770
OG0000125	Np003G152340	As005G114700, As010G224880
OG0000125	Np001G045730	As010G224830
OG0000125	Np006G359820	As006G129500
OG0000127	Np002G096200	As008G186430, As008G186390, As008G185640
OG0000133	Np002G099680, Np008G425630	As007G167120, As007G166850, As004G092840, As011G261830
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440
OG0000136	Np002G086710	As001G028730
OG0000136	Np005G312700	As005G116580, As005G116570
OG0000138	Np002G085260	As010G224060
OG0000138	Np002G085290, Np002G085240, Np002G085270, Np002G085250	As001G027950, As001G027940, As007G161530
OG0000139	Np003G170780, Np004G225070, Np001G033760, Np002G105790	As001G010560
OG0000139	Np006G357120, Np005G298550	As006G149220, As004G090290
OG0000140	Np003G153340	As005G115230
OG0000140	Np006G370470, Np006G370770, Np003G153440, Np003G153920, Np003G153420, Np006G362070, Np003G153430, Np007G424390, Np003G153390	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370
OG0000145	Np005G299660	As003G069750
OG0000146	Np003G160230	As002G047180
OG0000146	Np003G160060, Np003G160140, Np003G160190, Np003G160200, Np003G159670	As002G047190
OG0000147	Np007G373950	As011G265720
OG0000147	Np005G273990	As001G002190
OG0000147	Np003G156060	As002G049060
OG0000147	Np002G071170	As010G243490
OG0000147	Np001G043050	As010G227330
OG0000147	Np007G389960	As011G259420
OG0000149	Np001G046040	As010G224590
OG0000149	Np003G152730, Np003G152750, Np003G152700, Np003G152680, Np001G046030	As010G224610
OG0000150	Np001G049320	As010G225180, As010G225220, As010G225210
OG0000151	Np005G277020	As007G166070
OG0000151	Np007G376880	As011G263600
OG0000151	Np003G158280	As002G047900
OG0000151	Np002G123910	As001G030700
OG0000154	Np004G240190	As007G152520
OG0000154	Np007G408850	As009G210670
OG0000154	Np007G413420	As002G034300
OG0000154	Np003G126710	As005G107550
OG0000155	Np004G218540, Np005G287960	As003G059350
OG0000156	Np001G066040, Np001G066790	As012G287040, As012G287050
OG0000161	Np001G008600, Np001G006330, Np001G006400, Np005G311810	As001G013550, As001G029600, As001G029610
OG0000162	Np006G324990	As005G102210
OG0000164	Np005G275210	As011G264140, As011G262780
OG0000166	Np001G026760	As011G260470, As002G040840
OG0000166	Np005G320040, Np003G142830	As010G228020
OG0000167	Np005G289630, Np005G289610	As003G057890
OG0000168	Np007G402480	As010G230090
OG0000171	Np006G321770, Np001G068570	As005G099780
OG0000171	Np002G116080, Np004G248080	As001G020870
OG0000171	Np003G141590	As009G200410
OG0000175	Np004G235400	As007G156270
OG0000184	Np006G360300, Np002G106510, Np011G435860, Np005G276430	As004G089570
OG0000187	Np005G271570, Np005G271520	As001G003940
OG0000187	Np005G271420	As001G003960
OG0000190	Np003G183360, Np003G183500, Np003G183510, Np003G183520, Np003G183410, Np003G183480	As004G085680
OG0000191	Np007G391150, Np007G391080	As007G152760
OG0000192	Np002G086820, Np007G389770, Np002G076020	As007G157190
OG0000195	Np001G043630	As005G112850
OG0000195	Np005G312480	As001G028840
OG0000200	Np004G254580	As008G194290
OG0000203	Np007G420850	As006G136770
OG0000204	Np007G383490	As011G254650
OG0000206	Np004G216740	As001G006580
OG0000207	Np002G073040, Np002G073080, Np002G073110, Np002G073100	As003G061070
OG0000208	Np001G040580	As003G075200, As003G075180, As003G075210, As003G060140
OG0000213	Np006G368010, Np006G368000	As002G038840
OG0000215	Np003G161640	As011G258310
OG0000218	Np004G241490, Np004G241460, Np006G363350, Np003G174250, Np005G283350, Np001G027320, Np001G027310	As001G022650
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	As003G064990
OG0000224	Np002G074890, Np002G074880, Np002G074860	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880
OG0000224	Np002G096650, Np002G121630, Np002G121680, Np002G121650, Np002G121690	As001G031540
OG0000225	Np004G212520, Np004G212510	As003G069680, As003G070050
OG0000225	Np004G212610	As003G070030
OG0000228	Np004G230940	As007G159250
OG0000228	Np004G230880	As010G233780, As010G233750
OG0000228	Np002G084540, Np002G084530	As010G233770, As011G262150, As010G233790, As010G233800
OG0000231	Np003G174440	As004G077900
OG0000231	Np004G203320	As001G028220
OG0000232	Np006G352410, Np006G352420	As002G036540, As006G139020
OG0000234	Np001G058680	As012G281460
OG0000234	Np001G058670, Np006G333910	As006G143800
OG0000234	Np003G140390	As009G210340
OG0000237	Np007G404060, Np011G435600, Np006G353300, Np009G431940, Np002G099080, Np003G175580, Np002G097080, Np006G342880, Np006G359350, Np008G429030, Np007G401030, Np005G294080, Np004G224840, Np005G294060, Np007G399830, Np003G170910, Np007G400600, Np006G349720, Np002G102550	As011G257810
OG0000242	Np004G242740, Np004G242760	As008G183340, As008G183330
OG0000244	Np005G286400	As003G059930
OG0000244	Np003G183740	As004G085860, As004G085850
OG0000248	Np002G112170	As001G019970, As001G019960, As001G019950, As001G019930, As001G019460, As001G019420
OG0000249	Np003G177600, Np006G338400	As006G145330, As008G193990, As006G145350, As006G145320
OG0000256	Np003G183110	As006G142420
OG0000257	Np007G377760	As002G035710, As012G268510
OG0000258	Np003G156210	As002G048970
OG0000259	Np006G352720, Np001G046070, Np003G171180, Np007G395670, Np002G108230, Np001G034910, Np001G020540, Np001G046060	As011G261730
OG0000264	Np003G185830	As004G086270, As010G229170
OG0000268	Np001G026200	As001G023230
OG0000268	Np003G125800	As005G106920
OG0000268	Np001G057220	As012G278370
OG0000270	Np005G260870, Np005G265330	As003G075960
OG0000270	Np007G377200	As001G014420
OG0000270	Np004G235580	As010G237880, As007G156110
OG0000271	Np007G395360	As002G034810, As005G108140
OG0000273	Np005G262870	As007G156970
OG0000274	Np003G152640	As005G114920
OG0000276	Np005G308640	As009G205840, As009G205860, As003G058460, As001G005010, As004G093920
OG0000276	Np005G309120	As011G256110
OG0000276	Np001G039310	As007G163350, As007G163430
OG0000276	Np005G288560	As003G058440, As003G058430
OG0000277	Np005G302420	As004G096720
OG0000279	Np004G200390	As007G165600
OG0000282	Np003G133510, Np003G133520	As002G055220
OG0000283	Np001G041370	As006G125110
OG0000283	Np001G041380, Np001G041420, Np001G041390, Np001G041410	As006G125160, As006G125170, As006G125120, As006G125130
OG0000284	Np001G014190	As006G139300
OG0000284	Np007G375910, Np007G417960	As006G139290
OG0000293	Np002G120030	As010G230080, As008G189890, As003G062500, As011G259530
OG0000293	Np004G190010, Np002G085880, Np002G076910, Np005G279570, Np005G316960, Np005G306070, Np006G342490, Np001G016080, Np001G018530, Np004G229290, Np002G120040, Np002G091530, Np004G249640, Np001G044040, Np002G109460, Np006G325310, Np005G313800, Np002G083290	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	Np007G392540	As011G249490
OG0000294	Np006G338230	As006G145420
OG0000294	Np003G187470	As006G122700
OG0000297	Np004G201930	As008G198730
OG0000297	Np003G151840, Np007G397060	As005G114280
OG0000299	Np003G129930, Np002G107890	As010G241870, As010G241880
OG0000299	Np006G367710, Np004G208320	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	Np004G190450	As012G267900
OG0000300	Np007G389100	As008G194750
OG0000303	Np002G108940, Np005G299670	As003G069740
OG0000308	Np004G238420, Np003G180510, Np005G316710	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	Np003G153250, Np003G152770	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	Np003G143670	As009G202530
OG0000311	Np004G199430	As012G273730
OG0000311	Np007G393150	As011G249880
OG0000311	Np005G312280	As004G077290
OG0000311	Np002G095870	As001G029000
OG0000313	Np005G309150	As007G163450, As007G163440, As003G064930
OG0000314	Np004G255460	As008G195840
OG0000314	Np006G357070, Np004G255440	As006G125760
OG0000315	Np006G328650	As006G137990, As006G137760
OG0000316	Np002G115140, Np006G331480, Np006G331350, Np006G331360, Np006G358410, Np004G208610	As008G187440, As008G187910
OG0000319	Np003G151880, Np005G304320, Np004G196850, Np005G304300	As006G129730, As005G114310, As008G191530
OG0000321	Np004G208960, Np005G311650, Np005G311700	As001G010170
OG0000321	Np005G311720	As010G230550
OG0000322	Np002G073460	As009G214030
OG0000322	Np004G211110, Np006G331820, Np002G082860	As007G153590
OG0000323	Np003G162270	As002G045490
OG0000323	Np005G277420, Np005G277440	As005G112480
OG0000327	Np004G229850	As001G019790
OG0000327	Np006G364610, Np006G364600	As001G019810, As001G019800, As008G195090, As008G195100, As011G263130
OG0000328	Np005G304570	As001G029880
OG0000328	Np004G232390, Np005G314470, Np005G314440	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070
OG0000329	Np001G065660, Np006G369220, Np006G365770, Np001G066400	As007G180560
OG0000332	Np003G147850, Np003G147860	As002G033230
OG0000334	Np001G056660	As012G277630
OG0000334	Np006G336790, Np003G186670	As006G146780
OG0000338	Np002G112620, Np002G111810, Np004G249560, Np004G249390	As008G188190, As008G188080, As001G019490, As001G019290
OG0000339	Np005G283750	As003G061400
OG0000339	Np006G323420, Np001G067270	As005G101130, As012G287430
OG0000340	Np006G326900	As005G103820
OG0000340	Np006G326810	As005G103800, As005G103810
OG0000348	Np006G350410	As002G041810
OG0000348	Np003G172280, Np005G296790	As002G040050
OG0000350	Np004G212930	As003G070220, As003G070200
OG0000351	Np007G388910	As009G207800
OG0000351	Np001G008310	As011G246680
OG0000351	Np002G084610	As011G246700, As011G246690
OG0000351	Np001G009150	As011G246600
OG0000352	Np004G239260	As007G153380
OG0000358	Np004G256010	As006G124930, As008G196330
OG0000358	Np003G135730, Np001G041050, Np003G135720	As008G196390
OG0000360	Np001G001460, Np001G001470	As005G119730
OG0000362	Np002G098770	As006G134970
OG0000362	Np004G240140	As007G152630
OG0000363	Np004G216110	As009G209420
OG0000368	Np005G269260, Np005G269240	As003G073560, As003G073580
OG0000368	Np005G269270, Np005G269280	As003G073600, As003G073590
OG0000369	Np001G045740	As006G145250, As010G224820, As006G129520
OG0000370	Np004G239190, Np004G239200, Np004G239180, Np005G280980, Np005G280970, Np005G280960, Np005G280940, Np005G280920	As007G153440
OG0000371	Np006G321660, Np003G162330, Np005G306140, Np006G321270, Np006G321650	As005G099710, As005G099720
OG0000374	Np006G361320	As012G273470, As012G273550
OG0000377	Np002G116540	As001G021080
OG0000377	Np002G116470, Np002G090780	As001G021090
OG0000378	Np005G299340, Np003G160810	As003G067400
OG0000382	Np004G257810, Np003G187110	As006G122900
OG0000382	Np004G250010	As001G018980
OG0000383	Np004G211580	As003G069230
OG0000383	Np004G211550	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	Np004G194020	As011G247740
OG0000386	Np001G022850, Np001G022830, Np001G022820	As001G025230, As001G025220, As011G256850
OG0000386	Np004G197570, Np001G056100	As012G276900, As012G276880
OG0000389	Np004G204920	As001G003830
OG0000390	Np001G010580	As001G012620
OG0000390	Np007G396900, Np007G396890, Np007G392350, Np007G392370, Np007G392400, Np007G378210	As011G251840
OG0000396	Np001G019970	As001G026970
OG0000396	Np001G019930, Np001G019950, Np001G019940, Np002G108160	As001G026990, As001G027000, As001G027010
OG0000402	Np003G142810, Np002G111680, Np005G263270, Np004G225720, Np007G386530, Np001G020580, Np001G051050, Np002G110350, Np006G355770, Np001G026750	As001G032230, As003G065580, As005G099570, As012G279030, As011G256760, As002G038770, As002G036320, As008G185740, As009G212360, As007G178600, As002G037860, As007G176730, As007G176740, As007G176750, As005G112780, As012G277040, As008G191550, As009G207420, As009G210350
OG0000402	Np004G247170, Np006G355760	As010G227030, As011G257290
OG0000403	Np002G115780	As001G020780, As001G020790
OG0000404	Np006G339530, Np001G054740, Np003G131430, Np007G410290	As012G276100, As006G144680, As002G037330
OG0000405	Np005G295230	As002G037720
OG0000406	Np003G144160, Np002G105970, Np002G112240, Np005G307540, Np005G312730, Np007G422620	As006G136090
OG0000407	Np007G393170, Np002G094740, Np002G077750	As009G201130, As009G201860
OG0000410	Np002G118080	As001G021670, As001G021680
OG0000411	Np002G119350	As001G022090
OG0000411	Np007G389260	As011G261620
OG0000411	Np003G183560	As004G085710
OG0000411	Np005G286200	As003G060010
OG0000412	Np003G163330	As002G046400
OG0000412	Np005G278350	As006G132500
OG0000412	Np004G196050	As012G271680
OG0000413	Np007G407430	As011G245460
OG0000413	Np005G279440	As002G048240
OG0000414	Np004G225620	As003G058750, As003G058770, As003G058760
OG0000415	Np004G202110, Np007G378170	As005G104640
OG0000416	Np006G355480, Np006G355650, Np006G355470, Np006G355660	As006G125710
OG0000417	Np007G388160, Np007G419850, Np007G419700, Np007G419930, Np007G421830, Np007G421890, Np007G421780	As007G163710, As008G186410
OG0000420	Np006G331960, Np006G336360, Np006G336370	As010G222670
OG0000421	Np005G314770, Np005G314820, Np005G314810, Np005G314850, Np005G314860, Np005G314760	As004G078160, As004G078150
OG0000422	Np004G249670, Np001G044100	As008G188280, As008G188290, As008G188300
OG0000423	Np002G082000	As010G241040
OG0000423	Np004G191630	As012G269020
OG0000429	Np001G012860	As009G215310
OG0000429	Np003G137770	As002G052030
OG0000429	Np005G270340, Np006G363880	As001G004910
OG0000430	Np007G377070	As011G263500
OG0000430	Np005G265490	As001G014590
OG0000430	Np005G260590	As003G076100
OG0000430	Np006G371120	As007G181940
OG0000431	Np002G113550	As001G019780
OG0000431	Np004G248890, Np004G248900	As008G187750
OG0000432	Np003G165250	As002G044400
OG0000432	Np003G149220, Np007G376900, Np003G159570, Np003G158520	As002G047750
OG0000433	Np002G112440	As003G075370, As003G075380, As003G075360, As003G075330, As003G075320, As003G075390, As011G250230, As008G187390, As008G187380, As008G187400
OG0000435	Np004G236930	As001G004050, As006G138290, As011G260090, As011G260040
OG0000436	Np005G279590, Np003G157260, Np007G372950	As011G266430, As002G048360
OG0000437	Np004G206660, Np004G206670, Np001G036170	As003G062850
OG0000438	Np003G182660	As004G085300
OG0000439	Np004G253720	As008G194170
OG0000439	Np001G064720	As012G285510
OG0000439	Np006G355120	As006G127290
OG0000440	Np003G128340, Np003G128320, Np003G144800, Np007G422200	As006G136440
OG0000441	Np007G390830	As011G248660
OG0000446	Np001G007230	As009G219000
OG0000446	Np001G025190	As001G023650
OG0000446	Np004G242300	As008G183010
OG0000447	Np007G404710	As011G247170
OG0000447	Np006G343160	As004G081330
OG0000447	Np004G211530	As003G069220
OG0000448	Np006G360200, Np006G360170, Np001G009660, Np001G033730	As004G089550
OG0000449	Np001G045710	As010G224860
OG0000449	Np003G152360	As005G114720
OG0000449	Np001G045700	As010G224870
OG0000449	Np003G152370	As005G114730
OG0000452	Np005G273490	As001G002300, As001G002310
OG0000453	Np002G119500	As008G192270
OG0000454	Np003G165150	As002G044440, As002G044430, As002G043530, As002G043510, As002G043520
OG0000455	Np004G233010	As007G178440
OG0000459	Np005G287320, Np005G287280, Np005G287330, Np005G287340	As003G058960
OG0000461	Np004G259940	As008G199680
OG0000461	Np006G336810, Np006G336820, Np006G336800	As006G146770
OG0000462	Np007G374660	As009G214710
OG0000463	Np001G046500, Np001G046440, Np001G046450, Np001G046420	As010G224360, As010G224370
OG0000466	Np006G324970, Np003G127910, Np003G127830, Np003G127870, Np003G127860, Np003G127900, Np006G324960	As002G032990, As003G058720, As003G058680, As007G181090, As007G181100, As007G181730, As007G181390, As002G038080, As009G205530, As002G045940, As002G033580, As002G036910, As002G036900, As002G036920, As009G205540, As009G206460, As009G202280, As009G202290, As002G033670
OG0000467	Np001G063650, Np001G036770, Np005G291060	As004G088230, As012G284990
OG0000468	Np001G057840	As012G280020
OG0000468	Np006G357390	As006G125920
OG0000468	Np006G334580	As006G144160
OG0000471	Np005G306540, Np001G015170, Np004G216590, Np004G211860, Np002G114330, Np004G211880	As003G069540, As003G069550
OG0000472	Np005G317070, Np005G317120, Np005G317110, Np005G317080, Np005G317060	As004G097070, As004G097040, As004G097060, As004G097030, As004G097050
OG0000472	Np005G317040, Np005G316840	As004G097020
OG0000473	Np001G068690	As012G288330, As005G099530
OG0000474	Np006G366370	As011G261780, As010G222300
OG0000477	Np003G154550, Np003G132840, Np006G335660	As004G084280, As009G211280
OG0000480	Np002G103440	As001G013010
OG0000481	Np002G118670	As001G021880
OG0000482	Np002G093240, Np005G313460	As004G077750, As001G028390
OG0000483	Np003G159730, Np003G159870	As002G047220
OG0000484	Np005G267760, Np005G267780	As009G203850
OG0000486	Np001G066700, Np001G066070, Np001G068030, Np001G065890, Np001G065930	As001G013050, As001G013370
OG0000486	Np001G065990, Np001G065910, Np001G065960	As001G013380, As001G013070, As001G013260
OG0000487	Np006G346030	As006G137570, As008G196100
OG0000487	Np007G420570	As006G129680
OG0000495	Np005G308300, Np005G274750	As001G001610, As001G001580, As001G001640, As001G001650
OG0000495	Np003G177080, Np003G177180	As007G179430, As007G177930
OG0000496	Np008G426990	As002G041610
OG0000497	Np007G381080	As009G210870, As009G211010
OG0000497	Np003G142090	As010G233080, As007G164590, As007G163820, As007G164600
OG0000497	Np007G399200	As002G040610
OG0000498	Np003G163900	As002G045150
OG0000499	Np005G291890	As003G056720
OG0000499	Np007G405570	As012G269540
OG0000500	Np001G038410	As004G087530, As004G087510, As004G087540, As004G087560, As004G087480
OG0000501	Np004G203910	As010G232220
OG0000504	Np003G126850	As006G143860
OG0000504	Np007G413350	As002G037010, As002G034340
OG0000505	Np001G012450, Np003G174160, Np003G174150, Np001G012530	As009G215510
OG0000506	Np003G131500	As010G234690
OG0000509	Np005G299470	As001G017890
OG0000510	Np002G116120	As001G020890, As001G020900
OG0000511	Np007G382620	As011G254140
OG0000511	Np002G120210	As001G032060
OG0000512	Np005G283790	As003G061390
OG0000513	Np001G056460	As006G146210
OG0000513	Np001G045750, Np003G152500	As005G114770
OG0000515	Np004G190200	As012G267810
OG0000520	Np006G323880, Np001G018160, Np001G066860	As002G050660, As002G050220, As012G287100
OG0000521	Np004G204100	As003G063570
OG0000521	Np003G176230	As004G080410
OG0000521	Np004G232310, Np002G073540	As007G158420
OG0000522	Np004G205820, Np003G178580, Np003G178570, Np003G178600	As004G083810
OG0000523	Np006G322790	As005G100530
OG0000523	Np001G067730, Np001G067720	As012G287730
OG0000524	Np007G414910, Np007G414950, Np001G018020	As006G141600, As006G141560, As006G141590
OG0000525	Np002G073270	As010G241940
OG0000525	Np004G239210	As007G153430
OG0000525	Np004G192850	As012G269710
OG0000526	Np001G047600	As010G223400
OG0000530	Np004G249530, Np004G249410, Np003G144290, Np007G422370, Np007G422270	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740
OG0000534	Np002G119620	As007G167300, As001G022180, As001G022190, As001G022170, As001G016060
OG0000535	Np002G087460, Np001G026080, Np001G026060, Np001G026090, Np002G117340	As001G023320
OG0000535	Np001G026100	As001G023310
OG0000537	Np003G185370	As006G124070
OG0000537	Np005G307590	As004G093070
OG0000538	Np006G326720, Np006G340650, Np006G326730, Np003G153770	As005G103710, As005G103700
OG0000539	Np001G000020	As005G120910
OG0000540	Np006G360630	As006G128870, As006G128860, As006G128850
OG0000541	Np007G414370	As006G128960, As006G128940
OG0000542	Np003G143150	As009G202020
