Orthogroup	Noccaea_praecox	Arabidopsis_lyrata_Rawat
OG0000012	Np006G341500	AL8G29520
OG0000013	Np005G297160, Np001G055860, Np003G162090, Np001G033350, Np002G120320, Np002G087920, Np007G378740, Np007G378660, Np007G393900, Np002G095230, Np001G029000, Np006G365160, Np004G228140	AL3G45620
OG0000013	Np004G228920	AL3G54050
OG0000014	Np003G187370	AL6G46360, AL1G66640
OG0000014	Np011G435870	AL1G65830
OG0000014	Np002G097020	AL5G15080
OG0000015	Np008G427030	AL3G46060
OG0000015	Np001G036120	AL25U10010, AL6G22310, AL7G26200
OG0000018	Np002G096490, Np002G106410, Np005G301740, Np003G138910, Np007G393420, Np003G172010	AL4G20340, AL5G22660, AL3G44000, AL4G18810, AL564U10010, AL8G21810, AL2G20290, AL3G16850, AL9U11790, AL4G19170, AL3G52170, AL5G41490, AL4G18100, AL8G33160, AL8G23170, AL4G13400, AL2G40700
OG0000019	Np003G156030, Np004G211950	AL8G22980
OG0000019	Np003G166760, Np002G106220	AL1G50520, AL5G34620, AL5G17780, AL7G52850
OG0000019	Np007G405080, Np001G027610	AL2G22330
OG0000020	Np004G226750	AL4G17980
OG0000021	Np005G270390, Np007G393560	AL7G30150, AL5G20380, AL488U10010, AL4G29570
OG0000021	Np004G199140	AL5G16490, AL5G19200, AL4G47110, AL1G46060, AL6G10850, AL6G17120, AL1G64130, AL3G42610, AL3G47980, AL6G47170, AL3G48090, AL1G59200, AL7G48880, AL6G41430, AL8G41490, AL363U10020, AL3G42620, AL4G39950
OG0000021	Np007G402490, Np003G147560, Np002G120150	AL5G10040, AL5G25470
OG0000021	Np002G109960, Np003G148260	AL96U10010
OG0000023	Np003G180610	AL6G45910
OG0000023	Np005G283730	AL7G30170
OG0000023	Np005G284120	AL7G30270
OG0000023	Np005G283870	AL7G30260
OG0000025	Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400	AL8G29780
OG0000025	Np006G347410, Np006G369800, Np006G369660, Np006G353350, Np006G347480, Np006G353280, Np006G347370, Np003G146280, Np006G369850, Np006G370360	AL5G44140
OG0000026	Np003G172690	AL2G12870, AL5G16730, AL9U11280
OG0000026	Np003G171320	AL1G18480, AL4G42270, AL5G11540
OG0000027	Np004G214870, Np005G271730, Np004G214850	AL1G45210
OG0000027	Np004G215070	AL3G45420, AL4G35160
OG0000027	Np001G057950, Np001G057940	AL5G23680, AL5G39160, AL5G38280, AL5G39170
OG0000028	Np003G175100	AL3G41570
OG0000028	Np006G356860	nbis-gene-1243
OG0000029	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900	AL26U10050, AL3G41030, AL6G10700
OG0000030	Np004G229860	AL1G54660
OG0000030	Np006G330890	AL4G45380, AL3G35100, AL8G39990, AL7G36770, AL2G36380, AL6G22280, AL6G40680, AL1G51440, AL103U10010, AL8G23430, AL4G17850, AL2G38670, AL9U11580, AL3G44120
OG0000031	Np004G244900	AL1G24070, AL1G24380, AL1G24190, AL1G23970, AL1G24080, AL3G36780, AL1G23630, AL1G24180, AL1G23620
OG0000031	Np005G318980	AL7G48260
OG0000033	Np005G284050, Np005G284060	AL7G30290
OG0000033	Np005G283960, Np005G284080	AL7G30340
OG0000033	Np005G284160	AL7G30310
OG0000034	Np001G040260, Np002G107010	AL8G19610
OG0000034	Np006G341510	AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890, AL5G17770
OG0000035	Np006G356560	AL8G43560
OG0000035	Np005G313520	AL4G27390, AL4G27770, AL1G62520, AL1G33630, AL5G43600
OG0000036	Np006G342180, Np004G233440, Np005G260660	AL5G26550, AL920U10010
OG0000036	Np006G350450	AL4G17610, AL6G45120
OG0000036	Np006G342170, Np003G136960, Np002G107350, Np007G403810	AL1G60100, AL3G30200
OG0000037	Np001G045190	AL2G10930, AL3G43320, AL5G11300, AL4G20550
OG0000037	Np001G010230	AL6G39930, AL5G38410
OG0000037	Np002G088180	AL53U10030
OG0000037	Np002G110300, Np005G302190	AL6G28120, AL3G49490, AL1G47310, AL3G45700, AL1G24730, AL1G48300, AL1G50060, AL5G25180, AL9U11060, AL1G21830, AL27U10010, AL9U10850, AL5G15730, AL1G55420, AL1G56420
OG0000037	Np006G359940	AL5G24160, AL5G17920, AL6G39730
OG0000038	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020	AL2G12050
OG0000038	Np007G415720	AL6G35130, AL6G36280
OG0000038	Np003G157800	AL8G26900
OG0000038	Np005G270740, Np005G270650, Np005G270700	AL1G14840
OG0000038	Np005G318000	AL1G38680
OG0000039	Np002G110420	nbis-gene-244
OG0000040	Np001G009070	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180
OG0000040	Np004G224970, Np004G224940	AL1G21870
OG0000040	Np007G407000	AL3G25930, AL3G25710, AL3G25690
OG0000040	Np004G224990	nbis-gene-1830
OG0000041	Np006G342650	AL7G44740
OG0000042	Np007G420820	AL8G11480
OG0000042	Np001G027800	AL3G43050
OG0000042	Np004G191660	AL364U10020, AL6G48140
OG0000043	Np005G296770	AL5G20230
OG0000044	Np003G163540, Np004G207950, Np005G303200, Np006G327150, Np007G408020, Np005G309290, Np004G218300, Np004G229000, Np007G403700, Np002G090130, Np006G327160, Np007G394210, Np006G353360, Np002G081200, Np004G217370, Np004G233430, Np002G100510	AL6G40760, AL3G44690, AL4G20190
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	AL5G16920, AL7G43910, AL3G42580, AL4G10770
OG0000045	Np006G334530	AL2G19770
OG0000045	Np002G098570, Np005G284990	AL3G43240
OG0000046	Np005G314650	AL7G51420
OG0000046	Np005G313240	AL7G52590
OG0000046	Np005G292150	nbis-gene-1820
OG0000046	Np005G313330	AL7G52530, AL7G52540
OG0000047	Np005G282680	AL3G45170
OG0000048	Np003G145430, Np003G145400, Np003G145550	AL6G29120, AL6G29220
OG0000049	Np004G254290	AL6G41090
OG0000049	Np002G120530	AL6G37950
OG0000050	Np002G095340	AL2G19460, AL7G40460, AL8G34860, AL8G13000, AL5G20430
OG0000050	Np002G094900	AL2G29160, AL704U10010, AL9U10060
OG0000050	Np002G093590, Np001G040200, Np007G402160	AL8G15100, AL8G40700
OG0000052	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920	AL1G20340
OG0000052	Np002G114270, Np002G114260, Np002G116270, Np002G105580, Np002G115670	AL2G11470
OG0000052	Np002G116810	nbis-gene-988
OG0000052	Np006G328590, Np006G328570, Np006G328580	AL4G40930
OG0000053	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740	AL8G40920, AL2G10380, AL1G59190, AL7G34190
OG0000053	Np001G008270, Np001G039230, Np003G166770	AL5G34630
OG0000054	Np005G274000, Np001G042780, Np006G332680	AL4G17970
OG0000054	Np005G282410	AL5G18550
OG0000055	Np001G046730	AL5G26170
OG0000055	Np002G119410	AL2G13840
OG0000055	Np002G119400	AL1G66000
OG0000055	Np002G119520, Np002G119220, Np002G119170	AL2G14050, AL2G14060, AL2G14070, AL2G14080, AL2G14090
OG0000057	Np007G419120, Np007G419160, Np005G285180	AL4G21820
OG0000057	Np007G375320	AL3G50860, AL769U10010, AL3G38080
OG0000057	Np007G392240, Np007G392300	AL3G30730
OG0000057	Np007G398210, Np010G435080, Np007G401600	AL5G27570, AL2G18120
OG0000057	Np005G317510, Np005G317540	AL3G29740
OG0000057	Np006G333600, Np006G333860, Np003G187520	nbis-gene-725, AL3G41130
OG0000057	Np007G376470	AL3G40140, nbis-gene-248, AL3G40130
OG0000059	Np001G044380	AL3G39680, AL6G19270
OG0000059	Np004G216530	AL5G39250
OG0000059	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750	AL7G45130, AL5G12450, AL1G66530, AL4G19380, AL9U11720, AL5G19450, AL2G14550, AL2G12980, AL6G42590
OG0000059	Np004G202770	AL3G44960
OG0000059	Np005G284980, Np007G388310	AL3G36810
OG0000062	Np003G166860, Np003G173970, Np003G170000	nbis-gene-221
OG0000063	Np001G045620	AL5G25220
OG0000064	Np005G260880	AL7G10840
OG0000065	Np007G400220, Np006G346550, Np009G430200, Np011G436850, Np011G436620, Np001G030910, Np008G425970, Np008G426420, Np011G436540, Np006G346420, Np005G295220, Np006G346530	AL1G62000
OG0000065	Np008G428560, Np008G428010	AL7G38070
OG0000066	Np005G262320	AL7G12350, AL2G35580, AL3G43470, AL6G41640, AL2G35590, AL6G21580
OG0000066	Np001G003150, Np003G136700	AL6G20900
OG0000066	Np003G136710	AL5G16700
OG0000067	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340	AL3G20250, AL3G20240, AL3G20260
OG0000067	Np003G144200	AL6G18740
OG0000068	Np004G231130, Np004G230610, Np005G282940	AL2G19330, AL4G18050, AL1G57000
OG0000068	Np004G229970	AL3G39900, AL6G50990
OG0000068	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070	AL3G42660, AL7G46520, AL4G33750
OG0000070	Np006G358640	AL5G12380, AL5G12270
OG0000070	Np002G099070	AL2G23610
OG0000070	Np009G431130, Np002G106230, Np006G346190, Np003G169290, Np002G097490, Np007G399960	AL5G18180, AL5G24080
OG0000071	Np003G163260	AL4G15570
OG0000071	Np006G331390, Np001G008190, Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530	AL5G27290, AL1G43970, nbis-gene-561
OG0000071	Np006G355640, Np005G271980, Np004G200680, Np006G328540, Np001G013290, Np004G192480, Np004G255110, Np001G010810, Np003G136400, Np004G197340, Np001G008060, Np002G121660, Np003G183830, Np001G025430, Np001G046830, Np002G093400, Np006G335600, Np001G045020, Np006G328550, Np004G200670, Np002G093150, Np004G193230, Np002G120650, Np001G051330, Np005G305440, Np005G260960, Np005G280230, Np003G139630, Np003G158800, Np006G328500	AL6G40690
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	AL6G46480, AL2G19590, AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870, AL6G38840, AL6G40590, AL1G47050, AL6G52460, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL7G34330, AL5G17840, AL8G17600, AL2G22170, AL3G44280, AL7G53070, AL1G54140, AL170U10010, AL3G46660, AL7G45510, AL5G10400, AL3G43610, AL4G17930, AL4G12360, AL5G17970, AL9U10780, AL8G20850
OG0000072	Np001G034150	AL4G15980
OG0000073	Np006G330840	AL3G46070
OG0000074	Np004G229920	AL1G37350
OG0000074	Np004G229960	AL1G37390
OG0000074	Np004G229890	AL1G37440
OG0000074	Np004G230030	AL1G37400
OG0000074	Np003G180910, Np003G184200	AL4G22700, AL1G37370, AL1G37380, AL1G37360
OG0000075	Np003G136640	AL6G20830
OG0000075	Np007G378600	AL1G23150, AL1G25470, nbis-gene-69, AL5G16800, AL1G58940, AL4G18870, AL1G22300, AL7G46450, AL8G23030
OG0000076	Np002G083960	AL5G15910
OG0000076	Np001G021860	AL5G15900
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	AL6G47540, AL6G47530
OG0000077	Np007G386290	AL1G52780, AL1G52760, AL1G52750
OG0000077	Np005G261710, Np006G360730	AL7G11590
OG0000077	Np005G261720	nbis-gene-1691
OG0000078	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000079	Np001G064190	AL5G40790
OG0000079	Np007G389360	AL4G18900, AL4G18910, AL5G40750
OG0000079	Np001G064140	AL5G40710
OG0000080	Np006G334220	AL6G16510, AL7G46170
OG0000080	Np006G321280, Np006G321720, Np003G146070, Np004G250430	AL1G54400
OG0000080	Np003G179540, Np002G124540	AL6G23310
OG0000080	Np005G278660	AL7G25770
OG0000080	Np006G328080	AL7G44920
OG0000081	Np001G010770	nbis-gene-1089, AL3G17170
OG0000081	Np003G176780, Np003G176800, Np003G176750	AL6G42950
OG0000081	Np003G145640	AL6G29360, AL6G29140
OG0000083	Np002G090350	AL57U10030
OG0000084	Np006G364940	nbis-gene-975
OG0000084	Np006G365020	AL4G18570
OG0000084	Np006G365030, Np006G365010, Np006G365440, Np006G366050	AL4G18510, AL4G15660
OG0000084	Np006G365060, Np006G365040	AL4G18560
OG0000084	Np006G364950	AL4G18550
OG0000085	Np007G397830	AL9U10400, AL1G51730, AL6G16840, AL3G51220, AL6G30230, AL7G34140, AL7G50840, AL5G16610, AL8G26890, AL8G33470, AL6G34380, AL7G52520, AL3G48900, AL9U11250, AL3G29600, AL1G64180
OG0000087	Np001G010980	AL6G35120
OG0000087	Np006G350150, Np008G428160	AL4G24260
OG0000087	Np005G287050	AL8G39670
OG0000087	Np003G139100	AL6G23060
OG0000087	Np001G039930	AL8G15560
OG0000087	Np005G287110	AL7G33260
OG0000087	Np002G077440	AL2G35770
OG0000088	Np003G148700, Np003G148740	AL6G32010
OG0000088	Np001G052870	AL8G24400
OG0000089	Np003G136030	AL6G20220
OG0000089	Np007G395030	AL3G32160, AL1G56110
OG0000089	Np006G329000	AL4G40450
OG0000089	Np007G409340	AL3G23740
OG0000089	Np001G056580	AL5G34730
OG0000089	Np006G336940	AL4G34130, AL4G34190
OG0000090	Np004G235330	AL2G24470, AL4G11370, AL1G32980
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	AL2G35960
OG0000090	Np007G385680, Np001G065320, Np001G065030	AL7G16760
OG0000090	Np007G389920	AL1G20940
OG0000093	Np001G063230	AL5G40110
OG0000093	Np001G005730	AL3G42890
OG0000093	Np001G063180	AL5G40100
OG0000093	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400	AL3G42900, AL3G42870, AL3G42880
OG0000093	Np005G317970	AL5G40120
OG0000096	Np001G024770	AL5G12940, AL5G12970, AL5G12960
OG0000096	Np002G112010, Np002G112580	AL1G67300
OG0000096	Np002G092700	AL2G25710
OG0000097	Np003G184990	AL6G49050
OG0000097	Np003G185010	AL6G49140
OG0000097	Np003G171600	AL6G49150
OG0000097	Np003G185030	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010
OG0000098	Np002G116580	AL2G13240
OG0000099	Np002G123560, Np004G228320	nbis-gene-368
OG0000099	Np002G113890, Np002G123650, Np007G403740	AL2G11040
OG0000099	Np004G215640	AL6G43560, nbis-gene-367
OG0000099	Np002G112400	AL2G11960
OG0000100	Np006G360420, Np005G260470	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262
OG0000101	Np002G122800	AL2G23700
OG0000101	Np002G123360	AL2G11240
OG0000101	Np004G206440	AL2G16740
OG0000101	Np002G123180	AL2G14410, AL1G66330, AL3G49580, AL1G65640
OG0000102	Np006G343540	AL7G22190
OG0000102	Np001G022480	AL169U10010, AL6G44310, AL236U10030, AL3G53440, AL2G36550
OG0000104	Np004G251930	AL1G17740
OG0000104	Np006G360060	AL4G23510
OG0000104	Np006G360100	AL4G23570
OG0000104	Np004G195160	AL1G55940
OG0000104	Np004G195150	AL1G59850
OG0000104	Np006G360080	nbis-gene-14, AL4G23520
OG0000106	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560
OG0000107	Np007G398420	AL3G33780, AL3G33770
OG0000108	Np002G099090, Np002G099030, Np002G099040	AL4G14150
OG0000108	Np001G011650, Np001G011550	AL1G41020, AL1G41010, AL1G41000, AL1G40990, AL4G14170
OG0000108	Np007G389900	AL3G44060, AL3G44020, AL3G44030, AL3G43980
OG0000108	Np004G259470	AL2G26330
OG0000109	Np003G183100, Np004G217760	AL4G12030, AL1G50070, AL433U10010
OG0000110	Np001G064490	AL5G41090
OG0000110	Np001G064470	AL5G41080
OG0000110	Np001G064510	AL5G41120
OG0000110	Np001G064450	AL7G42310, AL5G41050
OG0000111	Np005G311780, Np005G313710, Np005G313720, Np005G313730	AL315U10010, AL7G51940, AL7G52000, AL7G52020
OG0000111	Np001G058370	AL5G36020
OG0000112	Np003G184320	nbis-gene-64, nbis-gene-1017, AL8G37620, nbis-gene-2004, nbis-gene-1178, nbis-gene-2005, nbis-gene-1177, AL4G19230, AL8G25360
OG0000113	Np003G145910	nbis-gene-1539
OG0000116	Np005G292090, Np005G294910, Np002G096290, Np002G092280, Np001G008260	AL4G42280
OG0000117	Np004G191700	AL8G20470
OG0000118	Np005G315460	AL5G18800
OG0000118	Np001G044480, Np005G313880	AL5G34240, AL3G50380, AL2G34810
OG0000119	Np002G102980	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470
OG0000120	Np002G117060, Np002G116940	nbis-gene-408, AL2G15570
OG0000120	Np003G129250	nbis-gene-1458
OG0000122	Np001G056320	AL8G31960
OG0000122	Np003G158000	nbis-gene-2149
OG0000123	Np005G279480	AL7G26670
OG0000123	Np003G131130	AL2G13220
OG0000124	Np006G348530	AL3G43990
OG0000125	Np003G126800	AL3G20660, AL6G11840
OG0000125	Np003G151060	AL6G34020
OG0000125	Np003G152340	AL5G24690, AL189U10030, AL8G36480
OG0000125	Np006G359820	AL4G23250
OG0000126	Np003G176980, Np005G260240	AL3G44880, AL4G19050
OG0000127	Np003G125840	AL6G11080
OG0000127	Np001G046260, Np007G413710	AL3G20190
OG0000127	Np002G096200	AL1G22140, AL1G22160, AL1G17320, AL638U10010
OG0000131	Np002G101800	AL3G42080, AL4G18650, AL5G18470, AL2G20370, AL8G13990, AL1G46930, AL2G19090
OG0000131	Np003G174400	AL5G18060, AL6G40550, AL1G57250
OG0000132	Np004G192110, Np001G023710	AL6G43140
OG0000133	Np005G308080, Np003G130350, Np003G153160, Np002G099680, Np008G425630	AL8G19570, AL25U10030
OG0000136	Np002G086710	AL2G24590, AL2G24600, AL2G24580
OG0000136	Np005G312640	AL7G53090
OG0000136	Np002G095000	nbis-gene-1912
OG0000138	Np002G085240, Np002G085270, Np002G085250	AL5G19700, AL5G19780
OG0000140	Np003G153340	AL8G35600
OG0000140	Np003G153440	AL48U10040, AL8G35560
OG0000140	Np003G153920	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178
OG0000140	Np003G153420	nbis-gene-2175
OG0000140	Np003G153430, Np007G424390, Np003G153390	AL48U10010, nbis-gene-2180
OG0000146	Np003G160040	AL8G30930
OG0000146	Np003G160230	AL8G30890
OG0000146	Np003G160060, Np003G160140, Np003G160190	AL8G30920
OG0000146	Np003G160200	AL8G30900
OG0000146	Np003G160220	AL8G30910
OG0000147	Np007G373950	AL3G52950
OG0000147	Np005G273990	AL7G22000
OG0000147	Np003G156060	AL8G33330
OG0000147	Np002G071170	AL2G40780
OG0000147	Np001G043050	AL5G20850
OG0000147	Np007G389960	AL3G44180
OG0000149	Np001G046040	AL5G25250
OG0000149	Np001G046110	AL5G25240
OG0000149	Np003G152730	AL8G36180
OG0000149	Np003G152700	AL8G36200
OG0000149	Np001G046030	AL5G25230
OG0000150	Np001G049320	AL6G15230
OG0000151	Np003G164170	AL8G28000
OG0000151	Np005G277020	AL7G24680
OG0000151	Np007G376880	AL3G49460
OG0000151	Np003G158280	AL8G31780
OG0000154	Np002G086500	AL1G66060
OG0000154	Np004G240190	AL1G28200
OG0000154	Np007G408850	AL3G24230
OG0000154	Np007G413420	AL3G20620
OG0000154	Np003G126710	AL6G11740
OG0000154	Np003G126700, Np003G127150, Np002G112020	AL6G11730
OG0000155	Np004G218540	AL7G25530
OG0000155	Np005G287960	AL7G32710
OG0000155	Np007G409550	AL3G23610
OG0000155	Np005G287400, Np007G412670	AL6G48380
OG0000156	Np001G066790	AL5G43250
OG0000157	Np002G078620	AL2G23540, AL2G23590, AL2G23600, AL6G44790
OG0000158	Np005G286690, Np005G286640, Np003G129260	AL7G32560, AL7G30180, AL7G33450
OG0000158	Np002G081190	AL2G28170
OG0000158	Np002G090980, Np002G081180	nbis-gene-1710
OG0000158	Np001G048650, Np001G049230, Np001G050690, Np005G295650	AL6G25220
OG0000158	Np007G406120, Np001G028290, Np001G028380, Np001G028350	AL4G12250
OG0000158	Np002G081170	AL4G29520
OG0000160	Np003G172190	AL8G34940
OG0000160	Np002G094170	AL7G45030, AL1G48950, AL8G31450, AL236U10040
OG0000160	Np002G095190	AL5G16300
OG0000161	Np001G008600	AL8G25830, AL4G22760, AL4G22720
OG0000161	Np005G311810	AL2G20180
OG0000161	Np002G086610	AL2G19870, nbis-gene-452
OG0000162	Np006G363910	AL4G20750
OG0000162	Np002G116280	AL2G23580
OG0000162	Np006G324990	AL4G44040
OG0000164	Np005G275210	AL7G23040
OG0000164	Np005G261970	AL8G23520
OG0000164	Np004G198520	AL2G17690, AL2G17720, nbis-gene-421, AL6G40440, AL6G40430, AL6G40420
OG0000165	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680	AL481U10020
OG0000166	Np001G026760, Np005G278550	AL2G32690
OG0000166	Np003G159070	AL2G13810
OG0000167	Np005G289610	AL7G34470
OG0000167	Np004G243920, Np002G111260	AL7G34550, AL7G34540
OG0000167	Np004G202230	AL7G34530
OG0000168	Np007G418090	AL4G12860
OG0000171	Np006G321770, Np001G068570	AL2G23510
OG0000171	Np003G141590	AL6G25440
OG0000172	Np001G064170	AL5G44820
OG0000174	Np004G217810	AL6G41080
OG0000175	Np002G077280	AL2G35850
OG0000175	Np004G235400	AL1G32900
OG0000175	Np007G376890	AL7G16200
OG0000175	Np005G267520	AL7G15090
OG0000176	Np005G310450, Np005G310750, Np005G310470	AL1G44860
OG0000178	Np006G367500, Np002G124800	AL8G19930
OG0000180	Np005G291290, Np005G292670, Np005G292680, Np005G291280	AL3G38360
OG0000180	Np006G370740, Np006G370680	AL5G45620
OG0000180	Np006G370410, Np006G369740	AL1G10300, nbis-gene-18
OG0000181	Np005G296340, Np006G359190, Np001G033000, Np007G384350, Np002G094870, Np004G238980, Np006G363240	AL3G31430, AL8G25040, AL4G15240, AL5G17720, AL8G21610, AL7G44660, AL5G21310, AL7G48830, AL4G21300
OG0000183	Np004G227120	AL4G13920
OG0000184	Np006G360300, Np002G106510	AL3G43630
OG0000184	Np005G276430	AL5G24090
OG0000186	Np006G361310	AL4G20870
OG0000186	Np001G026290	nbis-gene-264, nbis-gene-676
OG0000187	Np005G271570	nbis-gene-1736
OG0000187	Np005G271520	nbis-gene-1735, AL22U10010, nbis-gene-1954, AL7G51970
OG0000187	Np005G271420	AL7G20320
OG0000189	Np005G262130	AL7G12140
OG0000189	Np001G019990	AL7G12760, AL7G13600, AL7G12790
OG0000190	Np003G183500	AL6G47980
OG0000190	Np003G183510	AL6G47970
OG0000190	Np003G183410, Np003G183480	AL6G47990
OG0000191	Np007G388820, Np003G178870	nbis-gene-76, AL1G23460
OG0000191	Np006G339030, Np006G337320	nbis-gene-1015
OG0000191	Np007G391150, Np007G391080	AL3G29510
OG0000192	Np002G086820, Np007G389770, Np002G076020	AL6G51590, AL1G34280
OG0000193	Np007G384080	nbis-gene-789
OG0000193	Np007G381040, Np007G381000	AL3G35160, AL3G35150
OG0000195	Np006G361540	AL4G20560
OG0000195	Np005G312480	AL7G46650
OG0000196	Np004G214150, Np004G214340, Np003G165450	AL1G44080, AL1G44060
OG0000196	Np004G254380	AL1G15390
OG0000196	Np004G212030	AL1G42930
OG0000196	Np003G165460	AL1G44070
OG0000196	Np004G254390	AL1G15400
OG0000197	Np002G087170	AL3G52780
OG0000197	Np003G167690	AL7G49150, AL7G48800, AL7G19770, AL7G49950
OG0000200	Np004G217530	AL1G46070
OG0000200	Np004G254580	AL5G29460, AL8G22470
OG0000201	Np007G379560	nbis-gene-767
OG0000203	Np007G420270	AL7G22270
OG0000203	Np007G420280, Np004G195540	AL3G14700
OG0000203	Np007G420850	AL3G14200
OG0000204	Np005G302460, Np006G366470	AL5G33670
OG0000204	Np007G381450	AL3G35490
OG0000205	Np004G252280	AL4G10320, AL3G47440, AL3G52270, AL5G12470, AL5G12490, AL5G12460, AL5G12480, AL3G52290, AL3G52280, AL4G13020, AL1G53500, AL9U10990
OG0000205	Np001G056450, Np004G200620, Np004G227010	AL1G53540, AL1G53520
OG0000205	Np004G227020, Np004G200770	AL9U11000
OG0000207	Np002G073040	AL2G28790
OG0000207	Np002G073080	AL2G39120
OG0000209	Np002G123950	AL2G10720
OG0000209	Np002G123960, Np002G123970	AL2G10710, AL2G10700
OG0000209	Np002G124020	AL1G57470
OG0000209	Np002G123940, Np002G091400	AL7G47630, AL7G47070, AL7G47640, AL8G22950
OG0000210	Np006G357820	AL4G28810, AL4G28800
OG0000213	Np005G312500	AL3G21810
OG0000213	Np006G368010	AL4G12610
OG0000213	Np006G368000	AL4G12630
OG0000214	Np007G375860	AL2G28240
OG0000214	Np003G186320, Np003G186260	AL6G50950, nbis-gene-423, AL6G51540, AL6G43330, AL6G45800, AL2G21130, AL6G42990, AL6G47610, AL6G50960
OG0000215	Np003G161640	AL5G34210
OG0000216	Np004G202700, Np005G274080, Np005G314870	AL7G31490
