Orthogroup	Noccaea_praecox	Cardamine_hirsuta
OG0000155	Np004G218540	CARHR234950
OG0000155	Np005G287960	CARHR227980
OG0000155	Np007G409550	CARHR086560
OG0000155	Np005G287400, Np007G412670	CARHR227950
OG0000156	Np001G066040	CARHR171330
OG0000156	Np006G324150	CARHR140730
OG0000156	Np006G324140	CARHR140750
OG0000157	Np006G338300, Np004G199240, Np002G078620	CARHR102680
OG0000158	Np005G286690, Np005G286640, Np003G129260	CARHR210870
OG0000158	Np001G070050	CARHR245230
OG0000158	Np002G081190	CARHR113640
OG0000158	Np002G090980, Np002G081180	CARHR150520
OG0000158	Np002G081170	CARHR104280
OG0000161	Np001G008600	CARHR275730, CARHR120610, CARHR120240, CARHR120250
OG0000161	Np005G311810	CARHR056690
OG0000161	Np002G086610	CARHR056630, CARHR038520, CARHR038560
OG0000162	Np001G066230	CARHR170840
OG0000162	Np002G116280	CARHR057970
OG0000162	Np006G324990	CARHR140170
OG0000164	Np005G261970	CARHR041160, CARHR041170
OG0000164	Np001G024440	CARHR175770
OG0000167	Np005G289610	CARHR226380
OG0000169	Np002G113130	CARHR053840
OG0000171	Np006G321770, Np001G068570	CARHR142560
OG0000171	Np004G248080	CARHR052550
OG0000171	Np003G141590	CARHR198650
OG0000172	Np001G064170	CARHR053570
OG0000174	Np007G396640	CARHR218440
OG0000174	Np004G217810	CARHR286250
OG0000174	Np009G430530, Np002G103530, Np004G220900, Np010G432780	CARHR105060
OG0000175	Np007G375370, Np001G053050	CARHR160880
OG0000175	Np002G077280	CARHR069390
OG0000175	Np004G235400	CARHR020570
OG0000175	Np005G267520	CARHR244350
OG0000176	Np006G335040, Np003G145060	CARHR029830
OG0000177	Np007G404410, Np007G403560	CARHR150970
OG0000178	Np002G124800	CARHR216370
OG0000180	Np005G291320	CARHR264470
OG0000184	Np002G106510	CARHR157490, CARHR154180, CARHR181110
OG0000186	Np004G215560, Np002G108280	CARHR184750, CARHR217440
OG0000186	Np030G439830, Np030G439990, Np006G348040	CARHR184740, CARHR217430
OG0000186	Np006G361310	CARHR103200
OG0000186	Np005G292910	CARHR098000, CARHR034340
OG0000186	Np001G026290	CARHR252010
OG0000186	Np002G117100	CARHR217460, CARHR149350, CARHR289900, CARHR290850, CARHR034350, CARHR144860
OG0000187	Np005G271570	CARHR239530
OG0000187	Np005G271420	CARHR239600
OG0000189	Np005G262130	CARHR246590
OG0000189	Np001G019990	CARHR246290, CARHR146050
OG0000190	Np003G183500	CARHR250370
OG0000190	Np003G183510	CARHR250360
OG0000190	Np003G183410, Np003G183480	CARHR252960
OG0000191	Np007G391150, Np007G391080	CARHR091820
OG0000191	Np007G392820	CARHR106550
OG0000192	Np002G086820, Np007G389770, Np002G076020	CARHR181970
OG0000193	Np007G384080, Np007G384380, Np007G387690	CARHR099220
OG0000193	Np007G380880	CARHR097030
OG0000195	Np006G361540	CARHR119300
OG0000195	Np005G312480	CARHR058380
OG0000196	Np004G214150, Np004G214340	CARHR037160
OG0000196	Np004G212030	CARHR028740
OG0000196	Np004G214160, Np004G214310, Np003G165460	CARHR037140
OG0000197	Np001G016100	CARHR123890, CARHR037380
OG0000200	Np004G254580	CARHR291830, CARHR263700
OG0000201	Np007G382910, Np007G382430	CARHR103600
OG0000203	Np007G420270	CARHR078890
OG0000203	Np007G420280, Np004G195540	CARHR078870
OG0000203	Np007G420850	CARHR201470
OG0000204	Np005G302460, Np006G366470	CARHR044120
OG0000204	Np007G381450	CARHR097380
OG0000205	Np004G252280	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042520, CARHR042900, CARHR041590, CARHR043210, CARHR037920, CARHR263740, CARHR043200, CARHR148260, CARHR265180, CARHR265400, CARHR149520
OG0000205	Np001G056450, Np004G200620, Np004G227010	CARHR219990
OG0000207	Np002G073040	CARHR072270, CARHR141370
OG0000207	Np002G073080	CARHR072290
OG0000207	Np002G073110, Np002G073100	CARHR017450
OG0000210	Np001G024450	CARHR145920
OG0000210	Np006G357820	CARHR127190
OG0000210	Np004G205190	CARHR162850
OG0000213	Np005G312500	CARHR084950
OG0000213	Np006G368010	CARHR292800, CARHR292790
OG0000214	Np003G186320, Np003G186260	CARHR101750, CARHR250390, CARHR248840, CARHR250400, CARHR250050
OG0000216	Np005G286040, Np005G286010, Np005G285980, Np005G286120, Np005G286080	CARHR072250
OG0000216	Np005G314870	CARHR229000
OG0000216	Np006G361190	CARHR229020, CARHR229730
OG0000216	Np005G274090	CARHR229570
OG0000218	Np004G241490	CARHR015470
OG0000218	Np004G241460	CARHR015480
OG0000218	Np005G283350	CARHR147290
OG0000218	Np001G027310	CARHR144080
OG0000219	Np003G187720, Np001G006210, Np001G006190, Np001G008170	CARHR277080
OG0000219	Np001G006200, Np001G008160, Np001G006180	CARHR266750
OG0000220	Np003G158780	CARHR147550, CARHR269160, CARHR269100
OG0000222	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420	CARHR063680, CARHR117110, CARHR113140
OG0000222	Np001G021650, Np005G303660, Np001G029320, Np003G141180, Np001G063040, Np006G365120, Np007G404090, Np004G194850, Np004G215680, Np004G233330, Np003G165700, Np005G311760, Np007G390900, Np004G194840, Np005G309420, Np004G212790, Np001G029240, Np006G365130, Np001G027190, Np003G175170, Np006G322380, Np001G023650, Np005G318440, Np007G420490	CARHR218360
OG0000224	Np002G121630, Np002G121680, Np002G121650, Np002G121690	CARHR048360, CARHR048350, CARHR048370
OG0000225	Np004G212520	CARHR028850, CARHR028820, CARHR028900, CARHR028880, CARHR028810
OG0000225	Np004G212510	CARHR028830
OG0000226	Np001G068820, Np001G002660, Np001G003000	CARHR279920
OG0000226	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340	CARHR087530, CARHR087540, CARHR160050, CARHR160040, CARHR028040
OG0000228	Np004G230940	CARHR185670
OG0000228	Np004G230880	CARHR292540
OG0000228	Np002G084440	CARHR064120
OG0000228	Np002G084540	CARHR064090, CARHR064100
OG0000228	Np002G084530	CARHR064110
OG0000229	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980	CARHR215270, CARHR251110
OG0000229	Np005G309490	CARHR237670
OG0000229	Np007G377500, Np007G377590, Np006G330770	CARHR163030
OG0000230	Np002G077370	CARHR069290, CARHR069250
OG0000230	Np001G017180, Np001G016820, Np002G077300	CARHR216400, CARHR216420
OG0000230	Np002G077290	CARHR069370
OG0000231	Np003G174440	CARHR213950, CARHR041780, CARHR214130
OG0000231	Np004G203320	CARHR056340, CARHR220460, CARHR059750
OG0000232	Np006G352410, Np006G352420	CARHR080100, CARHR085660, CARHR105520, CARHR105540, CARHR105470, CARHR039350, CARHR105510
OG0000234	Np001G058680	CARHR165120
OG0000234	Np001G058670	CARHR165110
OG0000234	Np006G333910	CARHR134140
OG0000234	Np003G140390	CARHR199860
OG0000235	Np004G217630	CARHR031310, CARHR091810
OG0000235	Np007G391330	CARHR091800, CARHR036940, CARHR031320
OG0000236	Np007G382490	CARHR000080, CARHR100230, CARHR102630
OG0000236	Np003G177320	CARHR260580
OG0000242	Np004G242740	CARHR066550, CARHR066560, CARHR014480, CARHR036430
OG0000244	Np005G286400	CARHR228610
OG0000244	Np003G183740	CARHR107520
OG0000247	Np002G120130, Np002G120100, Np002G120120, Np002G120110	CARHR085700, CARHR085710
OG0000248	Np002G112170	CARHR054340
OG0000248	Np001G048790	CARHR166590
OG0000249	Np003G177600, Np006G338400	CARHR131180, CARHR131170
OG0000249	Np005G309230	CARHR131140, CARHR131130, CARHR131160, CARHR131150
OG0000250	Np005G261040	CARHR215600
OG0000250	Np002G086000	CARHR263070, CARHR263080
OG0000252	Np004G205500	CARHR100570, CARHR100650
OG0000253	Np003G170230	CARHR115150
OG0000254	Np007G383010	CARHR093470, CARHR093450
OG0000254	Np001G046190	CARHR135220, CARHR117790
OG0000257	Np007G377760	CARHR102040, CARHR102030, CARHR220080, CARHR041320, CARHR216070, CARHR112870, CARHR219950, CARHR216060, CARHR057800, CARHR216110
OG0000258	Np001G022690	CARHR147300
OG0000258	Np003G156210	CARHR271060
OG0000258	Np001G049130, Np001G022660, Np001G022680	CARHR147330
OG0000260	Np005G316660	CARHR118070, CARHR209970
OG0000264	Np003G185830	CARHR252330, CARHR252290, CARHR251320
OG0000264	Np003G185810, Np003G185770, Np003G185800	CARHR251330
OG0000265	Np005G294290	CARHR285950, CARHR256150, CARHR177480
OG0000266	Np003G177610, Np001G046580	CARHR265190
OG0000266	Np001G053260, Np001G053250	CARHR119130
OG0000266	Np002G082150	CARHR167770
OG0000268	Np001G026200	CARHR144670
OG0000268	Np003G125800	CARHR211500
OG0000268	Np001G057220	CARHR164050
OG0000269	Np005G282190, Np007G405090	CARHR029720
OG0000269	Np004G206800	CARHR033120
OG0000269	Np002G105820	CARHR219480
OG0000270	Np005G265330	CARHR243020, CARHR106740
OG0000270	Np007G377200	CARHR247840
OG0000270	Np002G077720	CARHR020400
OG0000271	Np003G164720	CARHR252250
OG0000273	Np007G375980, Np004G199070	CARHR038710, CARHR038690, CARHR038330
OG0000273	Np005G312740	CARHR038610
OG0000273	Np005G262870	CARHR021360, CARHR021380
OG0000274	Np003G152640	CARHR273300
OG0000274	Np004G252150	CARHR053220
OG0000275	Np007G384510, Np007G381770, Np007G381750, Np007G381740, Np007G382440, Np007G382420, Np007G384540, Np007G382890	CARHR097870
OG0000276	Np005G308640	CARHR218850
OG0000277	Np005G302420	CARHR290080
OG0000281	Np001G056160, Np001G056190	CARHR025250
OG0000281	Np002G078840	CARHR290770
OG0000282	Np003G133510	CARHR205610
OG0000282	Np003G133530	CARHR205590, CARHR205580, CARHR205600
OG0000283	Np001G041370	CARHR180240
OG0000283	Np001G041380, Np001G041420, Np001G041390, Np001G041410	CARHR180250, CARHR180280
