Orthogroup	Alyssum_gmelinii	Erysimum_linariifolium
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740	El003G178390, El003G178450, El004G207450, El004G207460
OG0000030	Ag003G292140	El002G136200
OG0000031	Ag001G078560, Ag004G386130	El007G349520
OG0000031	Ag002G111150, Ag002G107580	El003G192370
OG0000031	Ag004G401670	El002G127940, El004G193990
OG0000033	Ag006G547230, Ag006G549390	El003G162140, El003G162150
OG0000033	Ag006G547260, Ag006G549410	El003G162160
OG0000033	Ag006G543630, Ag006G543880	El003G192480
OG0000033	Ag006G547380, Ag006G549570	El003G162220
OG0000033	Ag002G130680, Ag002G130760	El001G004730
OG0000034	Ag007G621770	El001G041330
OG0000034	Ag005G434950	El002G123500
OG0000034	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870	El002G126180
OG0000034	Ag007G610710, Ag002G120190	El005G264480
OG0000034	Ag004G354480	El005G264310, El005G268870
OG0000034	Ag005G441910	El002G123490
OG0000034	Ag004G317550, Ag002G142920	El001G048010
OG0000034	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930	El006G311550
OG0000034	Ag002G118220	El006G310950
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	El006G299540
OG0000036	Ag004G310880	El003G178170
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	El006G309110, El006G311420, El002G122030
OG0000037	Ag007G646570	El005G272610
OG0000037	Ag001G053350	El004G202640
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	El006G281890, El006G282510
OG0000038	Ag001G003660	El002G110410, El002G110580, El002G110340
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	El007G364390, El001G005030
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	El007G360620, El007G360550, El007G360490, El007G360510, El007G360600, El007G360640
OG0000038	Ag004G312700	El006G282520
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	El003G181190, El002G112730, El002G112290, El006G296490, El006G297130, El007G346320
OG0000040	Ag002G192690, Ag002G188830	El005G250180
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	El005G257710
OG0000041	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960	El004G204870, El005G265750, El007G355940, El001G013140, El002G131060
OG0000042	Ag007G610350, Ag001G022920	El001G058460
OG0000042	Ag005G442270	El005G265850
OG0000044	Ag006G512870	El007G360870
OG0000045	Ag002G197550, Ag008G703200	El004G208130, El006G320830
OG0000046	Ag006G575430	El003G168460, El004G213500
OG0000046	Ag002G129690, Ag002G129740	El004G216850, El004G216660
OG0000046	Ag002G129710	El004G216760
OG0000047	Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180	El002G123400
OG0000047	Ag005G457670	El004G204540, El001G049540, El007G364690
OG0000048	Ag005G486480	El003G193700
OG0000050	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	El002G124210, El007G359470, El004G226500
OG0000052	Ag004G301370, Ag004G301320	El007G364450, El002G116290
OG0000052	Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	El006G286630
OG0000052	Ag002G194250	El006G286590
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	El006G286580
OG0000055	Ag004G382900	El004G198780
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	El004G198810
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	El003G171800, El004G200570
OG0000056	Ag002G121000, Ag006G542770	El003G179560, El006G285210, El001G008020, El007G350500
OG0000057	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510	El005G276600, El005G276550
OG0000058	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110	El005G263190, El006G310300, El005G258260
OG0000058	Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190	El007G338080, El003G151650
OG0000058	Ag003G229160	El007G341960
OG0000063	Ag008G698780	El002G090480
OG0000063	Ag004G307350	El001G024380
OG0000064	Ag003G295980	El003G142390
OG0000064	Ag002G170580, Ag007G593140, Ag007G593150, Ag002G113130, Ag002G109120, Ag003G276120, Ag003G276160, Ag003G276060, Ag004G378360, Ag007G593160	El004G232120
OG0000064	Ag001G030100	El008G368860
OG0000065	Ag009G735570	El002G116640, El002G116630
OG0000065	Ag001G025490	El004G204380
OG0000066	Ag003G225470	El004G228220, El004G228230, El002G122920
OG0000066	Ag007G604700	El001G071590, El001G071600, El007G324790
OG0000066	Ag002G125900	El007G324780
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820, Ag005G407040, Ag005G407080, Ag005G407050	El001G050000
OG0000067	Ag007G607200, Ag007G607230, Ag003G227540	El001G059350
OG0000069	Ag006G532130	El001G064640
OG0000071	Ag004G339910	El005G246820
OG0000071	Ag002G109160, Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270, Ag002G107710, Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400	El002G129540
OG0000072	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	El005G263040, El005G262970, El004G210970, El005G264060, El003G180720
OG0000073	Ag001G101380, Ag006G576030	El007G343060, El004G214500
OG0000073	Ag002G118960, Ag002G118950	El007G355990
OG0000073	Ag002G116850	El007G365480
OG0000074	Ag005G402710	El002G109050
OG0000074	Ag003G241560, Ag003G242310	El002G109020, El002G108990
OG0000074	Ag004G378820	El002G108960, El002G108950
OG0000074	Ag006G514000	El002G109030
OG0000075	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420	El001G065030, El001G025110
OG0000076	Ag001G002030	El001G041500, El001G041490
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	El003G143070
OG0000077	Ag006G569300	El004G229240
OG0000077	Ag006G508210	El003G143080
OG0000077	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	El003G143050, El006G313810, El003G143040
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	El004G200660, El004G200690, El004G200720, El004G200650, El004G200820, El004G200840, El004G201230, El004G207520, El004G200870, El004G200890
OG0000079	Ag006G550570	El004G207470
OG0000080	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	El002G131320, El002G131270
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	El007G345310, El006G302700, El006G302980, El006G300900, El006G303280, El001G043770, El001G041340
OG0000081	Ag007G628420	El001G062660
OG0000082	Ag004G351970	El005G264460
OG0000082	Ag007G632630, Ag005G475310, Ag005G428520	El004G212430
OG0000083	Ag005G483940, Ag005G483970, Ag005G483980	El007G352220, El007G352210
OG0000083	Ag005G483950, Ag005G483960	El005G265380
OG0000084	Ag002G111870	El006G313930
OG0000084	Ag004G395550, Ag002G108380, Ag004G395620	El001G048100
OG0000084	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770	El006G315730, El006G315630, El006G315610, El006G315700, El006G317190, El006G312100, El006G312130, El006G317170, El006G315060, El006G315050, El006G312110, El006G317200, El006G317180
OG0000084	Ag008G724370	El006G313950
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	El006G316420
OG0000086	Ag008G709530	El002G123600, El004G210560
OG0000087	Ag008G723440	El001G018640, El001G056180
OG0000087	Ag007G593840	El006G303330
OG0000087	Ag007G609260	El001G069260
OG0000087	Ag002G161340	El006G296420
OG0000087	Ag002G127940	El007G360740
OG0000087	Ag006G562620	El003G165170
OG0000087	Ag003G224140	El004G228430
OG0000088	Ag005G450330, Ag005G450360	El001G016470
OG0000088	Ag008G717820	El001G059590
OG0000089	Ag007G603320	El001G072250
OG0000089	Ag006G540580	El002G120830
OG0000089	Ag005G453100, Ag001G021310	El002G133200
OG0000089	Ag002G193060	El006G287080, El006G287070, El006G287060
OG0000089	Ag005G471710	El005G247910
OG0000089	Ag002G172950, Ag001G073120	El001G024400
OG0000089	Ag008G712440, Ag008G708620	El007G331780, El001G015710
OG0000090	Ag004G333760	El002G104490, El003G181590
OG0000090	Ag003G223190	El004G228750
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	El003G147970
OG0000091	Ag008G666220	El004G215550
OG0000093	Ag001G087470	El001G029880
OG0000093	Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290	El004G202240, El004G202270
OG0000093	Ag001G087200, Ag020G743290, Ag001G087240	El005G270290, El005G270300, El005G270240, El004G214760, El005G270230
OG0000093	Ag001G083700, Ag001G087310	El001G029840
OG0000093	Ag001G086540, Ag001G086510	El001G029800, El007G352040
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	El001G038300, El001G038380, El001G038370
OG0000096	Ag002G102560	El007G361830
OG0000096	Ag002G103120	El007G362690
OG0000096	Ag006G559170	El007G362760
OG0000096	Ag002G103250	El007G362830
OG0000097	Ag002G130220, Ag002G132530, Ag002G129480	El001G004470
OG0000097	Ag002G129120	El001G004450
OG0000097	Ag002G128740	El001G004380
OG0000097	Ag002G128960	El001G004460, El001G004420, El001G004430, El007G349700, El001G004410, El001G048890
OG0000097	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340	El001G004400
OG0000099	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750	El004G194870, El001G011990, El004G194960, El004G194830, El004G194970, El004G204720, El004G194880, El004G194860, El006G303000, El004G214950, El004G214930
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	El004G194890, El004G195030, El004G194980
OG0000099	Ag004G396100, Ag004G395920, Ag004G391570, Ag004G396210	El004G194840
OG0000099	Ag015G742140, Ag015G742240, Ag004G391040	El004G194950
OG0000100	Ag002G132470	El003G172340, El006G312970
OG0000100	Ag004G384260, Ag008G659700	El004G206690, El006G309850, El007G331570, El004G203680, El006G309780, El001G004640, El001G030520, El001G030510
OG0000100	Ag006G511060, Ag005G447890, Ag005G447820, Ag002G169660, Ag004G372650, Ag007G599450, Ag001G042170, Ag004G367770, Ag002G115440, Ag007G616750, Ag007G616790, Ag007G616760, Ag004G360540, Ag004G342380, Ag002G165560, Ag007G656360, Ag006G491540, Ag010G740030, Ag008G728470, Ag001G019470, Ag004G348390, Ag005G465130, Ag004G311540, Ag007G579500, Ag006G505390, Ag008G671960, Ag004G326810	El002G130910
OG0000100	Ag008G659710	El001G030500
OG0000101	Ag004G389820, Ag004G389830	El004G211480, El007G346770
OG0000101	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960	El007G356350
OG0000101	Ag004G390280	El004G209060
OG0000102	Ag008G662610, Ag004G328280, Ag007G647210, Ag003G274160	El006G302470
OG0000104	Ag004G307220	El002G090170
OG0000106	Ag005G417510, Ag001G017220	El001G010720, El005G256190, El005G255570
OG0000107	Ag005G481150	El006G308310
OG0000107	Ag005G446760	El005G257790, El005G257800
OG0000107	Ag005G446720	El005G257840
OG0000107	Ag005G446740	El005G257830
OG0000107	Ag005G446750	El005G257820
OG0000107	Ag005G446670	El001G039680, El005G258940, El005G270120
OG0000108	Ag005G459590, Ag008G727840	El007G364310, El007G323300, El001G009690, El006G281400
OG0000108	Ag003G269110, Ag003G269200	El006G309530
OG0000108	Ag005G414040	El006G297420, El006G297320, El006G297490, El006G297230, El002G139550
OG0000109	Ag001G018050, Ag002G147800, Ag005G414580, Ag004G372360, Ag004G337320, Ag006G543970, Ag002G162420, Ag003G261280, Ag004G349840, Ag007G593090, Ag001G059110, Ag005G411230, Ag011G740860, Ag003G294760, Ag002G133440, Ag004G303880, Ag004G330170, Ag006G547030, Ag005G455810, Ag008G716250	El001G071270
OG0000109	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980	El001G049940, El008G368450, El002G127890, El006G320930, El003G188420, El002G122420
OG0000109	Ag003G272950, Ag005G461920, Ag006G532070, Ag002G124770, Ag001G038010, Ag001G026000, Ag002G191910	El001G018880
OG0000110	Ag001G090130	El001G030790
OG0000110	Ag001G090120	El001G030780
OG0000110	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010	El001G030740
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	El001G030750
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	El003G187720, El001G009620, El003G183560
OG0000111	Ag006G502330	El003G187730
OG0000111	Ag008G729450	El007G327170
OG0000112	Ag007G615010, Ag007G615020, Ag007G615160, Ag007G615060, Ag007G615030, Ag007G615150, Ag007G615070, Ag007G615040, Ag007G615080, Ag007G615050, Ag005G405660, Ag007G615240, Ag007G615260, Ag007G615250, Ag007G615270, Ag007G615290, Ag007G615280, Ag006G515440, Ag006G515420, Ag006G515430, Ag006G515410, Ag007G615230, Ag007G617630, Ag006G567340, Ag006G542160, Ag006G567310, Ag006G567380, Ag006G567290, Ag006G545290, Ag007G615000	El007G329910
OG0000113	Ag005G453300	El004G207200
OG0000113	Ag004G396680, Ag007G597560	El004G207120
OG0000113	Ag003G219180	El004G195320, El004G195370, El004G195590, El004G195260, El004G195240, El004G195300
OG0000113	Ag002G118730	El007G357330
OG0000113	Ag002G116610, Ag002G116590	El050G375440
OG0000113	Ag002G138540	El007G365010
OG0000113	Ag002G119250	El007G356050
OG0000113	Ag006G576050	El003G170190
OG0000113	Ag007G655220	El004G212080
OG0000114	Ag006G573480	El004G213600
OG0000114	Ag005G486530, Ag007G607050, Ag007G607020, Ag003G284630	El001G070430
OG0000117	Ag003G251430	El005G253090
OG0000117	Ag002G174540	El001G016830
OG0000119	Ag001G026190	El005G265760, El001G013130, El007G355930
OG0000119	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220	El002G124220
OG0000120	Ag004G373700, Ag001G094910	El004G200260
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	El007G345250, El007G346140, El006G307860
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	El001G077920
OG0000122	Ag008G698890	El007G335680, El008G369240, El007G335590, El007G335600
OG0000123	Ag007G583620	El002G113800
OG0000123	Ag004G318080	El001G013920
OG0000124	Ag003G242000	El005G257490, El006G297400, El006G297570, El004G206660, El006G307600, El001G057860, El004G224160, El007G349980
OG0000124	Ag006G527550, Ag008G658090	El001G050120, El001G069630
OG0000125	Ag005G477020	El005G244660, El001G080460
OG0000125	Ag008G713670	El001G057350
OG0000125	Ag007G595180	El006G304720
OG0000127	Ag005G477940	El005G244320
OG0000127	Ag005G477990, Ag005G477980, Ag004G313220, Ag004G313200, Ag004G313180, Ag004G313170, Ag007G620490, Ag004G313150, Ag004G313210, Ag004G313190, Ag004G313250, Ag004G313260, Ag002G187590	El001G001730
OG0000128	Ag006G549480	El003G173140
OG0000128	Ag007G642840	El002G130470
OG0000130	Ag003G260700	El002G120060
OG0000133	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500, Ag004G391190, Ag003G285410, Ag001G074650	El005G265050
OG0000133	Ag004G387440	El001G044680
OG0000135	Ag007G610770	El007G346110
OG0000136	Ag004G358500	El004G215950
OG0000137	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700	El002G124820, El003G184880
OG0000137	Ag007G652700	El007G356470
OG0000140	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830	El007G332560, El007G332570, El007G332540
OG0000140	Ag001G080460, Ag008G707780	El007G332010, El007G332000
OG0000142	Ag007G594160, Ag007G594220	El006G303740, El006G303770
OG0000142	Ag007G594490, Ag007G594500, Ag007G594520, Ag007G594510	El006G303720
OG0000142	Ag007G594470	El006G303780
OG0000142	Ag004G307050	El006G303760, El006G303820
OG0000143	Ag002G139360, Ag004G386730, Ag006G550470, Ag006G544340, Ag008G696370, Ag008G664370, Ag003G296490, Ag002G125700, Ag004G335150, Ag007G595410, Ag005G446430, Ag007G622320, Ag002G185720, Ag007G650320, Ag007G656480, Ag001G028650, Ag006G539110, Ag007G647680, Ag006G571550, Ag002G111160	El003G186130
OG0000144	Ag005G434100	El006G293730
OG0000145	Ag006G535320, Ag004G370190	El001G043740, El002G114960
OG0000145	Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340	El001G032500
OG0000146	Ag008G695350	El007G336850
OG0000146	Ag008G695470, Ag008G695460	El007G336810
OG0000146	Ag008G695380	El007G336820
OG0000146	Ag005G465100	El007G336910
OG0000147	Ag005G408700	El005G277400
OG0000147	Ag003G261030	El003G152940
OG0000147	Ag008G702420	El007G334350
OG0000147	Ag003G209560	El004G233720
OG0000149	Ag006G570510, Ag006G570440, Ag006G570460	El001G015560
OG0000150	Ag008G711330, Ag002G133360	El006G312860
OG0000150	Ag001G092600	El006G312870, El001G014430
OG0000150	Ag004G332580	El001G011280
OG0000151	Ag008G685810	El007G339860
OG0000151	Ag003G253050	El003G156070
OG0000151	Ag005G478640	El005G243780
OG0000151	Ag005G417580	El005G273960
OG0000151	Ag008G698280	El007G336000
OG0000151	Ag004G398050	El004G194600
OG0000152	Ag003G223230, Ag002G132980	El006G310290
OG0000154	Ag002G177350	El006G314290, El006G314350
OG0000154	Ag005G477170	El005G244620
OG0000154	Ag006G507750, Ag006G508580, Ag006G493020	El004G209500
OG0000155	Ag006G564870	El004G214530, El004G213730, El004G214590, El003G164690
OG0000155	Ag005G471860	El005G247790
OG0000155	Ag002G134830, Ag002G134820, Ag002G138260	El003G164700
OG0000156	Ag002G201840, Ag002G201930	El006G282870
OG0000156	Ag002G201900	El006G282860
OG0000156	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880	El002G121590, El006G282830
OG0000156	Ag001G093780	El001G032920
OG0000157	Ag004G346210, Ag003G229150, Ag004G369290	El003G192550, El003G192860
OG0000158	Ag005G476710	El003G184160, El003G176020, El005G265720, El005G267190, El001G001370, El001G007170, El001G007140, El006G298850, El001G047920, El001G050860
OG0000160	Ag005G447810	El007G347580, El004G202080, El002G123360, El007G360520
OG0000162	Ag001G075290	El003G183220
OG0000162	Ag001G092930	El005G268830
OG0000162	Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570	El002G134880, El001G032190
OG0000162	Ag008G712070	El007G330500
OG0000162	Ag002G200850, Ag002G200800	El006G283560, El006G283550
OG0000164	Ag005G487250, Ag003G293940	El003G143310
OG0000164	Ag003G293780, Ag004G322100, Ag003G293750, Ag003G293810	El001G048350
OG0000164	Ag003G293740, Ag003G293690, Ag003G293790	El003G143320
OG0000167	Ag006G570230	El003G166330
OG0000167	Ag006G570340	El003G186190, El007G348790
OG0000167	Ag006G570320	El003G166350
OG0000167	Ag006G570400, Ag006G570410	El003G186120
OG0000169	Ag003G231880	El006G316110
OG0000171	Ag008G670170	El006G280730
OG0000171	Ag004G345150	El002G108810
OG0000171	Ag004G371850	El004G201030
OG0000171	Ag007G614710	El001G066810
OG0000172	Ag002G179650, Ag001G097540, Ag001G097520	El001G024870, El001G024880
OG0000172	Ag001G097470	El001G034720
OG0000172	Ag003G233750, Ag006G550460	El001G030560
OG0000175	Ag001G067410	El001G021550
OG0000175	Ag003G287000	El005G275350
OG0000176	Ag007G580300, Ag005G449360	El002G117480
OG0000177	Ag001G004480, Ag005G418600	El006G311500
OG0000178	Ag006G510570	El001G013310
OG0000178	Ag006G515970	El004G208000
OG0000181	Ag003G251860	El004G221180, El006G310720, El001G037070, El007G362960, El001G081130, El003G164550, El006G294400, El001G016930, El002G127660, El007G351590, El002G119200, El007G343640, El003G185610, El007G324810
OG0000184	Ag001G075930	El002G135760
OG0000185	Ag002G183070	El001G013560
OG0000185	Ag005G448260	El007G338660
OG0000187	Ag003G270250, Ag002G167770	El003G151270
OG0000187	Ag003G270560	El003G151220
OG0000187	Ag005G474090, Ag005G474080	El005G246530
OG0000189	Ag003G293390	El004G229250
OG0000189	Ag003G276230	El003G144190, El001G061400, El001G061930
OG0000189	Ag003G260770, Ag003G290210	El001G047730
OG0000190	Ag002G140140	El001G005540
OG0000190	Ag002G128880	El001G005520
OG0000190	Ag002G128820	El001G005530
OG0000190	Ag002G140040, Ag002G139950	El001G005460, El001G005500, El001G005510, El005G265350
OG0000191	Ag005G457490, Ag005G457480	El005G274730, El005G274430, El005G274440, El005G274460, El005G274720
OG0000192	Ag004G336350	El002G105680
OG0000192	Ag008G727670	El002G105660
OG0000192	Ag004G336320	El002G105570
OG0000192	Ag004G336340, Ag004G336360, Ag004G336330	El002G105610, El002G105620, El002G105690
OG0000193	Ag004G342780	El005G259130, El002G132160, El002G132130, El005G259240
OG0000195	Ag001G082920	El006G288320, El001G028150
OG0000195	Ag007G646090	El003G186220, El004G215670
OG0000196	Ag004G304250	El002G116380
OG0000197	Ag004G326930	El005G275730, El005G275770, El005G276170
OG0000201	Ag005G439850	El005G260650, El005G260640
OG0000201	Ag005G439760	El005G260820
OG0000201	Ag005G439610	El005G260710
OG0000202	Ag003G215780, Ag005G457800	El005G254420
OG0000203	Ag006G519280, Ag005G485370, Ag005G485380	El005G239330, El005G239300, El005G239360, El005G239320, El005G239280, El007G349670
OG0000203	Ag004G387230, Ag004G392530, Ag005G485880	El005G238860
OG0000204	Ag005G471780, Ag005G471790	El005G243840, El005G241010, El001G005350
OG0000204	Ag003G216930, Ag003G216910, Ag003G216390, Ag003G216940, Ag003G216920, Ag003G216970, Ag003G216980	El002G082910, El002G082880
OG0000204	Ag005G437650	El005G261570
OG0000205	Ag005G439370	El005G273080, El005G273070, El006G312030, El003G178380, El003G178560, El003G178400, El003G178460
OG0000205	Ag001G088760	El002G129530, El002G129560, El002G129650, El002G129890, El002G129930, El002G129520, El002G129550, El002G129510
OG0000208	Ag003G275160	El001G042580
OG0000208	Ag008G723930, Ag003G294620, Ag003G284900, Ag003G294610	El006G317590, El003G150670
OG0000208	Ag003G275170, Ag003G294530, Ag003G294570, Ag003G294700, Ag003G294540	El007G341810
OG0000209	Ag005G461540	El004G207340
