Orthogroup	Alyssum_gmelinii	Cochlearia_excelsa
OG0000029	Ag006G532500, Ag004G401820	g13419
OG0000029	Ag002G168100, Ag004G354120	g46975
OG0000029	Ag005G441680, Ag006G519730	g4324, g3304, g41853, g35534, g53490, g11876, g35797, g48266, g6083
OG0000029	Ag001G067390	g41968
OG0000029	Ag002G186330, Ag006G491400	g45349
OG0000029	Ag003G258710	g1672
OG0000030	Ag008G659630, Ag006G491030	g31187
OG0000030	Ag004G349980, Ag003G277490	g37182
OG0000030	Ag008G670610, Ag002G201000, Ag003G292120	g14858
OG0000030	Ag007G611240	g30544, g8826
OG0000030	Ag002G167860, Ag004G319940	g8825
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740	g43791, g44909, g43774, g43790, g5736
OG0000031	Ag001G078560, Ag004G386130	g40881, g40949, g40859, g40857, g40951, g6403, g40794
OG0000031	Ag004G401670	g40751, g40888, g40752
OG0000033	Ag006G547230, Ag006G549390	g23911
OG0000033	Ag006G564890, Ag003G210460	g24014
OG0000033	Ag006G547380, Ag006G549570	g23912
OG0000033	Ag002G130680, Ag002G130760	g40468
OG0000034	Ag004G372350	g34448
OG0000034	Ag007G621770, Ag002G147590, Ag004G329060, Ag002G126640, Ag006G537230, Ag001G041740, Ag004G365370, Ag004G364780	g15118, g44910
OG0000034	Ag008G692130, Ag002G161700	g42218, g42234
OG0000034	Ag006G548030, Ag002G114610, Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310	g15664, g3441, g9297
OG0000034	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930	g15120
OG0000035	Ag007G589380	g51285
OG0000035	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040	g39852, g39841
OG0000035	Ag007G589990	g51286, g36519
OG0000035	Ag006G499210	g3814
OG0000035	Ag007G590010	g29294, g52064, g52069, g52073
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	g3196
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	g23185, g33000, g49100, g41178, g43966
OG0000037	Ag001G080220	g50424, g6550, g19935
OG0000037	Ag007G646570	g10538
OG0000037	Ag001G053350	g5625
OG0000037	Ag002G136000	g11495
OG0000038	Ag003G279120	g49458
OG0000038	Ag001G083350	g41272
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	g44982, g44984, g44985, g7414
OG0000039	Ag005G448620, Ag004G337020	g4633
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	g38367, g38376, g38372, g38380
OG0000040	Ag005G483190	g44631
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	g13193, g13194, g13797, g13799
OG0000041	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960	g36073
OG0000044	Ag001G054960	g36166, g25959
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570	g7244, g39351, g17718, g41293
OG0000045	Ag002G197550, Ag008G703200	g42618
OG0000046	Ag006G575430	g17485
OG0000046	Ag007G619200, Ag007G619210	g18113
OG0000046	Ag002G129690, Ag002G129740	g18042
OG0000047	Ag008G717960, Ag004G337790, Ag001G100560, Ag002G180790	g25473, g27561, g41540, g28657, g32593, g13831, g36935, g2942, g14554, g51362
OG0000047	Ag007G643270	g37081, g690, g27871
OG0000047	Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180	g17624, g3384, g3851
OG0000047	Ag007G585730, Ag007G603890	g28468, g43700, g14016, g18660, g44830, g41217, g37480, g4319, g45363, g51127, g3853, g11964
OG0000047	Ag006G525770	g28467
OG0000049	Ag003G236810	g43788, g43772, g13437, g45167, g147, g24813, g7666, g51916, g39805, g10790, g44228, g1493, g2502, g53420, g10267
OG0000050	Ag007G641850	g44326, g2819, g44187
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	g37450
OG0000052	Ag002G194440, Ag002G194380	g53934
OG0000053	Ag006G525960	g48001, g18941, g54246, g1179, g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139
OG0000055	Ag004G334400, Ag004G379910	g40901
OG0000055	Ag004G377140	g40991
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	g44205
OG0000057	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510	g48153, g33319, g33329, g48170, g15766, g33340
OG0000057	Ag002G195030	g23114
OG0000057	Ag005G459920	g700, g15973, g17828
OG0000057	Ag003G289060	g27361, g5648
OG0000058	Ag006G516660	g50156, g182, g51073, g5874, g10583
OG0000059	Ag004G391520	g14202
OG0000059	Ag006G516680, Ag001G020010, Ag003G215300, Ag004G373020	g24632
OG0000059	Ag002G103440, Ag002G122810	g42622
OG0000063	Ag004G307350	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647
OG0000066	Ag003G293050, Ag003G225480, Ag003G225470, Ag003G293060, Ag007G606120	g5393
OG0000066	Ag007G604700	g45535, g29501, g9719
OG0000066	Ag002G125900	g156
OG0000067	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011
OG0000069	Ag006G532130	g10672, g13435, g10819, g37685, g16623, g14359, g43051, g31936, g11177, g40367, g37837, g24092, g24404, g53393
OG0000069	Ag003G208920	g41608
OG0000069	Ag001G019730	g41469
OG0000069	Ag003G258860	g13794, g4275, g25547, g38079
OG0000070	Ag001G027030	g6384, g33081, g33074, g4181, g43402, g6385, g42779, g53235
OG0000072	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	g33477, g30198
OG0000073	Ag002G118960, Ag002G118950	g10944
OG0000073	Ag002G138580, Ag002G137520	g10942
OG0000073	Ag002G117280	g18482
OG0000073	Ag002G116910	g54289
OG0000074	Ag006G514000	g27549, g27550
OG0000075	Ag004G313480, Ag004G313520	g36278
OG0000075	Ag002G191710, Ag002G191700, Ag002G191680	g49834, g49840, g49829
OG0000076	Ag001G069290, Ag001G069280	g36515
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	g10535
OG0000077	Ag002G148310	g25975, g22716
OG0000078	Ag002G136430	g32727, g44450, g24957
OG0000079	Ag001G089200	g2000
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	g18915
OG0000080	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	g41322
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	g50013, g23668
OG0000081	Ag007G593730	g6399
OG0000081	Ag007G628420	g18040
OG0000081	Ag005G451860, Ag005G452050	g13268
OG0000082	Ag004G385590	g20916, g29940, g2519, g54167, g10536, g16647
OG0000082	Ag004G351970	g17872, g19303
OG0000082	Ag007G632630, Ag005G475310	g53006, g31724, g7128, g51169
OG0000082	Ag005G428520	g11611
OG0000082	Ag004G340020	g7127, g18239
OG0000084	Ag008G724370	g51024
OG0000087	Ag008G723440	g9991
OG0000087	Ag007G609260	g5316
OG0000087	Ag002G127940	g40485, g11055
OG0000087	Ag006G562620	g17371, g24042
OG0000087	Ag003G224140	g46232
OG0000088	Ag007G581970	g19510, g40516, g11030
OG0000088	Ag008G717820	g28933, g28934
OG0000089	Ag007G603320	g29544
OG0000089	Ag005G453100, Ag001G021310	g13323, g11989
OG0000089	Ag002G193060	g52029
OG0000090	Ag004G333760	g50123
OG0000090	Ag003G223190	g46242
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930, Ag002G185460	g10675
OG0000091	Ag008G666220	g3977
OG0000093	Ag001G087540	g2360
OG0000093	Ag001G083700, Ag001G087310	g18958
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360, Ag004G329170, Ag004G329010, Ag004G329150, Ag004G329020	g1538, g1535
OG0000096	Ag002G102560	g18473
OG0000096	Ag004G380830	g44008, g44009, g44007
OG0000097	Ag002G130220, Ag002G132530, Ag002G129480	g45186, g45201
OG0000097	Ag002G130340, Ag002G130310	g45182
OG0000097	Ag002G128740, Ag002G128960	g40477, g40479, g40476, g40480, g1561
OG0000099	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750	g24889
OG0000099	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410	g43603
OG0000099	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840	g46874, g4737
OG0000100	Ag002G132470	g17260, g37826
OG0000100	Ag008G659710	g49149, g32974
OG0000101	Ag004G394110	g40795
OG0000102	Ag008G662610	g4524
OG0000102	Ag003G274160	g40702, g34414
OG0000104	Ag004G307220	g31072
OG0000104	Ag007G594880, Ag007G594830	g51118
OG0000104	Ag005G441940	g6675
OG0000104	Ag001G010240	g54236
OG0000106	Ag004G383320	g6393
OG0000107	Ag005G446760	g11936
OG0000107	Ag005G446720	g6757
OG0000107	Ag003G213880	g17783, g17676, g17802, g13363, g6693
OG0000108	Ag003G269110, Ag003G269200	g11756
OG0000108	Ag008G722170, Ag007G609500, Ag002G145390	g41770
OG0000109	Ag002G124770	g43843
OG0000110	Ag001G090130	g2009
OG0000110	Ag007G655930	g18900
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	g50627
OG0000110	Ag001G090290, Ag001G090300, Ag001G090310	g2010
OG0000113	Ag003G210260	g43820
OG0000113	Ag002G118730, Ag002G116610, Ag002G116590, Ag002G138540, Ag002G119250	g54287
OG0000113	Ag006G576050	g17560
OG0000113	Ag004G394970	g14463
OG0000114	Ag006G573480	g17433
OG0000117	Ag006G549560	g16020, g11688, g26091, g32213, g25861, g45402, g46692, g6971, g3396, g51983, g16507, g4175, g24845, g25746
OG0000117	Ag003G251430	g14426
OG0000117	Ag006G517320	g3736, g53309, g11486, g4476, g24837
OG0000117	Ag002G174540	g3226
OG0000119	Ag005G466170, Ag003G240390, Ag005G436380, Ag001G069920, Ag004G325160	g52379
OG0000119	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220	g50178
OG0000120	Ag004G373700, Ag001G094910	g40996
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	g6424
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	g32414, g29781
OG0000122	Ag008G698530	g1066
OG0000123	Ag001G067540	g25911, g44233
OG0000123	Ag004G318540, Ag006G573850	g25909, g25905, g25906
OG0000123	Ag004G318080	g25904
OG0000125	Ag008G713670	g41348
OG0000125	Ag007G595180	g39998
OG0000126	Ag008G691850	g35446
OG0000127	Ag006G492220	g2965
OG0000127	Ag004G313200	g49766
OG0000128	Ag003G264610, Ag003G264920	g5236, g5604, g3371, g22741
OG0000130	Ag003G260700	g34628
OG0000131	Ag003G256190	g15992
OG0000133	Ag001G074650	g43640, g35382, g42719
OG0000133	Ag004G387440	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132
OG0000135	Ag007G610770	g51256, g14066, g27772
OG0000138	Ag005G453140, Ag008G725320	g46708
OG0000139	Ag002G105400	g15900, g14666, g15914
OG0000139	Ag002G170320	g25175
OG0000140	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830	g28714
OG0000140	Ag001G080460, Ag008G707780	g1252, g28702, g28701
OG0000140	Ag001G052690	g11417, g11414
OG0000142	Ag007G594470	g37876, g37875
OG0000144	Ag005G434100	g41746
OG0000145	Ag002G117940, Ag003G273300	g47338, g44486, g14472, g33147, g21632, g42257, g21852, g21844, g36809, g10312
OG0000145	Ag004G383900	g27099, g45420, g46953
OG0000145	Ag003G230540, Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340	g45298
OG0000147	Ag005G408700	g5985
OG0000147	Ag003G261030	g23426
OG0000147	Ag008G702420	g1105
OG0000147	Ag003G209560	g46563
OG0000147	Ag001G041550	g17885
OG0000149	Ag006G570510, Ag006G570440, Ag006G570460	g2887
OG0000149	Ag008G709340	g1676, g28755, g28754
OG0000149	Ag008G709420	g1282
OG0000150	Ag004G332580	g11441, g11440
OG0000151	Ag008G685810	g28415
OG0000151	Ag003G253050	g17072
OG0000151	Ag005G478640	g7540
OG0000151	Ag005G417580	g14078
OG0000151	Ag008G698280	g28546
OG0000154	Ag004G324480	g27332
OG0000154	Ag005G471090	g12277
OG0000154	Ag005G477170	g7492
OG0000154	Ag006G493360	g54073, g45315, g5784
OG0000155	Ag006G564870	g42046, g47372
OG0000155	Ag006G564750	g45159
OG0000155	Ag005G471860	g7340
OG0000156	Ag002G201840	g2799
OG0000156	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880	g52256
OG0000157	Ag006G537650, Ag002G142330, Ag002G143730, Ag003G228360	g1395
OG0000157	Ag004G346210, Ag003G229150, Ag004G369290	g12640, g6146, g50762, g35294
OG0000158	Ag005G454650	g51427
OG0000160	Ag005G472280, Ag008G719090	g50701, g4120, g45147, g41011, g27084, g7365, g52677, g14499, g43531, g43528, g43537
OG0000160	Ag007G632320	g34289
OG0000160	Ag005G447810	g36270, g12262, g7846, g25656, g7022, g9694, g49667
OG0000161	Ag008G725260	g392, g9880
OG0000161	Ag007G588370	g24222, g24219
OG0000161	Ag007G588360	g45103, g45101
OG0000161	Ag007G601560, Ag007G601540, Ag007G601790	g45131
OG0000162	Ag001G092940	g1914
OG0000162	Ag008G712070	g26821
OG0000164	Ag006G571470, Ag006G571400, Ag003G293830, Ag006G571310	g14196, g38017, g38015, g38013, g38019, g32493
OG0000164	Ag003G293780, Ag004G322100, Ag003G293750, Ag003G293810	g22735
OG0000165	Ag004G356120, Ag007G623920, Ag006G522660, Ag001G100400, Ag006G498640, Ag007G624740	g24260
OG0000165	Ag005G463710	g36320
OG0000165	Ag001G093340, Ag003G208890	g41606, g13909
OG0000167	Ag006G570230	g24121
OG0000167	Ag006G570340	g24122
OG0000167	Ag006G570400, Ag006G570410	g17408
OG0000171	Ag004G345150	g45857
OG0000171	Ag004G371850	g5177
OG0000171	Ag007G614710	g29297
OG0000175	Ag005G414670	g6044, g13998
OG0000175	Ag003G287000	g18237
OG0000175	Ag004G333600	g31900
OG0000175	Ag003G223500	g44421
OG0000175	Ag005G417590	g23036
OG0000176	Ag007G580300, Ag005G449360	g27714
OG0000178	Ag008G728690, Ag002G204370	g26273
OG0000178	Ag006G510570	g54041, g13306, g2114, g43527, g43534, g43530, g38190
OG0000178	Ag006G515970	g9695, g823, g53495
OG0000178	Ag002G116410	g1397, g32976, g16363, g43554, g12264, g7844, g50196, g14780, g46746, g53399
OG0000180	Ag003G207330	g34299
OG0000180	Ag003G207360, Ag003G218350	g34297
OG0000181	Ag003G251860	g16615
OG0000184	Ag001G075930	g35558, g35553, g3065, g43650, g15959, g53597, g36626, g53120, g22863, g17905, g44091, g17915, g2401, g5948, g51641, g10990, g27914, g52236, g53121, g53878, g53859, g35463, g48936, g32701, g50735, g44198, g25628
OG0000184	Ag006G520200	g25240, g11530, g35054, g44991
OG0000185	Ag002G183070	g35118, g49472, g24428
OG0000186	Ag004G388160	g16332, g41273, g35916, g41907
OG0000187	Ag003G270350, Ag003G270310, Ag003G282640, Ag003G270250, Ag002G167770	g35037
OG0000190	Ag002G140140	g40442
OG0000190	Ag002G140040, Ag002G139950	g45169, g45158, g45173
OG0000191	Ag005G457150	g6928
OG0000192	Ag008G727670	g50732, g27488
OG0000195	Ag008G716390	g28899
OG0000195	Ag002G189340	g11258, g38152, g2056
OG0000195	Ag007G646090	g18117
OG0000196	Ag004G304260, Ag004G304230	g40674
OG0000196	Ag004G304250	g27686
OG0000196	Ag004G304270, Ag004G304220, Ag004G304240	g40675
OG0000197	Ag002G146040, Ag006G538160, Ag006G565760, Ag007G581790, Ag002G192030, Ag006G565850, Ag004G326930	g18526, g7663
OG0000200	Ag004G373550, Ag004G374020, Ag004G373600, Ag004G373590, Ag004G374070, Ag004G377440, Ag001G035370, Ag005G410100, Ag006G550880, Ag006G550560, Ag001G017960, Ag005G450770, Ag005G450790, Ag005G450780, Ag005G450760, Ag004G304970, Ag005G437560	g49523
OG0000201	Ag005G439850	g6534, g11758
OG0000201	Ag005G439680, Ag005G439760, Ag005G439610, Ag005G439690, Ag005G439740, Ag005G439700	g11846
OG0000204	Ag005G437650	g11805
OG0000205	Ag005G439370	g50750, g32507
OG0000205	Ag001G088760	g53988
OG0000208	Ag003G275160	g18133
OG0000208	Ag008G723930, Ag003G294620, Ag003G284900, Ag003G294610	g6217, g6207
OG0000209	Ag004G399460, Ag004G398960	g40827
OG0000209	Ag004G312510, Ag004G312520, Ag004G312530	g32745
OG0000209	Ag004G312540	g32744
OG0000210	Ag006G499160, Ag006G499150, Ag006G499180	g28290
OG0000213	Ag003G236750, Ag003G236500, Ag003G236780, Ag003G236530	g46059, g46056
OG0000213	Ag003G288980	g28220, g50932, g50935, g50928, g50931, g38464
OG0000214	Ag007G604980	g36825, g36830
OG0000214	Ag006G510950, Ag003G222050	g1023, g25454, g25477
OG0000216	Ag006G554100, Ag006G554110	g53736
OG0000218	Ag004G322150	g31564, g49926
OG0000218	Ag008G689600, Ag002G177290	g10793
OG0000219	Ag004G357760	g13335, g45479, g28368
OG0000219	Ag007G593670	g46873
OG0000219	Ag006G565670	g311
OG0000219	Ag008G724120	g18634
OG0000220	Ag002G179690	g14029
OG0000221	Ag004G396450	g52806, g22946, g6183, g17356, g43665, g43500, g17351, g17354, g41390, g53962, g35050, g22945, g51855, g53388, g43499, g33429, g175, g43666, g35582, g53304, g15934, g5126, g32276, g26607, g6275, g12850, g53575, g26608, g6292, g4337, g36877, g3974, g3981
OG0000224	Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450	g46370
OG0000224	Ag003G270550, Ag004G383650	g40852
OG0000226	Ag001G000690, Ag004G337830, Ag005G429260, Ag005G429270, Ag001G000670	g11864
OG0000226	Ag001G000200	g35799
OG0000228	Ag004G341460	g32057
OG0000228	Ag004G344170	g44676, g44668, g44669, g44677
OG0000230	Ag003G223650, Ag003G223730	g44430
OG0000231	Ag001G058920	g46733
OG0000234	Ag001G076970	g19127
OG0000234	Ag001G076940	g19128
OG0000234	Ag001G076930	g2235
OG0000234	Ag007G612020	g29346
OG0000235	Ag005G452990, Ag005G453010, Ag005G460460	g27763, g2101, g39564
OG0000235	Ag001G090250, Ag003G282910, Ag003G268030, Ag005G460480, Ag005G460490, Ag004G378350	g6133, g39573, g39563, g2100, g6386, g39569, g6136, g6130
OG0000238	Ag005G407390	g48923, g31881
OG0000238	Ag001G044490, Ag001G046770	g7032, g2311
OG0000239	Ag001G025650	g39775
OG0000239	Ag001G018250, Ag001G019440, Ag001G019330, Ag001G019480, Ag001G019400, Ag001G019290, Ag001G019190, Ag001G019310, Ag001G019240, Ag001G019210, Ag001G019450, Ag001G019270, Ag001G018920, Ag001G017170, Ag001G017270, Ag002G107820, Ag002G111380, Ag001G005190	g39783
OG0000240	Ag007G599880	g26214, g10490, g22460
OG0000240	Ag001G089960	g11360, g13978
OG0000242	Ag005G419410	g14258
