Orthogroup	Alyssum_gmelinii	Arabis_alpina
OG0000024	Ag002G157990, Ag002G117810, Ag003G279100	Aa_G1029040.h1.t1, Aa_G1084040.h1.t1, Aa_G1015730.h1.t1, Aa_G717720.h1.t1, Aa_G310360.h1.t1, Aa_G209290.h1.t1, Aa_G355270.h1.t1, Aa_G852800.h1.t1, Aa_G702600.h1.t1, Aa_G707250.h1.t1, Aa_G125690.h1.t1, Aa_G790400.h1.t1, Aa_G655520.h1.t1, Aa_G254490.h1.t1, Aa_G827620.h1.t1, Aa_G166100.h1.t1, Aa_G24870.h1.t1, Aa_G117090.h1.t1, Aa_G328120.h1.t1, Aa_G143020.h1.t1, Aa_G82790.h1.t1, Aa_G77080.h1.t1, Aa_G369590.h1.t1, Aa_G214670.h1.t1, Aa_G398820.h1.t1, Aa_G315750.h1.t1, Aa_G171760.h1.t1, Aa_G415950.h1.t1, Aa_G547320.h1.t1, Aa_G762360.h1.t1, Aa_G28910.h1.t1, Aa_G62470.h1.t1, Aa_G618600.h1.t1, Aa_G251930.h1.t1, Aa_G490730.h1.t1, Aa_G355240.h1.t1, Aa_G321520.h1.t1
OG0000024	Ag003G257540	Aa_G1071170.h1.t1, Aa_G1070950.h1.t1, Aa_G504310.h1.t1, Aa_G1065450.h1.t1, Aa_G1065450.h2.t1, Aa_G1036850.h1.t1, Aa_G1060830.h1.t1, Aa_G1060830.h2.t1, Aa_G1022550.h1.t1, Aa_G592290.h1.t1, Aa_G1027940.h1.t1, Aa_G1057970.h1.t1, Aa_G1057970.h2.t1, Aa_G382890.h1.t1, Aa_G568240.h1.t1, Aa_G946730.h1.t1, Aa_G1031130.h1.t1, Aa_G989550.h1.t1, Aa_G354530.h1.t1, Aa_G1075240.h1.t1, Aa_G1090860.h1.t1, Aa_G907570.h1.t1, Aa_G639840.h1.t1, Aa_G1073480.h1.t1, Aa_G60160.h1.t1, Aa_G1059840.h1.t1, Aa_G128260.h1.t1, Aa_G200670.h1.t1, Aa_G60020.h1.t1, Aa_G689840.h1.t1, Aa_G178780.h1.t1, Aa_G489570.h1.t1, Aa_G6130.h1.t1, Aa_G415170.h1.t1, Aa_G655510.h1.t1, Aa_G440380.h1.t1, Aa_G530180.h1.t1, Aa_G398060.h1.t1, Aa_G319930.h1.t1, Aa_G218430.h1.t1, Aa_G705330.h1.t1, Aa_G600110.h1.t1, Aa_G3420.h1.t1, Aa_G3750.h1.t1, Aa_G305740.h1.t1, Aa_G362770.h1.t1, Aa_G70710.h1.t1, Aa_G91930.h1.t1, Aa_G592300.h1.t1, Aa_G707390.h1.t1
OG0000025	Ag003G230310	Aa_G123400.h1.t1, Aa_G71570.h1.t1, Aa_G123410.h1.t1
OG0000026	Ag013G741580, Ag002G192470	Aa_G387540.h1.t1
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	Aa_G988890.h1.t1, Aa_G637980.h1.t1, Aa_G288600.h1.t1
OG0000029	Ag002G168100, Ag004G354120	Aa_G1055220.h1.t1, Aa_G1055220.h2.t1, Aa_G205300.h1.t1
OG0000029	Ag002G175390, Ag005G441680, Ag006G519730, Ag001G067390	Aa_G154360.h1.t1
OG0000029	Ag002G186330, Ag006G491400	Aa_G342490.h1.t1
OG0000030	Ag008G670610	Aa_G76670.h1.t1
OG0000030	Ag007G608580	Aa_G528960.h1.t1
OG0000030	Ag005G416870	Aa_G569810.h1.t1
OG0000030	Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020	Aa_G361630.h1.t1, Aa_G61910.h1.t1
OG0000030	Ag008G691940, Ag005G407260, Ag002G169900, Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430, Ag004G380470	Aa_G347570.h1.t1, Aa_G618610.h1.t1, Aa_G125500.h1.t1
OG0000030	Ag004G398140, Ag003G263120	Aa_G963460.h1.t1, Aa_G338960.h1.t1
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740, Ag003G292140	Aa_G500830.h1.t1
OG0000031	Ag001G078560, Ag004G386130	Aa_G830960.h1.t1, Aa_G357190.h1.t1, Aa_G22660.h1.t1
OG0000033	Ag006G547230, Ag006G549390	Aa_G619140.h1.t1, Aa_G782810.h1.t1
OG0000033	Ag006G543630, Ag006G543880	Aa_G191730.h1.t1
OG0000033	Ag006G564890, Ag003G210460	Aa_G58920.h1.t1
OG0000033	Ag006G547250, Ag006G549400	Aa_G474070.h1.t1
OG0000033	Ag006G547380, Ag006G549570	Aa_G191690.h1.t1
OG0000035	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040	Aa_G584300.h1.t1
OG0000035	Ag005G463540, Ag005G463520, Ag005G463530	Aa_G570500.h1.t1, Aa_G7360.h1.t1, Aa_G393810.h1.t1, Aa_G274300.h1.t1
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	Aa_G154560.h1.t1
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	Aa_G444220.h1.t1
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	Aa_G525570.h1.t1
OG0000038	Ag001G003660	Aa_G470970.h1.t1
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	Aa_G344370.h1.t1
OG0000038	Ag003G279120	Aa_G652770.h1.t1
OG0000038	Ag004G335820	Aa_G973150.h2.t1, Aa_G973150.h1.t1
OG0000038	Ag005G471060	Aa_G572080.h1.t1, Aa_G136980.h1.t1
OG0000038	Ag004G348120	Aa_G73290.h1.t1
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	Aa_G136990.h1.t1
OG0000040	Ag007G626240, Ag005G483200, Ag002G109870	Aa_G152820.h1.t1
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	Aa_G522160.h1.t1, Aa_G425920.h1.t1, Aa_G89020.h1.t1
OG0000046	Ag007G619200, Ag007G619210	Aa_G439600.h1.t1, Aa_G408550.h1.t1
OG0000046	Ag002G197360	Aa_G369740.h1.t1
OG0000046	Ag002G129690, Ag002G129740, Ag002G129710	Aa_G190950.h1.t1, Aa_G756440.h1.t1
OG0000047	Ag007G585730, Ag007G603890, Ag006G525770	Aa_G159200.h1.t1
OG0000048	Ag005G486480	Aa_G438190.h1.t1, Aa_G339690.h1.t1, Aa_G339750.h1.t1, Aa_G759390.h1.t1
OG0000048	Ag005G486490	Aa_G759400.h1.t1, Aa_G339700.h1.t1, Aa_G438200.h1.t1
OG0000050	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	Aa_G288270.h1.t1, Aa_G8040.h1.t1
OG0000050	Ag001G062310	Aa_G417500.h1.t1
OG0000052	Ag004G301370, Ag004G301320	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1
OG0000052	Ag002G195160, Ag002G194240, Ag002G194190	Aa_G399340.h1.t1
OG0000052	Ag002G194060	Aa_G599340.h1.t1
OG0000055	Ag004G334400, Ag004G379910	Aa_G643840.h1.t1, Aa_G487430.h1.t1, Aa_G594110.h1.t1, Aa_G488310.h1.t1, Aa_G594100.h1.t1, Aa_G643830.h1.t1
OG0000056	Ag001G076880, Ag002G181330	Aa_G652160.h1.t1, Aa_G44560.h1.t1
OG0000056	Ag008G680730	Aa_G531310.h1.t1, Aa_G227280.h1.t1, Aa_G160160.h1.t1
OG0000056	Ag002G121000, Ag006G542770	Aa_G505780.h1.t1, Aa_G563840.h1.t1, Aa_G243550.h1.t1
OG0000057	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510	Aa_G253800.h1.t1
OG0000057	Ag005G459920	Aa_G659190.h1.t1
OG0000057	Ag005G462800, Ag005G462790	Aa_G32130.h1.t1
OG0000058	Ag006G516660	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1
OG0000063	Ag008G698780	Aa_G375890.h5.t1
OG0000063	Ag007G595160, Ag002G172730	Aa_G318860.h6.t1
OG0000063	Ag007G586340	Aa_G448310.h6.t1
OG0000063	Ag001G073100	Aa_G448310.h4.t1
OG0000063	Ag004G307570	Aa_G367650.h3.t1
OG0000063	Ag004G307350	Aa_G197130.h3.t1
OG0000063	Ag002G119010	Aa_G550780.h7.t1
OG0000063	Ag008G710470	Aa_G257700.h6.t1
OG0000064	Ag003G295980	Aa_G137810.h1.t1
OG0000066	Ag003G225470	Aa_G503390.h2.t1, Aa_G64790.h4.t1, Aa_G503380.h1.t1, Aa_G64790.h1.t1, Aa_G503380.h3.t1, Aa_G64790.h3.t1, Aa_G64790.h2.t1, Aa_G503390.h3.t1, Aa_G432280.h2.t1, Aa_G432280.h4.t1, Aa_G432280.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G503390.h4.t1, Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1, Aa_G486090.h1.t1
OG0000066	Ag002G125900	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820	Aa_G389030.h1.t1, Aa_G484940.h1.t1
OG0000067	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1
OG0000067	Ag007G607200, Ag007G607230	Aa_G2360.h1.t1, Aa_G236530.h1.t1, Aa_G10890.h1.t1
OG0000067	Ag003G227540	Aa_G602850.h1.t1, Aa_G602860.h1.t1, Aa_G176470.h1.t1
OG0000068	Ag002G158600	Aa_G275180.h1.t1
OG0000068	Ag006G534800	Aa_G54410.h1.t1
OG0000069	Ag003G258860	Aa_G108990.h1.t1
OG0000071	Ag004G339910	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1
OG0000071	Ag002G109160, Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270, Ag002G107710, Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400	Aa_G1008250.h1.t1, Aa_G1008250.h2.t1
OG0000073	Ag006G576040	Aa_G295890.h1.t1
OG0000073	Ag003G212540	Aa_G295940.h1.t1, Aa_G645470.h1.t1, Aa_G295880.h1.t1, Aa_G369060.h1.t1
OG0000073	Ag006G576030	Aa_G628620.h1.t1, Aa_G902620.h1.t1, Aa_G685490.h1.t1, Aa_G685500.h1.t1, Aa_G565790.h1.t1, Aa_G173340.h1.t1, Aa_G565810.h1.t1, Aa_G715510.h1.t1, Aa_G295910.h1.t1, Aa_G565780.h1.t1, Aa_G628640.h1.t1
OG0000073	Ag002G118960, Ag002G118950	Aa_G208060.h1.t1
OG0000073	Ag002G116850, Ag002G138580, Ag002G137520, Ag002G117280, Ag002G137530, Ag002G120540, Ag002G116910	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	Ag003G236930, Ag003G236940	Aa_G349960.h1.t1
OG0000074	Ag003G242350, Ag003G242390	Aa_G931550.h1.t1, Aa_G664190.h1.t1, Aa_G664200.h1.t1, Aa_G293350.h1.t1
OG0000074	Ag006G500560	Aa_G436170.h1.t1, Aa_G187350.h1.t1
OG0000074	Ag003G241560, Ag003G242310	Aa_G62240.h1.t1
OG0000074	Ag004G378820	Aa_G62260.h1.t1, Aa_G62270.h1.t1
OG0000074	Ag006G514000	Aa_G349950.h1.t1
OG0000075	Ag006G510790	Aa_G542150.h1.t1
OG0000075	Ag004G313480, Ag004G313520	Aa_G535390.h1.t1
OG0000076	Ag001G069290, Ag001G069280	Aa_G521780.h1.t1
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	Aa_G4800.h1.t1, Aa_G696490.h1.t1
OG0000077	Ag003G284880	Aa_G545910.h1.t1
OG0000077	Ag003G215720, Ag003G290220, Ag006G569300	Aa_G374870.h1.t1
OG0000077	Ag006G508210	Aa_G254660.h1.t1
OG0000077	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	Aa_G374840.h1.t1
OG0000078	Ag002G136430	Aa_G578120.h1.t1
OG0000078	Ag001G046650, Ag002G152760, Ag003G252700, Ag001G082530, Ag008G711670	Aa_G32020.h1.t1
OG0000079	Ag001G089410, Ag006G550580, Ag003G233720	Aa_G175740.h1.t1, Aa_G175730.h1.t1, Aa_G449530.h1.t1, Aa_G175720.h1.t1
OG0000079	Ag006G550570	Aa_G111830.h1.t1
OG0000079	Ag001G089450	Aa_G175680.h1.t1, Aa_G262340.h1.t1, Aa_G517120.h1.t1, Aa_G175640.h1.t1, Aa_G262350.h1.t1
OG0000079	Ag001G084480	Aa_G175840.h1.t1
OG0000079	Ag001G071340	Aa_G175830.h1.t1, Aa_G175820.h1.t1, Aa_G175780.h1.t1
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	Aa_G175750.h1.t1, Aa_G175760.h1.t1
OG0000080	Ag001G028300	Aa_G175650.h1.t1
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	Aa_G488480.h1.t1, Aa_G386390.h1.t1
OG0000081	Ag007G593730, Ag007G628420, Ag005G451860, Ag005G452050	Aa_G604970.h1.t1
OG0000082	Ag008G658870, Ag004G384280, Ag004G385590, Ag004G351970	Aa_G566090.h1.t1
OG0000082	Ag004G340020	Aa_G14330.h1.t1
OG0000084	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770	Aa_G155650.h1.t1
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	Aa_G54460.h1.t1
OG0000087	Ag008G723440	Aa_G630880.h1.t1
OG0000087	Ag007G593840	Aa_G199760.h1.t1
OG0000087	Ag008G728250, Ag001G052770	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000087	Ag007G609260	Aa_G256660.h1.t1
OG0000087	Ag002G161340	Aa_G562810.h1.t1
OG0000087	Ag002G127940	Aa_G103150.h1.t1
OG0000087	Ag006G562620	Aa_G580380.h1.t1
OG0000087	Ag003G224140	Aa_G656110.h1.t1
OG0000088	Ag005G450330, Ag005G450360	Aa_G89050.h1.t1
OG0000088	Ag008G717820	Aa_G15590.h1.t1
OG0000089	Ag007G603320	Aa_G152880.h1.t1
OG0000089	Ag006G540580	Aa_G537640.h1.t1
OG0000089	Ag002G193060	Aa_G67360.h1.t1
OG0000089	Ag005G471710	Aa_G5290.h1.t1
OG0000089	Ag002G172950, Ag001G073120	Aa_G367680.h1.t1
OG0000089	Ag008G712440, Ag008G708620	Aa_G99370.h1.t1, Aa_G27970.h1.t1
OG0000090	Ag004G333760	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	Ag003G223190	Aa_G410840.h1.t1
OG0000090	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940	Aa_G273720.h1.t1, Aa_G273730.h1.t1
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000090	Ag002G185460	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000091	Ag008G666220	Aa_G445870.h1.t1
OG0000093	Ag001G087540	Aa_G526230.h1.t1
OG0000093	Ag001G087060, Ag020G743300	Aa_G835690.h1.t1, Aa_G367660.h1.t1
OG0000093	Ag001G087470	Aa_G526180.h1.t1
OG0000093	Ag001G083700, Ag001G087310	Aa_G526150.h1.t1, Aa_G526160.h1.t1
OG0000093	Ag001G086770, Ag001G086780, Ag001G086760	Aa_G627610.h1.t1
OG0000093	Ag001G086540, Ag001G086510	Aa_G627620.h1.t1
OG0000096	Ag002G102560	Aa_G122040.h1.t1, Aa_G362960.h1.t1
OG0000096	Ag002G103250	Aa_G786250.h1.t1, Aa_G786250.h2.t1
OG0000096	Ag004G310490	Aa_G161010.h1.t1
OG0000097	Ag002G129480	Aa_G42050.h1.t1
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	Aa_G132920.h1.t1
OG0000097	Ag002G129120	Aa_G233060.h1.t1, Aa_G261510.h1.t1
OG0000097	Ag002G128740	Aa_G577800.h1.t1
OG0000097	Ag002G128960	Aa_G120830.h1.t1
OG0000098	Ag006G506280, Ag004G316800, Ag004G315620	Aa_G193720.h1.t1, Aa_G521440.h1.t1
OG0000099	Ag004G395880, Ag004G394290, Ag004G391580	Aa_G647960.h1.t1
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	Aa_G384670.h1.t1
OG0000100	Ag002G132470	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000101	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060	Aa_G361620.h1.t1, Aa_G361650.h1.t1, Aa_G361610.h1.t1
OG0000101	Ag004G389820, Ag004G389830	Aa_G65950.h1.t1
OG0000101	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960	Aa_G398600.h1.t1
OG0000101	Ag004G394110	Aa_G65760.h1.t1
OG0000101	Ag004G389140	Aa_G65780.h1.t1, Aa_G65750.h1.t1, Aa_G65880.h1.t1
OG0000101	Ag004G395200, Ag004G395030, Ag004G390080	Aa_G408910.h1.t1
OG0000104	Ag004G307220	Aa_G257560.h1.t1
OG0000104	Ag001G010320	Aa_G166390.h1.t1
OG0000106	Ag005G417510, Ag001G017220	Aa_G32180.h1.t1
OG0000107	Ag005G444180, Ag005G442930	Aa_G37190.h1.t1
OG0000107	Ag003G213880	Aa_G641990.h1.t1, Aa_G247880.h1.t1
OG0000107	Ag005G446670	Aa_G323960.h1.t1
OG0000108	Ag008G718910, Ag008G718920, Ag008G722210, Ag008G722220, Ag005G459590, Ag008G727840	Aa_G539300.h1.t1, Aa_G70590.h1.t1
OG0000108	Ag008G722170	Aa_G539290.h1.t1
OG0000109	Ag001G018050, Ag002G147800, Ag005G414580, Ag004G372360, Ag004G337320, Ag006G543970, Ag002G162420, Ag003G261280, Ag004G349840, Ag007G593090, Ag001G059110, Ag005G411230, Ag011G740860, Ag003G294760, Ag002G133440, Ag004G303880, Ag004G330170, Ag006G547030, Ag005G455810, Ag008G716250, Ag001G087550, Ag006G493580, Ag002G191920, Ag007G620300, Ag001G037570	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000109	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980	Aa_G663410.h1.t1
OG0000110	Ag001G090130	Aa_G271260.h1.t1
OG0000110	Ag001G090120	Aa_G784880.h1.t1
OG0000110	Ag001G089790, Ag001G077880	Aa_G545130.h1.t1, Aa_G430890.h1.t1
OG0000110	Ag007G655930	Aa_G319030.h1.t1
OG0000110	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010	Aa_G533500.h1.t1, Aa_G544160.h1.t1, Aa_G430880.h1.t1, Aa_G741430.h1.t1, Aa_G544170.h1.t1, Aa_G430870.h1.t1, Aa_G350840.h1.t1, Aa_G773700.h1.t1
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000110	Ag001G090290, Ag001G090300, Ag001G090310	Aa_G271300.h1.t1
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000111	Ag006G502330	Aa_G110080.h1.t1, Aa_G75250.h1.t1
OG0000111	Ag008G729450	Aa_G75240.h1.t1
OG0000113	Ag005G453300	Aa_G106970.h1.t1, Aa_G65730.h1.t1
OG0000113	Ag002G118730	Aa_G710830.h1.t1
OG0000113	Ag006G576050	Aa_G792870.h1.t1
OG0000113	Ag007G655220	Aa_G117390.h1.t1
OG0000114	Ag005G486540, Ag005G485930	Aa_G332260.h1.t1
OG0000114	Ag007G607050, Ag007G607020	Aa_G84490.h1.t1
OG0000114	Ag003G284630	Aa_G17720.h1.t1, Aa_G563350.h1.t1
OG0000114	Ag006G555860	Aa_G578400.h1.t1, Aa_G69050.h1.t1
OG0000117	Ag006G549560	Aa_G204550.h1.t1, Aa_G896890.h1.t1
OG0000117	Ag002G137760	Aa_G278670.h1.t1, Aa_G454040.h1.t1, Aa_G40780.h1.t1, Aa_G128900.h1.t1
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	Aa_G388280.h1.t1
OG0000122	Ag008G698890	Aa_G592740.h1.t1, Aa_G5880.h1.t1, Aa_G379620.h1.t1
OG0000122	Ag003G267460	Aa_G625770.h1.t1, Aa_G247680.h1.t1, Aa_G379610.h1.t1
OG0000123	Ag007G583620, Ag001G067540, Ag004G318570, Ag004G318540, Ag006G573850, Ag006G564520, Ag002G117150, Ag004G318510, Ag004G318080	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000124	Ag003G242000	Aa_G9780.h1.t1, Aa_G10940.h1.t1, Aa_G198530.h1.t1
OG0000125	Ag005G477020	Aa_G506920.h1.t1, Aa_G403520.h1.t1
OG0000125	Ag008G713670	Aa_G552180.h1.t1
OG0000125	Ag007G595180	Aa_G69270.h1.t1
OG0000126	Ag008G691850	Aa_G248300.h1.t1
OG0000127	Ag006G492230	Aa_G18590.h1.t1
OG0000127	Ag005G477990	Aa_G101380.h1.t1
OG0000128	Ag006G549480	Aa_G159330.h2.t1, Aa_G159330.h1.t1, Aa_G1023650.h1.t1
OG0000128	Ag003G264610, Ag003G264920, Ag001G005890	Aa_G147990.h1.t1, Aa_G91540.h1.t1
OG0000130	Ag003G260700	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1
OG0000133	Ag004G391190, Ag003G285410	Aa_G50020.h1.t1
OG0000136	Ag008G691470, Ag005G487080	Aa_G703520.h1.t1
OG0000136	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850	Aa_G483980.h1.t1, Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G221000.h1.t1
OG0000138	Ag004G345080, Ag004G381060, Ag004G345060	Aa_G783970.h1.t1, Aa_G283280.h1.t1, Aa_G376680.h1.t1, Aa_G638390.h1.t1, Aa_G638390.h2.t1, Aa_G638390.h3.t1, Aa_G110250.h1.t1, Aa_G182200.h1.t1, Aa_G691670.h1.t1, Aa_G298280.h1.t1
OG0000139	Ag002G105400	Aa_G803880.h1.t1
OG0000139	Ag002G170320	Aa_G1007810.h1.t1, Aa_G1080960.h1.t1
OG0000140	Ag008G707960	Aa_G848610.h1.t1
OG0000140	Ag001G080460, Ag008G707780	Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000140	Ag001G052690	Aa_G715860.h1.t1
OG0000142	Ag007G594160, Ag007G594220	Aa_G49000.h1.t1, Aa_G235730.h1.t1
OG0000142	Ag007G594490, Ag007G594500, Ag007G594520, Ag007G594510	Aa_G173900.h1.t1
OG0000142	Ag007G594470	Aa_G35530.h1.t1
OG0000145	Ag004G383900, Ag003G230540, Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340	Aa_G11550.h1.t1
OG0000146	Ag008G695350	Aa_G643480.h1.t1
