Orthogroup	Alyssum_gmelinii	Arabidopsis_thaliana
OG0000042	Ag007G610350, Ag001G022920	AT3G25720.1
OG0000042	Ag005G442270	AT1G50080.1
OG0000046	Ag006G575430	AT4G18250.1
OG0000046	Ag002G129690, Ag002G129740	AT1G66930.2, AT1G67000.1
OG0000048	Ag005G486480	AT3G03820.1
OG0000048	Ag005G486620, Ag005G486520	AT3G03850.1
OG0000052	Ag002G194170	AT2G42460.1
OG0000052	Ag002G194250	AT2G42470.1
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	AT2G42480.1
OG0000054	Ag002G142440, Ag001G038950, Ag008G708750, Ag008G708710, Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080	AT3G30730.2
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	AT1G61990.1, AT1G61980.1, AT1G61970.1
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	AT3G31430.1
OG0000056	Ag002G121000, Ag006G542770	AT3G42140.1
OG0000057	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510	AT2G18780.1
OG0000057	Ag005G459490	AT3G16740.1
OG0000057	Ag005G459920	AT3G17620.1
OG0000057	Ag003G289060	AT3G19470.1, AT3G22770.1
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860	AT3G30165.1
OG0000064	Ag003G295980	AT4G38940.1
OG0000066	Ag003G225470	AT4G40030.2, AT5G10980.1, AT4G40040.1, AT1G75600.1, AT1G13370.1
OG0000066	Ag002G125900	AT5G65350.1, AT3G27360.1, AT1G09200.1, AT5G10390.1, AT5G10400.1, AT5G65360.1
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820	AT3G09160.1
OG0000067	Ag005G407040, Ag005G407080, Ag005G407050	AT5G05430.2
OG0000069	Ag002G200250	AT2G11035.1
OG0000071	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710	AT2G07760.1
OG0000073	Ag006G576040	AT4G16857.2, AT4G16957.1
OG0000073	Ag002G116850	AT4G08450.1
OG0000073	Ag002G116910	AT5G46450.1
OG0000074	Ag005G402710	AT1G23690.1
OG0000074	Ag003G241560, Ag003G242310	AT1G23660.1, AT1G23640.1
OG0000074	Ag004G378820	AT2G27670.1, AT1G23610.1
OG0000074	Ag006G514000	AT1G23670.2
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	AT2G34280.1, AT4G01640.1, AT5G10340.1
OG0000076	Ag001G069290, Ag001G069280	AT3G52690.1
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	AT1G55030.2, AT4G13965.1
OG0000076	Ag001G002030	AT3G26930.2, AT3G26920.1
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	AT4G39560.1
OG0000077	Ag006G508210	AT4G39570.1
OG0000077	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	AT4G39550.1
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	AT1G19930.1, AT1G60570.1
OG0000078	Ag002G136430	AT3G32260.1, AT1G36510.1
OG0000079	Ag006G550570	AT5G38391.1
OG0000079	Ag001G084480	AT3G58900.4
OG0000079	Ag001G089200	AT3G58880.1
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	AT3G58820.1
OG0000080	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	AT1G48400.1
OG0000080	Ag001G028300	AT5G12450.1
OG0000080	Ag007G610550, Ag007G610520	AT1G21990.1
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	AT2G29930.1, AT2G29910.6
OG0000081	Ag005G451860, Ag005G452050	AT4G09190.1
OG0000084	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620	AT1G64840.1
OG0000084	Ag008G724370	AT2G24250.1
OG0000086	Ag008G709530	AT5G34908.1, AT3G44115.1, AT1G57760.1, AT1G45215.1, AT1G45221.1, AT1G45223.1, AT1G57777.1, AT1G57775.1, AT4G07515.1, AT4G08025.1, AT5G42567.1, AT5G34883.1, AT5G34885.1, AT5G34905.1, AT5G34881.1, AT5G34887.1, AT3G30383.1, AT3G30385.1, AT3G30387.1, AT5G34882.1, AT5G42957.1, AT5G42955.1
OG0000087	Ag008G723440	AT5G23860.1
OG0000087	Ag007G593840	AT2G29550.1
OG0000087	Ag007G609260	AT5G12250.1
OG0000087	Ag002G127940	AT5G44340.1
OG0000087	Ag006G562620	AT4G20890.1
OG0000087	Ag003G224140	AT1G75780.1
OG0000088	Ag005G450330, Ag005G450360	AT3G47110.1
OG0000088	Ag008G717820	AT5G20480.1
OG0000089	Ag007G603320	AT5G09810.1
OG0000089	Ag005G453100, Ag001G021310	AT3G18780.2
OG0000089	Ag002G193060	AT2G42090.1, AT2G42170.1, AT2G42100.1
OG0000089	Ag005G471710	AT3G12110.1
OG0000089	Ag002G172950, Ag001G073120	AT2G37620.1
OG0000089	Ag008G712440, Ag008G708620	AT5G59370.1, AT3G46520.1
OG0000090	Ag004G333760	AT2G25700.1, AT1G20140.1
OG0000090	Ag003G223190	AT1G75950.1
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	AT4G34210.1
OG0000091	Ag008G666220	AT3G32960.1
OG0000093	Ag001G087540	AT3G58360.1
OG0000093	Ag001G087060, Ag020G743300	AT2G05400.3
OG0000093	Ag001G087410	AT3G58350.1
OG0000093	Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290	AT3G58250.1
OG0000093	Ag001G087200, Ag020G743290, Ag001G087240	AT2G05420.1, AT2G05410.2
OG0000093	Ag001G083700, Ag001G087310	AT3G58270.1
OG0000093	Ag001G086540, Ag001G086510	AT3G58210.1
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	AT2G03030.1, AT2G03300.1
OG0000096	Ag002G102560	AT5G44900.1
OG0000096	Ag004G380830	AT1G57830.1
OG0000097	Ag002G130220, Ag002G132530, Ag002G129480	AT4G05460.1
OG0000097	Ag002G128740	AT4G03635.1
OG0000097	Ag002G128960	AT4G05470.1, AT4G05475.1
OG0000097	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340	AT4G05497.1
OG0000098	Ag006G506280, Ag004G316800, Ag004G315620	AT1G12210.1
OG0000099	Ag004G395880	AT1G64020.1
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	AT1G64030.1
OG0000099	Ag004G396600, Ag004G396870, Ag004G391030	AT1G62160.1
OG0000099	Ag004G391040	AT1G64010.2
OG0000100	Ag004G376980, Ag002G156660	AT2G01050.1
OG0000101	Ag004G394110	AT1G63740.2
OG0000101	Ag004G389140	AT1G63730.1
OG0000101	Ag004G395030	AT5G35510.2
OG0000104	Ag004G307220	AT1G07560.1
OG0000104	Ag007G594810	AT2G29000.1
OG0000104	Ag001G010320	AT1G49100.1
OG0000104	Ag005G441940	AT3G21340.1
OG0000106	Ag005G417510, Ag001G017220	AT3G18905.1
OG0000106	Ag004G383320	AT5G47300.1
OG0000107	Ag005G481150	AT2G27000.1, AT2G27010.1
OG0000107	Ag005G446760	AT4G15380.1, AT3G20080.1
OG0000107	Ag005G444180, Ag005G442930	AT2G14100.1, AT3G32047.1
OG0000107	Ag005G446720	AT3G20140.1
OG0000107	Ag005G446740	AT3G20120.4
OG0000107	Ag005G446750	AT3G20110.1
OG0000107	Ag003G213880	AT5G42580.1
OG0000107	Ag005G446670	AT3G20960.2, AT3G20090.2, AT4G15360.1, AT2G05180.1
OG0000107	Ag005G446680	AT3G20130.1
OG0000107	Ag005G446780	AT3G20100.1
OG0000108	Ag005G459590, Ag008G727840	AT1G27550.1, AT1G27580.1, AT1G27540.1, AT2G24080.1
OG0000110	Ag001G090130	AT3G59210.1
OG0000110	Ag001G090120	AT3G59200.1
OG0000110	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700	AT3G59250.1
OG0000110	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010	AT3G59170.1, AT3G59160.1
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	AT4G14103.2, AT4G14096.1
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	AT5G38590.2, AT5G38570.1, AT5G38565.1
OG0000111	Ag006G502330	AT5G38580.1
OG0000111	Ag008G729450	AT4G10410.1, AT4G09920.1, AT4G10420.1, AT4G10400.1
OG0000112	Ag007G615000	AT5G36657.1
OG0000113	Ag002G138540	AT4G04110.1
OG0000114	Ag005G486540, Ag005G485930	AT3G04210.1
OG0000114	Ag006G573480	AT1G69550.1
OG0000114	Ag003G220520	AT3G04220.3
OG0000119	Ag001G026190	AT1G52603.1
OG0000119	Ag007G641820	AT5G33393.1
OG0000120	Ag004G373700, Ag001G094910	AT1G60880.1, AT1G60920.1
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	AT5G49490.1, AT5G38620.1, AT5G49420.1
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	AT5G04640.1, AT1G46408.1
OG0000122	Ag008G698530	AT5G56325.1
OG0000123	Ag007G583620	AT1G28170.1
OG0000123	Ag004G318570	AT2G27570.1, AT3G45080.1, AT3G45070.2
OG0000123	Ag006G564520	AT1G13420.1, AT2G14920.1, AT1G13430.1
OG0000123	Ag004G318080	AT3G51210.1
OG0000124	Ag005G441490	AT4G03292.1
OG0000124	Ag004G309520	AT2G02650.1
OG0000124	Ag003G242000	AT5G43755.1, AT2G11205.1, AT1G27870.1, AT1G77815.1, AT1G47497.1, AT2G46460.1, AT1G04625.1, AT2G04420.1, AT1G50160.1
OG0000124	Ag006G527550, Ag008G658090	AT3G25270.1
OG0000124	Ag004G349780, Ag005G468220, Ag002G194630, Ag001G067330, Ag008G665260, Ag001G016150, Ag005G485900, Ag012G741220	AT5G26617.1, AT2G13980.1
OG0000125	Ag005G477020	AT3G09480.1, AT5G02570.1
OG0000125	Ag008G713670	AT5G22880.1
OG0000125	Ag007G595180	AT2G28720.1
OG0000127	Ag005G477940	AT3G09140.1
OG0000127	Ag006G492190	AT5G01150.1
OG0000127	Ag006G492230	AT5G01120.1
OG0000127	Ag005G477980	AT3G09120.1
OG0000127	Ag004G313210, Ag004G313190, Ag004G313250	AT1G11145.1
OG0000128	Ag003G264610, Ag003G264920, Ag001G005890	AT1G34070.1
OG0000133	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500, Ag004G391190, Ag003G285410, Ag001G074650	AT4G03728.1
OG0000136	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850	AT5G37870.1, AT5G37900.1, AT5G37910.1
OG0000138	Ag005G453150	AT3G29690.1
OG0000140	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830	AT5G58830.1, AT5G58820.1, AT5G58840.1
OG0000140	Ag001G080460, Ag008G707780	AT5G59090.1, AT5G59120.1
OG0000142	Ag007G594160, Ag007G594220	AT2G29330.1
OG0000142	Ag007G594470	AT2G29320.1, AT2G29300.2
OG0000142	Ag004G307050	AT2G29170.1
OG0000146	Ag008G695350	AT5G55340.1
OG0000146	Ag008G695470, Ag008G695460	AT5G55360.1
OG0000146	Ag008G695380	AT5G55350.1
OG0000147	Ag005G408700	AT2G18960.1
OG0000147	Ag003G261030	AT4G30190.2
OG0000147	Ag008G702420	AT5G57350.1
OG0000147	Ag003G209560	AT1G80660.1
OG0000149	Ag006G570510, Ag006G570440, Ag006G570460	AT3G46350.1
OG0000149	Ag008G709340	AT5G59670.1, AT5G59660.3
OG0000149	Ag008G709420	AT5G59680.1
OG0000150	Ag007G607130	AT3G45555.1
OG0000150	Ag006G518460, Ag007G625710	AT3G43750.1
OG0000150	Ag001G092600	AT3G45525.1
OG0000150	Ag004G332580	AT3G45540.1
OG0000150	Ag008G711310, Ag008G711350	AT2G22940.1
OG0000151	Ag008G685810	AT5G53300.1
OG0000151	Ag003G253050	AT4G27960.2
OG0000151	Ag005G478640	AT3G08690.1
OG0000151	Ag005G417580	AT2G16740.1
OG0000151	Ag008G698280	AT5G56150.1
OG0000154	Ag003G268730, Ag005G477100, Ag005G477120	AT1G56410.1
OG0000154	Ag004G324480	AT1G16030.1
OG0000154	Ag005G471090	AT3G12580.1
OG0000154	Ag005G477170	AT3G09440.1
OG0000154	Ag006G493360	AT5G02500.1
OG0000154	Ag006G507750, Ag006G508580, Ag006G493020	AT5G02490.1
OG0000155	Ag006G564870	AT1G65800.1, AT1G65790.1, AT4G21380.1
OG0000155	Ag005G471860	AT3G12000.1
OG0000156	Ag002G201840	AT1G33730.1
OG0000156	Ag002G201900	AT2G45560.1
OG0000156	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880	AT1G33720.1
OG0000156	Ag001G093780	AT3G61040.1
OG0000157	Ag003G228360	AT1G65990.1, AT4G10740.1
OG0000157	Ag004G346210, Ag003G229150, Ag004G369290	AT5G41490.1, AT5G41500.1, AT5G41510.1, AT2G38590.1, AT4G33290.1
OG0000158	Ag003G277110	AT4G36840.1
OG0000161	Ag007G588370	AT5G02660.1
OG0000161	Ag007G588360	AT1G65200.1
OG0000162	Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570	AT3G60470.1
OG0000162	Ag002G200850, Ag002G200800	AT2G44930.1
OG0000164	Ag003G293830	AT4G19250.1
OG0000164	Ag005G487250, Ag003G293940	AT4G39753.1
OG0000164	Ag003G293740, Ag003G293690, Ag003G293790	AT4G39756.1
OG0000167	Ag006G570230	AT4G19590.2
OG0000167	Ag006G570340	AT5G37760.1
OG0000167	Ag006G570320	AT4G19570.1
OG0000167	Ag006G570400, Ag006G570410	AT5G37440.1, AT5G37750.1
OG0000171	Ag004G345150	AT1G70490.1, AT1G23490.1
OG0000171	Ag004G371850	AT1G10630.1
OG0000171	Ag007G614710	AT5G14670.1
OG0000172	Ag002G179650, Ag001G097540, Ag001G097520	AT3G62430.1, AT3G54160.1
OG0000172	Ag003G233750, Ag006G550460	AT3G58960.1
OG0000172	Ag001G089420	AT3G58980.1
OG0000175	Ag001G067410	AT3G51300.1
OG0000175	Ag005G417590	AT4G35020.1
OG0000186	Ag004G388160	AT3G29794.1, AT3G29638.1
OG0000190	Ag002G140140	AT4G04490.1
OG0000190	Ag002G128880	AT4G04510.2
OG0000190	Ag002G128820	AT4G04500.1
OG0000190	Ag002G140040, Ag002G139950	AT4G04570.1, AT4G04540.1
OG0000191	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420	AT3G16590.1
OG0000191	Ag005G457490, Ag005G457480	AT2G17310.1
OG0000191	Ag005G461560, Ag005G461580, Ag005G461550, Ag005G461640, Ag005G460960	AT3G16555.1, AT3G51171.1
OG0000192	Ag004G336350	AT1G21270.1
OG0000192	Ag004G336320	AT1G21210.1
OG0000192	Ag004G336340, Ag004G336360, Ag004G336330	AT1G21230.1, AT1G21240.1, AT1G21250.1
OG0000193	Ag004G342780	AT3G21170.1, AT3G21120.1, AT3G21130.1
OG0000193	Ag005G442650, Ag005G443800, Ag005G442630	AT4G10190.1
OG0000195	Ag001G082920	AT2G41110.2
OG0000195	Ag007G646090	AT5G37780.3, AT1G66410.2
OG0000196	Ag004G304260, Ag004G304230	AT1G30160.2, AT1G05540.1
OG0000196	Ag004G304250	AT1G30170.1
OG0000196	Ag004G304270, Ag004G304220, Ag004G304240	AT1G05550.3
OG0000201	Ag005G439850	AT4G20600.1, AT4G20580.1, AT4G20620.1, AT4G20670.1, AT4G20610.1, AT4G20640.1, AT4G20590.1, AT4G20630.1, AT4G20530.1, AT4G20645.1, AT4G20560.1, AT4G20540.1, AT4G20550.1, AT4G20570.1, AT3G21990.1, AT3G21980.1
OG0000201	Ag005G439760	AT3G22020.1
OG0000201	Ag005G439610	AT3G22040.1
OG0000202	Ag003G215780, Ag005G457800	AT3G17480.1, AT1G62270.1
OG0000203	Ag006G519280, Ag005G485370, Ag005G485380	AT2G13630.1, AT3G04660.1
OG0000204	Ag005G471780, Ag005G471790	AT3G08750.1, AT3G10430.1, AT4G04690.1
OG0000204	Ag003G216930, Ag003G216910, Ag003G216390, Ag003G216940, Ag003G216920, Ag003G216970, Ag003G216980	AT1G77650.1
OG0000204	Ag005G437650	AT3G22650.2
OG0000205	Ag005G439370	AT2G16450.1, AT2G15640.1, AT2G02660.1, AT2G02890.1, AT2G16220.1, AT2G23160.1
OG0000205	Ag001G088760	AT1G47300.1
OG0000207	Ag002G183650	AT1G69630.1
OG0000207	Ag003G219800, Ag003G215860, Ag003G215900	AT1G78750.1
OG0000207	Ag003G212790	AT1G78730.1
OG0000208	Ag008G723930, Ag003G294620, Ag003G284900, Ag003G294610	AT4G39500.2, AT4G32170.1
OG0000209	Ag005G461540	AT1G64255.1
OG0000209	Ag004G399110, Ag004G398940	AT1G64253.1
OG0000209	Ag004G398990, Ag004G398790, Ag002G138750	AT1G64260.1, AT1G49920.1
OG0000210	Ag006G499160, Ag006G499150, Ag006G499180	AT2G04830.1, AT2G03610.1
OG0000210	Ag003G280570, Ag003G273400	AT5G38270.1, AT2G03560.1
OG0000210	Ag007G588480	AT2G33200.1
OG0000213	Ag003G236750, Ag003G236500, Ag003G236780, Ag003G236530	AT1G73270.1, AT5G36180.1, AT1G73300.1, AT1G73310.1, AT1G73280.1, AT1G73290.1
OG0000213	Ag003G288980	AT2G22980.4, AT2G22970.3, AT2G22920.2, AT2G23000.1, AT2G22990.3, AT2G23010.1, AT3G12203.1
OG0000214	Ag007G604980	AT1G65180.1, AT1G69150.1, AT3G43890.1
OG0000214	Ag006G510950	AT4G11547.1
OG0000214	Ag003G222050	AT4G09690.1
OG0000214	Ag006G510210	AT4G11550.1, AT4G11390.2, AT4G11540.1, AT4G02180.1, AT4G01910.1, AT4G01920.1, AT4G01740.1, AT4G01930.1
OG0000216	Ag006G554100, Ag006G554110	AT4G14165.1
OG0000216	Ag006G554130	AT4G22180.1
OG0000218	Ag004G322150	AT1G14930.1, AT1G14940.1, AT1G14950.1
OG0000218	Ag004G322240, Ag004G322160, Ag004G322180, Ag004G322280, Ag004G322290	AT1G14960.1
OG0000218	Ag004G318250, Ag006G542090, Ag006G547060	AT3G26450.1, AT3G26460.1
OG0000218	Ag005G439660, Ag008G718790	AT4G14060.1
OG0000218	Ag002G177290	AT2G01530.1
OG0000219	Ag004G357760	AT1G66870.2, AT1G66852.1, AT4G16165.1, AT1G66855.1
OG0000219	Ag007G593670	AT2G29735.1
OG0000219	Ag006G565670	AT5G63230.1, AT5G63225.1
OG0000219	Ag008G724120	AT5G53600.1, AT5G53610.1
OG0000220	Ag002G172490	AT1G61840.1
OG0000220	Ag002G179690	AT4G10370.1, AT5G46660.1, AT5G55770.1, AT1G44050.1, AT5G55780.1, AT3G26550.1, AT5G55800.1, AT1G53340.2, AT2G13895.1, AT2G13950.1, AT5G02340.1, AT2G13900.1, AT5G02350.1, AT5G02330.1, AT2G02610.1, AT2G02640.1, AT2G02620.1, AT2G02700.1, AT2G02690.1, AT2G02680.1, AT2G02630.1
OG0000224	Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450	AT1G77530.1, AT1G77520.1
OG0000224	Ag003G270550	AT5G37170.1
OG0000224	Ag004G383650	AT1G63140.4
OG0000226	Ag004G375340, Ag002G168080, Ag002G140350	AT1G02770.1
OG0000226	Ag001G000690, Ag004G337830, Ag005G429260, Ag005G429270, Ag001G000670	AT1G23950.2, AT1G23970.2, AT1G23960.1, AT1G27860.1, AT1G28500.1
OG0000228	Ag004G341460	AT5G28010.1, AT5G28000.1
OG0000228	Ag004G344130	AT1G70890.1
OG0000229	Ag003G260760	AT1G48180.1, AT1G51670.1
OG0000231	Ag001G058920	AT5G38690.1
OG0000232	Ag001G011980, Ag001G025350, Ag005G473990, Ag005G474010, Ag005G474060, Ag006G511920, Ag005G474020, Ag005G473970, Ag001G083150	AT3G11080.1, AT5G27060.2, AT3G11010.2
OG0000234	Ag001G076970	AT3G55110.1
OG0000234	Ag001G076940	AT3G55100.1
OG0000234	Ag001G076930	AT3G55090.1
OG0000234	Ag007G612020	AT5G13580.1
OG0000235	Ag005G452990, Ag005G453010, Ag005G460460	AT1G32430.1
OG0000235	Ag004G314680	AT1G47390.1
OG0000236	Ag008G716730, Ag008G716740, Ag008G716760	AT3G22080.1
OG0000239	Ag006G498570, Ag007G589100, Ag006G546090, Ag007G589080	AT2G33080.1
OG0000240	Ag007G599880	AT2G29880.1
OG0000242	Ag005G419410	AT2G15350.1, AT2G15370.1, AT2G15360.1
OG0000242	Ag004G319220	AT1G14080.1
OG0000242	Ag004G319640	AT1G14110.1
OG0000244	Ag006G567480	AT4G21860.1
OG0000244	Ag002G138420, Ag002G137630	AT4G04800.1
OG0000244	Ag002G138400, Ag002G137710	AT4G04840.1
OG0000244	Ag006G567460, Ag006G567470	AT4G21850.1
OG0000244	Ag002G137640, Ag002G138410	AT4G04830.1
OG0000248	Ag002G142990	AT4G12370.1
OG0000248	Ag002G142870, Ag002G142960, Ag002G142950, Ag002G142860	AT4G10695.1, AT4G10660.1, AT4G10700.1
OG0000248	Ag004G367480	AT1G57790.1
OG0000248	Ag001G081600	AT3G56470.1
OG0000249	Ag002G168370	AT2G36750.1
OG0000249	Ag002G168420, Ag002G179380	AT2G36790.1, AT2G36800.1
OG0000249	Ag002G168350	AT2G36760.1
OG0000249	Ag002G168380	AT2G36770.1, AT2G36780.1
OG0000249	Ag001G071720	AT3G53160.1
OG0000250	Ag003G292650	AT1G70040.1, AT3G54410.1, AT1G70120.1
OG0000250	Ag001G093460	AT3G60700.1
OG0000250	Ag004G328080	AT1G70020.1
OG0000251	Ag001G015530, Ag009G735210	AT5G28730.1
OG0000252	Ag002G201630, Ag002G201600	AT2G45406.1
OG0000252	Ag006G494350, Ag006G494360, Ag006G494380, Ag006G494310, Ag006G494330, Ag006G493940, Ag006G493990, Ag002G166430, Ag006G493980, Ag006G494000, Ag003G272030, Ag006G493970, Ag006G493890, Ag006G493910, Ag006G493930, Ag006G493870, Ag006G493900, Ag002G186120, Ag002G186270, Ag002G186250, Ag002G186210, Ag002G186260, Ag002G186220, Ag002G186130, Ag002G186150, Ag002G186160, Ag002G186240	AT5G03000.1, AT3G46050.1, AT5G02980.1, AT5G02995.1, AT5G03020.1, AT5G03010.1, AT5G02990.1
OG0000256	Ag002G186750, Ag002G186710, Ag002G186740	AT4G04090.1
OG0000256	Ag002G182840, Ag002G182690, Ag002G182780	AT5G48510.1, AT2G05330.1
OG0000256	Ag002G187030, Ag002G187040, Ag002G187060, Ag002G187050, Ag008G691560	AT2G40450.1
OG0000257	Ag001G011470, Ag008G698480, Ag001G011500, Ag001G010720, Ag004G331430, Ag008G697590, Ag003G211470, Ag003G211370, Ag003G220650, Ag003G228410, Ag003G212030, Ag003G212020, Ag001G012300, Ag003G233340	AT1G51240.1, AT1G51250.1, AT1G51230.1
OG0000257	Ag005G475480, Ag005G476080, Ag005G425180, Ag005G475490, Ag005G476060, Ag005G476070, Ag005G475200	AT3G10455.1
OG0000258	Ag002G175550	AT3G26300.1, AT3G26310.1
OG0000258	Ag008G702170	AT5G57260.1
OG0000258	Ag002G191840, Ag001G079880	AT2G02580.1
OG0000258	Ag004G336180	AT3G26330.1, AT3G26320.1
OG0000260	Ag001G003770	AT4G13130.1
OG0000260	Ag003G219630, Ag006G495360	AT1G29180.1
OG0000260	Ag006G496100	AT3G26240.1, AT3G26250.1
OG0000264	Ag002G129660	AT4G05230.1
OG0000264	Ag007G599430	AT4G03370.1, AT4G03360.1, AT4G02950.1, AT4G03350.1, AT4G02970.1
OG0000267	Ag004G311330	AT2G29600.1, AT2G29800.1, AT2G29810.1, AT2G29830.1, AT2G29820.1, AT2G29860.1, AT2G29780.1, AT2G29770.1
OG0000268	Ag008G659990	AT2G02040.1
OG0000268	Ag007G590690, Ag006G555210, Ag004G378430	AT1G62200.3
OG0000268	Ag006G492050	AT5G01180.1
OG0000268	Ag001G074460	AT3G54140.1
OG0000269	Ag002G157110	AT5G31412.1
