Orthogroup	Alyssum_gmelinii	Noccaea_praecox
OG0000013	Ag006G559810	Np005G297160
OG0000013	Ag004G396400, Ag004G380450	Np002G102600, Np003G173130
OG0000013	Ag001G041140	Np004G228920
OG0000014	Ag008G691080, Ag003G252810	Np001G042570, Np002G073300
OG0000014	Ag001G020750	Np004G227310
OG0000015	Ag008G676660	Np005G274380
OG0000015	Ag008G687430	Np008G427030
OG0000017	Ag002G124100, Ag004G375560, Ag001G050140	Np003G166290
OG0000019	Ag006G545360	Np001G027630
OG0000019	Ag003G263160, Ag006G497030	Np001G027620
OG0000019	Ag007G613770, Ag002G147220, Ag003G285010	Np001G029890
OG0000019	Ag007G642200, Ag006G545350	Np004G239770, Np007G405080, Np001G027610
OG0000020	Ag005G440730	Np002G099760, Np002G102400, Np005G303330, Np004G208430, Np004G208440, Np005G303320, Np006G361160
OG0000021	Ag008G685590	Np005G303890
OG0000021	Ag008G663740, Ag002G135150, Ag005G443540	Np004G199140
OG0000021	Ag002G201670	Np007G402490, Np003G147560, Np002G120150, Np002G109960, Np003G148260
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	Np003G180610, Np005G283850, Np005G283730
OG0000023	Ag002G145570, Ag002G145600	Np003G180640
OG0000023	Ag006G547270	Np005G284120
OG0000023	Ag006G549060, Ag006G543820	Np005G284010
OG0000024	Ag004G351930, Ag005G445160	Np003G178520, Np008G426040, Np002G105750, Np001G043400, Np004G229320, Np006G346780, Np002G096560, Np007G405450, Np009G429280
OG0000024	Ag003G257540	Np005G297260, Np002G098230, Np004G229310, Np002G098240, Np006G346770
OG0000025	Ag003G230310	Np003G164310, Np006G368440, Np006G358350, Np006G358300, Np003G181320, Np003G181370, Np006G358330, Np003G181400
OG0000026	Ag013G741580	Np003G172690
OG0000027	Ag005G463660	Np002G093210
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	Np003G170790, Np003G189760, Np004G207130, Np006G356860, Np002G105400, Np003G145220, Np003G175090
OG0000029	Ag006G523440, Ag006G532500, Ag004G401820	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	Ag002G114660	Np002G073630
OG0000029	Ag005G441680, Ag006G519730	Np001G030650, Np001G034960, Np004G225420
OG0000029	Ag001G067390	Np001G003630, Np001G034950
OG0000029	Ag002G186330, Ag006G491400	Np002G113330, Np005G304980
OG0000029	Ag003G258710	Np003G172510
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740, Ag003G292140	Np006G330890
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	Np004G244900
OG0000031	Ag002G111150, Ag002G107580	Np005G318980
OG0000033	Ag006G547230, Ag006G549390	Np005G284050, Np005G284060
OG0000033	Ag006G547260, Ag006G549410	Np005G284130
OG0000033	Ag006G543630, Ag006G543880	Np005G283960, Np005G284080
OG0000033	Ag006G548990	Np005G283820
OG0000033	Ag006G547380, Ag006G549570	Np005G284160
OG0000034	Ag004G354480	Np006G350340
OG0000034	Ag006G548030	Np002G102640, Np002G107950
OG0000034	Ag002G114610	Np002G118070, Np005G284230, Np002G100100, Np007G396350, Np004G239130, Np006G359400, Np005G318530
OG0000034	Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310	Np006G341510
OG0000035	Ag006G499210	Np002G092640
OG0000035	Ag005G405240, Ag002G183820	Np006G356560
OG0000035	Ag005G463540, Ag005G463520, Ag005G463530, Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	Np005G313520
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	Np005G260660
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	Np006G350450, Np006G342170, Np003G136960, Np002G107350, Np007G403810
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	Np004G226960, Np002G071800, Np001G060270, Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	Ag006G511550, Ag006G511600	Np007G415720
OG0000038	Ag002G128180	Np006G322550
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	Np005G270740, Np005G270650, Np005G270700
OG0000038	Ag004G312700	Np005G318000
OG0000039	Ag004G347330, Ag007G622120	Np002G110420, Np004G205120
OG0000039	Ag005G448620, Ag004G337020	Np002G106970
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	Np001G009070
OG0000040	Ag005G483190	Np004G224970, Np004G224940
OG0000040	Ag002G192690, Ag002G188830	Np007G407000
OG0000040	Ag007G626240, Ag005G483200, Ag002G109870	Np004G224990
OG0000041	Ag003G296430, Ag003G296390, Ag008G683020	Np006G342650
OG0000041	Ag003G251790	Np003G171490, Np002G100930
OG0000041	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960	Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530
OG0000042	Ag008G683730, Ag007G637230, Ag001G051650, Ag008G718640, Ag005G442270	Np004G191660
OG0000042	Ag002G176270	Np006G336410
OG0000044	Ag006G512870, Ag001G054960	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570	Np006G334530
OG0000045	Ag002G197550, Ag008G703200	Np002G098570, Np005G284990, Np007G389140
OG0000046	Ag006G575430	Np005G292150, Np005G292140
OG0000046	Ag002G197360	Np007G386460
OG0000048	Ag005G486620, Ag005G486520	Np007G421470
OG0000050	Ag007G641850	Np002G095340
OG0000050	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	Np002G094900, Np002G093590, Np001G040200, Np007G402160
OG0000050	Ag006G561100	Np002G095850
OG0000052	Ag004G301370	Np004G255200
OG0000052	Ag004G301320	Np007G384340
OG0000052	Ag002G195160, Ag002G194240, Ag002G194190	Np006G328530, Np006G328520
OG0000052	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	Np006G328590, Np006G328570, Np006G328580
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	Np003G173020
OG0000053	Ag003G279130	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000053	Ag006G525960	Np001G040210, Np005G311290, Np006G327430
OG0000055	Ag004G377140	Np002G119230
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	Np002G119520, Np002G119220, Np002G119170
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	Np005G318930, Np007G383650, Np004G211250, Np006G348520, Np002G077250, Np006G336260, Np004G217680, Np001G049030, Np002G079610, Np008G425610, Np001G065180, Np002G100230
OG0000056	Ag002G181330	Np007G412270, Np005G282430
OG0000056	Ag002G121000, Ag006G542770	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660, Np004G212730, Np003G173160, Np006G358710, Np006G344700, Np009G432740, Np001G036840, Np007G404120
OG0000057	Ag005G459920	Np007G392240, Np007G392300
OG0000057	Ag003G289060	Np006G333600, Np006G333860, Np003G187520
OG0000058	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110	Np008G427720, Np001G035900, Np001G038390, Np006G352050, Np005G294870
OG0000058	Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190	Np003G189490, Np008G428090
OG0000058	Ag006G516660	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410
OG0000058	Ag003G229160	Np006G359650, Np001G034450
OG0000059	Ag004G391520	Np001G044380
OG0000059	Ag006G516680, Ag001G020010, Ag003G215300, Ag004G373020	Np006G352350
OG0000059	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210	Np004G202770
OG0000059	Ag006G522950	Np007G388310
OG0000062	Ag002G153690, Ag002G153580	Np004G225350
OG0000063	Ag008G710470	Np001G046020
OG0000064	Ag003G295980	Np005G260880
OG0000064	Ag004G324660, Ag004G324700, Ag003G296080, Ag002G109510, Ag002G109380, Ag003G296040, Ag003G296060, Ag002G109520, Ag002G109590, Ag002G109550, Ag003G296070, Ag002G191390, Ag002G109460, Ag002G109500, Ag003G296100, Ag003G296020, Ag002G109470, Ag002G109450, Ag003G283080, Ag003G283090	Np004G235840
OG0000065	Ag009G735570	Np008G425980, Np003G168940
OG0000066	Ag003G225480, Ag003G225470, Ag003G293060	Np005G262320
OG0000066	Ag007G604700	Np003G136700
OG0000066	Ag002G125900	Np004G250000, Np004G250510, Np003G136710
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820	Np005G315250, Np005G315220, Np005G316020, Np005G316030, Np005G315340
OG0000067	Ag004G385490	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140
OG0000067	Ag003G227540	Np003G144200
OG0000068	Ag002G161440, Ag003G260950, Ag006G498520	Np004G229970
OG0000069	Ag003G258860	Np003G152400
OG0000069	Ag002G200250	Np001G024920, Np005G293790
OG0000070	Ag001G027030	Np006G350030
OG0000071	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710	Np001G008970, Np006G370520, Np003G157740
OG0000071	Ag003G234950, Ag003G217580	Np006G331390, Np001G008190, Np007G394880, Np004G207250, Np006G360210, Np003G130630, Np004G204530
OG0000071	Ag004G389390	Np004G200680, Np006G328540
OG0000071	Ag004G339910	Np001G013290
OG0000072	Ag003G285120, Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330
OG0000073	Ag002G137530	Np006G330840
OG0000074	Ag003G273880, Ag003G236930, Ag003G236940	Np004G230020
OG0000074	Ag003G242350, Ag003G242390	Np004G229960
OG0000074	Ag005G402710	Np004G229890
OG0000074	Ag003G241560, Ag003G242310	Np004G230030
OG0000074	Ag004G378820	Np003G180910, Np003G184200
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	Np003G136640
OG0000075	Ag004G337230, Ag004G337250, Ag004G349470, Ag006G510790, Ag004G313480, Ag004G313520, Ag007G599000, Ag007G598990, Ag003G269710	Np007G378600
OG0000075	Ag002G191710, Ag002G191700, Ag002G191680	Np004G233640
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	Np007G423950
OG0000076	Ag001G002030	Np001G021860
OG0000077	Ag003G215720, Ag003G290220, Ag006G569300	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	Ag006G508210	Np007G386290
OG0000077	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120	Np005G261710
OG0000077	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	Np006G360730
OG0000077	Ag002G148310	Np005G261720
OG0000078	Ag001G046650, Ag002G152760	Np005G290970, Np008G428930, Np007G401550, Np004G211330, Np002G116110, Np005G303350, Np002G089150, Np002G108660
OG0000079	Ag001G089410, Ag006G550580, Ag003G233720	Np001G064190
OG0000079	Ag006G550570	Np007G422670
OG0000079	Ag001G089450	Np001G064220
OG0000079	Ag001G084480	Np001G064140
OG0000080	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	Np006G321280, Np006G321720, Np003G146070, Np004G250430
OG0000080	Ag001G028300	Np003G179540, Np002G124540
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	Np005G318150, Np005G318140, Np004G240560, Np006G328080
OG0000081	Ag005G451860, Ag005G452050	Np003G176780, Np003G176800, Np003G176750
OG0000082	Ag004G351970	Np005G302180
OG0000083	Ag005G483950, Ag005G483960	Np002G090350
OG0000084	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770	Np006G364930
OG0000084	Ag008G724370	Np006G364960, Np006G365020
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	Np006G365060, Np006G365040
OG0000087	Ag008G723440	Np001G049810, Np001G010980
OG0000087	Ag007G593840	Np006G350150, Np008G428160
OG0000087	Ag008G728250, Ag001G052770	Np001G007020
OG0000087	Ag007G609260	Np003G139100
OG0000087	Ag002G127940	Np001G039930
OG0000087	Ag006G562620	Np005G287110
OG0000087	Ag003G224140	Np002G077440
OG0000088	Ag007G581970	Np001G038910, Np001G038970
OG0000088	Ag008G717820	Np003G148700, Np003G148740
OG0000089	Ag007G603320	Np003G136030
OG0000089	Ag005G453100	Np007G395030
OG0000089	Ag002G193060	Np006G329000
OG0000089	Ag005G471710	Np007G409340
OG0000089	Ag002G172950, Ag001G073120	Np001G056580, Np006G336940
OG0000089	Ag008G712440, Ag008G708620	Np001G046210, Np003G153120
OG0000090	Ag004G333760	Np004G235330
OG0000090	Ag003G223190	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940	Np004G198850, Np004G198910, Np004G205910, Np001G035580, Np001G035610, Np001G035600
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	Np007G385680, Np001G065320, Np001G065030
OG0000091	Ag008G666230, Ag001G063330, Ag006G524690	Np003G165480
OG0000093	Ag001G087540	Np001G063230
OG0000093	Ag001G087060, Ag020G743300	Np001G005730
OG0000093	Ag001G087410	Np001G063180
OG0000093	Ag001G087200, Ag020G743290, Ag001G087240	Np004G200370, Np004G200430, Np004G200450, Np004G200420, Np004G200410, Np004G200440, Np004G200400
OG0000093	Ag002G193490	Np001G063220
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	Np001G024770
OG0000096	Ag002G102560	Np001G038620
OG0000096	Ag002G103120	Np001G038140
OG0000096	Ag006G559170	Np001G038130
OG0000096	Ag004G380830	Np002G112600
OG0000097	Ag002G129480	Np003G184990
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	Np003G185010
OG0000097	Ag002G128740	Np003G171600
OG0000097	Ag002G128960	Np003G185030
OG0000099	Ag004G395880	Np002G123560, Np004G228320
OG0000099	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410	Np002G113890, Np002G123650, Np007G403740
OG0000099	Ag004G390870, Ag004G390890, Ag004G390900, Ag004G395530, Ag004G390720, Ag004G390710, Ag004G390740, Ag004G390940, Ag004G390780, Ag004G390920	Np002G123570, Np004G227550, Np002G123550
OG0000099	Ag004G390770	Np002G123540
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	Np004G215640
OG0000099	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840	Np004G228310, Np002G123620, Np002G123600, Np002G119820, Np002G123590, Np002G123610, Np002G112400
OG0000099	Ag004G396600, Ag004G396870	Np002G123530
OG0000099	Ag004G391030	Np004G215470
OG0000099	Ag004G396100, Ag004G395920, Ag004G391570, Ag004G396210	Np007G403720
OG0000100	Ag004G376980, Ag002G156660	Np002G095180, Np002G094180, Np005G319140, Np005G295710, Np007G411780, Np005G290650, Np004G240280, Np008G428390, Np001G045110, Np001G052780, Np005G284190
OG0000100	Ag002G132470	Np004G233090, Np003G158140
OG0000100	Ag004G384260, Ag008G659700	Np002G083340
OG0000100	Ag002G169920, Ag007G628580	Np002G096510, Np006G363460
OG0000100	Ag008G659710	Np006G360420, Np005G260470
OG0000101	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960	Np002G123360
OG0000102	Ag008G662610	Np006G343550
OG0000102	Ag007G647210	Np007G377750
OG0000104	Ag004G307220	Np004G251930
OG0000104	Ag007G594850, Ag007G594880, Ag007G594830	Np006G360060
OG0000104	Ag001G010320	Np004G195160
OG0000104	Ag005G441940	Np007G381330
OG0000106	Ag005G417510, Ag001G017220	Np007G372640
OG0000106	Ag005G455000	Np007G394220
OG0000107	Ag005G481150	Np007G398440, Np007G418450
OG0000107	Ag005G446760	Np007G398420
OG0000107	Ag005G444180, Ag005G442930	Np005G313740
OG0000107	Ag003G213880	Np007G380680
OG0000107	Ag005G446780	Np005G305610
OG0000108	Ag005G459590, Ag008G727840	Np001G011650, Np001G011550
OG0000108	Ag003G269110, Ag003G269200	Np007G389900
OG0000108	Ag005G414040	Np004G259470
OG0000108	Ag008G722170	Np005G305310
OG0000108	Ag007G609500, Ag002G145390	Np001G011560
OG0000109	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980	Np003G183100, Np004G217760
OG0000110	Ag001G090130	Np001G064490
OG0000110	Ag001G090120	Np001G064470
OG0000110	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700	Np001G064520
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	Np001G064450
OG0000110	Ag001G090290, Ag001G090300, Ag001G090310	Np001G064540
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	Np005G311780, Np005G313710, Np005G313720, Np005G313730
OG0000111	Ag006G502330	Np005G313680, Np001G006020
OG0000111	Ag003G218010, Ag003G217720, Ag008G729430, Ag008G729820, Ag008G729470, Ag008G729440	Np001G006000
OG0000111	Ag008G729450	Np001G006030
OG0000112	Ag007G615010, Ag007G615020, Ag007G615160, Ag007G615060, Ag007G615030, Ag007G615150, Ag007G615070, Ag007G615040, Ag007G615080, Ag007G615050, Ag005G405660, Ag007G615240, Ag007G615260, Ag007G615250, Ag007G615270, Ag007G615290, Ag007G615280, Ag006G515440, Ag006G515420, Ag006G515430, Ag006G515410, Ag007G615230, Ag007G617630, Ag006G567340, Ag006G542160, Ag006G567310, Ag006G567380, Ag006G567290, Ag006G545290, Ag007G615000	Np003G184320
OG0000113	Ag005G453300, Ag004G396680, Ag007G597560, Ag003G219180, Ag004G390150, Ag004G389940, Ag004G394920, Ag004G389960, Ag004G396880, Ag004G396660, Ag004G387080, Ag004G389950	Np002G122980
OG0000113	Ag002G116610, Ag002G116590, Ag002G138540, Ag002G119250	Np002G089320
OG0000117	Ag002G137760	Np004G227340
OG0000117	Ag003G251430	Np007G391540
OG0000119	Ag001G026190, Ag008G699540, Ag005G437940, Ag007G645640, Ag007G656830	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260
OG0000119	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220	Np002G102980
OG0000120	Ag004G373700, Ag001G094910	Np002G117060, Np002G116940
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	Np003G129250
OG0000122	Ag008G698890	Np003G157760, Np003G157830, Np003G157840
OG0000122	Ag003G267460	Np001G056320
OG0000122	Ag008G698530	Np003G158000
OG0000123	Ag001G067540	Np004G243230
OG0000123	Ag004G318570	Np004G243210
OG0000123	Ag004G318080	Np003G131130
OG0000124	Ag006G527550, Ag008G658090	Np006G348530
OG0000125	Ag005G477020	Np003G126800
OG0000125	Ag008G713670	Np003G151060
OG0000125	Ag007G595180	Np006G359820
OG0000126	Ag008G691850	Np002G094910
OG0000127	Ag006G492230	Np003G125840
OG0000127	Ag005G477990	Np001G046260, Np007G413710
OG0000127	Ag004G313210, Ag004G313190, Ag004G313250	Np002G096200
OG0000131	Ag003G256190, Ag003G250970	Np003G174400
OG0000133	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500	Np005G308080
OG0000133	Ag004G391190, Ag003G285410	Np003G130350, Np003G153160
OG0000133	Ag004G387440	Np002G099680, Np008G425630
OG0000135	Ag007G610770	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000136	Ag004G358500	Np002G086710
OG0000137	Ag002G163620, Ag008G688150	Np003G159210, Np001G035140, Np002G094880
OG0000137	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930
OG0000137	Ag006G528160, Ag001G057880	Np007G398190
OG0000137	Ag007G652700	Np003G131090, Np002G110900
OG0000138	Ag008G725320	Np006G368140
OG0000138	Ag004G345080, Ag004G381060, Ag004G345060	Np002G085290
OG0000139	Ag002G105400	Np006G345080, Np003G170780, Np004G225070, Np001G033760, Np002G105790
OG0000139	Ag007G630860, Ag002G148650	Np003G167980, Np006G368820, Np004G213800, Np003G179380, Np005G308690
OG0000139	Ag001G027020	Np007G401090, Np004G225080, Np008G427690, Np009G431920, Np006G350500, Np002G105800, Np006G350020, Np008G427900, Np002G102560, Np002G103420, Np005G308710, Np006G349710, Np002G100680, Np002G106900, Np002G110150, Np002G103410, Np002G101570, Np005G297220, Np004G224550, Np004G224560
OG0000139	Ag002G170320	Np001G043360, Np005G294120, Np004G258210, Np002G101620, Np001G031610, Np001G031620, Np002G101150, Np004G223980, Np001G031630, Np002G101140
OG0000140	Ag001G060940, Ag001G070480, Ag001G071460, Ag007G624420, Ag008G704320, Ag008G707840, Ag006G566230, Ag008G707860	Np006G370470, Np006G370770
OG0000140	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830	Np003G153920
OG0000140	Ag001G080460, Ag008G707780	Np003G153430, Np007G424390, Np003G153390
OG0000140	Ag001G052690	Np001G046630
OG0000142	Ag004G307050	Np006G360490
OG0000144	Ag005G434100	Np007G408140
OG0000145	Ag006G535320, Ag004G370190	Np002G108950, Np007G417590
OG0000145	Ag004G392330, Ag001G060050, Ag007G610290, Ag004G392340	Np005G299660
OG0000146	Ag008G695350	Np003G160230
OG0000146	Ag008G695470, Ag008G695460	Np003G160060, Np003G160140, Np003G160190
OG0000146	Ag008G695380	Np003G160200
OG0000146	Ag005G465100	Np003G160640
OG0000147	Ag005G408700	Np007G373950
OG0000147	Ag003G261030	Np005G273990
OG0000147	Ag008G702420	Np003G156060
OG0000147	Ag003G209560	Np002G071170
OG0000149	Ag006G570510, Ag006G570440, Ag006G570460	Np001G046040
OG0000149	Ag008G709340	Np003G152730
OG0000149	Ag008G709360	Np003G152750
OG0000149	Ag008G709420	Np003G152700, Np003G152680
OG0000150	Ag008G711330, Ag002G133360	Np003G156160, Np003G156150, Np003G183630
OG0000151	Ag008G685810	Np003G164170
OG0000151	Ag003G253050	Np005G277020
OG0000151	Ag005G417580	Np007G376880
OG0000151	Ag008G698280	Np003G158280
OG0000152	Ag004G335670, Ag001G036190, Ag003G252320	Np004G226970
OG0000154	Ag003G268730, Ag005G477100, Ag005G477120	Np002G086500
OG0000154	Ag004G324480	Np004G240190
OG0000154	Ag005G471090	Np007G408850
OG0000154	Ag002G177350	Np006G330440
OG0000154	Ag005G477170	Np007G413420
OG0000154	Ag006G493360	Np003G126710
OG0000154	Ag006G507750, Ag006G508580, Ag006G493020	Np003G126700, Np003G127150, Np002G112020
OG0000155	Ag006G564870	Np005G287960
OG0000155	Ag005G471860	Np007G409550
