Orthogroup	Alyssum_gmelinii	Conringia_planisiliqua
OG0000017	Ag004G368420, Ag003G267410, Ag004G341270, Ag002G159510	CP18_g12312_DN3_SP0_c.t1
OG0000017	Ag002G182860	CP44_g20955_DN3_SP0_c.t1
OG0000019	Ag003G276070	CP14_g23710_DN2_SP0_c.t1
OG0000019	Ag006G545360	CP18_g11548_DN1_SP0_c.t1
OG0000019	Ag007G642200, Ag006G545350	CP14_g23599_DN3_SP0_c.t1, CP8_g52577_DN3_SP0_c.t1
OG0000020	Ag002G113970	CP44_g20906_DN3_SP0_c.t1
OG0000020	Ag005G440730	CP18_g12572_DN2_SP0_c.t1, CP1_g40427_DN2_SP0_c.t1
OG0000020	Ag006G521270	CP15_g35839_DN1_SP0_c.t1
OG0000020	Ag005G441960	CP15_g34920_DN2_SP0_c.t1, CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1
OG0000021	Ag008G685590	CP18_g12237_DN1_SP0_c.t1, CP5_g2027_DN3_SP0_c.t1
OG0000021	Ag002G201670	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1, CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000024	Ag005G441710, Ag004G351930, Ag005G445160, Ag002G157990, Ag002G117810, Ag003G279100	CP18_g12115_DN1_SP0_c.t1, CP14_g23581_DN3_SP0_c.t1, CP8_g52388_DN2_SP0_c.t1
OG0000024	Ag003G257540	CP12_g31107_DN1_SP0_c.t1
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	CP27_g41814_DN2_SP0_c.t1, CP4_g26144_DN2_SP0_c.t1, CP4_g26295_DN2_SP0_c.t1, CP5_g2126_DN1_SP0_c.t1, CP3_g14601_DN2_SP0_c.t1, CP25_g55834_DN2_SP0_c.t1, CP28_g34014_DN2_SP0_c.t1, CP17_g5929_DN1_SP0_c.t1, CP24_g47108_DN1_SP0_c.t1, CP17_g5930_DN1_SP0_c.t1, CP17_g5538_DN2_SP0_c.t1, CP4_g26314_DN1_SP0_c.t1, CP18_g12498_DN1_SP0_c.t1
OG0000029	Ag006G523440, Ag006G532500, Ag004G401820, Ag002G114660, Ag004G375950, Ag002G168100, Ag004G354120, Ag002G175390, Ag005G441680, Ag006G519730, Ag001G067390, Ag002G186330, Ag006G491400	CP22_g17304_DN2_SP0_c.t1
OG0000029	Ag003G258710	CP29_g22076_DN3_SP0_c.t1
OG0000030	Ag008G659630, Ag006G491030	CP37_g11369_DN1_SP0_c.t1
OG0000030	Ag002G201000, Ag003G292120	CP26_g51212_DN3_SP0_c.t1
OG0000030	Ag007G611240	CP8_g52519_DN1_SP0_c.t1
OG0000030	Ag008G713150	CP8_g52167_DN3_SP0_c.t1
OG0000033	Ag006G548990, Ag006G547250, Ag006G549400, Ag008G717210, Ag006G547380, Ag006G549570, Ag002G130680, Ag002G130760	CP16_g55465_DN3_SP1_c.t1
OG0000034	Ag007G621770	CP1_g40470_DN3_SP0_c.t1
OG0000034	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870, Ag007G644830, Ag007G637970, Ag004G364410, Ag001G055210	CP21_g11036_DN2_SP0_c.t1
OG0000034	Ag005G424470, Ag007G610710, Ag002G120190, Ag004G354480, Ag008G692130, Ag002G161700, Ag005G442050, Ag005G441910, Ag005G425070, Ag006G549200, Ag003G254420, Ag008G687810, Ag006G548030, Ag002G114610, Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310, Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930, Ag002G118220	CP15_g35590_DN3_SP0_c.t1
OG0000035	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040	CP13_g20135_DN3_SP0_c.t1, CP4_g25622_DN2_SP0_c.t1, CP4_g25641_DN3_SP0_c.t1
OG0000035	Ag007G590010	CP9_g29505_DN2_SP0_c.t1
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	CP4_g25547_DN2_SP0_c.t1, CP9_g28258_DN1_SP0_c.t1
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000037	Ag001G053350	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000037	Ag002G136000	CP15_g35754_DN1_SP0_c.t1, CP6_g8155_DN1_SP0_c.t1
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	CP7_g45289_DN3_SP0_c.t1
OG0000038	Ag001G056400	CP3_g13999_DN3_SP0_c.t1
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	CP7_g45140_DN3_SP0_c.t1
OG0000038	Ag005G471060	CP10_g43043_DN3_SP0_c.t1
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	CP10_g43041_DN3_SP0_c.t1
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	CP11_g31940_DN3_SP0_c.t1
OG0000040	Ag005G483190	CP10_g43326_DN2_SP0_c.t1
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	CP10_g43630_DN1_SP0_c.t1
OG0000041	Ag003G296430, Ag003G296390, Ag008G683020	CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1
OG0000041	Ag003G251790	CP17_g5981_DN2_SP0_c.t1, CP12_g31566_DN2_SP0_c.t1
OG0000041	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960	CP1_g39140_DN2_SP0_c.t1, CP1_g38904_DN1_SP0_c.t1, CP3_g16124_DN3_SP0_c.t1, CP12_g31225_DN3_SP0_c.t1, CP6_g8604_DN1_SP0_c.t1, CP98_g41597_DN1_SP0_c.t1, CP13_g20815_DN3_SP0_c.t1, CP5_g3430_DN1_SP0_c.t1, CP53_g22292_DN1_SP0_c.t1, CP47_g21233_DN3_SP0_c.t1, CP2_g49593_DN1_SP0_c.t1, CP2_g50599_DN2_SP0_c.t1, CP6_g8834_DN3_SP0_c.t1, CP5_g2206_DN2_SP0_c.t1, CP13_g20693_DN2_SP0_c.t1, CP8_g52462_DN1_SP0_c.t1, CP5_g2172_DN3_SP0_c.t1, CP30_g10047_DN2_SP0_c.t1, CP12_g31518_DN3_SP0_c.t1, CP3_g16558_DN3_SP0_c.t1, CP5_g2195_DN2_SP0_c.t1, CP31_g46751_DN2_SP0_c.t1, CP25_g55852_DN1_SP0_c.t1, CP13_g20401_DN2_SP0_c.t1, CP6_g9301_DN3_SP0_c.t1, CP13_g20788_DN2_SP0_c.t1
OG0000042	Ag005G442270	CP13_g20255_DN1_SP0_c.t1
OG0000044	Ag006G512870	CP15_g34716_DN3_SP0_c.t1
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1
OG0000045	Ag002G197550, Ag008G703200	CP26_g51323_DN1_SP0_c.t1, CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1, CP14_g22976_DN1_SP0_c.t1, CP15_g34638_DN1_SP0_c.t1, CP15_g34657_DN1_SP0_c.t1, CP15_g34584_DN1_SP0_c.t1, CP15_g34568_DN1_SP0_c.t1, CP6_g7550_DN1_SP0_c.t1
OG0000046	Ag002G129690, Ag002G129740	CP9_g28234_DN3_SP0_c.t1
OG0000048	Ag005G486620, Ag005G486520	CP10_g42381_DN3_SP0_c.t1
OG0000049	Ag003G236810	CP12_g31464_DN1_SP0_c.t1, CP1_g39918_DN2_SP0_c.t1, CP1_g39386_DN1_SP0_c.t1
OG0000050	Ag007G641850	CP18_g11588_DN2_SP0_c.t1, CP1_g38352_DN3_SP0_c.t1, CP18_g12167_DN3_SP0_c.t1
OG0000050	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1
OG0000050	Ag006G569990, Ag006G561100, Ag007G641840	CP7_g44165_DN3_SP0_c.t1
OG0000052	Ag002G195160, Ag002G194240, Ag002G194190	CP4_g24481_DN3_SP0_c.t1
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	CP9_g28198_DN3_SP0_c.t1, CP4_g24479_DN3_SP0_c.t1
OG0000053	Ag003G279130	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1
OG0000054	Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080	CP5_g2131_DN3_SP0_c.t1
OG0000055	Ag004G334400, Ag004G379910	CP2_g49031_DN3_SP0_c.t1
OG0000055	Ag004G377140	CP11_g31796_DN3_SP0_c.t1
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	CP2_g49067_DN3_SP0_c.t1, CP2_g49076_DN3_SP0_c.t1, CP2_g49080_DN3_SP0_c.t1
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	CP2_g49697_DN3_SP0_c.t1
OG0000056	Ag001G076880	CP12_g31151_DN1_SP0_c.t1, CP14_g23418_DN2_SP0_c.t1
OG0000056	Ag002G181330	CP3_g16601_DN1_SP0_c.t1, CP12_g31150_DN2_SP0_c.t1
OG0000056	Ag002G121000, Ag006G542770	CP5_g1872_DN1_SP0_c.t1, CP14_g22894_DN3_SP0_c.t1, CP13_g20359_DN3_SP0_c.t1, CP10_g43900_DN2_SP0_c.t1, CP2_g50526_DN2_SP0_c.t1, CP15_g35743_DN2_SP0_c.t1, CP28_g33939_DN2_SP0_c.t1, CP15_g36057_DN3_SP0_c.t1, CP20_g3870_DN2_SP0_c.t1, CP18_g11730_DN1_SP0_c.t1, CP17_g5132_DN3_SP0_c.t1, CP4_g26050_DN2_SP0_c.t1, CP3_g16600_DN2_SP0_c.t1, CP6_g8612_DN2_SP0_c.t1, CP14_g22893_DN2_SP0_c.t1, CP35_g52086_DN1_SP0_c.t1, CP24_g47158_DN2_SP0_c.t1, CP76_g27141_DN3_SP0_c.t1, CP23_g21854_DN3_SP0_c.t1, CP23_g21662_DN2_SP0_c.t1, CP23_g21733_DN3_SP0_c.t1, CP23_g21767_DN1_SP0_c.t1, CP22_g17221_DN2_SP0_c.t1, CP22_g17291_DN1_SP0_c.t1, CP23_g21606_DN1_SP0_c.t1, CP6_g9003_DN1_SP0_c.t1
OG0000057	Ag003G289060	CP12_g30730_DN2_SP0_c.t1
OG0000058	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110, Ag004G388900	CP4_g26939_DN1_SP0_c.t1
OG0000058	Ag006G516660	CP21_g11182_DN2_SP0_c.t1, CP3_g15241_DN1_SP0_c.t1, CP5_g3335_DN2_SP0_c.t1
OG0000059	Ag006G543980	CP1_g39495_DN2_SP0_c.t1
OG0000059	Ag004G391520	CP50_g6564_DN3_SP0_c.t1
OG0000059	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210	CP12_g31525_DN1_SP0_c.t1
OG0000059	Ag002G103440, Ag002G122810	CP15_g36037_DN2_SP0_c.t1
OG0000061	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650, Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860, Ag004G329090, Ag006G566820, Ag002G142080, Ag006G573690, Ag006G525790, Ag006G562400, Ag003G279160, Ag007G603910, Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720	CP1_g40914_DN2_SP0_c.t1
OG0000063	Ag008G698780	CP4_g24977_DN3_SP0_c.t1
OG0000063	Ag007G586340	CP8_g52772_DN3_SP0_c.t1
OG0000063	Ag004G307350	CP1_g37064_DN3_SP0_c.t1
OG0000063	Ag002G119010	CP3_g14841_DN3_SP0_c.t1
OG0000064	Ag003G295980	CP5_g77_DN1_SP0_c.t1
OG0000065	Ag009G735570	CP24_g47137_DN2_SP0_c.t1
OG0000066	Ag007G604700	CP4_g25642_DN3_SP0_c.t1
OG0000066	Ag002G125900	CP2_g49425_DN3_SP0_c.t1
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820	CP12_g31237_DN3_SP0_c.t1
OG0000068	Ag002G158600	CP1_g40830_DN2_SP0_c.t1, CP3_g16137_DN3_SP0_c.t1, CP4_g26781_DN3_SP0_c.t1, CP24_g46983_DN2_SP0_c.t1
OG0000068	Ag002G161440, Ag003G260950, Ag006G498520	CP4_g26547_DN1_SP0_c.t1
OG0000069	Ag006G532130	CP5_g2097_DN2_SP0_c.t1
OG0000069	Ag003G208920	CP6_g8294_DN1_SP0_c.t1, CP14_g23758_DN2_SP0_c.t1
OG0000069	Ag003G258860	CP8_g52571_DN1_SP0_c.t1, CP13_g20431_DN2_SP0_c.t1, CP9_g29611_DN2_SP0_c.t1, CP8_g53134_DN1_SP0_c.t1
OG0000069	Ag002G200250	CP6_g9730_DN1_SP0_c.t1, CP18_g12305_DN2_SP0_c.t1, CP15_g34957_DN1_SP0_c.t1, CP6_g9731_DN1_SP0_c.t1
OG0000073	Ag002G137530	CP21_g10991_DN3_SP0_c.t1
OG0000074	Ag003G273880, Ag003G236930, Ag003G236940	CP7_g45419_DN3_SP0_c.t1
OG0000074	Ag003G242350, Ag003G242390	CP7_g45418_DN3_SP0_c.t1, CP7_g45417_DN3_SP0_c.t1, CP7_g45428_DN3_SP0_c.t1
OG0000074	Ag003G241560, Ag003G242310	CP7_g45420_DN3_SP0_c.t1
OG0000074	Ag004G378820	CP20_g4368_DN3_SP0_c.t1
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	CP7_g44717_DN3_SP0_c.t1
OG0000075	Ag004G320420, Ag004G320400, Ag004G320390, Ag004G320380, Ag004G320410, Ag004G320330, Ag004G320350, Ag004G320470, Ag006G555240, Ag006G543310, Ag006G544200, Ag006G543080, Ag006G544500, Ag002G191710, Ag002G191700, Ag002G191680	CP1_g37296_DN2_SP0_c.t1, CP1_g37302_DN2_SP0_c.t1
OG0000076	Ag001G069290, Ag001G069280	CP7_g44259_DN3_SP0_c.t1
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300, Ag001G002030	CP13_g19766_DN3_SP0_c.t1
OG0000077	Ag006G569300	CP5_g173_DN1_SP0_c.t1
OG0000078	Ag002G136430	CP5_g2099_DN3_SP0_c.t1
OG0000079	Ag006G550580, Ag003G233720	CP16_g55065_DN3_SP0_c.t1
OG0000081	Ag007G593730	CP7_g45047_DN1_SP0_c.t1
OG0000081	Ag005G451860, Ag005G452050	CP20_g4332_DN1_SP0_c.t1
OG0000082	Ag008G658870, Ag004G384280	CP17_g6148_DN2_SP0_c.t1
OG0000082	Ag004G385590	CP18_g12600_DN2_SP0_c.t1
OG0000082	Ag004G351970	CP4_g26212_DN3_SP0_c.t1
OG0000082	Ag004G340020	CP20_g3822_DN2_SP0_c.t1
OG0000084	Ag002G111870	CP16_g55159_DN2_SP0_c.t1
OG0000084	Ag008G724370	CP16_g55163_DN2_SP0_c.t1
OG0000086	Ag008G709530	CP18_g12051_DN1_SP0_c.t1
OG0000087	Ag008G723440	CP2_g48308_DN3_SP8_c.t1
OG0000087	Ag007G593840	CP4_g25793_DN3_SP8_c.t1
OG0000087	Ag007G609260	CP11_g32707_DN3_SP8_c.t1
OG0000087	Ag002G161340	CP4_g25265_DN3_SP6_c.t1
OG0000087	Ag002G127940	CP13_g20168_DN3_SP8_c.t1
OG0000087	Ag006G562620	CP6_g6768_DN3_SP8_c.t1
OG0000087	Ag003G224140	CP9_g29223_DN3_SP8_c.t1
OG0000090	Ag004G333760	CP7_g45746_DN3_SP0_c.t1
OG0000090	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940	CP1_g38197_DN2_SP0_c.t1, CP1_g38202_DN3_SP0_c.t1
OG0000091	Ag008G666230, Ag001G063330, Ag006G524690	CP18_g12036_DN3_SP0_c.t1
OG0000093	Ag001G087540	CP3_g13515_DN3_SP0_c.t1
OG0000093	Ag001G087060, Ag020G743300	CP3_g14024_DN3_SP0_c.t1
OG0000093	Ag002G193490	CP5_g3286_DN3_SP0_c.t1, CP37_g11362_DN3_SP0_c.t1, CP5_g3308_DN1_SP0_c.t1, CP5_g3309_DN3_SP0_c.t1, CP37_g11347_DN2_SP0_c.t1
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	CP13_g19516_DN3_SP0_c.t1
OG0000096	Ag002G102560	CP13_g20085_DN3_SP0_c.t1
OG0000096	Ag002G103120	CP13_g20039_DN3_SP0_c.t1
OG0000096	Ag006G559170	CP13_g20034_DN3_SP0_c.t1, CP13_g20036_DN3_SP0_c.t1
OG0000096	Ag002G103250	CP13_g20028_DN2_SP0_c.t1, CP13_g20031_DN1_SP0_c.t1
OG0000096	Ag004G380830	CP2_g49677_DN1_SP0_c.t1
OG0000097	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340	CP5_g1424_DN3_SP0_c.t1
OG0000098	Ag004G315550, Ag004G315560	CP1_g37532_DN1_SP0_c.t1
OG0000098	Ag006G506280, Ag004G316800, Ag004G315620	CP13_g20427_DN3_SP0_c.t1
OG0000100	Ag004G376980, Ag002G156660	CP15_g35834_DN3_SP0_c.t1
OG0000100	Ag003G219250, Ag002G132470	CP17_g5913_DN2_SP0_c.t1, CP17_g5918_DN2_SP0_c.t1
OG0000100	Ag008G659700	CP12_g31136_DN1_SP0_c.t1
OG0000100	Ag002G169920, Ag007G628580, Ag006G499830, Ag002G169190, Ag002G140250, Ag008G659710, Ag003G260180, Ag006G507010, Ag007G587450, Ag007G628510	CP8_g52256_DN3_SP0_c.t1
OG0000101	Ag004G389820, Ag004G389830	CP2_g48895_DN3_SP0_c.t1
OG0000102	Ag008G662610	CP37_g11370_DN1_SP0_c.t1, CP5_g3265_DN3_SP0_c.t1
OG0000102	Ag004G328280	CP14_g23881_DN1_SP0_c.t1
OG0000102	Ag003G274160	CP12_g31118_DN1_SP0_c.t1, CP13_g20642_DN2_SP0_c.t1
OG0000104	Ag007G594880, Ag007G594830	CP4_g25846_DN3_SP0_c.t1
OG0000106	Ag004G383320	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1
OG0000107	Ag005G481150	CP7_g44349_DN3_SP0_c.t1, CP7_g44362_DN3_SP0_c.t1
OG0000107	Ag005G446680	CP15_g34930_DN1_SP0_c.t1
OG0000107	Ag005G446780	CP6_g8709_DN3_SP0_c.t1
OG0000108	Ag003G269110, Ag003G269200	CP17_g5784_DN1_SP0_c.t1
OG0000109	Ag001G087550, Ag006G493580, Ag002G191920, Ag007G620300, Ag001G037570	CP15_g34635_DN1_SP0_c.t1, CP15_g34653_DN3_SP0_c.t1, CP15_g34622_DN2_SP0_c.t1, CP15_g34582_DN1_SP0_c.t1, CP15_g34595_DN2_SP0_c.t1, CP2_g50412_DN2_SP0_c.t1
OG0000109	Ag006G532070	CP13_g20454_DN2_SP0_c.t1
OG0000109	Ag002G124770	CP18_g12074_DN1_SP0_c.t1
OG0000109	Ag001G038010	CP6_g8582_DN2_SP0_c.t1, CP3_g15710_DN2_SP0_c.t1
OG0000109	Ag002G191910	CP12_g31527_DN3_SP0_c.t1, CP24_g47038_DN2_SP0_c.t1
OG0000110	Ag001G090130	CP3_g13458_DN3_SP0_c.t1
OG0000110	Ag007G655930	CP6_g7942_DN3_SP0_c.t1
OG0000113	Ag002G118730	CP20_g4043_DN3_SP0_c.t1
OG0000113	Ag002G119250	CP2_g50540_DN2_SP0_c.t1, CP2_g49355_DN1_SP0_c.t1
OG0000113	Ag004G394970	CP20_g4448_DN2_SP0_c.t1
OG0000113	Ag007G655220	CP12_g31635_DN1_SP0_c.t1
OG0000114	Ag003G284630	CP12_g31634_DN1_SP0_c.t1
OG0000117	Ag006G549560	CP5_g3262_DN3_SP0_c.t1, CP37_g11372_DN1_SP0_c.t1, CP2_g49793_DN2_SP0_c.t1, CP23_g21369_DN1_SP0_c.t1
OG0000117	Ag002G137760	CP9_g27445_DN1_SP0_c.t1, CP33_g3644_DN2_SP0_c.t1, CP4_g26226_DN3_SP0_c.t1, CP6_g9671_DN1_SP0_c.t1, CP1_g41234_DN3_SP0_c.t1
OG0000117	Ag005G409580	CP4_g26209_DN2_SP0_c.t1, CP6_g8210_DN1_SP0_c.t1
OG0000117	Ag003G251430	CP94_g6387_DN3_SP0_c.t1
OG0000117	Ag006G517320	CP15_g34661_DN2_SP0_c.t1, CP1_g40571_DN3_SP0_c.t1, CP22_g17718_DN3_SP0_c.t1, CP14_g23878_DN3_SP0_c.t1, CP13_g20759_DN2_SP0_c.t1, CP3_g16299_DN1_SP0_c.t1
OG0000117	Ag002G174540	CP3_g15485_DN3_SP0_c.t1, CP15_g36117_DN3_SP0_c.t1, CP1_g41162_DN3_SP0_c.t1
OG0000120	Ag004G373700, Ag001G094910	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	CP6_g8949_DN3_SP0_c.t1, CP20_g4168_DN3_SP0_c.t1, CP20_g4172_DN3_SP0_c.t1
OG0000122	Ag008G698890	CP8_g53627_DN3_SP0_c.t1
OG0000122	Ag003G267460	CP8_g53628_DN3_SP0_c.t1
OG0000122	Ag008G698530	CP8_g53621_DN3_SP0_c.t1, CP8_g53620_DN3_SP0_c.t1
OG0000123	Ag007G583620	CP7_g45076_DN3_SP0_c.t1
OG0000123	Ag001G067540	CP2_g49018_DN2_SP0_c.t1
OG0000123	Ag004G318540, Ag006G573850	CP2_g49912_DN3_SP0_c.t1, CP1_g37670_DN3_SP0_c.t1
OG0000123	Ag006G564520	CP1_g37644_DN3_SP0_c.t1
OG0000124	Ag005G441490	CP1_g38598_DN2_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1
