Orthogroup	Alyssum_gmelinii	Camelina_sativa
OG0000017	Ag005G432180, Ag001G042370, Ag001G058750, Ag008G684550	XP_010511936.1
OG0000017	Ag004G336140, Ag001G069670	XP_019093396.1, XP_019087567.1
OG0000017	Ag002G124100, Ag004G375560, Ag001G050140	XP_010490144.2, XP_010419513.2, XP_019093393.1, XP_010485084.1, XP_010445327.2, XP_019087487.1, XP_010473965.2, XP_010496135.2, XP_010417447.2, XP_010506998.1
OG0000018	Ag007G609170	XP_010445495.1, XP_010451671.1, XP_010445118.1, XP_019086509.1, XP_010445483.1, XP_010511144.1, XP_019096477.1, XP_010439761.1, XP_019089680.1, XP_010471217.1, XP_010434877.1, XP_010482610.1, XP_019088976.1, XP_019091495.1
OG0000019	Ag005G436930	XP_010456625.1, XP_010490157.1, XP_010501437.1, XP_010424194.1, XP_010490065.1, XP_010431263.1, XP_010445515.1, XP_010462557.1, XP_010473749.1, XP_019099759.1, XP_019084322.1, XP_010518648.2, XP_010445771.1, XP_010445496.1, XP_010424758.1, XP_019099681.1, XP_010477411.1, XP_010468134.1, XP_010462846.1, XP_010424815.1, XP_010501841.1, XP_019087442.1
OG0000019	Ag007G613770, Ag002G147220, Ag003G285010	XP_010424212.1, XP_019087271.1
OG0000019	Ag007G642200, Ag006G545350	XP_010412777.1, XP_010445506.1, XP_019085606.1, XP_019090007.1, XP_019101898.1, XP_010495668.1, XP_010516924.1
OG0000019	Ag005G447690, Ag004G361020, Ag001G055110, Ag007G635570, Ag001G073070	XP_010436576.1
OG0000020	Ag006G521270	XP_019100224.1
OG0000020	Ag005G441960	XP_010463223.1, XP_019088196.1
OG0000021	Ag008G685590	XP_010463070.1, XP_010481219.1, XP_010456454.1, XP_010424514.1, XP_019089179.1
OG0000021	Ag002G135150	XP_010490455.1
OG0000021	Ag005G443540	XP_010489852.1
OG0000021	Ag002G201670	XP_010424593.1, XP_019089103.1, XP_010424837.2
OG0000023	Ag006G545600, Ag006G549030	XP_010439188.2, XP_010433919.1, XP_010445177.2
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	XP_019089325.1, XP_010433927.1, XP_019086460.1
OG0000023	Ag002G145570, Ag002G145600	XP_010434897.1, XP_010455557.1, XP_010455558.1, XP_010434889.1
OG0000023	Ag002G145500	XP_019089721.1
OG0000023	Ag006G547270	XP_010418084.1, XP_010439216.1
OG0000023	Ag006G545440	XP_010439191.1, XP_019086469.1
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	XP_010448752.1, XP_010439208.1, XP_010433929.1, XP_019088139.1
OG0000023	Ag006G549060	XP_010439207.1
OG0000025	Ag003G230310	XP_010446183.1, XP_010450001.1, XP_010436592.1, XP_010440401.1, XP_019087714.1, XP_010436629.2, XP_010451562.1, XP_019095667.1, XP_010443019.1, XP_019086647.1, XP_010446111.1, XP_010482860.1, XP_010485121.1, XP_010485123.1, XP_010485122.1
OG0000026	Ag013G741580	XP_010507228.1, XP_010495239.1, XP_010495240.1
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	XP_010451660.1, XP_010515282.1, XP_019090727.1
OG0000029	Ag006G523440	XP_010435359.1, XP_019099915.1
OG0000029	Ag002G114660	XP_019086286.1, XP_010490162.1
OG0000029	Ag005G441680, Ag006G519730	XP_010513534.1, XP_010468539.2, XP_019100867.1, XP_019096310.1, XP_019084297.1, XP_019095473.1, XP_019092371.1, XP_019091545.1
OG0000029	Ag001G067390	XP_010507008.1
OG0000029	Ag003G216290, Ag003G216300	XP_019084640.1
OG0000030	Ag007G611240	XP_010506956.1, XP_010506954.1, XP_010412394.1
OG0000030	Ag002G133450, Ag002G134890, Ag001G003750, Ag007G608580, Ag005G416870, Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020	XP_019084298.1, XP_010412790.1, XP_019091192.1, XP_010463184.1, XP_010507036.1, XP_019093234.1
OG0000030	Ag008G691940, Ag005G407260, Ag002G169900, Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430, Ag004G380470	XP_010445645.1, XP_010462855.1
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740	XP_019084211.1, XP_010501749.1, XP_010490052.1, XP_010468592.1, XP_019098046.1, XP_010470910.1, XP_010431219.1, XP_010507568.1, XP_010480984.1, XP_010501571.1, XP_019092230.1, XP_010513486.1, XP_010473769.1, XP_010513423.1, XP_010424173.1, XP_019083211.1, XP_010424695.1
OG0000030	Ag003G292140	XP_010481147.1, XP_019099771.1
OG0000031	Ag001G078560, Ag004G386130	XP_010419482.1
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	XP_010458700.1
OG0000031	Ag002G111150, Ag002G107580	XP_010447152.1, XP_010436064.1
OG0000031	Ag004G401670	XP_010419465.1, XP_010474584.1, XP_019085228.1, XP_010418533.1, XP_019085324.1, XP_010418529.1, XP_010430597.1
OG0000033	Ag006G547230, Ag006G549390	XP_010448753.1, XP_010439209.1, XP_010433941.1
OG0000033	Ag006G547260, Ag006G549410	XP_010418085.1, XP_010448756.1, XP_010439218.1
OG0000033	Ag006G543630, Ag006G543880	XP_010439201.1, XP_019089065.1, XP_010448744.1, XP_010492474.1, XP_010453750.1, XP_019089320.1, XP_010439192.1, XP_019086470.1, XP_010439195.1, XP_019088941.1, XP_010448766.1, XP_010473582.1, XP_010418366.1, XP_010430440.1, XP_010439226.1, XP_010439227.1, XP_010448760.1, XP_019087864.1, XP_010448759.1, XP_010433935.1
OG0000033	Ag006G564890, Ag003G210460	XP_019088150.1, XP_019089518.1
OG0000033	Ag006G548990	XP_010451231.2, XP_010448725.1, XP_019087860.1, XP_019086461.1, XP_019089061.1, XP_010439190.1, XP_010448726.1
OG0000033	Ag006G547380, Ag006G549570	XP_010433930.1, XP_010448768.1, XP_019087874.1
OG0000033	Ag002G130680, Ag002G130760	XP_010431580.1
OG0000034	Ag007G621770	XP_019094521.1, XP_019090430.1
OG0000034	Ag002G147590, Ag004G329060	XP_010495589.1, XP_010451640.1
OG0000034	Ag005G434950	XP_010477952.1
OG0000034	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870	XP_019086739.1
OG0000034	Ag007G610710, Ag002G120190	XP_010494867.1
OG0000034	Ag005G442050	XP_010475406.1
OG0000034	Ag005G441910	XP_010422636.1
OG0000034	Ag001G022990, Ag004G369310	XP_019100729.1
OG0000034	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930	XP_019094880.1
OG0000034	Ag002G118220	XP_010470446.1
OG0000035	Ag007G589380	XP_010480341.1
OG0000035	Ag007G589990	XP_019094365.1, XP_010468111.1
OG0000035	Ag007G590010	XP_010431684.1, XP_010431683.1, XP_010419453.1, XP_019082751.1, XP_010431681.1
OG0000035	Ag005G405240, Ag002G183820	XP_010418688.1, XP_010510047.1, XP_010510053.1, XP_010473899.1, XP_010473891.1, XP_010444605.1, XP_010485320.1
OG0000035	Ag005G414840	XP_010513134.1, XP_010418702.1
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	XP_019082534.1, XP_010513136.1, XP_010430751.1, XP_019099592.1, XP_010510111.2, XP_019100801.1, XP_010418693.1, XP_010418694.1, XP_010513131.1, XP_010473897.1, XP_010418692.1
OG0000036	Ag004G310880	XP_010474229.1, XP_010456533.1, XP_010430982.1, XP_010418657.1, XP_010474465.1
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	XP_019086887.1, XP_010493433.1
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	XP_010445597.1, XP_019085657.1, XP_010513622.1, XP_010484891.1, XP_019093348.1, XP_010507131.1, XP_019084347.1, XP_019082584.1, XP_010501541.1, XP_010495691.1, XP_010456723.1
OG0000037	Ag001G080220	XP_019099636.1, XP_019084276.1, XP_019094441.1, XP_019092930.1
OG0000037	Ag007G646570	XP_019094592.1, XP_019087509.1, XP_019101835.1, XP_019100765.1
OG0000037	Ag001G053350	XP_019096539.1
OG0000037	Ag008G688330	XP_019085550.1, XP_019082566.1
OG0000037	Ag004G388700	XP_019101803.1, XP_019087389.1, XP_019087390.1, XP_019101919.1, XP_019084390.1
OG0000037	Ag002G136000	XP_019087357.1, XP_019095607.1, XP_019085897.1, XP_019091034.1, XP_019096545.1
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	XP_010507624.1, XP_010512960.1, XP_010509052.1, XP_010412781.1, XP_010502501.1, XP_010427246.1
OG0000038	Ag001G003660	XP_010460250.2, XP_019094444.1, XP_010462884.1
OG0000038	Ag007G594740, Ag007G591770, Ag004G335660	XP_010473935.1, XP_010513180.1
OG0000038	Ag006G511550, Ag006G511600	XP_010424281.1, XP_010495458.2, XP_010495456.1
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	XP_010484847.1, XP_019097807.1, XP_019091504.1, XP_019084341.1, XP_010455815.1, XP_010467852.1, XP_010468367.2
OG0000038	Ag003G279120	XP_019087882.1
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	XP_019097483.1, XP_019087570.1
OG0000038	Ag004G312700	XP_019100342.1, XP_010509013.1, XP_019082541.1
OG0000038	Ag004G348120	XP_010455679.1
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	XP_019092169.1
OG0000039	Ag004G347330, Ag007G622120	XP_010481168.1, XP_010456792.1, XP_010436889.1, XP_010495798.1, XP_010451634.1, XP_019097426.1, XP_010424316.1
OG0000039	Ag005G448620, Ag004G337020	XP_019096217.1
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	XP_010462901.2, XP_010462898.1, XP_010477981.2, XP_019091238.1, XP_010499061.1, XP_010462936.2, XP_010462910.2, XP_010506941.1, XP_010481243.1
OG0000040	Ag002G192690, Ag002G188830	XP_010412587.1, XP_010468083.1, XP_010489797.1, XP_019096559.1, XP_010419025.2, XP_010501254.1, XP_019096650.1, XP_019096368.1, XP_010465220.1
OG0000040	Ag007G626240, Ag005G483200, Ag002G109870	XP_010446114.1, XP_019096373.1
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	XP_019096352.1, XP_019099931.1, XP_010431180.1, XP_019099946.1
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	XP_019092251.1, XP_010424523.1, XP_010487966.1, XP_010481059.1, XP_010463131.1
OG0000042	Ag005G442270	XP_019094451.1
OG0000046	Ag006G575430	XP_010439880.1, XP_010412987.2, XP_010439882.2, XP_019101968.1, XP_019086248.1
OG0000046	Ag007G619200, Ag007G619210	XP_010420225.1
OG0000046	Ag002G129690, Ag002G129740	XP_019083220.1, XP_019100936.1
OG0000046	Ag002G129710	XP_019098152.1
OG0000047	Ag008G717960, Ag004G337790, Ag001G100560, Ag002G180790	XP_010462847.1, XP_010501825.1
OG0000047	Ag007G643270, Ag006G556170	XP_010469626.1
OG0000047	Ag001G041020, Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180	XP_010506977.1
OG0000047	Ag005G457670	XP_010474142.1
OG0000047	Ag006G528150	XP_010470520.1
OG0000048	Ag005G486480	XP_010514749.1, XP_010463845.1, XP_010485737.1
OG0000048	Ag005G486620, Ag005G486520	XP_010514943.1, XP_010485744.1, XP_010463847.1
OG0000049	Ag003G236810	XP_010507608.1, XP_019090114.1, XP_010424251.1, XP_010456904.1, XP_010474502.1, XP_010495533.1, XP_019097475.1
OG0000050	Ag007G641850	XP_019085507.1, XP_010430776.1, XP_010497024.1, XP_010445564.1, XP_019098324.1
OG0000050	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	XP_010513344.1, XP_010507126.1, XP_010424291.1, XP_010445890.1, XP_019094835.1, XP_019092382.1, XP_019097384.1, XP_010513205.1, XP_010513649.1
OG0000052	Ag004G301370, Ag004G301320	XP_019098849.1, XP_010457379.1, XP_019094361.1, XP_019094954.1, XP_010475218.1
OG0000052	Ag002G194170	XP_010506074.1, XP_019101977.1, XP_010508568.1
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	XP_019100718.1, XP_019102056.1
OG0000052	Ag002G194440, Ag002G194380	XP_019100716.1, XP_019100715.1, XP_019099796.1, XP_019101979.1, XP_019099795.1, XP_019100717.1, XP_019101978.1
OG0000053	Ag003G279130	XP_010451388.1, XP_010451387.1, XP_010445432.1, XP_010436657.1, XP_010507491.1, XP_010485261.1, XP_010424397.1, XP_010507751.1, XP_010418870.1, XP_010419243.1, XP_010418226.1, XP_010474557.1, XP_010501675.1, XP_010480860.1, XP_010412778.1, XP_010501678.1, XP_010457038.1, XP_010424297.1, XP_010480864.1, XP_010492076.1, XP_010480807.1, XP_010421928.1, XP_019086245.1, XP_019082768.1, XP_010454794.1, XP_019093613.1, XP_019087039.1, XP_010445534.1, XP_019093612.1, XP_010483128.1, XP_010474415.1, XP_010501879.1, XP_010513527.1, XP_010513525.1, XP_019094598.1, XP_010467664.1, XP_010495455.1, XP_010436683.1, XP_010444952.1
OG0000053	Ag006G525960	XP_010415481.1
OG0000054	Ag002G142440, Ag001G038950, Ag008G708750, Ag008G708710, Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080	XP_010445679.1, XP_010442704.1, XP_010497389.1
OG0000055	Ag004G382900	XP_010430303.1
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	XP_010419451.1, XP_010473417.1, XP_010473416.1, XP_019082750.1, XP_010430231.1, XP_010430224.1, XP_010418173.1, XP_010473415.1, XP_010473414.1, XP_010430223.1, XP_010418172.1
OG0000056	Ag002G121000, Ag006G542770	XP_019086564.1, XP_010446292.1
OG0000057	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510	XP_010489359.1, XP_010515149.1
OG0000057	Ag005G459490	XP_019096397.1
OG0000057	Ag005G459920	XP_010468237.1, XP_010465999.1, XP_010466015.1, XP_010419774.1, XP_010507202.1, XP_010487805.1, XP_010489926.1, XP_010468273.1, XP_019092636.1
OG0000057	Ag003G289060	XP_019092356.1
OG0000058	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110	XP_019097515.1, XP_010495728.1
OG0000058	Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190	XP_010463383.1
OG0000058	Ag006G516660	XP_010430899.1
OG0000059	Ag006G543980	XP_010423438.1
OG0000059	Ag004G391520	XP_010462838.1, XP_019087502.1, XP_019089261.1
OG0000059	Ag002G103440, Ag002G122810	XP_019094476.1, XP_019096351.1
OG0000061	Ag004G339650	XP_010462790.1, XP_010480815.1, XP_019089329.1, XP_010436473.1, XP_010456870.1
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860	XP_019082651.1, XP_019085368.1, XP_019086362.1, XP_010424661.1, XP_019091072.1, XP_019084275.1, XP_019096344.1, XP_019096335.1, XP_019082519.1, XP_019098295.1, XP_019099672.1, XP_019082727.1
OG0000064	Ag003G295980	XP_019088762.1, XP_010446406.1, XP_019086777.1
OG0000065	Ag009G735570	XP_019098326.1, XP_019098351.1, XP_019098390.1, XP_019099627.1, XP_019097476.1, XP_019100901.1, XP_019099563.1, XP_019094561.1, XP_019094562.1, XP_019089054.1
OG0000065	Ag001G025490	XP_019098311.1
OG0000066	Ag003G225470	XP_010437129.1, XP_010453132.1, XP_010491788.1, XP_010431986.1, XP_010431988.1, XP_010419651.1, XP_010480248.1, XP_010488359.1, XP_010471674.1, XP_010428586.1, XP_010466628.1, XP_010447175.1
OG0000066	Ag002G125900	XP_010425488.1, XP_010484375.1, XP_010502711.1, XP_010475747.1, XP_010458200.1, XP_010463183.1, XP_010514443.1, XP_010489841.1, XP_010444536.1
OG0000067	Ag005G407040, Ag005G407080, Ag005G407050	XP_010452237.1, XP_010423775.1, XP_019097289.1, XP_010490843.1, XP_019084545.1, XP_019097292.1, XP_010424780.1, XP_010490972.1
OG0000067	Ag007G607200, Ag007G607230, Ag003G227540	XP_010491460.1, XP_019084672.1
OG0000069	Ag006G532130	XP_019089848.1, XP_010456900.1
OG0000069	Ag002G200250	XP_019087245.1, XP_010513296.1, XP_010424522.1
OG0000070	Ag001G027030	XP_019101859.1, XP_010513381.1
OG0000071	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710	XP_019086014.1, XP_019087671.1, XP_010426617.1, XP_010450226.1, XP_010514363.1
OG0000071	Ag003G234950, Ag003G217580	XP_010416947.1
OG0000072	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	XP_019092259.1, XP_019082981.1, XP_010480955.1, XP_019094608.1, XP_019099613.1, XP_019085388.1, XP_019089441.1, XP_019089444.1, XP_010445263.1, XP_019089175.1, XP_019097535.1, XP_010480982.1, XP_019089388.1, XP_019101047.1, XP_010480771.1, XP_019087491.1, XP_019092555.1, XP_010498960.2, XP_019097842.1, XP_019094512.1, XP_019098282.1, XP_010455605.1, XP_010468370.1, XP_019087456.1, XP_019085117.1, XP_019101294.1, XP_010513333.1, XP_010436696.1, XP_010484918.1, XP_019098356.1, XP_010431026.1, XP_010468511.1, XP_010518462.1, XP_019097833.1, XP_010450472.2, XP_010424456.1, XP_019098111.1, XP_019090345.1, XP_010421088.1, XP_019086540.1, XP_019093688.1, XP_010496614.1, XP_010431325.1, XP_019093303.1, XP_019099565.1, XP_010514808.1, XP_010467138.1, XP_010419836.1, XP_010445669.1, XP_010501700.1
OG0000073	Ag006G576040	XP_019087254.1, XP_019088788.1
OG0000073	Ag003G212540	XP_010434749.1, XP_019086125.1
OG0000073	Ag002G118960, Ag002G118950	XP_019095933.1
OG0000073	Ag002G137530	XP_019096918.1, XP_010468576.2
OG0000073	Ag002G120540	XP_019082617.1, XP_010445862.2, XP_010494828.1
OG0000073	Ag002G116910	XP_019090872.1
OG0000074	Ag005G402710	XP_010477663.1
OG0000074	Ag003G241560, Ag003G242310	XP_010477661.1, XP_019095155.1
OG0000074	Ag004G378820	XP_010510745.1, XP_019095156.1, XP_010477657.1, XP_019097182.1
OG0000074	Ag006G514000	XP_019099169.1, XP_010477662.1
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	XP_019101108.1, XP_010495133.1, XP_010424706.2
OG0000075	Ag004G313480, Ag004G313520, Ag007G599000, Ag007G598990, Ag003G269710	XP_010490137.1, XP_010468500.2
OG0000075	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420	XP_010495208.1, XP_019084194.1, XP_010492457.1, XP_010420351.1, XP_010495227.2, XP_019088045.1, XP_010447293.1, XP_010432619.1
OG0000075	Ag004G320420, Ag004G320400, Ag004G320390, Ag004G320380, Ag004G320410, Ag004G320330, Ag004G320350, Ag004G320470, Ag006G555240, Ag006G543310, Ag006G544200, Ag006G543080, Ag006G544500	XP_010501637.1, XP_010462958.1, XP_010480708.1, XP_010477784.1, XP_010480648.2
OG0000076	Ag001G069290, Ag001G069280	XP_019085577.1, XP_010431293.1, XP_010431290.2, XP_019082473.1
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	XP_010418929.2, XP_019100897.1, XP_010418932.1, XP_010507020.2, XP_019100094.1, XP_010425426.1, XP_010502642.1, XP_010514366.1, XP_010430778.1, XP_019085408.1, XP_010440300.1, XP_019085462.1, XP_019101817.1, XP_010502644.1
OG0000076	Ag001G002030	XP_010502638.1, XP_010425425.1
OG0000077	Ag003G284880	XP_010431361.1, XP_010431362.2, XP_010507443.1, XP_010427182.1, XP_010516012.1
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	XP_019086927.1
