Orthogroup	Alyssum_gmelinii	Brassica_napus
OG0000019	Ag007G642200, Ag006G545350	XP_013704389.3, XP_013717169.2, XP_022547619.1, XP_022547620.1
OG0000019	Ag003G257300, Ag008G690690	XP_022552294.1
OG0000020	Ag002G113970	XP_048630843.1, XP_048624068.1, XP_022567211.2
OG0000020	Ag005G440730	XP_013694335.2
OG0000020	Ag003G281030, Ag003G281020	XP_022549023.2, XP_013723822.1, XP_013657903.1, XP_013723556.1, XP_048611901.1, XP_048605534.1, XP_013674065.2, XP_048634951.1, XP_048591547.1, XP_013650843.2, XP_013718148.1, XP_013668768.2, XP_013668767.1, XP_048615651.1, XP_048613478.1, XP_013709420.1, XP_048609050.1, XP_013679762.2, XP_048637046.1, XP_048627992.1, XP_048628108.1, XP_048613522.1, XP_048596430.1, XP_048633083.1, XP_048622997.1, XP_048591443.1, XP_013673878.1, XP_048608892.1, XP_048612046.1, XP_013673528.1, XP_048593409.1, XP_048591396.1, XP_013746230.1, XP_013688741.2, XP_013713236.1, XP_013700399.2, XP_013650665.1, XP_048618574.1, XP_048610003.1, XP_048620217.1, XP_013713189.2, XP_048613489.1, XP_013699955.2, XP_048619850.1, XP_013705031.1, XP_013713624.2, XP_048617270.1, XP_048632936.1, XP_048595713.1, XP_048612579.1, XP_048598102.1, XP_048634137.1
OG0000021	Ag008G685590	XP_013694633.1
OG0000021	Ag002G135150	XP_048635125.1, XP_048615863.1
OG0000021	Ag005G443540	XP_048596309.1, XP_048626541.1
OG0000021	Ag002G201670	XP_013713376.1, XP_013661539.2, XP_013727601.1, XP_048620920.1, XP_048615710.1, XP_013708382.1, XP_013700007.2, XP_048604811.1, XP_048611847.1, XP_048620273.1, XP_013658199.2, XP_048604627.1, XP_048611960.1, XP_048604719.1, XP_048622881.1, XP_013704354.2, XP_013700069.1, XP_013700070.1, XP_013720866.1, XP_022557494.1, XP_022574317.2, XP_013717736.1, XP_013713632.1, XP_013745275.1
OG0000023	Ag006G545600, Ag006G549030	XP_013697411.2, XP_013738434.2, XP_013738445.2, XP_022570725.1, XP_048601630.1, XP_048597054.1, XP_048601629.1, XP_013737521.2, XP_048601631.1, XP_013694303.1
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	XP_048634136.1, XP_013723122.1, XP_013663886.1, XP_048633858.1, XP_013694257.1, XP_013737657.1, XP_048612374.1
OG0000023	Ag002G145570, Ag002G145600	XP_022558747.1
OG0000023	Ag002G145500	XP_048625802.1, XP_048632003.1
OG0000023	Ag002G145450	XP_013718560.2
OG0000023	Ag006G547270	XP_013690743.1
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	XP_013663876.1, XP_013701916.1, XP_013663877.2, XP_013737896.1, XP_048601610.1, XP_022549279.2, XP_022550415.1, XP_013737922.2, XP_013737872.2, XP_013710801.1, XP_013717353.1, XP_013694329.2
OG0000023	Ag006G549060, Ag006G543820	XP_048605876.1
OG0000025	Ag003G230310	XP_048603142.1, XP_048637460.1, XP_048596622.1, XP_048637461.1, XP_022561441.2, XP_013705737.2, XP_048594642.1, XP_013713555.1, XP_013665745.2, XP_013717234.2, XP_048627191.1, XP_022569752.1, XP_048607491.1, XP_013712755.1, XP_013686788.2, XP_013674736.2, XP_048604076.1, XP_048604483.1, XP_022560149.2, XP_048630233.1, XP_013726076.2, XP_048604678.1, XP_048603144.1, XP_013714776.2, XP_013674735.2
OG0000027	Ag007G580660	XP_013746916.2, XP_013669867.2
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	XP_048615845.1, XP_013745854.2, XP_013730647.1, XP_013720478.1, XP_013649023.1, XP_013709149.1, XP_013645637.1, XP_013668696.1, XP_013732741.2, XP_048635134.1, XP_048613316.1, XP_022553264.2, XP_013652806.1, XP_048596339.1, XP_013732607.1, XP_048596328.1, XP_013716211.2, XP_013663457.2, XP_048613315.1, XP_048611865.1, XP_013645696.2, XP_048605437.1, XP_048625180.1, XP_048607633.1, XP_013665469.2, XP_013726546.1, XP_048638265.1, XP_013688983.1, XP_022558343.1, XP_013706275.2, XP_013650677.1, XP_013705054.1, XP_013729440.1, XP_013668860.2, XP_022548807.2, XP_013646182.2, XP_048623697.1, XP_013651197.1, XP_013658604.1, XP_013707922.2, XP_013679109.3, XP_013745224.1, XP_048616838.1, XP_013704224.2, XP_048593390.1, XP_013650700.1, XP_048627799.1, XP_013658458.1, XP_013719392.2, XP_013704816.2, XP_048613359.1, XP_048611760.1, XP_022561462.1, XP_048624139.1, XP_048613477.1, XP_048599192.1, XP_048615949.1, XP_013658247.1, XP_048603572.1, XP_022549798.1, XP_013645232.1, XP_048632999.1, XP_013725945.1, XP_022557655.1, XP_048637584.1, XP_048593411.1, XP_013652335.1, XP_048599560.1, XP_048618607.1, XP_013645857.1, XP_013718802.1, XP_013720035.1, XP_013657814.2, XP_022562306.1, XP_048615853.1, XP_013717166.2, XP_013723155.1, XP_013665035.2, XP_048613429.1, XP_013709292.1, XP_048622652.1
OG0000029	Ag006G523440	XP_013655251.2, XP_013679244.2
OG0000029	Ag002G114660	XP_048634081.1
OG0000029	Ag002G168100, Ag004G354120	XP_048605707.1
OG0000029	Ag002G175390	XP_013708649.1, XP_048636014.1, XP_022552362.2, XP_048610765.1
OG0000029	Ag005G441680, Ag006G519730	XP_048624916.1, XP_048604271.1, XP_048630615.1, XP_048615843.1, XP_048637599.1, XP_048593648.1, XP_048607162.1, XP_048623050.1
OG0000029	Ag002G186330, Ag006G491400	XP_022551038.1, XP_048635815.1, XP_048611551.1, XP_048635103.1, XP_022558100.2, XP_048591075.1, XP_048638384.1, XP_048596031.1, XP_013738696.2, XP_048634928.1, XP_048632933.1, XP_048591471.1, XP_048596550.1, XP_048634105.1, XP_048623704.1, XP_013650865.2, XP_048609092.1, XP_048594955.1, XP_048615335.1, XP_048634156.1, XP_013721193.1, XP_048608517.1
OG0000029	Ag003G258710	XP_048593383.1
OG0000030	Ag002G145320, Ag008G659630, Ag006G491030	XP_013673703.1
OG0000030	Ag007G611240	XP_048634976.1
OG0000030	Ag002G133450, Ag002G134890, Ag001G003750, Ag007G608580, Ag005G416870, Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020	XP_048631703.1, XP_048593350.1, XP_048599751.1
OG0000030	Ag002G167860, Ag004G319940	XP_048630454.1
OG0000030	Ag004G398140, Ag003G263120	XP_048614763.1
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740	XP_048611490.1, XP_013669162.1, XP_013713780.1, XP_048620176.1
OG0000030	Ag003G292140	XP_048615642.1, XP_048613169.1
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	XP_013708901.1, XP_022547209.2
OG0000031	Ag002G111150, Ag002G107580	XP_013731595.1, XP_013743363.2
OG0000031	Ag004G401670	XP_013664370.2, XP_048595644.1, XP_013716382.2
OG0000033	Ag006G547230, Ag006G549390	XP_013714969.1, XP_013737559.2, XP_022555869.1, XP_013694313.2, XP_013737653.2, XP_013694321.1
OG0000033	Ag006G547260, Ag006G549410	XP_013686564.1
OG0000033	Ag006G543630, Ag006G543880	XP_048622964.1, XP_013694292.1, XP_013694271.1, XP_013737656.2
OG0000033	Ag006G564890, Ag003G210460	XP_013717260.1, XP_013737259.1
OG0000033	Ag006G548990	XP_048591452.1, XP_048597020.1, XP_013738358.2, XP_022570722.1
OG0000033	Ag008G717210	XP_022573444.1
OG0000033	Ag006G547380, Ag006G549570	XP_013737581.2, XP_048608846.1, XP_013663884.1
OG0000033	Ag002G130680, Ag002G130760	XP_048596713.1, XP_013644429.1
OG0000034	Ag007G621770	XP_048623038.1, XP_048592734.1, XP_022574481.2
OG0000034	Ag002G147590, Ag004G329060	XP_048621898.1, XP_048603766.1
OG0000034	Ag005G434950	XP_048602612.1, XP_048593533.1
OG0000034	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870	XP_048629230.1, XP_048613039.1, XP_013657357.3, XP_048604157.1, XP_048600875.1, XP_048602885.1, XP_048622341.1, XP_048624629.1, XP_048614704.1, XP_048615203.1, XP_048601602.1, XP_013739469.3, XP_048622524.1, XP_013682194.3, XP_048621943.1, XP_048613063.1, XP_048604204.1, XP_048611588.1, XP_048607524.1, XP_048609770.1, XP_048606770.1, XP_048603896.1, XP_048600393.1, XP_048600357.1, XP_013713559.3, XP_013710842.2, XP_013652140.3, XP_013710791.2, XP_048626102.1
OG0000034	Ag005G424470	XP_048614493.1, XP_048605445.1
OG0000034	Ag004G354480	XP_022565462.2
OG0000034	Ag008G692130, Ag002G161700	XP_048628411.1, XP_048614818.1, XP_048630350.1, XP_048633211.1, XP_013657802.1, XP_013683745.1, XP_013734837.1, XP_013688359.1, XP_013749796.1, XP_013672505.1, XP_048603409.1, XP_048628910.1, XP_048628410.1, XP_048614058.1, XP_048624623.1, XP_048619694.1, XP_022569352.1, XP_048592466.1, XP_013687328.1, XP_013653378.1
OG0000034	Ag005G442050	XP_048627000.1
OG0000034	Ag002G114610	XP_048623388.1, XP_048602182.1, XP_048623276.1, XP_013743057.1
OG0000034	Ag001G024500, Ag002G147600, Ag003G280350, Ag007G640930	XP_048612319.1, XP_048602271.1
OG0000035	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040	XP_013739520.1, XP_048598553.1, XP_013689525.2, XP_048598552.1, XP_048609969.1, XP_013747197.1, XP_022557090.1, XP_022574570.1, XP_013751316.2, XP_013713944.3, XP_048636772.1
OG0000035	Ag006G499210	XP_048634166.1
OG0000035	Ag005G405240, Ag002G183820	XP_048611992.1, XP_048634350.1
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	XP_013683389.1, XP_013715831.2, XP_022551123.2, XP_048603751.1, XP_013715819.2
OG0000036	Ag004G310880	XP_013694559.1
OG0000036	Ag006G551100, Ag001G036210	XP_013657838.1, XP_048627543.1, XP_048608409.1, XP_048593331.1, XP_048628172.1, XP_048620141.1, XP_048591430.1, XP_022545052.2, XP_013654319.1, XP_048620074.1, XP_048628110.1, XP_048628260.1, XP_048609738.1, XP_013679870.3, XP_013673880.3, XP_048605547.1, XP_048630635.1, XP_048610215.1, XP_013729460.2, XP_013658994.1, XP_048604753.1, XP_013726692.1, XP_048615564.1, XP_048619319.1
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	XP_048604985.1
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	XP_048605396.1, XP_013657831.1, XP_022573022.1
OG0000037	Ag004G388700	XP_013665475.1
OG0000037	Ag002G136000	XP_022568279.2
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	XP_022547515.1, XP_013689407.1, XP_013674918.2
OG0000038	Ag001G056400	XP_048620565.1, XP_022547368.1, XP_013746550.1, XP_048610886.1
OG0000038	Ag003G279120	XP_048594240.1, XP_048622251.1, XP_048622252.1, XP_022546529.1, XP_013719588.1, XP_048621240.1
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	XP_013683826.1, XP_048620271.1, XP_048620270.1, XP_022557802.1, XP_013699605.1
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	XP_048615236.1, XP_048635940.1, XP_048635115.1, XP_048615249.1, XP_048635116.1, XP_048615246.1
OG0000039	Ag004G347330, Ag007G622120	XP_048637497.1, XP_013745367.1, XP_013704436.1, XP_048615849.1
OG0000039	Ag001G029450, Ag001G027390	XP_048611645.1
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	XP_013701833.2, XP_022560216.2, XP_048591590.1, XP_022562465.2, XP_013659007.2, XP_013751455.2
OG0000040	Ag005G483190	XP_048600575.1
OG0000040	Ag002G192690, Ag002G188830	XP_022550055.1, XP_022547723.2, XP_048600572.1, XP_048627995.1, XP_048600577.1, XP_048600576.1, XP_048600578.1, XP_048600582.1, XP_048600573.1, XP_048634184.1, XP_013744698.2, XP_048634467.1, XP_013744695.2, XP_013687565.1
OG0000040	Ag007G626240, Ag005G483200, Ag002G109870	XP_048600581.1, XP_048600574.1, XP_048600570.1
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	XP_013679817.1, XP_013717097.2, XP_013679818.1
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	XP_022556711.2, XP_013720692.1, XP_048609153.1, XP_013684915.2, XP_048609156.1, XP_048628652.1, XP_022574870.2
OG0000042	Ag007G610350, Ag001G022920	XP_013669693.1, XP_013728373.1, XP_048599707.1
OG0000042	Ag005G442270	XP_048596563.1
OG0000044	Ag008G702570	XP_048617149.1, XP_048606242.1, XP_022575854.1, XP_022568454.1, XP_048630632.1, XP_048619316.1, XP_048610212.1, XP_022564020.1, XP_048603735.1, XP_048596312.1, XP_013729463.1, XP_048615563.1, XP_048637468.1, XP_013735816.1
OG0000044	Ag006G512870, Ag001G054960	XP_022547672.2, XP_013669672.2, XP_048623948.1, XP_048598164.1, XP_048613213.1, XP_048615669.1, XP_013642234.3, XP_013669592.2, XP_048608518.1, XP_013736305.1
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570	XP_013653957.2, XP_048610024.1
OG0000045	Ag002G197550, Ag008G703200	XP_013751220.1, XP_022546552.1, XP_013694239.1, XP_048628468.1, XP_013724424.1, XP_013689123.2, XP_013713286.1, XP_013669586.1, XP_048596540.1, XP_048637065.1, XP_013739454.2, XP_048612059.1, XP_013727563.2, XP_048604915.1, XP_013733850.2, XP_013710371.1, XP_022552649.1, XP_048615901.1, XP_048612605.1, XP_013713178.1, XP_022562451.1, XP_048613579.1
OG0000046	Ag006G575430	XP_013737242.2, XP_048638243.1, XP_013669844.2, XP_022574226.2, XP_048622771.1
OG0000046	Ag007G619200, Ag007G619210	XP_013720885.1
OG0000046	Ag002G197360	XP_048592857.1, XP_048610726.1, XP_048610838.1
OG0000046	Ag002G129690, Ag002G129740	XP_048616752.1, XP_048610981.1, XP_048604137.1
OG0000046	Ag002G129710	XP_022551748.1, XP_048629558.1
OG0000047	Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180	XP_022565160.1
OG0000047	Ag005G457670	XP_048606465.1, XP_048615063.1, XP_048630782.1, XP_022563248.1
OG0000047	Ag006G528150	XP_013727892.1
OG0000047	Ag003G283670	XP_022560098.2, XP_048630294.1
OG0000047	Ag007G585730, Ag007G603890	XP_048638490.1
OG0000050	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	XP_013739943.1, XP_013704948.1, XP_048630984.1, XP_048637629.1, XP_048599686.1, XP_013655825.2, XP_013721760.1, XP_013705039.1, XP_013669077.1
OG0000050	Ag001G062310	XP_048591431.1
OG0000050	Ag007G656820, Ag001G040590, Ag001G089640, Ag008G665420	XP_048622868.1, XP_013704335.2, XP_048596437.1, XP_048596181.1, XP_013665273.2, XP_013717743.2, XP_013694933.1, XP_022548666.1, XP_048629593.1, XP_013751523.1, XP_013669411.1, XP_048637596.1, XP_048596358.1, XP_048634865.1, XP_048596316.1, XP_048591449.1, XP_013751433.2, XP_048634900.1, XP_048591793.1, XP_013660420.1, XP_013659078.1, XP_048619968.1, XP_022559956.2, XP_013726896.2, XP_048619948.1, XP_048626905.1, XP_048619946.1, XP_013699967.2
OG0000050	Ag006G561100	XP_013718383.1
OG0000050	Ag008G684980	XP_013719946.1
OG0000052	Ag004G301370, Ag004G301320	XP_048613662.1, XP_048599350.1, XP_013680648.2, XP_022549241.2, XP_048598261.1, XP_048597938.1
OG0000052	Ag002G195160, Ag002G194240, Ag002G194190	XP_013691740.1, XP_013747418.2
OG0000052	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	XP_048605363.1, XP_048632926.1
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	XP_022556477.2, XP_022564157.2, XP_048637054.1, XP_022558010.2, XP_013752059.2, XP_013716726.2, XP_013716727.2
OG0000053	Ag003G279130	XP_013740947.1, XP_013741291.2, XP_013676972.1, XP_048633337.1, XP_013647473.2, XP_013741357.2, XP_013691360.1, XP_048610556.1, XP_013713105.2
OG0000053	Ag006G525960	XP_013673756.1, XP_022571037.1
OG0000054	Ag007G634740, Ag006G513370	XP_022553428.2, XP_013737743.2, XP_048623720.1, XP_022553704.2, XP_048634735.1, XP_048610596.1, XP_048602294.1, XP_022574445.2, XP_048635553.1, XP_048618573.1, XP_048622748.1, XP_013713188.2, XP_048619894.1, XP_048611783.1, XP_048613170.1, XP_048615234.1, XP_048637818.1, XP_048637045.1, XP_048596138.1, XP_048612574.1, XP_048634954.1, XP_048609051.1, XP_022574301.2, XP_048633225.1, XP_022574506.1, XP_013704260.2, XP_022562802.1, XP_048620993.1, XP_048599089.1, XP_048592551.1, XP_048621337.1, XP_022551131.2, XP_048597720.1, XP_048606142.1, XP_048619790.1, XP_048621209.1, XP_048622552.1, XP_048629346.1, XP_048633888.1, XP_048598954.1, XP_022549978.2, XP_048605107.1, XP_013705438.2, XP_048615650.1, XP_048602917.1, XP_048628816.1, XP_048605478.1, XP_022574390.2, XP_048622671.1, XP_048599304.1, XP_048610747.1, XP_048596260.1, XP_013695048.2, XP_013654745.2, XP_048601641.1, XP_048608968.1
OG0000055	Ag004G334400, Ag004G379910	XP_013742425.2, XP_013664366.1, XP_013660709.1, XP_013644421.1
OG0000055	Ag004G377140	XP_022565366.1, XP_048596263.1, XP_013714829.1
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	XP_048633192.1, XP_013686982.2, XP_048600561.1, XP_013728715.2
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	XP_013689080.1
OG0000056	Ag001G076880, Ag002G181330, Ag008G680730	XP_048634929.1, XP_013645844.2, XP_048593471.1, XP_013688936.2, XP_048609321.1, XP_013688795.2, XP_048635087.1, XP_013694675.1, XP_013645882.2, XP_048611631.1, XP_013694324.1, XP_013690206.1, XP_048596449.1, XP_013645336.1, XP_013689842.1, XP_048626013.1, XP_048622740.1, XP_048607413.1, XP_013709826.3, XP_013665443.2, XP_013709534.2, XP_048623820.1, XP_048611849.1, XP_048633213.1, XP_048594492.1
OG0000056	Ag002G121000, Ag006G542770	XP_013668678.3, XP_048624531.1, XP_048623988.1, XP_013679415.1, XP_013654159.2, XP_048615511.1, XP_048593289.1
OG0000057	Ag003G289060	XP_013665444.2, XP_022565713.1
OG0000058	Ag004G332280, Ag001G061500, Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790	XP_048596463.1, XP_013645621.2, XP_048605527.1, XP_048599608.1, XP_013689814.2, XP_048617049.1, XP_022553383.1, XP_013739632.2, XP_022565235.1
OG0000058	Ag006G516660	XP_013722514.1, XP_013700583.1, XP_013745363.2, XP_013694732.1, XP_048591504.1, XP_048593222.1, XP_022562618.1, XP_013710788.1, XP_022568760.1, XP_013700064.1, XP_048599667.1, XP_022571757.2, XP_013700531.2, XP_048591560.1, XP_048603602.1, XP_048629394.1, XP_013648539.2, XP_048596304.1, XP_048631614.1, XP_048634594.1
OG0000059	Ag004G391520	XP_048615797.1, XP_048627704.1, XP_048622764.1, XP_013645474.1, XP_048598050.1
OG0000059	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210	XP_048608876.1, XP_048611646.1, XP_013738602.1, XP_048627469.1, XP_013724826.1, XP_013732055.1, XP_048617726.1, XP_048611527.1, XP_048593349.1, XP_048592235.1, XP_013658488.2, XP_013658064.2
OG0000059	Ag006G522950	XP_048599730.1
OG0000061	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650	XP_048609345.1
