Orthogroup	Alyssum_gmelinii	Cardamine_amara
OG0000023	Ag006G547270	evm.model.RL_2.1829, evm.model.RL_2.1830
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	evm.model.RL_2.1825.3.687c86e4
OG0000023	Ag006G549060, Ag006G543820	evm.model.RL_2.1826
OG0000025	Ag003G230310	evm.model.RL_2.872
OG0000026	Ag002G192470	evm.model.RL_1.193, evm.model.RL_1.2571
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	evm.model.RL_4.1689
OG0000029	Ag006G523440	evm.model.RL_8.656
OG0000029	Ag002G168100, Ag004G354120	evm.model.RL_4.797
OG0000030	Ag002G145320	evm.model.RL_7.2074
OG0000030	Ag004G349980, Ag003G277490	evm.model.RL_5.2340, evm.model.RL_6.2259
OG0000030	Ag007G611240	evm.model.RL_5.2342
OG0000031	Ag001G078560, Ag004G386130	evm.model.RL_3.205
OG0000033	Ag006G547230, Ag006G549390	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	Ag006G543630, Ag006G543880	evm.model.RL_2.1828
OG0000033	Ag006G547250, Ag006G549400, Ag008G717210	evm.model.RL_2.1847, evm.model.RL_2.1846
OG0000033	Ag006G547380, Ag006G549570	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000033	Ag002G130680, Ag002G130760	evm.model.RL_8.413
OG0000034	Ag007G621770, Ag002G147590, Ag004G329060, Ag002G126640, Ag006G537230, Ag001G041740, Ag004G365370, Ag004G364780, Ag005G434950	evm.model.RL_5.2588
OG0000034	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870	evm.model.RL_2.4
OG0000034	Ag008G692130, Ag002G161700	evm.model.RL_4.675
OG0000034	Ag005G441910	evm.model.RL_7.2041
OG0000035	Ag007G589990	evm.model.RL_6.1297
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	evm.model.RL_5.2564
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	Ag001G080220	evm.model.RL_5.891
OG0000039	Ag004G347330, Ag007G622120	evm.model.RL_3.1691
OG0000039	Ag005G448620, Ag004G337020	evm.model.RL_1.3015, evm.model.RL_3.1690
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	evm.model.RL_7.2097
OG0000042	Ag007G610350, Ag001G022920	evm.model.RL_3.4
OG0000042	Ag008G683730, Ag007G637230, Ag001G051650, Ag008G718640, Ag005G442270	evm.model.RL_6.2221
OG0000044	Ag008G702570	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	Ag001G054960	evm.model.RL_2.659
OG0000045	Ag002G197550, Ag008G703200	evm.model.RL_7.883, evm.model.RL_8.1002, evm.model.RL_1.930, evm.model.RL_6.267
OG0000046	Ag006G575430	evm.model.RL_2.1379
OG0000046	Ag002G129690, Ag002G129740	evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077
OG0000047	Ag005G457670	evm.model.RL_2.1217
OG0000052	Ag004G301370, Ag004G301320	evm.model.RL_5.167
OG0000052	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	evm.model.RL_6.1412
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	evm.model.RL_6.2368
OG0000053	Ag003G279130	evm.model.RL_1.2655
OG0000054	Ag002G142440, Ag001G038950, Ag008G708750, Ag008G708710, Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080	evm.model.RL_1.2395
OG0000055	Ag004G382900	evm.model.RL_3.282
OG0000056	Ag001G076880, Ag002G181330, Ag008G680730	evm.model.RL_2.634
OG0000056	Ag002G121000, Ag006G542770	evm.model.RL_1.2423, evm.model.RL_1.2416, evm.model.RL_8.1064, evm.model.RL_7.2479, evm.model.RL_5.3516, evm.model.RL_8.1063, evm.model.RL_7.2480, evm.model.RL_8.880, evm.model.RL_8.260, evm.model.RL_3.1257, evm.model.RL_3.1335
OG0000058	Ag004G388900	evm.model.RL_6.526
OG0000058	Ag004G332280, Ag001G061500, Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790	evm.model.RL_6.762
OG0000058	Ag006G516660	evm.model.RL_2.1104, evm.model.RL_1.2538
OG0000059	Ag004G391520	evm.model.RL_6.844
OG0000059	Ag002G103440, Ag002G122810	evm.model.RL_6.807
OG0000061	Ag004G339650	evm.model.RL_3.1126
OG0000061	Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720	evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041
OG0000062	Ag002G153690, Ag002G153580	evm.model.RL_6.781, evm.model.RL_6.779
OG0000063	Ag007G595160, Ag002G172730	evm.model.RL_8.2072
OG0000063	Ag004G307570	evm.model.RL_7.1740
OG0000063	Ag008G710470	evm.model.RL_7.1774, evm.model.RL_6.981
OG0000064	Ag004G324660, Ag004G324700, Ag003G296080, Ag002G109510, Ag002G109380, Ag003G296040, Ag003G296060, Ag002G109520, Ag002G109590, Ag002G109550, Ag003G296070, Ag002G191390, Ag002G109460, Ag002G109500, Ag003G296100, Ag003G296020, Ag002G109470, Ag002G109450, Ag003G283080, Ag003G283090	evm.model.RL_5.1832
OG0000065	Ag009G735570	evm.model.RL_2.692, evm.model.RL_1.2797
OG0000066	Ag003G225470	evm.model.RL_4.2487, evm.model.RL_3.1975
OG0000066	Ag003G293060	evm.model.RL_2.3331
OG0000066	Ag007G604700	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	Ag002G125900	evm.model.RL_4.2540, evm.model.RL_8.2622
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820	evm.model.RL_7.2627
OG0000067	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000069	Ag002G200250	evm.model.RL_4.1093
OG0000071	Ag006G563870, Ag005G485090, Ag002G107730, Ag002G139550, Ag005G451770, Ag005G451710	evm.model.RL_1.2437
OG0000071	Ag004G339910	evm.model.RL_4.341
OG0000072	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	evm.model.RL_3.925, evm.model.RL_2.737, evm.model.RL_7.1960, evm.model.RL_3.276, evm.model.RL_1.3082, evm.model.RL_3.783
OG0000073	Ag002G118960, Ag002G118950	evm.model.RL_4.629
OG0000073	Ag002G116850	evm.model.RL_5.2720
OG0000073	Ag002G116910	evm.model.RL_4.175
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	evm.model.RL_6.1653
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	evm.model.RL_2.3382
OG0000077	Ag006G569300	evm.model.RL_6.2241, evm.model.RL_6.145
OG0000078	Ag002G136430	evm.model.RL_7.1903
OG0000079	Ag001G089520, Ag001G089530, Ag001G089500, Ag006G550440	evm.model.RL_2.379
OG0000080	Ag007G610550, Ag007G610520	evm.model.RL_5.3416
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	evm.model.RL_6.1107
OG0000082	Ag004G385590	evm.model.RL_7.1932
OG0000084	Ag002G111870	evm.model.RL_6.376
OG0000084	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770	evm.model.RL_6.397
OG0000084	Ag008G724370	evm.model.RL_6.313
OG0000086	Ag008G709530	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	Ag008G723440	evm.model.RL_4.1345
OG0000087	Ag007G593840	evm.model.RL_6.1057
OG0000087	Ag007G609260	evm.model.RL_4.2360
OG0000087	Ag002G161340	evm.model.RL_6.1567
OG0000087	Ag002G127940	evm.model.RL_4.428
OG0000087	Ag006G562620	evm.model.RL_2.1599
OG0000087	Ag003G224140	evm.model.RL_3.1990
OG0000088	Ag007G581970	evm.model.RL_7.1629
OG0000089	Ag007G603320	evm.model.RL_4.2603
OG0000089	Ag001G021310	evm.model.RL_1.1790.1.687c87ee
OG0000089	Ag002G193060	evm.model.RL_6.2333
OG0000089	Ag005G471710	evm.model.RL_1.1121
OG0000089	Ag002G172950, Ag001G073120	evm.model.RL_6.1820
OG0000089	Ag008G712440, Ag008G708620	evm.model.RL_7.1725, evm.model.RL_8.2019
OG0000090	Ag004G333760	evm.model.RL_5.1846
OG0000090	Ag003G223190	evm.model.RL_3.2006
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	evm.model.RL_2.2972
OG0000090	Ag002G185460	evm.model.RL_7.2013, evm.model.RL_7.2546
OG0000093	Ag001G087540	evm.model.RL_7.523
OG0000093	Ag001G087470	evm.model.RL_7.525
OG0000093	Ag001G086770, Ag001G086780, Ag001G086760, Ag001G086540, Ag001G086510	evm.model.RL_7.532
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	evm.model.RL_7.2530, evm.model.RL_7.2533
OG0000096	Ag002G102560	evm.model.RL_4.362
OG0000097	Ag002G130220, Ag002G132530, Ag002G129480	evm.model.RL_8.394
OG0000097	Ag002G128740	evm.model.RL_8.388
OG0000097	Ag002G128960	evm.model.RL_8.395
OG0000099	Ag004G395880, Ag004G394290, Ag004G391580	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000099	Ag004G396600, Ag004G396870, Ag004G391030	evm.model.RL_3.85
OG0000101	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060	evm.model.RL_3.344
OG0000101	Ag004G389820, Ag004G389830	evm.model.RL_3.339
OG0000104	Ag007G594830	evm.model.RL_6.1001
OG0000104	Ag007G594810	evm.model.RL_6.1005
OG0000104	Ag001G010320	evm.model.RL_5.2109
OG0000104	Ag005G441940	evm.model.RL_1.2055
OG0000104	Ag001G010240	evm.model.RL_8.1054
OG0000104	Ag001G010180, Ag001G010190	evm.model.RL_5.1892_evm.model.RL_5.1893
OG0000106	Ag005G417510, Ag001G017220	evm.model.RL_7.1393, evm.model.RL_1.1896
OG0000107	Ag005G446740, Ag005G446750	evm.model.RL_1.1928
OG0000107	Ag005G446670	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929
OG0000108	Ag005G459590, Ag008G727840	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	Ag005G414040	evm.model.RL_3.231
OG0000108	Ag008G722170, Ag007G609500, Ag002G145390	evm.model.RL_1.3010
OG0000109	Ag001G087550, Ag006G493580, Ag002G191920, Ag007G620300, Ag001G037570	evm.model.RL_1.2215, evm.model.RL_4.1270
OG0000109	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980	evm.model.RL_7.2399, evm.model.RL_3.555, evm.model.RL_1.2753, evm.model.RL_6.342
OG0000109	Ag002G124770	evm.model.RL_1.2214
OG0000109	Ag002G191910	evm.model.RL_8.997
OG0000110	Ag001G090120	evm.model.RL_7.1925
OG0000110	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700	evm.model.RL_7.432
OG0000113	Ag003G210260	evm.model.RL_2.149
OG0000113	Ag005G453300	evm.model.RL_3.97, evm.model.RL_7.1875
OG0000113	Ag003G219180	evm.model.RL_3.98
OG0000113	Ag004G396880, Ag004G396660, Ag004G387080, Ag004G389950	evm.model.RL_3.159.1.687c84ba
OG0000113	Ag002G116610, Ag002G116590, Ag002G138540, Ag002G119250	evm.model.RL_3.996
OG0000113	Ag004G394970	evm.model.RL_4.346
OG0000113	Ag007G655220	evm.model.RL_4.610, evm.model.RL_4.608
OG0000114	Ag005G486540, Ag005G485930	evm.model.RL_1.340
OG0000114	Ag006G573480	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000114	Ag003G284630	evm.model.RL_4.609, evm.model.RL_3.630, evm.model.RL_1.339
OG0000114	Ag006G555860	evm.model.RL_3.757
OG0000117	Ag003G251430, Ag006G517320	evm.model.RL_8.488
OG0000117	Ag002G174540	evm.model.RL_3.358
OG0000119	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220	evm.model.RL_5.2397
OG0000120	Ag004G373700, Ag001G094910	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	Ag003G267460	evm.model.RL_5.2721
OG0000123	Ag001G067540	evm.model.RL_5.1210
OG0000123	Ag004G318570	evm.model.RL_5.1211
OG0000124	Ag005G441490	evm.model.RL_3.893
OG0000124	Ag003G242000	evm.model.RL_4.540
OG0000124	Ag008G669380	evm.model.RL_2.1935, evm.model.RL_1.2598
OG0000125	Ag005G477020	evm.model.RL_4.3281
OG0000125	Ag008G713670	evm.model.RL_4.1435
OG0000125	Ag004G307540	evm.model.RL_5.630
OG0000125	Ag007G595180	evm.model.RL_6.979
OG0000126	Ag008G691850	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	Ag005G477940	evm.model.RL_1.823
OG0000127	Ag008G679900, Ag004G381150	evm.model.RL_4.3345
OG0000127	Ag006G492190	evm.model.RL_4.3346
OG0000127	Ag004G381140	evm.model.RL_4.3347
OG0000127	Ag006G492230	evm.model.RL_4.3343
OG0000127	Ag005G477990	evm.model.RL_1.822
OG0000128	Ag003G264610, Ag003G264920	evm.model.RL_5.2370
OG0000135	Ag007G610770	evm.model.RL_4.523, evm.model.RL_3.1563, evm.model.RL_8.884, evm.model.RL_8.165, evm.model.RL_8.1813, evm.model.RL_2.446, evm.model.RL_5.3235, evm.model.RL_2.3041
OG0000136	Ag008G691470, Ag005G487080, Ag004G358500	evm.model.RL_3.1028
OG0000137	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700	evm.model.RL_7.1543
OG0000139	Ag002G170320	evm.model.RL_8.982
OG0000140	Ag008G707960	evm.model.RL_7.1796
OG0000142	Ag007G594470	evm.model.RL_6.1032
OG0000142	Ag004G307050	evm.model.RL_6.1033, evm.model.RL_6.1034
OG0000144	Ag005G434110	evm.model.RL_8.1451
OG0000145	Ag006G535320, Ag004G370190	evm.model.RL_8.608
OG0000147	Ag003G261030	evm.model.RL_2.2536
OG0000147	Ag008G702420	evm.model.RL_8.1812
OG0000147	Ag003G209560	evm.model.RL_3.2406
OG0000147	Ag001G041550	evm.model.RL_2.664
OG0000149	Ag006G570510, Ag006G570440, Ag006G570460	evm.model.RL_7.1738
OG0000150	Ag008G711330, Ag002G133360	evm.model.RL_8.2095
OG0000150	Ag006G518460, Ag007G625710, Ag001G092600	evm.model.RL_7.1807
OG0000150	Ag004G332580	evm.model.RL_7.1810
OG0000151	Ag008G685810	evm.model.RL_8.1422
OG0000151	Ag003G253050	evm.model.RL_2.2307
OG0000151	Ag005G478640	evm.model.RL_1.777
OG0000151	Ag005G417580	evm.model.RL_1.2853
OG0000151	Ag008G698280	evm.model.RL_8.1691
OG0000151	Ag004G398050	evm.model.RL_3.61
OG0000152	Ag002G146760, Ag002G120920	evm.model.RL_8.687
OG0000154	Ag004G324480	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	Ag002G177350	evm.model.RL_4.3288
OG0000154	Ag005G477170	evm.model.RL_1.853
OG0000154	Ag006G507750, Ag006G508580, Ag006G493020	evm.model.RL_2.489
OG0000156	Ag002G201900	evm.model.RL_6.2692
OG0000156	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691
OG0000157	Ag003G228360	evm.model.RL_5.213
OG0000158	Ag006G563590	evm.model.RL_2.2746
OG0000158	Ag005G476710	evm.model.RL_6.58
OG0000161	Ag007G588360	evm.model.RL_3.891
OG0000161	Ag007G601560, Ag007G601540, Ag007G601790	evm.model.RL_3.897
OG0000162	Ag008G712070	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	Ag002G200850, Ag002G200800	evm.model.RL_6.2628
OG0000164	Ag003G293830	evm.model.RL_4.581
OG0000165	Ag004G356120, Ag007G623920, Ag006G522660, Ag001G100400, Ag006G498640, Ag007G624740	evm.model.RL_7.798
OG0000167	Ag006G570230	evm.model.RL_2.1517
OG0000167	Ag006G570320	evm.model.RL_2.1514
OG0000171	Ag008G670170	evm.model.RL_6.2869
OG0000171	Ag002G204880	evm.model.RL_7.135
OG0000171	Ag004G345150	evm.model.RL_3.1439
OG0000171	Ag004G371850	evm.model.RL_3.461
OG0000171	Ag007G614710	evm.model.RL_4.2162.1.687c86d7
OG0000172	Ag001G097470	evm.model.RL_7.119
OG0000172	Ag001G089440	evm.model.RL_7.1680, evm.model.RL_7.1683
OG0000172	Ag001G071100	evm.model.RL_7.1679
OG0000175	Ag005G414670, Ag001G067410	evm.model.RL_7.1254
OG0000176	Ag007G611080, Ag007G599330, Ag007G599310, Ag007G579980, Ag007G580670, Ag007G580020, Ag007G606560, Ag007G606540, Ag007G606550, Ag007G606580, Ag003G266210, Ag007G599350, Ag007G599300, Ag007G599320, Ag007G580010, Ag007G580050, Ag007G580060, Ag006G501180, Ag006G500850, Ag001G031780	evm.model.RL_5.2856
OG0000177	Ag001G004480, Ag005G418600	evm.model.RL_2.478
OG0000177	Ag003G264860	evm.model.RL_4.357
OG0000180	Ag003G207330	evm.model.RL_4.185
OG0000181	Ag003G251860	evm.model.RL_8.2509, evm.model.RL_3.1261, evm.model.RL_2.1089, evm.model.RL_8.1686, evm.model.RL_2.403, evm.model.RL_6.478, evm.model.RL_6.2564
OG0000184	Ag001G075930	evm.model.RL_8.999, evm.model.RL_1.2918
OG0000185	Ag002G183070	evm.model.RL_1.2420, evm.model.RL_7.527, evm.model.RL_3.588, evm.model.RL_1.1351, evm.model.RL_2.287
OG0000187	Ag003G270250, Ag002G167770	evm.model.RL_2.2676
OG0000187	Ag005G474090, Ag005G474080	evm.model.RL_1.1017
OG0000189	Ag003G296450	evm.model.RL_1.2758
OG0000189	Ag007G631560, Ag007G631600, Ag007G631490, Ag007G631520, Ag007G631710, Ag007G628720, Ag007G631540, Ag006G508880, Ag006G508840, Ag006G508810, Ag004G355860, Ag003G290270	evm.model.RL_6.2240, evm.model.RL_6.2193, evm.model.RL_2.3227
OG0000190	Ag002G140140	evm.model.RL_8.476, evm.model.RL_8.475
OG0000190	Ag002G128880	evm.model.RL_8.473
OG0000190	Ag002G128820	evm.model.RL_8.474.1.687c8557
OG0000190	Ag002G140040, Ag002G139950	evm.model.RL_8.472, evm.model.RL_8.916
OG0000191	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420	evm.model.RL_1.1587
OG0000191	Ag005G457150	evm.model.RL_1.1588
OG0000192	Ag004G336350	evm.model.RL_5.3624
OG0000192	Ag008G727670	evm.model.RL_3.2103
OG0000195	Ag001G082920	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	Ag007G646090	evm.model.RL_2.437, evm.model.RL_3.1018
OG0000196	Ag004G304260, Ag004G304230	evm.model.RL_5.2252
OG0000196	Ag004G304250	evm.model.RL_1.1858
OG0000197	Ag006G545700	evm.model.RL_2.70
OG0000197	Ag002G146040, Ag006G538160, Ag006G565760, Ag007G581790, Ag002G192030, Ag006G565850, Ag004G326930	evm.model.RL_2.911
OG0000203	Ag006G519280, Ag005G485370, Ag005G485380	evm.model.RL_1.381, evm.model.RL_1.380
OG0000204	Ag005G471780, Ag005G471790, Ag003G216930, Ag003G216910, Ag003G216390, Ag003G216940, Ag003G216920, Ag003G216970, Ag003G216980, Ag006G500950, Ag002G171010, Ag006G500990, Ag006G500820, Ag006G500940, Ag006G500960, Ag006G500830, Ag002G105640, Ag005G437650	evm.model.RL_1.2062
OG0000205	Ag005G439370	evm.model.RL_8.836
OG0000209	Ag005G461540	evm.model.RL_2.469
OG0000209	Ag004G398980, Ag004G398780, Ag004G398970	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	Ag004G399110, Ag004G398940	evm.model.RL_3.57
OG0000209	Ag004G399460, Ag004G398960	evm.model.RL_7.2654
OG0000209	Ag004G312510, Ag004G312520	evm.model.RL_2.161
OG0000210	Ag006G499160, Ag006G499150, Ag006G499180	evm.model.RL_7.2509
OG0000213	Ag003G288980	evm.model.RL_6.203, evm.model.RL_6.204
OG0000214	Ag007G604980	evm.model.RL_7.216, evm.model.RL_7.215
OG0000214	Ag006G510210	evm.model.RL_8.81, evm.model.RL_8.239
OG0000218	Ag004G322150	evm.model.RL_5.1346, evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	Ag005G439660, Ag008G718790, Ag008G689600, Ag002G177290	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	Ag004G357760	evm.model.RL_3.1053
OG0000219	Ag007G593670	evm.model.RL_6.1077
OG0000219	Ag006G565670	evm.model.RL_8.2397
OG0000224	Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450	evm.model.RL_3.2157, evm.model.RL_3.2156
OG0000225	Ag007G582050, Ag007G581990	evm.model.RL_5.2976, evm.model.RL_5.2985
OG0000226	Ag001G000690, Ag004G337830, Ag005G429260, Ag005G429270, Ag001G000670	evm.model.RL_1.1295, evm.model.RL_1.1199
OG0000228	Ag004G341460	evm.model.RL_4.998
OG0000228	Ag004G344170	evm.model.RL_3.1487, evm.model.RL_3.1489, evm.model.RL_3.1484, evm.model.RL_3.1485
OG0000228	Ag004G344160	evm.model.RL_3.1490
OG0000229	Ag003G260760	evm.model.RL_3.1414, evm.model.RL_3.1413, evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	Ag001G058920	evm.model.RL_2.361
OG0000234	Ag001G076970	evm.model.RL_7.860
OG0000234	Ag001G076940	evm.model.RL_7.861
OG0000234	Ag001G076930	evm.model.RL_7.862
OG0000234	Ag007G612020	evm.model.RL_4.2267
OG0000236	Ag008G716730, Ag008G716740, Ag008G716760	evm.model.RL_6.790
OG0000238	Ag004G343670	evm.model.RL_4.549, evm.model.RL_4.1383
OG0000240	Ag006G521840	evm.model.RL_4.753
OG0000242	Ag005G419410	evm.model.RL_7.2542
OG0000244	Ag006G567480	evm.model.RL_2.1690
OG0000246	Ag003G287650	evm.model.RL_8.1155
OG0000248	Ag002G142870, Ag002G142960, Ag002G142950, Ag002G142860	evm.model.RL_8.548
OG0000248	Ag001G081600	evm.model.RL_7.722
OG0000249	Ag002G168370	evm.model.RL_6.1769
OG0000249	Ag002G168420, Ag002G179380	evm.model.RL_6.1770
OG0000250	Ag003G292650	evm.model.RL_3.1397
OG0000251	Ag005G466710	evm.model.RL_8.2352
OG0000252	Ag002G201630, Ag002G201600	evm.model.RL_3.611
