Orthogroup	Alyssum_gmelinii	Eutrema_salsugineum
OG0000013	Ag001G041140	XP_024010488.1, XP_024009587.1, XP_024014718.1, XP_024014871.1, XP_024010269.1, XP_024010603.1, XP_024010602.1, XP_024015954.1, XP_024009244.1, XP_024009423.1, XP_024007245.1, XP_024009582.1, XP_024009448.1, XP_024007269.1, XP_024014984.1, XP_024006558.1, XP_024011363.1, XP_024013386.1, XP_024010675.1, XP_024010915.1, XP_024005024.1, XP_024013120.1, XP_024013068.1, XP_024011336.1, XP_024007272.1
OG0000014	Ag008G691080	XP_024016530.1
OG0000014	Ag003G252810	XP_024006432.1, XP_024013961.1
OG0000014	Ag001G020750	XP_024013371.1, XP_024016228.1
OG0000015	Ag008G676660	XP_024006904.1
OG0000015	Ag008G687430	XP_024009420.1
OG0000017	Ag002G124100, Ag004G375560, Ag001G050140	XP_024010923.1, XP_024015878.1, XP_024016723.1, XP_024004986.1, XP_024014812.1, XP_024016106.1, XP_024006565.1, XP_024011333.1, XP_024013063.1, XP_024010757.1, XP_024015902.1, XP_024006617.1, XP_024007259.1, XP_024013145.1, XP_024005036.1, XP_024010660.1, XP_024006547.1, XP_024014443.1, XP_024010319.1, XP_024013043.1, XP_024013948.1, XP_024010782.1, XP_024013965.1, XP_006405034.2, XP_024013964.1, XP_024016366.1, XP_024009241.1, XP_024010575.1, XP_024013056.1, XP_024014425.1, XP_024009794.1, XP_024013930.1
OG0000018	Ag007G609170	XP_024006639.1, XP_024008232.1
OG0000019	Ag003G276070	XP_024003642.1
OG0000019	Ag006G545360	XP_024016548.1, XP_024004876.1, XP_024003759.1
OG0000019	Ag007G642200, Ag006G545350	XP_024016750.1, XP_024004844.1, XP_024004832.1, XP_024012731.1, XP_024006275.1
OG0000020	Ag006G521270	XP_024007954.1
OG0000020	Ag005G441960	XP_024004841.1
OG0000021	Ag008G685590	XP_024015179.1
OG0000021	Ag002G135150	XP_024004072.1
OG0000021	Ag005G443540	XP_024006452.1
OG0000021	Ag002G201670	XP_024009969.1, XP_024013347.1, XP_024015937.1
OG0000023	Ag006G545600, Ag006G549030	XP_006413565.1
OG0000023	Ag006G569900, Ag006G545580, Ag006G549040	XP_024009837.1, XP_006413557.1, XP_024013896.1
OG0000023	Ag002G145570, Ag002G145600	XP_006396897.2, XP_024009838.1
OG0000023	Ag002G145500	XP_006396896.1
OG0000023	Ag002G145450	XP_006396890.1
OG0000023	Ag006G547270	XP_006413569.1
OG0000023	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920	XP_024004623.1
OG0000024	Ag005G441710	XP_024014024.1
OG0000024	Ag004G351930, Ag005G445160	XP_024009296.1
OG0000024	Ag002G157990, Ag002G117810, Ag003G279100	XP_024010607.1, XP_024010395.1, XP_024010031.1, XP_024014629.1, XP_024013325.1, XP_024009252.1, XP_024005030.1, XP_024010538.1, XP_024013236.1, XP_024009358.1, XP_024006512.1, XP_024010470.1, XP_024015875.1, XP_024007256.1, XP_024014509.1, XP_024014381.1, XP_024013956.1, XP_024015961.1, XP_024014533.1, XP_024010352.1, XP_024014232.1, XP_024016364.1, XP_024013986.1, XP_024016315.1, XP_024010240.1, XP_024015868.1, XP_024009903.1, XP_024009316.1, XP_024013380.1, XP_024010351.1, XP_024014578.1, XP_024004921.1, XP_024004997.1, XP_024016561.1, XP_024015840.1, XP_024015053.1, XP_024011325.1, XP_024010433.1, XP_024010388.1, XP_024007293.1, XP_024004023.1, XP_024010308.1, XP_024014886.1, XP_024013048.1, XP_024014471.1, XP_024014504.1, XP_024013395.1, XP_024005028.1, XP_024007270.1, XP_024014523.1, XP_024009257.1, XP_024015873.1, XP_024006660.1, XP_024016277.1, XP_024015857.1, XP_024013208.1, XP_024009483.1, XP_024004978.1, XP_024009413.1, XP_024010416.1, XP_024006477.1, XP_024004833.1, XP_024013110.1, XP_024014290.1, XP_024011257.1, XP_024015161.1, XP_024010460.1, XP_024010296.1, XP_024015036.1, XP_024013216.1, XP_024010356.1, XP_024010434.1, XP_024016114.1, XP_024010345.1, XP_024014548.1, XP_024004944.1
OG0000026	Ag013G741580	XP_024010439.1
OG0000027	Ag006G546200, Ag005G439390, Ag007G580660	XP_006415341.2, XP_024007951.1, XP_006415394.1
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	XP_024009126.1, XP_024004857.1, XP_024016540.1, XP_024013053.1, XP_024013162.1, XP_024014403.1, XP_024014056.1, XP_024010241.1, XP_024014715.1, XP_024009819.1, XP_024010450.1, XP_024015838.1, XP_024016311.1, XP_024004754.1, XP_024004102.1, XP_024007219.1, XP_024004045.1, XP_024011346.1, XP_024010247.1, XP_024016863.1, XP_024013922.1, XP_024009259.1, XP_024013800.1, XP_024012069.1
OG0000029	Ag006G523440, Ag006G532500, Ag004G401820	XP_024007307.1
OG0000029	Ag003G258710	XP_024005553.1
OG0000030	Ag008G691940, Ag005G407260, Ag002G169900, Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430, Ag004G380470, Ag008G713150, Ag002G167860, Ag004G319940, Ag004G398140, Ag003G263120	XP_024009281.1
OG0000031	Ag001G078560, Ag004G386130	XP_006391783.1, XP_006391806.1, XP_006391807.1, XP_006391822.1, XP_006391862.1, XP_006391821.1, XP_006391819.1, XP_024003783.1, XP_006391808.1, XP_006391749.1
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	XP_006417216.1, XP_006417205.1, XP_006417199.1
OG0000031	Ag002G111150, Ag002G107580	XP_024014798.1
OG0000031	Ag004G401670	XP_006391605.2, XP_024008093.1
OG0000033	Ag006G547230, Ag006G549390	XP_024010975.1, XP_006413571.1
OG0000033	Ag006G543630, Ag006G543880	XP_006413574.2
OG0000033	Ag006G564890, Ag003G210460	XP_024005104.1
OG0000033	Ag006G548990	XP_006413566.2, XP_006413567.2
OG0000033	Ag006G547380, Ag006G549570	XP_006413576.1
OG0000034	Ag007G621770, Ag002G147590, Ag004G329060, Ag002G126640, Ag006G537230, Ag001G041740, Ag004G365370, Ag004G364780	XP_024016360.1, XP_024014012.1, XP_024016375.1
OG0000034	Ag005G434950	XP_024005459.1
OG0000034	Ag007G610710, Ag002G120190	XP_024005008.1
OG0000034	Ag008G692130, Ag002G161700	XP_024004803.1
OG0000034	Ag006G548030, Ag002G114610, Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240, Ag001G022990, Ag004G369310	XP_024016361.1
OG0000035	Ag007G589380	XP_024005913.1
OG0000035	Ag007G590010	XP_006407903.2
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	XP_006410338.1, XP_006391498.1, XP_006406621.1, XP_006406579.1
OG0000036	Ag004G310880	XP_024009179.1, XP_024009592.1
OG0000036	Ag006G551100, Ag001G036210, Ag003G262470, Ag003G288580, Ag005G424740	XP_024013600.1
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	XP_024012609.1, XP_024009371.1
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	XP_024008017.1, XP_024008946.1, XP_024008016.1
OG0000038	Ag006G511550, Ag006G511600	XP_024013611.1
OG0000038	Ag003G279120	XP_006412465.2
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	XP_006396333.1, XP_024004165.1
OG0000038	Ag004G312700	XP_024014404.1
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	XP_024015270.1
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	XP_024008003.1
OG0000040	Ag002G192690, Ag002G188830	XP_024013353.1
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	XP_024015244.1, XP_024010547.1, XP_024009293.1, XP_024016186.1
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	XP_006391637.1
OG0000044	Ag008G702570	XP_006407857.2
OG0000044	Ag006G512870, Ag001G054960	XP_024015030.1
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570	XP_024010150.1
OG0000045	Ag005G417800, Ag004G353390, Ag005G464900, Ag002G130610, Ag001G035560, Ag008G683870, Ag005G459470, Ag009G736850, Ag002G151850, Ag005G408680, Ag005G420260, Ag003G262090, Ag004G355210	XP_024009588.1, XP_024010453.1, XP_024006101.1, XP_024007284.1
OG0000045	Ag002G197550, Ag008G703200	XP_024014349.1, XP_024006862.1, XP_024008024.1, XP_024006618.1, XP_024016129.1, XP_024011268.1, XP_024013381.1, XP_024010348.1, XP_024010913.1, XP_024006569.1, XP_024014868.1, XP_024013167.1, XP_024012481.1, XP_024016250.1, XP_024016245.1, XP_024010455.1, XP_024011373.1, XP_024015844.1, XP_024006123.1, XP_024006531.1, XP_024010635.1, XP_024009411.1, XP_024007913.1
OG0000046	Ag006G575430	XP_024004758.1
OG0000046	Ag002G129690, Ag002G129740	XP_006391458.1
OG0000047	Ag001G041020, Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180	XP_024014292.1
OG0000047	Ag005G457670, Ag006G528150, Ag003G283670, Ag004G385990, Ag006G499220, Ag001G091420, Ag002G161650, Ag006G525780, Ag006G566760, Ag002G142070	XP_024016226.1, XP_024016354.1
OG0000047	Ag001G046570	XP_024010589.1
OG0000048	Ag005G486480	XP_006408254.2, XP_006408256.1
OG0000048	Ag005G486490	XP_006408255.1
OG0000048	Ag005G486620, Ag005G486520	XP_024014979.1
OG0000049	Ag003G236810	XP_024004893.1
OG0000050	Ag007G641850	XP_024011367.1, XP_024010366.1, XP_024010144.1, XP_024009344.1, XP_024010551.1, XP_024007910.1, XP_024010927.1, XP_024013032.1
OG0000050	Ag002G123120	XP_024004129.1, XP_024013428.1, XP_024010363.1, XP_024010297.1, XP_024010298.1, XP_024008041.1
OG0000050	Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	XP_024010226.1, XP_024004127.1, XP_024010620.1, XP_024011215.1, XP_024016291.1, XP_024013963.1
OG0000050	Ag001G062310	XP_024016230.1, XP_024010222.1
OG0000050	Ag006G561100	XP_024009412.1
OG0000052	Ag004G301320	XP_024009195.1
OG0000052	Ag002G195160, Ag002G194240, Ag002G194190	XP_006411503.1
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	XP_024004184.1
OG0000054	Ag007G634740, Ag006G513370	XP_024009310.1, XP_024005013.1
OG0000055	Ag004G334400, Ag004G379910	XP_006391863.1, XP_024016712.1, XP_006391858.2
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	XP_024009899.1, XP_024016377.1, XP_024014710.1, XP_024004977.1, XP_024016537.1
OG0000056	Ag002G121000, Ag006G542770	XP_024009608.1, XP_024014631.1, XP_024004060.1, XP_024006592.1, XP_024013046.1, XP_024009725.1, XP_024013305.1, XP_024014312.1, XP_024012933.1
OG0000057	Ag002G195030	XP_006417574.1, XP_006406803.2
OG0000057	Ag005G459920	XP_006398121.1, XP_006406735.1
OG0000057	Ag003G289060	XP_024012536.1
OG0000058	Ag004G332280, Ag001G061500, Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790, Ag006G508740, Ag007G614810, Ag005G435910, Ag002G139460, Ag001G013190	XP_024007981.1, XP_024015913.1
OG0000058	Ag006G516660	XP_024009750.1, XP_024013613.1, XP_024004962.1, XP_024006598.1
OG0000059	Ag006G543980	XP_024010650.1
OG0000059	Ag004G391520	XP_024014527.1, XP_024014297.1, XP_024015880.1, XP_024004974.1
OG0000059	Ag006G516680, Ag001G020010, Ag003G215300, Ag004G373020	XP_024013471.1, XP_024011406.1, XP_024015967.1, XP_024013050.1, XP_024006528.1, XP_024010162.1, XP_024013151.1
OG0000059	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210	XP_024005015.1
OG0000059	Ag002G103440, Ag002G122810	XP_024010658.1, XP_024009246.1
OG0000059	Ag006G522950	XP_024009611.1
OG0000061	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650	XP_024004223.1, XP_024014389.1
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860	XP_024013908.1, XP_024014942.1
OG0000064	Ag003G295980	XP_006411683.1
OG0000064	Ag002G170580, Ag007G593140, Ag007G593150, Ag002G113130, Ag002G109120, Ag003G276120, Ag003G276160, Ag003G276060, Ag004G378360, Ag007G593160	XP_024004093.1, XP_024004091.1
OG0000064	Ag001G030100	XP_006410127.1
OG0000065	Ag009G735570, Ag001G025490	XP_024006661.1
OG0000066	Ag003G225470	XP_024005720.1, XP_006399597.1, XP_006390289.1, XP_024005718.1
OG0000066	Ag002G125900	XP_024012002.1, XP_006394044.1, XP_006394194.1, XP_006396911.1
OG0000067	Ag005G407040, Ag005G407080, Ag005G407050	XP_024014925.1
OG0000067	Ag006G500760, Ag008G714910	XP_006406656.1
OG0000069	Ag002G200250	XP_024009769.1, XP_024007936.1, XP_024016097.1, XP_024014455.1, XP_024015941.1, XP_024009376.1, XP_024006136.1
OG0000070	Ag007G655750	XP_024015974.1, XP_024014531.1
OG0000070	Ag001G027030	XP_024016295.1
OG0000071	Ag003G234950, Ag003G217580	XP_024004814.1, XP_024010468.1, XP_024004087.1
OG0000072	Ag003G285120, Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	XP_024009348.1, XP_024013914.1, XP_024006596.1, XP_024009952.1, XP_024014026.1, XP_024010244.1, XP_024006561.1, XP_024013107.1, XP_024015896.1, XP_024009380.1, XP_024009792.1, XP_024010384.1, XP_024009711.1
OG0000073	Ag001G101380, Ag006G576030	XP_024009767.1
OG0000073	Ag002G118960, Ag002G118950	XP_024009991.1
OG0000073	Ag002G117280	XP_006398345.1
OG0000073	Ag002G120540	XP_006398339.2
OG0000073	Ag002G116910	XP_024011128.1
OG0000074	Ag003G273880, Ag003G236930, Ag003G236940	XP_024008246.1
OG0000074	Ag003G242350, Ag003G242390	XP_024008857.1
OG0000074	Ag006G500560	XP_006416071.1
OG0000074	Ag003G241560, Ag003G242310	XP_024008031.1
OG0000074	Ag004G378820	XP_006416070.2, XP_024010232.1
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	XP_024009374.1, XP_024015726.1
OG0000075	Ag004G337230, Ag004G337250, Ag004G349470, Ag006G510790	XP_024007719.1
OG0000075	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420	XP_024006207.1
OG0000075	Ag002G191710, Ag002G191700, Ag002G191680	XP_006417013.1, XP_006417028.2
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	XP_024007553.1
OG0000077	Ag003G284880, Ag003G286070, Ag003G286090, Ag003G286060, Ag003G294450, Ag004G372640	XP_006418924.1
OG0000077	Ag003G215720, Ag003G290220, Ag006G569300	XP_024014654.1
OG0000077	Ag006G508210	XP_006396813.1, XP_006396818.1
OG0000077	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	XP_024009721.1, XP_024009720.1
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	XP_006416449.2, XP_024011069.1
OG0000078	Ag002G136430	XP_024013973.1, XP_024006349.1, XP_024011414.1, XP_024009421.1, XP_024004909.1
OG0000078	Ag001G046650, Ag002G152760	XP_024010281.1, XP_024006501.1, XP_024004952.1, XP_024007906.1, XP_024010478.1, XP_024010375.1, XP_024006421.1
OG0000078	Ag001G082530, Ag008G711670	XP_024009271.1, XP_024006585.1, XP_024009516.1, XP_024015963.1, XP_024010353.1, XP_024013220.1
OG0000079	Ag001G089410	XP_024012746.1
OG0000079	Ag006G550580, Ag003G233720	XP_006396702.1
OG0000079	Ag006G550570	XP_024015302.1
OG0000079	Ag001G084480	XP_024012843.1
OG0000079	Ag001G089200	XP_024012921.1
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	XP_006402736.1
OG0000080	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	XP_006400395.1
OG0000081	Ag007G593730	XP_006415657.1, XP_024008000.1, XP_006415686.2
OG0000081	Ag007G628420	XP_006400346.2
OG0000081	Ag005G451860, Ag005G452050	XP_024010362.1
OG0000083	Ag005G483940, Ag005G483970, Ag005G483980	XP_006414117.2, XP_024005332.1, XP_006414114.1, XP_024005467.1
OG0000084	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770	XP_024013951.1, XP_006405002.1, XP_024014179.1, XP_006391426.1
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	XP_006405024.2, XP_006405025.1, XP_006405019.2
OG0000086	Ag008G709530	XP_006408761.1, XP_006408760.1, XP_006408781.1, XP_006408766.1, XP_024016075.1, XP_006408779.2, XP_006408769.1, XP_006408773.1, XP_006408774.1, XP_006408775.1, XP_006408759.1, XP_006408777.1, XP_006408780.1, XP_006408778.1, XP_006408763.1, XP_006408768.1, XP_006408765.1, XP_024015891.1, XP_006408757.1, XP_006408758.1
OG0000087	Ag008G723440	XP_006404194.1, XP_006394642.1
OG0000087	Ag007G593840	XP_006410012.1
OG0000087	Ag008G728250, Ag001G052770	XP_006404432.1, XP_006404433.1
OG0000087	Ag007G609260	XP_006399740.1
OG0000087	Ag002G161340	XP_006410628.1
OG0000087	Ag002G127940	XP_006403108.1
OG0000087	Ag006G562620	XP_006413842.1
OG0000087	Ag003G224140	XP_006390273.1
OG0000088	Ag007G581970	XP_006404361.1, XP_006398111.1, XP_006398110.2
OG0000088	Ag005G450330, Ag005G450360	XP_006404412.1
OG0000088	Ag008G717820	XP_024011446.1
OG0000089	Ag007G603320	XP_006399464.1
OG0000089	Ag006G540580	XP_006405819.1
OG0000089	Ag001G021310	XP_006406564.1
OG0000089	Ag005G471710	XP_006407369.1
OG0000089	Ag008G712440, Ag008G708620	XP_006400969.1, XP_006418890.1
OG0000090	Ag004G333760	XP_006416426.1
OG0000090	Ag003G223190	XP_006390250.1
OG0000090	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940	XP_006393304.1
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	XP_006402629.2
OG0000090	Ag002G185460	XP_006395735.1
OG0000093	Ag001G087060, Ag020G743300	XP_006393541.2, XP_006393537.1
OG0000093	Ag001G087190, Ag001G087160	XP_024014492.1
OG0000093	Ag001G087200, Ag020G743290, Ag001G087240	XP_024006522.1, XP_024006521.1
OG0000093	Ag002G193490	XP_024014512.1
OG0000093	Ag001G083700, Ag001G087310	XP_024012757.1
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	XP_006395720.2, XP_006395727.1, XP_006395717.2
OG0000096	Ag002G102560	XP_024004738.1
OG0000096	Ag006G559170	XP_006398175.2
OG0000096	Ag002G103250	XP_024011109.1
OG0000096	Ag004G380830	XP_006392390.2
OG0000097	Ag002G129480	XP_006417793.2
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	XP_006396592.1
OG0000097	Ag002G129030	XP_024009940.1
OG0000097	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340	XP_006405546.1
OG0000098	Ag004G315550	XP_006417248.1
OG0000099	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410	XP_006405351.1
OG0000099	Ag004G390870, Ag004G390890, Ag004G390900, Ag004G395530, Ag004G390720, Ag004G390710, Ag004G390740, Ag004G390940, Ag004G390780, Ag004G390920, Ag004G390770, Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	XP_006391682.2
OG0000099	Ag004G396600, Ag004G396870, Ag004G391030	XP_024016396.1
OG0000100	Ag004G376980, Ag002G156660	XP_024015018.1, XP_024006073.1
OG0000100	Ag002G132470	XP_024013152.1
OG0000100	Ag006G511060, Ag005G447890, Ag005G447820, Ag002G169660, Ag004G372650, Ag007G599450, Ag001G042170, Ag004G367770, Ag002G115440, Ag007G616750, Ag007G616790, Ag007G616760, Ag004G360540, Ag004G342380, Ag002G165560, Ag007G656360, Ag006G491540, Ag010G740030, Ag008G728470, Ag001G019470, Ag004G348390, Ag005G465130, Ag004G311540, Ag007G579500, Ag006G505390, Ag008G671960, Ag004G326810	XP_024013365.1
OG0000104	Ag007G594850	XP_024003699.1
OG0000104	Ag001G010320	XP_024006051.1
OG0000104	Ag005G441940	XP_006406282.1
OG0000106	Ag004G383320	XP_024009294.1, XP_006418661.2, XP_006418628.2
OG0000107	Ag005G446720	XP_024015177.1
OG0000107	Ag005G446670	XP_006406420.1
OG0000108	Ag005G459590, Ag008G727840	XP_006394690.1, XP_006404383.1, XP_006414046.1
OG0000108	Ag003G269110, Ag003G269200	XP_006403292.2, XP_024009712.1
OG0000108	Ag005G414040	XP_006395726.1
OG0000109	Ag001G018050, Ag002G147800, Ag005G414580, Ag004G372360, Ag004G337320, Ag006G543970, Ag002G162420, Ag003G261280, Ag004G349840, Ag007G593090, Ag001G059110, Ag005G411230, Ag011G740860, Ag003G294760, Ag002G133440, Ag004G303880, Ag004G330170, Ag006G547030, Ag005G455810, Ag008G716250	XP_024014456.1
OG0000109	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980	XP_024014096.1
OG0000109	Ag003G272950, Ag005G461920, Ag006G532070, Ag002G124770, Ag001G038010, Ag001G026000, Ag002G191910	XP_024004593.1
OG0000110	Ag001G090130	XP_006402710.1
OG0000110	Ag001G090120	XP_006402712.2
OG0000110	Ag007G655930	XP_006402714.1
OG0000110	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700	XP_024009571.1
OG0000110	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010	XP_006412145.2
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	XP_006402715.1
OG0000110	Ag001G090290, Ag001G090300, Ag001G090310	XP_024012970.1
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	XP_024014705.1, XP_024014617.1, XP_006405755.2, XP_024014786.1, XP_024014405.1, XP_006405613.2, XP_006405611.2, XP_006393001.2
OG0000111	Ag006G502330	XP_024014624.1
OG0000111	Ag003G218010, Ag003G217720, Ag008G729430, Ag008G729820, Ag008G729470, Ag008G729440	XP_006394280.1
OG0000111	Ag008G699120	XP_006396648.1, XP_006391408.1, XP_006391409.1
OG0000114	Ag006G573480	XP_024006571.1
OG0000114	Ag005G486530, Ag007G607050, Ag007G607020, Ag003G284630	XP_006399626.1
OG0000114	Ag006G555860	XP_024004563.1, XP_024004566.1
OG0000119	Ag001G026190	XP_024009367.1
OG0000119	Ag008G699540, Ag005G437940, Ag007G645640, Ag007G656830	XP_024013619.1, XP_024011132.1, XP_024006493.1, XP_024009468.1, XP_024004480.1, XP_024014964.1
