Orthogroup	Alyssum_gmelinii	Brassica_rapa
OG0000033	Ag002G130680, Ag002G130760	XP_033136442.1
OG0000034	Ag002G147590, Ag004G329060	XP_033133157.1
OG0000034	Ag005G434950	XP_009145453.2, XP_033138396.1
OG0000034	Ag008G692130, Ag002G161700	XP_033139273.1, XP_033139162.1
OG0000034	Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240	XP_033130130.1
OG0000035	Ag007G589380	XP_009125775.1
OG0000035	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040	XP_033137775.1, XP_033137778.1, XP_033146467.1, XP_033145502.1, XP_033147829.1, XP_033146958.1
OG0000035	Ag006G499210	XP_033145289.1
OG0000035	Ag005G405240, Ag002G183820	XP_033145357.1, XP_009141214.1
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	XP_033139568.1, XP_009127532.1
OG0000036	Ag006G551100, Ag001G036210	XP_033131068.1, XP_033132741.1, XP_033146849.1, XP_009114424.1
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	XP_033147285.1
OG0000036	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730	XP_033139240.1, XP_033148558.1, XP_009150325.2, XP_033133377.1, XP_033131067.1, XP_033136880.1
OG0000037	Ag001G053350	XP_033134981.1
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	XP_009115414.1
OG0000038	Ag001G056400	XP_033137120.1, XP_033145125.1
OG0000038	Ag003G279120	XP_033133461.1, XP_033133451.1, XP_009138083.1, XP_033143334.1
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	XP_009137794.1
OG0000038	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090	XP_033147875.1, XP_009146809.1, XP_033148625.1, XP_033147883.1, XP_033147863.1, XP_009147163.1
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	XP_033131947.1, XP_033129474.1, XP_033128828.1
OG0000040	Ag005G483190	XP_033131797.1
OG0000040	Ag002G192690, Ag002G188830	XP_018510426.1, XP_009123103.2, XP_033146117.1, XP_033130762.1, XP_033145302.1, XP_009141585.2
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	XP_033143643.1
OG0000040	Ag005G446880, Ag005G447100, Ag005G447140	XP_033144643.1, XP_033142641.1, XP_009145735.1
OG0000041	Ag003G296430, Ag003G296390, Ag008G683020	XP_033132315.1, XP_009129192.2
OG0000041	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960	XP_033135950.1
OG0000042	Ag008G683730, Ag007G637230, Ag001G051650, Ag008G718640, Ag005G442270, Ag002G176270	XP_018513078.1
OG0000044	Ag008G702570	XP_033147280.1, XP_033143224.1, XP_009114167.2, XP_033148557.1, XP_018512849.2, XP_033129976.1
OG0000044	Ag006G512870, Ag001G054960	XP_033141811.1, XP_033147696.1, XP_009145895.1
OG0000045	Ag002G197550, Ag008G703200	XP_033148599.1, XP_033141109.1, XP_009111364.2, XP_009114439.1, XP_009109995.2, XP_033129467.1, XP_018512881.1
OG0000046	Ag006G575430	XP_009136917.1, XP_033142550.1
OG0000046	Ag007G619200, Ag007G619210	XP_033137544.1
OG0000046	Ag002G197360	XP_009125066.1
OG0000046	Ag002G129690, Ag002G129740	XP_009127512.1
OG0000047	Ag001G041020, Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180	XP_018508607.1
OG0000047	Ag005G457670	XP_033143282.1
OG0000047	Ag006G528150	XP_033143570.1
OG0000047	Ag003G283670	XP_033147465.1
OG0000050	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630	XP_033134230.1, XP_033129421.1, XP_009106514.2, XP_033138783.1
OG0000050	Ag007G656820, Ag001G040590, Ag001G089640, Ag008G665420	XP_009123413.1, XP_009123715.1, XP_009151569.2, XP_033128716.1, XP_033128718.1, XP_033138653.1, XP_009144180.2, XP_009123328.1
OG0000052	Ag004G301370, Ag004G301320	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000052	Ag002G195160, Ag002G194240, Ag002G194190	XP_009142066.1
OG0000052	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	XP_018513039.2
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	XP_033148410.1, XP_009142840.1, XP_033138797.1, XP_033138543.1
OG0000053	Ag003G279130	XP_033139374.1, XP_033132002.1, XP_033134279.1, XP_033139086.1
OG0000053	Ag006G525960	XP_033134217.1
OG0000054	Ag007G634740, Ag006G513370	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1
OG0000055	Ag004G334400, Ag004G379910	XP_009112692.1, XP_009113075.1
OG0000055	Ag004G377140	XP_033135114.1, XP_009113108.1
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	XP_009113405.2, XP_009105844.1
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	XP_033138069.1, XP_009111623.2, XP_009119460.3
OG0000056	Ag001G076880, Ag002G181330, Ag008G680730	XP_033148496.1, XP_033129519.1, XP_033128162.1, XP_033146737.1, XP_009145557.2, XP_033134361.1, XP_033128616.1, XP_009122875.1, XP_009115922.2, XP_033141779.1
OG0000056	Ag002G121000, Ag006G542770	XP_009115740.1, XP_009140527.1, XP_009102269.1, XP_033133398.1
OG0000057	Ag005G459920	XP_033143242.1
OG0000057	Ag003G289060	XP_009121596.1, XP_033131219.1
OG0000058	Ag004G332280, Ag001G061500, Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790	XP_009138599.2, XP_033145680.1
OG0000058	Ag006G516660	XP_009105612.1, XP_033148671.1, XP_009125369.1, XP_009133671.1, XP_018509860.1, XP_009138627.1, XP_033136840.1
OG0000059	Ag004G391520	XP_009132643.2
OG0000059	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210	XP_009119170.2, XP_009107616.2, XP_009138649.2, XP_033148502.1
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860, Ag004G329090, Ag006G566820, Ag002G142080, Ag006G573690, Ag006G525790, Ag006G562400, Ag003G279160, Ag007G603910, Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720	XP_009107884.2, XP_033132815.1, XP_033129160.1, XP_033139711.1, XP_033142712.1, XP_009107885.2, XP_009136781.1
OG0000064	Ag003G295980	XP_009101919.1
OG0000066	Ag003G225470	XP_009104699.1, XP_009131189.1, XP_009130061.1, XP_009125263.1, XP_018511751.1
OG0000066	Ag002G125900	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820, Ag005G407040, Ag005G407080, Ag005G407050	XP_033144949.1, XP_033144954.1, XP_009122279.3, XP_033137765.1
OG0000067	Ag003G227540	XP_033144956.1, XP_009131006.1, XP_033144664.1, XP_033136756.1, XP_009130959.2, XP_009130957.1
OG0000068	Ag006G534800	XP_009120701.1, XP_033145214.1, XP_033138808.1, XP_009111034.2, XP_033133919.1, XP_009108652.2, XP_033138807.1, XP_033133960.1, XP_033145213.1, XP_009144181.2, XP_033142140.1, XP_033131299.1, XP_033138421.1, XP_009130015.1, XP_009107908.2, XP_033138747.1, XP_033131849.1, XP_009123716.1
OG0000069	Ag003G208920	XP_033141168.1
OG0000069	Ag003G258860	XP_009130609.1
OG0000069	Ag002G200250	XP_009108668.2, XP_009139306.1, XP_009132645.2, XP_009122924.1, XP_033144992.1, XP_033143312.1
OG0000070	Ag007G655750	XP_033134304.1, XP_033139193.1, XP_033139019.1, XP_033139069.1
OG0000071	Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270, Ag002G107710, Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400	XP_033134634.1, XP_009138559.1, XP_009119936.1, XP_033141352.1, XP_033135598.1, XP_033135708.1, XP_033132990.1, XP_033134365.1, XP_033136535.1, XP_033138832.1
OG0000072	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	XP_033129717.1, XP_033139404.1, XP_033133988.1, XP_033135850.1, XP_033142467.1, XP_033139430.1, XP_033138987.1, XP_033134841.1, XP_018511390.2, XP_033134038.1
OG0000073	Ag006G576040	XP_009136811.1
OG0000073	Ag003G212540	XP_018513381.1, XP_033140521.1
OG0000073	Ag002G116850	XP_018510070.1
OG0000073	Ag002G138580, Ag002G137520	XP_009114345.1
OG0000073	Ag002G117280	XP_009128859.1
OG0000073	Ag002G137530	XP_033139620.1
OG0000073	Ag002G116910	XP_033128241.1
OG0000074	Ag003G273880, Ag003G236930, Ag003G236940	XP_033130333.1
OG0000074	Ag006G500560	XP_033132540.1, XP_009110093.1, XP_033132544.1, XP_033132543.1, XP_009112003.1
OG0000074	Ag004G378820	XP_009103161.1, XP_009103162.1, XP_033130331.1
OG0000074	Ag006G514000	XP_009115511.1
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	XP_018509924.1, XP_033135419.1
OG0000075	Ag004G337230, Ag004G337250, Ag004G349470	XP_018510505.2, XP_033134684.1, XP_018509673.2
OG0000075	Ag006G510790	XP_009121040.1, XP_009131723.1
OG0000075	Ag007G599000, Ag007G598990, Ag003G269710	XP_009129136.1, XP_033142692.1
OG0000075	Ag002G191710, Ag002G191700, Ag002G191680	XP_009151202.1, XP_009151204.1
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	XP_033139477.1, XP_033135650.1
OG0000076	Ag001G002030	XP_009152006.1
OG0000077	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	XP_033141207.1, XP_009124954.2, XP_009101861.1
OG0000077	Ag002G148310	XP_009101862.1
OG0000078	Ag001G046650, Ag002G152760	XP_033147814.1
OG0000078	Ag001G082530, Ag008G711670	XP_033129379.1, XP_033142705.1, XP_009135134.2, XP_009151027.2
OG0000079	Ag006G550580, Ag003G233720	XP_009132838.1, XP_009117247.1
OG0000079	Ag001G071340	XP_009116566.1
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	XP_033130624.1, XP_009104177.1
OG0000080	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	XP_009120970.2
OG0000080	Ag001G020610	XP_009107397.1
OG0000080	Ag001G028300	XP_033137465.1
OG0000080	Ag007G610550, Ag007G610520	XP_009140814.1, XP_033145824.1
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	XP_033145280.1
OG0000081	Ag007G593730	XP_033133852.1, XP_033135481.1
OG0000081	Ag005G451860, Ag005G452050	XP_018512837.1
OG0000082	Ag007G632630, Ag005G475310	XP_033144158.1
OG0000082	Ag005G428520	XP_018510014.1
OG0000083	Ag005G483940, Ag005G483970, Ag005G483980	XP_033133290.1, XP_033133266.1, XP_009108377.1
OG0000083	Ag005G485040, Ag005G485120, Ag005G485110, Ag005G485150, Ag005G485130, Ag005G485070	XP_009107240.1
OG0000084	Ag008G724370	XP_033145265.1
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	XP_009134223.1, XP_009140586.1
OG0000086	Ag008G709530	XP_033135741.1, XP_033136271.1, XP_033135743.1, XP_009124087.2, XP_009124650.2, XP_033135477.1, XP_033135744.1, XP_033135687.1, XP_033136269.1, XP_009124058.2, XP_033135742.1, XP_033136268.1, XP_033136272.1, XP_033135685.1, XP_033135749.1, XP_033135747.1, XP_033135746.1, XP_033136270.1, XP_033135748.1, XP_033134284.1, XP_033134283.1, XP_033135684.1, XP_033135688.1, XP_033135686.1, XP_033134282.1
OG0000087	Ag008G723440	XP_009150907.1
OG0000087	Ag007G593840	XP_009141007.2, XP_009144365.1
OG0000087	Ag007G609260	XP_009121863.1
OG0000087	Ag002G161340	XP_018514901.1
OG0000087	Ag002G127940	XP_009123590.1, XP_009113926.1, XP_009101721.2
OG0000087	Ag006G562620	XP_009134084.2, XP_009108485.1, XP_009137158.2
OG0000087	Ag003G224140	XP_009106234.1
OG0000088	Ag007G581970	XP_009149894.1, XP_009113892.3, XP_009131995.2, XP_009116363.1, XP_033142283.1
OG0000088	Ag005G450330, Ag005G450360	XP_018508112.1
OG0000088	Ag008G717820	XP_009131797.1, XP_009120802.1
OG0000089	Ag007G603320	XP_009131124.2, XP_033138402.1, XP_009125344.2
OG0000089	Ag001G021310	XP_009135599.1
OG0000089	Ag005G471710	XP_009146646.1
OG0000089	Ag008G712440, Ag008G708620	XP_033139189.1, XP_009150339.2, XP_009150245.1, XP_009120445.1, XP_009149973.1, XP_009131999.1
OG0000090	Ag004G333760	XP_009149503.1
OG0000090	Ag003G223190	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000090	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940	XP_009147939.1, XP_033128831.1
OG0000090	Ag002G185460	XP_033136464.1
OG0000091	Ag008G666230, Ag001G063330, Ag006G524690	XP_033142439.1, XP_033134834.1, XP_033139200.1, XP_033147182.1, XP_033137728.1, XP_033131051.1, XP_033129377.1, XP_033140597.1, XP_033128916.1, XP_033138753.1, XP_033148509.1, XP_033143363.1
OG0000093	Ag001G087540	XP_009138966.1, XP_009138965.1
OG0000093	Ag001G087470	XP_009104131.1
OG0000093	Ag001G083700, Ag001G087310	XP_033131129.1
OG0000096	Ag004G329170, Ag004G329010, Ag004G329150, Ag004G329020	XP_033136459.1, XP_033141183.1
OG0000096	Ag002G103120	XP_009149053.2
OG0000096	Ag006G559170	XP_033139970.1
OG0000096	Ag004G310490	XP_009148269.1
OG0000097	Ag002G129480	XP_009110937.1, XP_033135887.1
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	XP_009121666.1
OG0000097	Ag002G129120, Ag002G130340, Ag002G130310, Ag002G129030	XP_033140146.1
OG0000097	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340	XP_009140229.1
OG0000098	Ag004G315550	XP_009148793.2
OG0000098	Ag006G506280, Ag004G316800, Ag004G315620	XP_033134902.1, XP_009118092.2
OG0000099	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750	XP_033135357.1
OG0000099	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410	XP_009121822.3, XP_009132579.1
OG0000099	Ag004G390770	XP_009112903.1
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	XP_033129523.1
OG0000099	Ag004G396600, Ag004G396870, Ag004G391030	XP_033135394.1
OG0000100	Ag004G384260, Ag008G659700	XP_033141060.1
OG0000101	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060	XP_033135321.1
OG0000101	Ag004G394110	XP_018509586.1
OG0000102	Ag008G662610, Ag004G328280, Ag007G647210, Ag003G274160	XP_033134130.1
OG0000104	Ag004G307220	XP_009118428.1
OG0000104	Ag007G594850, Ag007G594880, Ag007G594830, Ag007G594810	XP_033145187.1, XP_033131572.1
OG0000104	Ag001G010320	XP_033146903.1
OG0000104	Ag005G441940	XP_009135746.2
OG0000106	Ag005G417510, Ag001G017220	XP_033146796.1
OG0000106	Ag005G476610, Ag005G459220	XP_033148466.1
OG0000106	Ag004G383320	XP_033130152.1
OG0000107	Ag005G478150, Ag005G478140, Ag005G478130, Ag003G213890	XP_033142150.1, XP_018513496.2
OG0000107	Ag005G481150	XP_033131954.1, XP_009113964.1
OG0000107	Ag005G446760	XP_009140112.1, XP_033142636.1
OG0000107	Ag005G446720	XP_018514730.2
OG0000107	Ag003G213880	XP_009107347.1, XP_009117328.1
OG0000107	Ag005G446670	XP_009111243.1
OG0000107	Ag005G446680	XP_009145675.1, XP_009136238.1
OG0000107	Ag005G446780	XP_009145683.1
OG0000108	Ag005G459590, Ag008G727840	XP_009150964.1
OG0000108	Ag005G414040	XP_033144223.1, XP_009137095.2, XP_033143042.1, XP_009120753.1
OG0000108	Ag007G609500, Ag002G145390	XP_033141220.1
OG0000109	Ag001G038010	XP_033147238.1
OG0000110	Ag001G090130	XP_009104193.2
OG0000110	Ag001G090120	XP_009116587.1, XP_018508692.1
OG0000110	Ag001G089790, Ag001G077880	XP_033136024.1
OG0000110	Ag007G655930	XP_009116586.2, XP_033134414.1, XP_033134415.1
OG0000110	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700	XP_033130960.1
OG0000110	Ag001G090290, Ag001G090300, Ag001G090310	XP_009104190.1
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	XP_009144883.2
OG0000111	Ag008G729450	XP_033141227.1
OG0000119	Ag001G026190, Ag008G699540, Ag005G437940, Ag007G645640, Ag007G656830	XP_009139373.1, XP_009111365.1, XP_009123003.1
OG0000119	Ag007G641820	XP_009130013.1
OG0000120	Ag004G373700, Ag001G094910	XP_033136614.1, XP_033135828.1
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	XP_033133710.1, XP_009107578.2, XP_033128024.1
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	XP_009122928.1
OG0000122	Ag008G698890	XP_033139821.1, XP_018512820.2, XP_033142009.1, XP_033137394.1
OG0000122	Ag003G267460	XP_033142107.1
OG0000122	Ag008G698530	XP_033144567.1, XP_009132310.1
OG0000123	Ag007G583620	XP_009109753.1
OG0000123	Ag001G067540	XP_033143410.1, XP_033143576.1, XP_033135368.1
OG0000123	Ag004G318540, Ag006G573850	XP_009105059.1, XP_009110577.1, XP_009105445.1
OG0000124	Ag005G441490	XP_009124883.1
OG0000124	Ag003G242000	XP_033130441.1, XP_009107043.1
OG0000125	Ag002G172470, Ag001G072990	XP_009139383.1, XP_009116061.1
OG0000125	Ag008G713670	XP_009131894.1, XP_009120626.1
OG0000125	Ag008G710250	XP_009131960.1
OG0000125	Ag007G595180	XP_009133865.1, XP_009103710.2, XP_009140934.1
OG0000126	Ag008G691850	XP_033148541.1, XP_009123429.1
OG0000127	Ag006G492220	XP_033145538.1
