Orthogroup	Alyssum_gmelinii	Cardamine_hirsuta
OG0000030	Ag002G145320, Ag008G659630, Ag006G491030	CARHR181500
OG0000030	Ag008G670610	CARHR262520
OG0000030	Ag002G201000, Ag003G292120	CARHR103350
OG0000030	Ag001G021090, Ag003G292130, Ag005G430740	CARHR260310, CARHR154720
OG0000031	Ag001G078560, Ag004G386130	CARHR048190, CARHR051150, CARHR047980
OG0000031	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420	CARHR013000
OG0000031	Ag002G111150, Ag002G107580	CARHR213210
OG0000031	Ag004G401670	CARHR049120, CARHR046360, CARHR046370
OG0000033	Ag006G547230, Ag006G549390	CARHR230270, CARHR230290
OG0000033	Ag006G543630, Ag006G543880	CARHR230320, CARHR230240, CARHR055320
OG0000033	Ag006G564890, Ag003G210460	CARHR289950
OG0000033	Ag006G547250, Ag006G549400, Ag008G717210	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620
OG0000033	Ag006G547380, Ag006G549570	CARHR230200, CARHR230230
OG0000033	Ag002G130680, Ag002G130760	CARHR252350
OG0000035	Ag007G589380	CARHR054750
OG0000035	Ag006G499210	CARHR207670
OG0000035	Ag007G590010	CARHR126110
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	CARHR141500
OG0000038	Ag001G003660	CARHR024990
OG0000038	Ag002G135290, Ag002G133990, Ag002G133520	CARHR174900, CARHR175950
OG0000038	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420	CARHR178840
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	CARHR025790, CARHR162370, CARHR260760, CARHR260790
OG0000040	Ag005G483190	CARHR223790
OG0000040	Ag002G192690, Ag002G188830	CARHR154640, CARHR088870
OG0000040	Ag007G626240, Ag005G483200, Ag002G109870	CARHR289440
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	CARHR158510, CARHR158520
OG0000041	Ag003G296430, Ag003G296390, Ag008G683020	CARHR260230, CARHR034730
OG0000044	Ag006G512870	CARHR150330
OG0000044	Ag001G054960	CARHR057390, CARHR183570, CARHR116100, CARHR107370
OG0000046	Ag006G575430	CARHR225000, CARHR225010
OG0000046	Ag002G197360	CARHR214320
OG0000046	Ag002G129690, Ag002G129740	CARHR059270, CARHR059250
OG0000046	Ag002G129710	CARHR059360, CARHR263420
OG0000048	Ag005G486480	CARHR077950
OG0000048	Ag005G486490	CARHR077910
OG0000048	Ag005G486620, Ag005G486520	CARHR077940
OG0000052	Ag004G301370, Ag004G301320	CARHR002800
OG0000052	Ag002G194170	CARHR137510
OG0000052	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	CARHR127280
OG0000052	Ag002G194250	CARHR137530
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	CARHR137550, CARHR137540
OG0000053	Ag003G279130	CARHR152130, CARHR102470, CARHR286550
OG0000053	Ag006G525960	CARHR044830
OG0000054	Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080	CARHR056490
OG0000055	Ag004G382900	CARHR050220
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	CARHR049980, CARHR050290, CARHR050280, CARHR050160
OG0000056	Ag002G121000, Ag006G542770	CARHR153090, CARHR260200, CARHR119870, CARHR219260, CARHR049910
OG0000057	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510	CARHR111010
OG0000057	Ag005G459490	CARHR092150, CARHR092000
OG0000057	Ag005G459920	CARHR092560, CARHR092720
OG0000057	Ag005G462800	CARHR127660
OG0000057	Ag005G462790	CARHR214390
OG0000057	Ag003G289060	CARHR100810, CARHR192030, CARHR177430, CARHR107470
OG0000058	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110	CARHR154060
OG0000058	Ag006G516660	CARHR153550
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860	CARHR264280
OG0000061	Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720	CARHR258030
OG0000063	Ag007G595160, Ag002G172730	CARHR163630
OG0000063	Ag001G073100	CARHR154290
OG0000063	Ag002G119010, Ag008G710470	CARHR121870
OG0000064	Ag003G295980	CARHR247830
OG0000064	Ag004G324660, Ag004G324700, Ag003G296080, Ag002G109510, Ag002G109380, Ag003G296040, Ag003G296060, Ag002G109520, Ag002G109590, Ag002G109550, Ag003G296070, Ag002G191390, Ag002G109460, Ag002G109500, Ag003G296100, Ag003G296020, Ag002G109470, Ag002G109450, Ag003G283080, Ag003G283090	CARHR020490
OG0000065	Ag009G735570	CARHR184170
OG0000066	Ag003G225470	CARHR246630, CARHR069000, CARHR096450, CARHR058350, CARHR068990
OG0000066	Ag007G604700	CARHR202910, CARHR279320
OG0000066	Ag002G125900	CARHR279310
OG0000067	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340	CARHR064230
OG0000068	Ag002G195230, Ag004G364800, Ag004G365410, Ag004G364540, Ag006G570020	CARHR034790
OG0000071	Ag004G339910	CARHR082570
OG0000073	Ag003G212540	CARHR223530
OG0000073	Ag002G118960, Ag002G118950	CARHR116350
OG0000073	Ag002G116850	CARHR292230
OG0000073	Ag002G120540	CARHR175060
OG0000073	Ag002G116910	CARHR175090, CARHR175840, CARHR175230
OG0000074	Ag003G242350, Ag003G242390	CARHR024090
OG0000074	Ag005G402710	CARHR024100
OG0000074	Ag004G378820	CARHR024030, CARHR024020, CARHR024000
OG0000075	Ag004G320730	CARHR014880
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	CARHR125670, CARHR125660, CARHR124000
OG0000075	Ag006G510790	CARHR099040
OG0000075	Ag002G191710, Ag002G191700, Ag002G191680	CARHR035940
OG0000076	Ag001G069290, Ag001G069280	CARHR292090
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	CARHR065210, CARHR065340, CARHR121130, CARHR148040, CARHR278910, CARHR150860
OG0000076	Ag001G002030	CARHR148060, CARHR148030, CARHR148020
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	CARHR247160
OG0000077	Ag003G215720	CARHR103020
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	CARHR247180
OG0000077	Ag002G148310	CARHR247150
OG0000078	Ag003G252700	CARHR151660
OG0000079	Ag006G550570	CARHR111250
OG0000079	Ag001G084480	CARHR169400
OG0000079	Ag001G089200	CARHR169290
OG0000079	Ag001G071340	CARHR051200, CARHR051170
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	CARHR186450, CARHR286030, CARHR217340
OG0000080	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	CARHR270010
OG0000080	Ag001G028300	CARHR039590
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	CARHR123150, CARHR123070, CARHR123140
OG0000083	Ag005G483950, Ag005G483960	CARHR121440, CARHR291360, CARHR291330
OG0000084	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620	CARHR117870, CARHR117890, CARHR116980
OG0000084	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770	CARHR116880, CARHR117860
OG0000084	Ag008G724370	CARHR117220, CARHR116970, CARHR116710, CARHR116720, CARHR117880
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	CARHR117030, CARHR118620
OG0000086	Ag008G709530	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750
OG0000087	Ag008G723440	CARHR189700
OG0000087	Ag007G593840	CARHR122890
OG0000087	Ag007G609260	CARHR200860
OG0000087	Ag002G161340	CARHR128920
OG0000087	Ag002G127940	CARHR178800
OG0000087	Ag006G562620	CARHR227450
OG0000087	Ag003G224140	CARHR069200
OG0000088	Ag008G717820	CARHR192340, CARHR192330
OG0000089	Ag007G603320	CARHR203590
OG0000089	Ag005G453100	CARHR094190
OG0000089	Ag005G471710	CARHR086670
OG0000089	Ag002G172950, Ag001G073120	CARHR131960
OG0000089	Ag008G712440, Ag008G708620	CARHR285740, CARHR155270
OG0000090	Ag004G333760	CARHR020650
OG0000090	Ag003G223190	CARHR069500
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	CARHR288810
OG0000090	Ag002G185460	CARHR145500, CARHR145480
OG0000091	Ag008G666230, Ag001G063330, Ag006G524690	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050
OG0000091	Ag008G666220	CARHR055470
OG0000093	Ag001G087540	CARHR168740
OG0000093	Ag001G087060, Ag020G743300	CARHR168730
OG0000093	Ag001G087470	CARHR168710
OG0000093	Ag001G087410	CARHR168690
OG0000093	Ag001G083700, Ag001G087310	CARHR168640
OG0000093	Ag001G086770, Ag001G086780, Ag001G086760	CARHR168600
OG0000093	Ag001G086540, Ag001G086510	CARHR168590, CARHR259860, CARHR168580
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	CARHR145650, CARHR145640
OG0000096	Ag004G329170, Ag004G329010, Ag004G329150, Ag004G329020	CARHR145630
OG0000096	Ag002G102560	CARHR177990
OG0000096	Ag006G559170	CARHR176910
OG0000096	Ag002G103250	CARHR177040
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	CARHR252090, CARHR252110
OG0000097	Ag002G129120, Ag002G130340, Ag002G130310, Ag002G129030	CARHR252130
OG0000097	Ag002G128740	CARHR252050
OG0000097	Ag002G128960	CARHR252100
OG0000098	Ag004G315550, Ag004G315560	CARHR220990, CARHR220970
OG0000098	Ag006G506280, Ag004G316800, Ag004G315620	CARHR013070
OG0000099	Ag004G395880	CARHR046920
OG0000099	Ag004G394290, Ag004G391580	CARHR051500
OG0000099	Ag004G396600, Ag004G396870, Ag004G391030	CARHR046950
OG0000099	Ag015G742140, Ag015G742240	CARHR046970
OG0000099	Ag004G391040	CARHR051510
OG0000100	Ag002G132470	CARHR054110, CARHR100990
OG0000100	Ag004G384260	CARHR181920
OG0000100	Ag008G659700	CARHR054690, CARHR054680
OG0000100	Ag002G169920, Ag007G628580	CARHR101000
OG0000101	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060	CARHR051270, CARHR051250, CARHR051280, CARHR149280, CARHR047170, CARHR047230
OG0000101	Ag004G389820, Ag004G389830	CARHR050870
OG0000101	Ag004G395200, Ag004G395030, Ag004G390080	CARHR047460
OG0000101	Ag004G395150	CARHR047540
OG0000101	Ag004G390280	CARHR149290
OG0000104	Ag004G307220	CARHR007350
OG0000104	Ag007G594880, Ag007G594830	CARHR122140
OG0000104	Ag007G594810	CARHR122230
OG0000104	Ag001G010320	CARHR039100
OG0000104	Ag005G441940	CARHR097260
OG0000104	Ag001G010200	CARHR041960
OG0000104	Ag001G010180, Ag001G010190	CARHR041980
OG0000106	Ag005G417510, Ag001G017220	CARHR101790, CARHR101800, CARHR159090, CARHR095220, CARHR092810, CARHR120380
OG0000106	Ag004G383320	CARHR248580
OG0000107	Ag005G481150	CARHR119260, CARHR119250
OG0000107	Ag005G446760	CARHR095650
OG0000107	Ag005G446720	CARHR095660
OG0000107	Ag005G446670	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680
OG0000108	Ag005G459590, Ag008G727840	CARHR174970
OG0000108	Ag005G414040	CARHR046250
OG0000108	Ag008G722170, Ag007G609500, Ag002G145390	CARHR000040, CARHR188170
OG0000110	Ag001G090130	CARHR169600
OG0000110	Ag001G090120	CARHR169580
OG0000110	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700	CARHR169630
OG0000110	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010	CARHR150810, CARHR169560
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	CARHR169570
OG0000110	Ag001G090290, Ag001G090300, Ag001G090310	CARHR061850
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	CARHR214020, CARHR214040
OG0000111	Ag006G502330	CARHR214030
OG0000111	Ag008G729450	CARHR277260, CARHR277270, CARHR256230
OG0000112	Ag007G615000	CARHR274650, CARHR274680
OG0000113	Ag003G210260	CARHR288500
OG0000113	Ag005G453300	CARHR149270
OG0000113	Ag004G396680, Ag007G597560	CARHR047480
OG0000113	Ag003G219180	CARHR047200, CARHR047160
OG0000113	Ag004G390150, Ag004G389940, Ag004G394920, Ag004G389960	CARHR262020
OG0000113	Ag004G396880, Ag004G396660, Ag004G387080, Ag004G389950	CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050
OG0000113	Ag002G118730	CARHR175310, CARHR289490
OG0000113	Ag002G116610, Ag002G116590	CARHR175110, CARHR175150
OG0000113	Ag002G138540	CARHR175080, CARHR178690, CARHR116320
OG0000113	Ag006G576050	CARHR222460
OG0000113	Ag004G394970	CARHR047550
OG0000113	Ag007G655220	CARHR228760, CARHR181190, CARHR151550
OG0000114	Ag005G486540, Ag005G485930	CARHR078370, CARHR078360
OG0000114	Ag006G573480	CARHR071840, CARHR251920, CARHR071800
OG0000114	Ag003G284630	CARHR214250, CARHR181200, CARHR181230, CARHR202070, CARHR077970
OG0000119	Ag001G026190, Ag008G699540, Ag005G437940, Ag007G645640, Ag007G656830, Ag007G641820	CARHR115250
OG0000119	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220	CARHR292260, CARHR102990
OG0000120	Ag004G373700, Ag001G094910	CARHR285170
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	CARHR208650
OG0000122	Ag008G698890	CARHR269930, CARHR033430, CARHR033520
OG0000122	Ag003G267460	CARHR129080, CARHR269910, CARHR269890, CARHR031770
OG0000122	Ag008G699060	CARHR269900, CARHR031760, CARHR036560, CARHR031790
OG0000123	Ag007G583620	CARHR024520, CARHR027640, CARHR027660, CARHR027650
OG0000123	Ag001G067540	CARHR014050, CARHR014060, CARHR049240
OG0000124	Ag005G441490, Ag004G309520, Ag003G282630	CARHR182430
OG0000124	Ag003G242000	CARHR183650, CARHR043800, CARHR123710
OG0000124	Ag004G349780, Ag005G468220, Ag002G194630, Ag001G067330, Ag008G665260, Ag001G016150, Ag005G485900, Ag012G741220	CARHR036720
OG0000124	Ag008G669380	CARHR117340, CARHR057000, CARHR158410, CARHR153220
OG0000125	Ag005G477020	CARHR210790
OG0000125	Ag008G713670	CARHR190650
OG0000125	Ag004G307540	CARHR007600
OG0000125	Ag007G595180	CARHR121850
OG0000127	Ag005G477940	CARHR083500
OG0000127	Ag008G679900, Ag004G381150	CARHR211450
OG0000127	Ag004G381140	CARHR211460
OG0000127	Ag005G477990	CARHR083490
OG0000127	Ag005G477980	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100
OG0000131	Ag003G256190	CARHR118270
OG0000131	Ag003G250970	CARHR287300
OG0000136	Ag008G691470, Ag005G487080, Ag004G358500	CARHR058600
OG0000137	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700	CARHR180340
OG0000138	Ag005G453150	CARHR274850
OG0000140	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830	CARHR272760, CARHR272770, CARHR053670
OG0000140	Ag001G080460, Ag008G707780	CARHR285460, CARHR285480
OG0000142	Ag007G594480	CARHR122610
OG0000142	Ag007G594490, Ag007G594500, Ag007G594520, Ag007G594510	CARHR122550
OG0000142	Ag007G594470	CARHR122540
OG0000142	Ag004G307050	CARHR122600, CARHR122570, CARHR122580, CARHR119640
OG0000146	Ag008G695350	CARHR268680
OG0000146	Ag008G695470, Ag008G695460	CARHR268700
OG0000146	Ag008G695380	CARHR268690
OG0000147	Ag003G261030	CARHR238090
OG0000147	Ag008G702420	CARHR271150
OG0000147	Ag003G209560	CARHR073860
OG0000149	Ag006G570510, Ag006G570440, Ag006G570460	CARHR154840, CARHR154800, CARHR154790, CARHR154820
OG0000149	Ag008G709300, Ag008G709340	CARHR273170, CARHR273200, CARHR273210, CARHR273220
OG0000149	Ag008G709420	CARHR273240, CARHR273230, CARHR273250
OG0000149	Ag008G709260	CARHR219850
OG0000149	Ag008G709330	CARHR273160
OG0000150	Ag008G711330, Ag002G133360	CARHR118700, CARHR273840
OG0000150	Ag006G518460, Ag007G625710	CARHR263010, CARHR256190
OG0000150	Ag001G092600	CARHR150140
OG0000150	Ag004G332580	CARHR059580, CARHR150110
OG0000151	Ag008G685810	CARHR266340
OG0000151	Ag003G253050	CARHR235660
OG0000151	Ag005G478640	CARHR082990
OG0000151	Ag005G417580	CARHR107000
OG0000151	Ag008G698280	CARHR269520
OG0000151	Ag004G398050	CARHR046700
OG0000154	Ag004G324480	CARHR016540
OG0000154	Ag005G471090	CARHR087080
OG0000154	Ag002G177350	CARHR000060, CARHR229590, CARHR069350
OG0000154	Ag005G477170	CARHR083850
OG0000154	Ag006G493360	CARHR210880
OG0000154	Ag006G507750, Ag006G508580, Ag006G493020	CARHR210890
OG0000155	Ag002G204050	CARHR164960
OG0000155	Ag006G564870	CARHR227980
OG0000155	Ag005G471860	CARHR086560
OG0000155	Ag002G134830, Ag002G134820, Ag002G138260	CARHR227950
OG0000156	Ag002G201900	CARHR140780, CARHR140790, CARHR140740
OG0000156	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880	CARHR140750
OG0000156	Ag001G093780	CARHR171350
OG0000157	Ag006G537650, Ag002G142330, Ag002G143730, Ag003G228360	CARHR102680
OG0000157	Ag004G346210, Ag003G229150, Ag004G369290	CARHR133050, CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060, CARHR101240
OG0000158	Ag005G443310, Ag005G444520, Ag005G443260	CARHR210870
OG0000158	Ag006G563590	CARHR245230
OG0000158	Ag005G476710	CARHR104280
OG0000161	Ag008G725260	CARHR275730
OG0000161	Ag007G588370	CARHR056680, CARHR056760
OG0000161	Ag007G588360	CARHR056690
OG0000161	Ag007G601560, Ag007G601540, Ag007G601790	CARHR056630
OG0000162	Ag001G092940	CARHR069160, CARHR059610
OG0000162	Ag001G092930	CARHR170840
OG0000162	Ag008G712070	CARHR057970
OG0000162	Ag002G200850, Ag002G200800	CARHR140170
OG0000164	Ag003G293830	CARHR246960
OG0000164	Ag005G487250, Ag003G293940	CARHR041160, CARHR041170
OG0000164	Ag003G293780, Ag004G322100, Ag003G293750, Ag003G293810	CARHR185060, CARHR185040
OG0000164	Ag003G293740, Ag003G293690, Ag003G293790	CARHR246950
OG0000167	Ag006G570230	CARHR226380
OG0000169	Ag003G231880	CARHR019250, CARHR067410, CARHR067450
OG0000171	Ag008G670170	CARHR142560
OG0000171	Ag004G345150	CARHR023910
OG0000171	Ag004G371850	CARHR052550
OG0000171	Ag007G614710	CARHR198650
OG0000172	Ag001G097470	CARHR053570
OG0000172	Ag003G233750, Ag006G550460	CARHR169320
OG0000172	Ag001G089440	CARHR169390
OG0000172	Ag001G089420	CARHR169360
OG0000175	Ag005G414670, Ag001G067410	CARHR160880
OG0000178	Ag002G116410	CARHR124520, CARHR098760
OG0000180	Ag003G207330	CARHR264470
OG0000180	Ag003G218340	CARHR175440
OG0000181	Ag003G251860	CARHR174010, CARHR102280, CARHR110940, CARHR049200, CARHR180870, CARHR122740
OG0000184	Ag001G075930	CARHR157490, CARHR154180, CARHR181110
OG0000185	Ag002G183070	CARHR116590
OG0000186	Ag004G388160	CARHR184740, CARHR217430
OG0000187	Ag003G270250, Ag002G167770	CARHR239530
OG0000187	Ag003G270560	CARHR239600
OG0000187	Ag005G474090, Ag005G474080	CARHR085640
OG0000189	Ag001G080600, Ag003G293390, Ag003G292930	CARHR246590
OG0000189	Ag007G631560, Ag007G631600, Ag007G631490, Ag007G631520, Ag007G631710, Ag007G628720, Ag007G631540, Ag006G508880, Ag006G508840, Ag006G508810, Ag004G355860, Ag003G290270	CARHR132630
OG0000190	Ag002G140140	CARHR253020
OG0000190	Ag002G128880	CARHR250370
OG0000190	Ag002G128820	CARHR250360
OG0000190	Ag002G140040, Ag002G139950	CARHR259510, CARHR252970, CARHR263930, CARHR252960
OG0000191	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420	CARHR091820
OG0000191	Ag005G457150	CARHR107430, CARHR293570, CARHR148120, CARHR091830
OG0000191	Ag005G457490, Ag005G457480	CARHR107420, CARHR107440, CARHR293580, CARHR148110
OG0000191	Ag005G461560, Ag005G461580, Ag005G461550, Ag005G461640, Ag005G460960	CARHR091750
OG0000192	Ag004G336350	CARHR059110
OG0000192	Ag008G727670	CARHR181970
OG0000192	Ag004G336340, Ag004G336360, Ag004G336330	CARHR181980, CARHR256500
OG0000193	Ag004G342780	CARHR097030, CARHR150060, CARHR108190, CARHR108200
OG0000195	Ag001G082920	CARHR166950, CARHR136200
OG0000195	Ag007G646090	CARHR058380, CARHR215030
OG0000196	Ag004G304260, Ag004G304230	CARHR037150, CARHR037160
OG0000196	Ag004G304250	CARHR028490, CARHR037140, CARHR037130
OG0000196	Ag004G304870	CARHR110490
OG0000197	Ag006G545700	CARHR272960
OG0000201	Ag005G439940	CARHR103600
OG0000203	Ag005G407790	CARHR078890
OG0000203	Ag006G519280, Ag005G485370, Ag005G485380	CARHR078880, CARHR078860, CARHR078870
OG0000203	Ag004G387230, Ag004G392530, Ag005G485880	CARHR201470
OG0000204	Ag005G471780, Ag005G471790	CARHR099050
OG0000204	Ag003G216930, Ag003G216910, Ag003G216390, Ag003G216940, Ag003G216920, Ag003G216970, Ag003G216980	CARHR044120
OG0000204	Ag005G437650	CARHR098530
OG0000205	Ag005G439370	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042520, CARHR042900, CARHR041590, CARHR043210, CARHR037920, CARHR263740, CARHR043200, CARHR148260, CARHR265180, CARHR265400, CARHR149520
OG0000207	Ag001G022870, Ag001G022610	CARHR072270
OG0000207	Ag003G219800, Ag003G215860, Ag003G215900	CARHR072300
OG0000207	Ag003G212790	CARHR072290
OG0000208	Ag003G275160	CARHR181000
OG0000208	Ag003G275170, Ag003G294530, Ag003G294570, Ag003G294700, Ag003G294540	CARHR264830
OG0000210	Ag006G499160, Ag006G499150, Ag006G499180	CARHR102790, CARHR102800, CARHR102820, CARHR145920
OG0000210	Ag003G280570, Ag003G273400	CARHR145910, CARHR145930, CARHR145900
OG0000210	Ag007G588470	CARHR127190
OG0000213	Ag003G236750, Ag003G236500, Ag003G236780, Ag003G236530	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360
OG0000213	Ag003G288980	CARHR292800, CARHR292790, CARHR292750, CARHR257100, CARHR292760, CARHR285920
OG0000214	Ag006G510210	CARHR250390, CARHR248840, CARHR250400, CARHR250050
OG0000216	Ag006G554100, Ag006G554110	CARHR283650, CARHR229570
OG0000216	Ag006G554130	CARHR229010, CARHR229070, CARHR229050, CARHR229110
OG0000218	Ag004G322150	CARHR015470, CARHR015480
OG0000218	Ag004G318250, Ag006G542090, Ag006G547060	CARHR147290
OG0000218	Ag008G689600, Ag002G177290	CARHR144080
OG0000219	Ag004G357760	CARHR058980
OG0000219	Ag007G593670	CARHR123080, CARHR123060
OG0000219	Ag006G565670	CARHR277080
OG0000219	Ag008G724120	CARHR266750
OG0000220	Ag001G093870	CARHR050490
OG0000220	Ag002G179690	CARHR147550, CARHR269160, CARHR269100, CARHR211050, CARHR145120, CARHR145130
OG0000224	Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450	CARHR071060, CARHR071050, CARHR071040
OG0000224	Ag003G270550	CARHR230420
