Orthogroup	Alyssum_gmelinii	Euclidium_syriacum
OG0000008	Ag007G652280, Ag002G148400, Ag005G451490, Ag002G152740, Ag007G618090, Ag001G039140, Ag007G618290, Ag001G044380, Ag008G677680, Ag004G365860, Ag001G065030, Ag001G070290, Ag005G430580, Ag004G391490, Ag001G055480, Ag001G024870, Ag002G143690, Ag005G427440, Ag002G180130, Ag003G281500, Ag004G382010, Ag007G618910, Ag002G172940, Ag001G015890, Ag005G426820	ESY15_g64840_DN3_SP0_c0.t1
OG0000012	Ag007G621260, Ag005G417190	ESY8_g61320_DN3_SP0_c0.t1
OG0000013	Ag006G559810, Ag004G396400, Ag004G380450, Ag008G708120, Ag001G014560, Ag001G041140	ESY8_g60272_DN2_SP0_c0.t1
OG0000015	Ag002G110750	ESY13_g56278_DN1_SP0_c1.t1, ESY4_g24528_DN1_SP0_c0.t1
OG0000015	Ag008G676660	ESY18_g63644_DN2_SP0_c0.t1, ESY14_g21118_DN1_SP0_c0.t1
OG0000015	Ag008G675720	ESY14_g21116_DN2_SP0_c1.t1
OG0000017	Ag001G058750	ESY15_g65203_DN3_SP0_c0.t1
OG0000017	Ag002G182860	ESY15_g65461_DN2_SP0_c0.t1
OG0000018	Ag007G609170	ESY9_g43986_DN3_SP0_c0.t1
OG0000019	Ag003G276070	ESY5_g2563_DN2_SP0_c0.t1
OG0000019	Ag006G545360	ESY24_g33175_DN3_SP0_c2.t1
OG0000019	Ag003G263160, Ag006G497030	ESY9_g42816_DN3_SP0_c48.t1, ESY8_g60782_DN3_SP0_c0.t1
OG0000019	Ag007G642200, Ag006G545350	ESY1_g6718_DN1_SP0_c0.t1, ESY4_g23292_DN2_SP0_c93.t1, ESY6_g49770_DN3_SP0_c0.t1, ESY17_g39854_DN1_SP0_c100.t1
OG0000020	Ag008G729190	ESY22_g40386_DN3_SP0_c42.t1
OG0000021	Ag008G685590	ESY9_g45027_DN2_SP0_c0.t1
OG0000021	Ag005G443540	ESY8_g60366_DN2_SP0_c0.t1
OG0000021	Ag002G201670	ESY9_g43535_DN3_SP0_c0.t1, ESY9_g43536_DN2_SP0_c0.t1, ESY9_g43962_DN2_SP0_c0.t1, ESY17_g39790_DN2_SP0_c0.t1
OG0000024	Ag005G441710, Ag004G351930, Ag005G445160, Ag002G157990, Ag002G117810, Ag003G279100, Ag003G257540	ESY6_g47516_DN2_SP0_c0.t1
OG0000025	Ag003G230310	ESY3_g32269_DN2_SP0_c54.t1, ESY3_g32495_DN3_SP0_c95.t1
OG0000026	Ag013G741580, Ag002G192470	ESY1_g10661_DN2_SP0_c99.t1
OG0000028	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750	ESY5_g1247_DN2_SP0_c0.t1, ESY10_g13703_DN2_SP0_c0.t1, ESY10_g14733_DN2_SP0_c0.t1
OG0000029	Ag006G523440, Ag006G532500, Ag004G401820, Ag002G114660, Ag004G375950, Ag002G168100, Ag004G354120, Ag002G175390, Ag005G441680, Ag006G519730, Ag001G067390, Ag002G186330, Ag006G491400, Ag003G216290, Ag003G216300, Ag003G258710	ESY13_g57677_DN1_SP0_c0.t1
OG0000030	Ag005G426520, Ag002G126760, Ag003G226280, Ag002G123900, Ag006G510430	ESY17_g39786_DN2_SP0_c77.t1
OG0000030	Ag008G713150	ESY1_g9008_DN2_SP0_c16.t1
OG0000034	Ag004G372350	ESY4_g21983_DN1_SP0_c100.t1
OG0000035	Ag007G589380	ESY8_g58361_DN2_SP0_c0.t1
OG0000035	Ag006G499210	ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1
OG0000035	Ag005G405240, Ag002G183820	ESY2_g33720_DN3_SP0_c0.t1, ESY2_g33707_DN3_SP0_c0.t1, ESY2_g33709_DN1_SP0_c0.t1, ESY2_g33725_DN2_SP0_c0.t1, ESY2_g33721_DN1_SP0_c0.t1, ESY20_g13338_DN3_SP0_c0.t1, ESY5_g4613_DN3_SP0_c0.t1, ESY2_g34022_DN3_SP0_c0.t1
OG0000035	Ag005G414840	ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1
OG0000035	Ag005G463540, Ag005G463520, Ag005G463530	ESY7_g16211_DN2_SP0_c0.t1, ESY1_g10653_DN1_SP0_c0.t1, ESY1_g11291_DN3_SP0_c0.t1
OG0000035	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100	ESY5_g5237_DN2_SP0_c0.t1, ESY5_g5235_DN1_SP0_c0.t1, ESY5_g5227_DN1_SP0_c0.t1, ESY7_g16708_DN2_SP0_c0.t1, ESY8_g58363_DN2_SP0_c0.t1
OG0000036	Ag003G262470, Ag003G288580, Ag005G424740	ESY15_g65727_DN2_SP0_c85.t1
OG0000037	Ag001G080220, Ag007G646570, Ag001G053350, Ag008G688330, Ag004G388700, Ag002G136000	ESY21_g55396_DN1_SP0_c0.t1
OG0000038	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000038	Ag007G594740, Ag007G591770, Ag004G335660	ESY7_g19381_DN3_SP0_c0.t1
OG0000038	Ag001G056400	ESY1_g11096_DN3_SP0_c0.t1
OG0000038	Ag003G279120	ESY2_g34741_DN3_SP0_c0.t1
OG0000038	Ag001G083350	ESY7_g16554_DN2_SP0_c0.t1
OG0000038	Ag007G621230	ESY1_g10656_DN2_SP0_c0.t1
OG0000038	Ag004G335820	ESY1_g10657_DN3_SP0_c0.t1
OG0000040	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910	ESY5_g3960_DN3_SP0_c0.t1, ESY5_g3539_DN1_SP0_c0.t1, ESY16_g62047_DN2_SP0_c0.t1, ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000040	Ag005G483190	ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1
OG0000040	Ag002G192690, Ag002G188830	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1
OG0000040	Ag007G626240, Ag005G483200, Ag002G109870	ESY9_g42515_DN2_SP0_c0.t1, ESY9_g42498_DN1_SP0_c0.t1
OG0000040	Ag005G441920, Ag005G467750, Ag005G452660	ESY3_g30289_DN3_SP0_c0.t1, ESY3_g30290_DN3_SP0_c0.t1, ESY11_g54853_DN3_SP0_c0.t1, ESY3_g30283_DN1_SP0_c0.t1, ESY7_g18283_DN2_SP0_c0.t1, ESY3_g29392_DN3_SP0_c0.t1, ESY3_g30282_DN2_SP0_c0.t1
OG0000041	Ag003G251790	ESY8_g58625_DN1_SP0_c0.t1
OG0000041	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960	ESY11_g52546_DN2_SP0_c0.t1, ESY4_g24970_DN3_SP0_c0.t1, ESY15_g65549_DN2_SP0_c0.t1, ESY18_g64157_DN2_SP0_c0.t1, ESY13_g56315_DN1_SP0_c55.t1, ESY21_g55910_DN1_SP0_c17.t1, ESY13_g56316_DN1_SP0_c0.t1, ESY1_g7853_DN1_SP0_c0.t1
OG0000044	Ag006G512870	ESY14_g21426_DN1_SP0_c0.t1
OG0000045	Ag005G474590, Ag005G450900, Ag005G424570	ESY1_g10435_DN1_SP0_c0.t1, ESY10_g14768_DN2_SP0_c0.t1, ESY10_g15212_DN1_SP0_c0.t1
OG0000045	Ag002G197550, Ag008G703200	ESY23_g31_DN2_SP0_c0.t1, ESY5_g789_DN1_SP0_c0.t1
OG0000047	Ag008G717960, Ag004G337790, Ag001G100560, Ag002G180790, Ag007G643270, Ag006G556170, Ag001G041020, Ag007G643260, Ag004G339660, Ag007G603900, Ag006G556180, Ag005G457670, Ag006G528150, Ag003G283670, Ag004G385990, Ag006G499220, Ag001G091420, Ag002G161650, Ag006G525780, Ag006G566760, Ag002G142070, Ag001G046570, Ag007G614620, Ag007G585730, Ag007G603890, Ag006G525770	ESY3_g28898_DN3_SP0_c0.t1
OG0000049	Ag003G236810	ESY14_g19727_DN2_SP0_c0.t1
OG0000050	Ag007G641850	ESY1_g11365_DN3_SP0_c59.t1, ESY9_g44155_DN3_SP0_c0.t1, ESY2_g36090_DN3_SP0_c34.t1
OG0000050	Ag002G123120	ESY11_g52398_DN3_SP0_c0.t1
OG0000050	Ag006G569990, Ag006G561100, Ag007G641840	ESY17_g40168_DN2_SP0_c0.t1
OG0000052	Ag004G301320	ESY5_g5128_DN3_SP0_c0.t1
OG0000052	Ag002G195160, Ag002G194240, Ag002G194190	ESY5_g2704_DN3_SP0_c0.t1
OG0000052	Ag002G194170	ESY5_g5127_DN3_SP0_c0.t1
OG0000052	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060	ESY12_g51336_DN3_SP0_c0.t1
OG0000052	Ag002G194410, Ag002G194400, Ag002G194390	ESY5_g2706_DN3_SP0_c11.t1
OG0000053	Ag006G525960	ESY4_g22922_DN2_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY8_g60186_DN3_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1
OG0000054	Ag007G634740, Ag006G513370, Ag001G062410	ESY18_g63621_DN3_SP0_c0.t1
OG0000055	Ag002G180760, Ag003G281400, Ag003G282390	ESY2_g33762_DN3_SP0_c0.t1, ESY2_g33775_DN1_SP0_c0.t1, ESY2_g33772_DN2_SP0_c0.t1, ESY2_g33750_DN3_SP0_c0.t1, ESY2_g33773_DN1_SP0_c0.t1, ESY2_g33758_DN3_SP0_c0.t1, ESY2_g33753_DN3_SP0_c0.t1, ESY2_g33752_DN3_SP0_c0.t1, ESY2_g33770_DN3_SP0_c0.t1, ESY2_g33774_DN3_SP0_c0.t1, ESY2_g33763_DN2_SP0_c0.t1, ESY2_g33746_DN3_SP0_c0.t1
OG0000056	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330	ESY2_g37912_DN2_SP0_c0.t1
OG0000056	Ag001G076880	ESY4_g23383_DN2_SP0_c0.t1
OG0000056	Ag002G121000, Ag006G542770	ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1, ESY15_g64467_DN1_SP0_c0.t1, ESY9_g44874_DN3_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY15_g64468_DN1_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000057	Ag005G459490	ESY2_g38033_DN2_SP0_c0.t1
OG0000057	Ag003G289060	ESY2_g35826_DN2_SP0_c0.t1
OG0000058	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110	ESY6_g47796_DN2_SP0_c0.t1, ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1
OG0000058	Ag004G388900	ESY3_g27061_DN1_SP0_c0.t1
OG0000058	Ag006G516660	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1
OG0000058	Ag003G229160	ESY10_g14358_DN2_SP0_c0.t1, ESY9_g45116_DN2_SP0_c0.t1, ESY4_g21923_DN3_SP0_c0.t1, ESY7_g19195_DN2_SP0_c0.t1, ESY16_g61681_DN2_SP0_c0.t1, ESY4_g22483_DN2_SP0_c0.t1, ESY10_g14330_DN1_SP0_c0.t1, ESY3_g28010_DN1_SP0_c0.t1, ESY1_g8607_DN1_SP0_c0.t1
OG0000061	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860	ESY7_g16987_DN3_SP0_c0.t1, ESY5_g3834_DN3_SP0_c0.t1
OG0000061	Ag004G329090, Ag006G566820, Ag002G142080, Ag006G573690, Ag006G525790, Ag006G562400, Ag003G279160, Ag007G603910	ESY3_g28672_DN3_SP0_c0.t1, ESY6_g48601_DN3_SP0_c0.t1, ESY8_g59466_DN2_SP0_c0.t1
OG0000061	Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720	ESY17_g40277_DN2_SP0_c0.t1
OG0000062	Ag002G153690, Ag002G153580	ESY8_g59723_DN2_SP0_c0.t1
OG0000063	Ag008G698780	ESY9_g44877_DN3_SP0_c0.t1
OG0000063	Ag007G586340	ESY7_g19007_DN3_SP0_c0.t1
OG0000063	Ag001G073100	ESY1_g11058_DN3_SP0_c0.t1
OG0000064	Ag003G295980	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1
OG0000064	Ag007G620570, Ag001G085940, Ag001G085950, Ag001G085960	ESY4_g25261_DN2_SP0_c0.t1
OG0000064	Ag002G170580, Ag007G593140, Ag007G593150, Ag002G113130, Ag002G109120, Ag003G276120, Ag003G276160, Ag003G276060, Ag004G378360, Ag007G593160	ESY4_g26296_DN3_SP0_c0.t1, ESY4_g26223_DN1_SP0_c0.t1, ESY1_g12221_DN1_SP0_c0.t1
OG0000064	Ag003G272600	ESY4_g26224_DN3_SP0_c0.t1, ESY2_g33380_DN1_SP0_c0.t1
OG0000064	Ag001G030100	ESY6_g50584_DN1_SP0_c0.t1
OG0000064	Ag004G324660, Ag004G324700, Ag003G296080, Ag002G109510, Ag002G109380, Ag003G296040, Ag003G296060, Ag002G109520, Ag002G109590, Ag002G109550, Ag003G296070, Ag002G191390, Ag002G109460, Ag002G109500, Ag003G296100, Ag003G296020, Ag002G109470, Ag002G109450, Ag003G283080, Ag003G283090	ESY2_g34030_DN3_SP0_c0.t1
OG0000065	Ag009G735570, Ag001G025490	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	Ag003G225470	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	Ag007G604700	ESY11_g54349_DN3_SP0_c0.t1, ESY7_g18023_DN3_SP0_c0.t1
OG0000066	Ag002G125900	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820	ESY10_g14570_DN3_SP0_c0.t1, ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1
OG0000067	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340	ESY2_g35389_DN2_SP0_c0.t1
OG0000068	Ag006G547910, Ag002G195230, Ag004G364800, Ag004G365410, Ag004G364540, Ag006G570020, Ag002G158600, Ag002G161440, Ag003G260950, Ag006G498520	ESY9_g44160_DN2_SP0_c0.t1
OG0000069	Ag006G532130	ESY4_g26580_DN3_SP0_c0.t1
OG0000069	Ag003G258860	ESY4_g24685_DN2_SP0_c0.t1, ESY4_g22224_DN1_SP0_c0.t1, ESY1_g10476_DN2_SP0_c0.t1, ESY6_g48384_DN1_SP0_c0.t1
OG0000069	Ag002G200250	ESY16_g62306_DN2_SP0_c0.t1, ESY7_g16953_DN1_SP0_c0.t1
OG0000071	Ag004G339910	ESY4_g24957_DN2_SP0_c25.t1
OG0000072	Ag003G285120, Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320	ESY26_g42254_DN3_SP0_c0.t1, ESY15_g65580_DN3_SP0_c0.t1
OG0000074	Ag003G273880	ESY5_g2017_DN3_SP0_c0.t1, ESY5_g2014_DN3_SP0_c0.t1
OG0000074	Ag003G242350, Ag003G242390	ESY5_g5163_DN3_SP0_c0.t1, ESY5_g5206_DN2_SP0_c0.t1, ESY5_g5161_DN3_SP0_c0.t1
OG0000074	Ag004G378820	ESY11_g54934_DN3_SP0_c0.t1
OG0000074	Ag006G514000	ESY11_g54277_DN1_SP0_c0.t1
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	ESY4_g25254_DN2_SP0_c0.t1, ESY12_g52064_DN1_SP0_c0.t1, ESY7_g18015_DN2_SP0_c0.t1
OG0000075	Ag004G320420, Ag004G320400, Ag004G320390, Ag004G320380, Ag004G320410, Ag004G320330, Ag004G320350, Ag004G320470, Ag006G555240, Ag006G543310, Ag006G544200, Ag006G543080, Ag006G544500, Ag002G191710, Ag002G191700, Ag002G191680	ESY3_g31328_DN1_SP0_c0.t1
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1
OG0000077	Ag003G284880	ESY4_g26264_DN2_SP0_c18.t1, ESY4_g26270_DN3_SP0_c11.t1
OG0000077	Ag003G294450	ESY4_g26259_DN2_SP0_c32.t1
OG0000077	Ag004G372640	ESY4_g26265_DN1_SP0_c40.t1
OG0000077	Ag006G569300	ESY3_g29359_DN2_SP0_c0.t1, ESY4_g26321_DN2_SP0_c0.t1, ESY11_g54274_DN2_SP0_c0.t1, ESY5_g5287_DN2_SP0_c0.t1, ESY4_g26100_DN2_SP0_c0.t1
OG0000077	Ag006G508210	ESY12_g52268_DN2_SP0_c19.t1
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	ESY4_g26061_DN3_SP0_c0.t1, ESY4_g26060_DN2_SP0_c0.t1
OG0000077	Ag002G148310	ESY5_g3131_DN2_SP0_c0.t1
OG0000078	Ag002G136430	ESY24_g33069_DN3_SP0_c0.t1, ESY3_g27675_DN3_SP0_c0.t1, ESY6_g47757_DN3_SP0_c0.t1, ESY22_g40729_DN3_SP0_c0.t1
OG0000078	Ag001G046650, Ag002G152760, Ag003G252700, Ag001G082530, Ag008G711670	ESY13_g56185_DN2_SP0_c0.t1
OG0000078	Ag001G044370	ESY11_g52951_DN3_SP0_c0.t1, ESY4_g21794_DN3_SP0_c0.t1, ESY4_g23139_DN3_SP0_c0.t1, ESY1_g9594_DN2_SP0_c0.t1, ESY22_g40730_DN3_SP0_c0.t1
OG0000080	Ag001G028300	ESY3_g29585_DN1_SP0_c98.t1
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	ESY10_g14355_DN2_SP0_c0.t1
OG0000081	Ag007G628420	ESY7_g17094_DN2_SP0_c0.t1
OG0000082	Ag008G658870, Ag004G384280	ESY21_g55672_DN3_SP0_c0.t1
OG0000082	Ag004G385590	ESY15_g65451_DN1_SP0_c66.t1
OG0000082	Ag004G351970	ESY1_g5765_DN3_SP0_c0.t1, ESY11_g54439_DN1_SP0_c0.t1, ESY16_g62439_DN1_SP0_c0.t1, ESY24_g33022_DN1_SP0_c64.t1, ESY13_g57896_DN2_SP0_c0.t1, ESY2_g37207_DN1_SP0_c0.t1, ESY6_g48122_DN1_SP0_c0.t1, ESY11_g53255_DN2_SP0_c0.t1, ESY14_g19850_DN1_SP0_c100.t1
OG0000082	Ag004G340020	ESY4_g24411_DN1_SP0_c0.t1
OG0000084	Ag002G111870	ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1
OG0000084	Ag004G395550, Ag002G108380, Ag004G395620	ESY3_g31038_DN1_SP0_c0.t1
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000086	Ag008G709530	ESY16_g62560_DN2_SP0_c0.t1
OG0000087	Ag008G723440	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	Ag007G593840	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	Ag007G609260	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	Ag002G127940	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	Ag006G562620	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	Ag003G224140	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940	ESY2_g37886_DN2_SP0_c0.t1, ESY2_g37816_DN3_SP0_c0.t1
OG0000090	Ag001G091860, Ag001G091870, Ag001G091890	ESY1_g11986_DN3_SP0_c85.t1, ESY16_g62121_DN3_SP0_c87.t1, ESY2_g38808_DN1_SP0_c0.t1
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1
OG0000090	Ag002G185460	ESY3_g32095_DN2_SP0_c41.t1
OG0000091	Ag008G666230, Ag001G063330, Ag006G524690	ESY21_g55841_DN2_SP0_c0.t1, ESY4_g25923_DN2_SP0_c0.t1, ESY5_g659_DN1_SP0_c0.t1
OG0000093	Ag001G087540	ESY1_g11462_DN3_SP0_c0.t1
OG0000093	Ag001G087060, Ag020G743300	ESY1_g11458_DN3_SP0_c0.t1
OG0000093	Ag001G087470	ESY1_g11463_DN3_SP0_c0.t1
OG0000093	Ag002G193490	ESY1_g11459_DN3_SP0_c0.t1
OG0000093	Ag001G086770, Ag001G086780, Ag001G086760	ESY1_g11516_DN3_SP0_c0.t1
OG0000093	Ag001G086540, Ag001G086510	ESY1_g11493_DN3_SP0_c41.t1
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	ESY7_g18827_DN2_SP0_c0.t1
OG0000097	Ag002G130220, Ag002G132530, Ag002G129480	ESY7_g16525_DN2_SP0_c0.t1
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	ESY7_g16536_DN3_SP0_c0.t1
OG0000097	Ag002G129120	ESY7_g16539_DN1_SP0_c0.t1
OG0000097	Ag002G130340, Ag002G130310	ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1
OG0000097	Ag002G129030	ESY7_g16537_DN2_SP0_c0.t1
OG0000097	Ag002G128740	ESY7_g16540_DN3_SP0_c0.t1, ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1
OG0000098	Ag004G315550, Ag004G315560	ESY5_g3820_DN1_SP0_c0.t1
OG0000098	Ag006G506280, Ag004G316800, Ag004G315620	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1
OG0000099	Ag004G395880	ESY2_g33425_DN2_SP0_c0.t1
OG0000099	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840	ESY2_g33422_DN3_SP0_c0.t1
OG0000099	Ag004G396600, Ag004G396870, Ag004G391030	ESY10_g15601_DN1_SP0_c0.t1
OG0000099	Ag004G396100, Ag004G395920, Ag004G391570, Ag004G396210	ESY2_g37232_DN2_SP0_c27.t1, ESY2_g33418_DN3_SP0_c0.t1
OG0000101	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060, Ag004G389820, Ag004G389830, Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960, Ag004G394110, Ag004G389140, Ag004G395200, Ag004G395030, Ag004G390080, Ag004G395150, Ag004G390280	ESY1_g11939_DN1_SP0_c0.t1
OG0000102	Ag008G662610, Ag004G328280, Ag007G647210, Ag003G274160	ESY17_g40075_DN1_SP0_c10.t1
OG0000104	Ag007G594810	ESY8_g58838_DN3_SP0_c18.t1
OG0000104	Ag001G010320	ESY2_g37202_DN3_SP0_c14.t1
OG0000106	Ag005G417510, Ag001G017220	ESY6_g49252_DN1_SP0_c0.t1, ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1
