Orthogroup	Alyssum_gmelinii	Arabidopsis_lyrata_Rawat
OG0000073	Ag002G120540	AL8G11930, AL8G11910
OG0000073	Ag002G116910	AL5G18720
OG0000074	Ag003G242350, Ag003G242390	AL1G37390
OG0000074	Ag005G402710	AL1G37440
OG0000074	Ag003G241560, Ag003G242310	AL1G37400
OG0000074	Ag004G378820	AL4G22700, AL1G37370, AL1G37380, AL1G37360
OG0000074	Ag006G514000	AL1G37420
OG0000075	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640	AL1G37130, AL4G30220, AL6G20830
OG0000075	Ag004G313480, Ag004G313520, Ag007G599000, Ag007G598990, Ag003G269710	AL1G22300
OG0000075	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420	AL5G25310
OG0000076	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300	AL1G65610
OG0000076	Ag001G002030	AL5G15900
OG0000077	Ag003G286070, Ag003G286090, Ag003G286060	AL7G11690
OG0000077	Ag006G508210	AL1G52780, AL1G52760, AL1G52750
OG0000077	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300	AL7G11590
OG0000077	Ag004G321630, Ag004G321620, Ag004G321600	AL2G16730, AL2G16030
OG0000078	Ag001G046650, Ag002G152760	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710
OG0000079	Ag001G089410, Ag006G550580, Ag003G233720	AL5G40790
OG0000079	Ag001G084480	AL5G40710
OG0000079	Ag001G089520, Ag001G089530, Ag001G089500, Ag006G550440	AL7G52220
OG0000079	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370	AL5G40610, AL5G40780
OG0000080	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730	AL1G54400
OG0000080	Ag001G028300	nbis-gene-1510, AL6G23310
OG0000080	Ag007G610550, Ag007G610520	AL1G53180
OG0000080	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210	AL1G35400, AL7G44920, AL3G24690
OG0000081	Ag007G593730	nbis-gene-1537
OG0000081	Ag007G628420	AL6G29160
OG0000081	Ag005G451860, Ag005G452050	AL6G42950
OG0000083	Ag005G483950, Ag005G483960	AL57U10030
OG0000084	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620	nbis-gene-1002
OG0000084	Ag008G724370	AL4G15550, AL4G18570, AL4G14530, AL4G14510, AL4G14520
OG0000084	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390	AL4G18560
OG0000085	Ag004G388690	AL5G23080
OG0000086	Ag008G709530	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000087	Ag008G723440	AL6G35120
OG0000087	Ag007G593840	AL4G24260
OG0000087	Ag007G609260	AL6G23060
OG0000087	Ag002G161340	AL4G30750
OG0000087	Ag002G127940	AL8G15560
OG0000087	Ag006G562620	AL7G33260
OG0000087	Ag003G224140	AL2G35770
OG0000088	Ag005G450330, Ag005G450360	AL5G26370
OG0000088	Ag008G717820	AL6G32010
OG0000089	Ag007G603320	AL6G20220
OG0000089	Ag005G453100	AL3G32160, AL1G56110
OG0000089	Ag002G193060	AL4G40450, AL4G40460, AL4G40470
OG0000089	Ag005G471710	AL3G23740
OG0000089	Ag002G172950, Ag001G073120	AL5G34730, AL4G34130, AL4G34190
OG0000089	Ag008G712440, Ag008G708620	AL5G25390, AL8G35810
OG0000090	Ag004G333760	AL2G24470, AL4G11370, AL1G32980
OG0000090	Ag003G223190	AL2G35960
OG0000090	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930	AL7G16760
OG0000091	Ag008G666220	AL8G16330, nbis-gene-1790, nbis-gene-1053, AL7G47240, nbis-gene-2125
OG0000093	Ag001G087540	AL5G40110
OG0000093	Ag001G087060, Ag020G743300	AL3G42890
OG0000093	Ag001G087410	AL5G40100
OG0000093	Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290	AL5G39960
OG0000093	Ag001G087200, Ag020G743290, Ag001G087240	AL3G42900, AL3G42870, AL3G42880
OG0000093	Ag001G083700, Ag001G087310	AL5G39980, AL5G40000
OG0000093	Ag001G086540, Ag001G086510	AL5G39910
OG0000096	Ag001G024200, Ag001G016650, Ag005G460360	AL5G12940, AL5G12970, AL5G12960
OG0000097	Ag002G130220, Ag002G132530, Ag002G129480	AL6G49050
OG0000097	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450	AL6G49140
OG0000097	Ag002G129120, Ag002G130340, Ag002G130310, Ag002G129030	AL9U10550
OG0000097	Ag002G128740	AL6G49150
OG0000097	Ag002G128960	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010
OG0000097	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340	AL6G49120
OG0000098	Ag004G315550, Ag004G315560	nbis-gene-1028
OG0000098	Ag006G506280, Ag004G316800, Ag004G315620	AL1G23480
OG0000099	Ag004G395880	nbis-gene-368
OG0000099	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750	AL2G11060
OG0000099	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410	AL2G11040
OG0000099	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610	AL6G43560, nbis-gene-367
OG0000099	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840	AL2G11960
OG0000099	Ag004G391040	nbis-gene-369
OG0000100	Ag008G659710	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262
OG0000101	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960	AL2G11240
OG0000101	Ag004G394110	AL2G11380
OG0000101	Ag004G389140	AL2G11390
OG0000101	Ag004G395200, Ag004G395030, Ag004G390080, Ag004G395150	AL2G11210
OG0000102	Ag004G328280	AL8G13680
OG0000102	Ag003G274160	AL1G44840
OG0000104	Ag004G307220	AL1G17740
OG0000104	Ag001G010320	AL1G55940
OG0000106	Ag005G417510, Ag001G017220	AL3G22030, AL3G32300
OG0000106	Ag004G383320	nbis-gene-1973
OG0000107	Ag005G446760	AL3G33780
OG0000107	Ag005G446720	AL3G33810
OG0000107	Ag005G446740	AL3G33800
OG0000107	Ag005G446750	AL3G33790
OG0000107	Ag005G446670	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853
OG0000108	Ag005G459590, Ag008G727840	AL1G41020, AL1G41010, AL1G41000, AL1G40990, AL4G14170
OG0000108	Ag003G269110, Ag003G269200	nbis-gene-805, AL3G44060, AL3G44020, AL3G44030, AL3G43980
OG0000108	Ag005G414040	AL2G26330
OG0000109	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980	AL4G12030, AL1G50070, AL433U10010
OG0000110	Ag001G090130	AL5G41090
OG0000110	Ag001G090120	AL5G41080
OG0000110	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010	AL5G41040
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	AL7G42310, AL5G41050
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	AL315U10010, AL7G51940, AL7G52000, AL7G52020
OG0000111	Ag008G729450	AL8G40480, AL6G44370, AL6G44360, AL6G44330
OG0000114	Ag003G284630	AL3G14170
OG0000117	Ag006G549560	AL3G40390
OG0000117	Ag006G517320	AL60U10030
OG0000117	Ag002G174540	AL8G20470
OG0000119	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470
OG0000120	Ag004G373700, Ag001G094910	nbis-gene-408, AL2G15570
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	nbis-gene-1458
OG0000122	Ag003G267460	AL8G31960
OG0000122	Ag008G698530	nbis-gene-2149
OG0000123	Ag007G583620	AL1G41710, AL1G41700
OG0000123	Ag006G564520	AL1G25180, AL1G25190
OG0000123	Ag004G318080	AL2G13220
OG0000124	Ag005G441490	nbis-gene-1897
OG0000124	Ag003G242000	nbis-gene-2009, AL1G47640, AL3G23800
OG0000124	Ag006G527550, Ag008G658090	AL3G43990
OG0000124	Ag004G349780, Ag005G468220, Ag002G194630, Ag001G067330, Ag008G665260, Ag001G016150, Ag005G485900, Ag012G741220	AL7G52490, AL6G41390, AL3G51120
OG0000125	Ag005G477020	AL3G20660, AL6G11840
OG0000125	Ag008G713670	AL6G34020
OG0000125	Ag004G307540	AL1G18070
OG0000125	Ag007G595180	AL4G23250
OG0000127	Ag005G477940	AL3G20220
OG0000127	Ag006G492190	AL6G11050
OG0000127	Ag006G492230	AL6G11080
OG0000127	Ag005G477990	AL3G20190
OG0000127	Ag004G313220, Ag004G313200, Ag004G313180, Ag004G313170, Ag007G620490, Ag004G313150	AL1G22150
OG0000127	Ag004G313210, Ag004G313190, Ag004G313250	AL1G22140, AL1G22160, AL1G17320, AL638U10010
OG0000128	Ag003G264610, Ag003G264920	AL7G53080
OG0000130	Ag003G260700	AL4G15810, AL4G25960
OG0000131	Ag003G256190	AL6G40550
OG0000131	Ag003G250970	AL1G57250
OG0000133	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500, Ag004G391190, Ag003G285410, Ag001G074650, Ag004G387440	AL8G19570, AL25U10030
OG0000136	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850	nbis-gene-1913, AL7G53060
OG0000137	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700	AL6G45480
OG0000138	Ag005G453120, Ag005G453110, Ag005G453150	AL5G19720
OG0000138	Ag003G290790	AL5G19740
OG0000140	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178
OG0000140	Ag008G707960	nbis-gene-2181
OG0000140	Ag001G080460, Ag008G707780	AL48U10010, nbis-gene-2180
OG0000142	Ag007G594160, Ag007G594220	AL4G23870, AL4G23880
OG0000142	Ag007G594480	AL4G23900
OG0000146	Ag008G695350	AL8G30890
OG0000146	Ag008G695470, Ag008G695460	AL8G30920
OG0000146	Ag008G695380	AL8G30900
OG0000147	Ag005G408700	AL3G52950
OG0000147	Ag003G261030	AL7G22000
OG0000147	Ag008G702420	AL8G33330
OG0000147	Ag003G209560	AL2G40780
OG0000149	Ag006G570510, Ag006G570440, Ag006G570460	AL5G25250
OG0000149	Ag008G709340	AL8G36180
OG0000149	Ag008G709420	AL8G36200
OG0000150	Ag006G518460, Ag007G625710	AL5G21720, AL5G21730
OG0000151	Ag008G685810	AL8G28000
OG0000151	Ag003G253050	AL7G24680
OG0000151	Ag005G478640	AL3G19690
OG0000151	Ag005G417580	AL3G49460
OG0000151	Ag008G698280	AL8G31780
OG0000151	Ag004G398050	AL2G10770
OG0000154	Ag003G268730, Ag005G477100, Ag005G477120	AL1G66060
OG0000154	Ag004G324480	AL1G28200
OG0000154	Ag005G471090	AL3G24230
OG0000154	Ag005G477170	AL3G20620
OG0000154	Ag006G493360	AL6G11740
OG0000154	Ag006G507750, Ag006G508580, Ag006G493020	AL6G11730
OG0000155	Ag006G564870	AL2G23090, AL2G23080, AL7G32710
OG0000155	Ag005G471860	AL3G23610
OG0000155	Ag002G134830, Ag002G134820, Ag002G138260	AL6G48380
OG0000156	Ag002G201900	AL4G44730
OG0000157	Ag003G228360	AL2G23540, AL2G23590, AL2G23600, AL6G44790
OG0000157	Ag004G346210, Ag003G229150, Ag004G369290	AL7G47920, AL4G35660, AL4G35650, AL4G35680, AL4G35640
OG0000158	Ag005G443310, Ag005G444520, Ag005G443260	AL7G32560, AL7G30180, AL7G33450
OG0000158	Ag003G277110	AL2G28170
OG0000158	Ag005G476710	AL1G67080, AL7G42520, AL6G25220, AL4G12250, AL6G46400, AL4G29520
OG0000160	Ag007G632320, Ag005G447810	AL5G16300
OG0000161	Ag007G588360	AL2G20180
OG0000161	Ag007G601560, Ag007G601540, Ag007G601790	nbis-gene-452
OG0000162	Ag008G712070	AL2G23580
OG0000162	Ag002G200850, Ag002G200800	AL4G44040
OG0000164	Ag005G487250, Ag003G293940	AL7G11950, AL8G23520
OG0000164	Ag003G293740, Ag003G293690, Ag003G293790	AL7G11960
OG0000165	Ag004G356120, Ag007G623920, Ag006G522660, Ag001G100400, Ag006G498640, Ag007G624740	AL481U10020
OG0000167	Ag006G570230	AL7G34470
OG0000167	Ag006G570340	AL7G34550, AL7G34540
OG0000167	Ag006G570320	AL7G34530
OG0000171	Ag008G670170	AL2G23510
OG0000171	Ag004G345150	AL1G37260
OG0000171	Ag007G614710	AL6G25440
OG0000172	Ag002G179650, Ag001G097540, Ag001G097520	AL5G45250, AL2G23440, AL5G35200
OG0000172	Ag001G097470	AL5G44820
OG0000172	Ag003G233750, Ag006G550460	AL5G40760
OG0000172	Ag001G081750, Ag001G081700, Ag001G084760, Ag002G204930, Ag001G089480	AL5G40860
OG0000172	Ag001G089440	AL5G40850
OG0000172	Ag001G089420	AL5G40800
OG0000175	Ag001G067410	AL5G31720
OG0000175	Ag005G417590	AL7G16200
