Orthogroup	Alyssum_gmelinii	Capsella_rubella
OG0000100	Ag002G169920, Ag007G628580	XP_023640327.1, XP_023634261.1
OG0000100	Ag008G659710	XP_023633443.1
OG0000100	Ag003G260180, Ag006G507010, Ag007G587450, Ag007G628510	XP_006287598.2, XP_006301940.2
OG0000101	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960	XP_006301994.2
OG0000101	Ag004G389140	XP_023643545.1
OG0000104	Ag004G307220	XP_023645280.1
OG0000104	Ag007G594810	XP_006296547.2
OG0000104	Ag001G010320	XP_023645616.1
OG0000104	Ag005G441940	XP_006299926.1
OG0000106	Ag005G417510, Ag001G017220	XP_006297893.1
OG0000106	Ag004G383320	XP_006301737.1
OG0000107	Ag005G446760	XP_006300030.1, XP_006297457.1
OG0000107	Ag005G444180, Ag005G442930	XP_006297444.1
OG0000107	Ag005G446720	XP_006299861.1
OG0000107	Ag005G446740	XP_023642039.1
OG0000107	Ag005G446750	XP_006299064.2
OG0000107	Ag003G213880	XP_006290930.1
OG0000107	Ag005G446670	XP_006289895.1, XP_006297460.1
OG0000108	Ag005G459590, Ag008G727840	XP_006305026.1
OG0000108	Ag003G269110, Ag003G269200	XP_023641898.1, XP_006297881.1
OG0000108	Ag005G414040	XP_006292655.1
OG0000110	Ag001G090130	XP_006291045.1
OG0000110	Ag001G090120	XP_006290900.1
OG0000110	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700	XP_006291075.1
OG0000110	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010	XP_006291049.1
OG0000110	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910	XP_006282595.1
OG0000110	Ag001G090290, Ag001G090300, Ag001G090310	XP_023639093.1
OG0000111	Ag002G181570, Ag002G181540, Ag002G181620	XP_006283852.1, XP_023634364.1
OG0000111	Ag008G729450	XP_023637355.1
OG0000112	Ag007G615010, Ag007G615020, Ag007G615160, Ag007G615060, Ag007G615030, Ag007G615150, Ag007G615070, Ag007G615040, Ag007G615080, Ag007G615050, Ag005G405660, Ag007G615240, Ag007G615260, Ag007G615250, Ag007G615270, Ag007G615290, Ag007G615280, Ag006G515440, Ag006G515420, Ag006G515430, Ag006G515410, Ag007G615230, Ag007G617630, Ag006G567340, Ag006G542160, Ag006G567310, Ag006G567380, Ag006G567290, Ag006G545290, Ag007G615000	XP_006281753.1
OG0000113	Ag003G210260	XP_006285182.1, XP_006284602.1
OG0000114	Ag006G573480	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1
OG0000119	Ag001G026190	XP_023644479.1, XP_023640329.1, XP_023634312.1, XP_023639187.1, XP_006281259.1
OG0000120	Ag004G373700, Ag001G094910	XP_006301308.1, XP_006301329.1
OG0000120	Ag003G277400, Ag003G279310, Ag003G275890	XP_006281901.1
OG0000120	Ag006G498650, Ag006G498600, Ag006G498610	XP_006296511.1, XP_023644285.1, XP_023644286.1
OG0000122	Ag008G698890	XP_023633416.1
OG0000122	Ag008G699060	XP_023633528.1, XP_023633504.1
OG0000122	Ag008G698530	XP_006281577.2
OG0000123	Ag007G583620	XP_006306328.1, XP_006304016.1
OG0000123	Ag004G318570	XP_006292772.1
OG0000123	Ag006G564520	XP_006306407.1
OG0000124	Ag003G242000	XP_023644493.1
OG0000124	Ag006G527550, Ag008G658090	XP_023641922.1
OG0000125	Ag002G172470, Ag001G072990	XP_006292034.1
OG0000125	Ag005G477020	XP_006298831.2, XP_006286660.1
OG0000125	Ag008G713670	XP_006289049.1
OG0000126	Ag008G691850	XP_023640332.1
OG0000127	Ag008G679900, Ag004G381150	XP_006287625.1
OG0000127	Ag006G492230	XP_006289415.1
OG0000127	Ag005G477990	XP_006300213.2
OG0000127	Ag004G313210, Ag004G313190, Ag004G313250	XP_023646069.1
OG0000131	Ag003G256190	XP_023640326.1
OG0000131	Ag003G250970	XP_023635195.1, XP_023634652.1, XP_023640905.1
OG0000136	Ag004G358500	XP_006302616.1
OG0000137	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700	XP_023638979.1
OG0000137	Ag006G528160, Ag001G057880	XP_023644078.1
OG0000139	Ag007G630860, Ag002G148650	XP_023642220.1, XP_023645695.1
OG0000140	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830	XP_023640932.1, XP_023642636.1, XP_023640928.1
OG0000140	Ag001G080460, Ag008G707780	XP_006280067.1, XP_006280069.1
OG0000142	Ag007G594480	XP_023640128.1
OG0000142	Ag007G594490, Ag007G594500, Ag007G594520, Ag007G594510	XP_023639769.1
OG0000145	Ag004G383900	XP_023634435.1
OG0000146	Ag008G695350	XP_006281729.1
OG0000146	Ag002G188250	XP_006280772.1
OG0000146	Ag008G695470, Ag008G695460	XP_023637930.1, XP_006281726.2
OG0000146	Ag008G695380	XP_006281991.1
OG0000147	Ag005G408700	XP_006296920.1
OG0000147	Ag003G261030	XP_006282542.1
OG0000147	Ag008G702420	XP_006282289.1
OG0000147	Ag003G209560	XP_023643729.1
OG0000149	Ag008G709300, Ag008G709340	XP_023639042.1
OG0000149	Ag008G709420	XP_023633454.1
OG0000149	Ag008G709330	XP_023638653.1
OG0000150	Ag007G607130	XP_023638772.1
OG0000150	Ag006G518460, Ag007G625710	XP_023638877.1, XP_006292836.2, XP_006292499.2
OG0000150	Ag001G092600	XP_006291315.2
OG0000150	Ag004G332580	XP_023638901.1
OG0000150	Ag008G711310, Ag008G711350	XP_023633433.1, XP_006280698.1
OG0000151	Ag008G685810	XP_006281266.1
OG0000151	Ag003G253050	XP_006284700.1
OG0000151	Ag005G478640	XP_006298742.1
OG0000151	Ag005G417580	XP_006298751.1
OG0000151	Ag008G698280	XP_006281239.2
OG0000152	Ag003G223230, Ag002G132980	XP_023632652.1
OG0000154	Ag004G324480	XP_006306285.1
OG0000154	Ag005G471090	XP_006297173.1
OG0000154	Ag005G477170	XP_006297174.1
OG0000154	Ag006G493360	XP_006287234.1
OG0000154	Ag006G507750, Ag006G508580, Ag006G493020	XP_006290203.1
OG0000155	Ag006G564870	XP_023643783.1, XP_023634855.1
OG0000155	Ag005G471860	XP_006300024.2
OG0000156	Ag002G201900	XP_023639945.1
OG0000156	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880	XP_006307271.1, XP_023641004.1
OG0000156	Ag001G093780	XP_006293280.2
OG0000157	Ag003G228360	XP_006300909.1, XP_006301359.2, XP_006290202.1
OG0000157	Ag004G346210, Ag003G229150, Ag004G369290	XP_023634338.1, XP_023640365.1, XP_006290039.1
OG0000158	Ag003G277110	XP_023635458.1
OG0000158	Ag005G476710	XP_006286216.2, XP_006289701.2, XP_006289843.2
OG0000160	Ag005G447810	XP_023639459.1, XP_023643350.1, XP_023644208.1
OG0000161	Ag007G588370	XP_023644195.1, XP_023637621.1
OG0000161	Ag007G588360	XP_023644191.1
OG0000161	Ag007G601560, Ag007G601540, Ag007G601790	XP_023644190.1
OG0000162	Ag001G075290	XP_006292318.1
OG0000162	Ag001G092930	XP_006293283.1
OG0000162	Ag001G092990, Ag001G093000, Ag001G093010, Ag001G092980, Ag001G092570	XP_006293088.1
OG0000162	Ag008G712070	XP_006302230.1
OG0000162	Ag002G200850, Ag002G200800	XP_006294103.1
OG0000164	Ag003G293830	XP_023633845.1
OG0000164	Ag005G487250, Ag003G293940	XP_023639572.1, XP_006285590.2
OG0000164	Ag003G293740, Ag003G293690, Ag003G293790	XP_023635206.1
OG0000167	Ag006G570230	XP_023634123.1
OG0000167	Ag006G570340	XP_023634326.1, XP_006282799.2, XP_023635153.1, XP_023644224.1
OG0000167	Ag006G570320	XP_023633844.1
OG0000171	Ag004G371850	XP_006305640.2
OG0000171	Ag007G614710	XP_023635842.1
OG0000172	Ag002G179650, Ag001G097540, Ag001G097520	XP_006304853.2, XP_006292487.1
OG0000172	Ag001G097470	XP_006291171.1
OG0000172	Ag003G233750, Ag006G550460	XP_006292673.2
OG0000172	Ag001G071390, Ag001G071380, Ag001G081750, Ag001G081700, Ag001G084760, Ag002G204930, Ag001G089480, Ag001G089440, Ag001G071100	XP_023639081.1
OG0000172	Ag001G089420	XP_023639085.1
OG0000175	Ag001G067410	XP_006293293.1
OG0000175	Ag005G417590	XP_006282726.1
OG0000176	Ag007G580300, Ag005G449360	XP_006281807.1
OG0000181	Ag003G251860	XP_023638083.1, XP_023641916.1, XP_023634272.1, XP_023634273.1, XP_023636098.1, XP_023638057.1
OG0000184	Ag001G075930	XP_023640341.1
OG0000185	Ag004G378920	XP_023633812.1
OG0000187	Ag003G270560	XP_006283864.1
OG0000187	Ag005G474090, Ag005G474080	XP_023641259.1
OG0000189	Ag003G293390	XP_006284898.2, XP_023644326.1
OG0000189	Ag005G482590, Ag005G482560	XP_023641239.1
OG0000189	Ag006G563600	XP_023637961.1
OG0000190	Ag002G140140	XP_006289433.1
OG0000190	Ag002G128880	XP_006286464.1
OG0000190	Ag002G128820	XP_006286371.1
OG0000190	Ag002G140040, Ag002G139950	XP_006289092.1, XP_023635846.1, XP_006289348.1, XP_006287233.1, XP_023635847.1, XP_006289234.1, XP_006286467.1, XP_006286468.1
OG0000191	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420	XP_006299132.1
OG0000191	Ag005G457490, Ag005G457480	XP_006299977.2, XP_006299373.1, XP_006299361.1
OG0000192	Ag004G336350	XP_006303161.1, XP_006283212.1, XP_006306845.1
OG0000192	Ag004G336320	XP_006303693.1
OG0000192	Ag004G336340, Ag004G336360, Ag004G336330	XP_006303914.1, XP_006306853.1
OG0000193	Ag004G342780	XP_023642627.1, XP_006299157.1, XP_023642656.1, XP_006299826.1
OG0000193	Ag005G442650, Ag005G443800, Ag005G442630	XP_006289486.2, XP_006285626.2, XP_006289372.1, XP_006286703.2
OG0000195	Ag001G082920	XP_023641020.1
OG0000195	Ag007G646090	XP_006302967.1, XP_006284698.1
OG0000195	Ag007G597730	XP_006286601.1, XP_023639142.1
OG0000196	Ag004G304260, Ag004G304230	XP_006303722.1, XP_006305143.1, XP_006305980.1
OG0000196	Ag004G304250	XP_006305145.1
OG0000196	Ag004G304870	XP_023641964.1
OG0000197	Ag006G545700	XP_023635498.1
OG0000201	Ag005G439850	XP_023641351.1, XP_006299457.1, XP_023642625.1
OG0000201	Ag005G439760	XP_006298376.1, XP_023641852.1
OG0000201	Ag005G439610	XP_006299827.1, XP_023642677.1, XP_023632990.1, XP_006299497.1
OG0000202	Ag003G215780, Ag005G457800	XP_006301530.1
OG0000203	Ag004G387230, Ag004G392530, Ag005G485880	XP_006289243.1, XP_006289137.1, XP_006286705.1
OG0000204	Ag005G471780, Ag005G471790	XP_006299227.2, XP_006299488.1, XP_006299438.1, XP_023641253.1, XP_006286744.1, XP_006290121.1, XP_006289053.1, XP_006289972.1
OG0000204	Ag005G437650	XP_006296746.1
OG0000205	Ag005G439370	XP_006299871.1, XP_023642400.1, XP_006299319.1, XP_023638076.1, XP_023637223.1, XP_006304855.1, XP_023641930.1, XP_006293234.2, XP_023638052.1, XP_023641929.1, XP_023641928.1, XP_023641931.1
OG0000208	Ag003G275160	XP_006281509.2
OG0000208	Ag008G723930, Ag003G294620, Ag003G284900, Ag003G294610	XP_023635375.1
OG0000208	Ag003G275170, Ag003G294530, Ag003G294570, Ag003G294700, Ag003G294540	XP_006279822.1, XP_006287519.1, XP_006282055.1, XP_006280314.1, XP_023633561.1
OG0000209	Ag004G399110, Ag004G398940	XP_023642946.1
OG0000209	Ag004G399460, Ag004G398960	XP_023642945.1
OG0000209	Ag004G398990, Ag004G398790, Ag002G138750	XP_006300968.1, XP_023636837.1
OG0000209	Ag004G312510, Ag004G312520, Ag004G312530	XP_023634335.1, XP_023633580.1
OG0000209	Ag004G312540	XP_023633339.1
OG0000210	Ag003G280570, Ag003G273400	XP_006292794.1, XP_023638032.1
OG0000210	Ag007G588470	XP_006295600.1, XP_006296378.1
OG0000210	Ag007G588480	XP_006294455.1
OG0000213	Ag003G236750, Ag003G236500, Ag003G236780, Ag003G236530	XP_006301868.2
OG0000213	Ag003G288980	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1
OG0000214	Ag007G604980	XP_006301794.1
OG0000214	Ag006G510950, Ag003G222050	XP_023636923.1
