Orthogroup	Cardamine_hirsuta	Brassica_oleracea
OG0000046	CARHR263410	XP_013635767.1
OG0000046	CARHR214340	XP_013636750.1
OG0000046	CARHR059200	XP_013620956.1
OG0000046	CARHR225000, CARHR225010	XP_013611234.1
OG0000046	CARHR214320	XP_013632687.1
OG0000046	CARHR059260, CARHR059160	XP_013613925.1
OG0000046	CARHR059270, CARHR059250	XP_013613580.1
OG0000046	CARHR059140, CARHR059070, CARHR059130	XP_013591997.1
OG0000046	CARHR059080	XP_013620953.1, XP_013615300.1, XP_013613911.1
OG0000046	CARHR059360, CARHR263420	XP_013617106.1
OG0000048	CARHR077950	XP_013595132.1
OG0000048	CARHR195020	XP_013610082.1, XP_013621466.1, XP_013619534.1, XP_013621467.1, XP_013626627.1, XP_013625931.1, XP_013608599.1, XP_013621007.1, XP_013609935.1, XP_013626973.1
OG0000048	CARHR195040	XP_013626494.1
OG0000052	CARHR002800	XP_013609148.1, XP_013623987.1, XP_013601904.1
OG0000052	CARHR256260	XP_013635331.1, XP_013635332.1, XP_013635943.1, XP_013615889.1
OG0000053	CARHR148640, CARHR293330, CARHR118340, CARHR151940	XP_013601567.1, XP_013624930.1, XP_013639634.1, XP_013617450.1, XP_013594582.1, XP_013632782.1
OG0000053	CARHR152130, CARHR102470, CARHR286550	XP_013597073.1, XP_013627758.1, XP_013610732.1
OG0000054	CARHR266430, CARHR150180	XP_013615014.1
OG0000054	CARHR056490	XP_013595519.1, XP_013611049.1, XP_013601286.1, XP_013624334.1, XP_013639439.1, XP_013614791.1, XP_013632822.1, XP_013594394.1, XP_013616991.1, XP_013633023.1, XP_013624734.1, XP_013607784.1, XP_013615049.1, XP_013583362.1, XP_013601872.1, XP_013617699.1, XP_013624222.1, XP_013617275.1, XP_013630519.1, XP_013594611.1, XP_013632848.1, XP_013632535.1, XP_013584583.1, XP_013633042.1, XP_013594482.1, XP_013632540.1, XP_013607882.1, XP_013589054.1, XP_013622630.1, XP_013589345.1, XP_013601557.1, XP_013588894.1, XP_013624520.1, XP_013632879.1, XP_013589117.1, XP_013617269.1, XP_013624513.1, XP_013623603.1, XP_013632398.1, XP_013639705.1, XP_013606514.1
OG0000055	CARHR155600	XP_013628196.1
OG0000056	CARHR153090	XP_013608083.1, XP_013608184.1
OG0000056	CARHR219260, CARHR049910	XP_013614874.1, XP_013596572.1
OG0000057	CARHR092150	XP_013614020.1
OG0000057	CARHR107830, CARHR108270, CARHR149830, CARHR094260	XP_013583313.1, XP_013583310.1
OG0000057	CARHR090170	XP_013585893.1, XP_013638571.1
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	XP_013606594.1, XP_013593729.1
OG0000057	CARHR096180, CARHR096160, CARHR098050, CARHR100820, CARHR222490, CARHR100840	XP_013589549.1
OG0000058	CARHR153550	XP_013617130.1, XP_013633275.1, XP_013607553.1, XP_013615054.1, XP_013639112.1, XP_013608470.1, XP_013624461.1, XP_013589499.1, XP_013615086.1, XP_013588991.1, XP_013624860.1, XP_013594936.1, XP_013617208.1, XP_013624311.1, XP_013627137.1, XP_013633665.1, XP_013601380.1
OG0000061	CARHR117010, CARHR217030	XP_013628529.1
OG0000061	CARHR264280, CARHR258030	XP_013585220.1, XP_013616683.1, XP_013635812.1
OG0000062	CARHR100910	XP_013591442.1, XP_013594277.1, XP_013623728.1, XP_013624643.1, XP_013615594.1, XP_013624395.1, XP_013626489.1, XP_013632865.1, XP_013583449.1, XP_013624452.1, XP_013632428.1, XP_013633115.1
OG0000064	CARHR247830	XP_013598018.1
OG0000065	CARHR184170	XP_013617482.1, XP_013617341.1
OG0000066	CARHR279310	XP_013599938.1, XP_013618388.1, XP_013621521.1, XP_013606481.1, XP_013631332.1, XP_013627996.1, XP_013637372.1, XP_013609086.1
OG0000069	CARHR119500	XP_013624740.1
OG0000071	CARHR183910	XP_013633356.1, XP_013626361.1
OG0000073	CARHR223530	XP_013616640.1, XP_013620201.1
OG0000073	CARHR116350	XP_013624330.1
OG0000073	CARHR174840	XP_013628727.1
OG0000073	CARHR116330	XP_013608422.1
OG0000074	CARHR024090	XP_013600045.1
OG0000074	CARHR023940	XP_013603462.1, XP_013584900.1, XP_013586910.1
OG0000075	CARHR125670, CARHR125660, CARHR124000	XP_013584290.1
OG0000075	CARHR292150, CARHR011460	XP_013601852.1
OG0000075	CARHR099040	XP_013611358.1, XP_013615461.1
OG0000075	CARHR010330, CARHR008650, CARHR024930	XP_013594256.1
OG0000075	CARHR035940	XP_013597375.1
OG0000076	CARHR162500, CARHR162510, CARHR162540, CARHR162570	XP_013607524.1
OG0000076	CARHR162490	XP_013630964.1, XP_013615703.1
OG0000076	CARHR065210, CARHR065340, CARHR121130, CARHR148040, CARHR278910, CARHR150860	XP_013610604.1
OG0000076	CARHR148060, CARHR148030, CARHR148020	XP_013599445.1, XP_013594267.1, XP_013594927.1
OG0000077	CARHR247150, CARHR221070, CARHR247140	XP_013596175.1
OG0000079	CARHR051200, CARHR051170	XP_013604629.1
OG0000079	CARHR217330	XP_013603731.1
OG0000079	CARHR186450, CARHR286030, CARHR217340	XP_013614702.1, XP_013614700.1
OG0000080	CARHR228580	XP_013615642.1
OG0000080	CARHR038010, CARHR039590	XP_013615702.1
OG0000080	CARHR037540, CARHR098800	XP_013614367.1
OG0000080	CARHR123140	XP_013633314.1
OG0000083	CARHR121440, CARHR291360, CARHR291330	XP_013639459.1
OG0000083	CARHR291370, CARHR291350	XP_013589651.1
OG0000083	CARHR099020	XP_013612566.1
OG0000084	CARHR117030, CARHR118620	XP_013631674.1
OG0000084	CARHR117020	XP_013633255.1, XP_013632293.1, XP_013633256.1, XP_013635632.1
OG0000085	CARHR187570	XP_013608254.1, XP_013617372.1, XP_013607891.1, XP_013601144.1, YP_004927454.1
OG0000085	CARHR259820	XP_013639484.1, XP_013617588.1, XP_013589056.1, XP_013632932.1, XP_013617219.1, XP_013615286.1
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750	XP_013610622.1, XP_013610543.1, XP_013610576.1, XP_013610675.1, XP_013610335.1, XP_013607248.1, XP_013607956.1, XP_013607251.1, XP_013607249.1, XP_013610623.1, XP_013607250.1, XP_013610669.1
OG0000087	CARHR189700	XP_013598457.1
OG0000087	CARHR122890	XP_013637001.1, XP_013636732.1
OG0000087	CARHR200860	XP_013611442.1
OG0000087	CARHR128920	XP_013636563.1
OG0000087	CARHR178800	XP_013612217.1, XP_013620476.1, XP_013598244.1
OG0000087	CARHR227450	XP_013598013.1, XP_013621920.1, XP_013598364.1
OG0000087	CARHR069200	XP_013592047.1
OG0000088	CARHR155710, CARHR155700	XP_013593337.1
OG0000088	CARHR156270	XP_013612192.1
OG0000088	CARHR155720	XP_013628392.1, XP_013624484.1
OG0000088	CARHR192340, CARHR192330	XP_013627653.1, XP_013607358.1
OG0000088	CARHR262970	XP_013631070.1
OG0000089	CARHR203590	XP_013629368.1, XP_013611822.1, XP_013620685.1
OG0000089	CARHR086670	XP_013587485.1
OG0000089	CARHR285740	XP_013623319.1
OG0000089	CARHR155270	XP_013623141.1
OG0000090	CARHR020650	XP_013628560.1
OG0000090	CARHR069500	XP_013591920.1, XP_013588434.1, XP_013616229.1
OG0000090	CARHR145500, CARHR145480	XP_013610618.1
OG0000090	CARHR010350	XP_013620477.1
OG0000091	CARHR221560	XP_013616988.1, XP_013639594.1, XP_013607638.1, XP_013632442.1
OG0000093	CARHR168740	XP_013632132.1, XP_013632130.1, XP_013591322.1
OG0000093	CARHR168730	XP_013589366.1
OG0000093	CARHR168710	XP_013615611.1, XP_013589367.1, XP_013589365.1
OG0000093	CARHR168640	XP_013588854.1
OG0000093	CARHR168600, CARHR168590, CARHR259860, CARHR168580	XP_013609262.1
OG0000096	CARHR145650	XP_013594901.1
OG0000096	CARHR177990	XP_013613462.1
OG0000096	CARHR176910	XP_013623925.1, XP_013617650.1
OG0000097	CARHR252130	XP_013619912.1
OG0000098	CARHR048210	XP_013613822.1
OG0000098	CARHR156260, CARHR048950, CARHR048730, CARHR049190, CARHR049220, CARHR048980, CARHR048930, CARHR049010	XP_013608625.1
OG0000098	CARHR052090, CARHR052140, CARHR051470, CARHR052110	XP_013593751.1
OG0000098	CARHR220990, CARHR220970	XP_013638907.1
OG0000098	CARHR012600	XP_013600689.1
OG0000098	CARHR012590	XP_013592465.1
OG0000098	CARHR220850, CARHR012520	XP_013604385.1
OG0000098	CARHR013070	XP_013600631.1
OG0000099	CARHR046920	XP_013624375.1
OG0000100	CARHR101000	XP_013607749.1
OG0000101	CARHR051270, CARHR051250, CARHR051280	XP_013613878.1
OG0000101	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270	XP_013611728.1
OG0000104	CARHR007350	XP_013605923.1
OG0000104	CARHR039100	XP_013590329.1
OG0000104	CARHR097260	XP_013625710.1
OG0000104	CARHR122150, CARHR122160	XP_013634622.1
OG0000106	CARHR084920	XP_013627644.1
OG0000107	CARHR095610	XP_013586700.1
OG0000107	CARHR095650	XP_013635068.1, XP_013624257.1
OG0000107	CARHR095640, CARHR095620, CARHR055760	XP_013623726.1
OG0000107	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680	XP_013639727.1
OG0000108	CARHR188180, CARHR174970	XP_013617934.1
OG0000108	CARHR046250	XP_013614188.1, XP_013615334.1
OG0000110	CARHR169600	XP_013592532.1
OG0000110	CARHR169580	XP_013590480.1
OG0000110	CARHR169630	XP_013591144.1, XP_013591210.1
OG0000110	CARHR061850	XP_013589380.1
OG0000111	CARHR214020, CARHR214040	XP_013629621.1, XP_013592758.1
OG0000111	CARHR221750	XP_013601291.1
OG0000111	CARHR164880	XP_013603252.1, XP_013605672.1, XP_013602151.1, XP_013605673.1, XP_013602872.1, XP_013603171.1, XP_013603836.1, XP_013603745.1
OG0000113	CARHR256490, CARHR256450, CARHR175630	XP_013609521.1
OG0000113	CARHR149270	XP_013607642.1
OG0000113	CARHR077960	XP_013635280.1, XP_013622332.1
OG0000113	CARHR104310	XP_013584232.1
OG0000114	CARHR054550, CARHR054640, CARHR054580	XP_013586604.1, XP_013629019.1
OG0000119	CARHR115250	XP_013617082.1, XP_013633329.1
OG0000119	CARHR292260, CARHR102990	XP_013612859.1
OG0000120	CARHR285170	XP_013610889.1, XP_013607713.1
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	XP_013601021.1, XP_013601023.1, XP_013588993.1, XP_013588958.1, XP_013588961.1
OG0000120	CARHR208650	XP_013608535.1
OG0000122	CARHR269930	XP_013620024.1
OG0000122	CARHR033430, CARHR033520	XP_013623863.1
OG0000123	CARHR024520, CARHR027640, CARHR027660, CARHR027650	XP_013627145.1
OG0000123	CARHR233830	XP_013589486.1
OG0000123	CARHR009210	XP_013590229.1
OG0000124	CARHR182430	XP_013613741.1
OG0000124	CARHR183650, CARHR043800, CARHR123710	XP_013624994.1, XP_013608101.1
OG0000125	CARHR190650	XP_013625682.1, XP_013606602.1
OG0000125	CARHR273520	XP_013606787.1
OG0000125	CARHR121850	XP_013631988.1, XP_013622502.1, XP_013631825.1
OG0000127	CARHR211450	XP_013610892.1
OG0000127	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100	XP_013583434.1, XP_013589633.1, XP_013634840.1
OG0000128	CARHR155450	XP_013624777.1
OG0000130	CARHR288220	XP_013594458.1, XP_013607835.1, XP_013601231.1, XP_013632727.1, XP_013614604.1, XP_013615741.1, XP_013613827.1, XP_013632902.1, XP_013614901.1, XP_013624434.1, XP_013614818.1, XP_013601916.1, XP_013624332.1, XP_013617259.1, XP_013608391.1, XP_013639256.1, XP_013612776.1, XP_013632644.1, XP_013594563.1, XP_013613452.1
OG0000131	CARHR150440	XP_013626985.1, XP_013632447.1, XP_013639277.1, XP_013614501.1, XP_013632702.1
OG0000133	CARHR184120	XP_013601903.1, XP_013639346.1, XP_013608115.1, XP_013601604.1, XP_013583259.1
OG0000136	CARHR058600	XP_013590467.1, XP_013588679.1
OG0000136	CARHR214860	XP_013589268.1
OG0000136	CARHR214830, CARHR214840	XP_013633763.1
OG0000137	CARHR180340	XP_013607431.1, XP_013637635.1, XP_013635053.1, XP_013591446.1, XP_013624397.1, XP_013624662.1, XP_013593825.1, XP_013583307.1, XP_013620971.1, XP_013617333.1, XP_013624379.1, XP_013594691.1, XP_013594525.1, XP_013596613.1, XP_013630987.1, XP_013624674.1, XP_013599415.1, XP_013619803.1, XP_013631416.1, XP_013594338.1, XP_013628588.1, XP_013599145.1, XP_013638220.1, XP_013608176.1, XP_013636294.1, XP_013587564.1
OG0000137	CARHR261370	XP_013633165.1
OG0000138	CARHR174950	XP_013634787.1
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	XP_013615083.1
OG0000140	CARHR285410	XP_013626670.1
OG0000140	CARHR272760, CARHR272770, CARHR053670	XP_013620395.1, XP_013620391.1, XP_013618644.1, XP_013620392.1, XP_013620394.1
OG0000140	CARHR285460, CARHR285480	XP_013609630.1
OG0000142	CARHR122540	XP_013622088.1
OG0000142	CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140	XP_013634388.1
OG0000146	CARHR268710	XP_013627427.1, XP_013619494.1
OG0000146	CARHR268720	XP_013619272.1, XP_013606365.1
OG0000146	CARHR268680	XP_013608191.1
OG0000146	CARHR268700	XP_013618766.1, XP_013610172.1, XP_013610274.1
OG0000146	CARHR268690	XP_013626781.1
OG0000147	CARHR109500	XP_013623586.1
OG0000147	CARHR271150	XP_013620594.1
OG0000147	CARHR073860	XP_013588689.1
OG0000147	CARHR153650	XP_013622891.1
OG0000147	CARHR104060	XP_013623185.1
OG0000147	CARHR117520	XP_013605622.1
OG0000149	CARHR154830	XP_013591815.1, XP_013624654.1
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	XP_013620732.1, XP_013623837.1, XP_013628381.1, XP_013620734.1
OG0000149	CARHR273160	XP_013615353.1
OG0000149	CARHR273130	XP_013618860.1
OG0000150	CARHR118700, CARHR273840	XP_013617470.1
OG0000150	CARHR114850	XP_013624025.1
OG0000150	CARHR059580, CARHR150110	XP_013617735.1
OG0000150	CARHR150200	XP_013633270.1
OG0000151	CARHR266340	XP_013613316.1
OG0000151	CARHR235660	XP_013639325.1, XP_013600456.1
OG0000151	CARHR082990	XP_013622635.1, XP_013617767.1, XP_013638468.1
OG0000151	CARHR107000	XP_013625767.1, XP_013599341.1
OG0000151	CARHR269520	XP_013621604.1, XP_013606619.1, XP_013622226.1
OG0000151	CARHR046700	XP_013608966.1, XP_013606344.1
OG0000154	CARHR016540	XP_013603183.1, XP_013586550.1
OG0000154	CARHR087080	XP_013611399.1
OG0000154	CARHR000060	XP_013610944.1, XP_013632476.1
OG0000154	CARHR229590, CARHR069350	XP_013623865.1
OG0000154	CARHR083850	XP_013616125.1
OG0000154	CARHR210880	XP_013586681.1, XP_013628594.1
OG0000154	CARHR210890	XP_013610798.1, XP_013636193.1
OG0000155	CARHR234950	XP_013604992.1, XP_013598493.1
OG0000155	CARHR164960	XP_013633420.1
OG0000155	CARHR227980	XP_013598049.1
OG0000155	CARHR086560	XP_013628486.1
OG0000155	CARHR227950	XP_013589793.1, XP_013623534.1
OG0000156	CARHR140730	XP_013635050.1
OG0000156	CARHR140760, CARHR186310	XP_013635993.1
OG0000156	CARHR140750	XP_013635992.1
OG0000157	CARHR101220, CARHR133040, CARHR180020	XP_013624158.1
OG0000157	CARHR133050, CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060, CARHR101240	XP_013615575.1
OG0000161	CARHR275730, CARHR120610, CARHR120240, CARHR120250	XP_013618060.1, XP_013620235.1
OG0000161	CARHR056690	XP_013617087.1
OG0000161	CARHR056630, CARHR038520, CARHR038560	XP_013584094.1
OG0000162	CARHR069160, CARHR059610	XP_013603186.1
OG0000162	CARHR170840	XP_013589389.1
OG0000162	CARHR057970	XP_013616918.1
OG0000162	CARHR140170	XP_013632427.1
OG0000164	CARHR246960, CARHR224720	XP_013624352.1
OG0000164	CARHR041160, CARHR041170	XP_013627649.1, XP_013624778.1, XP_013608536.1, XP_013608530.1, XP_013608532.1, XP_013627934.1, XP_013593112.1
OG0000164	CARHR246950	XP_013627922.1
OG0000164	CARHR175770	XP_013607799.1
OG0000167	CARHR266210, CARHR260280, CARHR226380	XP_013597471.1
OG0000169	CARHR053840, CARHR053860	XP_013595006.1
OG0000171	CARHR063650	XP_013599473.1
OG0000171	CARHR023910	XP_013591469.1, XP_013598255.1, XP_013615623.1, XP_013638007.1
OG0000171	CARHR198650	XP_013606531.1
OG0000172	CARHR169390	XP_013627674.1
OG0000173	CARHR225750	XP_013633246.1, XP_013594390.1
OG0000173	CARHR216170, CARHR055060, CARHR225730, CARHR036300	XP_013632688.1
OG0000174	CARHR286250, CARHR105060	XP_013632966.1, XP_013639350.1, XP_013628317.1, XP_013613857.1, XP_013633174.1, XP_013614970.1, XP_013615628.1, XP_013594966.1, XP_013632040.1, XP_013639489.1, XP_013624703.1, XP_013632910.1, XP_013608335.1, XP_013632486.1, XP_013624014.1, XP_013633240.1, XP_013614762.1, XP_013633176.1, XP_013617509.1, XP_013628376.1, XP_013615485.1, XP_013617782.1, XP_013613471.1, XP_013617851.1
OG0000175	CARHR160880	XP_013584461.1, XP_013594142.1, XP_013604425.1
OG0000175	CARHR243300	XP_013611367.1
OG0000175	CARHR244350	XP_013629002.1
OG0000176	CARHR029830	XP_013596266.1, XP_013616758.1, XP_013620927.1, XP_013608393.1, XP_013585230.1, XP_013587143.1, XP_013637516.1, XP_013622453.1, XP_013623924.1
OG0000177	CARHR150970	XP_013624281.1, XP_013639360.1, XP_013632637.1
OG0000180	CARHR264460	XP_013595074.1, XP_013595679.1, XP_013593308.1, XP_013617969.1, XP_013609088.1, XP_013624438.1, XP_013628142.1, XP_013617153.1, XP_013616556.1, XP_013616555.1, XP_013599129.1
OG0000180	CARHR264470	XP_013626856.1, XP_013629093.1
OG0000180	CARHR175440	XP_013590488.1
OG0000184	CARHR157490, CARHR154180, CARHR181110	XP_013632191.1
OG0000186	CARHR184750, CARHR217440	XP_013631823.1
OG0000186	CARHR128510	XP_013614845.1
OG0000187	CARHR239600	XP_013598969.1, XP_013623119.1
OG0000187	CARHR085640	XP_013624170.1, XP_013583413.1, XP_013584438.1
OG0000189	CARHR132630	XP_013639134.1, XP_013594296.1
OG0000189	CARHR100900	XP_013585255.1, XP_013639180.1
OG0000189	CARHR146050	XP_013594067.1
OG0000190	CARHR253020	XP_013606260.1
OG0000190	CARHR250370	XP_013626923.1
OG0000190	CARHR250360	XP_013624075.1
OG0000190	CARHR252970	XP_013627503.1
OG0000190	CARHR252960	XP_013618562.1
OG0000191	CARHR107430, CARHR293570, CARHR148120, CARHR091830	XP_013632995.1
OG0000191	CARHR106550	XP_013590495.1
OG0000192	CARHR059110	XP_013638957.1
