Orthogroup	Cardamine_hirsuta	Cochlearia_excelsa
OG0000033	CARHR230230	g23912
OG0000033	CARHR252350	g40468
OG0000035	CARHR054750	g51285
OG0000035	CARHR207670	g3814
OG0000035	CARHR126110	g29294, g52064, g52069, g52073
OG0000038	CARHR158480, CARHR158470, CARHR158440, CARHR222700	g24239
OG0000038	CARHR265450	g1070
OG0000038	CARHR232240	g41270
OG0000040	CARHR025790, CARHR162370, CARHR260760, CARHR260790	g38367, g38376, g38372, g38380
OG0000040	CARHR223790, CARHR158530, CARHR088850	g44631
OG0000040	CARHR158510, CARHR158520	g13797, g13799
OG0000043	CARHR288230	g14381, g14371, g53175
OG0000043	CARHR257620	g35421, g15787, g15005
OG0000043	CARHR221160, CARHR034710, CARHR057830, CARHR284340, CARHR219040, CARHR182000, CARHR104410, CARHR218070, CARHR153240	g32961, g3036, g25225, g30461, g4607, g22195
OG0000044	CARHR117470	g33267
OG0000044	CARHR286710, CARHR217190, CARHR273180	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446
OG0000044	CARHR152970	g3382, g2931
OG0000044	CARHR057390, CARHR183570, CARHR116100, CARHR107370	g36166, g25959
OG0000046	CARHR257300, CARHR257310, CARHR263410	g46717
OG0000046	CARHR059090	g46719
OG0000046	CARHR059270, CARHR059250	g18042
OG0000053	CARHR148640, CARHR293330, CARHR118340, CARHR151940	g43705, g16122
OG0000053	CARHR044830	g48001, g18941, g54246, g1179, g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139
OG0000054	CARHR266430, CARHR150180	g9679, g35281, g34308, g35248, g9678
OG0000054	CARHR056490	g43613, g52587, g43259, g25259, g25261, g33494, g3251, g25071, g36457, g12619, g25266, g43262, g33492, g3255, g20304, g43263, g25276, g4234, g41821, g35341, g4130, g35345, g4371
OG0000057	CARHR213520	g50182, g50184, g50186
OG0000057	CARHR111010	g48153, g33319, g33329, g48170, g15766, g33340
OG0000057	CARHR092560, CARHR092720	g700
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	g27361, g5648
OG0000058	CARHR153550	g50156, g182, g51073, g5874, g10583
OG0000058	CARHR071180	g53630, g30921, g4397
OG0000061	CARHR117010	g51097, g11499, g25472, g32592, g17431, g28656, g13832, g11373, g15781, g584
OG0000061	CARHR217030	g45295, g49162
OG0000062	CARHR100910	g32823, g13726, g11246, g41835
OG0000065	CARHR117850	g21237, g20503
OG0000066	CARHR246640, CARHR246630, CARHR069000, CARHR096450, CARHR058350, CARHR068990, CARHR202310	g5393
OG0000066	CARHR202910	g45535, g29501, g9719
OG0000066	CARHR279310	g156
OG0000067	CARHR064230	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011
OG0000069	CARHR119500	g17549, g12998
OG0000073	CARHR116350	g10944
OG0000073	CARHR175090, CARHR175840, CARHR175230	g54289
OG0000075	CARHR010330	g5026
OG0000075	CARHR035940	g49834, g49840, g49829
OG0000076	CARHR157840	g44053
OG0000076	CARHR292090	g36515
OG0000076	CARHR162490	g19225
OG0000076	CARHR121130	g10535
OG0000077	CARHR247150, CARHR221070, CARHR247140	g25975, g22716
OG0000079	CARHR169290	g2000
OG0000079	CARHR186450, CARHR286030, CARHR217340	g18915
OG0000080	CARHR270010	g41322
OG0000080	CARHR123140	g50013, g23668
OG0000081	CARHR040920	g36469
OG0000083	CARHR099030, CARHR099020	g46885
OG0000084	CARHR117220, CARHR116970, CARHR116710, CARHR116720, CARHR117880	g51024
OG0000085	CARHR187570	g50685, g15804
OG0000085	CARHR259820	g45065, g17068, g32641, g23586, g17797, g646, g39882, g12326, g32434, g40957, g11412, g53404, g14573, g25696, g16012, g23626, g25615, g24420, g4774, g41376, g6725, g47748, g6734, g41005, g28612, g45253, g40136, g37419, g6446, g31882, g42047, g47747, g25209, g14210, g35996, g4263, g50686, g41786, g23625
OG0000087	CARHR189700	g9991
OG0000087	CARHR200860	g5316
OG0000087	CARHR178800	g40485, g11055
OG0000087	CARHR227450	g17371, g24042
OG0000087	CARHR020480, CARHR069200	g46232
OG0000088	CARHR192340, CARHR192330	g28933, g28934
OG0000089	CARHR203590	g29544
OG0000089	CARHR094190	g13323, g11989
OG0000090	CARHR020650	g50123
OG0000090	CARHR069500	g46242
OG0000090	CARHR288810, CARHR145520, CARHR145510, CARHR145500, CARHR145480, CARHR010350	g10675
OG0000091	CARHR055470	g3977
OG0000093	CARHR168740	g2360
OG0000093	CARHR168640	g18958
OG0000096	CARHR145620	g1569
OG0000096	CARHR145650, CARHR145640, CARHR145630, CARHR176420	g1538, g1535
OG0000096	CARHR177990	g18473
OG0000097	CARHR252130	g45182
OG0000097	CARHR252050, CARHR252100, CARHR252070	g40477, g40479, g40476, g40480, g1561
OG0000098	CARHR052100, CARHR052120, CARHR052080	g24753
OG0000098	CARHR220990, CARHR220970	g49817
OG0000100	CARHR100990	g17260, g37826
OG0000101	CARHR047100, CARHR047710, CARHR047510, CARHR047730	g13563
OG0000101	CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047470, CARHR047430	g35259, g34277
OG0000104	CARHR007350	g31072
OG0000104	CARHR122140	g51118
OG0000104	CARHR097260	g6675
OG0000104	CARHR258870	g54236
OG0000104	CARHR041970	g18497
OG0000104	CARHR122150, CARHR122160	g37858
OG0000106	CARHR248580, CARHR120300, CARHR120290, CARHR266870, CARHR084920	g6393
OG0000107	CARHR095650	g11936
OG0000107	CARHR095660	g6757
OG0000108	CARHR000040, CARHR188170	g41770
OG0000108	CARHR103960	g25316, g5925, g50857, g50863, g5924
OG0000110	CARHR169600	g2009
OG0000110	CARHR061850	g2010
OG0000113	CARHR256490, CARHR256450, CARHR175630, CARHR288500	g43820
OG0000113	CARHR108280, CARHR054220	g53975
OG0000113	CARHR047220	g35258
OG0000113	CARHR175310, CARHR289490, CARHR175790, CARHR175830, CARHR174830, CARHR175110, CARHR175150, CARHR175080, CARHR178690, CARHR116320, CARHR292210	g54287
OG0000113	CARHR222460	g17560
OG0000113	CARHR047550	g14463
OG0000113	CARHR175270	g14267
OG0000113	CARHR104310	g11211
OG0000114	CARHR071840, CARHR251920, CARHR071800	g17433
OG0000114	CARHR054550, CARHR054640, CARHR054580, CARHR106050	g18420
OG0000118	CARHR148290	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000119	CARHR292260, CARHR102990	g50178
OG0000120	CARHR285170	g40996
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	g6424
OG0000120	CARHR208650	g32414, g29781
OG0000123	CARHR014050	g25911
OG0000123	CARHR233830	g17137
OG0000123	CARHR009210	g25912
OG0000125	CARHR163570	g19182
OG0000125	CARHR190650	g41348
OG0000125	CARHR273520, CARHR154390, CARHR154340	g2919, g1294, g28781
OG0000125	CARHR121850	g39998
OG0000127	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100	g7513
OG0000128	CARHR155450	g31783
OG0000131	CARHR258830	g50797
OG0000131	CARHR118270	g15992
OG0000132	CARHR101930	g50629
OG0000136	CARHR214760, CARHR214790	g43995, g46769, g46768, g46770
OG0000136	CARHR214810	g14687
OG0000136	CARHR272990	g25040, g25067
OG0000138	CARHR263270, CARHR263340, CARHR263290, CARHR113950, CARHR263310, CARHR263300, CARHR263260, CARHR263320, CARHR174950	g46708
OG0000138	CARHR153120	g10345
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	g10340
OG0000140	CARHR285410	g1248
OG0000140	CARHR272760, CARHR272770, CARHR053670	g28714
OG0000140	CARHR285460, CARHR285480	g1252, g28702, g28701
OG0000142	CARHR122560	g51131
OG0000142	CARHR122540	g37876, g37875
OG0000142	CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140	g51155, g51154, g51130, g51156
OG0000146	CARHR268710	g1010
OG0000146	CARHR268720	g1011
OG0000147	CARHR109500	g13932
OG0000147	CARHR238090	g23426
OG0000147	CARHR271150	g1105
OG0000147	CARHR073860	g46563
OG0000147	CARHR153650	g11547
OG0000147	CARHR104060	g6339
OG0000147	CARHR117520	g50994
OG0000149	CARHR154790, CARHR154820	g2887
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	g1676, g28755, g28754
OG0000149	CARHR273240, CARHR273230, CARHR273250	g1282
OG0000149	CARHR122210	g17375
OG0000149	CARHR273130	g1278
OG0000149	CARHR154780	g2888
OG0000150	CARHR114850	g38299, g38298
OG0000150	CARHR059580, CARHR150110	g11441, g11440
OG0000151	CARHR266340	g915, g28415
OG0000151	CARHR235660	g17072
OG0000151	CARHR082990	g7540
OG0000151	CARHR107000	g14078
OG0000151	CARHR269520	g28546
OG0000154	CARHR016540	g27332
OG0000154	CARHR087080	g12277
OG0000154	CARHR083850	g7492
OG0000154	CARHR210880	g54073, g45315, g5784
OG0000155	CARHR234950	g23645
OG0000155	CARHR227980	g47372
OG0000155	CARHR086560	g7340
OG0000156	CARHR140730	g2802
OG0000156	CARHR140760, CARHR186310	g52257
OG0000156	CARHR140750	g52256
OG0000157	CARHR102680	g1395
OG0000160	CARHR288090	g38501, g6015, g7845
OG0000161	CARHR275730, CARHR120610, CARHR120240, CARHR120250	g392, g9880
OG0000161	CARHR056690	g45103, g45101
OG0000161	CARHR056630, CARHR038520, CARHR038560	g45131
OG0000162	CARHR069160, CARHR059610	g1914
OG0000162	CARHR057970	g26821
OG0000164	CARHR246960, CARHR224720	g14196, g38017, g38015, g38013, g38019, g32493
OG0000164	CARHR185060, CARHR185040	g22735
OG0000167	CARHR226380	g24121
OG0000169	CARHR067380	g46166
OG0000169	CARHR067370, CARHR115410, CARHR183960	g46162
OG0000171	CARHR023910	g45857
OG0000171	CARHR010800, CARHR052550	g5177
OG0000171	CARHR198650	g29297
OG0000173	CARHR036310, CARHR180960, CARHR225740	g15729, g49146
OG0000173	CARHR261170, CARHR292670, CARHR286110	g17352, g17357, g17341, g1801, g25289, g14575, g15732
OG0000173	CARHR216170	g18062
OG0000173	CARHR055060, CARHR225730, CARHR036300	g46682, g32984
OG0000173	CARHR216160	g32983
OG0000173	CARHR293270	g26535
OG0000174	CARHR286250	g26585, g53787
OG0000175	CARHR160880	g6044, g13998
OG0000175	CARHR244350	g47947
OG0000178	CARHR104870	g50828
OG0000178	CARHR118730	g13019
OG0000178	CARHR216370	g17678, g41214
OG0000178	CARHR054120, CARHR111550, CARHR213150	g52052, g38502, g20449
OG0000178	CARHR121910	g48334
OG0000178	CARHR035340, CARHR105380	g14419
OG0000178	CARHR145030	g36920, g49526, g53614, g23518, g17258, g37824
OG0000178	CARHR124520	g1397, g32976
OG0000178	CARHR098760	g16363, g43554, g12264, g7844
OG0000180	CARHR264470	g34299
OG0000181	CARHR110940	g16615
OG0000185	CARHR116590	g24428
OG0000186	CARHR184750, CARHR217440	g16331
OG0000186	CARHR184740, CARHR217430	g41273, g35916, g41907
OG0000186	CARHR103200	g1666
OG0000186	CARHR098000, CARHR034340, CARHR128520, CARHR257270, CARHR116070, CARHR178380, CARHR252010, CARHR256860	g11646
OG0000186	CARHR117440	g14623
OG0000186	CARHR257160, CARHR048790	g27940
OG0000186	CARHR149350, CARHR289900, CARHR290850	g53532
OG0000186	CARHR034350, CARHR144860	g30546, g24771
OG0000187	CARHR117260, CARHR037460, CARHR239530, CARHR239540, CARHR239520	g35037
OG0000190	CARHR253020	g40442
OG0000190	CARHR263930	g45158
OG0000190	CARHR252960	g45173
OG0000191	CARHR107430, CARHR293570, CARHR148120, CARHR091830	g6928
OG0000191	CARHR106550	g3758, g36029, g12040
OG0000192	CARHR181970	g50732, g27488
OG0000192	CARHR054130	g31972
OG0000192	CARHR287770	g36879
OG0000195	CARHR119300	g40143
OG0000195	CARHR058380, CARHR215030	g18117
OG0000196	CARHR037140	g27686
OG0000197	CARHR123890, CARHR037380	g40833
OG0000201	CARHR097900, CARHR097910, CARHR097890, CARHR097880	g11846
OG0000202	CARHR024770	g27177
OG0000204	CARHR098530	g11805
OG0000204	CARHR097380	g36933
OG0000205	CARHR149530, CARHR042890, CARHR042510	g32507
OG0000205	CARHR219990	g53988
OG0000207	CARHR141370	g4045
OG0000208	CARHR181000	g24958, g18133
OG0000208	CARHR149040	g1632
OG0000210	CARHR102790, CARHR102800, CARHR102820, CARHR145920	g28290
OG0000210	CARHR162850	g11480, g11479
OG0000213	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360	g46059, g46056
OG0000213	CARHR084950	g7432
OG0000213	CARHR292760, CARHR285920	g38464
OG0000214	CARHR101750	g1023, g25454, g25477
OG0000216	CARHR229000	g53737
OG0000216	CARHR229020, CARHR229730	g47412
OG0000216	CARHR283650, CARHR229570	g53736
OG0000217	CARHR284020, CARHR284130, CARHR283760, CARHR283910, CARHR284060, CARHR284070, CARHR058170, CARHR123300	g31539, g1718
OG0000217	CARHR053500, CARHR284010, CARHR284050, CARHR283900	g44052
OG0000218	CARHR015470	g31564
OG0000218	CARHR015480	g49926
OG0000218	CARHR144080	g10793
OG0000219	CARHR058980	g13335, g45479, g28368
OG0000219	CARHR123060	g46873
OG0000219	CARHR277080	g311
OG0000219	CARHR266750	g18634
OG0000220	CARHR211050	g14029
OG0000222	CARHR063680, CARHR117110, CARHR113140	g2261, g45344, g10741, g44563, g51060, g5898, g28476, g32750, g41189, g41204
OG0000224	CARHR071040	g46370
OG0000224	CARHR230420, CARHR048360, CARHR048350, CARHR048370	g40852
OG0000225	CARHR028830	g27682
OG0000226	CARHR087530, CARHR087540, CARHR160050, CARHR160040, CARHR028040	g11864
OG0000228	CARHR185670	g32057
OG0000228	CARHR064090, CARHR064100	g44677
OG0000229	CARHR237670	g47707
OG0000230	CARHR069290, CARHR069250	g44430
OG0000230	CARHR069270	g46235
OG0000230	CARHR216400, CARHR216420	g19589
OG0000230	CARHR069320	g46236, g44422
OG0000231	CARHR056350, CARHR213950, CARHR041780, CARHR214130, CARHR214120, CARHR262590	g13807, g46733
OG0000231	CARHR056340, CARHR220460, CARHR059750	g18039
OG0000234	CARHR165130	g19127
OG0000234	CARHR165120	g19128
OG0000234	CARHR165110	g2235
OG0000234	CARHR134140	g51765
OG0000234	CARHR199860	g29346
OG0000235	CARHR031310, CARHR091810	g27763
OG0000236	CARHR000080, CARHR100230	g13483
OG0000236	CARHR097950	g6598
OG0000236	CARHR062590, CARHR062610, CARHR102640	g11672
OG0000239	CARHR116010, CARHR127060, CARHR127040	g39775
OG0000240	CARHR062190	g11360, g13978
OG0000242	CARHR105760, CARHR105770, CARHR105730	g14272, g6162
OG0000242	CARHR014460	g31494
OG0000242	CARHR014490	g31496, g31497, g31498, g31499
OG0000244	CARHR228610, CARHR252730, CARHR107520	g17320
OG0000247	CARHR180370, CARHR180470	g28137
OG0000248	CARHR253870	g25664
OG0000248	CARHR054340	g41086, g41090, g41083
OG0000248	CARHR054360	g41087
OG0000249	CARHR131110	g51603
OG0000249	CARHR131180, CARHR131170	g37185
OG0000252	CARHR100570, CARHR100650	g45347
OG0000253	CARHR115150	g30425, g30424, g30421, g30418, g21279, g20461
OG0000254	CARHR093470, CARHR093450	g6897
OG0000254	CARHR135220, CARHR117790	g1607
OG0000258	CARHR147310	g10576
OG0000258	CARHR271060	g39309
OG0000258	CARHR147340, CARHR147330	g16641
OG0000260	CARHR118070, CARHR209970	g46771
OG0000260	CARHR058450	g25934
OG0000264	CARHR251320	g25493
OG0000266	CARHR265190	g27624
OG0000266	CARHR119130	g11014, g40790
OG0000267	CARHR112680, CARHR112670	g17092
OG0000268	CARHR144670	g1514
OG0000268	CARHR211500	g45297
OG0000268	CARHR164050	g19165
OG0000269	CARHR014080	g26678
OG0000269	CARHR033120	g32697
OG0000270	CARHR106740	g18216
OG0000270	CARHR020400	g50111
OG0000272	CARHR186370	g6807
OG0000272	CARHR253210	g36034, g26748
OG0000273	CARHR038710, CARHR038690, CARHR038330	g31035, g53570, g54095
OG0000274	CARHR273300	g28758
OG0000274	CARHR122830	g39974
OG0000277	CARHR290100, CARHR290090	g47115
OG0000277	CARHR290080	g47117
OG0000278	CARHR259720	g3407, g30889
OG0000281	CARHR229330, CARHR290760, CARHR040090	g36419
OG0000282	CARHR205620	g5538
OG0000282	CARHR205610	g45483
OG0000282	CARHR205590, CARHR205580, CARHR205600	g29622
OG0000283	CARHR180280	g11114, g11113, g39732
OG0000284	CARHR183240, CARHR119540, CARHR119080, CARHR102130, CARHR101660, CARHR102230, CARHR102520, CARHR264270, CARHR180810	g12521
OG0000284	CARHR175670	g7689
OG0000290	CARHR157630, CARHR283740, CARHR094030, CARHR112470	g11997
OG0000290	CARHR279290, CARHR058360	g16860
OG0000294	CARHR092710	g6947
OG0000294	CARHR249810	g39522, g25429
OG0000294	CARHR001810	g26892
OG0000295	CARHR057270	g12173, g12193, g12167, g12172
OG0000297	CARHR274100	g41326
OG0000299	CARHR119900	g50959
OG0000299	CARHR071990	g27806
OG0000299	CARHR152230	g53412
OG0000300	CARHR103220	g13574, g6349
OG0000301	CARHR263710, CARHR257150, CARHR113850, CARHR159730	g14672, g43509, g3110, g32825, g11542, g25301, g30948, g40323
OG0000303	CARHR286360	g14940
OG0000304	CARHR094510	g40529, g40528, g40527
OG0000310	CARHR157270	g19547, g28753
OG0000310	CARHR036840, CARHR183820, CARHR273750, CARHR273860, CARHR118680, CARHR285940	g41320, g28797, g28774, g28802, g859
OG0000311	CARHR196640	g45737
OG0000311	CARHR038100	g36325
OG0000311	CARHR093170	g6918, g13293
OG0000311	CARHR215260	g46788
OG0000311	CARHR292180	g45009
OG0000314	CARHR004130	g26947, g49462
OG0000314	CARHR004140	g30904
OG0000314	CARHR127110	g51329
OG0000319	CARHR204750, CARHR007730	g28817
OG0000321	CARHR215670	g32189
OG0000321	CARHR215220	g14307
OG0000321	CARHR215200, CARHR215650, CARHR215620, CARHR215640, CARHR215560, CARHR215610, CARHR215570	g46809
OG0000322	CARHR071920	g46450
OG0000322	CARHR036870	g32324
OG0000322	CARHR260510, CARHR135390	g51878, g53520
OG0000324	CARHR116560	g32873, g54300, g26198, g3280, g32999, g23186, g49511, g22605, g3645, g4167, g24937, g14390
OG0000325	CARHR034450, CARHR145800	g53445
OG0000327	CARHR164480, CARHR164490	g11293, g11292, g11294
OG0000328	CARHR220880	g24521, g24516, g24520
OG0000328	CARHR263560, CARHR263570	g46723
OG0000330	CARHR152730	g41256
OG0000330	CARHR170350	g1956
OG0000331	CARHR057780	g33150
OG0000332	CARHR193130, CARHR193110	g41419
OG0000332	CARHR095140, CARHR040120	g54159
OG0000334	CARHR163740	g2329
OG0000334	CARHR131810	g37230
OG0000334	CARHR250610	g16596
OG0000334	CARHR250660	g44023
OG0000335	CARHR027470	g27709
OG0000336	CARHR065880	g44587
OG0000338	CARHR054520, CARHR009660, CARHR009570, CARHR054330, CARHR183900	g31209, g27091, g31190, g27095
OG0000339	CARHR000730	g25359
OG0000339	CARHR141230	g52289
OG0000340	CARHR138610	g38215
OG0000340	CARHR138630	g37505
OG0000342	CARHR213880, CARHR291940, CARHR288130	g53972
OG0000342	CARHR272920	g2891
OG0000342	CARHR291930	g53971
OG0000342	CARHR291950	g43797, g43782
OG0000342	CARHR262340	g43783
OG0000344	CARHR187250, CARHR187260	g10089, g10092, g10980
OG0000345	CARHR012960, CARHR035980	g49843
OG0000345	CARHR012970	g27193
OG0000345	CARHR035990, CARHR012950, CARHR182820	g51206
OG0000347	CARHR086360	g12309
OG0000349	CARHR244070	g18231
OG0000349	CARHR107940, CARHR291770, CARHR107950	g13748, g13750
OG0000350	CARHR029110	g32411
OG0000351	CARHR275230	g45239
OG0000351	CARHR033150	g45238
OG0000352	CARHR017440, CARHR052660, CARHR053720, CARHR073990, CARHR251910	g31677
OG0000356	CARHR186490, CARHR186690	g35508, g18523, g37782, g4812, g4800, g4814
OG0000358	CARHR203870, CARHR003600	g49447, g30863, g26927
OG0000358	CARHR006290, CARHR203880	g29557, g39719
OG0000358	CARHR203890	g45514
OG0000360	CARHR289020	g9656
OG0000361	CARHR086030	g7378
OG0000362	CARHR004290	g49471
OG0000362	CARHR057010, CARHR016600	g43847
OG0000368	CARHR245730	g22842
OG0000368	CARHR245720	g16342
OG0000368	CARHR058590, CARHR058530, CARHR058550, CARHR245740	g47982
OG0000368	CARHR245750	g47983
OG0000369	CARHR154410, CARHR123820	g1291, g2920
OG0000369	CARHR273440, CARHR007590	g49585
OG0000370	CARHR017540	g23768
OG0000370	CARHR232710	g47536
OG0000371	CARHR025430, CARHR142610	g7650, g11474
OG0000371	CARHR002600, CARHR005940	g36060
OG0000371	CARHR142620	g3821
OG0000372	CARHR058020, CARHR234800, CARHR234790, CARHR289410, CARHR289420	g17100, g17096, g17097, g17099
OG0000374	CARHR041640	g11643
OG0000374	CARHR041650, CARHR259760	g36851, g36855, g36853, g36852, g36854, g54187
OG0000377	CARHR051700	g41000
OG0000379	CARHR286290	g34488
OG0000379	CARHR292240	g41816
OG0000380	CARHR012890, CARHR052820, CARHR051010, CARHR051040, CARHR047520, CARHR046830, CARHR048520, CARHR048430	g41044
OG0000380	CARHR055240, CARHR048490	g40880
OG0000382	CARHR009120	g31165
OG0000383	CARHR028100	g27666
OG0000383	CARHR028050, CARHR028080	g50490
OG0000384	CARHR090630	g12121
OG0000386	CARHR163180	g2365
OG0000386	CARHR147230	g10579
OG0000387	CARHR138330, CARHR224500	g37493, g37492
OG0000387	CARHR138350	g50869, g6609
OG0000388	CARHR101890	g22154
OG0000389	CARHR168810	g1977
