Orthogroup	Cardamine_hirsuta	Euclidium_syriacum
OG0000018	CARHR146600	ESY4_g26006_DN3_SP0_c0.t1, ESY5_g1040_DN3_SP0_c0.t1, ESY6_g48612_DN3_SP0_c0.t1, ESY7_g17537_DN3_SP0_c0.t1, ESY1_g8552_DN3_SP0_c0.t1, ESY10_g15845_DN3_SP0_c0.t1, ESY6_g48613_DN3_SP0_c0.t1, ESY6_g47610_DN3_SP0_c0.t1, ESY4_g25933_DN3_SP0_c0.t1, ESY9_g43848_DN3_SP0_c0.t1, ESY3_g30023_DN2_SP0_c0.t1, ESY19_g41697_DN3_SP0_c0.t1, ESY6_g45922_DN3_SP0_c0.t1, ESY1_g9704_DN3_SP0_c0.t1, ESY5_g1354_DN3_SP0_c0.t1, ESY6_g47609_DN3_SP0_c0.t1, ESY2_g36889_DN2_SP0_c0.t1, ESY1_g8553_DN3_SP0_c0.t1, ESY2_g36897_DN3_SP0_c0.t1, ESY9_g43847_DN3_SP0_c0.t1, ESY11_g54587_DN3_SP0_c0.t1, ESY6_g47608_DN3_SP0_c0.t1, ESY15_g65477_DN3_SP0_c0.t1
OG0000019	CARHR218510	ESY5_g2563_DN2_SP0_c0.t1, ESY6_g48254_DN3_SP0_c48.t1, ESY8_g60783_DN3_SP0_c0.t1, ESY5_g2565_DN1_SP0_c0.t1, ESY5_g2564_DN2_SP0_c0.t1, ESY12_g51066_DN2_SP0_c0.t1
OG0000019	CARHR259400	ESY24_g33175_DN3_SP0_c2.t1
OG0000020	CARHR159320, CARHR180190	ESY15_g65701_DN1_SP0_c88.t1
OG0000020	CARHR217640, CARHR108030	ESY3_g28065_DN2_SP0_c0.t1
OG0000023	CARHR254960, CARHR254930	ESY23_g71_DN1_SP0_c28.t1
OG0000023	CARHR230410	ESY23_g74_DN3_SP0_c34.t1
OG0000023	CARHR254990	ESY9_g42764_DN3_SP0_c0.t1
OG0000025	CARHR100770, CARHR248330, CARHR028790	ESY3_g32269_DN2_SP0_c54.t1
OG0000025	CARHR104940, CARHR242960	ESY3_g32495_DN3_SP0_c95.t1
OG0000025	CARHR285330	ESY7_g18156_DN1_SP0_c46.t1
OG0000025	CARHR203520, CARHR028780	ESY4_g25969_DN1_SP0_c10.t1
OG0000026	CARHR215490	ESY1_g10661_DN2_SP0_c99.t1
OG0000027	CARHR030400	ESY12_g51766_DN1_SP0_c0.t1
OG0000027	CARHR030460, CARHR030420, CARHR030890, CARHR031230	ESY12_g51909_DN2_SP0_c0.t1, ESY2_g33351_DN3_SP0_c0.t1, ESY5_g1897_DN2_SP0_c0.t1, ESY12_g51218_DN3_SP0_c0.t1, ESY20_g13272_DN2_SP0_c0.t1
OG0000027	CARHR174240	ESY4_g26407_DN2_SP0_c0.t1, ESY4_g26408_DN1_SP0_c0.t1, ESY4_g26390_DN2_SP0_c0.t1
OG0000028	CARHR153130	ESY1_g6329_DN2_SP0_c0.t1
OG0000028	CARHR116610, CARHR153140	ESY10_g14733_DN2_SP0_c0.t1
OG0000029	CARHR176810, CARHR154270, CARHR006310, CARHR287350, CARHR287660, CARHR099970, CARHR006250, CARHR183060, CARHR036950, CARHR213600	ESY13_g57677_DN1_SP0_c0.t1
OG0000030	CARHR181500	ESY3_g28214_DN2_SP0_c7.t1, ESY4_g21739_DN1_SP0_c0.t1, ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000035	CARHR125800	ESY3_g31841_DN3_SP0_c0.t1, ESY3_g32003_DN2_SP0_c0.t1, ESY3_g32004_DN2_SP0_c0.t1, ESY3_g32002_DN3_SP0_c0.t1, ESY3_g32008_DN1_SP0_c0.t1
OG0000035	CARHR125110, CARHR054750	ESY8_g58361_DN2_SP0_c0.t1
OG0000035	CARHR207670	ESY7_g17294_DN2_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1
OG0000035	CARHR110070, CARHR126120	ESY3_g32506_DN1_SP0_c0.t1, ESY3_g32505_DN1_SP0_c0.t1
OG0000035	CARHR171660, CARHR219280	ESY1_g12282_DN1_SP0_c0.t1
OG0000035	CARHR127720	ESY1_g12145_DN1_SP0_c0.t1
OG0000037	CARHR220930	ESY21_g55396_DN1_SP0_c0.t1
OG0000038	CARHR141500	ESY3_g32443_DN3_SP0_c0.t1, ESY3_g32320_DN3_SP0_c0.t1
OG0000038	CARHR158480, CARHR158470, CARHR158440, CARHR222700	ESY9_g42631_DN2_SP0_c0.t1
OG0000040	CARHR260760, CARHR260790	ESY9_g43210_DN3_SP0_c0.t1, ESY10_g15292_DN3_SP0_c0.t1, ESY5_g4903_DN2_SP0_c0.t1, ESY11_g54038_DN2_SP0_c0.t1, ESY1_g12127_DN1_SP0_c0.t1, ESY9_g42993_DN2_SP0_c0.t1
OG0000040	CARHR223790	ESY3_g30190_DN1_SP0_c0.t1, ESY10_g14483_DN1_SP0_c0.t1, ESY9_g42524_DN2_SP0_c0.t1, ESY23_g305_DN3_SP0_c0.t1, ESY4_g24700_DN2_SP0_c0.t1
OG0000040	CARHR158530	ESY5_g3801_DN1_SP0_c0.t1, ESY2_g33562_DN1_SP0_c0.t1
OG0000040	CARHR088850	ESY9_g42572_DN2_SP0_c0.t1, ESY5_g4904_DN2_SP0_c0.t1, ESY9_g42497_DN1_SP0_c0.t1, ESY3_g32449_DN2_SP0_c0.t1
OG0000040	CARHR088870	ESY3_g32163_DN2_SP0_c0.t1, ESY16_g61826_DN2_SP0_c0.t1, ESY16_g61827_DN2_SP0_c0.t1, ESY3_g30254_DN3_SP0_c0.t1
OG0000040	CARHR026350, CARHR095910, CARHR149840, CARHR088860, CARHR289440	ESY9_g42515_DN2_SP0_c0.t1, ESY9_g42498_DN1_SP0_c0.t1
OG0000040	CARHR223800	ESY10_g14485_DN3_SP0_c0.t1
OG0000040	CARHR158510, CARHR158520	ESY3_g29392_DN3_SP0_c0.t1
OG0000040	CARHR059990, CARHR060010	ESY3_g29331_DN1_SP0_c0.t1, ESY3_g29330_DN1_SP0_c0.t1
OG0000044	CARHR286710, CARHR217190, CARHR273180	ESY5_g2589_DN3_SP0_c0.t1
OG0000044	CARHR150330	ESY14_g21426_DN1_SP0_c0.t1
OG0000046	CARHR257300	ESY1_g11993_DN3_SP0_c13.t1
OG0000046	CARHR214340	ESY4_g26383_DN3_SP0_c53.t1
OG0000052	CARHR002800	ESY5_g5128_DN3_SP0_c0.t1
OG0000052	CARHR137510	ESY5_g5127_DN3_SP0_c0.t1
OG0000052	CARHR260850	ESY12_g51256_DN3_SP0_c0.t1
OG0000052	CARHR127280	ESY12_g51336_DN3_SP0_c0.t1
OG0000052	CARHR137550, CARHR137540	ESY5_g2706_DN3_SP0_c11.t1
OG0000053	CARHR148640, CARHR293330, CARHR118340, CARHR151940	ESY6_g48253_DN3_SP0_c0.t1, ESY8_g60784_DN3_SP0_c0.t1, ESY11_g53017_DN1_SP0_c0.t1, ESY11_g53896_DN3_SP0_c0.t1, ESY1_g9125_DN2_SP0_c0.t1
OG0000053	CARHR044830	ESY4_g22922_DN2_SP0_c0.t1, ESY3_g29655_DN3_SP0_c0.t1, ESY8_g60186_DN3_SP0_c0.t1, ESY8_g60955_DN2_SP0_c0.t1
OG0000054	CARHR056490	ESY18_g63621_DN3_SP0_c0.t1
OG0000055	CARHR050320	ESY2_g33771_DN2_SP0_c0.t1
OG0000055	CARHR049970	ESY2_g33667_DN3_SP0_c0.t1, ESY1_g11935_DN1_SP0_c0.t1, ESY16_g61941_DN3_SP0_c0.t1, ESY2_g33673_DN3_SP0_c0.t1, ESY4_g25972_DN2_SP0_c0.t1
OG0000055	CARHR050020	ESY3_g31641_DN1_SP0_c0.t1
OG0000055	CARHR050060	ESY2_g33665_DN2_SP0_c0.t1
OG0000055	CARHR049980, CARHR050290, CARHR050280, CARHR050160	ESY2_g33775_DN1_SP0_c0.t1
OG0000056	CARHR292290	ESY1_g10105_DN1_SP0_c0.t1, ESY3_g27528_DN2_SP0_c0.t1, ESY11_g52693_DN2_SP0_c0.t1
OG0000056	CARHR260200, CARHR119870	ESY3_g31973_DN1_SP0_c0.t1, ESY3_g29084_DN2_SP0_c0.t1, ESY15_g64467_DN1_SP0_c0.t1
OG0000056	CARHR219260, CARHR049910	ESY9_g44874_DN3_SP0_c0.t1
OG0000057	CARHR213520	ESY6_g49094_DN1_SP0_c0.t1
OG0000057	CARHR092150	ESY2_g38033_DN2_SP0_c0.t1
OG0000057	CARHR108270	ESY16_g61649_DN2_SP0_c0.t1
OG0000057	CARHR090170	ESY16_g61911_DN3_SP0_c0.t1, ESY3_g30616_DN3_SP0_c0.t1, ESY3_g30019_DN2_SP0_c0.t1
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	ESY2_g35826_DN2_SP0_c0.t1
OG0000057	CARHR100820, CARHR222490	ESY3_g30252_DN1_SP0_c0.t1
OG0000057	CARHR100840	ESY9_g45399_DN1_SP0_c0.t1
OG0000058	CARHR154060	ESY11_g53172_DN1_SP0_c0.t1, ESY4_g23739_DN2_SP0_c0.t1
OG0000058	CARHR153550, CARHR071180	ESY5_g1710_DN1_SP0_c25.t1, ESY6_g47795_DN2_SP0_c0.t1, ESY26_g42314_DN2_SP0_c0.t1, ESY13_g57122_DN3_SP0_c0.t1
OG0000061	CARHR117010	ESY4_g22453_DN2_SP0_c7.t1, ESY3_g29563_DN2_SP0_c0.t1
OG0000061	CARHR264280	ESY7_g16987_DN3_SP0_c0.t1, ESY5_g3834_DN3_SP0_c0.t1
OG0000061	CARHR258030	ESY17_g40277_DN2_SP0_c0.t1
OG0000062	CARHR254750	ESY3_g28473_DN1_SP0_c0.t1
OG0000062	CARHR218140, CARHR115840, CARHR100910, CARHR256350	ESY8_g59723_DN2_SP0_c0.t1
OG0000063	CARHR154290	ESY1_g11058_DN3_SP0_c0.t1
OG0000063	CARHR132050	ESY5_g4491_DN3_SP0_c0.t1
OG0000063	CARHR007630	ESY5_g4464_DN2_SP0_c0.t1
OG0000063	CARHR121870	ESY6_g48811_DN3_SP0_c0.t1, ESY8_g58878_DN3_SP0_c0.t1
OG0000064	CARHR247830	ESY4_g26853_DN2_SP0_c0.t1, ESY4_g26855_DN3_SP0_c0.t1
OG0000064	CARHR020490	ESY2_g34030_DN3_SP0_c0.t1
OG0000065	CARHR184170, CARHR117850	ESY17_g39007_DN1_SP0_c0.t1
OG0000066	CARHR096450, CARHR058350	ESY2_g34934_DN2_SP0_c58.t1
OG0000066	CARHR202910	ESY7_g18023_DN3_SP0_c0.t1
OG0000066	CARHR279310	ESY7_g18022_DN3_SP0_c0.t1
OG0000067	CARHR210190	ESY6_g50195_DN3_SP0_c0.t1
OG0000067	CARHR064230	ESY2_g35389_DN2_SP0_c0.t1
OG0000068	CARHR034790, CARHR153260, CARHR182390	ESY9_g44160_DN2_SP0_c0.t1
OG0000071	CARHR082570	ESY4_g24957_DN2_SP0_c25.t1
OG0000074	CARHR024090	ESY5_g5163_DN3_SP0_c0.t1, ESY5_g5206_DN2_SP0_c0.t1, ESY5_g5161_DN3_SP0_c0.t1
OG0000074	CARHR023940, CARHR023950	ESY5_g2024_DN3_SP0_c0.t1
OG0000075	CARHR119930	ESY1_g12309_DN1_SP0_c0.t1
OG0000075	CARHR292150	ESY2_g34553_DN3_SP0_c0.t1
OG0000075	CARHR011460	ESY1_g10852_DN3_SP0_c0.t1, ESY1_g10851_DN1_SP0_c0.t1, ESY2_g33446_DN1_SP0_c0.t1
OG0000075	CARHR010330	ESY5_g3745_DN1_SP0_c33.t1, ESY5_g3568_DN2_SP0_c0.t1, ESY5_g3637_DN2_SP0_c0.t1
OG0000075	CARHR024930	ESY4_g24723_DN3_SP0_c0.t1
OG0000075	CARHR035940	ESY3_g31328_DN1_SP0_c0.t1
OG0000076	CARHR162490	ESY1_g10445_DN3_SP0_c0.t1
OG0000076	CARHR121130, CARHR148040, CARHR278910	ESY16_g61527_DN1_SP0_c0.t1, ESY2_g35343_DN2_SP0_c0.t1, ESY11_g54151_DN1_SP0_c0.t1
OG0000077	CARHR105240	ESY4_g26227_DN3_SP0_c0.t1, ESY4_g26228_DN3_SP0_c0.t1, ESY4_g26226_DN3_SP0_c0.t1
OG0000077	CARHR146390, CARHR254570, CARHR083750	ESY4_g26388_DN2_SP0_c0.t1
OG0000077	CARHR247180	ESY4_g26061_DN3_SP0_c0.t1, ESY4_g26060_DN2_SP0_c0.t1
OG0000077	CARHR247150	ESY5_g3131_DN2_SP0_c0.t1
OG0000077	CARHR221070	ESY6_g46488_DN2_SP0_c0.t1, ESY8_g60763_DN2_SP0_c0.t1, ESY4_g25989_DN2_SP0_c16.t1, ESY11_g54736_DN2_SP0_c70.t1, ESY20_g13256_DN2_SP0_c23.t1, ESY8_g60740_DN3_SP0_c0.t1
OG0000078	CARHR151660	ESY13_g56185_DN2_SP0_c0.t1
OG0000080	CARHR039590	ESY3_g29585_DN1_SP0_c98.t1
OG0000080	CARHR123150, CARHR123070	ESY10_g14355_DN2_SP0_c0.t1
OG0000081	CARHR121110	ESY3_g32181_DN3_SP0_c0.t1
OG0000084	CARHR117870, CARHR117890, CARHR116980	ESY7_g19283_DN2_SP0_c13.t1, ESY7_g19278_DN2_SP0_c40.t1, ESY3_g31038_DN1_SP0_c0.t1
OG0000084	CARHR116870	ESY7_g19285_DN2_SP0_c0.t1, ESY7_g17327_DN3_SP0_c0.t1, ESY7_g19280_DN2_SP0_c0.t1, ESY7_g18924_DN3_SP0_c58.t1, ESY7_g19282_DN3_SP0_c38.t1, ESY7_g19279_DN2_SP0_c34.t1
OG0000084	CARHR117030	ESY3_g31037_DN3_SP0_c0.t1, ESY3_g31041_DN2_SP0_c0.t1
OG0000085	CARHR187570	ESY3_g29295_DN1_SP0_c68.t1
OG0000085	CARHR259820	ESY15_g65319_DN1_SP0_c38.t1
OG0000086	CARHR050760, CARHR273290, CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750, CARHR289680, CARHR289700, CARHR289720	ESY16_g62560_DN2_SP0_c0.t1
OG0000087	CARHR189700	ESY6_g50131_DN3_SP8_c0.t1
OG0000087	CARHR122890	ESY8_g58767_DN3_SP0_c0.t1, ESY8_g58764_DN3_SP8_c0.t1, ESY8_g58770_DN3_SP0_c0.t1
OG0000087	CARHR200860	ESY7_g18326_DN3_SP8_c0.t1
OG0000087	CARHR178800	ESY7_g16559_DN3_SP8_c0.t1
OG0000087	CARHR227450	ESY9_g43361_DN3_SP8_c0.t1
OG0000087	CARHR020480	ESY5_g3995_DN3_SP3_c0.t1
OG0000087	CARHR069200	ESY2_g34829_DN3_SP8_c0.t1
OG0000090	CARHR288810	ESY1_g11987_DN2_SP0_c87.t1, ESY16_g62036_DN3_SP0_c0.t1, ESY16_g62316_DN3_SP0_c41.t1
OG0000090	CARHR145500, CARHR145480	ESY3_g32095_DN2_SP0_c41.t1
OG0000090	CARHR010350	ESY10_g14297_DN3_SP0_c35.t1
OG0000091	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050	ESY21_g55841_DN2_SP0_c0.t1, ESY4_g25923_DN2_SP0_c0.t1, ESY5_g659_DN1_SP0_c0.t1
OG0000091	CARHR221560	ESY13_g56077_DN3_SP0_c0.t1
OG0000093	CARHR168740	ESY1_g11462_DN3_SP0_c0.t1
OG0000093	CARHR168730	ESY1_g11458_DN3_SP0_c0.t1
OG0000093	CARHR168630, CARHR103160, CARHR103150, CARHR219320	ESY1_g11494_DN3_SP0_c0.t1, ESY1_g10742_DN3_SP0_c0.t1
OG0000093	CARHR168710	ESY1_g11463_DN3_SP0_c0.t1
OG0000093	CARHR168600	ESY1_g11516_DN3_SP0_c0.t1
OG0000093	CARHR168590, CARHR259860, CARHR168580	ESY1_g11493_DN3_SP0_c41.t1
OG0000096	CARHR145650	ESY7_g18827_DN2_SP0_c0.t1
OG0000096	CARHR177190, CARHR158180, CARHR054500	ESY7_g16698_DN1_SP0_c0.t1
OG0000097	CARHR252090, CARHR252110	ESY7_g16536_DN3_SP0_c0.t1
OG0000097	CARHR252130	ESY7_g16539_DN1_SP0_c0.t1, ESY6_g49637_DN2_SP0_c0.t1, ESY7_g16475_DN3_SP0_c0.t1, ESY7_g16538_DN2_SP0_c0.t1, ESY7_g16537_DN2_SP0_c0.t1
OG0000097	CARHR252050	ESY7_g16443_DN3_SP0_c0.t1, ESY7_g16444_DN3_SP0_c0.t1
OG0000098	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830, CARHR048210, CARHR049300	ESY2_g33651_DN2_SP0_c0.t1, ESY2_g33647_DN2_SP0_c0.t1
OG0000098	CARHR052120	ESY2_g33434_DN2_SP0_c0.t1
OG0000098	CARHR052090	ESY2_g33748_DN3_SP0_c0.t1, ESY1_g9661_DN1_SP0_c0.t1, ESY2_g33879_DN2_SP0_c0.t1, ESY2_g33904_DN2_SP0_c0.t1, ESY10_g14055_DN1_SP0_c0.t1, ESY2_g33433_DN1_SP0_c0.t1
OG0000098	CARHR220990, CARHR220970	ESY5_g3820_DN1_SP0_c0.t1
OG0000098	CARHR255820	ESY5_g3778_DN2_SP0_c0.t1, ESY5_g3779_DN2_SP0_c0.t1
OG0000098	CARHR013070	ESY5_g3790_DN3_SP0_c0.t1, ESY8_g59143_DN2_SP0_c0.t1
OG0000099	CARHR046920	ESY2_g33425_DN2_SP0_c0.t1
OG0000099	CARHR046960, CARHR051260	ESY10_g15600_DN1_SP0_c0.t1
OG0000099	CARHR046950	ESY10_g15601_DN1_SP0_c0.t1
OG0000101	CARHR051270, CARHR051250, CARHR051280, CARHR149280, CARHR047170, CARHR047230, CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270, CARHR047080, CARHR047140, CARHR050870, CARHR047100, CARHR047710, CARHR047510, CARHR047730, CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047470, CARHR047430, CARHR055030, CARHR047060, CARHR047180, CARHR047460, CARHR047540, CARHR149290	ESY1_g11939_DN1_SP0_c0.t1
OG0000104	CARHR122230	ESY8_g58838_DN3_SP0_c18.t1
OG0000104	CARHR122240	ESY8_g58834_DN3_SP0_c19.t1
OG0000104	CARHR039100	ESY2_g37202_DN3_SP0_c14.t1
OG0000106	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860	ESY6_g49250_DN3_SP0_c0.t1
OG0000106	CARHR159090	ESY6_g49252_DN1_SP0_c0.t1
OG0000106	CARHR095220, CARHR092810, CARHR120380	ESY5_g3423_DN1_SP0_c0.t1, ESY3_g30215_DN2_SP0_c0.t1
OG0000106	CARHR248580	ESY3_g31121_DN3_SP0_c0.t1
OG0000107	CARHR119260, CARHR119250, CARHR095610, CARHR095650, CARHR095640, CARHR095620, CARHR055760, CARHR095660, CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680	ESY4_g23035_DN3_SP0_c29.t1
OG0000108	CARHR174970	ESY7_g17569_DN3_SP0_c0.t1, ESY9_g43933_DN2_SP0_c0.t1, ESY1_g10333_DN2_SP0_c0.t1
OG0000108	CARHR000040, CARHR188170	ESY7_g18472_DN3_SP0_c0.t1
OG0000108	CARHR103960	ESY11_g54688_DN1_SP0_c0.t1
OG0000110	CARHR104610, CARHR169590	ESY4_g26081_DN1_SP0_c0.t1, ESY1_g11245_DN1_SP0_c0.t1
OG0000110	CARHR169620, CARHR103650	ESY1_g11254_DN1_SP0_c0.t1
OG0000111	CARHR221770	ESY20_g12773_DN2_SP0_c0.t1
OG0000111	CARHR213990, CARHR214010	ESY4_g26288_DN3_SP0_c84.t1
OG0000112	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680	ESY1_g10062_DN3_SP0_c100.t1, ESY1_g10061_DN3_SP0_c100.t1, ESY6_g49574_DN2_SP0_c100.t1
OG0000113	CARHR047480, CARHR047200, CARHR047160, CARHR047260, CARHR262020, CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050	ESY5_g2214_DN1_SP0_c94.t1
OG0000113	CARHR175310, CARHR289490, CARHR175790, CARHR175830, CARHR174830, CARHR175110, CARHR175150, CARHR175080, CARHR178690, CARHR116320, CARHR292210, CARHR222460	ESY16_g61595_DN1_SP0_c0.t1
OG0000113	CARHR175270	ESY7_g16449_DN1_SP0_c0.t1
OG0000113	CARHR228760, CARHR181190, CARHR151550	ESY6_g49439_DN2_SP0_c0.t1
OG0000113	CARHR104310	ESY3_g32066_DN2_SP0_c100.t1
OG0000115	CARHR059960, CARHR284490	ESY11_g54524_DN2_SP0_c0.t1
OG0000118	CARHR161720	ESY8_g60792_DN2_SP0_c0.t1, ESY20_g12840_DN2_SP0_c0.t1
OG0000119	CARHR115250, CARHR292260, CARHR102990	ESY11_g53584_DN1_SP0_c0.t1, ESY3_g28899_DN2_SP0_c0.t1, ESY11_g53147_DN2_SP0_c3.t1, ESY4_g24612_DN2_SP0_c73.t1, ESY2_g38528_DN2_SP0_c0.t1, ESY19_g41722_DN3_SP0_c0.t1
OG0000120	CARHR285170	ESY2_g33927_DN3_SP0_c0.t1, ESY7_g16136_DN3_SP0_c0.t1
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	ESY9_g43372_DN2_SP0_c0.t1, ESY9_g43317_DN3_SP0_c0.t1
OG0000120	CARHR208650	ESY7_g19067_DN2_SP0_c34.t1, ESY7_g19059_DN3_SP0_c0.t1
OG0000122	CARHR033430, CARHR033520	ESY2_g36290_DN3_SP0_c0.t1
OG0000122	CARHR269910, CARHR269890	ESY2_g33718_DN3_SP0_c0.t1
OG0000122	CARHR031770	ESY6_g48203_DN3_SP0_c0.t1
OG0000122	CARHR036540	ESY4_g25959_DN3_SP0_c0.t1
OG0000122	CARHR269900, CARHR031760, CARHR036560, CARHR031790	ESY2_g33719_DN1_SP0_c0.t1
OG0000122	CARHR269920	ESY3_g30973_DN3_SP0_c0.t1, ESY10_g14968_DN3_SP0_c0.t1, ESY20_g12804_DN3_SP0_c0.t1
OG0000124	CARHR183660, CARHR183650, CARHR043800, CARHR123710	ESY23_g219_DN2_SP0_c0.t1
OG0000125	CARHR190650	ESY6_g48978_DN3_SP0_c0.t1, ESY6_g48979_DN3_SP0_c0.t1
OG0000125	CARHR007600	ESY5_g4488_DN3_SP0_c0.t1
OG0000125	CARHR273520	ESY6_g48851_DN3_SP0_c0.t1
OG0000125	CARHR121850	ESY8_g58880_DN2_SP0_c0.t1
OG0000127	CARHR107120	ESY6_g49639_DN1_SP0_c0.t1
OG0000127	CARHR083500	ESY3_g30869_DN3_SP0_c0.t1, ESY3_g30864_DN3_SP0_c0.t1
OG0000127	CARHR083490	ESY3_g30854_DN3_SP0_c0.t1, ESY3_g30853_DN3_SP0_c0.t1
OG0000127	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100	ESY3_g28267_DN3_SP0_c0.t1, ESY3_g30868_DN3_SP0_c0.t1
OG0000130	CARHR288220, CARHR294480, CARHR217380	ESY3_g27873_DN2_SP0_c0.t1
OG0000131	CARHR283860	ESY12_g51930_DN3_SP0_c0.t1, ESY1_g11590_DN2_SP0_c0.t1, ESY2_g38712_DN2_SP0_c0.t1
OG0000131	CARHR287300	ESY10_g13678_DN3_SP0_c0.t1, ESY1_g8939_DN3_SP0_c0.t1, ESY7_g17909_DN3_SP0_c0.t1
OG0000132	CARHR217650	ESY1_g8384_DN3_SP0_c0.t1, ESY1_g7078_DN3_SP0_c0.t1, ESY13_g57119_DN3_SP0_c0.t1, ESY12_g51236_DN3_SP0_c0.t1
OG0000132	CARHR101930	ESY8_g59869_DN2_SP0_c0.t1, ESY6_g46511_DN2_SP0_c13.t1
OG0000136	CARHR058600	ESY2_g35232_DN2_SP0_c0.t1
OG0000136	CARHR214760, CARHR214790	ESY9_g43340_DN2_SP0_c0.t1, ESY9_g43341_DN3_SP0_c0.t1, ESY7_g19367_DN1_SP0_c0.t1, ESY7_g19406_DN2_SP0_c0.t1, ESY7_g19368_DN2_SP0_c0.t1
OG0000138	CARHR113950	ESY6_g49113_DN1_SP0_c0.t1
OG0000138	CARHR174950	ESY1_g12082_DN3_SP0_c0.t1
OG0000138	CARHR274880, CARHR274890, CARHR274860	ESY2_g35116_DN3_SP0_c0.t1
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	ESY2_g35115_DN3_SP0_c0.t1
OG0000140	CARHR155420, CARHR285530, CARHR285410, CARHR272760, CARHR272770, CARHR053670, CARHR272750, CARHR285460, CARHR285480	ESY1_g8242_DN3_SP0_c10.t1
OG0000142	CARHR122610, CARHR122560, CARHR122550, CARHR122540, CARHR122600, CARHR122570, CARHR122580, CARHR119640, CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140	ESY18_g63267_DN3_SP0_c0.t1
OG0000146	CARHR268710	ESY1_g10590_DN2_SP0_c0.t1, ESY6_g48021_DN2_SP0_c38.t1
OG0000147	CARHR238090	ESY4_g24538_DN3_SP0_c0.t1
OG0000147	CARHR271150	ESY6_g48428_DN3_SP8_c0.t1
OG0000147	CARHR073860	ESY2_g36615_DN3_SP8_c6.t1
OG0000147	CARHR153650	ESY19_g42179_DN3_SP8_c0.t1
OG0000147	CARHR117520	ESY8_g59421_DN3_SP7_c0.t1
OG0000149	CARHR154800, CARHR154790, CARHR154820	ESY2_g37243_DN3_SP0_c7.t1
