Orthogroup	Cardamine_hirsuta	Alyssum_gmelinii
OG0000031	CARHR013000	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	CARHR213210	Ag002G111150, Ag002G107580
OG0000031	CARHR049120, CARHR046360, CARHR046370	Ag004G401670
OG0000033	CARHR230270, CARHR230290	Ag006G547230, Ag006G549390
OG0000033	CARHR230320, CARHR230240, CARHR055320	Ag006G543630, Ag006G543880
OG0000033	CARHR289950	Ag006G564890, Ag003G210460
OG0000033	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620	Ag006G547250, Ag006G549400, Ag008G717210
OG0000033	CARHR230200, CARHR230230	Ag006G547380, Ag006G549570
OG0000033	CARHR252350	Ag002G130680, Ag002G130760
OG0000035	CARHR054750	Ag007G589380
OG0000035	CARHR207670	Ag006G499210
OG0000035	CARHR126110	Ag007G590010
OG0000038	CARHR141500	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	CARHR024990	Ag001G003660
OG0000038	CARHR174900, CARHR175950	Ag002G135290, Ag002G133990, Ag002G133520
OG0000038	CARHR178840	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000040	CARHR025790, CARHR162370, CARHR260760, CARHR260790	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	CARHR223790	Ag005G483190
OG0000040	CARHR154640, CARHR088870	Ag002G192690, Ag002G188830
OG0000040	CARHR289440	Ag007G626240, Ag005G483200, Ag002G109870
OG0000040	CARHR158510, CARHR158520	Ag005G441920, Ag005G467750, Ag005G452660
OG0000041	CARHR260230, CARHR034730	Ag003G296430, Ag003G296390, Ag008G683020
OG0000044	CARHR150330	Ag006G512870
OG0000044	CARHR057390, CARHR183570, CARHR116100, CARHR107370	Ag001G054960
OG0000046	CARHR225000, CARHR225010	Ag006G575430
OG0000046	CARHR214320	Ag002G197360
OG0000046	CARHR059270, CARHR059250	Ag002G129690, Ag002G129740
OG0000046	CARHR059360, CARHR263420	Ag002G129710
OG0000048	CARHR077950	Ag005G486480
OG0000048	CARHR077910	Ag005G486490
OG0000048	CARHR077940	Ag005G486620, Ag005G486520
OG0000052	CARHR002800	Ag004G301370, Ag004G301320
OG0000052	CARHR137510	Ag002G194170
OG0000052	CARHR127280	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060
OG0000052	CARHR137530	Ag002G194250
OG0000052	CARHR137550, CARHR137540	Ag002G194410, Ag002G194400, Ag002G194390
OG0000053	CARHR152130, CARHR102470, CARHR286550	Ag003G279130
OG0000053	CARHR044830	Ag006G525960
OG0000054	CARHR056490	Ag007G634740, Ag006G513370, Ag001G062410, Ag004G350340, Ag004G360080
OG0000055	CARHR050220	Ag004G382900
OG0000055	CARHR049980, CARHR050290, CARHR050280, CARHR050160	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	CARHR153090, CARHR260200, CARHR119870, CARHR219260, CARHR049910	Ag002G121000, Ag006G542770
OG0000057	CARHR111010	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510
OG0000057	CARHR092150, CARHR092000	Ag005G459490
OG0000057	CARHR092560, CARHR092720	Ag005G459920
OG0000057	CARHR127660	Ag005G462800
OG0000057	CARHR214390	Ag005G462790
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	Ag003G289060
OG0000058	CARHR154060	Ag007G619930, Ag003G293710, Ag008G700490, Ag004G386780, Ag007G613110
OG0000058	CARHR153550	Ag006G516660
OG0000061	CARHR264280	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860
OG0000061	CARHR258030	Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720
OG0000063	CARHR163630	Ag007G595160, Ag002G172730
OG0000063	CARHR154290	Ag001G073100
OG0000063	CARHR121870	Ag002G119010, Ag008G710470
OG0000064	CARHR247830	Ag003G295980
OG0000064	CARHR020490	Ag004G324660, Ag004G324700, Ag003G296080, Ag002G109510, Ag002G109380, Ag003G296040, Ag003G296060, Ag002G109520, Ag002G109590, Ag002G109550, Ag003G296070, Ag002G191390, Ag002G109460, Ag002G109500, Ag003G296100, Ag003G296020, Ag002G109470, Ag002G109450, Ag003G283080, Ag003G283090
OG0000065	CARHR184170	Ag009G735570
OG0000066	CARHR246630, CARHR069000, CARHR096450, CARHR058350, CARHR068990	Ag003G225470
OG0000066	CARHR202910, CARHR279320	Ag007G604700
OG0000066	CARHR279310	Ag002G125900
OG0000067	CARHR064230	Ag004G385490, Ag006G500760, Ag008G714910, Ag008G707340
OG0000068	CARHR034790	Ag002G195230, Ag004G364800, Ag004G365410, Ag004G364540, Ag006G570020
OG0000071	CARHR082570	Ag004G339910
OG0000073	CARHR223530	Ag003G212540
OG0000073	CARHR116350	Ag002G118960, Ag002G118950
OG0000073	CARHR292230	Ag002G116850
OG0000073	CARHR175060	Ag002G120540
OG0000073	CARHR175090, CARHR175840, CARHR175230	Ag002G116910
OG0000074	CARHR024090	Ag003G242350, Ag003G242390
OG0000074	CARHR024100	Ag005G402710
OG0000074	CARHR024030, CARHR024020, CARHR024000	Ag004G378820
OG0000075	CARHR014880	Ag004G320730
OG0000075	CARHR125670, CARHR125660, CARHR124000	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	CARHR099040	Ag006G510790
OG0000075	CARHR035940	Ag002G191710, Ag002G191700, Ag002G191680
OG0000076	CARHR292090	Ag001G069290, Ag001G069280
OG0000076	CARHR065210, CARHR065340, CARHR121130, CARHR148040, CARHR278910, CARHR150860	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	CARHR148060, CARHR148030, CARHR148020	Ag001G002030
OG0000077	CARHR247160	Ag003G286070, Ag003G286090, Ag003G286060
OG0000077	CARHR103020	Ag003G215720
OG0000077	CARHR247180	Ag004G321630, Ag004G321620, Ag004G321600
OG0000077	CARHR247150	Ag002G148310
OG0000078	CARHR151660	Ag003G252700
OG0000079	CARHR111250	Ag006G550570
OG0000079	CARHR169400	Ag001G084480
OG0000079	CARHR169290	Ag001G089200
OG0000079	CARHR051200, CARHR051170	Ag001G071340
OG0000079	CARHR186450, CARHR286030, CARHR217340	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	CARHR270010	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	CARHR039590	Ag001G028300
OG0000080	CARHR123150, CARHR123070, CARHR123140	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000083	CARHR121440, CARHR291360, CARHR291330	Ag005G483950, Ag005G483960
OG0000084	CARHR117870, CARHR117890, CARHR116980	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620
OG0000084	CARHR116880, CARHR117860	Ag002G186630, Ag002G189800, Ag002G189260, Ag002G189740, Ag002G189750, Ag002G189790, Ag002G189770
OG0000084	CARHR117220, CARHR116970, CARHR116710, CARHR116720, CARHR117880	Ag008G724370
OG0000084	CARHR117030, CARHR118620	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750	Ag008G709530
OG0000087	CARHR189700	Ag008G723440
OG0000087	CARHR122890	Ag007G593840
OG0000087	CARHR200860	Ag007G609260
OG0000087	CARHR128920	Ag002G161340
OG0000087	CARHR178800	Ag002G127940
OG0000087	CARHR227450	Ag006G562620
OG0000087	CARHR069200	Ag003G224140
OG0000088	CARHR192340, CARHR192330	Ag008G717820
OG0000089	CARHR203590	Ag007G603320
OG0000089	CARHR094190	Ag005G453100
OG0000089	CARHR086670	Ag005G471710
OG0000089	CARHR131960	Ag002G172950, Ag001G073120
OG0000089	CARHR285740, CARHR155270	Ag008G712440, Ag008G708620
OG0000090	CARHR020650	Ag004G333760
OG0000090	CARHR069500	Ag003G223190
OG0000090	CARHR288810	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000090	CARHR145500, CARHR145480	Ag002G185460
OG0000091	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050	Ag008G666230, Ag001G063330, Ag006G524690
OG0000091	CARHR055470	Ag008G666220
OG0000093	CARHR168740	Ag001G087540
OG0000093	CARHR168730	Ag001G087060, Ag020G743300
OG0000093	CARHR168710	Ag001G087470
OG0000093	CARHR168690	Ag001G087410
OG0000093	CARHR168640	Ag001G083700, Ag001G087310
OG0000093	CARHR168600	Ag001G086770, Ag001G086780, Ag001G086760
OG0000093	CARHR168590, CARHR259860, CARHR168580	Ag001G086540, Ag001G086510
OG0000096	CARHR145650, CARHR145640	Ag001G024200, Ag001G016650, Ag005G460360
OG0000096	CARHR145630	Ag004G329170, Ag004G329010, Ag004G329150, Ag004G329020
OG0000096	CARHR177990	Ag002G102560
OG0000096	CARHR176910	Ag006G559170
OG0000096	CARHR177040	Ag002G103250
OG0000097	CARHR252090, CARHR252110	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	CARHR252130	Ag002G129120, Ag002G130340, Ag002G130310, Ag002G129030
OG0000097	CARHR252050	Ag002G128740
OG0000097	CARHR252100	Ag002G128960
OG0000098	CARHR220990, CARHR220970	Ag004G315550, Ag004G315560
OG0000098	CARHR013070	Ag006G506280, Ag004G316800, Ag004G315620
OG0000099	CARHR046920	Ag004G395880
OG0000099	CARHR051500	Ag004G394290, Ag004G391580
OG0000099	CARHR046950	Ag004G396600, Ag004G396870, Ag004G391030
OG0000099	CARHR046970	Ag015G742140, Ag015G742240
OG0000099	CARHR051510	Ag004G391040
OG0000100	CARHR054110, CARHR100990	Ag002G132470
OG0000100	CARHR181920	Ag004G384260
OG0000100	CARHR054690, CARHR054680	Ag008G659700
OG0000100	CARHR101000	Ag002G169920, Ag007G628580
OG0000101	CARHR051270, CARHR051250, CARHR051280, CARHR149280, CARHR047170, CARHR047230	Ag004G389930, Ag004G393600, Ag004G388590, Ag004G390060
OG0000101	CARHR050870	Ag004G389820, Ag004G389830
OG0000101	CARHR047460	Ag004G395200, Ag004G395030, Ag004G390080
OG0000101	CARHR047540	Ag004G395150
OG0000101	CARHR149290	Ag004G390280
OG0000104	CARHR007350	Ag004G307220
OG0000104	CARHR122140	Ag007G594880, Ag007G594830
OG0000104	CARHR122230	Ag007G594810
OG0000104	CARHR039100	Ag001G010320
OG0000104	CARHR097260	Ag005G441940
OG0000104	CARHR041960	Ag001G010200
OG0000104	CARHR041980	Ag001G010180, Ag001G010190
OG0000106	CARHR101790, CARHR101800, CARHR159090, CARHR095220, CARHR092810, CARHR120380	Ag005G417510, Ag001G017220
OG0000106	CARHR248580	Ag004G383320
OG0000107	CARHR119260, CARHR119250	Ag005G481150
OG0000107	CARHR095650	Ag005G446760
OG0000107	CARHR095660	Ag005G446720
OG0000107	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680	Ag005G446670
OG0000108	CARHR174970	Ag005G459590, Ag008G727840
OG0000108	CARHR046250	Ag005G414040
OG0000108	CARHR000040, CARHR188170	Ag008G722170, Ag007G609500, Ag002G145390
OG0000110	CARHR169600	Ag001G090130
OG0000110	CARHR169580	Ag001G090120
OG0000110	CARHR169630	Ag001G090270, Ag001G090260, Ag001G090170, Ag001G090700
OG0000110	CARHR150810, CARHR169560	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010
OG0000110	CARHR169570	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000110	CARHR061850	Ag001G090290, Ag001G090300, Ag001G090310
OG0000111	CARHR214020, CARHR214040	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	CARHR214030	Ag006G502330
OG0000111	CARHR277260, CARHR277270, CARHR256230	Ag008G729450
OG0000112	CARHR274650, CARHR274680	Ag007G615000
OG0000113	CARHR288500	Ag003G210260
OG0000113	CARHR149270	Ag005G453300
OG0000113	CARHR047480	Ag004G396680, Ag007G597560
OG0000113	CARHR047200, CARHR047160	Ag003G219180
OG0000113	CARHR262020	Ag004G390150, Ag004G389940, Ag004G394920, Ag004G389960
OG0000113	CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050	Ag004G396880, Ag004G396660, Ag004G387080, Ag004G389950
OG0000113	CARHR175310, CARHR289490	Ag002G118730
OG0000113	CARHR175110, CARHR175150	Ag002G116610, Ag002G116590
OG0000113	CARHR175080, CARHR178690, CARHR116320	Ag002G138540
OG0000113	CARHR222460	Ag006G576050
OG0000113	CARHR047550	Ag004G394970
OG0000113	CARHR228760, CARHR181190, CARHR151550	Ag007G655220
OG0000114	CARHR078370, CARHR078360	Ag005G486540, Ag005G485930
OG0000114	CARHR071840, CARHR251920, CARHR071800	Ag006G573480
OG0000114	CARHR214250, CARHR181200, CARHR181230, CARHR202070, CARHR077970	Ag003G284630
OG0000119	CARHR115250	Ag001G026190, Ag008G699540, Ag005G437940, Ag007G645640, Ag007G656830, Ag007G641820
OG0000119	CARHR292260, CARHR102990	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220
OG0000120	CARHR285170	Ag004G373700, Ag001G094910
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	Ag003G277400, Ag003G279310, Ag003G275890
OG0000120	CARHR208650	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	CARHR269930, CARHR033430, CARHR033520	Ag008G698890
OG0000122	CARHR129080, CARHR269910, CARHR269890, CARHR031770	Ag003G267460
OG0000122	CARHR269900, CARHR031760, CARHR036560, CARHR031790	Ag008G699060
OG0000123	CARHR024520, CARHR027640, CARHR027660, CARHR027650	Ag007G583620
OG0000123	CARHR014050, CARHR014060, CARHR049240	Ag001G067540
OG0000124	CARHR182430	Ag005G441490, Ag004G309520, Ag003G282630
OG0000124	CARHR183650, CARHR043800, CARHR123710	Ag003G242000
OG0000124	CARHR036720	Ag004G349780, Ag005G468220, Ag002G194630, Ag001G067330, Ag008G665260, Ag001G016150, Ag005G485900, Ag012G741220
OG0000124	CARHR117340, CARHR057000, CARHR158410, CARHR153220	Ag008G669380
OG0000125	CARHR210790	Ag005G477020
OG0000125	CARHR190650	Ag008G713670
OG0000125	CARHR007600	Ag004G307540
OG0000125	CARHR121850	Ag007G595180
OG0000127	CARHR083500	Ag005G477940
OG0000127	CARHR211450	Ag008G679900, Ag004G381150
OG0000127	CARHR211460	Ag004G381140
OG0000127	CARHR083490	Ag005G477990
OG0000127	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100	Ag005G477980
OG0000131	CARHR118270	Ag003G256190
OG0000131	CARHR287300	Ag003G250970
OG0000136	CARHR058600	Ag008G691470, Ag005G487080, Ag004G358500
OG0000137	CARHR180340	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700
OG0000138	CARHR274850	Ag005G453150
OG0000140	CARHR272760, CARHR272770, CARHR053670	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830
OG0000140	CARHR285460, CARHR285480	Ag001G080460, Ag008G707780
OG0000142	CARHR122610	Ag007G594480
OG0000142	CARHR122550	Ag007G594490, Ag007G594500, Ag007G594520, Ag007G594510
OG0000142	CARHR122540	Ag007G594470
OG0000142	CARHR122600, CARHR122570, CARHR122580, CARHR119640	Ag004G307050
OG0000146	CARHR268680	Ag008G695350
OG0000146	CARHR268700	Ag008G695470, Ag008G695460
OG0000146	CARHR268690	Ag008G695380
OG0000147	CARHR238090	Ag003G261030
OG0000147	CARHR271150	Ag008G702420
OG0000147	CARHR073860	Ag003G209560
OG0000149	CARHR154840, CARHR154800, CARHR154790, CARHR154820	Ag006G570510, Ag006G570440, Ag006G570460
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	Ag008G709300, Ag008G709340
OG0000149	CARHR273240, CARHR273230, CARHR273250	Ag008G709420
OG0000149	CARHR219850	Ag008G709260
OG0000149	CARHR273160	Ag008G709330
OG0000150	CARHR118700, CARHR273840	Ag008G711330, Ag002G133360
OG0000150	CARHR263010, CARHR256190	Ag006G518460, Ag007G625710
OG0000150	CARHR150140	Ag001G092600
OG0000150	CARHR059580, CARHR150110	Ag004G332580
OG0000151	CARHR266340	Ag008G685810
OG0000151	CARHR235660	Ag003G253050
OG0000151	CARHR082990	Ag005G478640
OG0000151	CARHR107000	Ag005G417580
OG0000151	CARHR269520	Ag008G698280
OG0000151	CARHR046700	Ag004G398050
OG0000154	CARHR016540	Ag004G324480
OG0000154	CARHR087080	Ag005G471090
OG0000154	CARHR000060, CARHR229590, CARHR069350	Ag002G177350
OG0000154	CARHR083850	Ag005G477170
OG0000154	CARHR210880	Ag006G493360
OG0000154	CARHR210890	Ag006G507750, Ag006G508580, Ag006G493020
OG0000155	CARHR164960	Ag002G204050
OG0000155	CARHR227980	Ag006G564870
OG0000155	CARHR086560	Ag005G471860
OG0000155	CARHR227950	Ag002G134830, Ag002G134820, Ag002G138260
OG0000156	CARHR140780, CARHR140790, CARHR140740	Ag002G201900
OG0000156	CARHR140750	Ag002G201920, Ag002G201850, Ag002G201820, Ag002G201830, Ag002G201880
OG0000156	CARHR171350	Ag001G093780
OG0000157	CARHR102680	Ag006G537650, Ag002G142330, Ag002G143730, Ag003G228360
OG0000157	CARHR133050, CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060, CARHR101240	Ag004G346210, Ag003G229150, Ag004G369290
OG0000158	CARHR210870	Ag005G443310, Ag005G444520, Ag005G443260
OG0000158	CARHR245230	Ag006G563590
OG0000158	CARHR104280	Ag005G476710
OG0000161	CARHR275730	Ag008G725260
OG0000161	CARHR056680, CARHR056760	Ag007G588370
OG0000161	CARHR056690	Ag007G588360
OG0000161	CARHR056630	Ag007G601560, Ag007G601540, Ag007G601790
OG0000162	CARHR069160, CARHR059610	Ag001G092940
OG0000162	CARHR170840	Ag001G092930
OG0000162	CARHR057970	Ag008G712070
OG0000162	CARHR140170	Ag002G200850, Ag002G200800
OG0000164	CARHR246960	Ag003G293830
OG0000164	CARHR041160, CARHR041170	Ag005G487250, Ag003G293940
OG0000164	CARHR185060, CARHR185040	Ag003G293780, Ag004G322100, Ag003G293750, Ag003G293810
OG0000164	CARHR246950	Ag003G293740, Ag003G293690, Ag003G293790
OG0000167	CARHR226380	Ag006G570230
OG0000169	CARHR019250, CARHR067410, CARHR067450	Ag003G231880
OG0000171	CARHR142560	Ag008G670170
OG0000171	CARHR023910	Ag004G345150
OG0000171	CARHR052550	Ag004G371850
OG0000171	CARHR198650	Ag007G614710
OG0000172	CARHR053570	Ag001G097470
OG0000172	CARHR169320	Ag003G233750, Ag006G550460
OG0000172	CARHR169390	Ag001G089440
OG0000172	CARHR169360	Ag001G089420
OG0000175	CARHR160880	Ag005G414670, Ag001G067410
OG0000178	CARHR124520, CARHR098760	Ag002G116410
OG0000180	CARHR264470	Ag003G207330
OG0000180	CARHR175440	Ag003G218340
OG0000181	CARHR174010, CARHR102280, CARHR110940, CARHR049200, CARHR180870, CARHR122740	Ag003G251860
OG0000184	CARHR157490, CARHR154180, CARHR181110	Ag001G075930
OG0000185	CARHR116590	Ag002G183070
OG0000186	CARHR184740, CARHR217430	Ag004G388160
OG0000187	CARHR239530	Ag003G270250, Ag002G167770
OG0000187	CARHR239600	Ag003G270560
OG0000187	CARHR085640	Ag005G474090, Ag005G474080
OG0000189	CARHR246590	Ag001G080600, Ag003G293390, Ag003G292930
OG0000189	CARHR132630	Ag007G631560, Ag007G631600, Ag007G631490, Ag007G631520, Ag007G631710, Ag007G628720, Ag007G631540, Ag006G508880, Ag006G508840, Ag006G508810, Ag004G355860, Ag003G290270
OG0000190	CARHR253020	Ag002G140140
OG0000190	CARHR250370	Ag002G128880
OG0000190	CARHR250360	Ag002G128820
OG0000190	CARHR259510, CARHR252970, CARHR263930, CARHR252960	Ag002G140040, Ag002G139950
OG0000191	CARHR091820	Ag004G324780, Ag007G605570, Ag007G605580, Ag005G460420
OG0000191	CARHR107430, CARHR293570, CARHR148120, CARHR091830	Ag005G457150
OG0000191	CARHR107420, CARHR107440, CARHR293580, CARHR148110	Ag005G457490, Ag005G457480
OG0000191	CARHR091750	Ag005G461560, Ag005G461580, Ag005G461550, Ag005G461640, Ag005G460960
OG0000192	CARHR059110	Ag004G336350
OG0000192	CARHR181970	Ag008G727670
OG0000192	CARHR181980, CARHR256500	Ag004G336340, Ag004G336360, Ag004G336330
OG0000193	CARHR097030, CARHR150060, CARHR108190, CARHR108200	Ag004G342780
OG0000195	CARHR166950, CARHR136200	Ag001G082920
OG0000195	CARHR058380, CARHR215030	Ag007G646090
OG0000196	CARHR037150, CARHR037160	Ag004G304260, Ag004G304230
OG0000196	CARHR028490, CARHR037140, CARHR037130	Ag004G304250
OG0000196	CARHR110490	Ag004G304870
OG0000197	CARHR272960	Ag006G545700
OG0000201	CARHR103600	Ag005G439940
OG0000203	CARHR078890	Ag005G407790
OG0000203	CARHR078880, CARHR078860, CARHR078870	Ag006G519280, Ag005G485370, Ag005G485380
OG0000203	CARHR201470	Ag004G387230, Ag004G392530, Ag005G485880
OG0000204	CARHR099050	Ag005G471780, Ag005G471790
OG0000204	CARHR044120	Ag003G216930, Ag003G216910, Ag003G216390, Ag003G216940, Ag003G216920, Ag003G216970, Ag003G216980
OG0000204	CARHR098530	Ag005G437650
OG0000205	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042520, CARHR042900, CARHR041590, CARHR043210, CARHR037920, CARHR263740, CARHR043200, CARHR148260, CARHR265180, CARHR265400, CARHR149520	Ag005G439370
OG0000207	CARHR072270	Ag001G022870, Ag001G022610
OG0000207	CARHR072300	Ag003G219800, Ag003G215860, Ag003G215900
OG0000207	CARHR072290	Ag003G212790
OG0000208	CARHR181000	Ag003G275160
OG0000208	CARHR264830	Ag003G275170, Ag003G294530, Ag003G294570, Ag003G294700, Ag003G294540
OG0000210	CARHR102790, CARHR102800, CARHR102820, CARHR145920	Ag006G499160, Ag006G499150, Ag006G499180
OG0000210	CARHR145910, CARHR145930, CARHR145900	Ag003G280570, Ag003G273400
OG0000210	CARHR127190	Ag007G588470
OG0000213	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360	Ag003G236750, Ag003G236500, Ag003G236780, Ag003G236530
OG0000213	CARHR292800, CARHR292790, CARHR292750, CARHR257100, CARHR292760, CARHR285920	Ag003G288980
OG0000214	CARHR250390, CARHR248840, CARHR250400, CARHR250050	Ag006G510210
OG0000216	CARHR283650, CARHR229570	Ag006G554100, Ag006G554110
OG0000216	CARHR229010, CARHR229070, CARHR229050, CARHR229110	Ag006G554130
OG0000218	CARHR015470, CARHR015480	Ag004G322150
OG0000218	CARHR147290	Ag004G318250, Ag006G542090, Ag006G547060
OG0000218	CARHR144080	Ag008G689600, Ag002G177290
OG0000219	CARHR058980	Ag004G357760
OG0000219	CARHR123080, CARHR123060	Ag007G593670
OG0000219	CARHR277080	Ag006G565670
OG0000219	CARHR266750	Ag008G724120
OG0000220	CARHR050490	Ag001G093870
OG0000220	CARHR147550, CARHR269160, CARHR269100, CARHR211050, CARHR145120, CARHR145130	Ag002G179690
OG0000224	CARHR071060, CARHR071050, CARHR071040	Ag003G217560, Ag003G217550, Ag001G013260, Ag003G217250, Ag003G217260, Ag003G217440, Ag003G217450
OG0000224	CARHR230420	Ag003G270550
