Orthogroup	Cardamine_hirsuta	Capsella_rubella
OG0000035	CARHR207670, CARHR110070, CARHR126120	XP_023641959.1
OG0000035	CARHR126110	XP_006289868.2, XP_023636083.1, XP_023643229.1, XP_023643230.1
OG0000035	CARHR171670, CARHR219290	XP_023638840.1
OG0000038	CARHR141500	XP_006296301.2
OG0000038	CARHR024990	XP_023632850.1, XP_023645557.1, XP_023632853.1
OG0000038	CARHR265450	XP_023633386.1
OG0000038	CARHR174900, CARHR175950	XP_023633084.1
OG0000038	CARHR178840	XP_023637684.1, XP_023637652.1
OG0000040	CARHR088870	XP_006300177.2, XP_006297854.1, XP_006297862.1, XP_006298407.2
OG0000040	CARHR158510, CARHR158520	XP_006293126.1
OG0000040	CARHR059990, CARHR060010	XP_023644289.1
OG0000043	CARHR218450	XP_023640334.1
OG0000046	CARHR263410	XP_006286236.1
OG0000046	CARHR214340	XP_006290703.1, XP_023638915.1
OG0000046	CARHR059200	XP_023644284.1
OG0000046	CARHR225000, CARHR225010	XP_006286158.2
OG0000046	CARHR059270	XP_023643067.1
OG0000046	CARHR059140, CARHR059070, CARHR059130	XP_023644283.1
OG0000046	CARHR059080	XP_006300887.1
OG0000046	CARHR214400	XP_006290268.1
OG0000046	CARHR214430	XP_023637822.1
OG0000048	CARHR077950	XP_006300074.1
OG0000048	CARHR077910	XP_006298992.1
OG0000048	CARHR077940	XP_006296650.2
OG0000048	CARHR195020	XP_023636997.1
OG0000048	CARHR195010	XP_006286648.1, XP_006289998.1, XP_006289391.1
OG0000048	CARHR195040	XP_006286674.1, XP_006289917.1
OG0000052	CARHR002800	XP_006304062.1
OG0000052	CARHR137510	XP_023640868.1
OG0000052	CARHR137550, CARHR137540	XP_023640424.1
OG0000053	CARHR148640, CARHR293330, CARHR118340, CARHR151940	XP_023644244.1, XP_023633548.1, XP_023634277.1
OG0000055	CARHR050220	XP_006301460.1
OG0000055	CARHR155600	XP_006292456.1
OG0000055	CARHR050320	XP_006302241.1
OG0000055	CARHR049990, CARHR050000	XP_006300465.1
OG0000055	CARHR049970	XP_006302237.1
OG0000055	CARHR049980, CARHR050290, CARHR050280	XP_006301193.1
OG0000055	CARHR050160	XP_006301052.1
OG0000056	CARHR153090	XP_023638967.1, XP_006282913.2
OG0000057	CARHR092620, CARHR092630	XP_006299379.1
OG0000057	CARHR094260	XP_023642764.1
OG0000057	CARHR108260, CARHR108320, CARHR108330, CARHR135370, CARHR108730	XP_023641561.1
OG0000057	CARHR092560, CARHR092720	XP_023641570.1
OG0000057	CARHR090170	XP_023643291.1
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	XP_006300113.1, XP_006299228.1
OG0000061	CARHR264280	XP_023634311.1
OG0000064	CARHR247830	XP_023634774.1
OG0000064	CARHR127180, CARHR260300	XP_006295567.2
OG0000064	CARHR176370	XP_006281621.1
OG0000066	CARHR279310	XP_006301260.2, XP_006304637.1, XP_006292533.1
OG0000067	CARHR210190	XP_023633398.1, XP_023642606.1, XP_023637635.1, XP_006289558.2, XP_006286541.1
OG0000068	CARHR216710	XP_023640381.1
OG0000071	CARHR055550, CARHR082570	XP_023646042.1, XP_023644298.1
OG0000073	CARHR116330	XP_023634969.1, XP_023636248.1
OG0000073	CARHR175060	XP_023634755.1
OG0000073	CARHR175260	XP_006282385.2
OG0000074	CARHR024070	XP_023644784.1, XP_006303494.2
OG0000074	CARHR024100	XP_023632781.1
OG0000074	CARHR024020	XP_006306462.1
OG0000074	CARHR023950	XP_006304583.1
OG0000075	CARHR119930	XP_023633371.1
OG0000075	CARHR010330, CARHR008650, CARHR024930	XP_006289118.1
OG0000076	CARHR157840	XP_006291102.1
OG0000076	CARHR162560	XP_023638945.1, XP_023638947.1
OG0000076	CARHR162510, CARHR162540	XP_023638946.1
OG0000076	CARHR162570	XP_023639178.1
OG0000076	CARHR162490	XP_006291114.1, XP_006291129.1
OG0000076	CARHR162550	XP_006293230.1, XP_006290348.2
OG0000076	CARHR065210, CARHR065340	XP_006301891.2, XP_006301896.2
OG0000076	CARHR121130, CARHR148040, CARHR278910	XP_023638056.1, XP_023639204.1
OG0000076	CARHR150860	XP_006293172.2
OG0000076	CARHR148020	XP_023639087.1
OG0000077	CARHR286200, CARHR286190, CARHR286160	XP_023633364.1, XP_006281848.1, XP_006281030.1, XP_006280653.1
OG0000077	CARHR247160	XP_023634488.1
OG0000077	CARHR214110, CARHR146390, CARHR254570, CARHR083750, CARHR103020, CARHR286150, CARHR286180, CARHR286090	XP_006286716.1
OG0000077	CARHR247180	XP_006301199.1
OG0000077	CARHR247150	XP_006283916.1
OG0000077	CARHR247140	XP_023635518.1
OG0000079	CARHR169300	XP_006290714.1
OG0000079	CARHR169290	XP_006291126.2
OG0000079	CARHR136780, CARHR214200	XP_006285033.2, XP_006285578.1, XP_006286115.1, XP_023635365.1, XP_006285901.1, XP_006285558.1
OG0000079	CARHR186450, CARHR286030, CARHR217340	XP_006292365.1
OG0000080	CARHR215660	XP_023634933.1
OG0000080	CARHR038000	XP_023645797.1, XP_006307356.2
OG0000080	CARHR151510, CARHR219570	XP_023635299.1
OG0000080	CARHR123150, CARHR123070	XP_023640829.1
OG0000080	CARHR123140	XP_006286287.2
OG0000081	CARHR037410	XP_023632976.1, XP_023632977.1
OG0000081	CARHR037720, CARHR037850, CARHR037710	XP_023633110.1
OG0000081	CARHR040920	XP_023644303.1
OG0000083	CARHR176300	XP_023644310.1
OG0000083	CARHR099030, CARHR099020	XP_006299852.1
OG0000083	CARHR118080, CARHR118040	XP_006295969.1
OG0000084	CARHR117220, CARHR116970, CARHR116710, CARHR116720, CARHR117880	XP_006295595.1
OG0000084	CARHR116870	XP_006295705.1, XP_006294284.1, XP_006294389.1
OG0000084	CARHR117230, CARHR116960, CARHR116990	XP_006295399.1
OG0000084	CARHR117030, CARHR118620	XP_006295555.1, XP_006294228.1
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750	XP_006301805.1, XP_006301207.1, XP_006301336.1, XP_006301472.1, XP_006301343.1, XP_006301176.1, XP_006301855.1, XP_006306169.1, XP_006301107.1, XP_006301675.1, XP_006301967.1, XP_006301373.1, XP_006279222.1, XP_006279224.1, XP_006301148.1, XP_006300412.1, XP_006279227.1, XP_006301177.1, XP_006301746.1, XP_006301302.1, XP_006279223.1, XP_006281741.1
OG0000087	CARHR189700	XP_006287738.1
OG0000087	CARHR122890	XP_006294210.1
OG0000087	CARHR155480	XP_006292748.1, XP_006291122.1
OG0000087	CARHR200860	XP_006289933.1
OG0000087	CARHR178800	XP_006281513.1
OG0000087	CARHR227450	XP_006283733.1
OG0000087	CARHR020480	XP_006307490.1
OG0000087	CARHR069200	XP_006302256.1
OG0000088	CARHR192340, CARHR192330	XP_023636467.1, XP_023635698.1
OG0000088	CARHR262970	XP_023644362.1
OG0000089	CARHR203590	XP_006287952.1
OG0000089	CARHR094190	XP_006297920.1
OG0000089	CARHR086670	XP_006297921.1
OG0000089	CARHR285740	XP_006282193.1, XP_006291307.1
OG0000090	CARHR020650	XP_006304273.1
OG0000090	CARHR284690	XP_023637791.1
OG0000090	CARHR069500	XP_006302938.1
OG0000090	CARHR288810	XP_006299005.1, XP_006285109.1, XP_006289176.1, XP_006286731.1
OG0000090	CARHR145520, CARHR145510	XP_006291940.1, XP_006292249.1, XP_006292823.1, XP_006292597.1, XP_006291986.1, XP_006292951.2, XP_006292400.1, XP_006290298.1, XP_006292236.1
OG0000090	CARHR010350	XP_006305612.2
OG0000091	CARHR055470	XP_023643686.1, XP_023633323.1
OG0000093	CARHR168740	XP_006292664.2
OG0000093	CARHR168690	XP_023638587.1
OG0000093	CARHR168640	XP_006292197.1
OG0000096	CARHR145650	XP_006292432.2
OG0000096	CARHR145640	XP_006292755.1
OG0000096	CARHR176420	XP_023638028.1, XP_006290453.2
OG0000096	CARHR288740	XP_006292566.2, XP_006300965.2, XP_006292626.2
OG0000096	CARHR177990	XP_006281971.1
OG0000096	CARHR225020, CARHR254980, CARHR254940, CARHR177080, CARHR176920, CARHR112190, CARHR177280	XP_006280897.2
OG0000097	CARHR252130	XP_023633387.1
OG0000097	CARHR252060	XP_006289089.1
OG0000097	CARHR252050	XP_006288400.1
OG0000097	CARHR252100	XP_006301748.2, XP_023644271.1, XP_006301379.1, XP_006289544.2, XP_006289669.1, XP_006289764.1
OG0000098	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830	XP_023644089.1, XP_006286837.2, XP_006301151.1, XP_006301217.1, XP_006300715.1
OG0000098	CARHR052090, CARHR052140, CARHR051470, CARHR052110	XP_023644337.1
OG0000098	CARHR012600	XP_023644396.1
OG0000098	CARHR012590	XP_006306386.2
OG0000099	CARHR046940	XP_023637514.1, XP_006301668.1
OG0000100	CARHR102670, CARHR054110, CARHR100990, CARHR181920, CARHR054690, CARHR054680	XP_023638959.1
OG0000100	CARHR114800	XP_006305928.1
OG0000100	CARHR101000	XP_023640327.1, XP_023634261.1
OG0000101	CARHR047080	XP_023643498.1
OG0000101	CARHR047140	XP_023643246.1
OG0000101	CARHR047100	XP_023642309.1
OG0000101	CARHR055030	XP_006301550.2, XP_006301098.2, XP_023643319.1, XP_023643317.1, XP_023643315.1, XP_023644343.1
OG0000104	CARHR007350	XP_023645280.1
OG0000104	CARHR122230	XP_006296547.2
OG0000104	CARHR122240	XP_006296171.1
OG0000104	CARHR039100	XP_023645616.1
OG0000104	CARHR097260	XP_006299926.1
OG0000104	CARHR102140	XP_023643521.1
OG0000106	CARHR093690	XP_006297929.1
OG0000106	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860	XP_006299978.1
OG0000106	CARHR101790, CARHR101800, CARHR159090, CARHR095220, CARHR092810, CARHR120380	XP_006297893.1
OG0000106	CARHR248580	XP_006301737.1
OG0000106	CARHR266870	XP_006296370.1, XP_023640363.1, XP_006296007.1
OG0000107	CARHR095650	XP_006300030.1, XP_006297457.1
OG0000107	CARHR095660	XP_006299861.1
OG0000107	CARHR095690, CARHR095670	XP_006289895.1
OG0000108	CARHR174970	XP_006305026.1
OG0000108	CARHR046250	XP_006292655.1
OG0000110	CARHR169600	XP_006291045.1
OG0000110	CARHR169580	XP_006290900.1
OG0000110	CARHR169630	XP_006291075.1
OG0000110	CARHR061840	XP_006291073.1
OG0000110	CARHR150810, CARHR169560	XP_006291049.1
OG0000110	CARHR061850	XP_023639093.1, XP_023639092.1
OG0000111	CARHR214020, CARHR214040	XP_006283852.1
OG0000111	CARHR221750	XP_023633936.1
OG0000111	CARHR277260, CARHR277270, CARHR256230	XP_023637355.1
OG0000111	CARHR164880	XP_006291215.1
OG0000112	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680	XP_006281753.1
OG0000113	CARHR256490, CARHR256450, CARHR175630	XP_006282489.2
OG0000113	CARHR288500	XP_006285182.1, XP_006284602.1
OG0000113	CARHR104310	XP_023639286.1
OG0000114	CARHR294530	XP_006286802.2
OG0000114	CARHR071840, CARHR251920, CARHR071800	XP_023643586.1, XP_023644300.1, XP_023642837.1, XP_023643772.1
OG0000114	CARHR120620	XP_023640358.1
OG0000114	CARHR054550, CARHR054640, CARHR054580	XP_023643420.1, XP_023643303.1, XP_023643595.1
OG0000114	CARHR106050	XP_023638531.1
OG0000115	CARHR059960, CARHR284490	XP_023634397.1
OG0000118	CARHR148290	XP_006289948.1, XP_006289239.1, XP_006289559.1, XP_023634314.1, XP_023643207.1, XP_023644251.1, XP_023638950.1, XP_006301030.1, XP_006285378.1
OG0000119	CARHR115250	XP_023644479.1, XP_023640329.1, XP_023634312.1, XP_023639187.1, XP_006281259.1
OG0000120	CARHR285170	XP_006301308.1, XP_006301329.1
OG0000120	CARHR221010	XP_006284913.2
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	XP_006281901.1
OG0000122	CARHR269930, CARHR033430, CARHR033520	XP_023633416.1
OG0000122	CARHR269740	XP_006281892.1
OG0000122	CARHR269750, CARHR269900, CARHR031760, CARHR036560, CARHR031790	XP_023633528.1, XP_023633504.1
OG0000122	CARHR269730	XP_023633493.1, XP_023645912.1
OG0000122	CARHR269920	XP_006281709.1
OG0000123	CARHR014030	XP_006303793.1
OG0000123	CARHR024520, CARHR027640, CARHR027660, CARHR027650	XP_006306328.1, XP_006304016.1
OG0000123	CARHR009210	XP_023634253.1
OG0000125	CARHR163570	XP_006292034.1
OG0000125	CARHR210790	XP_006298831.2, XP_006286660.1
OG0000125	CARHR190650	XP_006289049.1
OG0000125	CARHR273520	XP_006281264.1
OG0000125	CARHR154390, CARHR154340	XP_006292010.1
OG0000127	CARHR211450	XP_006287625.1
OG0000127	CARHR083490	XP_006300213.2
OG0000128	CARHR155450	XP_023644425.1
OG0000131	CARHR118270	XP_023640326.1
OG0000131	CARHR287300	XP_023635195.1, XP_023634652.1, XP_023640905.1
OG0000136	CARHR058600	XP_006302616.1, XP_023644121.1, XP_006302648.1, XP_023644277.1, XP_006302255.2
OG0000136	CARHR214810	XP_006291706.2
OG0000136	CARHR276580	XP_023633444.1
OG0000136	CARHR272990	XP_006284296.1
OG0000137	CARHR180340	XP_023638979.1
OG0000137	CARHR261370	XP_023635269.1
OG0000138	CARHR113950	XP_023638093.1
OG0000138	CARHR174950	XP_006282515.2
OG0000138	CARHR274880, CARHR274890, CARHR274860	XP_006280457.1
OG0000138	CARHR153120	XP_023639004.1
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	XP_006291108.1, XP_023639277.1, XP_023638690.1
OG0000140	CARHR155420	XP_023638993.1
OG0000140	CARHR285530	XP_006279478.2
OG0000140	CARHR285410	XP_023641991.1
OG0000140	CARHR272760, CARHR272770, CARHR053670	XP_023640932.1, XP_023642636.1, XP_023640928.1
OG0000140	CARHR285460, CARHR285480	XP_006280067.1, XP_006280069.1
OG0000142	CARHR122610	XP_023640128.1
OG0000142	CARHR122560	XP_023639968.1, XP_023639767.1
OG0000142	CARHR122550	XP_023639769.1
OG0000142	CARHR119630	XP_006294819.1
OG0000146	CARHR268710	XP_006280761.2
OG0000146	CARHR268720	XP_006280742.1
OG0000146	CARHR268680	XP_006281729.1
OG0000146	CARHR268700	XP_023637930.1
OG0000146	CARHR268690	XP_006281991.1
OG0000147	CARHR238090	XP_006282542.1
OG0000147	CARHR271150	XP_006282289.1
OG0000147	CARHR073860	XP_023643729.1
OG0000147	CARHR153650	XP_006279360.1
OG0000147	CARHR104060	XP_006279406.1
OG0000147	CARHR117520	XP_006293643.2
OG0000149	CARHR273170, CARHR273200	XP_023639042.1
OG0000149	CARHR273240, CARHR273230, CARHR273250	XP_023633454.1
OG0000149	CARHR273160, CARHR122210	XP_023638653.1
OG0000149	CARHR273130	XP_023638620.1
OG0000149	CARHR154780	XP_006292697.1
OG0000150	CARHR263010, CARHR256190	XP_023638877.1, XP_006292836.2, XP_006292499.2
OG0000150	CARHR207890, CARHR143200, CARHR150140, CARHR150080	XP_006291315.2
OG0000150	CARHR114860	XP_006296419.2, XP_006295986.2
OG0000150	CARHR059580, CARHR150110	XP_023638901.1
OG0000150	CARHR150200	XP_006293090.1, XP_023638900.1, XP_023639195.1
OG0000151	CARHR266340	XP_006281266.1
OG0000151	CARHR235660	XP_006284700.1
OG0000151	CARHR082990	XP_006298742.1
OG0000151	CARHR083000	XP_023641832.1
OG0000151	CARHR107000	XP_006298751.1
OG0000151	CARHR269520	XP_006281239.2
OG0000151	CARHR046700	XP_006302865.2, XP_006284706.1
OG0000154	CARHR016540	XP_006306285.1
OG0000154	CARHR087080	XP_006297173.1
OG0000154	CARHR083850	XP_006297174.1
OG0000154	CARHR210880	XP_006287234.1
OG0000154	CARHR210890	XP_006290203.1
OG0000155	CARHR234950	XP_006286160.1
OG0000155	CARHR227980	XP_023634855.1
OG0000155	CARHR086560	XP_006300024.2
OG0000156	CARHR140730	XP_023640163.1, XP_023640606.1
OG0000156	CARHR140760, CARHR186310	XP_023640714.1
OG0000156	CARHR140740	XP_023639945.1
OG0000156	CARHR140750	XP_023641004.1
OG0000156	CARHR171350	XP_006293280.2
OG0000157	CARHR099660	XP_023642688.1
OG0000157	CARHR102680	XP_006300909.1, XP_006301359.2, XP_006290202.1
OG0000157	CARHR133050	XP_023640365.1
OG0000157	CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060	XP_006290039.1
OG0000158	CARHR113640	XP_023635458.1
OG0000161	CARHR275720, CARHR275710	XP_023635333.1, XP_023645120.1
OG0000161	CARHR120610, CARHR120240, CARHR120250	XP_023640860.1, XP_023640089.1
OG0000161	CARHR056760	XP_023644195.1
OG0000161	CARHR056690	XP_023644191.1
OG0000161	CARHR038540, CARHR038530, CARHR056610	XP_023644193.1
OG0000161	CARHR056630, CARHR038520, CARHR038560	XP_023644190.1
OG0000162	CARHR170850	XP_006292318.1
OG0000162	CARHR170840	XP_006293283.1
OG0000162	CARHR057980	XP_023644267.1
OG0000162	CARHR057970	XP_006302230.1
OG0000162	CARHR140170	XP_006294103.1
OG0000164	CARHR246960, CARHR224720	XP_023633845.1
OG0000164	CARHR041160, CARHR041170	XP_023639572.1, XP_006285590.2
OG0000164	CARHR246950	XP_023635206.1
OG0000167	CARHR226380	XP_023634123.1
OG0000167	CARHR226370, CARHR226280	XP_006285566.1
OG0000169	CARHR067380	XP_023640242.1
OG0000169	CARHR053840, CARHR053860	XP_023643289.1
OG0000171	CARHR010800, CARHR052550	XP_006305640.2
OG0000171	CARHR198650	XP_023635842.1
OG0000172	CARHR053570	XP_006291171.1
OG0000172	CARHR052000	XP_006293105.1
OG0000172	CARHR169320	XP_006292673.2
OG0000172	CARHR169390	XP_023639081.1
OG0000172	CARHR169360	XP_023639085.1
OG0000173	CARHR225750	XP_023642043.1
OG0000173	CARHR293270	XP_023633335.1
OG0000174	CARHR286250	XP_023636043.1
OG0000175	CARHR160880	XP_006293293.1
OG0000175	CARHR069390	XP_006302850.1
OG0000175	CARHR020570	XP_006305647.1
OG0000175	CARHR243300	XP_006282726.1
OG0000175	CARHR108220	XP_006296623.1
OG0000175	CARHR244350	XP_023633909.1
OG0000176	CARHR030250	XP_006306555.2
OG0000176	CARHR029970	XP_006304655.2
OG0000176	CARHR144020	XP_006304647.1
OG0000176	CARHR029840	XP_023645847.1
OG0000181	CARHR122740	XP_023636098.1
OG0000186	CARHR103200	XP_023640354.1
OG0000187	CARHR239520	XP_023634987.1
OG0000187	CARHR239600	XP_006283864.1
OG0000187	CARHR085640	XP_023641259.1
OG0000189	CARHR246590	XP_023633711.1, XP_006284898.2, XP_023644326.1
OG0000189	CARHR100900	XP_023641380.1
OG0000189	CARHR246290, CARHR146050	XP_006289268.1, XP_023634627.1
OG0000190	CARHR253020	XP_006289433.1
OG0000190	CARHR250370	XP_006286464.1
OG0000190	CARHR250360	XP_006286371.1
OG0000190	CARHR263930	XP_006289092.1, XP_023635846.1, XP_006289348.1, XP_006287233.1
OG0000190	CARHR252960	XP_023635847.1, XP_006289234.1, XP_006286467.1
OG0000191	CARHR091820	XP_006299132.1
OG0000191	CARHR107420, CARHR107440	XP_006299977.2, XP_006299373.1
OG0000191	CARHR293580, CARHR148110	XP_006299361.1
OG0000192	CARHR059110	XP_006303161.1, XP_006283212.1
OG0000192	CARHR181980, CARHR256500	XP_006306853.1
OG0000193	CARHR097030	XP_023642627.1
OG0000193	CARHR150060, CARHR108190, CARHR108200	XP_006299826.1
OG0000195	CARHR119300	XP_006294957.1
OG0000195	CARHR166950, CARHR136200	XP_023641020.1
OG0000195	CARHR058380, CARHR215030	XP_006302967.1, XP_006284698.1
OG0000195	CARHR114540, CARHR191680	XP_006286601.1, XP_023639142.1
OG0000196	CARHR037160	XP_006303722.1, XP_006305143.1
OG0000196	CARHR037140	XP_006305145.1
OG0000196	CARHR110490	XP_023641964.1
OG0000197	CARHR272960	XP_023635498.1
OG0000200	CARHR291830, CARHR263700	XP_006279047.1
OG0000200	CARHR101580, CARHR101880, CARHR101530	XP_006300085.1
OG0000201	CARHR097900	XP_023641851.1
OG0000201	CARHR097910	XP_006299354.1
OG0000201	CARHR097890	XP_023641352.1
OG0000202	CARHR092830, CARHR151680	XP_023636091.1
OG0000202	CARHR024770	XP_006299501.1
OG0000203	CARHR201470	XP_006289243.1, XP_006289137.1, XP_006286705.1
OG0000204	CARHR099050	XP_006299227.2, XP_006299488.1, XP_006299438.1, XP_023641253.1, XP_006286744.1, XP_006290121.1, XP_006289053.1, XP_006289972.1
OG0000204	CARHR098530	XP_006296746.1
OG0000204	CARHR097380	XP_006297875.1
OG0000204	CARHR238210	XP_023633756.1
OG0000205	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050	XP_023642400.1
OG0000205	CARHR042520, CARHR042900, CARHR041590, CARHR043210, CARHR037920, CARHR263740, CARHR043200	XP_023638076.1, XP_023637223.1, XP_006304855.1
OG0000205	CARHR219990	XP_023644508.1, XP_023644509.1
OG0000207	CARHR072280, CARHR201930	XP_006300476.1
OG0000207	CARHR180390	XP_023643999.1, XP_006279053.2, XP_006303104.2, XP_006301337.1, XP_006300995.1, XP_006301845.1
OG0000208	CARHR181000	XP_006281509.2
OG0000208	CARHR260330	XP_006285226.1
OG0000208	CARHR247220	XP_006283573.1
OG0000208	CARHR264830	XP_006279822.1, XP_006287519.1, XP_006282055.1, XP_006280314.1, XP_023633561.1
OG0000210	CARHR102810, CARHR103310	XP_006299665.1
OG0000210	CARHR145900	XP_006292794.1
OG0000210	CARHR127190	XP_006295600.1, XP_006296378.1
OG0000210	CARHR127170	XP_006296229.1
OG0000210	CARHR162850	XP_006292602.1
OG0000213	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360	XP_006301868.2
OG0000213	CARHR084950	XP_023642299.1, XP_023641412.1
OG0000213	CARHR292760, CARHR285920	XP_006296372.1, XP_023640523.1, XP_006296383.1, XP_023640521.1, XP_023640517.1, XP_006295774.1, XP_006294243.1, XP_006294239.1
OG0000214	CARHR101750	XP_023636923.1
OG0000214	CARHR250390, CARHR248840, CARHR250400, CARHR250050	XP_006286785.2
OG0000216	CARHR072250	XP_006285650.1
OG0000216	CARHR229000, CARHR229580	XP_006285624.1
OG0000216	CARHR229020	XP_006306137.1
OG0000216	CARHR229730	XP_006285218.1, XP_006286276.1
OG0000217	CARHR284020, CARHR284130, CARHR283760, CARHR283910, CARHR284060	XP_006300342.1
OG0000217	CARHR284070	XP_006300602.2, XP_006301589.1, XP_023643817.1
OG0000217	CARHR283730	XP_006300788.1
OG0000217	CARHR053290	XP_006300757.2
OG0000217	CARHR053930	XP_006300705.1
OG0000218	CARHR015470	XP_006305966.2
OG0000218	CARHR015480	XP_006306087.1
OG0000218	CARHR147290	XP_023638990.1, XP_006291999.1, XP_023638678.1, XP_006291997.1
OG0000218	CARHR144080	XP_006291995.1
OG0000219	CARHR058980	XP_006300988.1, XP_006300969.1, XP_006300929.1, XP_006301393.1
OG0000219	CARHR185210, CARHR185220, CARHR233800	XP_006289962.1, XP_006289044.1, XP_006289259.1, XP_006289630.1
OG0000219	CARHR123060	XP_006293434.1
OG0000219	CARHR266750	XP_006281906.1
OG0000220	CARHR050630, CARHR113370	XP_006303240.1, XP_006293848.1
OG0000220	CARHR050490	XP_023632799.1
OG0000220	CARHR269100	XP_006292443.2, XP_006282024.1
OG0000220	CARHR145120	XP_006292502.1
OG0000222	CARHR063680, CARHR117110, CARHR113140	XP_023644469.1, XP_023633734.1, XP_023637320.1, XP_023633507.1
OG0000224	CARHR071060, CARHR071050	XP_006301754.1
OG0000224	CARHR071040	XP_006302386.1
