Orthogroup	Cardamine_hirsuta	Brassica_rapa
OG0000020	CARHR159320, CARHR180190	XP_033134048.1
OG0000020	CARHR159330, CARHR114460, CARHR266440, CARHR182600, CARHR106310, CARHR116050, CARHR217640, CARHR108030, CARHR289940	XP_033134461.1
OG0000023	CARHR057450	XP_009136778.1, XP_009136797.2
OG0000023	CARHR230660	XP_033143898.1
OG0000023	CARHR230630	XP_009137329.1
OG0000023	CARHR230470, CARHR230480, CARHR230450	XP_009136911.1
OG0000023	CARHR230460	XP_033143991.1
OG0000023	CARHR230510	XP_009139620.1
OG0000023	CARHR230500	XP_009137326.1, XP_009137327.1, XP_009108600.1
OG0000023	CARHR255010	XP_033142132.1
OG0000023	CARHR255080, CARHR264010	XP_009134240.1
OG0000023	CARHR255040	XP_033142038.1
OG0000023	CARHR254870	XP_009108162.1
OG0000023	CARHR254920, CARHR254910, CARHR254880	XP_009108168.1
OG0000023	CARHR230390, CARHR230400	XP_033144191.1
OG0000023	CARHR230300	XP_009114807.1
OG0000023	CARHR230640	XP_009137330.1
OG0000023	CARHR230440	XP_009136791.2
OG0000025	CARHR104940, CARHR242960	XP_009101849.2, XP_033129787.1, XP_033138374.1
OG0000025	CARHR267660, CARHR267520	XP_009127105.2, XP_033140818.1
OG0000025	CARHR242590, CARHR242640, CARHR030090, CARHR030060	XP_009107001.1, XP_033132404.1, XP_033132412.1
OG0000025	CARHR267840	XP_009119972.1
OG0000025	CARHR267700	XP_033140822.1, XP_033140827.1
OG0000025	CARHR244240	XP_018509211.2
OG0000027	CARHR030400	XP_033133295.1
OG0000027	CARHR045190	XP_033132209.1
OG0000027	CARHR062310	XP_009144063.2, XP_033148397.1, XP_018514372.2
OG0000027	CARHR168020, CARHR167830	XP_009116539.1
OG0000028	CARHR153130, CARHR056480	XP_009119478.1
OG0000028	CARHR116610, CARHR153140	XP_009150036.1
OG0000029	CARHR287660	XP_033130775.1
OG0000029	CARHR036950	XP_033145454.1
OG0000030	CARHR285900	XP_033145843.1
OG0000031	CARHR048810, CARHR051050, CARHR049170	XP_009112698.1
OG0000031	CARHR013000	XP_033134453.1
OG0000031	CARHR048220	XP_009112843.1
OG0000031	CARHR196550	XP_009121467.1
OG0000031	CARHR213210	XP_009140073.1
OG0000031	CARHR091960	XP_009114567.1
OG0000031	CARHR234420	XP_009142868.1
OG0000031	CARHR049120	XP_009112701.1
OG0000031	CARHR046360, CARHR046370	XP_009118532.1
OG0000032	CARHR257880	XP_033131812.1, XP_009124182.2, XP_033131802.1, XP_009123813.1, XP_009123814.2, XP_033134289.1, XP_009124453.2, XP_009123343.2, XP_018511422.1, XP_033143388.1, XP_009123579.2, XP_033145294.1
OG0000033	CARHR230270, CARHR230290	XP_009108047.1, XP_009109092.2, XP_009136929.1, XP_009137321.1
OG0000033	CARHR230240	XP_033135404.1
OG0000033	CARHR289950	XP_009137188.1, XP_009134716.1
OG0000033	CARHR106160	XP_009128507.1
OG0000033	CARHR230650, CARHR230570, CARHR230590, CARHR230540, CARHR230620	XP_033143795.1
OG0000033	CARHR230230	XP_009137317.1, XP_009108599.1
OG0000033	CARHR252350	XP_033136442.1
OG0000035	CARHR125800	XP_033147664.1
OG0000035	CARHR054750	XP_009125775.1
OG0000035	CARHR207670	XP_033145289.1
OG0000038	CARHR178840	XP_009137794.1
OG0000040	CARHR223790	XP_033131797.1
OG0000040	CARHR088870	XP_018510426.1, XP_009123103.2, XP_033146117.1, XP_033130762.1, XP_033145302.1, XP_009141585.2
OG0000040	CARHR059990, CARHR060010, CARHR134370	XP_033138328.1, XP_033137984.1, XP_009141814.1
OG0000041	CARHR260230, CARHR034730	XP_033132315.1, XP_009129192.2
OG0000043	CARHR257620	XP_033138761.1
OG0000044	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR057390, CARHR183570, CARHR116100, CARHR107370	XP_033141811.1, XP_033147696.1, XP_009145895.1
OG0000046	CARHR263410	XP_009151130.2, XP_009140101.2
OG0000046	CARHR214340	XP_009140044.1
OG0000046	CARHR059200	XP_033143336.1
OG0000046	CARHR225000, CARHR225010	XP_033142550.1
OG0000046	CARHR214320	XP_033134366.1, XP_009125066.1
OG0000046	CARHR059270, CARHR059250	XP_009127512.1
OG0000046	CARHR059140, CARHR059070, CARHR059130	XP_009105243.1
OG0000046	CARHR059080	XP_009127507.1
OG0000048	CARHR195020	XP_033138094.1, XP_009126234.1, XP_033141462.1, XP_009126236.1, XP_009126230.1, XP_009131625.1, XP_009131629.1, XP_009121030.1, XP_009121023.1, XP_009131631.1
OG0000048	CARHR195040	XP_009131641.1
OG0000052	CARHR002800	XP_009119376.1, XP_009121616.2, XP_009118690.1
OG0000052	CARHR127280	XP_018513039.2
OG0000052	CARHR256260	XP_009142068.2
OG0000053	CARHR148640, CARHR293330, CARHR118340, CARHR151940	XP_033143368.1, XP_033134209.1, XP_033131162.1, XP_033128794.1, XP_033129455.1, XP_033139340.1, XP_009139344.2
OG0000053	CARHR152130, CARHR102470, CARHR286550	XP_033139374.1, XP_033132002.1, XP_033134279.1, XP_033139086.1
OG0000053	CARHR044830	XP_033134217.1
OG0000054	CARHR056490	XP_033142357.1, XP_018510166.2, XP_033133480.1, XP_033147005.1, XP_033139689.1, XP_033136013.1, XP_033134954.1, XP_033139139.1, XP_033133474.1, XP_033146466.1, XP_009142118.2, XP_033146227.1, XP_033142442.1, XP_033147250.1, XP_009146086.3, XP_033133008.1, XP_033145348.1, XP_033133733.1, XP_009116216.2, XP_033134663.1, XP_033142529.1, XP_033131432.1, XP_009113835.2, XP_033144022.1, XP_033129213.1, XP_033128634.1, XP_033135782.1, XP_009130102.2, XP_033129833.1, XP_033136281.1, XP_018514499.2, XP_033135651.1, XP_033144006.1, XP_033145716.1, XP_033142399.1, XP_033140420.1, XP_009137187.2, XP_033131840.1, XP_009151508.2, XP_018509023.2, XP_033138604.1, XP_009117323.1, XP_033134470.1, XP_033147165.1, XP_033131882.1, XP_033142575.1, XP_033136842.1, XP_033144573.1, XP_033132171.1, XP_033130307.1, XP_033147946.1
OG0000055	CARHR155600	XP_009149950.1
OG0000056	CARHR292290	XP_033146751.1
OG0000057	CARHR090170	XP_033148707.1
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	XP_009121596.1, XP_033131219.1
OG0000058	CARHR153550	XP_009105612.1, XP_033148671.1, XP_009125369.1, XP_009133671.1, XP_018509860.1, XP_009138627.1, XP_033136840.1
OG0000061	CARHR264280, CARHR258030	XP_009107884.2, XP_033132815.1, XP_033129160.1, XP_033139711.1, XP_033142712.1, XP_009107885.2, XP_009136781.1
OG0000062	CARHR100910	XP_033138187.1, XP_033145404.1, XP_033140709.1, XP_033132651.1, XP_033140705.1
OG0000064	CARHR247830	XP_009101919.1
OG0000065	CARHR117850	XP_009134880.2
OG0000066	CARHR279310	XP_009125303.1, XP_009114048.1, XP_009110843.1, XP_009131154.1, XP_009129719.2, XP_009112178.1
OG0000068	CARHR153260, CARHR182390	XP_018515237.2, XP_033129317.1, XP_033129319.1, XP_033148603.1, XP_033129460.1
OG0000069	CARHR119500	XP_009130609.1
OG0000073	CARHR290490, CARHR222980, CARHR223500, CARHR223540	XP_009136811.1
OG0000073	CARHR223530	XP_033140521.1
OG0000073	CARHR174840	XP_018512047.1, XP_009134864.2
OG0000073	CARHR116330	XP_009123255.2
OG0000073	CARHR292230	XP_018510070.1
OG0000073	CARHR175090, CARHR175840, CARHR175230	XP_033128241.1
OG0000073	CARHR175260	XP_033136809.1
OG0000074	CARHR023940	XP_033135734.1, XP_009115048.1, XP_009115516.1
OG0000075	CARHR125670, CARHR125660, CARHR124000	XP_018509924.1, XP_033135419.1
OG0000075	CARHR292150, CARHR011460	XP_033135917.1
OG0000075	CARHR099040	XP_009121040.1, XP_009131723.1
OG0000075	CARHR035940	XP_009151202.1, XP_009151204.1
OG0000076	CARHR162490	XP_009115966.1, XP_033146756.1, XP_033146757.1, XP_033146252.1, XP_033145801.1
OG0000076	CARHR065210, CARHR065340, CARHR121130, CARHR148040, CARHR278910, CARHR150860	XP_033139477.1, XP_033135650.1
OG0000076	CARHR148060, CARHR148030, CARHR148020	XP_009152006.1
OG0000077	CARHR247150, CARHR221070, CARHR247140	XP_009101862.1
OG0000079	CARHR051200, CARHR051170	XP_009116566.1
OG0000079	CARHR217330	XP_018509949.2
OG0000079	CARHR186450, CARHR286030, CARHR217340	XP_033130624.1, XP_009104177.1
OG0000080	CARHR270010	XP_009120970.2
OG0000080	CARHR228580	XP_033141091.1, XP_009128582.1
OG0000080	CARHR039590	XP_033137465.1
OG0000080	CARHR123140	XP_033145280.1
OG0000081	CARHR121110	XP_033129328.1
OG0000084	CARHR117220, CARHR116970	XP_033145265.1
OG0000084	CARHR117030, CARHR118620	XP_009134223.1, XP_009140586.1
OG0000084	CARHR117020	XP_033145760.1, XP_033145266.1
OG0000085	CARHR187570	XP_033148503.1
OG0000085	CARHR259820	XP_033136961.1, XP_033133837.1
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750	XP_033135741.1, XP_033136271.1, XP_033135743.1, XP_009124087.2, XP_009124650.2, XP_033135477.1, XP_033135744.1, XP_033135687.1, XP_033136269.1, XP_009124058.2, XP_033135742.1, XP_033136268.1, XP_033136272.1, XP_033135685.1, XP_033135749.1, XP_033135747.1, XP_033135746.1, XP_033136270.1, XP_033135748.1, XP_033134284.1, XP_033134283.1, XP_033135684.1, XP_033135688.1, XP_033135686.1, XP_033134282.1
OG0000087	CARHR189700	XP_009150907.1
OG0000087	CARHR122890	XP_009141007.2, XP_009144365.1
OG0000087	CARHR155480	XP_009149954.2, XP_009150568.2
OG0000087	CARHR200860	XP_009121863.1
OG0000087	CARHR128920	XP_018514901.1
OG0000087	CARHR178800	XP_009123590.1, XP_009113926.1, XP_009101721.2
OG0000087	CARHR227450	XP_009134084.2, XP_009108485.1, XP_009137158.2
OG0000087	CARHR069200	XP_009106234.1
OG0000088	CARHR155720	XP_009150032.2
OG0000088	CARHR192340, CARHR192330	XP_009131797.1, XP_009120802.1
OG0000088	CARHR262970	XP_033147614.1, XP_009143939.1
OG0000089	CARHR203590	XP_009131124.2, XP_033138402.1, XP_009125344.2
OG0000089	CARHR086670	XP_009146646.1
OG0000089	CARHR155270	XP_009150245.1
OG0000090	CARHR020650	XP_009149503.1
OG0000090	CARHR069500	XP_009104691.1, XP_009106248.2, XP_009128146.1
OG0000090	CARHR145500, CARHR145480	XP_033136464.1
OG0000090	CARHR010350	XP_009123589.1
OG0000091	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050	XP_033142439.1, XP_033134834.1, XP_033139200.1, XP_033147182.1, XP_033137728.1, XP_033131051.1, XP_033129377.1, XP_033140597.1, XP_033128916.1, XP_033138753.1, XP_033148509.1, XP_033143363.1
OG0000091	CARHR221560	XP_033137946.1, XP_033148506.1, XP_033132966.1, XP_033137727.1, XP_033133706.1, XP_033130644.1, XP_033138320.1, XP_033134828.1, XP_033135499.1, XP_033134512.1, XP_033147054.1, XP_033129517.1, XP_033143445.1, XP_033146393.1, XP_033143677.1, XP_033139198.1, XP_033136415.1, XP_033134353.1, XP_033138755.1, XP_033141149.1, XP_033143319.1, XP_033128894.1, XP_033130640.1, XP_033143668.1, XP_033141419.1, XP_033133993.1, XP_033137249.1, XP_033138754.1, XP_033138330.1, XP_033140612.1, XP_033147189.1, XP_033129542.1, XP_033138315.1, XP_033143504.1, XP_033133746.1, XP_033148508.1, XP_033143443.1, XP_033129516.1, XP_033146386.1, XP_033143320.1, XP_033141422.1, XP_033137941.1, XP_033130638.1, XP_033134506.1, XP_033137725.1, XP_033138287.1, XP_033147048.1, XP_033133699.1, XP_033141217.1, XP_033145272.1, XP_033147178.1, XP_033129433.1, XP_033138180.1, XP_033133992.1, XP_033147184.1, XP_033139199.1, XP_033143447.1, XP_033140621.1, XP_033134045.1, XP_033138337.1, XP_033143514.1, XP_033129559.1
OG0000093	CARHR168740	XP_009138966.1, XP_009138965.1
OG0000093	CARHR168710	XP_009104131.1
OG0000093	CARHR168640	XP_033131129.1
OG0000096	CARHR145630	XP_033136459.1, XP_033141183.1
OG0000096	CARHR176420	XP_018512146.1
OG0000096	CARHR176910	XP_033139970.1
OG0000097	CARHR252090, CARHR252110	XP_009121666.1
OG0000097	CARHR252130	XP_033140146.1
OG0000098	CARHR052090, CARHR052140, CARHR051470, CARHR052110	XP_009138198.1
OG0000098	CARHR220990, CARHR220970	XP_033133736.1, XP_009148793.2
OG0000098	CARHR012600	XP_033135443.1
OG0000098	CARHR255820	XP_009118104.3
OG0000098	CARHR012590	XP_018510931.2
OG0000098	CARHR220850, CARHR012520	XP_009110666.1
OG0000098	CARHR013070	XP_033134902.1, XP_009118092.2
OG0000099	CARHR046950	XP_033135394.1
OG0000100	CARHR181920, CARHR054690, CARHR054680	XP_033141060.1
OG0000101	CARHR051270, CARHR051250, CARHR051280, CARHR149280, CARHR047170, CARHR047230	XP_033135321.1
OG0000101	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270	XP_009112782.1
OG0000104	CARHR007350	XP_009118428.1
OG0000104	CARHR122140, CARHR122190, CARHR122230, CARHR122240	XP_033145187.1, XP_033131572.1
OG0000104	CARHR039100	XP_033146903.1
OG0000104	CARHR097260	XP_009135746.2
OG0000104	CARHR102140	XP_018514690.2
OG0000104	CARHR122150, CARHR122160	XP_009140956.1
OG0000106	CARHR159090	XP_033146796.1
OG0000106	CARHR248580	XP_033130152.1
OG0000106	CARHR084920	XP_009136113.1
OG0000107	CARHR119260, CARHR119250	XP_033131954.1, XP_009113964.1
OG0000107	CARHR095610	XP_033147102.1
OG0000107	CARHR095650	XP_009140112.1, XP_033142636.1
OG0000107	CARHR095660	XP_018514730.2
OG0000107	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680	XP_009111243.1
OG0000108	CARHR174970	XP_009150964.1
OG0000108	CARHR046250	XP_033144223.1, XP_009137095.2, XP_033143042.1
OG0000108	CARHR000040, CARHR188170	XP_033141220.1
OG0000110	CARHR169600	XP_009104193.2
OG0000110	CARHR169580	XP_009116587.1, XP_018508692.1
OG0000110	CARHR169630	XP_033130960.1
OG0000110	CARHR061850	XP_009104190.1
OG0000111	CARHR214020, CARHR214040	XP_009144883.2
OG0000111	CARHR221770	XP_033136550.1
OG0000111	CARHR221750	XP_033133707.1, XP_033133941.1
OG0000111	CARHR277260	XP_033141227.1
OG0000111	CARHR164880	XP_009116244.2, XP_009116184.2, XP_009116245.1, XP_033137144.1, XP_018510613.1
OG0000113	CARHR256490, CARHR256450, CARHR175630	XP_009113081.1, XP_033135475.1, XP_033135474.1
OG0000113	CARHR047220	XP_033134179.1
OG0000114	CARHR120620	XP_033130500.1
OG0000114	CARHR054550, CARHR054640, CARHR054580	XP_018508210.2
OG0000119	CARHR115250	XP_009139373.1, XP_009111365.1, XP_009123003.1, XP_009130013.1
OG0000120	CARHR285170	XP_033136614.1, XP_033135828.1
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	XP_033133710.1, XP_009107578.2, XP_033128024.1
OG0000120	CARHR208650	XP_009122928.1
OG0000122	CARHR269930	XP_033139821.1
OG0000122	CARHR033430, CARHR033520	XP_018512820.2, XP_033142009.1
OG0000122	CARHR269910, CARHR269890, CARHR031770	XP_033142107.1
OG0000123	CARHR014030	XP_033137383.1
OG0000123	CARHR024520, CARHR027640, CARHR027660, CARHR027650	XP_009109753.1
OG0000123	CARHR233830	XP_009142142.1
OG0000124	CARHR182430	XP_009124883.1
OG0000124	CARHR287060, CARHR146840, CARHR038370, CARHR217450	XP_033147807.1
OG0000124	CARHR183650, CARHR043800, CARHR123710	XP_033130441.1, XP_009107043.1
OG0000125	CARHR190650	XP_009131894.1, XP_009120626.1
OG0000125	CARHR273520	XP_009120513.1
OG0000125	CARHR121850	XP_009133865.1, XP_009103710.2, XP_009140934.1
OG0000127	CARHR211450	XP_033137562.1
OG0000127	CARHR083490	XP_033147907.1
OG0000127	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100	XP_033147889.1, XP_033145685.1
OG0000130	CARHR288220	XP_033139204.1, XP_033139206.1, XP_033130109.1, XP_033139257.1, XP_033139384.1, XP_033139288.1, XP_033139213.1, XP_033139243.1, XP_033139062.1, XP_033148890.1, XP_033139506.1, XP_033139372.1, XP_033139097.1, XP_033139064.1, XP_033143333.1, XP_033139363.1, XP_033138947.1, XP_033139543.1, XP_033139216.1, XP_033139341.1, XP_033139011.1, XP_033139146.1, XP_033139032.1, XP_033139381.1, XP_033138861.1, XP_033141145.1, XP_033131597.1, XP_033132016.1, XP_033139170.1, XP_033138937.1, XP_033138886.1, XP_033139214.1, XP_033141929.1, XP_033146982.1, XP_033130754.1
OG0000131	CARHR150440	XP_033146920.1, XP_033138821.1, XP_033148341.1, XP_033148327.1, XP_033136660.1, XP_033144705.1
OG0000133	CARHR184120	XP_033139533.1, XP_033130755.1, XP_033128569.1, XP_033147093.1, XP_009115089.3, XP_033137203.1
OG0000136	CARHR058600	XP_033130821.1, XP_009132807.1
OG0000136	CARHR214760, CARHR214790	XP_033147599.1
OG0000136	CARHR214860	XP_009135925.1
OG0000136	CARHR214830, CARHR214840	XP_009140166.1
OG0000137	CARHR180340	XP_033137251.1, XP_009144927.1, XP_009139448.1, XP_009145189.1, XP_033139475.1, XP_009150285.1, XP_033144074.1, XP_009103633.1, XP_033128191.1, XP_033146613.1, XP_009144615.1
OG0000137	CARHR261370	XP_033145235.1
OG0000138	CARHR174950	XP_033145245.1
OG0000138	CARHR153120	XP_009129283.2, XP_018515342.1
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	XP_009151767.2
OG0000140	CARHR285410	XP_033142717.1
OG0000140	CARHR272760, CARHR272770, CARHR053670	XP_009126729.2, XP_033141242.1, XP_009126731.2, XP_009145270.2, XP_033141241.1, XP_033141237.1
OG0000140	CARHR285460, CARHR285480	XP_033142716.1, XP_009120430.1
OG0000142	CARHR122560	XP_009133859.1
OG0000142	CARHR122600, CARHR122570, CARHR122580, CARHR119640	XP_033148630.1
OG0000142	CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140	XP_009140985.1, XP_009140992.3
OG0000146	CARHR268710	XP_033144579.1, XP_033139637.1, XP_009127007.2
OG0000146	CARHR268720	XP_009127005.1, XP_009111746.1
OG0000146	CARHR268680	XP_009120051.1, XP_009132642.1
OG0000146	CARHR268700	XP_033138715.1
OG0000146	CARHR268690	XP_009132393.1
OG0000147	CARHR109500	XP_009150710.2
OG0000147	CARHR238090	XP_009109000.1
OG0000147	CARHR271150	XP_033141904.1, XP_009120261.2
OG0000147	CARHR073860	XP_009106729.2, XP_018508569.2
OG0000147	CARHR153650	XP_009128205.1
OG0000147	CARHR104060	XP_018513014.1
OG0000147	CARHR117520	XP_009117122.1
OG0000149	CARHR154830	XP_033129346.1
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	XP_009126677.2, XP_009131982.1, XP_009126681.1
OG0000149	CARHR154780	XP_009150292.1
OG0000150	CARHR114850	XP_033143911.1
OG0000150	CARHR059580, CARHR150110	XP_033139673.1
OG0000150	CARHR150200	XP_009140726.1
OG0000151	CARHR266340	XP_009119874.1
OG0000151	CARHR235660	XP_009144093.1, XP_009109116.1
OG0000151	CARHR082990	XP_009135093.1, XP_009146989.1, XP_009123804.1
OG0000151	CARHR107000	XP_009136334.1, XP_009121200.1
OG0000151	CARHR269520	XP_018510771.1, XP_018512593.2
OG0000151	CARHR046700	XP_009112816.1, XP_009112891.1
OG0000154	CARHR016540	XP_009110463.1, XP_009149047.1
OG0000154	CARHR087080	XP_009120551.1
OG0000154	CARHR000060	XP_009123001.2, XP_009136338.1
OG0000154	CARHR210880	XP_009115390.1, XP_033143098.1, XP_033134270.1
OG0000154	CARHR210890	XP_033137307.1, XP_009122772.2, XP_009122774.3
OG0000155	CARHR234950	XP_009143289.2, XP_009137650.1
OG0000155	CARHR227980	XP_009134691.2
OG0000155	CARHR086560	XP_009135203.2
OG0000155	CARHR227950	XP_009150399.2, XP_009105221.2
OG0000156	CARHR140760, CARHR186310	XP_009142347.1
OG0000156	CARHR140750	XP_018514087.1
OG0000156	CARHR171350	XP_009116769.1
OG0000157	CARHR101220, CARHR133040, CARHR180020	XP_033143226.1
OG0000157	CARHR133050, CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060, CARHR101240	XP_009113644.3, XP_009115539.2, XP_033135169.1, XP_033135170.1, XP_033135012.1, XP_009135990.1, XP_033135900.1
OG0000158	CARHR245230	XP_009104904.1
OG0000161	CARHR275730, CARHR120610, CARHR120240, CARHR120250	XP_009130179.2, XP_009130183.1
OG0000161	CARHR056680, CARHR056760	XP_033145048.1
OG0000161	CARHR056690	XP_009127389.1
OG0000161	CARHR056630, CARHR038520, CARHR038560	XP_033146830.1, XP_033146831.1
OG0000162	CARHR069160, CARHR059610	XP_033134420.1
OG0000162	CARHR170840	XP_009104263.2
OG0000162	CARHR140170	XP_009143082.1
OG0000164	CARHR246960, CARHR224720	XP_033129371.1
OG0000164	CARHR041160, CARHR041170	XP_009109983.2, XP_009109984.2, XP_009127111.1
OG0000164	CARHR185060, CARHR185040	XP_018509849.2
OG0000164	CARHR246950	XP_009109447.1
OG0000164	CARHR175770	XP_009152161.2, XP_033128791.1, XP_009152162.1, XP_009114077.2
OG0000167	CARHR266210, CARHR260280, CARHR226380	XP_009132947.2
OG0000169	CARHR019250	XP_033128100.1, XP_033128105.1
OG0000169	CARHR067380	XP_009140600.1
OG0000171	CARHR172630	XP_033146739.1
OG0000171	CARHR023910	XP_009127800.1, XP_033134622.1, XP_033130273.1, XP_009103171.1
OG0000171	CARHR198650	XP_033137829.1
OG0000172	CARHR169390	XP_033146362.1
OG0000172	CARHR169360	XP_018514555.2
OG0000173	CARHR225750	XP_033146510.1, XP_033141924.1, XP_033144486.1
OG0000173	CARHR150900	XP_033140197.1
OG0000173	CARHR293270	XP_033136537.1
OG0000174	CARHR286250, CARHR105060	XP_033131805.1, XP_033128516.1, XP_033138985.1
OG0000175	CARHR160880	XP_033144807.1, XP_009115809.1
OG0000175	CARHR020570	XP_009110241.1
OG0000175	CARHR243300	XP_009107160.1
OG0000175	CARHR244350	XP_009112460.1, XP_009121076.1, XP_009124572.1
OG0000176	CARHR029830	XP_033130702.1, XP_033139818.1, XP_009140642.2, XP_009129819.1, XP_009129831.2
OG0000180	CARHR264460	XP_033144867.1, XP_033144865.1, XP_033143704.1, XP_009137441.1, XP_018512413.1, XP_009150992.2
OG0000180	CARHR264470	XP_033144869.1
OG0000180	CARHR175440	XP_009105410.1
OG0000186	CARHR184750, CARHR217440	XP_033132090.1
OG0000186	CARHR252010	XP_033133742.1
OG0000186	CARHR128510	XP_033148158.1
OG0000187	CARHR239600	XP_009138031.1, XP_009108912.2
OG0000187	CARHR085640	XP_033142277.1, XP_009135996.2, XP_009146778.2, XP_009146779.1
OG0000189	CARHR246590	XP_009109432.1
OG0000189	CARHR100900	XP_033128749.1, XP_033129164.1
OG0000189	CARHR246290, CARHR146050	XP_033138718.1
OG0000190	CARHR250370	XP_009134310.1
OG0000190	CARHR250360	XP_009134313.1
OG0000190	CARHR252970	XP_009134304.1, XP_009114346.2, XP_033142043.1, XP_009134308.2, XP_033136829.1, XP_033142131.1
OG0000190	CARHR252960	XP_033141427.1, XP_009144510.1
OG0000191	CARHR107430, CARHR293570, CARHR148120, CARHR091830	XP_033136709.1
OG0000191	CARHR106550	XP_033148331.1, XP_033132607.1, XP_033132278.1
OG0000192	CARHR059110	XP_009103301.1
OG0000192	CARHR021680, CARHR116570, CARHR021690, CARHR146970	XP_009149598.1, XP_009149599.2
OG0000192	CARHR054130, CARHR287770, CARHR181950, CARHR021660	XP_033132885.1
OG0000192	CARHR181980, CARHR256500	XP_009149600.1
OG0000193	CARHR096970	XP_033147121.1
OG0000193	CARHR099220	XP_009108226.2, XP_033142187.1, XP_009146097.1, XP_009146095.2, XP_033131842.1
OG0000195	CARHR119300	XP_009140755.1
OG0000195	CARHR166950, CARHR136200	XP_009139073.1
OG0000195	CARHR058380, CARHR215030	XP_009105204.1
OG0000196	CARHR028490	XP_033136326.1
OG0000196	CARHR037140	XP_009109613.1
OG0000200	CARHR291830, CARHR263700	XP_009119459.1
OG0000202	CARHR092830, CARHR151680	XP_033145936.1, XP_009146009.2, XP_009106475.2
OG0000202	CARHR099690, CARHR024770	XP_033136198.1, XP_033143482.1, XP_033132006.1
OG0000203	CARHR078880, CARHR078860	XP_033147068.1, XP_033147041.1
OG0000203	CARHR078870	XP_033134665.1, XP_033135894.1, XP_009124984.2, XP_033137619.1, XP_033136539.1
OG0000203	CARHR201470	XP_033136263.1, XP_033135940.1
OG0000204	CARHR099050	XP_018515099.1, XP_009122925.1, XP_018514914.1, XP_018513505.1, XP_033143227.1, XP_018513498.1
OG0000204	CARHR098530	XP_009135819.1
OG0000204	CARHR097380	XP_033144214.1
OG0000205	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042520, CARHR042900, CARHR041590, CARHR043210, CARHR037920, CARHR263740, CARHR043200, CARHR148260, CARHR265180, CARHR265400, CARHR149520	XP_033132763.1
OG0000207	CARHR072270, CARHR141370	XP_009106592.3
OG0000207	CARHR072300	XP_033132165.1, XP_033128821.1, XP_033129810.1, XP_009151530.2, XP_033129411.1, XP_033128822.1, XP_009106589.1
