Orthogroup	Cardamine_hirsuta	Arabis_alpina
OG0000048	CARHR077930	Aa_G339740.h1.t1
OG0000048	CARHR077950	Aa_G438190.h1.t1, Aa_G339690.h1.t1, Aa_G339750.h1.t1, Aa_G759390.h1.t1
OG0000048	CARHR077910	Aa_G759400.h1.t1, Aa_G339700.h1.t1, Aa_G438200.h1.t1
OG0000048	CARHR195020	Aa_G253630.h1.t1, Aa_G253740.h1.t1
OG0000052	CARHR002800	Aa_G818500.h1.t1, Aa_G818500.h2.t1, Aa_G18920.h1.t1, Aa_G217710.h1.t1
OG0000052	CARHR127280	Aa_G599340.h1.t1
OG0000054	CARHR266430, CARHR150180	Aa_G319750.h1.t1, Aa_G362310.h1.t1
OG0000054	CARHR056490	Aa_G158060.h1.t1
OG0000055	CARHR050320	Aa_G534290.h1.t1
OG0000055	CARHR050060	Aa_G615080.h1.t1
OG0000056	CARHR219260, CARHR049910	Aa_G505780.h1.t1
OG0000057	CARHR111010	Aa_G253800.h1.t1
OG0000057	CARHR092560, CARHR092720	Aa_G659190.h1.t1
OG0000057	CARHR090170	Aa_G507860.h1.t1
OG0000057	CARHR127660, CARHR214390	Aa_G32130.h1.t1
OG0000058	CARHR153550	Aa_G634370.h1.t1, Aa_G7430.h1.t1, Aa_G263310.h1.t1
OG0000062	CARHR100910	Aa_G297760.h1.t1, Aa_G255800.h1.t1
OG0000063	CARHR273260	Aa_G257700.h5.t1
OG0000063	CARHR273610	Aa_G550780.h5.t1, Aa_G805160.h1.t1, Aa_G781680.h1.t1, Aa_G781680.h2.t1
OG0000063	CARHR163630	Aa_G318860.h6.t1
OG0000063	CARHR154290	Aa_G448310.h4.t1
OG0000063	CARHR132050	Aa_G550780.h4.t1
OG0000063	CARHR007630	Aa_G448310.h5.t1
OG0000063	CARHR121870	Aa_G550780.h7.t1, Aa_G257700.h6.t1, Aa_G375890.h6.t1, Aa_G448310.h7.t1
OG0000064	CARHR247830	Aa_G137810.h1.t1
OG0000066	CARHR096450, CARHR058350	Aa_G155110.h1.t1, Aa_G586620.h1.t1, Aa_G266510.h1.t1
OG0000066	CARHR068990	Aa_G486090.h1.t1
OG0000066	CARHR279310	Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1, Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37430.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G37430.h3.t1, Aa_G37430.h2.t1, Aa_G159190.h5.t1, Aa_G37410.h3.t1, Aa_G37410.h4.t1, Aa_G159190.h3.t1, Aa_G19080.h3.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G159180.h4.t1, Aa_G159180.h2.t1, Aa_G19080.h2.t1, Aa_G159180.h5.t1, Aa_G37430.h5.t1, Aa_G19080.h4.t1, Aa_G37410.h1.t1, Aa_G37410.h5.t1
OG0000067	CARHR064230	Aa_G84550.h1.t1, Aa_G389060.h1.t1, Aa_G484910.h1.t1, Aa_G72500.h1.t1
OG0000068	CARHR153260, CARHR182390	Aa_G75180.h1.t1
OG0000071	CARHR082570	Aa_G1110880.h1.t1, Aa_G1110880.h3.t1, Aa_G1110880.h2.t1, Aa_G308060.h1.t1
OG0000071	CARHR183910	Aa_G1008250.h1.t1, Aa_G1008250.h2.t1
OG0000073	CARHR223530	Aa_G645470.h1.t1, Aa_G295880.h1.t1, Aa_G369060.h1.t1
OG0000073	CARHR116350	Aa_G208060.h1.t1
OG0000073	CARHR116330	Aa_G33030.h1.t1
OG0000073	CARHR175070, CARHR176980, CARHR292230, CARHR175060, CARHR175090, CARHR175840, CARHR175230, CARHR175260	Aa_G208070.h1.t1, Aa_G403300.h1.t1, Aa_G89780.h1.t1
OG0000074	CARHR024090	Aa_G931550.h1.t1, Aa_G664190.h1.t1, Aa_G664200.h1.t1, Aa_G293350.h1.t1
OG0000074	CARHR023940, CARHR023950	Aa_G62330.h1.t1
OG0000075	CARHR099040	Aa_G542150.h1.t1
OG0000075	CARHR010330	Aa_G732520.h1.t1
OG0000076	CARHR157840	Aa_G712070.h1.t1
OG0000076	CARHR292090	Aa_G521780.h1.t1
OG0000076	CARHR162490	Aa_G521750.h1.t1
OG0000076	CARHR121130	Aa_G4800.h1.t1
OG0000076	CARHR278910	Aa_G696490.h1.t1
OG0000077	CARHR285960	Aa_G136250.h1.t1
OG0000077	CARHR214110, CARHR146390, CARHR254570, CARHR083750, CARHR103020, CARHR286150, CARHR286180, CARHR286090	Aa_G374870.h1.t1
OG0000077	CARHR247180	Aa_G374840.h1.t1
OG0000078	CARHR151660	Aa_G32020.h1.t1
OG0000079	CARHR111250	Aa_G111830.h1.t1
OG0000079	CARHR169400	Aa_G175840.h1.t1
OG0000079	CARHR051200, CARHR051170	Aa_G175820.h1.t1, Aa_G175780.h1.t1
OG0000079	CARHR217330, CARHR182570, CARHR214210	Aa_G391440.h1.t1, Aa_G724740.h1.t1
OG0000079	CARHR186450, CARHR286030, CARHR217340, CARHR169340	Aa_G175750.h1.t1, Aa_G175760.h1.t1
OG0000080	CARHR215660	Aa_G235680.h1.t1
OG0000080	CARHR228580	Aa_G496010.h1.t1, Aa_G380720.h1.t1
OG0000080	CARHR039590	Aa_G175650.h1.t1
OG0000080	CARHR252580	Aa_G532350.h1.t1
OG0000080	CARHR123140	Aa_G488480.h1.t1, Aa_G386390.h1.t1
OG0000081	CARHR121110, CARHR037410, CARHR037720, CARHR037850, CARHR037710, CARHR040900, CARHR040920, CARHR194900	Aa_G604970.h1.t1
OG0000083	CARHR064660, CARHR291280, CARHR176300	Aa_G319590.h1.t1, Aa_G319580.h1.t1
OG0000083	CARHR099030, CARHR099020	Aa_G729280.h1.t1, Aa_G704230.h1.t1
OG0000083	CARHR118100, CARHR292140, CARHR291340, CARHR118080, CARHR118040	Aa_G21020.h1.t1
OG0000084	CARHR116700	Aa_G271110.h1.t1
OG0000084	CARHR116880, CARHR117860	Aa_G155650.h1.t1
OG0000084	CARHR117030, CARHR118620	Aa_G54460.h1.t1
OG0000085	CARHR259820	Aa_G117940.h1.t1
OG0000087	CARHR189700	Aa_G630880.h1.t1
OG0000087	CARHR122890	Aa_G199760.h1.t1
OG0000087	CARHR200860	Aa_G256660.h1.t1
OG0000087	CARHR128920	Aa_G562810.h1.t1
OG0000087	CARHR178800	Aa_G103150.h1.t1
OG0000087	CARHR227450	Aa_G580380.h1.t1
OG0000087	CARHR069200	Aa_G656110.h1.t1
OG0000088	CARHR156220	Aa_G123680.h1.t1, Aa_G100910.h1.t1
OG0000088	CARHR155720	Aa_G100900.h1.t1, Aa_G100900.h2.t1
OG0000088	CARHR192340, CARHR192330	Aa_G15590.h1.t1
OG0000088	CARHR262970	Aa_G15570.h1.t1
OG0000089	CARHR203590	Aa_G152880.h1.t1
OG0000089	CARHR086670	Aa_G5290.h1.t1
OG0000089	CARHR131960	Aa_G367680.h1.t1
OG0000089	CARHR285740	Aa_G99370.h1.t1
OG0000090	CARHR020650	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000090	CARHR069500	Aa_G410840.h1.t1
OG0000090	CARHR288810	Aa_G349440.h1.t1, Aa_G349450.h1.t1
OG0000090	CARHR145520, CARHR145510, CARHR145500, CARHR145480, CARHR010350	Aa_G171940.h1.t1, Aa_G171950.h1.t1, Aa_G349430.h1.t1, Aa_G171960.h1.t1, Aa_G171980.h1.t1, Aa_G171970.h1.t1
OG0000091	CARHR055470	Aa_G445870.h1.t1
OG0000093	CARHR168740	Aa_G526230.h1.t1
OG0000093	CARHR168730	Aa_G526200.h1.t1, Aa_G526220.h1.t1, Aa_G835690.h1.t1, Aa_G367660.h1.t1
OG0000093	CARHR168710	Aa_G526180.h1.t1
OG0000093	CARHR168640	Aa_G526150.h1.t1, Aa_G526160.h1.t1
OG0000093	CARHR168600	Aa_G627610.h1.t1
OG0000093	CARHR168590, CARHR259860, CARHR168580	Aa_G627630.h1.t1, Aa_G627620.h1.t1
OG0000096	CARHR145650, CARHR145640	Aa_G683270.h1.t1
OG0000096	CARHR177990	Aa_G122040.h1.t1, Aa_G362960.h1.t1
OG0000096	CARHR177040	Aa_G786250.h1.t1, Aa_G786250.h2.t1, Aa_G636230.h1.t1
OG0000097	CARHR252090, CARHR252110	Aa_G132920.h1.t1
OG0000097	CARHR252130	Aa_G233060.h1.t1, Aa_G261510.h1.t1
OG0000097	CARHR252050	Aa_G577800.h1.t1
OG0000097	CARHR252100	Aa_G120830.h1.t1, Aa_G405830.h5.t1, Aa_G405830.h6.t1, Aa_G405830.h4.t1, Aa_G405830.h3.t1, Aa_G405830.h1.t1, Aa_G405830.h2.t1, Aa_G405810.h1.t1
OG0000098	CARHR048210	Aa_G391060.h1.t1, Aa_G391060.h2.t1
OG0000098	CARHR255820	Aa_G193730.h1.t1
OG0000098	CARHR012590	Aa_G366140.h1.t1
OG0000098	CARHR013070	Aa_G193720.h1.t1, Aa_G521440.h1.t1
OG0000099	CARHR046920, CARHR046960, CARHR051260, CARHR051500, CARHR051070	Aa_G647960.h1.t1
OG0000100	CARHR100990	Aa_G527420.h1.t1, Aa_G180200.h1.t1
OG0000101	CARHR051270, CARHR051250, CARHR051280, CARHR149280, CARHR047170, CARHR047230	Aa_G361620.h1.t1, Aa_G361650.h1.t1, Aa_G361610.h1.t1
OG0000101	CARHR047710, CARHR047510, CARHR047730	Aa_G65740.h1.t1, Aa_G65800.h1.t1
OG0000101	CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047470, CARHR047430	Aa_G65770.h1.t1
OG0000101	CARHR047460	Aa_G408910.h1.t1
OG0000104	CARHR007350	Aa_G257560.h1.t1
OG0000104	CARHR122240	Aa_G459870.h1.t1
OG0000104	CARHR039100	Aa_G166390.h1.t1
OG0000106	CARHR093690, CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860, CARHR101790, CARHR101800, CARHR159090, CARHR095220, CARHR092810, CARHR120380	Aa_G32180.h1.t1
OG0000107	CARHR095610	Aa_G115060.h1.t1
OG0000107	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680	Aa_G323960.h1.t1
OG0000108	CARHR188180, CARHR174970	Aa_G539300.h1.t1, Aa_G70590.h1.t1
OG0000108	CARHR000040, CARHR188170	Aa_G539290.h1.t1
OG0000110	CARHR104610, CARHR169590	Aa_G112570.h1.t1
OG0000110	CARHR169600	Aa_G271260.h1.t1
OG0000110	CARHR169580	Aa_G784880.h1.t1
OG0000110	CARHR150810, CARHR169560	Aa_G533500.h1.t1, Aa_G544160.h1.t1, Aa_G430880.h1.t1, Aa_G741430.h1.t1, Aa_G544170.h1.t1, Aa_G430870.h1.t1, Aa_G350840.h1.t1, Aa_G773700.h1.t1
OG0000110	CARHR169570	Aa_G430920.h1.t1, Aa_G469560.h1.t1
OG0000110	CARHR061850	Aa_G271300.h1.t1
OG0000111	CARHR214020, CARHR214040	Aa_G478490.h1.t1, Aa_G110070.h1.t1
OG0000111	CARHR214030	Aa_G110080.h1.t1, Aa_G75250.h1.t1
OG0000111	CARHR221770, CARHR213990, CARHR214010	Aa_G482020.h1.t1, Aa_G601860.h1.t1, Aa_G116920.h1.t1
OG0000111	CARHR277260, CARHR277270	Aa_G75240.h1.t1
OG0000111	CARHR164880	Aa_G482030.h1.t1, Aa_G359110.h1.t1
OG0000113	CARHR256490, CARHR256450, CARHR175630	Aa_G229780.h1.t1, Aa_G302450.h1.t1, Aa_G440640.h1.t1, Aa_G771350.h1.t1, Aa_G201150.h1.t1, Aa_G302440.h1.t1, Aa_G229770.h1.t1, Aa_G165270.h1.t1, Aa_G276580.h1.t1, Aa_G165210.h1.t1
OG0000113	CARHR149270	Aa_G106970.h1.t1, Aa_G65730.h1.t1
OG0000113	CARHR047220	Aa_G616120.h1.t1
OG0000113	CARHR175310, CARHR289490	Aa_G710830.h1.t1
OG0000113	CARHR222460	Aa_G792870.h1.t1
OG0000113	CARHR175180	Aa_G416120.h1.t1
OG0000113	CARHR175270	Aa_G217250.h1.t1, Aa_G224170.h1.t1
OG0000113	CARHR228760	Aa_G117390.h1.t1
OG0000113	CARHR104310	Aa_G339760.h1.t1, Aa_G217260.h1.t1
OG0000114	CARHR294530	Aa_G186190.h1.t1
OG0000114	CARHR078370, CARHR078360	Aa_G332260.h1.t1
OG0000114	CARHR202050	Aa_G753220.h1.t1
OG0000114	CARHR202070	Aa_G17720.h1.t1
OG0000114	CARHR054550, CARHR054640, CARHR054580	Aa_G339770.h1.t1, Aa_G339800.h1.t1, Aa_G339780.h1.t1, Aa_G217290.h1.t1, Aa_G146330.h1.t1, Aa_G146320.h1.t1
OG0000115	CARHR059960, CARHR284490	Aa_G172360.h1.t1
OG0000120	CARHR208650	Aa_G388280.h1.t1
OG0000122	CARHR269930	Aa_G592740.h1.t1
OG0000122	CARHR033430, CARHR033520	Aa_G5880.h1.t1
OG0000122	CARHR269740	Aa_G551010.h1.t1, Aa_G550960.h1.t1
OG0000122	CARHR269910, CARHR269890, CARHR031770	Aa_G247680.h1.t1, Aa_G379610.h1.t1
OG0000122	CARHR036540	Aa_G592750.h1.t1
OG0000122	CARHR036530, CARHR031780	Aa_G592730.h1.t1
OG0000123	CARHR014030, CARHR014040, CARHR024520, CARHR027640, CARHR027660, CARHR027650, CARHR014050, CARHR014060, CARHR049240, CARHR233830, CARHR009210	Aa_G184310.h1.t1, Aa_G43430.h1.t1, Aa_G420330.h1.t1, Aa_G457510.h1.t1
OG0000125	CARHR190650	Aa_G552180.h1.t1
OG0000125	CARHR273520	Aa_G33880.h1.t1
OG0000125	CARHR121850	Aa_G69270.h1.t1
OG0000127	CARHR211440	Aa_G443050.h1.t1, Aa_G443060.h1.t1
OG0000127	CARHR083490	Aa_G101380.h1.t1
OG0000128	CARHR155450	Aa_G830510.h2.t1, Aa_G830510.h1.t1, Aa_G415050.h1.t1
OG0000130	CARHR288220	Aa_G717270.h1.t1, Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1, Aa_G741540.h1.t1
OG0000131	CARHR283860	Aa_G187370.h1.t1, Aa_G173790.h1.t1, Aa_G972050.h1.t1, Aa_G918570.h1.t1, Aa_G327480.h1.t1, Aa_G122790.h1.t1
OG0000132	CARHR217650	Aa_G358570.h1.t1
OG0000132	CARHR101930	Aa_G342720.h1.t1
OG0000136	CARHR058600	Aa_G703520.h1.t1
OG0000136	CARHR214810	Aa_G108450.h1.t1
OG0000136	CARHR214830, CARHR214840	Aa_G483980.h1.t1, Aa_G220980.h1.t1, Aa_G221010.h1.t1, Aa_G221000.h1.t1
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	Aa_G514480.h1.t1, Aa_G105030.h1.t1, Aa_G531570.h1.t1
OG0000140	CARHR285530	Aa_G297060.h1.t1
OG0000140	CARHR285410	Aa_G701760.h1.t1
OG0000140	CARHR285460, CARHR285480	Aa_G650690.h2.t1, Aa_G650690.h1.t1
OG0000142	CARHR122550	Aa_G173900.h1.t1
OG0000142	CARHR122540	Aa_G35530.h1.t1
OG0000146	CARHR268720	Aa_G59090.h1.t1
OG0000146	CARHR268680	Aa_G643480.h1.t1
OG0000146	CARHR268700	Aa_G643460.h1.t1, Aa_G732190.h1.t1
OG0000147	CARHR238090	Aa_G620370.h1.t1
OG0000147	CARHR271150	Aa_G307400.h1.t1
OG0000147	CARHR073860	Aa_G21590.h1.t1
OG0000147	CARHR153650	Aa_G490420.h1.t1
OG0000147	CARHR104060	Aa_G194510.h1.t1
OG0000147	CARHR117520	Aa_G41590.h1.t1
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	Aa_G482950.h1.t1
OG0000149	CARHR273240, CARHR273230, CARHR273250	Aa_G550810.h1.t1, Aa_G550830.h1.t1, Aa_G550790.h1.t1, Aa_G550840.h1.t1
OG0000149	CARHR273160	Aa_G482910.h1.t1, Aa_G28310.h1.t1
OG0000150	CARHR059580, CARHR150110	Aa_G251660.h1.t1
OG0000151	CARHR266340	Aa_G134060.h1.t1
OG0000151	CARHR235660	Aa_G2000.h1.t1
OG0000151	CARHR082990	Aa_G24370.h1.t1
OG0000151	CARHR107000	Aa_G70150.h1.t1
OG0000151	CARHR269520	Aa_G580840.h1.t1
OG0000151	CARHR046700	Aa_G688860.h1.t1, Aa_G135580.h1.t1
OG0000154	CARHR016540, CARHR087080, CARHR083800, CARHR083820, CARHR083810	Aa_G162640.h1.t1, Aa_G280540.h1.t1
OG0000154	CARHR229590, CARHR069350	Aa_G40310.h1.t1
OG0000154	CARHR083850	Aa_G403550.h1.t1
OG0000154	CARHR210880	Aa_G85370.h1.t1
OG0000155	CARHR234950	Aa_G438370.h1.t1
OG0000155	CARHR227980	Aa_G58940.h1.t1
OG0000155	CARHR086560	Aa_G5430.h1.t1
OG0000156	CARHR171330	Aa_G978220.h1.t1
OG0000156	CARHR140730	Aa_G16110.h1.t1
OG0000156	CARHR140760, CARHR186310, CARHR140780, CARHR140790, CARHR140740, CARHR140750	Aa_G16090.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1, Aa_G569190.h1.t1
OG0000158	CARHR245230	Aa_G223250.h1.t1
OG0000158	CARHR104280	Aa_G270230.h1.t1
OG0000161	CARHR275720, CARHR275710, CARHR275730, CARHR120610, CARHR120240, CARHR120250	Aa_G61530.h1.t1, Aa_G716440.h1.t1, Aa_G61470.h1.t1, Aa_G61460.h1.t1
OG0000161	CARHR056630, CARHR038520, CARHR038560	Aa_G323510.h1.t1
OG0000162	CARHR069160, CARHR059610	Aa_G77240.h1.t1
OG0000162	CARHR140170	Aa_G175290.h1.t1
OG0000167	CARHR226380	Aa_G148400.h1.t1
OG0000169	CARHR067550, CARHR067460, CARHR220400, CARHR050360, CARHR067350, CARHR060140, CARHR067390, CARHR067560	Aa_G98930.h1.t1
OG0000169	CARHR067380	Aa_G792200.h1.t1
OG0000169	CARHR053840, CARHR053860, CARHR053850, CARHR067330, CARHR183940, CARHR059840	Aa_G87240.h1.t1
OG0000171	CARHR023910	Aa_G101710.h1.t1
OG0000171	CARHR052550	Aa_G193050.h1.t1
OG0000172	CARHR169320	Aa_G517130.h1.t1, Aa_G154110.h1.t1
OG0000172	CARHR169270	Aa_G175810.h1.t1, Aa_G175800.h1.t1
OG0000172	CARHR169360	Aa_G154170.h1.t1
OG0000173	CARHR036310, CARHR180960, CARHR225740	Aa_G542470.h1.t1
OG0000175	CARHR160880	Aa_G122520.h1.t1
OG0000175	CARHR069390	Aa_G281740.h1.t1
OG0000175	CARHR243300	Aa_G180380.h1.t1
OG0000178	CARHR118730, CARHR216370, CARHR181910, CARHR054120, CARHR111550, CARHR213150, CARHR121910, CARHR035340, CARHR105380, CARHR145030, CARHR124520, CARHR098760	Aa_G20.h1.t1
OG0000180	CARHR264460	Aa_G20960.h1.t1
OG0000181	CARHR110940	Aa_G193030.h1.t1
OG0000187	CARHR239530	Aa_G145050.h1.t1, Aa_G145080.h1.t1
OG0000187	CARHR239600	Aa_G74610.h1.t1, Aa_G662460.h1.t1
OG0000187	CARHR085640	Aa_G333270.h1.t1, Aa_G333280.h1.t1
OG0000189	CARHR132630	Aa_G187960.h1.t1, Aa_G187970.h1.t1, Aa_G139550.h1.t1
OG0000190	CARHR253020	Aa_G320630.h1.t1
OG0000190	CARHR259510	Aa_G320670.h1.t1
OG0000192	CARHR059110	Aa_G507530.h1.t1
OG0000192	CARHR054130, CARHR287770, CARHR181950, CARHR021660	Aa_G60820.h1.t1, Aa_G835800.h1.t1
OG0000195	CARHR166950, CARHR136200	Aa_G88530.h1.t1, Aa_G562480.h2.t1
OG0000195	CARHR058380, CARHR215030	Aa_G505900.h1.t1
OG0000196	CARHR037160	Aa_G695630.h1.t1
OG0000196	CARHR028740	Aa_G152770.h1.t1
OG0000196	CARHR037130	Aa_G689010.h1.t1
OG0000197	CARHR037370	Aa_G584620.h1.t1
OG0000197	CARHR272960	Aa_G631990.h1.t1, Aa_G961810.h1.t1, Aa_G974030.h1.t1
OG0000197	CARHR253110	Aa_G493540.h1.t1
OG0000200	CARHR217360, CARHR291830, CARHR263700, CARHR005450, CARHR291820, CARHR101580, CARHR101880, CARHR101530	Aa_G462040.h1.t1
OG0000201	CARHR097880	Aa_G456930.h1.t1, Aa_G315780.h1.t1
OG0000203	CARHR078880, CARHR078860	Aa_G462700.h1.t1
OG0000203	CARHR201470	Aa_G606990.h1.t1
OG0000204	CARHR044120	Aa_G29610.h1.t1
OG0000205	CARHR148260, CARHR265180, CARHR265400, CARHR149520	Aa_G296310.h1.t1
OG0000207	CARHR072270	Aa_G335450.h1.t1, Aa_G458000.h1.t1, Aa_G109260.h1.t1
OG0000207	CARHR141370	Aa_G335440.h1.t1
OG0000210	CARHR127190	Aa_G363640.h1.t1
OG0000213	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360	Aa_G37930.h1.t1
OG0000213	CARHR084950	Aa_G302900.h1.t1, Aa_G586970.h1.t1, Aa_G586960.h1.t1, Aa_G586940.h1.t1
OG0000213	CARHR292800, CARHR292790	Aa_G317530.h1.t1, Aa_G278650.h1.t1
OG0000214	CARHR250390, CARHR248840, CARHR250400, CARHR250050	Aa_G296350.h1.t1, Aa_G180050.h1.t1, Aa_G99550.h1.t1, Aa_G191580.h1.t1, Aa_G53200.h1.t1, Aa_G53180.h2.t1, Aa_G53180.h1.t1, Aa_G53180.h3.t1, Aa_G77280.h1.t1, Aa_G548600.h1.t1
OG0000216	CARHR283650, CARHR229570	Aa_G371080.h1.t1
OG0000217	CARHR284020, CARHR284130, CARHR283760, CARHR283910, CARHR284060, CARHR284070, CARHR058170, CARHR123300	Aa_G323330.h1.t1
OG0000218	CARHR015470	Aa_G328840.h1.t1
OG0000218	CARHR015480	Aa_G272200.h1.t1
