Orthogroup	Cardamine_hirsuta	Noccaea_praecox
OG0000027	CARHR062310	Np004G215070
OG0000027	CARHR168020, CARHR167830	Np001G057950, Np001G057940
OG0000028	CARHR153130	Np003G168060, Np003G175100
OG0000028	CARHR056480	Np002G106380
OG0000028	CARHR116610, CARHR153140	Np006G356860
OG0000029	CARHR176810, CARHR154270	Np011G435770, Np011G435790, Np004G206740, Np004G225200, Np001G048900
OG0000029	CARHR287350	Np001G034960, Np004G225420
OG0000029	CARHR287660	Np003G172500
OG0000029	CARHR006250	Np007G394270
OG0000029	CARHR036950	Np003G167270
OG0000029	CARHR213600	Np003G172510
OG0000030	CARHR181500	Np004G229860, Np003G173700
OG0000030	CARHR116060	Np002G096140, Np004G216100
OG0000030	CARHR260310, CARHR154720	Np006G330890
OG0000031	CARHR013000, CARHR012910	Np004G244900
OG0000031	CARHR213210	Np005G318980
OG0000032	CARHR257880	Np002G100550
OG0000033	CARHR230270, CARHR230290	Np005G284050, Np005G284060
OG0000033	CARHR230320, CARHR230240, CARHR055320	Np005G283960, Np005G284080
OG0000033	CARHR230230	Np005G284160
OG0000035	CARHR207670	Np002G092640, Np006G364470
OG0000035	CARHR042940, CARHR261700, CARHR261660, CARHR171660, CARHR219280, CARHR171670, CARHR219290, CARHR127720	Np005G313520
OG0000038	CARHR141500	Np002G077050, Np002G071470, Np002G072440, Np002G074050, Np002G074120, Np002G072020
OG0000038	CARHR265450	Np003G157800
OG0000038	CARHR174900, CARHR175950	Np005G270740, Np005G270650, Np005G270700
OG0000040	CARHR025790, CARHR162370	Np001G009070
OG0000040	CARHR223790, CARHR158530, CARHR088850	Np004G224970, Np004G224940
OG0000040	CARHR088870	Np007G407000
OG0000040	CARHR026350, CARHR095910, CARHR149840, CARHR088860, CARHR289440	Np004G224990
OG0000041	CARHR260230, CARHR034730	Np006G342650
OG0000044	CARHR286710, CARHR217190, CARHR273180, CARHR150330, CARHR152970, CARHR258020, CARHR104690, CARHR159300, CARHR215510, CARHR037550, CARHR118760, CARHR057390, CARHR183570, CARHR116100, CARHR107370	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850
OG0000046	CARHR263410	Np005G314650
OG0000046	CARHR214350, CARHR214340	Np005G313240
OG0000046	CARHR059200	Np002G093730
OG0000046	CARHR225000, CARHR225010	Np005G292150
OG0000046	CARHR214320	Np007G386460
OG0000048	CARHR077940	Np007G421470
OG0000048	CARHR195020	Np003G145480, Np003G145420
OG0000052	CARHR002800	Np004G255200, Np007G384340, Np003G131270, Np003G131300, Np003G131610, Np004G236020, Np004G259320, Np007G384920
OG0000052	CARHR260850	Np002G116290, Np002G116590
OG0000052	CARHR127280	Np006G328590, Np006G328570, Np006G328580
OG0000052	CARHR137550, CARHR137540	Np003G173020
OG0000052	CARHR256260	Np006G328390, Np006G328410, Np006G328470
OG0000053	CARHR152130, CARHR102470, CARHR286550	Np006G348630, Np005G304720, Np005G288880, Np007G395450, Np003G166680, Np003G167380, Np005G287740
OG0000053	CARHR044830	Np001G040210, Np005G311290, Np006G327430
OG0000054	CARHR266430, CARHR150180	Np007G389250
OG0000054	CARHR056490	Np005G282410, Np004G256130, Np006G347850
OG0000055	CARHR155600	Np001G046730
OG0000055	CARHR050310	Np002G083070
OG0000055	CARHR050060	Np002G119400
OG0000055	CARHR049980, CARHR050290, CARHR050280, CARHR050160	Np002G119520, Np002G119220, Np002G119170
OG0000056	CARHR219260, CARHR049910	Np001G021440, Np007G403430, Np004G213540, Np006G359220, Np006G348260, Np006G354660
OG0000057	CARHR107830, CARHR108270, CARHR149830, CARHR094260, CARHR108260, CARHR108320, CARHR108330, CARHR135370, CARHR108730	Np007G375320
OG0000057	CARHR090170	Np007G398210, Np010G435080, Np007G401600
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	Np006G333600, Np006G333860, Np003G187520
OG0000058	CARHR154060	Np001G038390, Np006G352050, Np005G294870
OG0000058	CARHR153550	Np001G012910, Np001G012900, Np001G012880, Np004G225930, Np004G243520, Np006G359730, Np001G037410
OG0000061	CARHR217030	Np004G218870, Np004G219580, Np004G218830, Np007G398820
OG0000062	CARHR100910	Np003G173970, Np003G170000
OG0000063	CARHR132050	Np006G337020
OG0000063	CARHR007630	Np003G152670, Np004G251810
OG0000063	CARHR121870	Np001G046020
OG0000064	CARHR247830	Np005G260880
OG0000064	CARHR020490	Np004G235840
OG0000065	CARHR184170	Np003G168940
OG0000066	CARHR246640, CARHR246630, CARHR069000, CARHR096450, CARHR058350, CARHR068990, CARHR202310	Np005G262320
OG0000066	CARHR202910	Np003G136700
OG0000066	CARHR279310	Np004G250000, Np004G250510, Np003G136710
OG0000067	CARHR064230	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140, Np003G155590
OG0000068	CARHR153260, CARHR182390	Np002G089430
OG0000068	CARHR216710	Np002G105990, Np001G038360, Np002G099110, Np002G113430, Np005G283070
OG0000069	CARHR119500	Np003G152400
OG0000071	CARHR082570	Np001G013290
OG0000074	CARHR024090	Np004G229960
OG0000074	CARHR024100	Np004G229890
OG0000074	CARHR024030, CARHR024020, CARHR024000	Np003G180910, Np003G184200
OG0000075	CARHR119930, CARHR292150, CARHR011460, CARHR099040	Np007G378600
OG0000075	CARHR035940	Np004G233640
OG0000076	CARHR121130	Np007G423950
OG0000076	CARHR148060, CARHR148030, CARHR148020	Np001G021860
OG0000077	CARHR214110, CARHR146390, CARHR254570, CARHR083750, CARHR103020, CARHR286150, CARHR286180, CARHR286090	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490
OG0000077	CARHR247150, CARHR221070, CARHR247140	Np005G261720
OG0000079	CARHR111250	Np007G422670
OG0000079	CARHR169400	Np001G064140
OG0000080	CARHR215660	Np006G334220
OG0000080	CARHR270010	Np006G321280, Np006G321720, Np003G146070, Np004G250430
OG0000080	CARHR039590	Np003G179540, Np002G124540
OG0000080	CARHR151510, CARHR219570	Np002G124500, Np002G124510
OG0000080	CARHR123150, CARHR123070	Np005G318150, Np005G318140
OG0000080	CARHR123140	Np004G240560, Np006G328080
OG0000081	CARHR121110	Np001G010770
OG0000081	CARHR194900	Np003G145640
OG0000083	CARHR118100, CARHR292140, CARHR291340, CARHR118080, CARHR118040	Np007G418940
OG0000084	CARHR116880, CARHR117860	Np006G364930
OG0000084	CARHR116710, CARHR116720	Np006G364960
OG0000084	CARHR117030, CARHR118620	Np006G365060, Np006G365040
OG0000084	CARHR116910, CARHR116940	Np006G365050, Np006G365420
OG0000084	CARHR117020	Np006G364950
OG0000087	CARHR189700	Np001G010980
OG0000087	CARHR122890	Np006G350150, Np008G428160
OG0000087	CARHR200860	Np003G139100
OG0000087	CARHR178800	Np001G039930
OG0000087	CARHR227450	Np005G287110
OG0000087	CARHR069200	Np002G077440
OG0000088	CARHR192340, CARHR192330	Np003G148700, Np003G148740
OG0000088	CARHR262970	Np001G052870
OG0000089	CARHR203590	Np003G136030
OG0000089	CARHR094190	Np007G395030
OG0000089	CARHR086670	Np007G409340
OG0000089	CARHR131960	Np006G336940
OG0000089	CARHR285740	Np001G046210
OG0000089	CARHR155270	Np003G153120
OG0000090	CARHR020650	Np004G235330
OG0000090	CARHR069500	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610
OG0000090	CARHR288810	Np007G385680, Np001G065320, Np001G065030
OG0000090	CARHR010350	Np007G389920
OG0000091	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050	Np003G165480
OG0000093	CARHR168740	Np001G063230
OG0000093	CARHR168730, CARHR168630, CARHR103160, CARHR103150, CARHR219320	Np001G005730
OG0000093	CARHR168690	Np001G063180
OG0000096	CARHR145650, CARHR145640	Np001G024770
OG0000096	CARHR054510	Np002G112010, Np002G112580
OG0000096	CARHR158180, CARHR054500	Np002G112530
OG0000096	CARHR112200	Np001G034870
OG0000096	CARHR177990	Np001G038620
OG0000096	CARHR176910	Np001G038130
OG0000097	CARHR252090, CARHR252110	Np003G185010
OG0000097	CARHR252050	Np003G171600
OG0000097	CARHR252100, CARHR252070	Np003G185030
OG0000098	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830, CARHR048210, CARHR049300	Np002G116580
OG0000099	CARHR046920	Np002G123560, Np004G228320
OG0000099	CARHR046950	Np002G123530, Np004G215470
OG0000099	CARHR046930	Np002G121140
OG0000100	CARHR100990	Np004G233090, Np003G158140
OG0000100	CARHR181920, CARHR054690, CARHR054680	Np002G083340
OG0000100	CARHR101000	Np002G096510, Np006G363460
OG0000101	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270	Np002G111340
OG0000101	CARHR047710	Np002G122780
OG0000101	CARHR047060	Np002G123180
OG0000104	CARHR007350	Np004G251930
OG0000104	CARHR122140	Np006G360060
OG0000104	CARHR122240	Np006G360100
OG0000104	CARHR039100	Np004G195160
OG0000104	CARHR097260	Np007G381330
OG0000104	CARHR122150, CARHR122160	Np006G360090
OG0000106	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860	Np004G196300, Np004G195520, Np004G194580, Np004G195510, Np004G198890, Np002G119250, Np004G196880, Np007G381350, Np007G382790, Np007G382780, Np007G380200, Np007G390640, Np007G381560, Np007G381660, Np002G078930, Np002G078330
OG0000106	CARHR159090	Np007G372640
OG0000107	CARHR119260, CARHR119250	Np007G398440, Np007G418450
OG0000107	CARHR095650, CARHR095640, CARHR095620, CARHR055760	Np007G398420
OG0000108	CARHR253270	Np002G099090, Np002G099030, Np002G099040
OG0000108	CARHR174970	Np001G011650, Np001G011550
OG0000108	CARHR046250	Np004G259470
OG0000108	CARHR000040, CARHR188170	Np005G305310, Np001G011560
OG0000109	CARHR116840	Np004G230420
OG0000110	CARHR169600	Np001G064490
OG0000110	CARHR169580	Np001G064470
OG0000110	CARHR169630	Np001G064520
OG0000110	CARHR169570	Np001G064450
OG0000110	CARHR061850	Np001G064540
OG0000111	CARHR214020, CARHR214040	Np005G311780, Np005G313710, Np005G313720, Np005G313730
OG0000111	CARHR214030	Np005G313680, Np001G006020
OG0000111	CARHR221770	Np001G006010
OG0000111	CARHR277260	Np001G006030
OG0000111	CARHR164880	Np001G058370
OG0000112	CARHR042770, CARHR016560, CARHR187420, CARHR283690, CARHR181490, CARHR181480, CARHR274670, CARHR274650, CARHR274680	Np003G184320
OG0000113	CARHR256490, CARHR256450, CARHR175630	Np007G416190
OG0000113	CARHR149270, CARHR055020, CARHR047480, CARHR047200, CARHR047160, CARHR047260, CARHR262020, CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050	Np002G122980
OG0000113	CARHR047220	Np002G123190
OG0000113	CARHR175790, CARHR175830, CARHR174830	Np002G089300
OG0000113	CARHR175110, CARHR175150, CARHR175080, CARHR178690, CARHR116320, CARHR292210	Np002G089320
OG0000114	CARHR202050	Np003G137830
OG0000118	CARHR148290	Np001G044480, Np005G313880
OG0000119	CARHR115250	Np007G421930, Np004G214240, Np005G280390, Np004G237460, Np004G208260
OG0000119	CARHR292260, CARHR102990	Np002G102980
OG0000120	CARHR285170	Np002G117060, Np002G116940
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	CARHR208650	Np003G129250
OG0000122	CARHR033430, CARHR033520	Np003G157760
OG0000122	CARHR269740, CARHR129080, CARHR269910, CARHR269890, CARHR031770, CARHR036540	Np001G056320
OG0000123	CARHR014030	Np003G131420
OG0000123	CARHR014050	Np004G243230
OG0000123	CARHR233830	Np005G279480
OG0000125	CARHR163570	Np001G056500
OG0000125	CARHR210790	Np003G126800
OG0000125	CARHR190650	Np003G151060
OG0000125	CARHR273520	Np003G152340
OG0000125	CARHR121850	Np006G359820
OG0000127	CARHR083490	Np007G413710
OG0000131	CARHR150440, CARHR283860, CARHR283870, CARHR035130, CARHR286300, CARHR258830, CARHR148220, CARHR118270, CARHR287300	Np003G174400
OG0000132	CARHR217650	Np003G171960, Np005G310370, Np003G146020
OG0000132	CARHR101930	Np004G192110, Np001G023710
OG0000136	CARHR058600	Np002G086710
OG0000136	CARHR214760, CARHR214790	Np005G312700
OG0000136	CARHR214860	Np005G302230
OG0000136	CARHR214810	Np005G312640
OG0000136	CARHR272990	Np002G095000
OG0000137	CARHR180340	Np007G418300, Np006G322470, Np001G014280, Np002G106500, Np001G031670, Np006G341350, Np005G298930
OG0000137	CARHR261370	Np005G318010
OG0000138	CARHR113950	Np002G085260
OG0000138	CARHR153120	Np001G018700
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	Np002G085240, Np002G085270, Np002G085250
OG0000140	CARHR285530	Np003G153340
OG0000140	CARHR285410	Np003G153440
OG0000140	CARHR272760, CARHR272770, CARHR053670	Np003G153920
OG0000140	CARHR272750	Np003G153420
OG0000140	CARHR285460, CARHR285480	Np003G153430, Np007G424390, Np003G153390
OG0000142	CARHR122600, CARHR122570, CARHR122580, CARHR119640	Np006G360490
OG0000146	CARHR268710	Np003G160050
OG0000146	CARHR268720	Np003G160040
OG0000146	CARHR268680	Np003G160230
OG0000146	CARHR268700	Np003G160060, Np003G160140, Np003G160190
OG0000146	CARHR268690	Np003G160200
OG0000147	CARHR238090	Np005G273990
OG0000147	CARHR271150	Np003G156060
OG0000147	CARHR073860	Np002G071170
OG0000147	CARHR153650	Np001G043050
OG0000147	CARHR104060	Np007G389960
OG0000149	CARHR154790, CARHR154820	Np001G046040
OG0000149	CARHR154830	Np001G046110
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	Np003G152730
OG0000149	CARHR273240, CARHR273230, CARHR273250	Np003G152680
OG0000149	CARHR154780	Np001G046030
OG0000150	CARHR118700, CARHR273840	Np003G183630
OG0000150	CARHR207890, CARHR143200	Np001G049320
OG0000151	CARHR266340	Np003G164170
OG0000151	CARHR235660	Np005G277020
OG0000151	CARHR107000	Np007G376880
OG0000151	CARHR269520	Np003G158280
OG0000151	CARHR046700	Np002G123910
OG0000154	CARHR016540	Np004G240190
OG0000154	CARHR087080	Np007G408850
OG0000154	CARHR229590, CARHR069350	Np006G330440
OG0000154	CARHR083850	Np007G413420
OG0000154	CARHR210880	Np003G126710
OG0000154	CARHR210890	Np003G126700, Np003G127150, Np002G112020
OG0000155	CARHR234950	Np004G218540
OG0000155	CARHR227980	Np005G287960
OG0000155	CARHR086560	Np007G409550
OG0000155	CARHR227950	Np005G287400, Np007G412670
OG0000156	CARHR171330	Np001G066040
OG0000156	CARHR140730	Np006G324150
OG0000156	CARHR140750	Np006G324140
OG0000157	CARHR102680	Np006G338300, Np004G199240, Np002G078620
OG0000158	CARHR210870	Np005G286690, Np005G286640, Np003G129260
OG0000158	CARHR245230	Np001G070050
OG0000158	CARHR113640	Np002G081190
OG0000158	CARHR150520	Np002G090980, Np002G081180
OG0000158	CARHR104280	Np002G081170
OG0000161	CARHR275730, CARHR120610, CARHR120240, CARHR120250	Np001G008600
OG0000161	CARHR056690	Np005G311810
OG0000161	CARHR056630, CARHR038520, CARHR038560	Np002G086610
OG0000162	CARHR170840	Np001G066230
OG0000162	CARHR057970	Np002G116280
OG0000162	CARHR140170	Np006G324990
OG0000164	CARHR041160, CARHR041170	Np005G261970
OG0000164	CARHR175770	Np001G024440
OG0000167	CARHR226380	Np005G289610
OG0000169	CARHR053840	Np002G113130
OG0000171	CARHR142560	Np006G321770, Np001G068570
OG0000171	CARHR052550	Np004G248080
OG0000171	CARHR198650	Np003G141590
OG0000172	CARHR053570	Np001G064170
OG0000174	CARHR218440	Np007G396640
OG0000174	CARHR286250	Np004G217810
OG0000174	CARHR105060	Np009G430530, Np002G103530, Np004G220900, Np010G432780
OG0000175	CARHR160880	Np007G375370, Np001G053050
OG0000175	CARHR069390	Np002G077280
OG0000175	CARHR020570	Np004G235400
OG0000175	CARHR244350	Np005G267520
OG0000176	CARHR029830	Np006G335040, Np003G145060
OG0000177	CARHR150970	Np007G404410, Np007G403560
OG0000178	CARHR216370	Np002G124800
OG0000180	CARHR264470	Np005G291320
OG0000184	CARHR157490, CARHR154180, CARHR181110	Np002G106510
OG0000186	CARHR184750, CARHR217440	Np004G215560, Np002G108280
OG0000186	CARHR184740, CARHR217430	Np030G439830, Np030G439990, Np006G348040
OG0000186	CARHR103200	Np006G361310
OG0000186	CARHR098000, CARHR034340	Np005G292910
OG0000186	CARHR252010	Np001G026290
OG0000186	CARHR217460, CARHR149350, CARHR289900, CARHR290850, CARHR034350, CARHR144860	Np002G117100
OG0000187	CARHR239530	Np005G271570
OG0000187	CARHR239600	Np005G271420
OG0000189	CARHR246590	Np005G262130
OG0000189	CARHR246290, CARHR146050	Np001G019990
OG0000190	CARHR250370	Np003G183500
OG0000190	CARHR250360	Np003G183510
OG0000190	CARHR252960	Np003G183410, Np003G183480
OG0000191	CARHR091820	Np007G391150, Np007G391080
OG0000191	CARHR106550	Np007G392820
OG0000192	CARHR181970	Np002G086820, Np007G389770, Np002G076020
OG0000193	CARHR099220	Np007G384080, Np007G384380, Np007G387690
OG0000193	CARHR097030	Np007G380880
OG0000195	CARHR119300	Np006G361540
OG0000195	CARHR058380	Np005G312480
OG0000196	CARHR037160	Np004G214150, Np004G214340
OG0000196	CARHR028740	Np004G212030
OG0000196	CARHR037140	Np004G214160, Np004G214310, Np003G165460
OG0000197	CARHR123890, CARHR037380	Np001G016100
OG0000200	CARHR291830, CARHR263700	Np004G254580
OG0000201	CARHR103600	Np007G382910, Np007G382430
OG0000203	CARHR078890	Np007G420270
OG0000203	CARHR078870	Np007G420280, Np004G195540
OG0000203	CARHR201470	Np007G420850
OG0000204	CARHR044120	Np005G302460, Np006G366470
OG0000204	CARHR097380	Np007G381450
OG0000205	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050, CARHR042520, CARHR042900, CARHR041590, CARHR043210, CARHR037920, CARHR263740, CARHR043200, CARHR148260, CARHR265180, CARHR265400, CARHR149520	Np004G252280
OG0000205	CARHR219990	Np001G056450, Np004G200620, Np004G227010
OG0000207	CARHR072270, CARHR141370	Np002G073040
OG0000207	CARHR072290	Np002G073080
OG0000207	CARHR017450	Np002G073110, Np002G073100
OG0000210	CARHR145920	Np001G024450
OG0000210	CARHR127190	Np006G357820
OG0000210	CARHR162850	Np004G205190
OG0000213	CARHR084950	Np005G312500
OG0000213	CARHR292800, CARHR292790	Np006G368010
OG0000214	CARHR101750, CARHR250390, CARHR248840, CARHR250400, CARHR250050	Np003G186320, Np003G186260
OG0000216	CARHR072250	Np005G286040, Np005G286010, Np005G285980, Np005G286120, Np005G286080
OG0000216	CARHR229000	Np005G314870
OG0000216	CARHR229020, CARHR229730	Np006G361190
OG0000216	CARHR229570	Np005G274090
OG0000218	CARHR015470	Np004G241490
OG0000218	CARHR015480	Np004G241460
OG0000218	CARHR147290	Np005G283350
OG0000218	CARHR144080	Np001G027310
OG0000219	CARHR277080	Np003G187720, Np001G006210, Np001G006190, Np001G008170
OG0000219	CARHR266750	Np001G006200, Np001G008160, Np001G006180
OG0000220	CARHR147550, CARHR269160, CARHR269100	Np003G158780
OG0000222	CARHR063680, CARHR117110, CARHR113140	Np001G027170, Np002G091350, Np003G181880, Np001G027180, Np001G036270, Np003G167420
OG0000222	CARHR218360	Np001G021650, Np005G303660, Np001G029320, Np003G141180, Np001G063040, Np006G365120, Np007G404090, Np004G194850, Np004G215680, Np004G233330, Np003G165700, Np005G311760, Np007G390900, Np004G194840, Np005G309420, Np004G212790, Np001G029240, Np006G365130, Np001G027190, Np003G175170, Np006G322380, Np001G023650, Np005G318440, Np007G420490
OG0000224	CARHR048360, CARHR048350, CARHR048370	Np002G121630, Np002G121680, Np002G121650, Np002G121690
OG0000225	CARHR028850, CARHR028820, CARHR028900, CARHR028880, CARHR028810	Np004G212520
OG0000225	CARHR028830	Np004G212510
OG0000226	CARHR279920	Np001G068820, Np001G002660, Np001G003000
OG0000226	CARHR087530, CARHR087540, CARHR160050, CARHR160040, CARHR028040	Np004G243800, Np004G243970, Np004G243900, Np001G063350, Np001G063340
OG0000228	CARHR185670	Np004G230940
OG0000228	CARHR292540	Np004G230880
OG0000228	CARHR064120	Np002G084440
OG0000228	CARHR064090, CARHR064100	Np002G084540
OG0000228	CARHR064110	Np002G084530
OG0000229	CARHR215270, CARHR251110	Np004G245990, Np004G246960, Np004G247090, Np004G247150, Np004G246980
OG0000229	CARHR237670	Np005G309490
OG0000229	CARHR163030	Np007G377500, Np007G377590, Np006G330770
OG0000230	CARHR069290, CARHR069250	Np002G077370
OG0000230	CARHR216400, CARHR216420	Np001G017180, Np001G016820, Np002G077300
OG0000230	CARHR069370	Np002G077290
OG0000231	CARHR213950, CARHR041780, CARHR214130	Np003G174440
OG0000231	CARHR056340, CARHR220460, CARHR059750	Np004G203320
OG0000232	CARHR080100, CARHR085660, CARHR105520, CARHR105540, CARHR105470, CARHR039350, CARHR105510	Np006G352410, Np006G352420
OG0000234	CARHR165120	Np001G058680
OG0000234	CARHR165110	Np001G058670
OG0000234	CARHR134140	Np006G333910
OG0000234	CARHR199860	Np003G140390
OG0000235	CARHR031310, CARHR091810	Np004G217630
OG0000235	CARHR091800, CARHR036940, CARHR031320	Np007G391330
OG0000236	CARHR000080, CARHR100230, CARHR102630	Np007G382490
OG0000236	CARHR260580	Np003G177320
OG0000242	CARHR066550, CARHR066560, CARHR014480, CARHR036430	Np004G242740
OG0000244	CARHR228610	Np005G286400
OG0000244	CARHR107520	Np003G183740
OG0000247	CARHR085700, CARHR085710	Np002G120130, Np002G120100, Np002G120120, Np002G120110
OG0000248	CARHR054340	Np002G112170
OG0000248	CARHR166590	Np001G048790
OG0000249	CARHR131180, CARHR131170	Np003G177600, Np006G338400
OG0000249	CARHR131140, CARHR131130, CARHR131160, CARHR131150	Np005G309230
OG0000250	CARHR215600	Np005G261040
OG0000250	CARHR263070, CARHR263080	Np002G086000
OG0000252	CARHR100570, CARHR100650	Np004G205500
OG0000253	CARHR115150	Np003G170230
OG0000254	CARHR093470, CARHR093450	Np007G383010
OG0000254	CARHR135220, CARHR117790	Np001G046190
OG0000257	CARHR102040, CARHR102030, CARHR220080, CARHR041320, CARHR216070, CARHR112870, CARHR219950, CARHR216060, CARHR057800, CARHR216110	Np007G377760
OG0000258	CARHR147300	Np001G022690
OG0000258	CARHR271060	Np003G156210
OG0000258	CARHR147330	Np001G049130, Np001G022660, Np001G022680
OG0000260	CARHR118070, CARHR209970	Np005G316660
OG0000264	CARHR252330, CARHR252290, CARHR251320	Np003G185830
OG0000264	CARHR251330	Np003G185810, Np003G185770, Np003G185800
OG0000265	CARHR285950, CARHR256150, CARHR177480	Np005G294290
OG0000266	CARHR265190	Np003G177610, Np001G046580
OG0000266	CARHR119130	Np001G053260, Np001G053250
OG0000266	CARHR167770	Np002G082150
OG0000268	CARHR144670	Np001G026200
OG0000268	CARHR211500	Np003G125800
OG0000268	CARHR164050	Np001G057220
OG0000269	CARHR029720	Np005G282190, Np007G405090
OG0000269	CARHR033120	Np004G206800
OG0000269	CARHR219480	Np002G105820
OG0000270	CARHR243020, CARHR106740	Np005G265330
OG0000270	CARHR247840	Np007G377200
OG0000270	CARHR020400	Np002G077720
OG0000271	CARHR252250	Np003G164720
OG0000273	CARHR038710, CARHR038690, CARHR038330	Np007G375980, Np004G199070
OG0000273	CARHR038610	Np005G312740
OG0000273	CARHR021360, CARHR021380	Np005G262870
OG0000274	CARHR273300	Np003G152640
OG0000274	CARHR053220	Np004G252150
OG0000275	CARHR097870	Np007G384510, Np007G381770, Np007G381750, Np007G381740, Np007G382440, Np007G382420, Np007G384540, Np007G382890
OG0000276	CARHR218850	Np005G308640
OG0000277	CARHR290080	Np005G302420
OG0000281	CARHR025250	Np001G056160, Np001G056190
OG0000281	CARHR290770	Np002G078840
OG0000282	CARHR205610	Np003G133510
OG0000282	CARHR205590, CARHR205580, CARHR205600	Np003G133530
OG0000283	CARHR180240	Np001G041370
OG0000283	CARHR180250, CARHR180280	Np001G041380, Np001G041420, Np001G041390, Np001G041410
