Orthogroup	Cardamine_hirsuta	Arabidopsis_lyrata_Rawat
OG0000066	CARHR279310	AL6G20890, AL1G19680, AL5G16700
OG0000067	CARHR210190	AL8G28020, AL8G27750, AL1G48230, AL3G11550, AL1G25630, AL6G12910, AL3G38420, AL6G12880, AL6G12890, AL6G12860, AL6G12550, AL5G24850
OG0000068	CARHR034790	AL7G43840
OG0000068	CARHR216710	AL3G42660, AL7G46520, AL4G33750
OG0000071	CARHR055550, CARHR082570, CARHR183910	AL6G40690
OG0000073	CARHR116330	AL8G18470, AL3G20910, AL2G19370
OG0000073	CARHR292230	AL6G42230
OG0000073	CARHR175060	AL8G11910
OG0000073	CARHR175090, CARHR175840, CARHR175230	AL5G18720
OG0000074	CARHR024070	AL1G37410
OG0000074	CARHR024090	AL1G37390
OG0000074	CARHR024100	AL1G37440
OG0000074	CARHR024030	AL1G37370
OG0000074	CARHR024020	AL1G37380
OG0000074	CARHR024000	AL1G37360
OG0000074	CARHR023940	AL1G37270
OG0000074	CARHR023950	AL1G37280
OG0000075	CARHR125670, CARHR125660, CARHR124000	AL4G30220
OG0000075	CARHR292150, CARHR011460	AL1G25470
OG0000075	CARHR010330	AL1G22320
OG0000075	CARHR008650	AL6G27180, AL1G43860
OG0000076	CARHR157840	AL5G28950
OG0000076	CARHR162500	AL8G17190
OG0000076	CARHR065210, CARHR065340	AL1G65610
OG0000077	CARHR286200, CARHR286190, CARHR286160	AL34U10100, AL8G22340
OG0000077	CARHR285960	AL34U10110, AL34U10130, AL8G22350
OG0000077	CARHR247160	AL7G11690
OG0000077	CARHR247180	AL2G16730, AL2G16030
OG0000077	CARHR247140	nbis-gene-1691
OG0000079	CARHR169300	AL5G40740
OG0000079	CARHR169400	AL5G40710
OG0000079	CARHR136780, CARHR214200	AL7G52200, AL7G52210, AL7G52190
OG0000079	CARHR186450, CARHR286030, CARHR217340	AL5G40610, AL5G40780
OG0000080	CARHR215660	AL7G46170
OG0000080	CARHR270010	AL1G54400
OG0000080	CARHR038000	AL1G55000, AL1G55020, AL1G54370, AL1G25040, AL1G25030
OG0000080	CARHR039590	nbis-gene-1510, AL6G23310
OG0000080	CARHR123140	AL1G35400, AL7G44920, AL3G24690
OG0000081	CARHR121110	nbis-gene-1089, AL3G17170
OG0000081	CARHR037410	nbis-gene-250
OG0000081	CARHR037720, CARHR037850, CARHR037710	AL1G54580, AL1G54620
OG0000081	CARHR040900	nbis-gene-277
OG0000081	CARHR194900	AL6G29360, AL6G29140
OG0000083	CARHR121440, CARHR291360, CARHR291330	AL57U10030
OG0000083	CARHR064660, CARHR291280, CARHR176300	AL2G31050
OG0000083	CARHR291370, CARHR291350	AL158U10030
OG0000083	CARHR099030	AL3G37570
OG0000083	CARHR099020	AL3G37560
OG0000084	CARHR117870, CARHR117890, CARHR116980	nbis-gene-1002
OG0000084	CARHR117220, CARHR116970	AL4G15550
OG0000084	CARHR116870	AL4G18500
OG0000084	CARHR117230, CARHR116960, CARHR116990	AL4G18540
OG0000084	CARHR117030, CARHR118620	AL4G18560
OG0000084	CARHR117020	AL4G18550
OG0000085	CARHR187570	AL7G52690
OG0000085	CARHR259820	AL1G47700, AL3G42270, AL2G24190, AL6G40850, AL2G32540, AL7G41350, AL3G37700, AL4G43300, AL6G35520, AL6G51820, AL1G48000, AL3G40380, AL3G29370, AL4G20860, AL2G17230, AL109U10030, AL2G20150, AL3G17400, AL1G38790
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023
OG0000087	CARHR189700	AL6G35120
OG0000087	CARHR122890	AL4G24260
OG0000087	CARHR155480	AL5G25960
OG0000087	CARHR200860	AL6G23060
OG0000087	CARHR128920	AL4G30750
OG0000087	CARHR178800	AL8G15560
OG0000087	CARHR227450	AL7G33260
OG0000087	CARHR020480	AL1G32740
OG0000087	CARHR069200	AL2G35770
OG0000088	CARHR155740	AL5G26360
OG0000088	CARHR192340, CARHR192330	AL6G32010
OG0000088	CARHR262970	AL8G24400
OG0000089	CARHR203590	AL6G20220
OG0000089	CARHR094190	AL3G32160, AL1G56110
OG0000089	CARHR086670	AL3G23740
OG0000089	CARHR285740	AL5G25390, AL8G35810
OG0000090	CARHR020650	AL2G24470, AL4G11370, AL1G32980
OG0000090	CARHR284690	AL8G19640
OG0000090	CARHR069500	AL2G35960
OG0000090	CARHR288810	AL7G16760
OG0000090	CARHR145520, CARHR145510	AL5G12830, AL3G47920, AL5G12840
OG0000090	CARHR010350	AL1G20940
OG0000091	CARHR055470	AL8G16330, nbis-gene-1790, nbis-gene-1053, AL7G47240, nbis-gene-2125
OG0000091	CARHR221560	AL2G13330, AL3G42630, AL8G16340
OG0000093	CARHR168740	AL5G40110
OG0000093	CARHR168770	AL5G40140
OG0000093	CARHR168730, CARHR168630, CARHR103160, CARHR103150, CARHR219320	AL3G42890
OG0000093	CARHR168690	AL5G40100
OG0000093	CARHR168640	AL5G39980, AL5G40000
OG0000093	CARHR168590, CARHR259860, CARHR168580	AL5G39910
OG0000096	CARHR145640	AL5G12960
OG0000096	CARHR054510	AL1G67300
OG0000096	CARHR112190, CARHR177280	AL8G13920
OG0000097	CARHR252090, CARHR252110	AL6G49140
OG0000097	CARHR252130	AL9U10550
OG0000097	CARHR252050	AL6G49150
OG0000097	CARHR252100	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010
OG0000098	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830	AL2G13240
OG0000098	CARHR052090, CARHR052140, CARHR051470, CARHR052110	AL2G15160
OG0000098	CARHR220990, CARHR220970	nbis-gene-1028
OG0000098	CARHR012600	AL1G23600
OG0000098	CARHR012590	AL1G23590
OG0000098	CARHR220850	AL7G41510
OG0000098	CARHR012520	AL1G23500
OG0000098	CARHR013070	AL1G23480
OG0000099	CARHR046920	nbis-gene-368
OG0000099	CARHR051070	AL3G46110
OG0000099	CARHR046940	AL2G13760
OG0000099	CARHR051080	AL3G46090
OG0000099	CARHR051510	nbis-gene-369
OG0000101	CARHR047100	AL2G11200
OG0000101	CARHR055030	AL1G66260, AL1G66350
OG0000101	CARHR047060	AL2G14410
OG0000101	CARHR047460, CARHR047540	AL2G11210
OG0000104	CARHR007350	AL1G17740
OG0000104	CARHR122240	AL4G23570
OG0000104	CARHR039100	AL1G55940
OG0000104	CARHR102140	AL3G41990
OG0000106	CARHR093690	AL3G31580
OG0000106	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560
OG0000106	CARHR101790, CARHR101800	AL3G22030
OG0000106	CARHR092810, CARHR120380	AL3G32300
OG0000106	CARHR248580	nbis-gene-1973
OG0000106	CARHR266870	AL4G22640
OG0000106	CARHR084920	AL3G41350, AL3G41320, AL3G41330, AL3G41340
OG0000107	CARHR095610	AL3G33760
OG0000107	CARHR095650	AL3G33780
OG0000107	CARHR095640	AL3G33770
OG0000107	CARHR095660	AL3G33810
OG0000107	CARHR096820, CARHR096830	AL3G34900
OG0000107	CARHR097220, CARHR095680	AL3G33830, AL3G42780
OG0000108	CARHR188180	AL6G44880
OG0000108	CARHR174970	AL1G41020, AL1G41010, AL1G41000, AL1G40990
OG0000108	CARHR046250	AL2G26330
OG0000110	CARHR169600	AL5G41090
OG0000110	CARHR169580	AL5G41080
OG0000110	CARHR061840	AL5G41130
OG0000110	CARHR150810, CARHR169560	AL5G41040
OG0000110	CARHR169570	AL5G41050
OG0000110	CARHR061850	AL5G41150
OG0000111	CARHR214020, CARHR214040	AL315U10010, AL7G51940
OG0000111	CARHR221750	AL7G40650
OG0000111	CARHR277270	AL8G40480
OG0000111	CARHR256230	AL6G44370
OG0000111	CARHR164880	AL5G36020
OG0000114	CARHR202010	AL6G21880
OG0000114	CARHR054550, CARHR054640, CARHR054580	AL1G67230, AL1G67210, AL1G67280, AL3G42680
OG0000114	CARHR106050	AL5G19550, AL2G23230
OG0000115	CARHR059960, CARHR284490	AL1G16160
OG0000118	CARHR161700, CARHR161720	AL6G41680, AL6G41670
OG0000118	CARHR148290	AL5G34240, AL3G50380
OG0000119	CARHR115250	AL1G41050
OG0000119	CARHR292260, CARHR102990	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470
OG0000120	CARHR285170	nbis-gene-408, AL2G15570
OG0000120	CARHR208650	nbis-gene-1458
OG0000122	CARHR129080, CARHR269910, CARHR269890, CARHR031770	AL8G31960
OG0000122	CARHR036530, CARHR031780	AL8G32110
OG0000123	CARHR024520, CARHR027640, CARHR027660, CARHR027650	AL1G41710, AL1G41700
OG0000123	CARHR233830	AL7G26670
OG0000124	CARHR182430	nbis-gene-1897
OG0000124	CARHR183650	nbis-gene-2009
OG0000124	CARHR043800, CARHR123710	AL1G47640, AL3G23800
OG0000124	CARHR036720	AL7G52490, AL6G41390, AL3G51120
OG0000125	CARHR210790	AL3G20660, AL6G11840
OG0000125	CARHR190650	AL6G34020
OG0000125	CARHR007600	AL1G18070
OG0000125	CARHR273520	AL189U10030, AL8G36480
OG0000125	CARHR154390, CARHR154340	AL5G24750
OG0000125	CARHR121850	AL4G23250
OG0000127	CARHR083500	AL3G20220
OG0000127	CARHR211440	AL6G11090, AL6G11060
OG0000127	CARHR083490	AL3G20190
OG0000130	CARHR288220	AL667U10020
OG0000131	CARHR118270	AL6G40550
OG0000131	CARHR287300	AL1G57250
OG0000132	CARHR101930	AL6G43140
OG0000133	CARHR184120	AL8G19570, AL25U10030
OG0000136	CARHR058600	AL2G24590, AL2G24600, AL2G24580
OG0000136	CARHR214810	AL7G53090
OG0000136	CARHR276580	AL8G39760
OG0000136	CARHR272990	nbis-gene-1912
OG0000136	CARHR214830, CARHR214840	AL7G46850, AL7G46860
OG0000137	CARHR180340	AL6G45480
OG0000138	CARHR274880, CARHR274890, CARHR274860	AL8G37810
OG0000138	CARHR274850	AL5G19720
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	AL5G19700, AL5G19780
OG0000140	CARHR155420	AL5G25860, AL5G25850
OG0000140	CARHR285530	AL8G35600
OG0000140	CARHR285410	AL48U10040, AL8G35560
OG0000140	CARHR272760, CARHR272770, CARHR053670	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178
OG0000140	CARHR272750	nbis-gene-2175
OG0000140	CARHR285460, CARHR285480	AL48U10010, nbis-gene-2180
OG0000142	CARHR122610	AL4G23900
OG0000142	CARHR122560	AL4G23860
OG0000142	CARHR119630	AL4G25560
OG0000146	CARHR268720	AL8G30930
OG0000146	CARHR268680	AL8G30890
OG0000146	CARHR268690	AL8G30900
OG0000147	CARHR238090	AL7G22000
OG0000147	CARHR271150	AL8G33330
OG0000147	CARHR073860	AL2G40780
OG0000147	CARHR153650	AL5G20850
OG0000147	CARHR104060	AL3G44180
OG0000147	CARHR117520	AL4G15040
OG0000149	CARHR154790, CARHR154820	AL5G25250
OG0000149	CARHR154830	AL5G25240
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	AL8G36180
OG0000149	CARHR273130	AL8G36170, AL8G36160
OG0000149	CARHR154780	AL5G25230
OG0000150	CARHR263010, CARHR256190	AL5G21720, AL5G21730
OG0000150	CARHR207890, CARHR143200	AL6G15230
OG0000150	CARHR114860	AL4G18370, AL4G18360, AL4G18340
OG0000150	CARHR150200	AL5G24100, AL5G24030
OG0000151	CARHR266340	AL8G28000
OG0000151	CARHR235660	AL7G24680
OG0000151	CARHR082990	AL3G19690
OG0000151	CARHR107000	AL3G49460
OG0000151	CARHR269520	AL8G31780
OG0000151	CARHR046700	AL2G10770, AL7G47650
OG0000154	CARHR016540	AL1G28200
OG0000154	CARHR087080	AL3G24230
OG0000154	CARHR083850	AL3G20620
OG0000154	CARHR210880	AL6G11740
OG0000154	CARHR210890	AL6G11730
OG0000155	CARHR234950	AL7G25530
OG0000155	CARHR227980	AL7G32710
OG0000155	CARHR086560	AL3G23610
OG0000155	CARHR227950	AL6G48380
OG0000156	CARHR140760, CARHR186310	AL4G44740
OG0000156	CARHR140740	AL4G44730
OG0000157	CARHR099660	AL3G38550, AL3G38540
OG0000157	CARHR133040, CARHR180020	AL3G14210
OG0000157	CARHR102680	nbis-gene-757, AL3G37210, AL2G23540, AL2G23590, AL2G23600, AL6G44790
OG0000157	CARHR133050	AL4G35660, AL4G35650
OG0000157	CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060	AL4G35680
OG0000157	CARHR101240	AL4G35640
OG0000158	CARHR210870	AL7G32560, AL7G30180, AL7G33450
OG0000158	CARHR113640	AL2G28170
OG0000158	CARHR150520	nbis-gene-1710
OG0000158	CARHR104280	AL4G29520
OG0000161	CARHR275720, CARHR275710	AL8G38700, AL8G38710, AL1G60690
OG0000161	CARHR120610, CARHR120240, CARHR120250	AL4G22760, AL4G22720
OG0000161	CARHR056690	AL2G20180
OG0000161	CARHR056640	AL2G19970
OG0000161	CARHR038540, CARHR038530, CARHR056610	AL2G19840
OG0000161	CARHR056630	nbis-gene-452
OG0000162	CARHR059620	AL2G25640
OG0000162	CARHR057970	AL2G23580
OG0000162	CARHR140170	AL4G44040
OG0000162	CARHR121990	AL4G23070
OG0000164	CARHR041160, CARHR041170	AL7G11950, AL8G23520
OG0000164	CARHR246950	AL7G11960
OG0000167	CARHR226380	AL7G34470
OG0000167	CARHR215060	AL7G34520
OG0000169	CARHR067340	AL1G64890
OG0000171	CARHR142560	AL2G23510
OG0000171	CARHR023910	AL1G37260
OG0000171	CARHR010800	AL1G21480
OG0000171	CARHR198650	AL6G25440
OG0000172	CARHR053570	AL5G44820
OG0000172	CARHR169320	AL5G40760
OG0000172	CARHR169390	AL5G40850
OG0000172	CARHR169360	AL5G40800
OG0000173	CARHR035170, CARHR036310, CARHR180960, CARHR225740, CARHR180580, CARHR261170, CARHR292670, CARHR286110, CARHR216170, CARHR055060, CARHR225730, CARHR036300, CARHR150900, CARHR257050	AL3G40330
OG0000173	CARHR216160	AL3G43310
OG0000173	CARHR293270	AL8G24810
OG0000174	CARHR286250	AL6G41080
OG0000175	CARHR160880	AL5G31720
OG0000175	CARHR069390	AL2G35850
OG0000175	CARHR020570	AL1G32900
OG0000175	CARHR243300	AL7G16200
OG0000175	CARHR108220	AL3G50830
OG0000175	CARHR244350	AL7G15090
OG0000176	CARHR029970	AL1G29270
OG0000176	CARHR144020	AL1G44400
OG0000178	CARHR104870, CARHR220690	AL4G22400
OG0000178	CARHR216370	AL8G19930
OG0000178	CARHR181910	AL1G50370
OG0000178	CARHR054120, CARHR111550, CARHR213150	AL4G18980
OG0000178	CARHR035340, CARHR105380	AL2G18720
OG0000178	CARHR098760	AL1G50770
OG0000181	CARHR122740	AL3G48740
OG0000184	CARHR157490, CARHR154180, CARHR181110	AL3G43630
OG0000185	CARHR146770	AL6G10840
OG0000185	CARHR116590	AL8G35610, AL2G32620, AL1G29430
OG0000186	CARHR103200	AL4G20870
OG0000186	CARHR252010, CARHR256860	nbis-gene-264, nbis-gene-676
OG0000187	CARHR037460, CARHR239530, CARHR239540	nbis-gene-1736
OG0000187	CARHR239600	AL7G20320
OG0000189	CARHR246590	AL7G12140
OG0000190	CARHR253020	AL6G47960
OG0000190	CARHR250370	AL6G47980
OG0000190	CARHR250360	AL6G47970
OG0000190	CARHR252970, CARHR263930	AL6G48020
OG0000190	CARHR252960	AL6G47990
OG0000191	CARHR091820	AL3G29510
OG0000191	CARHR293570, CARHR148120, CARHR091830	nbis-gene-1106
OG0000191	CARHR293580, CARHR148110	nbis-gene-889
OG0000191	CARHR091750	AL3G29400, AL3G29410, nbis-gene-913, AL3G28990, AL3G28960, AL3G28980
OG0000192	CARHR059110	AL1G34360
OG0000192	CARHR181970	AL1G34280
OG0000192	CARHR021660	AL1G34300
OG0000192	CARHR181980, CARHR256500	AL1G34340
OG0000193	CARHR096990	AL3G41660
OG0000193	CARHR099220	nbis-gene-789
OG0000193	CARHR150060	AL5G24180
OG0000195	CARHR119300	AL4G20560
OG0000195	CARHR136200	AL5G38180
OG0000195	CARHR058380	AL7G46650
OG0000195	CARHR215030	AL2G24200
OG0000195	CARHR114540, CARHR191680	AL5G21780
OG0000196	CARHR037160	AL1G44080, AL1G44060
OG0000196	CARHR037140	AL1G44070
OG0000197	CARHR037370	AL7G43790, AL7G49120
OG0000197	CARHR272960	AL7G46120
OG0000200	CARHR291830, CARHR263700	AL5G29460, AL8G22470
OG0000200	CARHR291820	AL7G52080, AL7G52070
OG0000200	CARHR101580, CARHR101880, CARHR101530	AL3G40220, AL3G40940, AL3G40610
OG0000201	CARHR097900	AL3G36220
OG0000202	CARHR099690	AL3G37010, AL3G37000
OG0000203	CARHR078890	AL7G22270
OG0000203	CARHR078880, CARHR078860	AL3G14720, AL3G14710
OG0000203	CARHR201470	AL3G14200, AL6G22600, AL6G22480, AL6G22490
OG0000204	CARHR044120	AL5G33670
OG0000204	CARHR097380	AL3G35490
OG0000205	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050	AL4G10320
OG0000205	CARHR042520, CARHR042900, CARHR041590, CARHR043210	AL3G52290
OG0000205	CARHR148260, CARHR265180, CARHR265400, CARHR149520	AL1G53500
OG0000207	CARHR072280, CARHR201930	AL2G39130
OG0000207	CARHR180390	AL2G39150, AL4G20460
OG0000207	CARHR072290	AL2G39120
OG0000208	CARHR260330	AL7G51580
OG0000208	CARHR247220	AL7G11510
OG0000208	CARHR264830	AL8G26210, AL311U10010
OG0000210	CARHR102810, CARHR103310	AL3G42400, AL3G42420
OG0000210	CARHR102790, CARHR102800, CARHR102820	AL3G42410
OG0000210	CARHR145910, CARHR145930	AL5G13350
OG0000210	CARHR145900	nbis-gene-1199
OG0000210	CARHR127190	AL4G28810, AL4G28800
OG0000210	CARHR127170	nbis-gene-1071
OG0000213	CARHR084950	AL3G21810
OG0000213	CARHR292800, CARHR292790	AL4G12610
OG0000213	CARHR292750, CARHR257100	AL4G12560, AL4G12620
OG0000213	CARHR292760, CARHR285920	AL4G12650, AL4G12640, AL4G12670
OG0000214	CARHR101750	AL6G51540
OG0000214	CARHR250390, CARHR248840, CARHR250400, CARHR250050	AL6G50960
OG0000216	CARHR229000, CARHR229580	AL7G31490
OG0000216	CARHR229020	nbis-gene-292
OG0000216	CARHR229730	AL7G31500, AL7G30780, AL7G31520
OG0000216	CARHR229010, CARHR229070, CARHR229050, CARHR229110	nbis-gene-1800
OG0000217	CARHR284070	AL2G17650, AL2G17830, AL2G17810
OG0000217	CARHR283900	AL1G65670
OG0000217	CARHR283730	AL2G17250
OG0000217	CARHR053930	AL2G16980
OG0000218	CARHR015470	AL1G26980, AL1G27000
OG0000218	CARHR015480	AL1G27010
OG0000218	CARHR147290	AL5G15240
OG0000218	CARHR144080	AL5G10550, AL5G13150, AL5G10520
OG0000219	CARHR058980	AL2G25070, AL2G25100
OG0000219	CARHR185210, CARHR185220, CARHR233800	nbis-gene-1615
