Orthogroup	Cardamine_hirsuta	Arabidopsis_arenosa
OG0000057	CARHR092150, CARHR092000	jg25759, jg25744
OG0000057	CARHR092620, CARHR092630	jg25830
OG0000057	CARHR108270	jg12073
OG0000057	CARHR108260, CARHR108320, CARHR108330, CARHR135370, CARHR108730	jg27919
OG0000057	CARHR090170	jg1195, jg14633, jg25647
OG0000057	CARHR100810, CARHR192030, CARHR177430, CARHR107470	jg25886, jg26868
OG0000057	CARHR100840	jg26780
OG0000058	CARHR154060	jg1166, jg14086
OG0000061	CARHR264280	jg5265, jg31440, jg25892, jg12998, jg302, jg26776, jg6463, jg14036
OG0000062	CARHR218140, CARHR115840, CARHR100910	jg7377
OG0000063	CARHR273610	jg21249
OG0000063	CARHR154290	jg22905
OG0000063	CARHR132050	jg14371
OG0000063	CARHR121870	jg14419
OG0000064	CARHR247830	jg8362
OG0000064	CARHR127180, CARHR260300	jg18482
OG0000066	CARHR069000, CARHR096450, CARHR058350	jg27126
OG0000066	CARHR068990	jg3219, jg3220
OG0000066	CARHR202910	jg13471
OG0000066	CARHR279310	jg1404
OG0000067	CARHR210190	jg30520, jg22052, jg22034, jg32039, jg24035, jg24037, jg24042, jg4088, jg4089, jg4055, jg14204, jg14390, jg14389
OG0000067	CARHR064230	jg12213
OG0000068	CARHR153260, CARHR182390	jg32484
OG0000068	CARHR216710	jg13873
OG0000073	CARHR116330	jg21037, jg1752, jg6091
OG0000073	CARHR175070, CARHR176980	jg12610
OG0000073	CARHR292230	jg7157, jg7084
OG0000073	CARHR175090, CARHR175840, CARHR175230	jg13687, jg20423
OG0000073	CARHR175260	jg20420
OG0000074	CARHR024070	jg30935, jg30933
OG0000074	CARHR024100	jg30938
OG0000074	CARHR024020	jg30932
OG0000074	CARHR024000	jg30931
OG0000074	CARHR023940	jg30922
OG0000074	CARHR023950	jg30923, jg30924
OG0000075	CARHR014880	jg1344, jg21051
OG0000076	CARHR157840	jg14762
OG0000076	CARHR162560	jg15192
OG0000076	CARHR162500	jg20912
OG0000076	CARHR162510, CARHR162540	jg15191
OG0000076	CARHR162490	jg20913, jg15189
OG0000076	CARHR162550	jg15188, jg15190
OG0000076	CARHR065210, CARHR065340	jg1458, jg1459, jg1457
OG0000076	CARHR150860	jg13392, jg13393, jg13394
OG0000076	CARHR148060, CARHR148030	jg13373
OG0000077	CARHR286200, CARHR286190, CARHR286160	jg21501, jg21500
OG0000077	CARHR285960	jg21503
OG0000077	CARHR247160	jg8426
OG0000077	CARHR083750	jg24861
OG0000077	CARHR103020	jg24794, jg20353
OG0000077	CARHR286150, CARHR286180, CARHR286090	jg7664
OG0000077	CARHR247180	jg1000, jg934
OG0000077	CARHR247140	jg8428
OG0000079	CARHR169300	jg15925
OG0000079	CARHR169400	jg15921
OG0000079	CARHR051200, CARHR051170	jg15922
OG0000079	CARHR136780, CARHR214200	jg12362, jg12361, jg12363, jg12370
OG0000079	CARHR186450, CARHR286030, CARHR217340	jg15911, jg15928
OG0000080	CARHR215660	jg12190
OG0000080	CARHR270010	jg32859, jg32843, jg32550, jg32855, jg32866
OG0000080	CARHR038000	jg32915, jg32919, jg32548, jg32861, jg32845, jg32993
OG0000080	CARHR038010, CARHR039590	jg32551, jg32841, jg32864, jg32857
OG0000080	CARHR151510, CARHR219570	jg12023
OG0000080	CARHR123150, CARHR123070	jg18020, jg18016
OG0000080	CARHR123140	jg18012, jg25262
OG0000081	CARHR037720, CARHR037850, CARHR037710	jg32882, jg32881, jg32883
OG0000081	CARHR040900	jg33221
OG0000081	CARHR040920	jg2643
OG0000081	CARHR194900	jg5657
OG0000083	CARHR121440	jg32007
OG0000083	CARHR176300	jg2771
OG0000083	CARHR099030	jg26554, jg26543
OG0000083	CARHR099020	jg26553
OG0000083	CARHR118100, CARHR292140, CARHR291340	jg2772
OG0000083	CARHR118080, CARHR118040	jg16885
OG0000084	CARHR117870, CARHR117890, CARHR116980, CARHR116700	jg16997
OG0000084	CARHR116880, CARHR117860	jg17005, jg20640
OG0000084	CARHR117220, CARHR116970	jg16996
OG0000084	CARHR116870	jg17272
OG0000084	CARHR117030, CARHR118620	jg17289
OG0000084	CARHR117020	jg16989, jg17288
OG0000085	CARHR259820	jg27503, jg21532
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750	jg1275, jg1277, jg1270, jg1278, jg1271, jg1274, jg1272, jg1273, jg1280, jg1279, jg1276, jg1269, jg20985, jg20984, jg20982, jg20983, jg20981, jg20978, jg20980, jg20977, jg20975, jg20976, jg20974, jg20979, jg20973
OG0000087	CARHR189700	jg6235
OG0000087	CARHR122890	jg17972
OG0000087	CARHR276490	jg14482
OG0000087	CARHR200860	jg5068
OG0000087	CARHR128920	jg18593
OG0000087	CARHR178800	jg20749
OG0000087	CARHR227450	jg10485
OG0000087	CARHR020480	jg30528
OG0000087	CARHR069200	jg3235
OG0000088	CARHR155740	jg14507
OG0000088	CARHR192340, CARHR192330	jg5910
OG0000088	CARHR262970	jg21695
OG0000089	CARHR203590	jg4799
OG0000089	CARHR094190	jg26012, jg33022
OG0000089	CARHR131960	jg18920
OG0000089	CARHR285740	jg22870, jg14433
OG0000090	CARHR020650	jg4483, jg30544, jg16631
OG0000090	CARHR284690	jg21183
OG0000090	CARHR069500	jg3251
OG0000090	CARHR288810	jg15233, jg8905
OG0000090	CARHR145520, CARHR145510	jg13115, jg28225, jg28226, jg13116
OG0000090	CARHR010350	jg29403
OG0000091	CARHR055470	jg20823, jg20821, jg1412, jg2211, jg14179
OG0000091	CARHR221560	jg11947, jg19288, jg20822
OG0000093	CARHR168740	jg15862
OG0000093	CARHR168770	jg15865
OG0000093	CARHR168690	jg15861
OG0000093	CARHR168640	jg15851
OG0000093	CARHR168590, CARHR259860, CARHR168580	jg15841
OG0000096	CARHR288740	jg13131
OG0000096	CARHR054510	jg1310
OG0000096	CARHR177190, CARHR158180, CARHR054500	jg1311
OG0000096	CARHR177990	jg20644
OG0000096	CARHR177040	jg20589
OG0000097	CARHR252090, CARHR252110	jg7819
OG0000097	CARHR252060	jg7818
OG0000097	CARHR252050	jg7820
OG0000097	CARHR252100	jg7813, jg7812, jg7815, jg7814
OG0000098	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830	jg651, jg658, jg654, jg653
OG0000098	CARHR048210	jg650
OG0000098	CARHR156260	jg649
OG0000098	CARHR052100, CARHR052120, CARHR052080	jg852
OG0000098	CARHR052090, CARHR052140, CARHR051470, CARHR052110	jg849, jg850
OG0000098	CARHR220990, CARHR220970	jg29677
OG0000098	CARHR012600	jg29672
OG0000098	CARHR012590	jg29671
OG0000098	CARHR220850	jg11302
OG0000098	CARHR012520	jg29664
OG0000098	CARHR013070	jg32282, jg12025
OG0000099	CARHR046920	jg459, jg7310
OG0000099	CARHR051070	jg27477
OG0000099	CARHR046940	jg719, jg720
OG0000099	CARHR046950	jg542
OG0000099	CARHR051080	jg27475
OG0000099	CARHR046970	jg7311
OG0000099	CARHR051510	jg460
OG0000101	CARHR047300, CARHR047090, CARHR047120, CARHR047210, CARHR047270, CARHR047080	jg476
OG0000101	CARHR050870	jg477
OG0000101	CARHR055030	jg1396, jg1381, jg1380
OG0000101	CARHR047060	jg777
OG0000101	CARHR047460	jg472
OG0000104	CARHR007350	jg29111
OG0000104	CARHR122140	jg17896
OG0000104	CARHR122240	jg17897
OG0000104	CARHR039100	jg33004
OG0000104	CARHR097260	jg26323
OG0000104	CARHR258870	jg33349
OG0000104	CARHR122150, CARHR122160	jg17893, jg17886, jg17879, jg17889
OG0000106	CARHR093690	jg25957
OG0000106	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860	jg25959, jg6741, jg26029, jg25961, jg6747, jg25960, jg6746, jg26030, jg26027, jg26079, jg27891
OG0000106	CARHR101790, CARHR101800	jg27435
OG0000106	CARHR159090	jg14860
OG0000106	CARHR266870	jg17695
OG0000106	CARHR084920	jg26888, jg26886
OG0000107	CARHR119260, CARHR119250	jg17559, jg17556
OG0000107	CARHR095610	jg26157
OG0000107	CARHR095650	jg26159
OG0000107	CARHR095640	jg26158
OG0000107	CARHR095660	jg26161
OG0000107	CARHR097220, CARHR095680	jg26163
OG0000108	CARHR253270	jg17593
OG0000108	CARHR188180	jg7433
OG0000108	CARHR174970	jg17595, jg31284
OG0000108	CARHR046250	jg2306
OG0000108	CARHR000040, CARHR188170	jg27465, jg27461, jg1132, jg6405, jg11987, jg17594, jg31283, jg16874
OG0000110	CARHR103650	jg12826
OG0000110	CARHR169600	jg15960
OG0000110	CARHR169580	jg15959
OG0000110	CARHR169630	jg15966
OG0000110	CARHR061840	jg15965
OG0000110	CARHR123020	jg14751
OG0000110	CARHR150810, CARHR169560	jg15957, jg15956
OG0000110	CARHR061850	jg15969
OG0000111	CARHR214020, CARHR214040	jg12398
OG0000111	CARHR214030	jg12396
OG0000111	CARHR221770	jg11228
OG0000111	CARHR221750	jg11226, jg11227
OG0000111	CARHR277270	jg23313
OG0000111	CARHR164880	jg15428
OG0000113	CARHR256490, CARHR256450, CARHR175630	jg12808
OG0000113	CARHR288500	jg12802, jg12815
OG0000113	CARHR149270	jg509
OG0000113	CARHR047480	jg1379
OG0000113	CARHR263770	jg12426
OG0000113	CARHR215710, CARHR047550, CARHR175180, CARHR175270	jg508
OG0000113	CARHR104310	jg14194, jg14191
OG0000114	CARHR078370, CARHR078360	jg24299
OG0000114	CARHR071840, CARHR251920, CARHR071800	jg2542
OG0000114	CARHR202010	jg4953
OG0000114	CARHR214250	jg7114, jg1323
OG0000114	CARHR120620	jg17682
OG0000114	CARHR054550, CARHR054640, CARHR054580	jg1324, jg1320, jg1319, jg1317, jg1326, jg1329, jg1330, jg27021
OG0000114	CARHR106050	jg2013
OG0000115	CARHR059960, CARHR284490	jg6881
OG0000118	CARHR148290	jg15265, jg26895, jg27877
OG0000119	CARHR115250	jg20878, jg12954, jg1495, jg13634, jg13504
OG0000119	CARHR292260, CARHR102990	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024
OG0000120	CARHR285170	jg893, jg889
OG0000120	CARHR221010	jg11313
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558
OG0000120	CARHR208650	jg13317, jg4214
OG0000122	CARHR269930	jg22508
OG0000122	CARHR033430, CARHR033520	jg32572
OG0000122	CARHR129080, CARHR269910, CARHR269890, CARHR031770	jg22485
OG0000122	CARHR269750, CARHR269900, CARHR031760, CARHR036560, CARHR031790	jg32166
OG0000122	CARHR269730	jg22486
OG0000123	CARHR024520, CARHR027640, CARHR027660, CARHR027650	jg31338
OG0000123	CARHR014050, CARHR014060	jg29806
OG0000123	CARHR233830	jg9826
OG0000124	CARHR182430	jg19874
OG0000124	CARHR183650	jg12111
OG0000124	CARHR043800, CARHR123710	jg17565
OG0000125	CARHR163570	jg15301
OG0000125	CARHR210790	jg24874, jg3993
OG0000125	CARHR190650	jg6123
OG0000125	CARHR007600	jg29136
OG0000125	CARHR273520	jg22931
OG0000125	CARHR154390, CARHR154340	jg14383
OG0000125	CARHR121850	jg17851
OG0000127	CARHR211440	jg3916
OG0000127	CARHR211450	jg3918
OG0000127	CARHR083490	jg24833
OG0000127	CARHR107060, CARHR107080, CARHR107070, CARHR107090, CARHR107050, CARHR107100	jg24836
OG0000131	CARHR150440	jg6733
OG0000132	CARHR101930	jg27190
OG0000133	CARHR184120	jg6891
OG0000136	CARHR058600	jg2128, jg2129, jg2126, jg2127
OG0000136	CARHR214760, CARHR214790	jg12281
OG0000136	CARHR276580	jg23234
OG0000136	CARHR272990	jg12259
OG0000136	CARHR214830, CARHR214840	jg12260
OG0000137	CARHR180340	jg17603
OG0000137	CARHR261370	jg12674
OG0000138	CARHR113950	jg13824
OG0000138	CARHR174950	jg12474
OG0000138	CARHR274880, CARHR274890, CARHR274860	jg23058
OG0000138	CARHR153120	jg13818
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	jg13817, jg13821
OG0000140	CARHR155420	jg14472, jg14471
OG0000140	CARHR285530	jg22850
OG0000140	CARHR285410	jg22845
OG0000140	CARHR272760, CARHR272770, CARHR053670	jg22800, jg21885, jg22801
OG0000140	CARHR272750	jg22798, jg22799
OG0000140	CARHR285460, CARHR285480	jg22851, jg22847
OG0000142	CARHR122610	jg17940
OG0000142	CARHR122560	jg17932
OG0000142	CARHR122540	jg17933
OG0000142	CARHR122600, CARHR122570, CARHR122580, CARHR119640	jg17936
OG0000142	CARHR119630	jg18114, jg18115
OG0000146	CARHR268680	jg22363
OG0000146	CARHR268700	jg22365
OG0000146	CARHR268690	jg22364
OG0000147	CARHR238090	jg9392
OG0000147	CARHR271150	jg22635
OG0000147	CARHR073860	jg3697
OG0000147	CARHR153650	jg13954
OG0000147	CARHR104060	jg27288
OG0000147	CARHR117520	jg16942
OG0000149	CARHR154790, CARHR154820	jg14423
OG0000149	CARHR154830	jg14421
OG0000149	CARHR219850	jg22901
OG0000149	CARHR273130	jg22900
OG0000149	CARHR154780	jg14420
OG0000150	CARHR263010, CARHR256190	jg14055
OG0000150	CARHR207890, CARHR143200	jg4290
OG0000150	CARHR150140	jg14331
OG0000150	CARHR114860	jg17260, jg17259, jg17257
OG0000150	CARHR059580, CARHR150110	jg14325
OG0000150	CARHR150200	jg14316, jg14315, jg14313
OG0000151	CARHR266340	jg22050
OG0000151	CARHR082990	jg24782
OG0000151	CARHR107000	jg27769
OG0000151	CARHR269520	jg22463
OG0000151	CARHR046700	jg12793
OG0000154	CARHR016540	jg30094
OG0000154	CARHR087080	jg25213
OG0000154	CARHR083850	jg24871
OG0000154	CARHR210880	jg3985
OG0000154	CARHR210890	jg3984
OG0000155	CARHR234950	jg9725
OG0000155	CARHR164960	jg12562, jg12564
OG0000155	CARHR249150, CARHR164950	jg12983
OG0000155	CARHR227980	jg10428
OG0000155	CARHR086560	jg25152
OG0000155	CARHR227950	jg7743
OG0000156	CARHR140760, CARHR186310	jg19951
OG0000156	CARHR140740	jg19948
OG0000156	CARHR171350	jg16152
OG0000157	CARHR099660	jg26628, jg26631, jg26630, jg26627
OG0000157	CARHR189820, CARHR078400	jg24304
OG0000157	CARHR133040, CARHR180020	jg7233
OG0000157	CARHR102680	jg26523, jg24182, jg2031, jg2038, jg2030, jg2028, jg7426, jg26990
OG0000157	CARHR133050	jg19021, jg19020
OG0000157	CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060	jg19023
OG0000157	CARHR101240	jg19043, jg19019
OG0000158	CARHR210870	jg10511
OG0000161	CARHR275720, CARHR275710	jg23140, jg23141, jg33435, jg33436
OG0000161	CARHR120610, CARHR120240, CARHR120250	jg17685, jg17683, jg17687
OG0000161	CARHR056760	jg1832
OG0000161	CARHR056690	jg1847
OG0000161	CARHR056640	jg1705, jg1715, jg1822
OG0000161	CARHR038540, CARHR038530, CARHR056610	jg1819
OG0000161	CARHR056630	jg1821, jg1704
OG0000162	CARHR170850	jg15299
OG0000162	CARHR069160, CARHR059610	jg19860
OG0000162	CARHR170840	jg2591
OG0000162	CARHR059620	jg2236
OG0000162	CARHR057970	jg2036
OG0000162	CARHR140170	jg19859
OG0000164	CARHR185060, CARHR185040	jg1130
OG0000164	CARHR246950	jg8472
OG0000167	CARHR215060	jg10623
OG0000169	CARHR019250, CARHR067410, CARHR067450	jg3074
OG0000169	CARHR067380	jg21554
OG0000169	CARHR067340	jg1552
OG0000169	CARHR067370, CARHR115410, CARHR183960	jg21553
OG0000169	CARHR053840, CARHR053860	jg1192
OG0000171	CARHR198650	jg5289
OG0000172	CARHR053570	jg16316
OG0000172	CARHR052000	jg16317
OG0000172	CARHR169320	jg15926
OG0000172	CARHR169390	jg15932
OG0000172	CARHR169270	jg15923
OG0000172	CARHR169360	jg15930
OG0000173	CARHR035170	jg17518
OG0000173	CARHR036310, CARHR180960, CARHR225740	jg1807
OG0000173	CARHR261170, CARHR292670, CARHR286110, CARHR216170, CARHR055060, CARHR225730, CARHR036300	jg14356
OG0000173	CARHR293270	jg14013
OG0000175	CARHR160880	jg15013
OG0000175	CARHR069390	jg3242
OG0000175	CARHR020570	jg30537
OG0000175	CARHR243300	jg8854
OG0000176	CARHR029970	jg12097
OG0000185	CARHR146770	jg1441, jg14078, jg1761
OG0000185	CARHR116590	jg12153
OG0000186	CARHR184740, CARHR217430	jg17305, jg27206
OG0000186	CARHR103200	jg17369, jg17588
OG0000186	CARHR098000, CARHR034340	jg1403
OG0000186	CARHR128520, CARHR257270, CARHR116070, CARHR178380	jg17368
OG0000186	CARHR257160, CARHR048790	jg27207
OG0000186	CARHR128510	jg27209
OG0000187	CARHR117260	jg16968
OG0000187	CARHR037460, CARHR239530, CARHR239540	jg9234, jg9235
OG0000187	CARHR239600	jg9230
OG0000189	CARHR246590	jg8491, jg3298
OG0000190	CARHR253020	jg7702
OG0000190	CARHR250370	jg7704
OG0000190	CARHR250360	jg7703
OG0000190	CARHR252970, CARHR263930	jg7707
OG0000190	CARHR252960	jg7705
OG0000191	CARHR091820	jg25728
OG0000191	CARHR293580, CARHR148110	jg27860, jg27859
OG0000191	CARHR091750	jg25713, jg25714, jg25718, jg25676, jg25675, jg25673
OG0000192	CARHR059110	jg30670
OG0000192	CARHR181970	jg3362
OG0000192	CARHR021670	jg30663
OG0000192	CARHR181980, CARHR256500	jg30668
OG0000193	CARHR096990	jg26901
OG0000193	CARHR099220	jg26576, jg26577
OG0000193	CARHR097030	jg26297
OG0000193	CARHR150060	jg14328, jg14329
OG0000195	CARHR119300	jg17567
OG0000195	CARHR136200	jg15712, jg15648
OG0000195	CARHR058380	jg2098
OG0000195	CARHR215030	jg12245
OG0000195	CARHR191680	jg14060
OG0000196	CARHR037160	jg31558, jg31560
OG0000196	CARHR037140	jg31559
OG0000197	CARHR037370	jg12743
OG0000197	CARHR272960	jg12179
OG0000200	CARHR291830, CARHR263700	jg14818
OG0000200	CARHR291820	jg12382, jg12383
OG0000200	CARHR101580, CARHR101880, CARHR101530	jg26794, jg26858, jg26826
OG0000201	CARHR097900	jg26423
OG0000201	CARHR097910	jg26420
OG0000201	CARHR097890	jg26421
OG0000201	CARHR097880	jg26416, jg26419
OG0000202	CARHR092830, CARHR151680	jg7315
OG0000202	CARHR099690	jg26501
OG0000202	CARHR024770	jg26502
OG0000203	CARHR078880, CARHR078860	jg24349, jg24348
OG0000203	CARHR201470	jg24303, jg5021, jg5008, jg5007, jg5020, jg5022
OG0000204	CARHR044120	jg15213
OG0000204	CARHR098530	jg26496
OG0000204	CARHR097380	jg26333
OG0000205	CARHR041580, CARHR040020, CARHR149530, CARHR042890, CARHR042510, CARHR043190, CARHR260050	jg16530
OG0000205	CARHR042520, CARHR042900, CARHR041590, CARHR043210	jg16527
OG0000205	CARHR263740, CARHR043200	jg27591
OG0000205	CARHR148260, CARHR265180, CARHR265400, CARHR149520	jg32764
OG0000205	CARHR219990	jg32768
OG0000207	CARHR072300	jg3555
OG0000207	CARHR180390	jg3556, jg2081, jg1979, jg2083, jg12504, jg2076, jg17554, jg2082, jg2084
OG0000207	CARHR072290	jg3554
OG0000207	CARHR017450	jg30217
OG0000208	CARHR247230	jg32800
OG0000208	CARHR181000	jg12428
OG0000208	CARHR247220	jg8418
OG0000208	CARHR264830	jg21871
OG0000210	CARHR102810, CARHR103310	jg26999, jg27000, jg27001
OG0000210	CARHR145910, CARHR145930	jg13160
OG0000210	CARHR145900	jg13155, jg13158
OG0000210	CARHR127190	jg18412, jg18409, jg18408
OG0000210	CARHR127170	jg18404
OG0000213	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360	jg2971
OG0000213	CARHR084950	jg24982
OG0000213	CARHR292800, CARHR292790	jg16737
OG0000213	CARHR292750, CARHR257100	jg16738
OG0000213	CARHR292760, CARHR285920	jg16741, jg16740
OG0000214	CARHR101750	jg7249
OG0000214	CARHR250390, CARHR248840, CARHR250400, CARHR250050	jg8001
OG0000216	CARHR229000, CARHR229580	jg10317
OG0000216	CARHR229020	jg33448
OG0000216	CARHR229730	jg10319, jg10323
OG0000216	CARHR229570	jg10266
OG0000216	CARHR229010, CARHR229070, CARHR229050, CARHR229110	jg10315
OG0000217	CARHR284020, CARHR284130, CARHR283760, CARHR283910, CARHR284060	jg1353, jg1150, jg1143, jg1140
OG0000217	CARHR284070	jg1148, jg1145
OG0000217	CARHR284010, CARHR284050	jg7386, jg1031
OG0000217	CARHR283730	jg1072
OG0000217	CARHR053930	jg1022
