Orthogroup	Cardamine_hirsuta	Cardamine_glauca
OG0000031	CARHR048440, CARHR047970	Cg007G247230, Cg007G246930
OG0000031	CARHR049170	Cg007G247710
OG0000031	CARHR213210	Cg001G042060
OG0000031	CARHR091960	Cg004G133170
OG0000031	CARHR046360	Cg007G245660
OG0000033	CARHR230290	Cg001G017700
OG0000033	CARHR230320, CARHR230240, CARHR055320	Cg001G017780
OG0000033	CARHR228010, CARHR228050, CARHR228080, CARHR228070, CARHR228060	Cg001G019620
OG0000033	CARHR289950	Cg001G019630
OG0000033	CARHR230200	Cg001G017790
OG0000033	CARHR252350	Cg003G079950, Cg003G094060
OG0000038	CARHR141500	Cg005G159520
OG0000038	CARHR158480, CARHR158470, CARHR158440	Cg002G057430
OG0000038	CARHR265450	Cg003G103850
OG0000038	CARHR178840	Cg008G320560
OG0000040	CARHR025790, CARHR162370	Cg006G217350
OG0000040	CARHR260760, CARHR260790	Cg001G030090
OG0000040	CARHR158530	Cg002G057370
OG0000044	CARHR159290, CARHR150320	Cg001G029670
OG0000044	CARHR057390, CARHR183570, CARHR116100, CARHR107370	Cg003G096230
OG0000046	CARHR257300	Cg003G097180
OG0000046	CARHR263450	Cg001G038950
OG0000046	CARHR225000, CARHR225010	Cg001G022610
OG0000046	CARHR059270	Cg007G266760
OG0000046	CARHR059130	Cg007G266640
OG0000048	CARHR077930	Cg004G119540
OG0000048	CARHR077940	Cg004G119550
OG0000048	CARHR195020	Cg008G298370
OG0000048	CARHR195030, CARHR195060, CARHR194990	Cg008G298400, Cg008G298350
OG0000052	CARHR002800	Cg006G242960
OG0000052	CARHR137510	Cg005G163550
OG0000052	CARHR127280	Cg005G173390, Cg013G330370
OG0000052	CARHR137550	Cg005G163540
OG0000052	CARHR256260	Cg003G083820
OG0000053	CARHR152130, CARHR102470, CARHR286550	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350
OG0000053	CARHR104020	Cg003G084420
OG0000054	CARHR056490	Cg005G189800, Cg005G189790
OG0000055	CARHR050220	Cg007G248480
OG0000055	CARHR155600	Cg002G060080
OG0000055	CARHR050320	Cg007G248390, Cg007G248550
OG0000055	CARHR049990, CARHR050000	Cg007G248380
OG0000055	CARHR049970	Cg007G248360
OG0000055	CARHR050330	Cg007G248570, Cg007G248420, Cg007G248560
OG0000055	CARHR050310	Cg007G248400
OG0000055	CARHR050060	Cg006G223020
OG0000055	CARHR049980, CARHR050290	Cg007G248540
OG0000055	CARHR050280	Cg007G248530
OG0000056	CARHR260200, CARHR119870	Cg001G036070
OG0000057	CARHR092000	Cg004G133200
OG0000057	CARHR092560, CARHR092720	Cg004G133930
OG0000057	CARHR096180, CARHR096160	Cg004G139300, Cg004G139380, Cg004G139340, Cg004G139360, Cg004G139320, Cg004G139330
OG0000057	CARHR098050	Cg004G139250
OG0000058	CARHR154060	Cg007G261210
OG0000058	CARHR153550	Cg006G215030, Cg003G077990
OG0000061	CARHR258030	Cg007G263690, Cg007G267630
OG0000062	CARHR100910	Cg007G260660, Cg005G180090
OG0000063	CARHR273260	Cg002G052800
OG0000063	CARHR121870	Cg003G107650, Cg003G107350
OG0000064	CARHR247830	Cg001G000750
OG0000064	CARHR127180, CARHR260300	Cg005G172820
OG0000064	CARHR176370	Cg008G322800
OG0000065	CARHR184170	Cg001G020190
OG0000066	CARHR069000, CARHR096450, CARHR058350	Cg007G276160
OG0000066	CARHR068990	Cg014G331850, Cg002G064640, Cg003G077790, Cg002G064590, Cg007G254880
OG0000066	CARHR202310	Cg001G001890
OG0000066	CARHR202910	Cg008G290840
OG0000066	CARHR279310	Cg008G290850, Cg003G113360
OG0000067	CARHR210960	Cg008G283270, Cg008G283380, Cg002G045260
OG0000067	CARHR210190	Cg008G283860
OG0000067	CARHR064230	Cg007G270520
OG0000071	CARHR055550	Cg008G307480
OG0000073	CARHR116330	Cg004G150010, Cg008G302430
OG0000073	CARHR175090, CARHR175840, CARHR175230	Cg008G315120
OG0000074	CARHR024070	Cg006G222210
OG0000074	CARHR024100	Cg006G222160
OG0000074	CARHR024030	Cg006G222230
OG0000074	CARHR024020	Cg006G222200
OG0000074	CARHR024000	Cg006G222220
OG0000074	CARHR023940	Cg006G222350
OG0000074	CARHR023950	Cg006G222340
OG0000075	CARHR125670, CARHR125660, CARHR124000	Cg003G083750, Cg005G174740
OG0000075	CARHR119930	Cg004G148530
OG0000075	CARHR099040	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300
OG0000075	CARHR010320	Cg006G235090, Cg006G235510, Cg006G210640, Cg006G235500
OG0000075	CARHR010330	Cg001G033430
OG0000075	CARHR035940	Cg008G301210
OG0000076	CARHR157840	Cg002G057890
OG0000076	CARHR162490	Cg002G054100
OG0000076	CARHR065210, CARHR065340	Cg007G272900
OG0000076	CARHR148060, CARHR148030	Cg002G071650
OG0000077	CARHR105240	Cg004G148440
OG0000077	CARHR286090	Cg005G160440
OG0000079	CARHR111250, CARHR169300, CARHR169310	Cg002G047470
OG0000079	CARHR051200, CARHR051170	Cg007G249140
OG0000079	CARHR186450, CARHR286030, CARHR217340	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	CARHR215660	Cg005G158270
OG0000080	CARHR038000	Cg004G149910
OG0000080	CARHR252580	Cg003G093790
OG0000080	CARHR123150	Cg005G177050
OG0000080	CARHR123070	Cg005G176650
OG0000080	CARHR123140	Cg005G177060
OG0000081	CARHR040900	Cg006G198910
OG0000081	CARHR194900	Cg008G298500
OG0000083	CARHR291360, CARHR291330	Cg005G178780
OG0000083	CARHR064660, CARHR291280	Cg007G271880
OG0000083	CARHR176300	Cg008G322860
OG0000083	CARHR099030	Cg004G140430, Cg004G140410
OG0000083	CARHR099020	Cg004G140440
OG0000083	CARHR118100, CARHR292140, CARHR291340	Cg005G190490
OG0000084	CARHR117220, CARHR116970	Cg005G189580
OG0000085	CARHR259820	Cg007G270000
OG0000086	CARHR050760, CARHR273290	Cg003G107380
OG0000087	CARHR189700	Cg008G303510
OG0000087	CARHR122890	Cg005G177380
OG0000087	CARHR155480	Cg002G060160
OG0000087	CARHR200860	Cg008G292710
OG0000087	CARHR128920	Cg005G171830
OG0000087	CARHR178800	Cg008G320640
OG0000087	CARHR227450	Cg001G020160
OG0000087	CARHR020480	Cg006G225960
OG0000087	CARHR069200	Cg007G276340
OG0000088	CARHR155740	Cg002G059900
OG0000088	CARHR155710, CARHR155700	Cg002G059930
OG0000088	CARHR156270	Cg002G059530
OG0000088	CARHR192340, CARHR192330	Cg001G039390, Cg008G300920
OG0000088	CARHR262970	Cg003G090240, Cg003G095710
OG0000088	CARHR152670	Cg007G258090
OG0000089	CARHR203590	Cg008G290150
OG0000089	CARHR094190	Cg004G135460
OG0000089	CARHR086670	Cg004G127880
OG0000089	CARHR131960	Cg005G168860
OG0000089	CARHR285740	Cg002G060740, Cg003G107020
OG0000090	CARHR020650	Cg006G225800
OG0000090	CARHR284690	Cg008G317760, Cg011G329140
OG0000090	CARHR069500	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	CARHR288810	Cg001G005770
OG0000090	CARHR145500, CARHR145480	Cg002G074060
OG0000090	CARHR010350	Cg006G235770
OG0000093	CARHR168740	Cg002G047960
OG0000093	CARHR168770	Cg002G047920
OG0000093	CARHR168690	Cg002G047970
OG0000093	CARHR168640	Cg002G048030
OG0000093	CARHR168600, CARHR168590, CARHR259860, CARHR168580	Cg002G048080
OG0000096	CARHR145650	Cg002G073910
OG0000096	CARHR145640	Cg002G073930
OG0000096	CARHR288740	Cg002G073840
OG0000096	CARHR254980, CARHR254940	Cg003G082280
OG0000096	CARHR177040	Cg008G322180
OG0000097	CARHR252090, CARHR252110	Cg003G079770, Cg003G094250
OG0000097	CARHR252060	Cg003G079750, Cg003G094280
OG0000097	CARHR252050	Cg003G079730, Cg003G094300
OG0000097	CARHR252100	Cg003G094290, Cg003G079740
OG0000097	CARHR252070	Cg003G079760
OG0000098	CARHR052090, CARHR052140, CARHR051470, CARHR052110	Cg007G253040, Cg007G249450
OG0000099	CARHR046920, CARHR046960, CARHR051260, CARHR051500, CARHR051070, CARHR046940	Cg007G246280, Cg007G246260, Cg007G246270
OG0000099	CARHR046950, CARHR051080, CARHR046970, CARHR051510, CARHR046930	Cg007G249510
OG0000100	CARHR054110, CARHR100990	Cg008G316000
OG0000101	CARHR047710	Cg007G246670
OG0000104	CARHR007350	Cg006G238510
OG0000104	CARHR122140	Cg005G178080
OG0000104	CARHR122190	Cg005G178040
OG0000104	CARHR122230	Cg005G177980, Cg005G177930
OG0000104	CARHR122240	Cg005G177920
OG0000104	CARHR039100	Cg006G200560
OG0000104	CARHR097260	Cg004G138340
OG0000104	CARHR041970	Cg006G197920
OG0000104	CARHR041980	Cg006G197960, Cg006G197910
OG0000104	CARHR122150, CARHR122160	Cg005G178050
OG0000106	CARHR093690	Cg004G135900, Cg004G134980, Cg004G134990
OG0000106	CARHR094390, CARHR099980, CARHR094810, CARHR094850, CARHR094840, CARHR094860	Cg004G136130
OG0000106	CARHR120300, CARHR120290	Cg008G322480
OG0000106	CARHR084920	Cg001G042030
OG0000107	CARHR119260, CARHR119250	Cg005G182320
OG0000107	CARHR095610	Cg004G136880
OG0000107	CARHR095650	Cg004G136910
OG0000107	CARHR095620	Cg004G136890
OG0000107	CARHR055760	Cg004G136900
OG0000108	CARHR174970	Cg008G306430
OG0000108	CARHR046250	Cg007G245680, Cg007G245670
OG0000110	CARHR169600	Cg002G047270
OG0000110	CARHR169580	Cg002G047280
OG0000110	CARHR169630	Cg002G047240
OG0000110	CARHR150810, CARHR169560	Cg002G047300, Cg002G047310, Cg005G186820
OG0000110	CARHR061850	Cg007G269260
OG0000111	CARHR164880	Cg002G051630
OG0000112	CARHR181490, CARHR181480, CARHR274670	Cg008G314480, Cg008G314500, Cg008G314450, Cg008G314360, Cg008G314370, Cg008G314440, Cg008G314380, Cg008G314400, Cg008G314410, Cg008G314430, Cg008G314420, Cg008G314470, Cg008G314490, Cg008G314390, Cg008G314460
OG0000113	CARHR149270, CARHR055020, CARHR047480, CARHR047200, CARHR047160, CARHR047260, CARHR262020, CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050	Cg007G253910
OG0000113	CARHR047220	Cg007G253850
OG0000114	CARHR202010, CARHR214250, CARHR181200, CARHR181230, CARHR202070, CARHR077970	Cg008G318090
OG0000118	CARHR161700, CARHR161720, CARHR155540, CARHR161740, CARHR161910, CARHR161710	Cg002G054790, Cg002G054780, Cg006G212290
OG0000118	CARHR148290	Cg003G083280, Cg003G083300, Cg006G212340, Cg006G212330, Cg006G212350, Cg003G083440, Cg003G083420, Cg003G083410, Cg003G083390, Cg003G083400, Cg003G083370, Cg003G083380, Cg003G083350, Cg003G083310, Cg003G083460, Cg006G204540, Cg002G064450, Cg013G330430
OG0000119	CARHR292260	Cg007G255080, Cg002G068550
OG0000119	CARHR102990	Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640
OG0000120	CARHR285170	Cg007G250010, Cg007G249930
OG0000120	CARHR221010	Cg001G027290
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	CARHR208650	Cg008G285500
OG0000122	CARHR269930	Cg003G086890
OG0000122	CARHR269750, CARHR269900, CARHR031760, CARHR036560, CARHR031790	Cg003G103810
OG0000122	CARHR269920	Cg003G103790
OG0000123	CARHR024520, CARHR027640, CARHR027660, CARHR027650	Cg006G218510, Cg006G218490
OG0000123	CARHR014050	Cg001G014410
OG0000123	CARHR233830	Cg001G014420
OG0000123	CARHR009210	Cg001G029000, Cg001G029020
OG0000125	CARHR163570	Cg002G052860
OG0000125	CARHR210790	Cg008G283340
OG0000125	CARHR190650	Cg008G302630
OG0000125	CARHR007600	Cg006G238270
OG0000125	CARHR273520	Cg003G107610
OG0000125	CARHR154390, CARHR154340	Cg002G061230, Cg002G061270
OG0000125	CARHR121850	Cg005G178390
OG0000127	CARHR211460	Cg008G282740
OG0000127	CARHR083490	Cg004G124780
OG0000131	CARHR258830	Cg008G315100
OG0000132	CARHR217650	Cg001G031120, Cg001G029490
OG0000133	CARHR184120	Cg003G084500, Cg005G185150, Cg004G141220
OG0000136	CARHR214760, CARHR214790	Cg001G037110
OG0000136	CARHR214860	Cg001G037040
OG0000136	CARHR214810	Cg001G037100
OG0000137	CARHR261370	Cg001G041290
OG0000138	CARHR263270, CARHR263340, CARHR263290, CARHR113950	Cg001G039000
OG0000138	CARHR263260	Cg001G039020, Cg001G039010
OG0000138	CARHR174950	Cg008G324060
OG0000138	CARHR153070	Cg002G067580
OG0000138	CARHR153150, CARHR254660, CARHR113960, CARHR113980	Cg002G067290
OG0000140	CARHR155420	Cg002G060210
OG0000140	CARHR285530	Cg003G106820
OG0000140	CARHR285410	Cg003G106800
OG0000140	CARHR272760, CARHR272770, CARHR053670	Cg003G106450
OG0000140	CARHR272750	Cg003G106440
OG0000140	CARHR285460	Cg003G106810
OG0000140	CARHR285480	Cg008G324860
OG0000142	CARHR122610	Cg005G177670
OG0000142	CARHR122600, CARHR122570, CARHR122580, CARHR119640	Cg005G177630
OG0000142	CARHR119630, CARHR119600, CARHR124170, CARHR124160, CARHR124140	Cg005G176030
OG0000146	CARHR268710	Cg003G102630
OG0000146	CARHR268720	Cg003G102640
OG0000146	CARHR268680	Cg003G102600
OG0000146	CARHR268700	Cg003G102620
OG0000146	CARHR268690	Cg003G102610
OG0000147	CARHR109500	Cg004G155250
OG0000147	CARHR238090	Cg001G010340
OG0000147	CARHR271150	Cg003G104960
OG0000147	CARHR073860	Cg007G280860
OG0000147	CARHR104060	Cg004G146670
OG0000147	CARHR117520	Cg005G189880
OG0000149	CARHR154790, CARHR154820	Cg002G060900
OG0000149	CARHR154830	Cg002G060880
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	Cg003G107300, Cg003G107310
OG0000149	CARHR273240, CARHR273230, CARHR273250	Cg003G107330, Cg003G107340
OG0000149	CARHR219850	Cg001G028530
OG0000149	CARHR273160	Cg003G107280
OG0000149	CARHR154780	Cg002G060920
OG0000150	CARHR263010, CARHR256190	Cg002G064460
OG0000150	CARHR207890, CARHR143200	Cg001G004220
OG0000150	CARHR150140	Cg002G061890
OG0000150	CARHR114860	Cg005G186200
OG0000150	CARHR150200	Cg002G061900
OG0000151	CARHR266340	Cg003G100170
OG0000151	CARHR235660	Cg001G012710
OG0000151	CARHR082990	Cg004G124340
OG0000151	CARHR107000	Cg004G152640
OG0000151	CARHR269520	Cg003G103430
OG0000151	CARHR046700	Cg007G246070
OG0000154	CARHR016540	Cg006G229860
OG0000154	CARHR087080	Cg004G128290
OG0000154	CARHR083850	Cg004G125060
OG0000154	CARHR210880	Cg008G283240
OG0000154	CARHR210890	Cg008G283230
OG0000155	CARHR234950	Cg001G013440
OG0000155	CARHR227980	Cg001G019650
OG0000155	CARHR086560	Cg004G127780
OG0000156	CARHR140800	Cg005G160190
OG0000156	CARHR140760, CARHR186310	Cg005G160240
OG0000156	CARHR140740	Cg005G160250
OG0000157	CARHR099660	Cg004G141270
OG0000158	CARHR210870	Cg008G283250
OG0000160	CARHR288090	Cg007G264990, Cg006G202970
OG0000161	CARHR275720	Cg003G109710
OG0000161	CARHR275710	Cg003G109720, Cg003G109690
OG0000161	CARHR120610	Cg005G179900
OG0000161	CARHR120240	Cg005G180000
OG0000161	CARHR120250	Cg005G179820
OG0000161	CARHR056680	Cg007G261690
OG0000161	CARHR056760	Cg007G262070, Cg007G264010
OG0000161	CARHR056690	Cg007G261320
OG0000161	CARHR038540, CARHR038530	Cg008G312840
OG0000161	CARHR056610	Cg007G257200
OG0000161	CARHR056630, CARHR038520, CARHR038560	Cg007G257190
OG0000162	CARHR069160, CARHR059610	Cg005G178220
OG0000162	CARHR170840	Cg002G046140
OG0000162	CARHR140170	Cg005G160860
OG0000162	CARHR121990	Cg005G178250
OG0000167	CARHR266210	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000
OG0000167	CARHR260280	Cg003G085600, Cg003G085540
OG0000167	CARHR226380	Cg001G021130
OG0000167	CARHR215370, CARHR215050	Cg001G036730
OG0000169	CARHR115410	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840
OG0000171	CARHR142560	Cg002G044340
OG0000171	CARHR023910	Cg007G270890
OG0000171	CARHR010800	Cg006G235360
OG0000171	CARHR198650	Cg008G294880
OG0000172	CARHR052010	Cg007G250080
OG0000172	CARHR052020	Cg007G250110, Cg002G061700, Cg007G250070, Cg008G311910
OG0000172	CARHR052000	Cg007G250100, Cg007G250140
OG0000172	CARHR169390	Cg002G060680, Cg002G060150
OG0000173	CARHR225750, CARHR035170, CARHR036310, CARHR180960, CARHR225740, CARHR180580, CARHR261170, CARHR292670, CARHR286110, CARHR216170, CARHR055060, CARHR225730, CARHR036300, CARHR150900, CARHR257050, CARHR216160, CARHR293270	Cg003G091670
OG0000174	CARHR218440	Cg006G205470, Cg006G207030
OG0000174	CARHR286250	Cg009G325780, Cg006G205480
OG0000175	CARHR160880	Cg002G055540
OG0000175	CARHR069390	Cg007G276430
OG0000175	CARHR020570	Cg006G225880
OG0000175	CARHR243300	Cg001G005230
OG0000175	CARHR108220	Cg004G153920
OG0000175	CARHR244350	Cg001G004130
OG0000176	CARHR030250	Cg006G213550, Cg006G213530, Cg006G213520
OG0000177	CARHR150970	Cg007G250370, Cg006G214000
OG0000178	CARHR104870, CARHR220690	Cg014G331270
OG0000178	CARHR118730, CARHR216370, CARHR181910, CARHR054120, CARHR111550, CARHR213150, CARHR121910, CARHR035340, CARHR105380, CARHR145030, CARHR124520, CARHR098760	Cg002G069730, Cg002G066500
OG0000180	CARHR264460	Cg007G279310
OG0000180	CARHR264470	Cg007G269630
OG0000181	CARHR122740	Cg004G121590
OG0000184	CARHR157490, CARHR154180, CARHR181110	Cg006G215550
OG0000185	CARHR146770	Cg003G088110
OG0000185	CARHR116590	Cg003G098770
OG0000187	CARHR239530	Cg001G008920
OG0000187	CARHR239540	Cg001G008910
OG0000189	CARHR132630	Cg001G007520
OG0000190	CARHR253020	Cg003G080580
OG0000190	CARHR250370	Cg006G210720
OG0000190	CARHR250360	Cg006G210710
OG0000190	CARHR259510	Cg003G080530
OG0000191	CARHR107420, CARHR107440, CARHR293580, CARHR148110	Cg004G153150, Cg004G153270
OG0000192	CARHR059110	Cg006G224780
OG0000192	CARHR181980, CARHR256500	Cg006G224760
OG0000193	CARHR096980, CARHR096960, CARHR096990	Cg004G138060
OG0000193	CARHR099220	Cg004G140730
OG0000195	CARHR119300	Cg005G182280
OG0000195	CARHR136200	Cg005G164920
OG0000195	CARHR058380	Cg001G036760
OG0000195	CARHR215030	Cg007G265630
OG0000195	CARHR191680	Cg008G301610
OG0000196	CARHR037160	Cg006G202640
OG0000196	CARHR028490	Cg006G217600
OG0000196	CARHR037140	Cg006G202630
OG0000196	CARHR110490	Cg006G237980
OG0000197	CARHR219370	Cg006G199500
OG0000197	CARHR123890, CARHR037380, CARHR065380	Cg001G041590
OG0000200	CARHR005450	Cg007G272860, Cg007G265230, Cg006G240300
OG0000200	CARHR291820	Cg001G038160, Cg001G038180
OG0000200	CARHR101580, CARHR101880, CARHR101530	Cg003G084880, Cg004G143040, Cg004G143090
OG0000203	CARHR078870	Cg004G120290
OG0000203	CARHR201470	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080
OG0000204	CARHR099050	Cg004G142490, Cg004G140470
OG0000204	CARHR044120	Cg006G200670
OG0000204	CARHR097380	Cg004G138460
OG0000204	CARHR238210	Cg001G010180
OG0000205	CARHR148260, CARHR265180, CARHR265400, CARHR149520	Cg003G098990, Cg003G098960, Cg003G098910
OG0000207	CARHR072280	Cg007G279410
OG0000210	CARHR102810, CARHR103310	Cg004G144520
OG0000210	CARHR145910	Cg002G073630, Cg002G073600
OG0000210	CARHR145930	Cg002G073620
OG0000210	CARHR127190	Cg005G173490
OG0000210	CARHR127170	Cg005G173520
OG0000210	CARHR162850	Cg005G173500
OG0000213	CARHR292800, CARHR292790	Cg005G191770
OG0000213	CARHR292760, CARHR285920	Cg005G191730
OG0000214	CARHR250390, CARHR248840, CARHR250400, CARHR250050	Cg003G078170
OG0000216	CARHR229020	Cg001G018790
OG0000216	CARHR229730	Cg001G018760
OG0000216	CARHR229010	Cg001G018780
OG0000217	CARHR283730	Cg007G251420
OG0000218	CARHR015470	Cg006G230920
OG0000218	CARHR015480	Cg006G230900, Cg006G230890
OG0000218	CARHR147290	Cg002G072370
OG0000218	CARHR144080	Cg002G075340
OG0000219	CARHR058980	Cg007G266520, Cg007G266510
OG0000219	CARHR185210, CARHR185220, CARHR233800	Cg001G014450
OG0000219	CARHR123060	Cg005G177180
OG0000219	CARHR277080	Cg003G095240, Cg003G111060
OG0000220	CARHR158340	Cg002G057630
OG0000220	CARHR050630, CARHR113370	Cg005G192620
OG0000220	CARHR269100	Cg003G103090
OG0000222	CARHR113140	Cg008G315660, Cg004G151260, Cg001G038580
OG0000222	CARHR184570, CARHR118460, CARHR125790, CARHR285080	Cg003G091290
OG0000224	CARHR071060	Cg007G278180
OG0000224	CARHR071050	Cg007G278170
OG0000224	CARHR071040	Cg007G278160
OG0000224	CARHR230420	Cg001G008870, Cg001G017640
OG0000224	CARHR048360, CARHR048350, CARHR048370	Cg007G247160
OG0000225	CARHR028800	Cg006G217130
OG0000226	CARHR279920	Cg003G113210
OG0000226	CARHR087530, CARHR087540	Cg004G128760
OG0000226	CARHR028040	Cg006G218020
OG0000228	CARHR064140	Cg007G271320
OG0000228	CARHR185670	Cg008G307350
OG0000228	CARHR023530	Cg006G222750
OG0000228	CARHR023520, CARHR023500, CARHR023510	Cg006G222760
OG0000228	CARHR292540	Cg002G069120
OG0000228	CARHR064090, CARHR064100	Cg007G271280
OG0000228	CARHR064110	Cg007G271290
OG0000229	CARHR251110	Cg008G315850, Cg014G331310
OG0000229	CARHR237670	Cg001G010780
OG0000229	CARHR063260, CARHR063690, CARHR263650, CARHR063700, CARHR063280	Cg007G270440, Cg007G270650
OG0000229	CARHR163030	Cg007G261570
OG0000230	CARHR069380	Cg007G276420
OG0000230	CARHR069270	Cg008G323410
OG0000230	CARHR069370	Cg007G276410
OG0000231	CARHR220460	Cg007G260410
OG0000232	CARHR080100	Cg004G121460
OG0000232	CARHR105520	Cg004G149470, Cg004G149480, Cg004G150500, Cg004G149520
OG0000232	CARHR105480	Cg004G149550
OG0000234	CARHR151000	Cg002G062460
OG0000234	CARHR165130	Cg002G051400
OG0000234	CARHR165120	Cg002G051410
OG0000234	CARHR165110	Cg002G051420
OG0000234	CARHR134140	Cg005G166930
OG0000234	CARHR199860	Cg008G293710
OG0000235	CARHR031880	Cg006G213560
OG0000235	CARHR036380	Cg006G202900, Cg006G202870
OG0000235	CARHR036970	Cg006G202910, Cg006G202830
OG0000235	CARHR091790	Cg004G133010
OG0000236	CARHR000080, CARHR100230	Cg001G028350, Cg004G141830
OG0000236	CARHR102630	Cg004G144380
OG0000236	CARHR097950	Cg004G139220
OG0000236	CARHR260580	Cg003G086380
OG0000239	CARHR126990, CARHR127010, CARHR253920	Cg005G173640
OG0000239	CARHR262160	Cg001G040490
OG0000240	CARHR062190	Cg001G033750
OG0000242	CARHR105760, CARHR105770	Cg004G150060, Cg004G150660, Cg004G150050, Cg004G150670
OG0000242	CARHR105730	Cg004G150020, Cg004G150680
OG0000242	CARHR014460	Cg006G231900
OG0000242	CARHR014490	Cg006G231890
OG0000244	CARHR228610	Cg001G019150
OG0000244	CARHR252730	Cg003G093660, Cg003G080320
OG0000248	CARHR253860, CARHR253820, CARHR253850	Cg003G081350
OG0000248	CARHR253870	Cg003G081360
OG0000248	CARHR253840, CARHR253830	Cg003G081340
OG0000248	CARHR054340	Cg007G252860
OG0000248	CARHR216300	Cg001G034710
OG0000249	CARHR131180, CARHR131170	Cg005G169790
OG0000250	CARHR063130, CARHR063150	Cg007G270460
OG0000250	CARHR063140	Cg007G270470
OG0000252	CARHR135510	Cg005G190920
OG0000252	CARHR210300	Cg008G283740
OG0000252	CARHR095200	Cg004G136500
OG0000254	CARHR093470, CARHR093450	Cg004G134710
OG0000254	CARHR117790	Cg005G190180
OG0000256	CARHR135560	Cg005G165640
OG0000257	CARHR102040	Cg004G143430
OG0000257	CARHR102030	Cg004G143470, Cg004G143460
OG0000257	CARHR041320	Cg006G198470, Cg006G198480
OG0000257	CARHR216070, CARHR112870, CARHR219950, CARHR216060, CARHR057800, CARHR216110	Cg001G035030
OG0000258	CARHR147300	Cg002G072340
OG0000258	CARHR147310	Cg002G072310, Cg002G072330
OG0000258	CARHR271060	Cg003G104860
OG0000258	CARHR147330	Cg002G072320
OG0000260	CARHR256020	Cg003G083550
OG0000264	CARHR252330	Cg003G079930, Cg003G094080
OG0000264	CARHR252290	Cg003G094890, Cg003G079050
OG0000264	CARHR252280, CARHR252320, CARHR252310	Cg003G094090, Cg003G079920, Cg003G094100, Cg003G079900, Cg003G094120, Cg003G094110, Cg003G079910, Cg003G079890
