Orthogroup	Cardamine_hirsuta	Odontarrhena_muralis
OG0000044	CARHR286710, CARHR217190, CARHR273180	Om007G314900
OG0000044	CARHR057390, CARHR183570, CARHR116100, CARHR107370	Om007G312940, Om006G264420, Om002G069520, Om005G221680, Om005G221660
OG0000046	CARHR257300, CARHR257310, CARHR263410	Om006G241220
OG0000046	CARHR225000, CARHR225010	Om001G001860
OG0000046	CARHR059270, CARHR059250	Om005G206750
OG0000048	CARHR077950	Om002G045400
OG0000048	CARHR077910	Om002G045440
OG0000052	CARHR002800	Om005G179650, Om008G361390, Om005G180640
OG0000052	CARHR137510	Om008G354070, Om008G326640
OG0000052	CARHR260850	Om008G326600
OG0000052	CARHR127280	Om008G326650
OG0000052	CARHR137550	Om008G326590
OG0000053	CARHR044830	Om002G081910, Om001G013510, Om007G303670, Om001G005250, Om003G102410, Om005G223530, Om003G110840, Om001G030740, Om005G223990, Om005G212830
OG0000054	CARHR056490	Om002G043200, Om007G279110, Om006G263890, Om006G251510, Om008G354720, Om007G277220, Om003G128320, Om005G214240, Om002G057290
OG0000055	CARHR050060	Om001G019570, Om001G031910
OG0000055	CARHR049980, CARHR050290, CARHR050280, CARHR050160	Om008G361740, Om008G332920, Om003G120530, Om005G198120
OG0000056	CARHR153090	Om008G361080, Om003G090740, Om007G293830, Om008G321670
OG0000056	CARHR219260, CARHR049910	Om005G209160, Om002G073230, Om001G006930, Om005G212260
OG0000057	CARHR111010	Om004G172320, Om008G335030, Om004G172300
OG0000058	CARHR154060	Om006G269070, Om006G268950, Om004G151670
OG0000058	CARHR153550	Om008G335110, Om007G318000, Om007G289630, Om007G296230
OG0000061	CARHR117010	Om003G100910
OG0000061	CARHR217030	Om006G238480
OG0000061	CARHR264280	Om003G106600, Om008G345470, Om008G347220
OG0000061	CARHR258030	Om001G020570, Om005G225030, Om004G146510, Om001G027660
OG0000062	CARHR100910	Om002G089260, Om019G374190, Om019G374330, Om019G374380, Om002G089220, Om005G205060, Om005G204090, Om003G124440, Om002G089320, Om003G109490
OG0000063	CARHR154290	Om005G185480
OG0000063	CARHR121870	Om005G185680, Om006G245820
OG0000064	CARHR247830	Om001G041080
OG0000064	CARHR020490	Om001G033560
OG0000065	CARHR184170	Om005G217710
OG0000065	CARHR117850	Om006G268440
OG0000066	CARHR069000, CARHR096450, CARHR058350, CARHR068990	Om004G164550
OG0000066	CARHR202910	Om008G337830, Om006G231860
OG0000066	CARHR279310	Om004G165570
OG0000068	CARHR153260, CARHR182390	Om006G264170, Om007G304230, Om004G149200, Om004G147110
OG0000071	CARHR055550, CARHR082570	Om001G039370
OG0000071	CARHR183910	Om007G316830, Om001G007220
OG0000073	CARHR116330	Om002G052330
OG0000074	CARHR024090	Om004G144060
OG0000074	CARHR024100	Om004G144350
OG0000074	CARHR024030, CARHR024020, CARHR024000	Om004G144100
OG0000074	CARHR023940	Om004G143840
OG0000075	CARHR099040	Om005G191180
OG0000076	CARHR292090	Om006G255670
OG0000076	CARHR065210, CARHR065340, CARHR121130, CARHR148040, CARHR278910, CARHR150860	Om006G242520
OG0000076	CARHR148060, CARHR148030, CARHR148020	Om003G090370
OG0000077	CARHR247160	Om001G035000
OG0000077	CARHR286150, CARHR286180	Om001G034120, Om001G040110
OG0000077	CARHR286090	Om005G191300
OG0000077	CARHR247180	Om005G195310
OG0000078	CARHR151660	Om004G148580
OG0000079	CARHR111250	Om003G123020
OG0000079	CARHR169400	Om003G122810
OG0000079	CARHR169290	Om003G122730
OG0000079	CARHR186450, CARHR286030, CARHR217340	Om003G122880, Om003G122870
OG0000080	CARHR215660	Om004G135430
OG0000080	CARHR270010	Om001G013570
OG0000080	CARHR123150, CARHR123070, CARHR123140	Om003G125630, Om008G347380, Om008G343390, Om008G346000
OG0000081	CARHR037410	Om001G032270
OG0000081	CARHR037720, CARHR037850, CARHR037710	Om006G269790, Om006G269770, Om006G266480, Om003G092590, Om003G096470
OG0000081	CARHR040900, CARHR040920	Om003G096460
OG0000084	CARHR117030, CARHR118620	Om001G014490, Om008G359620, Om008G359610, Om001G014520, Om008G359580
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420, CARHR250760, CARHR201430, CARHR201440, CARHR250740, CARHR250750	Om004G163220
OG0000087	CARHR189700	Om006G238380
OG0000087	CARHR122890	Om007G282390
OG0000087	CARHR200860	Om004G162490
OG0000087	CARHR128920	Om008G339690
OG0000087	CARHR178800	Om008G355890
OG0000087	CARHR227450	Om001G006430
OG0000087	CARHR069200	Om004G137360
OG0000088	CARHR155740, CARHR155710, CARHR155700, CARHR156270	Om003G119630
OG0000088	CARHR192340, CARHR192330	Om006G242180
OG0000089	CARHR203590	Om004G166350
OG0000089	CARHR094190	Om002G065930
OG0000089	CARHR086670	Om002G055730
OG0000089	CARHR131960	Om006G254270
OG0000089	CARHR285740	Om006G246310, Om006G246300
OG0000090	CARHR020650	Om005G202290, Om005G179690
OG0000090	CARHR069500	Om004G136810
OG0000090	CARHR288810	Om002G055690, Om003G124430
OG0000090	CARHR145500, CARHR145480	Om006G274160
OG0000091	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050	Om006G264850, Om002G080860
OG0000093	CARHR168740	Om003G122050
OG0000093	CARHR168730	Om001G033140
OG0000093	CARHR168710	Om003G122020
OG0000093	CARHR168690	Om003G122010
OG0000093	CARHR168640	Om003G121950
OG0000093	CARHR168600	Om003G121760
OG0000096	CARHR145650, CARHR145640	Om007G301150, Om003G093070, Om006G274060
OG0000096	CARHR145630	Om005G199550
OG0000096	CARHR225020, CARHR254980, CARHR254940, CARHR177080, CARHR176920, CARHR112190, CARHR177280, CARHR176910	Om004G143550, Om008G360980
OG0000097	CARHR252090, CARHR252110	Om008G355570
OG0000097	CARHR252050	Om008G355700
OG0000097	CARHR252100	Om008G355610, Om008G355650, Om008G354170, Om008G354150
OG0000098	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830, CARHR048210, CARHR049300	Om001G001780
OG0000098	CARHR220990, CARHR220970	Om005G191670, Om008G342380
OG0000098	CARHR255820	Om005G191560
OG0000098	CARHR013070	Om005G191920, Om005G192380
OG0000099	CARHR051500	Om005G227480
OG0000100	CARHR054110, CARHR100990	Om007G304610
OG0000101	CARHR149280, CARHR047170, CARHR047230	Om005G227120
OG0000101	CARHR047460	Om005G226700, Om005G227060
OG0000101	CARHR149290	Om005G227690
OG0000104	CARHR007350	Om005G185360
OG0000104	CARHR122230	Om007G283030
OG0000104	CARHR122240	Om007G283020
OG0000104	CARHR039100	Om003G095420
OG0000104	CARHR097260	Om002G069400
OG0000104	CARHR258870	Om003G095400
OG0000104	CARHR041960	Om003G095360
OG0000104	CARHR041980	Om003G095350
OG0000106	CARHR248580	Om005G222030
OG0000107	CARHR119260, CARHR119250	Om002G067730
OG0000107	CARHR095660	Om002G067740
OG0000107	CARHR095690, CARHR095670, CARHR096820, CARHR096830, CARHR097220, CARHR095680	Om002G067770
OG0000108	CARHR174970	Om003G100270, Om003G100260
OG0000108	CARHR046250	Om006G273840, Om006G273820
OG0000110	CARHR169600	Om003G123410
OG0000110	CARHR169580	Om003G123400
OG0000111	CARHR221770	Om006G259270
OG0000112	CARHR274650, CARHR274680	Om008G359070, Om008G359090, Om008G359060
OG0000113	CARHR047200, CARHR047160	Om005G227040
OG0000113	CARHR262020	Om005G227030
OG0000113	CARHR175790, CARHR175830, CARHR174830	Om008G360430
OG0000113	CARHR178690, CARHR116320	Om008G360410, Om008G360750
OG0000113	CARHR047550, CARHR175180, CARHR175270	Om001G037540
OG0000113	CARHR106060	Om002G045450
OG0000113	CARHR228760	Om001G034170
OG0000113	CARHR181190	Om002G081270
OG0000114	CARHR078370, CARHR078360	Om002G045910, Om002G045900
OG0000114	CARHR071840, CARHR251920, CARHR071800	Om004G135370
OG0000119	CARHR115250	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890, Om002G078050, Om003G114030, Om001G022840, Om005G223060, Om007G309980, Om007G284090
OG0000119	CARHR292260, CARHR102990	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730
OG0000120	CARHR285170	Om005G221860
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520
OG0000120	CARHR208650	Om007G296760, Om007G296900, Om004G172660
OG0000122	CARHR033430, CARHR033520	Om004G163000
OG0000122	CARHR129080, CARHR269910, CARHR269890, CARHR031770, CARHR036540	Om003G118900, Om003G118890
OG0000122	CARHR269760	Om006G231000
OG0000123	CARHR014050	Om005G193630
OG0000124	CARHR182430	Om006G259690, Om005G203070, Om006G231520, Om003G107740, Om004G176730
OG0000124	CARHR287060, CARHR146840, CARHR038370, CARHR217450	Om005G206120
OG0000124	CARHR036720	Om003G103030
OG0000124	CARHR117340, CARHR057000, CARHR158410, CARHR153220	Om004G142190
OG0000125	CARHR210790	Om002G052080
OG0000125	CARHR190650	Om006G244360
OG0000125	CARHR007600	Om005G185630
OG0000125	CARHR273520	Om006G245540
OG0000125	CARHR121850	Om007G283300
OG0000127	CARHR211450	Om004G176360
OG0000128	CARHR155450	Om004G154610
OG0000131	CARHR283860	Om003G106820
OG0000131	CARHR287300	Om007G307190
OG0000136	CARHR058600	Om002G045120
OG0000136	CARHR276580	Om003G099850
OG0000137	CARHR259840	Om010G364760, Om004G159790, Om004G151600, Om004G146850
OG0000138	CARHR274850	Om002G065910
OG0000138	CARHR153070, CARHR153150, CARHR254660, CARHR113960, CARHR113980	Om001G026370
OG0000140	CARHR285530	Om006G246590
OG0000140	CARHR272760, CARHR272770, CARHR053670	Om006G247230, Om006G247200
OG0000140	CARHR285460, CARHR285480	Om006G246640
OG0000142	CARHR122550	Om007G282790, Om006G267630
OG0000142	CARHR122540	Om007G282780
OG0000142	CARHR122600, CARHR122570, CARHR122580, CARHR119640	Om007G282660
OG0000146	CARHR268710	Om003G117410
OG0000146	CARHR268680	Om003G117350
OG0000146	CARHR268700	Om003G117400, Om003G117360
OG0000147	CARHR238090	Om001G025660
OG0000147	CARHR271150	Om007G285990, Om006G249440
OG0000147	CARHR073860	Om004G130850
OG0000147	CARHR153650	Om006G268290
OG0000147	CARHR104060	Om002G078960
OG0000149	CARHR273170, CARHR273200, CARHR273210, CARHR273220	Om006G245860
OG0000149	CARHR273240, CARHR273230, CARHR273250	Om006G245840
OG0000149	CARHR219850	Om007G317470
OG0000149	CARHR273160, CARHR122210	Om006G256850
OG0000150	CARHR118700, CARHR273840	Om008G323560
OG0000150	CARHR263010, CARHR256190	Om007G296930
OG0000150	CARHR150140	Om001G010460
OG0000150	CARHR059580, CARHR150110	Om005G201710
OG0000151	CARHR266340	Om003G114720
OG0000151	CARHR235660	Om001G021860
OG0000151	CARHR082990	Om002G051120
OG0000151	CARHR107000	Om002G082850
OG0000151	CARHR269520	Om003G118410
OG0000151	CARHR046700	Om005G227900
OG0000154	CARHR016540	Om005G196960
OG0000154	CARHR087080	Om002G056330
OG0000154	CARHR000060, CARHR229590, CARHR069350	Om004G147280
OG0000154	CARHR210880	Om004G175620
OG0000154	CARHR210890	Om004G175630
OG0000155	CARHR234950	Om001G020030
OG0000155	CARHR227980	Om001G007100
OG0000155	CARHR086560	Om002G055620
OG0000156	CARHR171330	Om006G244600
OG0000156	CARHR140730	Om008G322060
OG0000156	CARHR140780, CARHR140790, CARHR140740	Om008G321950, Om008G321940
OG0000156	CARHR140750	Om004G146270, Om008G321930, Om001G022080, Om008G321920, Om008G322040, Om008G322020
OG0000157	CARHR102680	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660
OG0000157	CARHR133050, CARHR115930, CARHR115970, CARHR115940, CARHR133070, CARHR133060, CARHR101240	Om008G326040, Om008G355750
OG0000158	CARHR245230	Om001G012390, Om001G033100, Om001G033130
OG0000161	CARHR275720, CARHR275710, CARHR275730, CARHR120610, CARHR120240, CARHR120250	Om006G236100, Om006G236170
OG0000161	CARHR056690	Om007G278440
OG0000161	CARHR038540, CARHR038530, CARHR056610, CARHR056630, CARHR038520, CARHR038560	Om004G167210, Om006G249300
OG0000162	CARHR170850	Om003G125430
OG0000162	CARHR069160, CARHR059610	Om003G125390
OG0000162	CARHR170820	Om003G125140
OG0000162	CARHR170840	Om003G125170
OG0000162	CARHR140170	Om008G322780, Om008G322790
OG0000164	CARHR041160, CARHR041170	Om001G039840
OG0000164	CARHR246950	Om001G039830
OG0000167	CARHR226380	Om001G004410
OG0000169	CARHR067340	Om003G127060
OG0000171	CARHR142560	Om003G127920
OG0000171	CARHR023910	Om005G207720
OG0000171	CARHR010800, CARHR052550	Om005G220880
OG0000171	CARHR198650	Om007G301020
OG0000172	CARHR169320	Om003G122950
OG0000172	CARHR169390	Om003G123000
OG0000172	CARHR169360	Om003G122820
OG0000174	CARHR286250	Om003G109150
OG0000175	CARHR160880	Om002G084540, Om006G257450
OG0000175	CARHR069390	Om004G137100
OG0000175	CARHR243300	Om002G082840
OG0000176	CARHR253630, CARHR047620	Om007G291450
OG0000176	CARHR144020, CARHR029840	Om008G352670, Om008G352700, Om008G352660, Om008G352690, Om007G291500
OG0000178	CARHR181910	Om005G226210
OG0000178	CARHR124520, CARHR098760	Om004G134680, Om004G134670, Om003G110440, Om002G077640, Om005G199540, Om007G276140, Om004G164470, Om002G068680
OG0000181	CARHR110940	Om005G212500
OG0000184	CARHR157490, CARHR154180, CARHR181110	Om006G270790
OG0000185	CARHR146770, CARHR116590	Om001G041450, Om008G356330, Om008G319330
OG0000186	CARHR103200	Om007G285030
OG0000187	CARHR239530	Om001G030100, Om008G336940
OG0000187	CARHR239540	Om001G028140
OG0000187	CARHR239600	Om001G028260, Om001G028280
OG0000187	CARHR085640	Om002G054360, Om002G054350
OG0000189	CARHR246590	Om007G298410, Om006G250870, Om001G039670
OG0000189	CARHR132630	Om001G037310
OG0000190	CARHR253020	Om008G353940
OG0000190	CARHR250360	Om008G355670
OG0000190	CARHR259510	Om008G353960
OG0000191	CARHR091820	Om005G197150
OG0000191	CARHR293570, CARHR148120, CARHR091830	Om005G197140
OG0000191	CARHR107420, CARHR107440, CARHR293580, CARHR148110	Om002G064270
OG0000192	CARHR059110	Om005G203480
OG0000192	CARHR181970	Om005G203440
OG0000192	CARHR181980, CARHR256500	Om005G203410
OG0000193	CARHR099220	Om002G071740, Om002G071690
OG0000193	CARHR097030, CARHR150060, CARHR108190, CARHR108200	Om005G206290
OG0000195	CARHR136200	Om003G119760
OG0000195	CARHR058380, CARHR215030, CARHR114540, CARHR191680	Om007G285150
OG0000196	CARHR203250	Om005G182070
OG0000196	CARHR028740	Om005G182080
OG0000196	CARHR028490	Om007G289440
OG0000196	CARHR110490	Om005G183260, Om008G337540
OG0000200	CARHR291830, CARHR263700	Om005G182720
OG0000202	CARHR099690, CARHR024770	Om020G374490, Om011G365230
OG0000203	CARHR078880, CARHR078860, CARHR078870	Om003G095370, Om002G055150
OG0000203	CARHR201470	Om002G046450, Om002G046460
OG0000204	CARHR098530	Om002G070990
OG0000207	CARHR180390	Om004G136280
OG0000207	CARHR017450	Om005G197960, Om005G197970
OG0000208	CARHR264830	Om001G040250
OG0000210	CARHR145910, CARHR145930, CARHR145900	Om001G032060, Om001G032100
OG0000210	CARHR127190	Om007G278540
OG0000213	CARHR066320, CARHR066310, CARHR066300, CARHR066340, CARHR066330, CARHR066290, CARHR066360	Om004G141230, Om005G208800
OG0000213	CARHR084950	Om002G053370
OG0000213	CARHR292800, CARHR292790, CARHR292750, CARHR257100, CARHR292760, CARHR285920	Om001G036460, Om001G036440, Om001G036450
OG0000214	CARHR250390, CARHR248840, CARHR250400, CARHR250050	Om004G136700, Om004G136680, Om004G145470
OG0000216	CARHR229000, CARHR229580	Om001G007580
OG0000216	CARHR283650, CARHR229570	Om001G008700
OG0000216	CARHR229010, CARHR229070, CARHR229050, CARHR229110	Om003G116290, Om001G008720, Om006G250260
OG0000217	CARHR283900	Om001G001730
OG0000218	CARHR015470, CARHR015480	Om005G195550
OG0000218	CARHR147290	Om001G010890, Om001G010900, Om001G010920
OG0000218	CARHR144080	Om006G241660
OG0000219	CARHR058980	Om005G213260
OG0000219	CARHR123080, CARHR123060	Om007G282230
OG0000219	CARHR266750	Om008G350180, Om006G237850, Om006G237870
OG0000220	CARHR211050	Om004G175360, Om004G175350, Om004G175400
OG0000224	CARHR071060, CARHR071050, CARHR071040	Om004G134640, Om004G134630
OG0000224	CARHR048360, CARHR048350, CARHR048370	Om005G225780
OG0000225	CARHR028850, CARHR028820, CARHR028900, CARHR028880, CARHR028810	Om007G289790
OG0000225	CARHR028760	Om007G289780, Om007G289840, Om007G289820, Om007G289860, Om007G289850
OG0000226	CARHR087530, CARHR087540, CARHR160050, CARHR160040, CARHR028040	Om003G089750
OG0000228	CARHR064120	Om005G207000
OG0000228	CARHR064130	Om005G207070
OG0000229	CARHR063260, CARHR063690, CARHR263650, CARHR063700, CARHR063280, CARHR163030	Om001G026580
OG0000230	CARHR069290, CARHR069250	Om004G137280, Om004G137390, Om004G137300, Om004G137400
OG0000231	CARHR056350, CARHR213950, CARHR041780, CARHR214130, CARHR214120, CARHR262590	Om006G259610
OG0000234	CARHR165130	Om006G252380
OG0000234	CARHR165120	Om006G252400
OG0000234	CARHR165110	Om006G252410
OG0000234	CARHR134140	Om008G332130
OG0000234	CARHR199860	Om004G161230
OG0000235	CARHR091790	Om002G062850, Om002G062830
OG0000236	CARHR097950	Om002G071210
OG0000236	CARHR097940	Om002G070320
OG0000236	CARHR062600	Om006G242740
OG0000236	CARHR062590, CARHR062610, CARHR102640	Om006G242750
OG0000240	CARHR004570	Om008G346090
OG0000242	CARHR014460	Om005G193910
OG0000242	CARHR014490	Om005G194120
OG0000244	CARHR228610	Om001G008070
OG0000244	CARHR252730	Om008G354340
OG0000244	CARHR107520	Om008G354350, Om003G110630
OG0000247	CARHR057950	Om002G054440, Om002G054450, Om002G054460
OG0000248	CARHR253870	Om008G353070
OG0000248	CARHR054340	Om011G365210, Om020G374470
OG0000248	CARHR166590	Om003G119420
OG0000249	CARHR131110	Om008G336610
OG0000249	CARHR131180, CARHR131170	Om008G336590, Om008G336600
OG0000249	CARHR131140, CARHR131130, CARHR131160, CARHR131150	Om008G336640
OG0000250	CARHR215600	Om001G040920, Om001G040910
OG0000250	CARHR263080	Om005G208360
OG0000252	CARHR210300, CARHR210320, CARHR100570, CARHR100650, CARHR095200, CARHR095190, CARHR049800, CARHR100580	Om008G334420, Om008G334430, Om003G122070, Om004G175220
OG0000253	CARHR115150	Om004G150660
OG0000254	CARHR093470, CARHR093450	Om002G064970
OG0000254	CARHR117790	Om004G175010
OG0000256	CARHR253260, CARHR253390	Om008G329780
OG0000256	CARHR135560	Om008G329670
OG0000257	CARHR041320	Om001G002940
OG0000257	CARHR216070, CARHR112870, CARHR219950, CARHR216060, CARHR057800, CARHR216110	Om006G235420
OG0000258	CARHR147300	Om008G334140
OG0000258	CARHR147340	Om008G327620, Om006G251330
OG0000258	CARHR147330	Om006G272550
OG0000264	CARHR252330, CARHR252290, CARHR251320	Om008G355250
OG0000264	CARHR251330	Om004G160560, Om004G160570, Om004G160550
OG0000266	CARHR119130	Om003G128150
OG0000268	CARHR144670	Om006G274870
OG0000268	CARHR049930	Om008G334210
OG0000268	CARHR211500	Om004G176390
OG0000268	CARHR164050	Om006G253920
OG0000270	CARHR243020, CARHR106740	Om001G041100
OG0000270	CARHR247840	Om001G033200
OG0000273	CARHR038710, CARHR038690, CARHR038330	Om007G280490
OG0000273	CARHR038630, CARHR038320	Om003G099210
OG0000274	CARHR273300	Om006G245790
OG0000274	CARHR122830	Om007G282440
OG0000276	CARHR218850	Om008G337850
OG0000278	CARHR259720	Om005G206870
OG0000281	CARHR040090	Om003G097620
OG0000281	CARHR229890, CARHR025250	Om003G121390, Om003G121360, Om003G121670
OG0000281	CARHR147000	Om003G121350, Om003G121370
OG0000282	CARHR205620	Om004G168720
OG0000282	CARHR205610	Om004G168690
OG0000282	CARHR205590, CARHR205580, CARHR205600	Om004G168680
OG0000283	CARHR180240	Om007G278090
OG0000283	CARHR180280	Om007G278120, Om007G278110, Om007G278160, Om007G278100, Om007G278130
OG0000284	CARHR119540, CARHR119080, CARHR102130, CARHR101660, CARHR102230, CARHR102520, CARHR264270, CARHR180810	Om008G355920, Om008G362090, Om006G261130, Om008G355220, Om008G362100
OG0000286	CARHR253160, CARHR266730, CARHR257990, CARHR224090, CARHR266780, CARHR036480	Om001G007790
OG0000288	CARHR112590	Om004G133570, Om004G133540, Om004G133530, Om004G133860, Om004G133800, Om004G133790, Om004G133550, Om004G133520, Om004G133810, Om004G133560, Om004G134190, Om002G050850, Om002G050600
OG0000290	CARHR157630, CARHR283740, CARHR094030, CARHR112470	Om002G065710
OG0000290	CARHR279290, CARHR058360	Om005G197460, Om006G231890, Om006G251270, Om006G250320
OG0000294	CARHR092710	Om002G064000
OG0000294	CARHR131330	Om008G336510
OG0000294	CARHR142440	Om008G319990
OG0000294	CARHR249810	Om004G159000
OG0000294	CARHR001810	Om005G179320
OG0000297	CARHR118860, CARHR244920, CARHR244890	Om005G212040, Om001G036360, Om001G036390
OG0000297	CARHR274100	Om006G242900, Om006G244950
OG0000297	CARHR095150	Om002G067110
OG0000299	CARHR071990	Om001G011700
OG0000300	CARHR103210	Om001G025280
OG0000300	CARHR103220	Om001G025290
OG0000300	CARHR103190, CARHR103130	Om008G353600
OG0000301	CARHR263710, CARHR257150, CARHR113850, CARHR159730	Om006G257000, Om018G373790, Om003G123180, Om008G342680, Om001G016630, Om008G353760, Om001G019630, Om003G108890
OG0000304	CARHR094510	Om008G357260
OG0000308	CARHR018220	Om007G306690, Om008G350290
OG0000308	CARHR018200	Om005G198900
OG0000310	CARHR036840, CARHR183820, CARHR273750, CARHR273860, CARHR118680, CARHR285940	Om006G245320, Om003G096540
OG0000311	CARHR196640	Om007G298120
OG0000311	CARHR038100	Om003G099520
OG0000311	CARHR093170	Om002G064550
OG0000311	CARHR292180	Om005G213850
OG0000313	CARHR227020, CARHR227030, CARHR227040, CARHR227060	Om001G005460
OG0000313	CARHR038820	Om003G099080
OG0000314	CARHR004130	Om005G181880
OG0000314	CARHR004140	Om005G181890
OG0000316	CARHR135700	Om008G335620
OG0000319	CARHR274060	Om006G273210
OG0000319	CARHR204750, CARHR007730	Om005G185820, Om006G245010
OG0000321	CARHR215670, CARHR215220	Om003G119980
OG0000321	CARHR215200, CARHR215650, CARHR215620, CARHR215640, CARHR215560, CARHR215610, CARHR215570	Om008G337250, Om004G152510, Om004G166140, Om008G337290, Om008G337300, Om008G337280, Om008G337270
OG0000322	CARHR071920	Om004G133260
OG0000322	CARHR017730	Om005G198270
OG0000322	CARHR036870	Om008G329570
OG0000322	CARHR260510, CARHR135390	Om008G333060, Om008G330110, Om008G330430
OG0000323	CARHR267340	Om003G115780
OG0000323	CARHR235370, CARHR235380	Om001G021170
OG0000324	CARHR116560	Om001G037650, Om006G272040, Om002G069780, Om002G069760, Om001G037660, Om002G069770, Om006G272050, Om007G292940, Om007G305950, Om006G251240, Om008G362470, Om008G360900, Om007G309040, Om002G085120, Om004G135510, Om004G156750, Om004G138360, Om005G207620, Om005G223670, Om006G262380, Om002G083090, Om008G349590, Om003G111220, Om004G152350, Om004G152340
OG0000327	CARHR164480, CARHR164490	Om006G253100, Om006G251140, Om006G251150, Om006G253090
OG0000328	CARHR220880	Om003G102580
OG0000328	CARHR263560, CARHR263570	Om001G030480, Om005G213750, Om001G030460, Om001G030490
OG0000330	CARHR169770, CARHR152730	Om003G124190
OG0000330	CARHR170350	Om003G124480, Om003G124500
OG0000332	CARHR193130, CARHR193110	Om006G241400
OG0000334	CARHR163740	Om006G254200
OG0000334	CARHR131810	Om008G335090
OG0000335	CARHR100860	Om002G054740
