Orthogroup	Cardamine_hirsuta	Cardamine_amara
OG0000023	CARHR230410	evm.model.RL_2.1839
OG0000023	CARHR254920	evm.model.RL_8.624
OG0000023	CARHR254910	evm.model.RL_8.626
OG0000023	CARHR254880	evm.model.RL_8.630
OG0000023	CARHR230390	evm.model.RL_2.1829
OG0000023	CARHR230400	evm.model.RL_2.1830
OG0000023	CARHR230300	evm.model.RL_2.1825.3.687c86e4
OG0000023	CARHR254990	evm.model.RL_2.1841
OG0000023	CARHR230350	evm.model.RL_2.1827
OG0000025	CARHR100780	evm.model.RL_2.872
OG0000025	CARHR267830	evm.model.RL_8.1541
OG0000025	CARHR244240	evm.model.RL_2.3111
OG0000025	CARHR203520, CARHR028780	evm.model.RL_8.1529
OG0000027	CARHR148710	evm.model.RL_3.649, evm.model.RL_7.2276
OG0000027	CARHR045190, CARHR030410, CARHR030440, CARHR030470	evm.model.RL_5.2839
OG0000027	CARHR168020	evm.model.RL_7.580
OG0000028	CARHR116610, CARHR153140	evm.model.RL_4.1689
OG0000029	CARHR287660	evm.model.RL_2.306
OG0000029	CARHR183060	evm.model.RL_5.2382
OG0000030	CARHR181500	evm.model.RL_7.2074
OG0000031	CARHR055270	evm.model.RL_3.204
OG0000031	CARHR048810, CARHR051050	evm.model.RL_3.758
OG0000031	CARHR048190, CARHR051150	evm.model.RL_3.205
OG0000032	CARHR257880	evm.model.RL_1.3084
OG0000033	CARHR230270	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	CARHR230320	evm.model.RL_2.1828
OG0000033	CARHR230570, CARHR230590, CARHR230540	evm.model.RL_2.1847
OG0000033	CARHR230620	evm.model.RL_2.1846
OG0000033	CARHR230230	evm.model.RL_2.1820_evm.model.RL_2.1823
OG0000033	CARHR230600, CARHR230550, CARHR255000, CARHR230610	evm.model.RL_3.424, evm.model.RL_3.1278
OG0000033	CARHR252350	evm.model.RL_8.413
OG0000038	CARHR158480, CARHR158470, CARHR158440	evm.model.RL_7.1446
OG0000038	CARHR265450	evm.model.RL_8.1346, evm.model.RL_8.1344
OG0000040	CARHR260760, CARHR260790	evm.model.RL_7.2097
OG0000040	CARHR158530	evm.model.RL_2.1272
OG0000040	CARHR059990, CARHR060010	evm.model.RL_3.1121
OG0000043	CARHR056220, CARHR105040	evm.model.RL_2.730
OG0000043	CARHR221160, CARHR034710, CARHR057830, CARHR284340, CARHR219040, CARHR182000, CARHR104410, CARHR218070, CARHR153240	evm.model.RL_6.792
OG0000044	CARHR117470	evm.model.RL_4.607, evm.model.RL_6.541
OG0000044	CARHR159290, CARHR150320	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	CARHR286710, CARHR217190, CARHR273180	evm.model.RL_3.633, evm.model.RL_7.2338
OG0000044	CARHR152970	evm.model.RL_8.226
OG0000044	CARHR057390, CARHR183570, CARHR116100, CARHR107370	evm.model.RL_2.659
OG0000046	CARHR214340	evm.model.RL_2.391
OG0000046	CARHR225000, CARHR225010	evm.model.RL_2.1379
OG0000046	CARHR059270	evm.model.RL_3.1072
OG0000046	CARHR059250	evm.model.RL_3.1077
OG0000046	CARHR059070	evm.model.RL_3.1059
OG0000046	CARHR059130	evm.model.RL_3.1065
OG0000046	CARHR214400	evm.model.RL_2.398
OG0000052	CARHR002800	evm.model.RL_5.167
OG0000052	CARHR109310, CARHR260850	evm.model.RL_8.2684
OG0000052	CARHR127280	evm.model.RL_6.1412
OG0000052	CARHR137550	evm.model.RL_6.2368
OG0000052	CARHR256260	evm.model.RL_8.741
OG0000053	CARHR152130, CARHR102470, CARHR286550	evm.model.RL_1.2655
OG0000054	CARHR056490	evm.model.RL_1.2395
OG0000055	CARHR050220	evm.model.RL_3.282
OG0000055	CARHR050320	evm.model.RL_3.286
OG0000055	CARHR049970	evm.model.RL_3.285
OG0000055	CARHR050330	evm.model.RL_3.288
OG0000056	CARHR153090	evm.model.RL_1.2423, evm.model.RL_1.2416
OG0000056	CARHR260200	evm.model.RL_8.1064
OG0000056	CARHR119870	evm.model.RL_7.2479
OG0000056	CARHR219260	evm.model.RL_8.880
OG0000056	CARHR049910	evm.model.RL_8.260
OG0000057	CARHR096180, CARHR096160	evm.model.RL_1.2123
OG0000057	CARHR100820, CARHR222490	evm.model.RL_1.2359
OG0000058	CARHR153550	evm.model.RL_2.1104, evm.model.RL_1.2538
OG0000058	CARHR071180	evm.model.RL_6.525, evm.model.RL_2.462, evm.model.RL_7.2216
OG0000061	CARHR217030	evm.model.RL_6.2768
OG0000061	CARHR258030	evm.model.RL_8.1041
OG0000062	CARHR218140, CARHR115840	evm.model.RL_7.2113
OG0000062	CARHR100910	evm.model.RL_2.991, evm.model.RL_6.777
OG0000062	CARHR256350	evm.model.RL_1.3086, evm.model.RL_2.842
OG0000063	CARHR273260	evm.model.RL_7.1014
OG0000063	CARHR163630	evm.model.RL_8.2072
OG0000063	CARHR121870	evm.model.RL_7.1774, evm.model.RL_6.981, evm.model.RL_5.633
OG0000064	CARHR020490	evm.model.RL_5.1832
OG0000065	CARHR184170	evm.model.RL_2.692, evm.model.RL_1.2797
OG0000066	CARHR069000, CARHR096450, CARHR058350	evm.model.RL_3.1975
OG0000066	CARHR202910	evm.model.RL_5.781, evm.model.RL_8.2623
OG0000066	CARHR279310	evm.model.RL_4.2540, evm.model.RL_8.2622
OG0000067	CARHR210960	evm.model.RL_4.3294.1.687c86de
OG0000067	CARHR210190	evm.model.RL_4.3219, evm.model.RL_4.3254
OG0000067	CARHR064230	evm.model.RL_3.1500, evm.model.RL_3.1537
OG0000071	CARHR055550	evm.model.RL_6.355
OG0000071	CARHR082570	evm.model.RL_4.341
OG0000073	CARHR222470	evm.model.RL_2.1159
OG0000073	CARHR116350	evm.model.RL_4.629
OG0000073	CARHR174840	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd
OG0000073	CARHR116330	evm.model.RL_6.501
OG0000073	CARHR175070, CARHR176980	evm.model.RL_4.150
OG0000073	CARHR292230	evm.model.RL_5.2720
OG0000073	CARHR175090	evm.model.RL_4.175
OG0000074	CARHR023950	evm.model.RL_5.3415
OG0000075	CARHR014740	evm.model.RL_1.2966
OG0000075	CARHR010320	evm.model.RL_5.729
OG0000076	CARHR157840	evm.model.RL_7.1484
OG0000076	CARHR162550	evm.model.RL_8.1070
OG0000076	CARHR121130, CARHR148040, CARHR278910	evm.model.RL_6.1653
OG0000077	CARHR286200, CARHR286190	evm.model.RL_4.914
OG0000077	CARHR286160	evm.model.RL_4.878
OG0000077	CARHR247160	evm.model.RL_2.3382
OG0000077	CARHR146390, CARHR254570, CARHR083750	evm.model.RL_2.1487
OG0000077	CARHR247140	evm.model.RL_2.3381
OG0000079	CARHR169300	evm.model.RL_7.465
OG0000079	CARHR182570	evm.model.RL_1.227
OG0000079	CARHR214210	evm.model.RL_7.464
OG0000080	CARHR215660	evm.model.RL_2.499
OG0000080	CARHR038000	evm.model.RL_5.2173
OG0000080	CARHR123150, CARHR123070	evm.model.RL_6.1107
OG0000081	CARHR121110	evm.model.RL_6.922
OG0000081	CARHR040920	evm.model.RL_5.1972
OG0000083	CARHR099030	evm.model.RL_1.2208
OG0000084	CARHR117870, CARHR117890, CARHR116980	evm.model.RL_6.376
OG0000084	CARHR116880, CARHR117860	evm.model.RL_6.397
OG0000084	CARHR117880	evm.model.RL_6.313
OG0000086	CARHR050760, CARHR273290	evm.model.RL_8.2048
OG0000086	CARHR054410, CARHR289710, CARHR289730, CARHR289690, CARHR054420	evm.model.RL_3.615
OG0000086	CARHR201440	evm.model.RL_4.2411
OG0000086	CARHR250740	evm.model.RL_4.2410
OG0000087	CARHR189700	evm.model.RL_4.1345
OG0000087	CARHR122890	evm.model.RL_6.1057
OG0000087	CARHR155480	evm.model.RL_7.1685
OG0000087	CARHR276490	evm.model.RL_8.2340
OG0000087	CARHR200860	evm.model.RL_4.2360
OG0000087	CARHR128920	evm.model.RL_6.1567
OG0000087	CARHR178800	evm.model.RL_4.428
OG0000087	CARHR227450	evm.model.RL_2.1599
OG0000087	CARHR020480	evm.model.RL_5.1831
OG0000087	CARHR069200	evm.model.RL_3.1990
OG0000088	CARHR155740, CARHR155710, CARHR155700, CARHR156270	evm.model.RL_7.1629
OG0000088	CARHR262970	evm.model.RL_8.1137
OG0000089	CARHR203590	evm.model.RL_4.2603
OG0000089	CARHR086670	evm.model.RL_1.1121
OG0000089	CARHR285740	evm.model.RL_7.1725, evm.model.RL_8.2019
OG0000090	CARHR020650	evm.model.RL_5.1846
OG0000090	CARHR284690	evm.model.RL_4.706
OG0000090	CARHR069500	evm.model.RL_3.2006
OG0000090	CARHR288810	evm.model.RL_2.2972
OG0000090	CARHR145520, CARHR145510	evm.model.RL_7.2545
OG0000090	CARHR145500, CARHR145480	evm.model.RL_7.2013, evm.model.RL_7.2546
OG0000090	CARHR010350	evm.model.RL_5.885
OG0000091	CARHR149850, CARHR055460, CARHR118410, CARHR263280, CARHR179050	evm.model.RL_4.825
OG0000091	CARHR221560	evm.model.RL_6.574
OG0000093	CARHR168740	evm.model.RL_7.523
OG0000093	CARHR168710	evm.model.RL_7.525
OG0000093	CARHR168600, CARHR168590, CARHR259860, CARHR168580	evm.model.RL_7.532
OG0000096	CARHR145650	evm.model.RL_7.2530
OG0000096	CARHR176420	evm.model.RL_4.275
OG0000096	CARHR054510	evm.model.RL_3.627
OG0000096	CARHR177990	evm.model.RL_4.362
OG0000096	CARHR254980, CARHR254940	evm.model.RL_8.633
OG0000096	CARHR112190, CARHR177280	evm.model.RL_4.324
OG0000097	CARHR252060	evm.model.RL_8.392
OG0000097	CARHR252050	evm.model.RL_8.388
OG0000097	CARHR252100	evm.model.RL_8.395
OG0000098	CARHR049580, CARHR049700, CARHR049380, CARHR049340, CARHR049330, CARHR049720, CARHR049640, CARHR049620, CARHR049710, CARHR049690, CARHR049260, CARHR048830, CARHR048210, CARHR049300	evm.model.RL_3.229
OG0000098	CARHR048950, CARHR048730, CARHR049190, CARHR049220, CARHR048980, CARHR048930, CARHR049010	evm.model.RL_3.199
OG0000099	CARHR046920, CARHR046960, CARHR051260, CARHR051500, CARHR051070, CARHR046940	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000099	CARHR046950	evm.model.RL_3.85
OG0000101	CARHR051270, CARHR051250, CARHR051280	evm.model.RL_3.344
OG0000101	CARHR050870	evm.model.RL_3.339
OG0000101	CARHR047710	evm.model.RL_3.653
OG0000101	CARHR047580, CARHR047440, CARHR261260, CARHR047450, CARHR047470, CARHR047430	evm.model.RL_3.113
OG0000101	CARHR055030	evm.model.RL_3.662, evm.model.RL_3.664
OG0000104	CARHR122140	evm.model.RL_6.1001
OG0000104	CARHR122230	evm.model.RL_6.1005
OG0000104	CARHR122240	evm.model.RL_6.1006
OG0000104	CARHR039100	evm.model.RL_5.2109
OG0000104	CARHR097260	evm.model.RL_1.2055
OG0000104	CARHR041980	evm.model.RL_5.1892_evm.model.RL_5.1893
OG0000104	CARHR122150, CARHR122160	evm.model.RL_6.1000
OG0000106	CARHR159080	evm.model.RL_7.1075
OG0000106	CARHR094390	evm.model.RL_1.1887
OG0000106	CARHR099980	evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000106	CARHR159090	evm.model.RL_7.1393
OG0000106	CARHR092810, CARHR120380	evm.model.RL_1.1896
OG0000107	CARHR095620	evm.model.RL_1.1927
OG0000107	CARHR096820	evm.model.RL_1.2019
OG0000107	CARHR096830	evm.model.RL_1.2021
OG0000107	CARHR097220, CARHR095680	evm.model.RL_1.1929
OG0000108	CARHR188180	evm.model.RL_4.1209
OG0000108	CARHR174970	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	CARHR046250	evm.model.RL_3.231
OG0000108	CARHR000040, CARHR188170	evm.model.RL_1.3010
OG0000109	CARHR259920	evm.model.RL_8.974, evm.model.RL_6.569, evm.model.RL_7.2090
OG0000109	CARHR116840	evm.model.RL_1.2832, evm.model.RL_4.660
OG0000110	CARHR169620	evm.model.RL_7.433
OG0000110	CARHR169580	evm.model.RL_7.1925
OG0000110	CARHR169630	evm.model.RL_7.432
OG0000111	CARHR221770	evm.model.RL_8.2409
OG0000112	CARHR042770	evm.model.RL_5.3726
OG0000112	CARHR016560	evm.model.RL_8.2168
OG0000113	CARHR256490, CARHR256450, CARHR175630	evm.model.RL_4.208
OG0000113	CARHR288500	evm.model.RL_2.149
OG0000113	CARHR108280, CARHR054220	evm.model.RL_3.600
OG0000113	CARHR149270	evm.model.RL_3.97, evm.model.RL_7.1875
OG0000113	CARHR055020	evm.model.RL_3.665
OG0000113	CARHR047200, CARHR047160	evm.model.RL_3.98
OG0000113	CARHR047590, CARHR047570, CARHR288100, CARHR047560, CARHR048050	evm.model.RL_3.159.1.687c84ba
OG0000113	CARHR047220	evm.model.RL_2.339
OG0000113	CARHR263770	evm.model.RL_2.337
OG0000113	CARHR175790, CARHR175830, CARHR174830	evm.model.RL_4.149
OG0000113	CARHR175110, CARHR175150, CARHR175080, CARHR178690, CARHR116320, CARHR292210	evm.model.RL_3.996
OG0000113	CARHR215710	evm.model.RL_4.763, evm.model.RL_4.318
OG0000113	CARHR047550, CARHR175180, CARHR175270	evm.model.RL_4.346
OG0000113	CARHR228760	evm.model.RL_4.610, evm.model.RL_4.608
OG0000114	CARHR078370, CARHR078360	evm.model.RL_1.340
OG0000114	CARHR071840, CARHR251920, CARHR071800	evm.model.RL_3.2232, evm.model.RL_3.2202
OG0000114	CARHR181200, CARHR181230	evm.model.RL_4.609
OG0000114	CARHR202070	evm.model.RL_3.630
OG0000115	CARHR059960, CARHR284490	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000118	CARHR148290	evm.model.RL_8.709, evm.model.RL_8.712
OG0000119	CARHR102990	evm.model.RL_5.2397
OG0000120	CARHR285170	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	CARHR221010	evm.model.RL_2.990, evm.model.RL_2.937
OG0000120	CARHR293630, CARHR283580, CARHR059500, CARHR058390, CARHR116680, CARHR186430	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	CARHR208650	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	CARHR269740	evm.model.RL_8.1713
OG0000122	CARHR031770	evm.model.RL_5.2721
OG0000122	CARHR036530, CARHR031780	evm.model.RL_8.1714
OG0000123	CARHR014030	evm.model.RL_5.1209
OG0000123	CARHR014050, CARHR014060	evm.model.RL_5.1210
OG0000124	CARHR182430	evm.model.RL_3.893
OG0000124	CARHR056860	evm.model.RL_3.1299
OG0000124	CARHR117340	evm.model.RL_2.1935
OG0000124	CARHR057000	evm.model.RL_1.2598
OG0000125	CARHR163570	evm.model.RL_7.1020
OG0000125	CARHR210790	evm.model.RL_4.3281
OG0000125	CARHR190650	evm.model.RL_4.1435
OG0000125	CARHR007600	evm.model.RL_5.630
OG0000125	CARHR273520	evm.model.RL_8.2069
OG0000125	CARHR154390, CARHR154340	evm.model.RL_7.1769
OG0000125	CARHR121850	evm.model.RL_6.979
OG0000127	CARHR083500	evm.model.RL_1.823
OG0000127	CARHR211450	evm.model.RL_4.3345
OG0000127	CARHR211460	evm.model.RL_4.3347
OG0000127	CARHR083490	evm.model.RL_1.822
OG0000128	CARHR155450	evm.model.RL_4.1217
OG0000131	CARHR283870, CARHR035130	evm.model.RL_4.867
OG0000132	CARHR217650	evm.model.RL_2.3365
OG0000136	CARHR058600	evm.model.RL_3.1028
OG0000136	CARHR214810	evm.model.RL_2.429
OG0000137	CARHR180340	evm.model.RL_7.1543
OG0000137	CARHR261370	evm.model.RL_2.50
OG0000140	CARHR155420	evm.model.RL_7.1690
OG0000140	CARHR285410	evm.model.RL_8.2003
OG0000142	CARHR122540	evm.model.RL_6.1032
OG0000142	CARHR122570, CARHR122580, CARHR119640	evm.model.RL_6.1034
OG0000142	CARHR119600	evm.model.RL_6.789
OG0000142	CARHR124170, CARHR124160	evm.model.RL_6.1159
OG0000146	CARHR264140, CARHR264150	evm.model.RL_8.1243
OG0000147	CARHR109500	evm.model.RL_1.3091
OG0000147	CARHR238090	evm.model.RL_2.2536
OG0000147	CARHR271150	evm.model.RL_8.1812
OG0000147	CARHR073860	evm.model.RL_3.2406
OG0000147	CARHR104060	evm.model.RL_1.2583
OG0000147	CARHR117520	evm.model.RL_6.348
OG0000149	CARHR154790	evm.model.RL_7.1738
OG0000149	CARHR154830	evm.model.RL_7.1737
OG0000149	CARHR154780	evm.model.RL_7.1739
OG0000150	CARHR118700, CARHR273840	evm.model.RL_8.2095
OG0000150	CARHR263010, CARHR256190, CARHR207890, CARHR143200, CARHR150140, CARHR150080	evm.model.RL_7.1807
OG0000150	CARHR059580, CARHR150110	evm.model.RL_7.1810
OG0000151	CARHR266340	evm.model.RL_8.1422
OG0000151	CARHR235660	evm.model.RL_2.2307
OG0000151	CARHR082990	evm.model.RL_1.777
OG0000151	CARHR083000	evm.model.RL_1.778
OG0000151	CARHR107000	evm.model.RL_1.2853
OG0000151	CARHR269520	evm.model.RL_8.1691
OG0000151	CARHR046700	evm.model.RL_3.61
OG0000154	CARHR016540	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	CARHR083800, CARHR083820, CARHR083810	evm.model.RL_1.849
OG0000154	CARHR229590, CARHR069350	evm.model.RL_4.3288
OG0000154	CARHR083850	evm.model.RL_1.853
OG0000154	CARHR210890	evm.model.RL_2.489
OG0000155	CARHR234950	evm.model.RL_2.2243
OG0000156	CARHR140800	evm.model.RL_6.2693
OG0000156	CARHR140730	evm.model.RL_6.2689
OG0000156	CARHR140760, CARHR186310	evm.model.RL_4.1065
OG0000156	CARHR140780, CARHR140790, CARHR140740	evm.model.RL_6.2692
OG0000156	CARHR140750	evm.model.RL_6.2691
OG0000157	CARHR102680	evm.model.RL_5.213
OG0000158	CARHR245230	evm.model.RL_2.2746
OG0000158	CARHR113640	evm.model.RL_4.1378
OG0000161	CARHR056690	evm.model.RL_3.891
OG0000161	CARHR056640	evm.model.RL_3.896
OG0000161	CARHR056630	evm.model.RL_3.897
OG0000162	CARHR059620	evm.model.RL_3.1091
OG0000162	CARHR057970	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976
OG0000162	CARHR140170	evm.model.RL_6.2628
OG0000164	CARHR246960	evm.model.RL_4.581
OG0000164	CARHR224720	evm.model.RL_2.1488
OG0000164	CARHR175770	evm.model.RL_4.218
OG0000167	CARHR266210	evm.model.RL_8.1410
OG0000167	CARHR260280	evm.model.RL_8.842
OG0000167	CARHR226380	evm.model.RL_2.1517
OG0000167	CARHR215370, CARHR215050	evm.model.RL_2.439
OG0000167	CARHR051370, CARHR215070	evm.model.RL_2.473
OG0000169	CARHR067550, CARHR067460, CARHR220400, CARHR050360, CARHR067350, CARHR060140, CARHR067390, CARHR067560	evm.model.RL_3.1834, evm.model.RL_3.1135.1.687c84bb
OG0000169	CARHR053840	evm.model.RL_3.574
OG0000169	CARHR053850	evm.model.RL_3.576
OG0000171	CARHR142560	evm.model.RL_6.2869
OG0000171	CARHR063650	evm.model.RL_5.3418.1.687c88c2
OG0000171	CARHR023910	evm.model.RL_3.1439
OG0000171	CARHR052550	evm.model.RL_3.461
OG0000171	CARHR198650	evm.model.RL_4.2162.1.687c86d7
OG0000172	CARHR053570	evm.model.RL_7.119
OG0000172	CARHR052000	evm.model.RL_3.406, evm.model.RL_3.423
OG0000172	CARHR169390	evm.model.RL_7.1680, evm.model.RL_7.1683
OG0000173	CARHR225750, CARHR035170, CARHR036310, CARHR180960, CARHR225740, CARHR180580, CARHR261170, CARHR292670, CARHR286110, CARHR216170, CARHR055060, CARHR225730, CARHR036300, CARHR150900, CARHR257050, CARHR216160, CARHR293270	evm.model.RL_5.288
OG0000174	CARHR286250	evm.model.RL_7.2138
OG0000174	CARHR105060	evm.model.RL_1.3079
OG0000175	CARHR160880	evm.model.RL_7.1254
OG0000175	CARHR069390	evm.model.RL_3.1995
OG0000175	CARHR020570	evm.model.RL_5.1839
OG0000175	CARHR243300	evm.model.RL_2.3025
OG0000175	CARHR108220	evm.model.RL_1.2964
OG0000175	CARHR244350	evm.model.RL_2.3122
OG0000176	CARHR030250	evm.model.RL_5.2855
OG0000177	CARHR150970	evm.model.RL_2.497, evm.model.RL_2.1097
OG0000178	CARHR035340, CARHR105380	evm.model.RL_8.2288
OG0000180	CARHR264470	evm.model.RL_4.185
OG0000181	CARHR174010	evm.model.RL_8.2509
OG0000181	CARHR049200, CARHR180870	evm.model.RL_3.1261, evm.model.RL_2.1089
OG0000185	CARHR116590	evm.model.RL_2.287
OG0000186	CARHR103200	evm.model.RL_5.2354, evm.model.RL_8.2135
OG0000187	CARHR239530	evm.model.RL_2.2676
OG0000187	CARHR239540	evm.model.RL_2.2677
OG0000187	CARHR085640	evm.model.RL_1.1017
OG0000189	CARHR246290	evm.model.RL_5.2279
OG0000189	CARHR146050	evm.model.RL_4.1578
OG0000190	CARHR253020	evm.model.RL_8.475
OG0000190	CARHR250370	evm.model.RL_8.473
OG0000190	CARHR250360	evm.model.RL_8.474.1.687c8557
OG0000190	CARHR259510	evm.model.RL_8.472
OG0000191	CARHR091820	evm.model.RL_1.1587
OG0000191	CARHR293570, CARHR148120, CARHR091830	evm.model.RL_1.1588
OG0000192	CARHR059110	evm.model.RL_5.3624
OG0000192	CARHR181970	evm.model.RL_3.2103
OG0000192	CARHR054130	evm.model.RL_3.2104
OG0000195	CARHR119300	evm.model.RL_6.761
OG0000195	CARHR136200	evm.model.RL_7.686, evm.model.RL_6.2234
OG0000195	CARHR058380	evm.model.RL_2.437
OG0000195	CARHR215030	evm.model.RL_3.1018
OG0000195	CARHR191680	evm.model.RL_7.1974
OG0000196	CARHR037160	evm.model.RL_5.2252
OG0000196	CARHR203250	evm.model.RL_4.2575
OG0000196	CARHR028740	evm.model.RL_4.2554
OG0000196	CARHR028490, CARHR037140, CARHR037130	evm.model.RL_1.1858
OG0000197	CARHR037370	evm.model.RL_8.487
OG0000197	CARHR272960	evm.model.RL_2.70
OG0000197	CARHR253110	evm.model.RL_8.485
OG0000197	CARHR123890, CARHR037380, CARHR065380	evm.model.RL_2.911
OG0000200	CARHR005450	evm.model.RL_5.451
OG0000200	CARHR101580, CARHR101880, CARHR101530	evm.model.RL_1.2415, evm.model.RL_1.2410
OG0000201	CARHR097910	evm.model.RL_1.2115
OG0000203	CARHR078880, CARHR078860	evm.model.RL_1.381
OG0000203	CARHR078870	evm.model.RL_1.380
OG0000204	CARHR099050, CARHR084930, CARHR043980, CARHR044120, CARHR098530, CARHR097380, CARHR238210	evm.model.RL_1.2062
OG0000205	CARHR149530, CARHR042890, CARHR042510	evm.model.RL_8.836
OG0000207	CARHR072270	evm.model.RL_3.2270
OG0000207	CARHR180390	evm.model.RL_3.2271
OG0000208	CARHR247220	evm.model.RL_2.3387
OG0000210	CARHR145920	evm.model.RL_7.2509
OG0000213	CARHR292800, CARHR292790	evm.model.RL_6.203
OG0000213	CARHR292760, CARHR285920	evm.model.RL_6.204
OG0000214	CARHR248840	evm.model.RL_8.81
OG0000214	CARHR250400, CARHR250050	evm.model.RL_8.239
OG0000217	CARHR284070	evm.model.RL_7.1931
OG0000217	CARHR283900	evm.model.RL_3.548
OG0000217	CARHR053290	evm.model.RL_3.511.1.687c84ba
OG0000217	CARHR053930	evm.model.RL_3.599
OG0000218	CARHR015470	evm.model.RL_5.1346
OG0000218	CARHR015480	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	CARHR144080	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	CARHR058980	evm.model.RL_3.1053
OG0000219	CARHR123060	evm.model.RL_6.1077
OG0000219	CARHR277080	evm.model.RL_8.2397
OG0000220	CARHR050630, CARHR113370	evm.model.RL_3.318
OG0000224	CARHR071060	evm.model.RL_3.2157
OG0000224	CARHR071040	evm.model.RL_3.2156
OG0000225	CARHR028850, CARHR028820	evm.model.RL_5.2978, evm.model.RL_5.2982
OG0000225	CARHR028880, CARHR028810	evm.model.RL_5.2983
OG0000225	CARHR028800	evm.model.RL_5.2984
OG0000225	CARHR028830	evm.model.RL_5.2981
OG0000225	CARHR028760	evm.model.RL_5.2976, evm.model.RL_5.2985
OG0000226	CARHR279920	evm.model.RL_8.2609, evm.model.RL_8.2608
OG0000226	CARHR087530, CARHR087540	evm.model.RL_1.1295, evm.model.RL_1.1199
OG0000228	CARHR064140	evm.model.RL_3.1491
OG0000228	CARHR185670	evm.model.RL_4.998
OG0000228	CARHR064090	evm.model.RL_3.1484
OG0000228	CARHR064100	evm.model.RL_3.1485
OG0000228	CARHR064130	evm.model.RL_3.1490
OG0000228	CARHR064110	evm.model.RL_3.1486
OG0000229	CARHR251110	evm.model.RL_8.305
OG0000229	CARHR063260, CARHR063690, CARHR263650	evm.model.RL_3.1414
OG0000229	CARHR063700, CARHR063280	evm.model.RL_3.1413
OG0000229	CARHR163030	evm.model.RL_2.330, evm.model.RL_7.1066
OG0000231	CARHR213950, CARHR041780, CARHR214130	evm.model.RL_2.361
OG0000231	CARHR056340, CARHR220460	evm.model.RL_3.874
OG0000231	CARHR059750	evm.model.RL_3.1104
OG0000232	CARHR105470	evm.model.RL_1.493
OG0000232	CARHR039350	evm.model.RL_5.1311
