Orthogroup	Raphanus_sativus	Alyssum_gmelinii
OG0000023	XP_018448920.1, XP_018448918.1, XP_018448956.1, XP_018445500.1, XP_018445519.1, XP_018439285.1	Ag006G545510, Ag006G549380, Ag006G547220, Ag004G376920
OG0000025	XP_018466902.1, XP_018469113.1, XP_018469254.1, XP_018469276.1, XP_018440555.1, XP_018440554.1, XP_018469209.1, XP_018466579.1, XP_018466613.1, XP_018466824.1, XP_018469469.1, XP_018469501.1, XP_018466603.1, XP_018466641.1, XP_018466593.1, XP_018466632.1, XP_018474189.1, XP_018474190.1	Ag003G230310
OG0000027	XP_018467451.1, XP_018458976.1	Ag005G463660
OG0000027	XP_018467712.1, XP_018467711.1	Ag007G580660
OG0000028	XP_018459455.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018479546.1, XP_018443548.1, XP_018464649.1, XP_018464671.1, XP_018436157.1, XP_018459873.1, XP_018488169.1, XP_018472293.1, XP_018448729.1, XP_018453783.1, XP_018480098.1, XP_018435876.1, XP_018479504.1, XP_018453703.1, XP_018462178.1, XP_018479419.1, XP_018463679.1, XP_018462971.1, XP_018453702.1, XP_018479503.1, XP_018435877.1, XP_018473938.1, XP_018461350.1, XP_018463848.1, XP_018478239.1, XP_018479617.1, XP_018474041.1, XP_018448515.1, XP_018466148.1, XP_018466182.1, XP_018464762.1, XP_018473621.1, XP_018454030.1, XP_018453707.1, XP_018436232.1, XP_018460173.1, XP_018435285.1, XP_018435280.1, XP_018487624.1, XP_018448453.1, XP_018488082.1, XP_018433508.1, XP_018443474.1, XP_018443476.1, XP_018473604.1, XP_018462844.1, XP_018462845.1, XP_018478153.1, XP_018448537.1, XP_018477751.1, XP_018463535.1, XP_018463125.1, XP_018460266.1, XP_018474042.1, XP_018453813.1, XP_018463492.1, XP_018487478.1, XP_018460550.1, XP_018448641.1	Ag005G466640, Ag009G736690, Ag001G053260, Ag004G352900, Ag006G577790, Ag003G259760, Ag002G132790, Ag005G466920, Ag005G466830, Ag005G466750
OG0000029	XP_018476055.1	Ag006G523440, Ag006G532500, Ag004G401820
OG0000029	XP_018484396.1, XP_018484394.1, XP_018459100.1, XP_018448389.1	Ag005G441680, Ag006G519730
OG0000029	XP_018462173.1, XP_018479413.1, XP_018453636.1, XP_018443713.1, XP_018453516.1, XP_018460740.1, XP_018448626.1, XP_018464126.1	Ag002G186330, Ag006G491400
OG0000030	XP_018453843.1	Ag008G659630, Ag006G491030
OG0000030	XP_018475164.1, XP_018436040.1	Ag002G133450, Ag002G134890, Ag001G003750, Ag007G608580, Ag005G416870, Ag005G452160, Ag002G188880, Ag007G608590, Ag004G348700, Ag001G096020
OG0000030	XP_018459876.1	Ag001G021090, Ag003G292130, Ag005G430740
OG0000031	XP_018439379.1	Ag004G316410, Ag004G316200, Ag004G317440, Ag004G317450, Ag004G315780, Ag004G316420
OG0000031	XP_018478989.1	Ag002G111150, Ag002G107580
OG0000031	XP_018456914.1, XP_018456330.1, XP_018493478.1, XP_018487942.1	Ag004G401670
OG0000033	XP_018468503.1, XP_018483350.1	Ag006G547230, Ag006G549390
OG0000033	XP_018448926.1, XP_018448925.1	Ag006G547260, Ag006G549410
OG0000033	XP_018436206.1, XP_018483352.1	Ag006G543630, Ag006G543880
OG0000033	XP_018484118.1, XP_018484117.1	Ag006G564890, Ag003G210460
OG0000033	XP_018463090.1, XP_018463089.1, XP_018468501.1	Ag006G548990
OG0000033	XP_018448031.1, XP_018448921.1	Ag006G547380, Ag006G549570
OG0000033	XP_018455051.1, XP_018454979.1	Ag002G130680, Ag002G130760
OG0000034	XP_018475106.1, XP_018466240.1	Ag002G147590, Ag004G329060
OG0000034	XP_018467470.1, XP_018453140.1, XP_018459051.1, XP_018458593.1, XP_018465439.1	Ag002G167050, Ag004G351590, Ag002G161710, Ag008G677580, Ag005G428870
OG0000034	XP_018464090.1	Ag005G424470
OG0000034	XP_018458795.1	Ag008G692130, Ag002G161700
OG0000034	XP_018463392.1	Ag002G114610
OG0000034	XP_018475335.1, XP_018458668.1	Ag002G144820, Ag004G317550, Ag002G142920, Ag003G264010, Ag001G058120, Ag005G440470, Ag005G463260, Ag002G205240
OG0000035	XP_018436807.1	Ag007G589380
OG0000035	XP_018487960.1, XP_018467221.1, XP_018443410.1, XP_018444815.1, XP_018442224.1, XP_018463243.1, XP_018479860.1, XP_018463443.1, XP_018436316.1, XP_018436315.1, XP_018434883.1	Ag004G307250, Ag007G591050, Ag002G132200, Ag007G593340, Ag007G591090, Ag007G591040
OG0000035	XP_018479866.1	Ag007G589990
OG0000035	XP_018453414.1	Ag007G590010
OG0000035	XP_018482223.1, XP_018482211.1, XP_018481628.1, XP_018479865.1	Ag005G405240, Ag002G183820
OG0000035	XP_018465159.1, XP_018458896.1, XP_018468803.1	Ag003G212430, Ag007G589940, Ag007G589950, Ag007G590070, Ag007G590080, Ag007G590100
OG0000036	XP_018457139.1, XP_018435571.1, XP_018462760.1, XP_018467931.1, XP_018461876.1	Ag006G551100, Ag001G036210
OG0000036	XP_018487493.1	Ag003G262470, Ag003G288580, Ag005G424740
OG0000036	XP_018458662.1, XP_018464202.1, XP_018477823.1	Ag004G360850, Ag004G351140, Ag006G523870, Ag004G387130, Ag003G230730
OG0000037	XP_018461383.1	Ag004G388700, Ag002G136000
OG0000038	XP_018473908.1, XP_018437563.1, XP_018437624.1, XP_018459725.1	Ag003G226390, Ag003G216540, Ag004G301790, Ag004G301770, Ag003G211230, Ag003G211160, Ag003G211040
OG0000038	XP_018487990.1, XP_018480095.1	Ag001G056400
OG0000038	XP_018443359.1, XP_018479044.1, XP_018477530.1	Ag003G279120
OG0000038	XP_018479935.1	Ag002G200370, Ag002G200380, Ag002G200390, Ag002G200460, Ag002G200420
OG0000038	XP_018479936.1, XP_018479937.1	Ag001G083350, Ag007G621230, Ag004G335820, Ag005G471060, Ag004G312700, Ag004G348120
OG0000038	XP_018489176.1, XP_018487468.1	Ag005G474640, Ag005G474620, Ag004G393210, Ag004G388210, Ag004G388220, Ag004G388090, Ag005G471010, Ag007G610580, Ag005G471020, Ag005G471040, Ag005G471080, Ag005G474650, Ag002G141090
OG0000039	XP_018473795.1	Ag004G347330, Ag007G622120
OG0000039	XP_018462699.1	Ag001G029450, Ag001G027390
OG0000040	XP_018462013.1, XP_018466469.1, XP_018479424.1	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	XP_018454017.1	Ag005G483190
OG0000040	XP_018435375.1, XP_018435378.1, XP_018435374.1, XP_018435377.1, XP_018481681.1, XP_018480537.1, XP_018481495.1, XP_018482202.1, XP_018471303.1, XP_018479916.1	Ag002G192690, Ag002G188830
OG0000040	XP_018488225.1, XP_018453970.1	Ag005G441920, Ag005G467750, Ag005G452660
OG0000040	XP_018435466.1, XP_018464547.1, XP_018443694.1, XP_018488539.1	Ag005G446880, Ag005G447100, Ag005G447140
OG0000041	XP_018432616.1, XP_018479432.1, XP_018489035.1	Ag003G251790
OG0000041	XP_018461685.1	Ag004G400760, Ag002G143210, Ag008G685490, Ag006G552710, Ag019G742960
OG0000042	XP_018448764.1, XP_018454006.1	Ag007G610350, Ag001G022920
OG0000042	XP_018443419.1	Ag008G683730, Ag007G637230, Ag001G051650, Ag008G718640, Ag005G442270, Ag002G176270
OG0000044	XP_018474435.1, XP_018458663.1, XP_018487494.1	Ag008G702570
OG0000044	XP_018461269.1	Ag006G512870, Ag001G054960
OG0000045	XP_018487726.1, XP_018463620.1, XP_018443707.1, XP_018435482.1, XP_018467340.1, XP_018462035.1	Ag005G474590, Ag005G450900, Ag005G424570
OG0000045	XP_018459816.1, XP_018466560.1, XP_018453952.1, XP_018435496.1, XP_018467329.1, XP_018479743.1, XP_018461346.1, XP_018453825.1	Ag002G197550, Ag008G703200
OG0000046	XP_018444697.1, XP_018444687.1	Ag006G575430
OG0000046	XP_018445101.1	Ag007G619200, Ag007G619210
OG0000046	XP_018460986.1	Ag002G197360
OG0000046	XP_018442725.1, XP_018469869.1, XP_018469866.1	Ag002G129690, Ag002G129740
OG0000046	XP_018461735.1, XP_018467421.1	Ag002G129710
OG0000047	XP_018453861.1, XP_018448851.1	Ag005G457670
OG0000047	XP_018467522.1	Ag006G528150
OG0000047	XP_018460256.1, XP_018480173.1	Ag003G283670
OG0000047	XP_018473775.1	Ag001G046570
OG0000049	XP_018457108.1, XP_018457107.1, XP_018489919.1, XP_018475022.1	Ag003G236810
OG0000050	XP_018479829.1, XP_018474002.1, XP_018487794.1, XP_018458698.1, XP_018467054.1, XP_018453734.1	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630
OG0000050	XP_018464508.1	Ag001G062310
OG0000050	XP_018436368.1, XP_018479561.1, XP_018480117.1, XP_018449708.1, XP_018460299.1, XP_018453766.1	Ag007G656820, Ag001G040590, Ag001G089640, Ag008G665420
OG0000050	XP_018453735.1	Ag002G134900
OG0000050	XP_018463607.1, XP_018464509.1	Ag006G561100
OG0000050	XP_018458652.1, XP_018461903.1, XP_018453901.1	Ag008G684980
OG0000052	XP_018493126.1	Ag004G301370, Ag004G301320
OG0000052	XP_018482785.1, XP_018482784.1, XP_018473989.1	Ag002G195160, Ag002G194240, Ag002G194190
OG0000052	XP_018473990.1, XP_018465828.1	Ag002G194070, Ag002G194050, Ag002G194040, Ag002G194030, Ag002G194060
OG0000052	XP_018436441.1, XP_018436438.1, XP_018436547.1, XP_018436548.1, XP_018436545.1, XP_018436546.1	Ag002G194410, Ag002G194400, Ag002G194390
OG0000053	XP_018438980.1	Ag003G279130
OG0000054	XP_018477437.1, XP_018491477.1, XP_018444419.1	Ag007G634740, Ag006G513370
OG0000055	XP_018456965.1	Ag004G334400, Ag004G379910
OG0000055	XP_018452239.1, XP_018452238.1, XP_018452289.1, XP_018454291.1	Ag004G377140
OG0000055	XP_018458632.1, XP_018434948.1	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	XP_018453574.1	Ag003G260670, Ag001G057120, Ag001G056190, Ag002G182200, Ag002G173290, Ag004G362510, Ag004G358070, Ag006G495710, Ag008G686470, Ag003G254900, Ag003G270180, Ag001G008210, Ag006G553330
OG0000056	XP_018460221.1, XP_018436002.1, XP_018448501.1, XP_018465335.1, XP_018458942.1, XP_018462168.1, XP_018464358.1, XP_018461103.1, XP_018461001.1, XP_018460591.1, XP_018471856.1	Ag001G076880, Ag002G181330, Ag008G680730
OG0000056	XP_018483541.1, XP_018438781.1, XP_018458408.1	Ag002G121000, Ag006G542770
OG0000057	XP_018488447.1, XP_018491504.1	Ag005G459920
OG0000057	XP_018460063.1, XP_018469080.1	Ag003G289060
OG0000058	XP_018479867.1, XP_018448690.1, XP_018460186.1, XP_018435732.1, XP_018443346.1, XP_018467820.1, XP_018467084.1	Ag004G332280, Ag001G061500, Ag003G293700, Ag008G700500, Ag005G463800, Ag004G321970, Ag001G027690, Ag007G619950, Ag004G386790
OG0000058	XP_018487606.1, XP_018459880.1, XP_018479191.1	Ag006G516660
OG0000058	XP_018473761.1	Ag003G229160
OG0000059	XP_018462918.1, XP_018474005.1, XP_018443265.1	Ag004G391520
OG0000059	XP_018459621.1, XP_018465778.1, XP_018465542.1, XP_018459724.1, XP_018473790.1	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210
OG0000059	XP_018458947.1	Ag002G103440, Ag002G122810
OG0000059	XP_018473566.1	Ag006G522950
OG0000061	XP_018436245.1	Ag007G618360, Ag004G337800, Ag001G100570, Ag002G180780, Ag004G339650
OG0000061	XP_018462409.1, XP_018463484.1, XP_018491908.1, XP_018490120.1, XP_018453862.1, XP_018446553.1, XP_018448853.1	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860, Ag004G329090, Ag006G566820, Ag002G142080, Ag006G573690, Ag006G525790, Ag006G562400, Ag003G279160, Ag007G603910, Ag001G084230, Ag008G700010, Ag004G317040, Ag003G230430, Ag001G038510, Ag002G170370, Ag001G089330, Ag005G461020, Ag003G283680, Ag002G182710, Ag007G637720
OG0000064	XP_018480217.1	Ag003G295980
OG0000064	XP_018472219.1	Ag002G115080, Ag002G104660, Ag003G272600, Ag001G030100
OG0000065	XP_018459982.1	Ag009G735570
OG0000066	XP_018474475.1, XP_018443026.1, XP_018468121.1, XP_018450392.1, XP_018447173.1, XP_018468122.1, XP_018442730.1, XP_018474474.1	Ag003G225470
OG0000066	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1	Ag002G125900
OG0000067	XP_018465626.1, XP_018474335.1, XP_018472777.1, XP_018446006.1, XP_018442366.1, XP_018444607.1, XP_018443375.1, XP_018442371.1, XP_018442368.1	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820, Ag005G407040, Ag005G407080, Ag005G407050
OG0000067	XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1, XP_018487690.1, XP_018448422.1, XP_018475216.1	Ag003G227540
OG0000068	XP_018480115.1, XP_018480116.1, XP_018459074.1, XP_018480128.1, XP_018474844.1, XP_018483955.1, XP_018436588.1, XP_018453751.1, XP_018453750.1, XP_018473619.1, XP_018487525.1	Ag006G534800
OG0000069	XP_018443374.1, XP_018460643.1	Ag003G208920
OG0000069	XP_018479682.1	Ag003G258860
OG0000069	XP_018448749.1, XP_018436121.1, XP_018488189.1, XP_018464388.1	Ag002G200250
OG0000070	XP_018473920.1, XP_018473934.1, XP_018487853.1	Ag007G655750
OG0000070	XP_018466545.1, XP_018479687.1, XP_018458688.1, XP_018467590.1, XP_018464905.1, XP_018443351.1, XP_018465409.1	Ag001G027030
OG0000071	XP_018460901.1, XP_018488341.1, XP_018488340.1, XP_018454225.1	Ag003G234950, Ag003G217580
OG0000071	XP_018470067.1, XP_018436268.1, XP_018448228.1, XP_018448227.1, XP_018433853.1, XP_018467032.1, XP_018479497.1, XP_018448462.1, XP_018433530.1, XP_018439490.1	Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270, Ag002G107710, Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400
OG0000072	XP_018487761.1, XP_018464035.1, XP_018463274.1, XP_018466706.1, XP_018448709.1, XP_018481855.1, XP_018481572.1, XP_018459917.1, XP_018454380.1, XP_018477453.1	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	XP_018460032.1	Ag006G576040
OG0000073	XP_018439625.1	Ag003G212540
OG0000073	XP_018448890.1	Ag002G118960, Ag002G118950
OG0000073	XP_018454138.1, XP_018465769.1	Ag002G116850
OG0000074	XP_018434385.1	Ag003G273880, Ag003G236930, Ag003G236940
OG0000074	XP_018449734.1, XP_018449777.1, XP_018461551.1, XP_018448292.1, XP_018448289.1, XP_018449778.1, XP_018461550.1, XP_018449606.1, XP_018461549.1, XP_018449776.1, XP_018449605.1, XP_018461548.1, XP_018456410.1, XP_018455073.1, XP_018454087.1	Ag006G500560
OG0000074	XP_018433983.1, XP_018437579.1, XP_018433981.1	Ag004G378820
OG0000074	XP_018484078.1	Ag006G514000
OG0000075	XP_018487834.1	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	XP_018461296.1, XP_018457458.1	Ag006G510790
OG0000075	XP_018487843.1	Ag004G313480, Ag004G313520
OG0000075	XP_018441017.1, XP_018466839.1, XP_018467714.1, XP_018484899.1, XP_018480018.1	Ag007G599000, Ag007G598990, Ag003G269710
OG0000075	XP_018448172.1, XP_018442633.1, XP_018479680.1	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420
OG0000075	XP_018478964.1, XP_018464005.1	Ag002G191710, Ag002G191700, Ag002G191680
OG0000076	XP_018454118.1	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	XP_018479392.1, XP_018481202.1, XP_018479394.1, XP_018479395.1	Ag001G002030
OG0000077	XP_018482469.1	Ag006G508210
OG0000077	XP_018468037.1	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120
OG0000077	XP_018471019.1, XP_018467919.1, XP_018459482.1	Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	XP_018459483.1, XP_018481197.1	Ag002G148310
OG0000078	XP_018481465.1	Ag001G082530, Ag008G711670
OG0000079	XP_018440487.1, XP_018434498.1, XP_018440703.1, XP_018490673.1	Ag006G550580, Ag003G233720
OG0000079	XP_018485958.1	Ag001G071340
OG0000079	XP_018462102.1, XP_018439443.1, XP_018443618.1, XP_018442766.1, XP_018442962.1, XP_018443617.1, XP_018460416.1, XP_018442910.1, XP_018458706.1	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	XP_018463136.1, XP_018463514.1	Ag004G395720, Ag004G391220, Ag001G028440, Ag001G031860, Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	XP_018460639.1	Ag001G020610
OG0000080	XP_018464627.1	Ag001G028300
OG0000080	XP_018482142.1	Ag007G610550, Ag007G610520
OG0000080	XP_018467401.1	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	XP_018448313.1, XP_018460564.1, XP_018460562.1, XP_018474222.1, XP_018474217.1, XP_018474230.1, XP_018448315.1, XP_018448325.1, XP_018448316.1, XP_018448324.1, XP_018448317.1, XP_018450320.1, XP_018448320.1	Ag007G593730
OG0000081	XP_018475273.1, XP_018475265.1	Ag005G451860, Ag005G452050
OG0000082	XP_018479358.1	Ag004G385590
OG0000082	XP_018458065.1	Ag007G632630, Ag005G475310
OG0000083	XP_018483205.1, XP_018448995.1, XP_018450446.1, XP_018450443.1	Ag005G483940, Ag005G483970, Ag005G483980
OG0000083	XP_018462245.1, XP_018460689.1	Ag005G483950, Ag005G483960
OG0000084	XP_018458817.1, XP_018436175.1	Ag008G724370
OG0000084	XP_018478874.1, XP_018478409.1	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000086	XP_018459460.1, XP_018459458.1, XP_018459461.1, XP_018459459.1, XP_018458874.1, XP_018458876.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	Ag008G709530
OG0000087	XP_018477697.1, XP_018484582.1	Ag008G723440
OG0000087	XP_018440871.1	Ag007G593840
OG0000087	XP_018446020.1	Ag007G609260
OG0000087	XP_018434101.1	Ag002G161340
OG0000087	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1	Ag002G127940
OG0000087	XP_018451489.1, XP_018470360.1, XP_018484782.1	Ag006G562620
OG0000087	XP_018463490.1, XP_018446239.1	Ag003G224140
OG0000088	XP_018441615.1, XP_018436160.1, XP_018443675.1, XP_018475641.1, XP_018476975.1, XP_018442302.1, XP_018442307.1, XP_018460254.1, XP_018434208.1	Ag007G581970
OG0000088	XP_018440736.1	Ag005G450330, Ag005G450360
OG0000088	XP_018474898.1, XP_018446823.1	Ag008G717820
OG0000089	XP_018476330.1, XP_018445204.1, XP_018471220.1	Ag007G603320
OG0000089	XP_018439577.1, XP_018439439.1	Ag006G540580
OG0000089	XP_018492660.1	Ag001G021310
OG0000089	XP_018457747.1, XP_018467889.1, XP_018465906.1, XP_018473557.1, XP_018491443.1, XP_018442005.1	Ag008G712440, Ag008G708620
OG0000090	XP_018435343.1	Ag004G333760
OG0000090	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	Ag003G223190
OG0000090	XP_018485425.1	Ag001G023950, Ag001G024020, Ag001G023830, Ag001G020200, Ag001G020270, Ag001G020040, Ag001G021760, Ag001G021770, Ag001G024010, Ag001G023940
OG0000090	XP_018455246.1	Ag002G185460
OG0000093	XP_018484517.1, XP_018484516.1, XP_018460880.1, XP_018444673.1	Ag001G087540
OG0000093	XP_018464228.1, XP_018461594.1, XP_018460536.1, XP_018449905.1	Ag001G087060, Ag020G743300
OG0000093	XP_018446270.1, XP_018444360.1, XP_018444506.1	Ag001G087470
OG0000093	XP_018444359.1	Ag001G083700, Ag001G087310
OG0000096	XP_018455183.1	Ag002G102560
OG0000096	XP_018472848.1	Ag002G103120
OG0000096	XP_018483784.1	Ag006G559170
OG0000096	XP_018468968.1	Ag004G310490
OG0000096	XP_018463016.1, XP_018443633.1	Ag004G380830
OG0000097	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1	Ag002G129480
OG0000097	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	XP_018478798.1	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	XP_018489511.1	Ag004G315550, Ag004G315560
OG0000098	XP_018489435.1	Ag006G506280, Ag004G316800, Ag004G315620
OG0000099	XP_018464864.1, XP_018455373.1	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750
OG0000099	XP_018455323.1, XP_018435679.1, XP_018435243.1, XP_018454000.1, XP_018475203.1	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410
OG0000099	XP_018454278.1	Ag004G390770
OG0000099	XP_018491773.1	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000100	XP_018448551.1	Ag004G384260, Ag008G659700
OG0000101	XP_018454261.1, XP_018454271.1	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960
OG0000101	XP_018455681.1, XP_018454018.1	Ag004G394110
OG0000101	XP_018453997.1, XP_018453999.1	Ag004G395200, Ag004G395030, Ag004G390080, Ag004G395150
OG0000102	XP_018487874.1	Ag008G662610, Ag004G328280, Ag007G647210, Ag003G274160
OG0000104	XP_018487612.1, XP_018493580.1	Ag004G307220
OG0000104	XP_018478791.1, XP_018437245.1, XP_018462942.1	Ag007G594850, Ag007G594880, Ag007G594830, Ag007G594810
OG0000104	XP_018485742.1	Ag001G010320
OG0000104	XP_018485989.1	Ag005G441940
OG0000106	XP_018435460.1, XP_018466022.1	Ag005G417510, Ag001G017220
OG0000107	XP_018432552.1	Ag005G478150, Ag005G478140, Ag005G478130, Ag003G213890
