Orthogroup	Raphanus_sativus	Cardamine_amara
OG0000028	XP_018459455.1, XP_018473650.1, XP_018435416.1, XP_018473647.1, XP_018479546.1, XP_018443548.1, XP_018464649.1, XP_018464671.1, XP_018436157.1, XP_018459873.1, XP_018488169.1, XP_018472293.1, XP_018448729.1, XP_018453783.1, XP_018480098.1, XP_018435876.1, XP_018479504.1, XP_018453703.1, XP_018462178.1, XP_018479419.1, XP_018463679.1, XP_018462971.1, XP_018453702.1, XP_018479503.1, XP_018435877.1, XP_018473938.1, XP_018461350.1, XP_018463848.1, XP_018478239.1, XP_018479617.1, XP_018474041.1, XP_018448515.1, XP_018466148.1, XP_018466182.1, XP_018464762.1, XP_018473621.1, XP_018454030.1, XP_018453707.1, XP_018436232.1, XP_018460173.1, XP_018435285.1, XP_018435280.1, XP_018487624.1, XP_018448453.1, XP_018488082.1, XP_018433508.1, XP_018443474.1, XP_018443476.1, XP_018473604.1, XP_018462844.1, XP_018462845.1, XP_018478153.1, XP_018448537.1, XP_018477751.1, XP_018463535.1, XP_018463125.1, XP_018460266.1, XP_018474042.1, XP_018453813.1, XP_018463492.1, XP_018487478.1, XP_018460550.1, XP_018448641.1	evm.model.RL_4.1689
OG0000029	XP_018476055.1	evm.model.RL_8.656
OG0000029	XP_018456076.1	evm.model.RL_5.2382
OG0000031	XP_018452507.1	evm.model.RL_3.758
OG0000033	XP_018468503.1, XP_018483350.1	evm.model.RL_2.1834, evm.model.RL_2.1824
OG0000033	XP_018468505.1, XP_018467312.1	evm.model.RL_2.1847, evm.model.RL_2.1846
OG0000033	XP_018467730.1, XP_018464878.1	evm.model.RL_3.424, evm.model.RL_3.1278
OG0000033	XP_018455051.1, XP_018454979.1	evm.model.RL_8.413
OG0000034	XP_018463355.1, XP_018475106.1, XP_018466240.1, XP_018464091.1	evm.model.RL_5.2588
OG0000034	XP_018467470.1, XP_018453140.1, XP_018459051.1, XP_018458593.1	evm.model.RL_2.4
OG0000034	XP_018458795.1	evm.model.RL_4.675
OG0000035	XP_018479866.1	evm.model.RL_6.1297
OG0000036	XP_018487493.1	evm.model.RL_5.2564
OG0000036	XP_018458116.1, XP_018459170.1, XP_018453759.1, XP_018480044.1, XP_018462577.1, XP_018462557.1, XP_018487916.1, XP_018473917.1, XP_018473916.1, XP_018458133.1, XP_018464464.1, XP_018458662.1, XP_018464202.1, XP_018477823.1	evm.model.RL_2.742, evm.model.RL_2.665
OG0000037	XP_018453786.1	evm.model.RL_4.2891, evm.model.RL_5.3695
OG0000039	XP_018473795.1	evm.model.RL_3.1691
OG0000040	XP_018481995.1, XP_018492454.1	evm.model.RL_3.1121
OG0000042	XP_018448764.1, XP_018454006.1	evm.model.RL_3.4
OG0000042	XP_018443654.1	evm.model.RL_3.1074, evm.model.RL_8.1561, evm.model.RL_3.1047
OG0000042	XP_018443419.1	evm.model.RL_6.2221
OG0000043	XP_018487700.1	evm.model.RL_3.1062, evm.model.RL_4.636, evm.model.RL_5.2585
OG0000043	XP_018466277.1	evm.model.RL_1.2849, evm.model.RL_6.636
OG0000043	XP_018487733.1	evm.model.RL_3.1063, evm.model.RL_3.816
OG0000043	XP_018436134.1	evm.model.RL_2.394
OG0000044	XP_018474435.1, XP_018458663.1, XP_018487494.1, XP_018464201.1, XP_018439588.1, XP_018463079.1, XP_018479642.1, XP_018462758.1, XP_018453591.1, XP_018461875.1, XP_018457142.1	evm.model.RL_8.225, evm.model.RL_2.612, evm.model.RL_1.2874, evm.model.RL_8.631, evm.model.RL_8.462, evm.model.RL_6.580, evm.model.RL_4.2682
OG0000044	XP_018461269.1	evm.model.RL_3.633, evm.model.RL_7.2338, evm.model.RL_8.226, evm.model.RL_2.659
OG0000045	XP_018466108.1, XP_018478951.1, XP_018448402.1	evm.model.RL_1.2734
OG0000045	XP_018487726.1, XP_018463620.1, XP_018443707.1, XP_018435482.1, XP_018467340.1, XP_018462035.1	evm.model.RL_2.587
OG0000045	XP_018459816.1, XP_018466560.1, XP_018453952.1, XP_018435496.1, XP_018467329.1	evm.model.RL_7.883, evm.model.RL_8.1002
OG0000045	XP_018479743.1	evm.model.RL_1.930
OG0000046	XP_018479670.1	evm.model.RL_2.391
OG0000046	XP_018444697.1, XP_018444687.1	evm.model.RL_2.1379
OG0000046	XP_018442725.1, XP_018469869.1, XP_018469866.1	evm.model.RL_3.1071, evm.model.RL_3.1072, evm.model.RL_3.1077
OG0000046	XP_018443463.1, XP_018442726.1, XP_018444649.1	evm.model.RL_3.1060
OG0000046	XP_018442727.1, XP_018444185.1	evm.model.RL_3.1059, evm.model.RL_3.1065
OG0000046	XP_018461818.1, XP_018458891.1, XP_018463906.1	evm.model.RL_2.393
OG0000046	XP_018483048.1, XP_018483050.1	evm.model.RL_2.398
OG0000047	XP_018453861.1, XP_018448851.1	evm.model.RL_2.1217
OG0000052	XP_018493126.1	evm.model.RL_5.167
OG0000052	XP_018473990.1, XP_018465828.1	evm.model.RL_6.1412
OG0000052	XP_018482777.1, XP_018482778.1, XP_018432826.1	evm.model.RL_8.741
OG0000053	XP_018438980.1	evm.model.RL_1.2655
OG0000054	XP_018459334.1, XP_018477522.1, XP_018473923.1	evm.model.RL_8.912, evm.model.RL_7.2126
OG0000054	XP_018477437.1, XP_018491477.1, XP_018444419.1, XP_018469257.1, XP_018485596.1	evm.model.RL_1.2395
OG0000054	XP_018465779.1	evm.model.RL_1.3123
OG0000056	XP_018460221.1, XP_018436002.1, XP_018448501.1, XP_018465335.1, XP_018458942.1, XP_018462168.1, XP_018464358.1, XP_018461103.1, XP_018461001.1, XP_018460591.1, XP_018471856.1	evm.model.RL_2.634
OG0000058	XP_018479867.1, XP_018448690.1, XP_018460186.1, XP_018435732.1, XP_018443346.1, XP_018467820.1, XP_018467084.1	evm.model.RL_6.762
OG0000059	XP_018466457.1	evm.model.RL_2.445
OG0000059	XP_018443265.1	evm.model.RL_6.844
OG0000059	XP_018453463.1	evm.model.RL_7.2089
OG0000059	XP_018461119.1	evm.model.RL_4.1269
OG0000060	XP_018444547.1, XP_018455489.1	evm.model.RL_3.1064, evm.model.RL_3.817, evm.model.RL_8.1029, evm.model.RL_7.1968
OG0000061	XP_018436245.1	evm.model.RL_6.2768, evm.model.RL_3.1126
OG0000061	XP_018462409.1, XP_018463484.1, XP_018491908.1, XP_018490120.1, XP_018453862.1, XP_018446553.1, XP_018448853.1	evm.model.RL_6.2867, evm.model.RL_7.2504, evm.model.RL_7.1966, evm.model.RL_8.1041
OG0000062	XP_018458399.1, XP_018460589.1, XP_018463117.1, XP_018457144.1, XP_018438213.1, XP_018462782.1, XP_018443697.1	evm.model.RL_2.991, evm.model.RL_6.777
OG0000062	XP_018482195.1	evm.model.RL_6.455, evm.model.RL_7.899, evm.model.RL_7.1720
OG0000065	XP_018459982.1	evm.model.RL_2.692, evm.model.RL_1.2797
OG0000065	XP_018479575.1, XP_018435745.1, XP_018462838.1	evm.model.RL_2.685, evm.model.RL_5.2501
OG0000066	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1	evm.model.RL_8.2622
OG0000067	XP_018465626.1, XP_018474335.1, XP_018472777.1, XP_018446006.1, XP_018442366.1, XP_018444607.1, XP_018443375.1, XP_018442371.1, XP_018442368.1	evm.model.RL_7.2627
OG0000069	XP_018487835.1, XP_018448680.1, XP_018479220.1, XP_018488216.1, XP_018454215.1, XP_018480096.1, XP_018448417.1	evm.model.RL_8.289
OG0000069	XP_018448749.1, XP_018436121.1, XP_018488189.1, XP_018464388.1	evm.model.RL_4.1093
OG0000070	XP_018459313.1	evm.model.RL_6.573
OG0000070	XP_018487708.1	evm.model.RL_1.2599
OG0000071	XP_018453762.1	evm.model.RL_4.340
OG0000071	XP_018479267.1, XP_018491450.1, XP_018458036.1	evm.model.RL_6.950
OG0000071	XP_018483022.1, XP_018482722.1, XP_018435770.1	evm.model.RL_6.3
OG0000072	XP_018487761.1, XP_018464035.1, XP_018463274.1, XP_018466706.1, XP_018448709.1, XP_018481855.1, XP_018481572.1, XP_018459917.1, XP_018454380.1, XP_018477453.1	evm.model.RL_3.783
OG0000073	XP_018448890.1	evm.model.RL_4.629
OG0000073	XP_018440462.1, XP_018440461.1	evm.model.RL_4.146, evm.model.RL_4.158.2.687c86cd, evm.model.RL_4.151, evm.model.RL_4.156
OG0000073	XP_018444272.1	evm.model.RL_6.501
OG0000073	XP_018448646.1	evm.model.RL_4.150
OG0000073	XP_018454138.1, XP_018465769.1	evm.model.RL_5.2720
OG0000076	XP_018493248.1	evm.model.RL_7.1484
OG0000076	XP_018454118.1	evm.model.RL_6.1653
OG0000077	XP_018459483.1, XP_018481197.1	evm.model.RL_2.3381
OG0000078	XP_018462224.1, XP_018463013.1, XP_018464185.1, XP_018438837.1, XP_018462373.1, XP_018459132.1, XP_018482546.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018459049.1, XP_018461378.1, XP_018461038.1, XP_018450716.1, XP_018466255.1, XP_018459043.1, XP_018461034.1, XP_018437386.1, XP_018446222.1, XP_018443582.1, XP_018450345.1, XP_018490507.1, XP_018487390.1, XP_018448613.1, XP_018435333.1, XP_018443586.1, XP_018479536.1, XP_018479534.1, XP_018461540.1	evm.model.RL_3.798
OG0000080	XP_018482142.1	evm.model.RL_5.3416
OG0000081	XP_018463804.1, XP_018474145.1, XP_018463803.1, XP_018475963.1	evm.model.RL_6.922
OG0000082	XP_018479358.1	evm.model.RL_7.1932
OG0000082	XP_018486502.1	evm.model.RL_3.408
OG0000082	XP_018453617.1	evm.model.RL_1.2681
OG0000084	XP_018436175.1	evm.model.RL_6.313
OG0000086	XP_018459460.1, XP_018459458.1, XP_018459461.1, XP_018459459.1, XP_018458874.1, XP_018458876.1, XP_018465641.1, XP_018465640.1, XP_018458875.1, XP_018458873.1	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	XP_018477697.1, XP_018484582.1	evm.model.RL_4.1345
OG0000087	XP_018440871.1	evm.model.RL_6.1057
OG0000087	XP_018446020.1	evm.model.RL_4.2360
OG0000087	XP_018434101.1	evm.model.RL_6.1567
OG0000087	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1	evm.model.RL_4.428
OG0000087	XP_018451489.1, XP_018470360.1, XP_018484782.1	evm.model.RL_2.1599
OG0000087	XP_018463490.1, XP_018446239.1	evm.model.RL_3.1990
OG0000088	XP_018483277.1, XP_018482085.1, XP_018441615.1, XP_018436160.1, XP_018443675.1, XP_018475641.1, XP_018476975.1, XP_018442302.1, XP_018442307.1, XP_018460254.1, XP_018434208.1, XP_018439296.1	evm.model.RL_7.1629
OG0000089	XP_018476330.1, XP_018445204.1, XP_018471220.1	evm.model.RL_4.2603
OG0000089	XP_018492660.1	evm.model.RL_1.1790.1.687c87ee
OG0000089	XP_018473557.1	evm.model.RL_7.1725, evm.model.RL_8.2019
OG0000090	XP_018435343.1	evm.model.RL_5.1846
OG0000090	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	evm.model.RL_3.2006
OG0000090	XP_018455246.1	evm.model.RL_7.2013, evm.model.RL_7.2546
OG0000090	XP_018439895.1	evm.model.RL_5.885
OG0000093	XP_018484517.1, XP_018484516.1, XP_018460880.1, XP_018444673.1	evm.model.RL_7.523
OG0000093	XP_018446270.1, XP_018444360.1, XP_018444506.1	evm.model.RL_7.525
OG0000096	XP_018438135.1	evm.model.RL_3.612
OG0000096	XP_018455183.1	evm.model.RL_4.362
OG0000097	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1	evm.model.RL_8.394
OG0000098	XP_018454444.1, XP_018454446.1	evm.model.RL_3.229
OG0000098	XP_018450352.1	evm.model.RL_3.199
OG0000101	XP_018453994.1	evm.model.RL_3.99, evm.model.RL_3.653
OG0000101	XP_018454733.1, XP_018453995.1	evm.model.RL_3.662, evm.model.RL_3.664
OG0000104	XP_018478791.1, XP_018437245.1, XP_018462942.1	evm.model.RL_6.1001, evm.model.RL_6.1005, evm.model.RL_6.1006
OG0000104	XP_018485742.1	evm.model.RL_5.2109
OG0000104	XP_018485989.1	evm.model.RL_1.2055
OG0000104	XP_018476295.1	evm.model.RL_1.2425
OG0000105	XP_018463217.1, XP_018466727.1, XP_018435969.1, XP_018473792.1, XP_018474519.1, XP_018459799.1, XP_018458509.1, XP_018473595.1, XP_018467581.1, XP_018466577.1, XP_018462761.1, XP_018487861.1	evm.model.RL_1.2669
OG0000105	XP_018473746.1, XP_018459726.1	evm.model.RL_6.453
OG0000106	XP_018435460.1, XP_018466022.1	evm.model.RL_7.1393
OG0000106	XP_018462071.1	evm.model.RL_1.965
OG0000107	XP_018486571.1, XP_018467025.1	evm.model.RL_1.1927
OG0000107	XP_018440339.1, XP_018435080.1, XP_018436775.1	evm.model.RL_1.2019, evm.model.RL_1.2021, evm.model.RL_1.1929
OG0000108	XP_018482705.1	evm.model.RL_4.1209
OG0000108	XP_018477065.1	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	XP_018443647.1, XP_018461538.1, XP_018467732.1	evm.model.RL_3.231
OG0000109	XP_018453787.1	evm.model.RL_1.2215, evm.model.RL_4.1270
OG0000110	XP_018489183.1, XP_018442568.1, XP_018459990.1	evm.model.RL_7.1925
OG0000110	XP_018459994.1, XP_018443615.1, XP_018459996.1, XP_018443136.1	evm.model.RL_7.432
OG0000113	XP_018454631.1, XP_018455217.1	evm.model.RL_4.208
OG0000113	XP_018464844.1	evm.model.RL_3.97, evm.model.RL_7.1875
OG0000113	XP_018437703.1	evm.model.RL_4.149, evm.model.RL_3.996
OG0000116	XP_018452688.1	evm.model.RL_5.1553
OG0000117	XP_018479567.1	evm.model.RL_8.488
OG0000119	XP_018435672.1	evm.model.RL_5.2397
OG0000120	XP_018454192.1, XP_018454191.1, XP_018454194.1, XP_018463935.1	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	XP_018448805.1, XP_018448808.1, XP_018448809.1, XP_018448806.1, XP_018448804.1, XP_018461801.1, XP_018477225.1, XP_018477643.1, XP_018488001.1, XP_018477675.1, XP_018477620.1, XP_018482159.1, XP_018488288.1, XP_018490867.1, XP_018473755.1, XP_018477202.1, XP_018466466.1, XP_018442004.1, XP_018466316.1	evm.model.RL_4.896, evm.model.RL_4.944, evm.model.RL_4.881, evm.model.RL_4.932
OG0000120	XP_018443272.1	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	XP_018473651.1	evm.model.RL_5.2721
OG0000123	XP_018445122.1, XP_018462042.1	evm.model.RL_5.1209
OG0000123	XP_018458507.1	evm.model.RL_5.1210
OG0000124	XP_018476031.1, XP_018453429.1, XP_018453427.1, XP_018436459.1, XP_018462836.1	evm.model.RL_4.540
OG0000125	XP_018464380.1, XP_018463483.1, XP_018442304.1	evm.model.RL_4.1435
OG0000125	XP_018441606.1, XP_018478084.1, XP_018472875.1	evm.model.RL_6.979
OG0000126	XP_018458450.1, XP_018458451.1, XP_018459717.1, XP_018459167.1, XP_018464140.1, XP_018460217.1, XP_018473818.1	evm.model.RL_1.2513
OG0000126	XP_018448675.1, XP_018459267.1, XP_018466537.1, XP_018453659.1	evm.model.RL_6.543, evm.model.RL_3.859
OG0000127	XP_018443227.1	evm.model.RL_4.3345
OG0000127	XP_018467636.1	evm.model.RL_4.3347
OG0000127	XP_018444659.1	evm.model.RL_4.3343
OG0000127	XP_018469432.1	evm.model.RL_1.822
OG0000128	XP_018461983.1	evm.model.RL_3.654
OG0000128	XP_018464920.1	evm.model.RL_5.2370
OG0000130	XP_018459979.1, XP_018465443.1, XP_018464356.1, XP_018463846.1, XP_018461248.1, XP_018467159.1, XP_018462471.1, XP_018462355.1, XP_018463578.1, XP_018459972.1, XP_018463369.1, XP_018462354.1, XP_018462353.1, XP_018464631.1, XP_018473997.1, XP_018453674.1, XP_018463372.1, XP_018490387.1, XP_018461308.1	evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707
OG0000132	XP_018465674.1, XP_018482519.1, XP_018453807.1, XP_018448437.1, XP_018475460.1, XP_018459183.1, XP_018463276.1	evm.model.RL_8.1179
OG0000132	XP_018487410.1	evm.model.RL_2.3365
OG0000135	XP_018479921.1	evm.model.RL_5.2242
OG0000135	XP_018448342.1, XP_018479779.1, XP_018473985.1, XP_018473984.1, XP_018479174.1, XP_018435427.1, XP_018465544.1, XP_018473683.1, XP_018487469.1	evm.model.RL_4.523, evm.model.RL_3.1563
OG0000135	XP_018454235.1	evm.model.RL_3.1676
OG0000136	XP_018445028.1, XP_018459504.1, XP_018475756.1, XP_018456777.1, XP_018456775.1	evm.model.RL_3.1028
OG0000137	XP_018489729.1, XP_018444526.1, XP_018466176.1, XP_018453630.1, XP_018470137.1	evm.model.RL_7.1543
OG0000137	XP_018467348.1	evm.model.RL_2.50
OG0000139	XP_018466800.1, XP_018458616.1, XP_018473921.1, XP_018463540.1	evm.model.RL_6.1684
OG0000140	XP_018474233.1	evm.model.RL_8.2003
OG0000142	XP_018475595.1, XP_018475632.1	evm.model.RL_6.1032
OG0000142	XP_018477489.1	evm.model.RL_6.1035
OG0000142	XP_018480951.1	evm.model.RL_6.789, evm.model.RL_6.1159
OG0000143	XP_018460264.1	evm.model.RL_8.1036, evm.model.RL_1.2794
OG0000144	XP_018468839.1, XP_018448270.1, XP_018448446.1, XP_018453517.1, XP_018444097.1	evm.model.RL_8.1451
OG0000145	XP_018475246.1	evm.model.RL_2.934
OG0000145	XP_018487663.1, XP_018459425.1	evm.model.RL_8.608
OG0000147	XP_018489076.1	evm.model.RL_1.3091
OG0000147	XP_018447191.1, XP_018447677.1	evm.model.RL_2.2536
OG0000147	XP_018470730.1, XP_018456230.1	evm.model.RL_8.1812
OG0000147	XP_018453169.1, XP_018442966.1	evm.model.RL_3.2406
OG0000147	XP_018440073.1	evm.model.RL_7.1930
OG0000147	XP_018489772.1	evm.model.RL_1.2583
OG0000147	XP_018441376.1	evm.model.RL_6.348
OG0000149	XP_018436983.1, XP_018437469.1, XP_018437143.1	evm.model.RL_7.1737
OG0000150	XP_018435717.1	evm.model.RL_7.1810
OG0000151	XP_018471382.1, XP_018457991.1	evm.model.RL_8.1422
OG0000151	XP_018445231.1, XP_018461966.1, XP_018447674.1	evm.model.RL_2.2307
OG0000151	XP_018492109.1, XP_018440453.1, XP_018486328.1, XP_018491228.1	evm.model.RL_1.777
OG0000151	XP_018487201.1, XP_018435045.1	evm.model.RL_1.2853
OG0000151	XP_018468491.1, XP_018455854.1, XP_018476067.1	evm.model.RL_8.1691
OG0000151	XP_018453176.1	evm.model.RL_3.61
