Orthogroup	Raphanus_sativus	Cardamine_glauca
OG0000018	XP_018487788.1, XP_018435524.1, XP_018463527.1, XP_018454070.1, XP_018459374.1, XP_018442989.1, XP_018473906.1, XP_018479172.1, XP_018473760.1, XP_018465161.1, XP_018477832.1, XP_018436350.1, XP_018435707.1, XP_018435708.1, XP_018480047.1, XP_018489333.1, XP_018490274.1, XP_018479751.1, XP_018469035.1, XP_018481163.1, XP_018436132.1, XP_018464713.1, XP_018465008.1, XP_018457861.1, XP_018462470.1, XP_018448883.1, XP_018454217.1, XP_018448606.1, XP_018448885.1, XP_018463040.1, XP_018454208.1, XP_018460929.1, XP_018459042.1, XP_018461247.1, XP_018488201.1, XP_018462856.1, XP_018458112.1, XP_018442987.1, XP_018464922.1, XP_018458110.1, XP_018462516.1, XP_018454216.1, XP_018475052.1	Cg003G089030, Cg003G095110
OG0000019	XP_018475002.1	Cg008G308170
OG0000019	XP_018487710.1, XP_018465525.1, XP_018479350.1	Cg004G134340
OG0000020	XP_018482431.1	Cg001G036750
OG0000021	XP_018479340.1, XP_018474062.1, XP_018473630.1, XP_018473970.1	Cg006G208570
OG0000021	XP_018460019.1	Cg003G100100
OG0000021	XP_018479089.1	Cg003G084910
OG0000021	XP_018473840.1	Cg002G061370
OG0000023	XP_018468520.1, XP_018468522.1	Cg001G017560
OG0000023	XP_018464962.1, XP_018471375.1, XP_018461167.1, XP_018461172.1, XP_018466880.1	Cg003G082360
OG0000023	XP_018483343.1, XP_018448955.1, XP_018451939.1	Cg001G017610, Cg001G017600
OG0000023	XP_018454315.1, XP_018476504.1, XP_018476512.1	Cg003G082320
OG0000023	XP_018454312.1	Cg003G082240
OG0000023	XP_018448922.1, XP_018448923.1	Cg001G017750
OG0000023	XP_018439285.1	Cg001G017690
OG0000025	XP_018448361.1, XP_018448364.1, XP_018435503.1, XP_018465681.1, XP_018448362.1, XP_018475375.1, XP_018475377.1, XP_018475791.1, XP_018475795.1	Cg001G005300
OG0000025	XP_018466544.1, XP_018480011.1, XP_018474193.1, XP_018474191.1, XP_018474185.1	Cg003G102540
OG0000027	XP_018467712.1, XP_018467711.1	Cg007G250820
OG0000027	XP_018448575.1, XP_018448576.1	Cg002G070600
OG0000027	XP_018436387.1	Cg006G215350, Cg006G215360
OG0000027	XP_018487153.1	Cg002G048550, Cg002G048720
OG0000028	XP_018463159.1	Cg001G041970
OG0000029	XP_018479181.1	Cg003G107860
OG0000029	XP_018479572.1, XP_018476055.1	Cg007G253930
OG0000029	XP_018474746.1	Cg005G177650
OG0000031	XP_018452507.1	Cg007G247710
OG0000031	XP_018478989.1	Cg001G042060
OG0000031	XP_018437843.1	Cg004G133170
OG0000031	XP_018493478.1, XP_018487942.1	Cg007G245660
OG0000033	XP_018468503.1, XP_018483350.1	Cg001G017700
OG0000033	XP_018448926.1, XP_018448925.1	Cg001G017740, Cg001G017730
OG0000033	XP_018436206.1, XP_018483352.1	Cg001G017780
OG0000033	XP_018484118.1, XP_018484117.1	Cg001G019620, Cg001G019630
OG0000033	XP_018463089.1, XP_018468501.1	Cg001G017580
OG0000033	XP_018455051.1, XP_018454979.1	Cg003G079950, Cg003G094060
OG0000034	XP_018463355.1, XP_018475106.1, XP_018466240.1	Cg002G066600
OG0000036	XP_018457139.1, XP_018435571.1, XP_018462760.1, XP_018467931.1, XP_018461876.1, XP_018487493.1	Cg005G180340, Cg002G065870, Cg008G312450, Cg005G190140, Cg004G144710, Cg001G036700, Cg002G070690
OG0000037	XP_018461383.1	Cg007G247800, Cg007G255010
OG0000038	XP_018473908.1	Cg008G285210, Cg008G285280
OG0000038	XP_018459725.1	Cg005G159520
OG0000038	XP_018443359.1, XP_018479044.1, XP_018477530.1	Cg001G007650
OG0000038	XP_018479935.1	Cg006G216960
OG0000038	XP_018479936.1, XP_018479937.1	Cg002G052970
OG0000039	XP_018473795.1	Cg005G180100, Cg002G062370, Cg002G062340
OG0000040	XP_018435466.1, XP_018464547.1, XP_018443694.1, XP_018488539.1	Cg004G137150
OG0000040	XP_018481995.1, XP_018492454.1	Cg004G136640
OG0000042	XP_018448764.1, XP_018454006.1	Cg006G198550, Cg003G083590
OG0000042	XP_018458169.1, XP_018474020.1, XP_018453898.1	Cg002G059980
OG0000042	XP_018443419.1	Cg005G183270, Cg003G113100, Cg008G310640, Cg008G309000, Cg005G175020, Cg003G088120
OG0000042	XP_018460803.1, XP_018487809.1	Cg002G072070
OG0000044	XP_018474435.1, XP_018458663.1, XP_018487494.1, XP_018464201.1, XP_018439588.1, XP_018463079.1, XP_018479642.1, XP_018462758.1, XP_018453591.1, XP_018461875.1, XP_018457142.1	Cg001G029670
OG0000044	XP_018461269.1	Cg003G096230
OG0000045	XP_018466108.1, XP_018478951.1, XP_018448402.1, XP_018487726.1, XP_018463620.1, XP_018443707.1, XP_018435482.1, XP_018467340.1, XP_018462035.1, XP_018464385.1, XP_018458802.1, XP_018458803.1, XP_018462082.1, XP_018474461.1, XP_018435693.1, XP_018475205.1, XP_018473845.1, XP_018487780.1, XP_018458922.1, XP_018458923.1, XP_018435841.1, XP_018467136.1, XP_018460440.1, XP_018487910.1, XP_018463491.1, XP_018448701.1, XP_018464530.1, XP_018461065.1, XP_018487892.1, XP_018459206.1, XP_018488048.1, XP_018466713.1, XP_018448460.1, XP_018487866.1, XP_018459566.1, XP_018463234.1, XP_018443765.1, XP_018479710.1, XP_018448786.1, XP_018461533.1, XP_018453567.1, XP_018474115.1, XP_018465887.1, XP_018459998.1, XP_018436087.1, XP_018479461.1, XP_018466777.1, XP_018473377.1, XP_018453832.1, XP_018453981.1	Cg003G091810
OG0000045	XP_018459816.1, XP_018466560.1, XP_018453952.1, XP_018435496.1, XP_018467329.1	Cg002G064420
OG0000046	XP_018435200.1	Cg003G097180
OG0000046	XP_018444697.1, XP_018444687.1	Cg001G022610
OG0000046	XP_018442725.1, XP_018469869.1, XP_018469866.1	Cg007G266760
OG0000046	XP_018443463.1, XP_018442726.1, XP_018444649.1	Cg007G266630
OG0000046	XP_018442727.1, XP_018444185.1	Cg007G266640
OG0000048	XP_018444414.1	Cg008G298370
OG0000049	XP_018457108.1, XP_018457107.1, XP_018489919.1, XP_018475022.1	Cg007G255960
OG0000052	XP_018493126.1	Cg006G242960
OG0000052	XP_018473990.1, XP_018465828.1	Cg005G173390, Cg013G330370
OG0000052	XP_018482777.1, XP_018482778.1, XP_018432826.1	Cg003G083820
OG0000053	XP_018438980.1	Cg001G027560, Cg008G306580, Cg001G031950, Cg007G254370, Cg004G134350
OG0000053	XP_018438946.1, XP_018469270.1, XP_018480125.1, XP_018490555.1	Cg003G084420
OG0000054	XP_018459334.1, XP_018477522.1, XP_018473923.1	Cg001G018970
OG0000054	XP_018477437.1, XP_018491477.1, XP_018444419.1, XP_018469257.1, XP_018485596.1	Cg005G189800, Cg005G189790
OG0000055	XP_018435121.1	Cg002G060080
OG0000056	XP_018460221.1, XP_018436002.1, XP_018448501.1, XP_018465335.1, XP_018458942.1, XP_018462168.1, XP_018464358.1, XP_018461103.1, XP_018461001.1, XP_018460591.1, XP_018471856.1	Cg007G262570, Cg007G263580, Cg007G265440, Cg006G204190
OG0000058	XP_018460528.1, XP_018479391.1, XP_018488217.1, XP_018479861.1	Cg005G185820
OG0000058	XP_018479867.1, XP_018448690.1, XP_018460186.1, XP_018435732.1, XP_018443346.1, XP_018467820.1, XP_018467084.1	Cg005G189250
OG0000060	XP_018444547.1, XP_018455489.1	Cg001G034080
OG0000061	XP_018436245.1	Cg003G083990, Cg008G318200
OG0000061	XP_018462409.1, XP_018463484.1, XP_018491908.1, XP_018490120.1, XP_018453862.1, XP_018446553.1, XP_018448853.1	Cg007G263690, Cg007G267630
OG0000062	XP_018458399.1, XP_018460589.1	Cg007G260660, Cg005G180090
OG0000062	XP_018435507.1, XP_018470051.1, XP_018458513.1, XP_018453872.1, XP_018465298.1, XP_018448633.1, XP_018481702.1, XP_018458820.1, XP_018453714.1, XP_018467728.1, XP_018454571.1, XP_018435964.1, XP_018453700.1, XP_018435546.1, XP_018482195.1	Cg010G326150
OG0000064	XP_018480217.1	Cg001G000750
OG0000064	XP_018473779.1, XP_018473780.1, XP_018474714.1, XP_018460208.1, XP_018472945.1, XP_018460209.1, XP_018450522.1, XP_018450539.1, XP_018463337.1, XP_018448400.1, XP_018463339.1, XP_018449650.1, XP_018474598.1, XP_018474599.1, XP_018462841.1, XP_018475048.1, XP_018443823.1, XP_018443200.1, XP_018460203.1, XP_018460207.1, XP_018473529.1, XP_018443574.1, XP_018443571.1, XP_018465975.1, XP_018466260.1, XP_018461543.1, XP_018464034.1, XP_018461537.1, XP_018468598.1, XP_018443483.1, XP_018444827.1, XP_018443480.1, XP_018444944.1, XP_018449802.1, XP_018449809.1, XP_018443481.1, XP_018444994.1, XP_018443478.1, XP_018467354.1, XP_018463265.1, XP_018482751.1, XP_018436303.1, XP_018474027.1, XP_018474028.1, XP_018469272.1, XP_018436302.1, XP_018436349.1, XP_018488002.1, XP_018435433.1, XP_018436299.1, XP_018454002.1, XP_018436283.1, XP_018436285.1, XP_018436289.1, XP_018437674.1, XP_018436286.1, XP_018464851.1, XP_018476025.1, XP_018475567.1, XP_018463206.1, XP_018474153.1, XP_018482750.1, XP_018467455.1, XP_018436301.1, XP_018472219.1	Cg008G325030
OG0000065	XP_018459982.1	Cg001G020190
OG0000066	XP_018448990.1, XP_018470662.1, XP_018433979.1, XP_018439713.1, XP_018448989.1, XP_018470661.1, XP_018456938.1, XP_018445234.1, XP_018456939.1	Cg003G113360
OG0000067	XP_018465626.1, XP_018474335.1, XP_018472777.1, XP_018446006.1, XP_018442366.1, XP_018444607.1, XP_018443375.1, XP_018442371.1, XP_018442368.1	Cg004G154470
OG0000067	XP_018474857.1, XP_018475140.1, XP_018472752.1, XP_018472753.1, XP_018487690.1, XP_018448422.1, XP_018475216.1	Cg008G318950
OG0000070	XP_018463982.1	Cg005G186370
OG0000071	XP_018453762.1	Cg007G264730, Cg003G105600
OG0000071	XP_018443565.1, XP_018474012.1	Cg006G240460
OG0000073	XP_018444272.1	Cg008G302430
OG0000074	XP_018484078.1	Cg006G222190
OG0000074	XP_018475190.1, XP_018463580.1, XP_018442248.1, XP_018474776.1, XP_018483556.1, XP_018449779.1, XP_018449780.1	Cg006G222350
OG0000075	XP_018487834.1	Cg003G083750, Cg005G174740, Cg008G291500, Cg008G290800, Cg008G290770, Cg006G214290
OG0000075	XP_018453478.1	Cg004G148530
OG0000075	XP_018461296.1, XP_018457458.1	Cg001G042020, Cg008G318380, Cg001G041980, Cg007G251300
OG0000075	XP_018448172.1, XP_018442633.1, XP_018479680.1	Cg001G033430, Cg006G221290, Cg008G323300
OG0000075	XP_018478964.1, XP_018464005.1	Cg008G301210
OG0000076	XP_018493248.1	Cg002G057890
OG0000076	XP_018436949.1, XP_018440340.1, XP_018440341.1	Cg002G054100
OG0000076	XP_018454118.1	Cg007G272900
OG0000076	XP_018479392.1, XP_018481202.1, XP_018479394.1, XP_018479395.1	Cg002G071650
OG0000078	XP_018462224.1, XP_018463013.1, XP_018464185.1, XP_018438837.1, XP_018462373.1, XP_018459132.1, XP_018482546.1, XP_018459131.1, XP_018482527.1, XP_018438608.1, XP_018462371.1, XP_018459049.1, XP_018461378.1, XP_018461038.1, XP_018450716.1, XP_018466255.1, XP_018459043.1, XP_018461034.1, XP_018437386.1, XP_018446222.1, XP_018443582.1, XP_018450345.1, XP_018490507.1, XP_018487390.1, XP_018448613.1, XP_018435333.1, XP_018443586.1, XP_018479536.1, XP_018479534.1, XP_018461540.1	Cg002G071190
OG0000079	XP_018436791.1	Cg004G118210
OG0000079	XP_018440487.1, XP_018434498.1, XP_018440703.1, XP_018490673.1	Cg002G047470
OG0000079	XP_018485958.1	Cg007G249140
OG0000079	XP_018462102.1, XP_018439443.1, XP_018443618.1, XP_018442766.1, XP_018442962.1, XP_018443617.1, XP_018460416.1, XP_018442910.1, XP_018458706.1	Cg008G310600, Cg008G310560, Cg008G308930
OG0000080	XP_018482142.1	Cg004G150150
OG0000080	XP_018467401.1	Cg005G177060
OG0000083	XP_018462245.1, XP_018460689.1	Cg005G178780
OG0000083	XP_018485392.1	Cg004G140440
OG0000083	XP_018435298.1	Cg005G190480
OG0000083	XP_018440112.1	Cg005G190490
OG0000084	XP_018458817.1	Cg005G189580
OG0000087	XP_018477697.1, XP_018484582.1	Cg008G303510
OG0000087	XP_018440871.1	Cg005G177380
OG0000087	XP_018492627.1, XP_018440532.1	Cg003G110470
OG0000087	XP_018446020.1	Cg008G292710
OG0000087	XP_018434101.1	Cg005G171830
OG0000087	XP_018439894.1, XP_018457306.1, XP_018456689.1, XP_018483831.1	Cg008G320640
OG0000087	XP_018451489.1, XP_018470360.1, XP_018484782.1	Cg001G020160
OG0000087	XP_018463490.1, XP_018446239.1	Cg007G276340
OG0000088	XP_018441615.1, XP_018436160.1, XP_018443675.1, XP_018475641.1, XP_018476975.1, XP_018442302.1, XP_018442307.1, XP_018460254.1, XP_018434208.1	Cg005G181240
OG0000088	XP_018439296.1	Cg002G059930
OG0000088	XP_018474898.1, XP_018446823.1	Cg001G039390, Cg008G300920
OG0000089	XP_018476330.1, XP_018445204.1, XP_018471220.1	Cg008G290150
OG0000089	XP_018473557.1	Cg002G060740, Cg003G107020
OG0000090	XP_018435343.1	Cg006G225800
OG0000090	XP_018446355.1, XP_018446357.1, XP_018446912.1, XP_018446910.1, XP_018448900.1	Cg007G276570, Cg001G034690, Cg001G034670, Cg001G034700
OG0000090	XP_018485425.1	Cg006G200830, Cg006G200820, Cg006G200840, Cg006G200440, Cg006G200850
OG0000090	XP_018455246.1	Cg002G074060
OG0000090	XP_018439895.1	Cg006G235770
OG0000093	XP_018484517.1, XP_018484516.1, XP_018460880.1, XP_018444673.1	Cg002G047960
OG0000093	XP_018488418.1	Cg002G047940
OG0000093	XP_018444359.1	Cg002G048030
OG0000096	XP_018438135.1	Cg007G252880
OG0000097	XP_018451515.1, XP_018489433.1, XP_018486669.1, XP_018486652.1, XP_018474049.1	Cg003G079780, Cg003G094240
OG0000097	XP_018455932.1, XP_018456414.1, XP_018456413.1, XP_018456412.1, XP_018455931.1	Cg003G079770, Cg003G094250
OG0000098	XP_018459403.1, XP_018454197.1, XP_018457909.1	Cg007G253040, Cg007G249450
OG0000099	XP_018455323.1, XP_018435679.1, XP_018435243.1, XP_018454000.1, XP_018475203.1, XP_018436873.1, XP_018483317.1, XP_018454278.1, XP_018491773.1	Cg007G249510
OG0000101	XP_018453994.1	Cg007G246670
OG0000102	XP_018487874.1	Cg001G040220, Cg001G033570
OG0000104	XP_018487612.1, XP_018493580.1	Cg006G238510
OG0000104	XP_018478791.1, XP_018437245.1, XP_018462942.1	Cg005G178080, Cg005G178040, Cg005G177940, Cg005G177960, Cg005G177980, Cg005G177930, Cg005G177920
OG0000104	XP_018485742.1	Cg006G200560
OG0000104	XP_018485989.1	Cg004G138340
OG0000105	XP_018473746.1, XP_018459726.1	Cg003G084510
OG0000107	XP_018474063.1, XP_018435236.1	Cg005G182320
OG0000107	XP_018489629.1, XP_018489727.1, XP_018488234.1, XP_018486234.1	Cg004G136910
OG0000107	XP_018486571.1, XP_018467025.1	Cg004G136890, Cg004G136900
OG0000108	XP_018477065.1	Cg008G306430
OG0000108	XP_018443647.1, XP_018461538.1, XP_018467732.1	Cg007G245680, Cg007G245670
OG0000109	XP_018474003.1	Cg006G218300, Cg006G206180
OG0000110	XP_018459995.1	Cg002G047270
OG0000110	XP_018489183.1, XP_018442568.1, XP_018459990.1	Cg002G047280
OG0000110	XP_018459994.1, XP_018443615.1, XP_018459996.1, XP_018443136.1	Cg002G047240
OG0000110	XP_018444638.1	Cg007G269260
OG0000111	XP_018490205.1, XP_018490414.1, XP_018489158.1, XP_018464835.1, XP_018486610.1, XP_018465554.1, XP_018465557.1, XP_018489931.1	Cg002G051630
OG0000113	XP_018464844.1	Cg007G253910
OG0000119	XP_018435973.1, XP_018448484.1, XP_018453686.1	Cg003G096910, Cg005G178360
OG0000119	XP_018435672.1	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680
OG0000120	XP_018454192.1, XP_018454191.1, XP_018454194.1, XP_018463935.1	Cg007G250010, Cg007G249930
OG0000120	XP_018448805.1, XP_018448808.1, XP_018448809.1, XP_018448806.1, XP_018448804.1, XP_018461801.1, XP_018477225.1, XP_018477643.1, XP_018488001.1, XP_018477675.1, XP_018477620.1, XP_018482159.1, XP_018488288.1, XP_018490867.1, XP_018473755.1, XP_018477202.1, XP_018466466.1, XP_018442004.1, XP_018466316.1	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540
OG0000120	XP_018443272.1	Cg008G285500
OG0000122	XP_018468941.1	Cg003G086890
OG0000122	XP_018453563.1	Cg003G103770
OG0000122	XP_018462771.1, XP_018475283.1, XP_018472552.1, XP_018474614.1, XP_018462773.1, XP_018472550.1	Cg003G103780
OG0000122	XP_018460882.1	Cg003G103810
OG0000123	XP_018449687.1, XP_018447985.1	Cg006G218510, Cg006G218490
OG0000123	XP_018458507.1	Cg001G014410
OG0000123	XP_018465848.1, XP_018467255.1, XP_018479088.1, XP_018469074.1, XP_018468699.1	Cg001G014420
OG0000123	XP_018481885.1	Cg001G029000, Cg001G029020
OG0000124	XP_018461102.1	Cg002G063920, Cg003G086460
OG0000125	XP_018485557.1, XP_018478149.1	Cg002G052860
OG0000125	XP_018464380.1, XP_018463483.1, XP_018442304.1	Cg008G302630
OG0000125	XP_018441606.1, XP_018478084.1, XP_018472875.1	Cg005G178390
OG0000126	XP_018448675.1, XP_018459267.1, XP_018466537.1, XP_018453659.1	Cg001G027760, Cg001G028690, Cg002G060390, Cg007G271870, Cg008G305740, Cg007G255150
OG0000127	XP_018482062.1, XP_018479651.1	Cg008G282750
OG0000127	XP_018467636.1	Cg008G282740
OG0000127	XP_018444659.1	Cg007G262300, Cg007G263860
OG0000127	XP_018469432.1	Cg004G124780
OG0000127	XP_018473001.1	Cg007G262280
OG0000128	XP_018464920.1	Cg001G020220, Cg008G318340
OG0000129	XP_018473960.1	Cg005G172680
OG0000133	XP_018452405.1, XP_018477160.1, XP_018477168.1	Cg007G269340
OG0000133	XP_018450983.1, XP_018460947.1	Cg003G084500, Cg005G185150, Cg004G141220
OG0000135	XP_018459552.1, XP_018435351.1, XP_018456024.1, XP_018435721.1, XP_018479208.1, XP_018462974.1, XP_018479938.1, XP_018465059.1, XP_018443759.1, XP_018463941.1, XP_018464552.1, XP_018453538.1, XP_018461254.1, XP_018464610.1, XP_018479400.1, XP_018479921.1, XP_018466214.1, XP_018443541.1, XP_018448342.1, XP_018479779.1, XP_018473985.1, XP_018473984.1, XP_018479174.1, XP_018435427.1, XP_018465544.1, XP_018473683.1, XP_018487469.1	Cg004G138210
OG0000136	XP_018459689.1, XP_018465188.1	Cg001G037040
OG0000137	XP_018467348.1	Cg001G041290
OG0000138	XP_018482690.1	Cg002G067580, Cg002G067290
OG0000140	XP_018474233.1	Cg003G106800
OG0000140	XP_018464951.1, XP_018465933.1, XP_018469119.1	Cg003G106450
OG0000140	XP_018455338.1	Cg003G106810, Cg008G324860, Cg003G096950
OG0000142	XP_018477489.1	Cg005G177630
OG0000142	XP_018480951.1	Cg005G176030
OG0000144	XP_018452589.1, XP_018443229.1, XP_018436001.1, XP_018453631.1, XP_018453737.1, XP_018450169.1, XP_018467201.1, XP_018436024.1, XP_018448643.1	Cg005G182040
OG0000146	XP_018466390.1	Cg003G102630
OG0000146	XP_018452340.1	Cg003G102640
OG0000146	XP_018454803.1	Cg003G102600
OG0000146	XP_018469497.1, XP_018452341.1, XP_018454603.1	Cg003G102620
OG0000147	XP_018439896.1, XP_018456672.1, XP_018489076.1	Cg004G155250
OG0000147	XP_018447191.1, XP_018447677.1	Cg001G010340
OG0000147	XP_018470730.1, XP_018456230.1	Cg003G104960
OG0000147	XP_018453169.1, XP_018442966.1	Cg007G280860
OG0000147	XP_018489772.1	Cg004G146670
OG0000147	XP_018441376.1	Cg005G189880
OG0000149	XP_018436983.1, XP_018437469.1, XP_018437143.1	Cg002G060880
OG0000149	XP_018468249.1	Cg003G107320
OG0000149	XP_018461508.1	Cg003G107280
OG0000150	XP_018479792.1	Cg002G061900
OG0000151	XP_018471382.1, XP_018457991.1	Cg003G100170
OG0000151	XP_018445231.1, XP_018461966.1, XP_018447674.1	Cg001G012710
OG0000151	XP_018492109.1, XP_018440453.1, XP_018486328.1, XP_018491228.1	Cg004G124340
OG0000151	XP_018487201.1, XP_018435045.1	Cg004G152640
OG0000151	XP_018468491.1, XP_018455854.1, XP_018476067.1	Cg003G103430
OG0000151	XP_018453176.1	Cg007G246070
OG0000152	XP_018467420.1	Cg006G206580
OG0000152	XP_018469718.1, XP_018473926.1, XP_018453794.1, XP_018453647.1, XP_018443335.1, XP_018443578.1, XP_018455617.1, XP_018465560.1, XP_018473943.1, XP_018487650.1, XP_018466869.1, XP_018466667.1, XP_018479018.1, XP_018462117.1, XP_018463330.1, XP_018474053.1, XP_018487651.1, XP_018435790.1	Cg002G069910, Cg006G216840, Cg002G069290, Cg005G182640, Cg004G145620, Cg002G063800, Cg003G096260, Cg001G034420, Cg007G260590, Cg004G146430, Cg002G067820, Cg005G182630, Cg007G251500, Cg003G082490, Cg008G288890, Cg007G251240, Cg006G195780
OG0000154	XP_018451125.1, XP_018487475.1	Cg006G229860
OG0000154	XP_018439758.1	Cg004G128290
OG0000154	XP_018445474.1, XP_018492171.1, XP_018492160.1, XP_018452385.1, XP_018451023.1, XP_018465909.1, XP_018491687.1, XP_018439788.1	Cg008G283240
OG0000154	XP_018445818.1, XP_018445836.1	Cg008G283230
OG0000155	XP_018471751.1	Cg001G013440
OG0000155	XP_018443883.1, XP_018440226.1, XP_018460363.1	Cg001G019660
OG0000155	XP_018471642.1	Cg001G019650
OG0000155	XP_018491969.1	Cg004G127780
OG0000156	XP_018480183.1, XP_018480175.1	Cg002G045690
OG0000156	XP_018478569.1	Cg005G160240
OG0000158	XP_018491615.1, XP_018461518.1, XP_018432785.1	Cg005G184100
OG0000160	XP_018435759.1, XP_018474025.1, XP_018460645.1	Cg007G264990, Cg006G202970
OG0000160	XP_018465687.1	Cg003G091850
OG0000161	XP_018438997.1, XP_018439597.1, XP_018435583.1, XP_018435186.1, XP_018439599.1	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820
OG0000161	XP_018461987.1	Cg007G261320
OG0000161	XP_018491243.1, XP_018491241.1	Cg007G257190
OG0000162	XP_018437416.1	Cg008G314630, Cg002G046130
OG0000162	XP_018490254.1	Cg005G178220
OG0000162	XP_018463531.1	Cg005G160860
OG0000165	XP_018479684.1, XP_018464080.1, XP_018435740.1, XP_018436060.1, XP_018460158.1, XP_018479823.1, XP_018453527.1, XP_018487629.1, XP_018467634.1, XP_018473105.1, XP_018474024.1, XP_018474155.1, XP_018474156.1, XP_018466049.1, XP_018454104.1, XP_018479281.1, XP_018479306.1, XP_018473850.1	Cg009G325660
OG0000167	XP_018456032.1, XP_018470205.1	Cg003G099980, Cg003G099950, Cg003G099970, Cg003G100000, Cg003G085600, Cg003G085540, Cg005G187960, Cg005G187970, Cg005G188000, Cg005G188050, Cg005G187980, Cg001G021130
OG0000167	XP_018487852.1	Cg001G021160
OG0000168	XP_018435547.1	Cg001G034720
OG0000169	XP_018466358.1	Cg013G330250, Cg013G330280, Cg013G330310, Cg036G336840
OG0000171	XP_018486354.1, XP_018471533.1, XP_018433300.1, XP_018466301.1	Cg006G222370, Cg007G270890
OG0000171	XP_018461928.1, XP_018466967.1	Cg006G235360, Cg007G250530
OG0000171	XP_018446341.1	Cg008G294880
OG0000173	XP_018462904.1, XP_018480053.1, XP_018482031.1, XP_018460656.1, XP_018453851.1, XP_018479259.1, XP_018488020.1, XP_018488019.1, XP_018435657.1, XP_018473620.1, XP_018466778.1, XP_018463579.1, XP_018443579.1, XP_018479902.1, XP_018473956.1, XP_018455197.1	Cg003G091670
OG0000174	XP_018454079.1, XP_018453635.1, XP_018453590.1, XP_018467610.1, XP_018467617.1, XP_018467428.1, XP_018467324.1, XP_018463262.1, XP_018463244.1, XP_018458054.1, XP_018476099.1, XP_018479716.1, XP_018467224.1, XP_018464197.1, XP_018468530.1, XP_018462949.1, XP_018467321.1, XP_018453867.1, XP_018475424.1, XP_018466046.1, XP_018464818.1, XP_018465102.1, XP_018475645.1, XP_018459728.1, XP_018479576.1, XP_018466885.1	Cg009G325780, Cg006G205480
OG0000175	XP_018468233.1, XP_018439736.1, XP_018478940.1	Cg002G055540
OG0000175	XP_018464957.1	Cg001G005230
OG0000175	XP_018491974.1	Cg001G004130
OG0000176	XP_018448171.1	Cg006G215540
