Orthogroup	Arabidopsis_lyrata_Rawat	Conringia_planisiliqua
OG0000017	AL7G11240, AL7G16690, AL4G42290	CP50_g6576_DN2_SP0_c.t1
OG0000017	AL189U10020	CP18_g12312_DN3_SP0_c.t1, CP44_g20955_DN3_SP0_c.t1
OG0000018	AL6G42400	CP7_g44363_DN3_SP0_c.t1, CP14_g23481_DN3_SP0_c.t1
OG0000020	AL4G17980	CP15_g35839_DN1_SP0_c.t1, CP5_g2289_DN2_SP0_c.t1, CP3_g16164_DN3_SP0_c.t1, CP5_g3358_DN2_SP0_c.t1, CP15_g34920_DN2_SP0_c.t1, CP14_g22577_DN2_SP0_c.t1, CP25_g55995_DN1_SP0_c.t1
OG0000021	AL8G10060	CP6_g7966_DN2_SP0_c.t1
OG0000021	AL5G16490, AL5G19200	CP3_g15821_DN1_SP0_c.t1
OG0000021	AL363U10020	CP12_g31265_DN3_SP0_c.t1
OG0000021	AL3G42620	CP9_g27700_DN2_SP0_c.t1, CP7_g45412_DN1_SP0_c.t1, CP9_g27699_DN2_SP0_c.t1
OG0000021	AL5G10040, AL5G25470	CP5_g2151_DN1_SP0_c.t1, CP3_g15599_DN1_SP0_c.t1, CP8_g52216_DN3_SP0_c.t1, CP15_g35250_DN2_SP0_c.t1
OG0000021	AL96U10010	CP3_g14807_DN2_SP0_c.t1, CP29_g22111_DN2_SP0_c.t1, CP17_g5059_DN2_SP0_c.t1
OG0000024	AL4G17790, AL4G17810	CP6_g9610_DN1_SP0_c.t1
OG0000024	AL128U10010	CP6_g9314_DN1_SP0_c.t1, CP22_g17429_DN2_SP0_c.t1
OG0000027	AL1G46280, AL1G45210	CP6_g7457_DN2_SP0_c.t1, CP1_g39929_DN2_SP0_c.t1
OG0000027	AL5G23680, AL5G39160, AL5G38280, AL5G39170	CP3_g13494_DN2_SP0_c.t1
OG0000028	AL5G20350	CP15_g35522_DN1_SP0_c.t1, CP6_g8506_DN2_SP0_c.t1
OG0000028	AL3G41570	CP1_g39690_DN3_SP0_c.t1, CP9_g27692_DN2_SP0_c.t1, CP1_g39003_DN2_SP0_c.t1, CP24_g47109_DN1_SP0_c.t1, CP2_g49681_DN3_SP0_c.t1, CP1_g38511_DN1_SP0_c.t1
OG0000028	nbis-gene-1243	CP17_g5930_DN1_SP0_c.t1
OG0000029	AL26U10050, AL3G41030, AL6G10700, AL7G44460, AL4G17400	CP22_g17304_DN2_SP0_c.t1
OG0000030	AL1G54660	CP5_g3067_DN2_SP0_c.t1, CP37_g11368_DN3_SP0_c.t1, CP27_g41663_DN1_SP0_c.t1, CP9_g27573_DN3_SP0_c.t1, CP37_g11369_DN1_SP0_c.t1
OG0000030	AL172U10010, AL4G17860	CP26_g51212_DN3_SP0_c.t1
OG0000033	AL7G30350, AL7G30310, AL5G24540, AL6G48800	CP16_g55465_DN3_SP1_c.t1
OG0000034	AL5G21550, AL8G19760, AL8G18300, AL7G23790, AL4G30020, AL5G40150, AL8G20130, AL210U10020, AL1G51890, AL5G17770	CP15_g35590_DN3_SP0_c.t1
OG0000035	AL2G14000, AL2G14020	CP9_g29505_DN2_SP0_c.t1
OG0000035	AL4G27390	CP4_g25547_DN2_SP0_c.t1
OG0000035	AL4G27770	CP9_g28258_DN1_SP0_c.t1
OG0000035	AL1G62520	CP12_g30253_DN2_SP0_c.t1, CP12_g30252_DN1_SP0_c.t1
OG0000036	AL4G17610, AL6G45120, AL1G60100, AL3G30200	CP47_g21258_DN2_SP0_c.t1, CP8_g52373_DN1_SP0_c.t1
OG0000036	AL2G27390	CP17_g5406_DN1_SP0_c.t1
OG0000037	AL5G11300, AL4G20550	CP3_g15633_DN2_SP0_c.t1
OG0000037	AL3G27890	CP17_g4884_DN2_SP0_c.t1, CP17_g4930_DN2_SP0_c.t1
OG0000038	nbis-gene-1360	CP3_g13999_DN3_SP0_c.t1
OG0000038	AL8G26900	CP8_g53633_DN2_SP0_c.t1
OG0000038	AL1G14840	CP7_g45140_DN3_SP0_c.t1
OG0000038	AL3G22250, AL3G22230	CP10_g43041_DN3_SP0_c.t1
OG0000040	AL3G27510	CP11_g31940_DN3_SP0_c.t1
OG0000040	AL5G29320, AL5G29310, AL5G29340	CP10_g43630_DN1_SP0_c.t1
OG0000041	AL7G44740	CP25_g55794_DN2_SP0_c.t1, CP5_g3238_DN1_SP0_c.t1
OG0000042	AL8G11480	CP5_g2115_DN2_SP0_c.t1
OG0000042	AL364U10020, AL6G48140	CP13_g20255_DN1_SP0_c.t1
OG0000044	AL6G40760, AL3G44690, AL4G20190	CP1_g39285_DN1_SP0_c.t1
OG0000044	AL5G16920, AL7G43910, AL3G42580	CP15_g34716_DN3_SP0_c.t1
OG0000045	AL2G19770	CP21_g10560_DN2_SP0_c.t1, CP16_g55602_DN1_SP0_c.t1, CP2_g49958_DN1_SP0_c.t1, CP12_g30554_DN2_SP0_c.t1
OG0000045	AL6G36560	CP2_g49348_DN2_SP0_c.t1
OG0000045	AL5G21210	CP1_g38484_DN3_SP0_c.t1
OG0000045	AL3G43240	CP3_g15426_DN2_SP0_c.t1, CP12_g30550_DN3_SP0_c.t1, CP14_g22799_DN1_SP0_c.t1
OG0000046	AL7G51420	CP5_g1580_DN2_SP0_c.t1
OG0000046	AL2G25320	CP9_g28234_DN3_SP0_c.t1
OG0000048	AL3G13720	CP10_g42380_DN2_SP0_c.t1
OG0000048	AL4G10310	CP16_g54747_DN3_SP0_c.t1
OG0000048	AL6G29120, AL6G29220	CP11_g32163_DN2_SP0_c.t1, CP11_g32173_DN2_SP0_c.t1
OG0000049	AL1G48510	CP12_g31464_DN1_SP0_c.t1, CP1_g39918_DN2_SP0_c.t1, CP1_g39386_DN1_SP0_c.t1
OG0000049	AL1G48060	CP15_g34935_DN3_SP0_c.t1, CP34_g51571_DN3_SP0_c.t1, CP12_g31463_DN1_SP0_c.t1, CP6_g9686_DN3_SP0_c.t1
OG0000049	AL3G47420	CP2_g50310_DN2_SP0_c.t1
OG0000049	AL6G41090	CP1_g41374_DN2_SP0_c.t1, CP1_g39385_DN3_SP0_c.t1
OG0000049	AL3G47410	CP1_g39384_DN1_SP0_c.t1
OG0000049	AL6G37950	CP14_g23587_DN3_SP0_c.t1, CP2_g50284_DN2_SP0_c.t1, CP1_g39917_DN2_SP0_c.t1, CP14_g22620_DN1_SP0_c.t1
OG0000049	nbis-gene-1560	CP7_g44323_DN2_SP0_c.t1
OG0000050	AL5G20430	CP18_g11588_DN2_SP0_c.t1
OG0000050	AL8G15100, AL8G40700	CP27_g41852_DN3_SP0_c.t1, CP3_g15593_DN3_SP0_c.t1, CP20_g4061_DN2_SP0_c.t1, CP12_g31035_DN3_SP0_c.t1, CP36_g50953_DN2_SP0_c.t1, CP20_g4062_DN3_SP0_c.t1, CP5_g2505_DN3_SP0_c.t1
OG0000052	nbis-gene-988	CP2_g49248_DN2_SP0_c.t1
OG0000053	AL8G40920, AL2G10380, AL1G59190, AL7G34190	CP20_g3949_DN2_SP0_c.t1, CP1_g38971_DN3_SP0_c.t1
OG0000053	AL5G34630	CP4_g26576_DN3_SP0_c.t1
OG0000054	AL5G18550, nbis-gene-807	CP5_g2131_DN3_SP0_c.t1
OG0000055	AL2G13840	CP2_g49066_DN2_SP0_c.t1
OG0000055	AL2G14060, AL2G14070, AL2G14080, AL2G14090	CP2_g49067_DN3_SP0_c.t1
OG0000055	AL2G13900	CP2_g49077_DN3_SP0_c.t1
OG0000056	AL8G19360	CP4_g26050_DN2_SP0_c.t1
OG0000057	AL4G21820	CP10_g42516_DN3_SP0_c.t1
OG0000057	AL3G50860, AL769U10010, AL3G38080	CP10_g43729_DN2_SP0_c.t1
OG0000057	AL5G27570, AL2G18120	CP12_g29917_DN2_SP0_c.t1
OG0000057	nbis-gene-725, AL3G41130	CP12_g30730_DN2_SP0_c.t1
OG0000058	AL4G27890	CP5_g3336_DN1_SP0_c.t1, CP3_g15240_DN2_SP0_c.t1, CP5_g3337_DN1_SP0_c.t1
OG0000059	AL1G51710	CP13_g20626_DN1_SP0_c.t1
OG0000059	AL1G50760	CP14_g22798_DN1_SP0_c.t1
OG0000059	AL6G19270	CP26_g51312_DN2_SP0_c.t1, CP50_g6564_DN3_SP0_c.t1
OG0000059	AL3G42970, AL1G54810	CP12_g31581_DN1_SP0_c.t1
OG0000059	AL7G45130, AL5G12450, AL1G66530, AL4G19380, AL9U11720, AL5G19450, AL2G14550, AL2G12980, AL6G42590	CP5_g3316_DN2_SP0_c.t1
OG0000059	AL3G44960, AL8G19180, AL27U10030	CP12_g31525_DN1_SP0_c.t1
OG0000059	AL3G36810	CP15_g36037_DN2_SP0_c.t1, CP26_g51313_DN1_SP0_c.t1
OG0000061	AL2G21910, AL8G29100, AL1G31420, AL8G26420, AL6G33330	CP1_g40914_DN2_SP0_c.t1
OG0000062	nbis-gene-221	CP8_g52439_DN3_SP0_c.t1, CP7_g44287_DN2_SP0_c.t1
OG0000063	AL5G25220	CP1_g37049_DN3_SP0_c.t1, CP3_g14842_DN3_SP0_c.t1
OG0000063	AL1G18100	CP1_g37064_DN3_SP0_c.t1
OG0000064	AL7G10840	CP5_g77_DN1_SP0_c.t1
OG0000064	AL4G29500	CP4_g25364_DN3_SP0_c.t1
OG0000066	AL6G20900	CP4_g25642_DN3_SP0_c.t1
OG0000066	AL6G20890, AL1G19680, AL5G16700	CP2_g49425_DN3_SP0_c.t1
OG0000067	AL3G20250, AL3G20240, AL3G20260	CP12_g31237_DN3_SP0_c.t1
OG0000068	AL3G39900, AL6G50990	CP4_g26547_DN1_SP0_c.t1
OG0000068	AL3G42660, AL7G46520, AL4G33750	CP12_g31766_DN2_SP0_c.t1, CP1_g40960_DN1_SP0_c.t1
OG0000069	nbis-gene-12	CP6_g9730_DN1_SP0_c.t1
OG0000069	AL1G60290, AL5G25100	CP18_g12305_DN2_SP0_c.t1
OG0000073	AL8G11840	CP13_g20691_DN1_SP0_c.t1
OG0000073	AL3G46070	CP21_g10991_DN3_SP0_c.t1
OG0000074	AL1G37350	CP7_g45419_DN3_SP0_c.t1
OG0000074	AL1G37390	CP7_g45428_DN3_SP0_c.t1
OG0000074	AL1G37400	CP7_g45420_DN3_SP0_c.t1
OG0000074	AL1G37370, AL1G37380, AL1G37360	CP20_g4368_DN3_SP0_c.t1
OG0000074	AL1G37270	CP7_g45432_DN3_SP0_c.t1
OG0000074	AL1G37280	CP7_g45433_DN3_SP0_c.t1, CP7_g45431_DN3_SP0_c.t1
OG0000075	AL1G37130, AL4G30220, AL6G20830	CP7_g44717_DN3_SP0_c.t1
OG0000075	AL6G27180, AL1G43860	CP8_g52637_DN1_SP0_c.t1
OG0000076	AL1G65610, AL5G15900	CP13_g19766_DN3_SP0_c.t1
OG0000079	AL3G12550, AL3G12540	CP10_g42299_DN3_SP0_c.t1
OG0000079	AL5G40790	CP16_g55065_DN3_SP0_c.t1
OG0000081	nbis-gene-1089, AL3G17170	CP7_g44768_DN1_SP0_c.t1, CP16_g55147_DN3_SP0_c.t1
OG0000081	nbis-gene-1537	CP7_g45047_DN1_SP0_c.t1
OG0000081	AL6G42950	CP20_g4332_DN1_SP0_c.t1
OG0000084	nbis-gene-1002	CP16_g55159_DN2_SP0_c.t1
OG0000084	AL4G15600	CP16_g55161_DN2_SP0_c.t1
OG0000084	AL4G15550	CP16_g55163_DN2_SP0_c.t1
OG0000085	AL9U10400	CP29_g22117_DN1_SP0_c.t1
OG0000085	AL7G52520	CP29_g22118_DN1_SP0_c.t1
OG0000085	AL9U11250, AL3G29600, AL1G64180	CP7_g44433_DN3_SP0_c.t1
OG0000085	AL1G47700, AL3G42270, AL2G24190, AL6G40850, AL2G32540, AL7G41350, AL3G37700	CP14_g22980_DN1_SP0_c.t1
OG0000085	AL5G12950, AL4G27640, AL4G12180, AL2G24020, AL5G19730, AL2G18440, AL3G36940	CP26_g51222_DN2_SP0_c.t1
OG0000086	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	CP18_g12051_DN1_SP0_c.t1
OG0000087	AL6G35120	CP2_g48308_DN3_SP8_c.t1
OG0000087	AL4G24260	CP4_g25793_DN3_SP8_c.t1
OG0000087	AL8G39670	CP2_g48035_DN3_SP7_c.t1
OG0000087	AL5G25960	CP3_g14713_DN3_SP4_c.t1
OG0000087	AL6G23060	CP11_g32707_DN3_SP8_c.t1
OG0000087	AL4G30750	CP4_g25265_DN3_SP6_c.t1
OG0000087	AL8G15560	CP13_g20168_DN3_SP8_c.t1
OG0000087	AL7G33260	CP6_g6768_DN3_SP8_c.t1
OG0000087	AL2G35770	CP9_g29223_DN3_SP8_c.t1
OG0000090	AL2G24470, AL4G11370, AL1G32980	CP7_g45746_DN3_SP0_c.t1
OG0000090	AL1G20940	CP17_g5790_DN3_SP0_c.t1
OG0000091	AL2G13330, AL3G42630, AL8G16340	CP3_g15860_DN3_SP0_c.t1, CP3_g15889_DN3_SP0_c.t1, CP2_g49990_DN3_SP0_c.t1, CP8_g52261_DN2_SP0_c.t1, CP8_g52260_DN2_SP0_c.t1, CP8_g52279_DN3_SP0_c.t1, CP18_g11648_DN3_SP0_c.t1, CP3_g15893_DN3_SP0_c.t1, CP3_g15864_DN3_SP0_c.t1, CP1_g38916_DN3_SP0_c.t1, CP2_g49989_DN3_SP0_c.t1, CP4_g26258_DN1_SP0_c.t1, CP4_g26257_DN3_SP0_c.t1
OG0000093	AL5G40110	CP3_g13515_DN3_SP0_c.t1
OG0000093	AL3G42890	CP3_g14024_DN3_SP0_c.t1
OG0000096	AL8G20320, nbis-gene-2073, AL2G15700	CP2_g49677_DN1_SP0_c.t1
OG0000097	AL6G49120	CP5_g1424_DN3_SP0_c.t1
OG0000098	nbis-gene-1028	CP1_g37532_DN1_SP0_c.t1
OG0000098	AL1G23600	CP1_g37531_DN2_SP0_c.t1
OG0000098	AL1G23590	CP1_g37530_DN3_SP0_c.t1
OG0000098	AL1G23480	CP13_g20427_DN3_SP0_c.t1
OG0000100	AL8G34500, AL2G20140, AL8G14910, AL5G22850, nbis-gene-262	CP8_g52256_DN3_SP0_c.t1
OG0000101	AL2G16740	CP2_g49326_DN3_SP0_c.t1
OG0000102	AL7G22190	CP33_g3650_DN2_SP0_c.t1, CP9_g27438_DN1_SP0_c.t1, CP15_g36115_DN1_SP0_c.t1, CP4_g26224_DN1_SP0_c.t1, CP6_g9672_DN2_SP0_c.t1
OG0000102	AL5G31380	CP1_g41013_DN1_SP0_c.t1
OG0000102	AL6G34160	CP3_g15363_DN1_SP0_c.t1
OG0000102	AL8G13680	CP14_g23881_DN1_SP0_c.t1
OG0000102	AL1G44840	CP12_g31118_DN1_SP0_c.t1, CP13_g20642_DN2_SP0_c.t1
OG0000102	AL7G43200	CP3_g15487_DN2_SP0_c.t1
OG0000102	AL2G36550	CP21_g10523_DN3_SP0_c.t1, CP18_g12134_DN2_SP0_c.t1, CP14_g23880_DN1_SP0_c.t1, CP14_g23888_DN2_SP0_c.t1, CP3_g15486_DN2_SP0_c.t1, CP12_g31694_DN2_SP0_c.t1, CP13_g20643_DN1_SP0_c.t1, CP4_g26798_DN1_SP0_c.t1, CP3_g16300_DN1_SP0_c.t1, CP4_g26225_DN1_SP0_c.t1
OG0000102	AL60U10040	CP17_g5203_DN1_SP0_c.t1
OG0000105	AL5G25560	CP1_g40642_DN2_SP0_c.t1
OG0000106	AL3G31590	CP6_g7572_DN1_SP0_c.t1
OG0000106	nbis-gene-1973, nbis-gene-1025, AL4G22680, AL4G22640, AL3G41350, AL3G41320, AL3G41330, AL3G41340	CP12_g30930_DN3_SP0_c.t1, CP12_g30984_DN3_SP0_c.t1, CP12_g30986_DN3_SP0_c.t1
OG0000108	AL4G14150	CP2_g48438_DN1_SP0_c.t1
OG0000108	AL3G43980	CP17_g5784_DN1_SP0_c.t1
OG0000110	AL5G41090	CP3_g13458_DN3_SP0_c.t1
OG0000113	nbis-gene-1539	CP12_g31635_DN1_SP0_c.t1
OG0000114	AL3G14170	CP12_g31634_DN1_SP0_c.t1
OG0000114	AL1G52710	CP12_g31654_DN3_SP0_c.t1
OG0000115	AL1G16160, AL2G19110	CP2_g49800_DN1_SP0_c.t1
OG0000116	AL4G42280	CP3_g15993_DN3_SP0_c.t1, CP3_g15786_DN3_SP0_c.t1, CP3_g16109_DN3_SP0_c.t1, CP14_g22737_DN3_SP0_c.t1, CP2_g50064_DN3_SP0_c.t1, CP9_g28240_DN3_SP0_c.t1, CP14_g23591_DN3_SP0_c.t1, CP14_g22728_DN3_SP0_c.t1, CP13_g20622_DN3_SP0_c.t1, CP31_g46658_DN2_SP0_c.t1, CP4_g26901_DN3_SP0_c.t1, CP31_g46599_DN3_SP0_c.t1, CP3_g15720_DN3_SP0_c.t1, CP14_g23090_DN3_SP0_c.t1, CP20_g4127_DN3_SP0_c.t1, CP28_g33960_DN2_SP0_c.t1, CP1_g40743_DN2_SP0_c.t1, CP1_g40732_DN2_SP0_c.t1, CP21_g10505_DN2_SP0_c.t1, CP25_g55830_DN3_SP0_c.t1, CP44_g20957_DN3_SP0_c.t1, CP14_g23169_DN1_SP0_c.t1, CP6_g9453_DN3_SP0_c.t1, CP15_g35512_DN3_SP0_c.t1, CP28_g33977_DN3_SP0_c.t1
OG0000117	AL8G20470	CP14_g23890_DN3_SP0_c.t1, CP3_g15485_DN3_SP0_c.t1, CP15_g36117_DN3_SP0_c.t1, CP1_g41162_DN3_SP0_c.t1, CP3_g15353_DN1_SP0_c.t1, CP18_g12133_DN2_SP0_c.t1, CP6_g7639_DN2_SP0_c.t1, CP22_g17338_DN1_SP0_c.t1, CP12_g31607_DN1_SP0_c.t1, CP5_g3263_DN2_SP0_c.t1
OG0000117	AL6G44320	CP17_g5842_DN2_SP0_c.t1
OG0000118	AL5G18800	CP5_g1908_DN2_SP0_c.t1, CP5_g1919_DN2_SP0_c.t1, CP5_g1915_DN1_SP0_c.t1, CP5_g1912_DN2_SP0_c.t1, CP5_g1886_DN2_SP0_c.t1, CP5_g1935_DN3_SP0_c.t1, CP94_g6400_DN3_SP0_c.t1, CP5_g1897_DN2_SP0_c.t1, CP5_g1895_DN2_SP0_c.t1, CP5_g1905_DN3_SP0_c.t1
OG0000118	AL6G41700, AL6G41690, AL6G51870, AL496U10020, AL496U10010, AL6G51840, AL6G41680, AL6G41670	CP6_g7513_DN2_SP0_c.t1, CP3_g14874_DN2_SP0_c.t1
OG0000120	nbis-gene-408, AL2G15570	CP2_g49217_DN3_SP0_c.t1, CP2_g49209_DN1_SP0_c.t1
OG0000122	AL8G31960	CP8_g53628_DN3_SP0_c.t1
OG0000122	nbis-gene-2149	CP8_g53621_DN3_SP0_c.t1, CP8_g53620_DN3_SP0_c.t1
OG0000123	AL1G41710, AL1G41700	CP7_g45076_DN3_SP0_c.t1
OG0000123	AL7G26670	CP19_g18011_DN3_SP0_c.t1
OG0000123	AL1G25180, AL1G25190	CP1_g37644_DN3_SP0_c.t1
OG0000124	AL8G32360	CP1_g39061_DN1_SP0_c.t1, CP13_g20361_DN1_SP0_c.t1, CP3_g16605_DN2_SP0_c.t1, CP6_g8745_DN2_SP0_c.t1, CP5_g1942_DN3_SP0_c.t1, CP6_g8614_DN2_SP0_c.t1, CP17_g4921_DN2_SP0_c.t1, CP4_g26048_DN1_SP0_c.t1, CP2_g50524_DN2_SP0_c.t1, CP13_g20268_DN3_SP0_c.t1
OG0000124	nbis-gene-1897	CP1_g38598_DN2_SP0_c.t1, CP6_g9750_DN1_SP0_c.t1
OG0000124	AL3G31830	CP8_g54204_DN2_SP0_c.t1, CP22_g17175_DN1_SP0_c.t1
OG0000124	nbis-gene-1516	CP16_g55125_DN3_SP0_c.t1, CP1_g38747_DN1_SP0_c.t1, CP16_g55303_DN1_SP0_c.t1, CP9_g27784_DN2_SP0_c.t1
OG0000124	AL3G43990	CP2_g49700_DN3_SP0_c.t1
OG0000124	nbis-gene-2162	CP8_g54335_DN2_SP0_c.t1
OG0000125	AL3G20660	CP11_g33621_DN2_SP0_c.t1
OG0000125	AL6G34020	CP8_g54114_DN3_SP0_c.t1
OG0000125	AL8G36480	CP8_g54018_DN3_SP0_c.t1
OG0000125	AL5G24750	CP3_g14833_DN3_SP0_c.t1
OG0000125	AL4G23250	CP4_g25869_DN3_SP0_c.t1
OG0000126	AL3G44880, AL4G19050	CP13_g20755_DN2_SP0_c.t1, CP8_g52207_DN3_SP0_c.t1, CP1_g40798_DN1_SP0_c.t1, CP18_g12086_DN1_SP0_c.t1, CP12_g30973_DN2_SP0_c.t1, CP6_g8636_DN1_SP0_c.t1, CP13_g20554_DN1_SP0_c.t1, CP1_g40799_DN1_SP0_c.t1, CP2_g50773_DN2_SP0_c.t1, CP36_g50966_DN3_SP0_c.t1, CP1_g39950_DN3_SP0_c.t1, CP14_g23196_DN3_SP0_c.t1, CP5_g2510_DN1_SP0_c.t1, CP18_g12085_DN2_SP0_c.t1, CP15_g35845_DN3_SP0_c.t1, CP95_g12688_DN3_SP0_c.t1, CP18_g11788_DN2_SP0_c.t1
OG0000127	AL3G20190	CP3_g14752_DN3_SP0_c.t1, CP17_g6016_DN3_SP0_c.t1
OG0000127	AL1G22140, AL1G22160, AL1G17320, AL638U10010	CP6_g7448_DN3_SP0_c.t1, CP12_g30884_DN3_SP0_c.t1, CP12_g30885_DN3_SP0_c.t1
OG0000128	AL6G51530	CP25_g55878_DN2_SP0_c.t1
OG0000128	AL7G53080	CP6_g9543_DN2_SP0_c.t1
OG0000131	AL3G42080, AL4G18650, AL5G18470, AL2G20370, AL8G13990, AL1G46930, AL2G19090	CP13_g20753_DN3_SP0_c.t1, CP22_g17669_DN1_SP0_c.t1, CP74_g56236_DN3_SP0_c.t1, CP95_g12691_DN3_SP0_c.t1, CP3_g14115_DN3_SP0_c.t1, CP1_g40795_DN2_SP0_c.t1, CP22_g17668_DN1_SP0_c.t1, CP8_g52209_DN3_SP0_c.t1, CP17_g6028_DN3_SP0_c.t1, CP20_g4238_DN3_SP0_c.t1, CP8_g52212_DN3_SP0_c.t1, CP7_g44474_DN2_SP0_c.t1, CP9_g27817_DN2_SP0_c.t1, CP7_g44473_DN2_SP0_c.t1, CP1_g39948_DN1_SP0_c.t1
OG0000131	AL5G18060	CP12_g30982_DN3_SP0_c.t1, CP18_g12092_DN3_SP0_c.t1, CP9_g27816_DN2_SP0_c.t1
OG0000132	AL614U10020	CP14_g23531_DN3_SP0_c.t1, CP27_g41691_DN3_SP0_c.t1
