Orthogroup	Arabidopsis_lyrata_Rawat	Alyssum_gmelinii
OG0000040	AL1G39630, AL1G35700, AL1G40160, AL1G40170, AL1G40180, AL3G27510	Ag005G468330, Ag005G409970, Ag005G409830, Ag005G409790, Ag005G470150, Ag005G469490, Ag005G470890, Ag005G470920, Ag005G470910
OG0000040	AL5G24990, AL3G24770, AL3G25930, AL3G25710, AL3G25690	Ag002G192690, Ag002G188830
OG0000040	AL2G23050, AL5G29320, AL5G29310, AL5G29340	Ag005G441920, Ag005G467750, Ag005G452660
OG0000040	AL275U10020, AL3G33690, AL3G33320, AL3G33700	Ag005G446880, Ag005G447100, Ag005G447140
OG0000041	AL7G44740	Ag003G296430, Ag003G296390, Ag008G683020
OG0000042	AL677U10010, AL2G11290, AL1G59470	Ag007G610350, Ag001G022920
OG0000042	AL364U10020	Ag005G442270
OG0000044	AL5G16920, AL7G43910, AL3G42580	Ag006G512870
OG0000045	AL2G19770	Ag005G474590, Ag005G450900, Ag005G424570
OG0000045	AL1G41870	Ag005G417800, Ag004G353390, Ag005G464900, Ag002G130610, Ag001G035560, Ag008G683870, Ag005G459470, Ag009G736850, Ag002G151850, Ag005G408680, Ag005G420260, Ag003G262090, Ag004G355210
OG0000045	AL1G56200, AL3G43240, AL2G29770	Ag002G197550, Ag008G703200
OG0000046	nbis-gene-1820	Ag006G575430
OG0000046	AL2G25210, AL2G25320	Ag002G129690, Ag002G129740
OG0000047	AL5G32340	Ag007G585730, Ag007G603890, Ag006G525770
OG0000048	AL3G13680	Ag005G486480
OG0000049	AL1G48510	Ag003G236810
OG0000050	AL2G19460, AL7G40460, AL8G34860, AL8G13000, AL5G20430	Ag007G641850
OG0000050	AL2G29160, AL704U10010, AL9U10060, AL8G15100, AL8G40700	Ag002G123120, Ag004G303450, Ag008G721720, Ag004G400620, Ag002G193630
OG0000052	AL1G20340	Ag004G301370, Ag004G301320
OG0000052	AL4G40940	Ag002G194170
OG0000052	AL4G40930	Ag002G194060
OG0000052	AL4G40960	Ag002G194250
OG0000052	AL4G41010, AL4G41000	Ag002G194440, Ag002G194380
OG0000053	AL8G40920, AL2G10380, AL1G59190, AL7G34190	Ag003G279130
OG0000054	nbis-gene-807	Ag007G634740, Ag006G513370, Ag001G062410
OG0000055	AL2G13390, AL2G13990	Ag004G382900
OG0000055	AL2G14050, AL2G14060, AL2G14070, AL2G14080, AL2G14090	Ag002G180760, Ag003G281400, Ag003G282390
OG0000056	AL6G44140, AL8G19010, AL8G19360, AL3G47230	Ag002G121000, Ag006G542770
OG0000057	AL3G53160, AL3G53140	Ag005G459510, Ag005G459380, Ag005G459480, Ag001G015510
OG0000057	AL3G29670	Ag005G459490
OG0000057	AL3G30470, AL3G30730	Ag005G459920
OG0000057	AL3G28670	Ag005G462800, Ag005G462790
OG0000057	nbis-gene-725, AL3G41130	Ag003G289060
OG0000059	AL6G19270	Ag004G391520
OG0000059	AL3G44960, AL8G19180, AL27U10030	Ag004G350080, Ag005G474580, Ag006G490820, Ag002G134210
OG0000059	AL3G36810	Ag002G103440, Ag002G122810, Ag006G522950
OG0000061	AL8G29100, AL1G31420, AL8G26420, AL6G33330	Ag003G281740, Ag004G369480, Ag007G641000, Ag005G463130, Ag003G220980, Ag002G137260, Ag006G514860
OG0000063	AL1G18100	Ag004G307350
OG0000064	AL7G10840	Ag003G295980
OG0000066	AL7G12350	Ag003G225480
OG0000066	AL2G35580, AL3G43470, AL6G41640, AL2G35590	Ag003G225470
OG0000066	AL6G20900	Ag002G165440, Ag008G732850, Ag008G732860, Ag007G604700
OG0000066	AL6G20890, AL1G19680, AL5G16700	Ag002G125900
OG0000067	AL3G20250, AL3G20240, AL3G20260	Ag003G291740, Ag003G293500, Ag005G466230, Ag003G291820
OG0000067	AL6G14890, AL6G15310	Ag005G407040, Ag005G407080, Ag005G407050
OG0000067	AL6G18740	Ag007G607200, Ag007G607230, Ag003G227540
OG0000068	AL7G43840	Ag002G195230, Ag004G364800, Ag004G365410, Ag004G364540, Ag006G570020
OG0000068	AL3G39900, AL6G50990	Ag002G161440, Ag003G260950, Ag006G498520
OG0000069	AL5G31050, nbis-gene-12, AL1G60290, AL5G25100	Ag002G200250
OG0000071	AL5G27290, AL1G43970, nbis-gene-561	Ag003G234950, Ag003G217580
OG0000071	AL6G40690	Ag004G389390, Ag004G339910, Ag002G109160, Ag004G328070, Ag006G558850, Ag008G714970, Ag005G471910, Ag002G114540, Ag064G744880, Ag001G015270, Ag002G107710, Ag002G178100, Ag008G660740, Ag004G389850, Ag002G173990, Ag001G029400
OG0000072	AL6G46480, AL2G19590, AL8G24560, AL4G13100, AL8G26200, AL7G48370, AL1G49480, AL3G45860, AL3G47220, AL5G17870, AL6G38840, AL6G40590, AL1G47050, AL6G52460, AL2G22030, AL8G22080, AL2G35490, AL5G20740, AL7G34330, AL5G17840, AL8G17600, AL2G22170, AL3G44280, AL7G53070, AL1G54140, AL170U10010, AL3G46660, AL7G45510, AL5G10400, AL3G43610, AL4G17930, AL4G12360, AL5G17970, AL9U10780, AL8G20850	Ag005G487550, Ag005G428140, Ag004G338760, Ag004G343840, Ag004G379550, Ag010G739530, Ag004G328310, Ag004G366340, Ag002G206610, Ag001G061570, Ag005G425640, Ag004G328300, Ag007G617420, Ag004G389340, Ag004G394320
OG0000073	AL7G37760	Ag006G576040
OG0000073	AL8G18480	Ag002G118960, Ag002G118950
OG0000073	AL6G42230	Ag002G116850
OG0000073	AL8G11840	Ag002G117280
OG0000073	AL3G46070	Ag002G137530
OG0000073	AL8G11930, AL8G11910	Ag002G120540
OG0000073	AL5G18720	Ag002G116910
OG0000074	AL1G37390	Ag003G242350, Ag003G242390
OG0000074	AL1G37440	Ag005G402710
OG0000074	AL1G37400	Ag003G241560, Ag003G242310
OG0000074	AL4G22700, AL1G37370, AL1G37380, AL1G37360	Ag004G378820
OG0000074	AL1G37420	Ag006G514000
OG0000075	AL1G37130, AL4G30220, AL6G20830	Ag006G502200, Ag006G502100, Ag006G501950, Ag006G502230, Ag006G501990, Ag006G502110, Ag006G502180, Ag007G604630, Ag007G604580, Ag007G604560, Ag007G604640
OG0000075	AL1G22300	Ag004G313480, Ag004G313520, Ag007G599000, Ag007G598990, Ag003G269710
OG0000075	AL5G25310	Ag004G319650, Ag004G319660, Ag004G320140, Ag004G319070, Ag004G319080, Ag004G320150, Ag003G276440, Ag004G320110, Ag002G111120, Ag002G107550, Ag001G078420
OG0000076	AL1G65610	Ag008G717410, Ag008G717440, Ag008G717430, Ag008G717330, Ag008G717300
OG0000076	AL5G15900	Ag001G002030
OG0000077	AL7G11690	Ag003G286070, Ag003G286090, Ag003G286060
OG0000077	AL1G52780, AL1G52760, AL1G52750	Ag006G508210
OG0000077	AL7G11590	Ag001G010260, Ag001G010280, Ag001G010290, Ag004G315120, Ag003G222960, Ag003G281310, Ag003G281290, Ag003G281350, Ag003G281360, Ag003G281330, Ag003G281340, Ag003G281320, Ag003G281370, Ag003G281300
OG0000077	AL2G16730, AL2G16030	Ag004G321630, Ag004G321620, Ag004G321600
OG0000078	AL1G55630, AL7G11640, AL1G50710, AL4G20710, AL6G41920, AL8G21920, AL9U11500, AL2G19920, AL2G22250, AL5G12710	Ag001G046650, Ag002G152760
OG0000079	AL5G40790	Ag001G089410, Ag006G550580, Ag003G233720
OG0000079	AL5G40710	Ag001G084480
OG0000079	AL7G52220	Ag001G089520, Ag001G089530, Ag001G089500, Ag006G550440
OG0000079	AL5G40610, AL5G40780	Ag001G089510, Ag001G089390, Ag001G071210, Ag001G071240, Ag001G089380, Ag001G089370
OG0000080	AL1G54400	Ag001G028130, Ag001G028170, Ag001G028150, Ag001G028190, Ag001G028510, Ag001G028230, Ag001G028020, Ag004G395730
OG0000080	nbis-gene-1510, AL6G23310	Ag001G028300
OG0000080	AL1G53180	Ag007G610550, Ag007G610520
OG0000080	AL1G35400, AL7G44920, AL3G24690	Ag007G593170, Ag007G596330, Ag007G593310, Ag007G593270, Ag007G593210
OG0000081	nbis-gene-1537	Ag007G593730
OG0000081	AL6G29160	Ag007G628420
OG0000081	AL6G42950	Ag005G451860, Ag005G452050
OG0000083	AL57U10030	Ag005G483950, Ag005G483960
OG0000084	nbis-gene-1002	Ag002G111870, Ag004G395550, Ag002G108380, Ag004G395620
OG0000084	AL4G15550, AL4G18570, AL4G14530, AL4G14510, AL4G14520	Ag008G724370
OG0000084	AL4G18560	Ag002G128280, Ag002G119860, Ag006G542390, Ag002G119500, Ag002G176420, Ag002G119390, Ag002G119370, Ag002G119740, Ag002G119780, Ag002G119750, Ag002G119670, Ag002G119890, Ag002G119900, Ag002G119710, Ag002G111650, Ag004G391010, Ag002G111880, Ag002G108390
OG0000085	AL5G23080	Ag004G388690
OG0000086	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	Ag008G709530
OG0000087	AL6G35120	Ag008G723440
OG0000087	AL4G24260	Ag007G593840
OG0000087	AL6G23060	Ag007G609260
OG0000087	AL4G30750	Ag002G161340
OG0000087	AL8G15560	Ag002G127940
OG0000087	AL7G33260	Ag006G562620
OG0000087	AL2G35770	Ag003G224140
OG0000088	AL5G26370	Ag005G450330, Ag005G450360
OG0000088	AL6G32010	Ag008G717820
OG0000089	AL6G20220	Ag007G603320
OG0000089	AL3G32160, AL1G56110	Ag005G453100
OG0000089	AL4G40450, AL4G40460, AL4G40470	Ag002G193060
OG0000089	AL3G23740	Ag005G471710
OG0000089	AL5G34730, AL4G34130, AL4G34190	Ag002G172950, Ag001G073120
OG0000089	AL5G25390, AL8G35810	Ag008G712440, Ag008G708620
OG0000090	AL2G24470, AL4G11370, AL1G32980	Ag004G333760
OG0000090	AL2G35960	Ag003G223190
OG0000090	AL7G16760	Ag005G471750, Ag001G092010, Ag001G091920, Ag001G091930
OG0000091	AL8G16330, nbis-gene-1790, nbis-gene-1053, AL7G47240, nbis-gene-2125	Ag008G666220
OG0000093	AL5G40110	Ag001G087540
OG0000093	AL3G42890	Ag001G087060, Ag020G743300
OG0000093	AL5G40100	Ag001G087410
OG0000093	AL5G39960	Ag001G087190, Ag001G087160, Ag001G087050, Ag001G087110, Ag001G087130, Ag020G743230, Ag001G087290
OG0000093	AL3G42900, AL3G42870, AL3G42880	Ag001G087200, Ag020G743290, Ag001G087240
OG0000093	AL5G39980, AL5G40000	Ag001G083700, Ag001G087310
OG0000093	AL5G39910	Ag001G086540, Ag001G086510
OG0000096	AL5G12940, AL5G12970, AL5G12960	Ag001G024200, Ag001G016650, Ag005G460360
OG0000097	AL6G49050	Ag002G130220, Ag002G132530, Ag002G129480
OG0000097	AL6G49140	Ag002G129560, Ag002G130470, Ag002G129510, Ag002G129570, Ag002G129580, Ag002G129500, Ag002G129590, Ag002G129620, Ag002G130320, Ag002G130290, Ag002G130330, Ag002G129450
OG0000097	AL9U10550	Ag002G129120, Ag002G130340, Ag002G130310, Ag002G129030
OG0000097	AL6G49150	Ag002G128740
OG0000097	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010	Ag002G128960
OG0000097	AL6G49120	Ag002G128810, Ag002G129430, Ag002G129130, Ag002G129340
OG0000098	nbis-gene-1028	Ag004G315550, Ag004G315560
OG0000098	AL1G23480	Ag006G506280, Ag004G316800, Ag004G315620
OG0000099	nbis-gene-368	Ag004G395880
OG0000099	AL2G11060	Ag004G398340, Ag004G398430, Ag004G391240, Ag004G395750
OG0000099	AL2G11040	Ag004G383560, Ag004G391560, Ag004G397390, Ag004G397340, Ag004G396040, Ag004G396160, Ag004G391480, Ag004G397400, Ag004G397370, Ag004G397520, Ag004G397560, Ag004G391550, Ag004G396180, Ag004G395980, Ag004G391600, Ag004G397310, Ag004G391420, Ag004G396010, Ag004G397440, Ag004G389320, Ag004G394310, Ag004G394390, Ag004G389410
OG0000099	AL6G43560, nbis-gene-367	Ag004G391150, Ag004G391000, Ag004G391130, Ag004G390970, Ag004G395610
OG0000099	AL2G11960	Ag004G395780, Ag004G391250, Ag004G391340, Ag004G391360, Ag004G395820, Ag004G391310, Ag004G391330, Ag004G395840
OG0000099	nbis-gene-369	Ag004G391040
OG0000100	AL2G20140, AL8G14910, AL5G22850, nbis-gene-262	Ag008G659710
OG0000101	AL2G11240	Ag004G392410, Ag004G396720, Ag004G396730, Ag004G392400, Ag004G390040, Ag004G396960
OG0000101	AL2G11380	Ag004G394110
OG0000101	AL2G11390	Ag004G389140
OG0000101	AL2G11210	Ag004G395200, Ag004G395030, Ag004G390080, Ag004G395150
OG0000102	AL8G13680	Ag004G328280
OG0000102	AL1G44840	Ag003G274160
OG0000104	AL1G17740	Ag004G307220
OG0000104	AL1G55940	Ag001G010320
OG0000106	AL3G22030, AL3G32300	Ag005G417510, Ag001G017220
OG0000106	nbis-gene-1973	Ag004G383320
OG0000107	AL3G33780	Ag005G446760
OG0000107	AL3G33810	Ag005G446720
OG0000107	AL3G33800	Ag005G446740
OG0000107	AL3G33790	Ag005G446750
OG0000107	AL3G34900, AL3G33830, AL3G42780, nbis-gene-1853	Ag005G446670
OG0000108	AL1G41020, AL1G41010, AL1G41000, AL1G40990, AL4G14170	Ag005G459590, Ag008G727840
OG0000108	nbis-gene-805, AL3G44060, AL3G44020, AL3G44030, AL3G43980	Ag003G269110, Ag003G269200
OG0000108	AL2G26330	Ag005G414040
OG0000109	AL4G12030, AL1G50070, AL433U10010	Ag003G215310, Ag004G367180, Ag004G395250, Ag004G351540, Ag007G578520, Ag003G262230, Ag002G199280, Ag006G563280, Ag007G622830, Ag006G517090, Ag002G104980
OG0000110	AL5G41090	Ag001G090130
OG0000110	AL5G41080	Ag001G090120
OG0000110	AL5G41040	Ag003G287900, Ag001G089820, Ag001G089800, Ag001G089810, Ag001G077870, Ag004G376010
OG0000110	AL7G42310, AL5G41050	Ag001G077750, Ag001G089870, Ag001G089880, Ag001G089910
OG0000111	AL315U10010, AL7G51940, AL7G52000, AL7G52020	Ag002G181570, Ag002G181540, Ag002G181620
OG0000111	AL8G40480, AL6G44370, AL6G44360, AL6G44330	Ag008G729450
OG0000114	AL3G14170	Ag003G284630
OG0000117	AL3G40390	Ag006G549560
OG0000117	AL60U10030	Ag006G517320
OG0000117	AL8G20470	Ag002G174540
OG0000119	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470	Ag005G433280, Ag007G606060, Ag008G734240, Ag005G486140, Ag002G179560, Ag005G477370, Ag003G228580, Ag003G279350, Ag005G409220
OG0000120	nbis-gene-408, AL2G15570	Ag004G373700, Ag001G094910
OG0000120	nbis-gene-1458	Ag006G498650, Ag006G498600, Ag006G498610
OG0000122	AL8G31960	Ag003G267460
OG0000122	nbis-gene-2149	Ag008G698530
OG0000123	AL1G41710, AL1G41700	Ag007G583620
OG0000123	AL1G25180, AL1G25190	Ag006G564520
OG0000123	AL2G13220	Ag004G318080
OG0000124	nbis-gene-1897	Ag005G441490
OG0000124	nbis-gene-2009, AL1G47640, AL3G23800	Ag003G242000
OG0000124	AL3G43990	Ag006G527550, Ag008G658090
OG0000124	AL7G52490, AL6G41390, AL3G51120	Ag004G349780, Ag005G468220, Ag002G194630, Ag001G067330, Ag008G665260, Ag001G016150, Ag005G485900, Ag012G741220
OG0000125	AL3G20660, AL6G11840	Ag005G477020
OG0000125	AL6G34020	Ag008G713670
OG0000125	AL1G18070	Ag004G307540
OG0000125	AL4G23250	Ag007G595180
OG0000127	AL3G20220	Ag005G477940
OG0000127	AL6G11050	Ag006G492190
OG0000127	AL6G11080	Ag006G492230
OG0000127	AL3G20190	Ag005G477990
OG0000127	AL1G22150	Ag004G313220, Ag004G313200, Ag004G313180, Ag004G313170, Ag007G620490, Ag004G313150
OG0000127	AL1G22140, AL1G22160, AL1G17320, AL638U10010	Ag004G313210, Ag004G313190, Ag004G313250
OG0000128	AL7G53080	Ag003G264610, Ag003G264920
OG0000130	AL4G15810, AL4G25960	Ag003G260700
OG0000131	AL6G40550	Ag003G256190
OG0000131	AL1G57250	Ag003G250970
OG0000133	AL8G19570, AL25U10030	Ag004G314420, Ag001G083930, Ag005G455770, Ag008G708500, Ag004G391190, Ag003G285410, Ag001G074650, Ag004G387440
OG0000136	nbis-gene-1913, AL7G53060	Ag005G456830, Ag005G456800, Ag005G456810, Ag008G669100, Ag005G457140, Ag002G171850
OG0000137	AL6G45480	Ag001G020440, Ag001G062280, Ag002G130440, Ag007G624610, Ag004G355240, Ag003G264690, Ag007G648090, Ag004G309670, Ag008G662950, Ag001G102090, Ag004G373870, Ag004G346320, Ag006G521700
OG0000138	AL5G19720	Ag005G453120, Ag005G453110, Ag005G453150
OG0000138	AL5G19740	Ag003G290790
OG0000140	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178	Ag008G706820, Ag008G706850, Ag008G707550, Ag008G706830
OG0000140	nbis-gene-2181	Ag008G707960
OG0000140	AL48U10010, nbis-gene-2180	Ag001G080460, Ag008G707780
OG0000142	AL4G23870, AL4G23880	Ag007G594160, Ag007G594220
OG0000142	AL4G23900	Ag007G594480
OG0000146	AL8G30890	Ag008G695350
OG0000146	AL8G30920	Ag008G695470, Ag008G695460
OG0000146	AL8G30900	Ag008G695380
OG0000147	AL3G52950	Ag005G408700
OG0000147	AL7G22000	Ag003G261030
OG0000147	AL8G33330	Ag008G702420
OG0000147	AL2G40780	Ag003G209560
OG0000149	AL5G25250	Ag006G570510, Ag006G570440, Ag006G570460
OG0000149	AL8G36180	Ag008G709340
OG0000149	AL8G36200	Ag008G709420
OG0000150	AL5G21720, AL5G21730	Ag006G518460, Ag007G625710
OG0000151	AL8G28000	Ag008G685810
OG0000151	AL7G24680	Ag003G253050
OG0000151	AL3G19690	Ag005G478640
OG0000151	AL3G49460	Ag005G417580
OG0000151	AL8G31780	Ag008G698280
OG0000151	AL2G10770	Ag004G398050
OG0000154	AL1G66060	Ag003G268730, Ag005G477100, Ag005G477120
OG0000154	AL1G28200	Ag004G324480
OG0000154	AL3G24230	Ag005G471090
OG0000154	AL3G20620	Ag005G477170
OG0000154	AL6G11740	Ag006G493360
OG0000154	AL6G11730	Ag006G507750, Ag006G508580, Ag006G493020
OG0000155	AL2G23090, AL2G23080, AL7G32710	Ag006G564870
OG0000155	AL3G23610	Ag005G471860
OG0000155	AL6G48380	Ag002G134830, Ag002G134820, Ag002G138260
OG0000156	AL4G44730	Ag002G201900
OG0000157	AL2G23540, AL2G23590, AL2G23600, AL6G44790	Ag003G228360
OG0000157	AL7G47920, AL4G35660, AL4G35650, AL4G35680, AL4G35640	Ag004G346210, Ag003G229150, Ag004G369290
OG0000158	AL7G32560, AL7G30180, AL7G33450	Ag005G443310, Ag005G444520, Ag005G443260
OG0000158	AL2G28170	Ag003G277110
OG0000158	AL1G67080, AL7G42520, AL6G25220, AL4G12250, AL6G46400, AL4G29520	Ag005G476710
OG0000160	AL5G16300	Ag007G632320, Ag005G447810
OG0000161	AL2G20180	Ag007G588360
OG0000161	nbis-gene-452	Ag007G601560, Ag007G601540, Ag007G601790
OG0000162	AL2G23580	Ag008G712070
OG0000162	AL4G44040	Ag002G200850, Ag002G200800
OG0000164	AL7G11950, AL8G23520	Ag005G487250, Ag003G293940
OG0000164	AL7G11960	Ag003G293740, Ag003G293690, Ag003G293790
OG0000165	AL481U10020	Ag004G356120, Ag007G623920, Ag006G522660, Ag001G100400, Ag006G498640, Ag007G624740
OG0000167	AL7G34470	Ag006G570230
OG0000167	AL7G34550, AL7G34540	Ag006G570340
OG0000167	AL7G34530	Ag006G570320
OG0000171	AL2G23510	Ag008G670170
OG0000171	AL1G37260	Ag004G345150
OG0000171	AL6G25440	Ag007G614710
OG0000172	AL5G45250, AL2G23440, AL5G35200	Ag002G179650, Ag001G097540, Ag001G097520
OG0000172	AL5G44820	Ag001G097470
OG0000172	AL5G40760	Ag003G233750, Ag006G550460
OG0000172	AL5G40860	Ag001G081750, Ag001G081700, Ag001G084760, Ag002G204930, Ag001G089480
OG0000172	AL5G40850	Ag001G089440
OG0000172	AL5G40800	Ag001G089420
OG0000175	AL5G31720	Ag001G067410
OG0000175	AL7G16200	Ag005G417590
